,id,skill_name,skill_desc,story
幻蝶泰拉,4042,咒域·Ⅰ,魔法防御提升<color=#454FAB>5%（1级）</color>/<color=#454FAB>7%（2级）</color>/<br><color=#454FAB>9%（3级）</color>。,<line-indent=2em>魔族的力量遍及艾恩大陆之时，<br>生活在这片森林中的弱小生灵们没有反抗的力量。面对魔族的威胁，它们只能祈愿。<br>请赐予我们一个守护者。<br>请赐予我们一个守护者！<br>无数的祈祷声相互交织，与坠落大地的闪耀之星结合，众人的祈愿最终变成实质，化作幻彩的蝴蝶少女。<br>“虽然只有微不足道的力量，但让我来守护这片密林吧。”少女羞涩地说道。
丰饶之灵·库尔坎,4043,光佑,对战魔族或亡灵时，受到伤害降低<color=#454FAB>12%（1级）</color>/<color=#454FAB>18%（2级）</color>/<color=#454FAB>24%（3级）</color>。,<line-indent=2em>那是一个很久之前的故事……<br>曾经，有一个地方，那里的大地被魔界的毒草所占据。生活在那里的民众仅能开垦出少量的田地，过着没有希望的生活。<br>有一天，一位村民在田地中发现了一条重伤的蛇。虽然家中缺少食粮，善良的村民依旧将它带回治疗。<br>在村民的悉心照顾下，这条蛇的伤势得以好转，并在痊愈后不知踪影，仅留下一颗金黄的麦粒。<br>村民尝试着种下麦粒后，金色的光芒从大地中涌现，直达天际，蕴含圣洁力量的麦穗生长于大地之上，毒草纷纷化为丰饶的麦穗。<br>而在天空之中，传说中丰饶之灵库尔坎，正在其中翱翔。
堕牙乌波洛斯,4044,堕守,整场战斗<color=#454FAB>1</color>次，受到的奥义技伤害降低<br><color=#454FAB>40%（1级）</color>/<color=#454FAB>60%（2级）</color>/<color=#454FAB>80%<br>（3级）</color>。,<line-indent=2em>龙族崇尚以自身无与伦比的力量证明自己的强大，但乌波洛斯并不认同。<br>他是弱小的龙族，虽拥有化身为人的魔力，却没有与之对应的强大躯体。但对他来说，这不是什么问题。<br>若自身的力量不够强大，那就以智慧驯服强大的存在。若无法正面突破，那就从内部腐蚀。<br>当他驾驭毒蟒，以自己的智慧与恐怖的毒素击败威猛的同族时，再没人将他视作弱小之辈。
狩林者艾妮丝,4052,迅击,连击数高于<color=#454FAB>3</color>时，伤害提升<color=#454FAB>6%（1级）</color>/<color=#454FAB>7%（2级）</color>/<color=#454FAB>9%（3级）</color>。,<line-indent=2em>艾妮丝银白的发色与异质的兽人特征，让她被外界视作不祥的象征。但在森林边村落里，名为卡利斯的少年却坚信，艾妮丝并非不祥的存在。<br>于是，他伸出了手，与艾妮丝成为了挚友。<br>卡利斯为艾妮丝带来食物、故事与对外界的希望，让她不再对他人产生厌恶。她开始对森林外的世界充满兴趣，并逐渐相信在外界，有像少年一样心怀善意，能够接纳她的人。而卡利斯的努力，则让村民们最终接纳了艾妮丝的存在。<br>就这样，在卡利斯的引领下，艾妮丝踏出森林，目睹了全新的世界。而不知不觉之中，村落亦收获了不知名的祝福。现在，每当丰收之际，人们总会看到艾妮丝在森林里愉快地狩猎。
裂风者曼塔奇,4053,裂蚀·Ⅰ,受到的伤害反弹<color=#454FAB>10%（1级）</color>/<color=#454FAB>15%<br>（2级）</color>/<color=#454FAB>20%（3级）</color>。,<line-indent=2em>这是一个来自东方的传说。<br>有位少年于流星中降生，以狩猎魔物为使命，剿灭了众多魔物，深受当地居民的爱戴。<br>然而在一次战斗中，魔物的鲜血滴在少年的伤口上，进入他的体内。在那之后，少年陷入了狂乱，变得暴躁且残忍。虽然少年努力抑制，但这股冲动却已融入了他的灵魂，无法分离。<br>随后的某日，强大的魔物群袭击了村落。少年挥舞巨镰解决了一波又一波的魔物，体内的冲动却也愈发强烈。最终，他以最后一丝理性唤起狂风，将所有魔物包覆其中。狂风消散后，他与魔物均已不见踪影。<br>在那之后，人们再没见过他。不过，人们相信纵使被狂乱吞噬，他仍旧在不停地战斗。
辉夜之月·胧梦,4054,裂蚀·Ⅱ,受到的伤害反弹<color=#454FAB>15%（1级）</color>/<color=#454FAB>22%<br>（2级）</color>/<color=#454FAB>29%（3级）</color>。,<line-indent=2em>在许久以前，德鲁伊部族为争夺领地，冲突不断，纷争四起。古加尼尔亦愈发陷入混乱，不再宁静。<br>此时，一位化身为枭的德鲁伊少女主动站了出来，奔波于各个部族。最终她说服众人，让德鲁伊们得以团结一心，部族联盟由此诞生。<br>这位少女为德鲁伊的和平倾尽全力，更在神器·月神之赐不知所踪时，四处寻找，自此将其迎回。<br>最终，在完成这一切后，少女以枭的姿态飞向了月亮……<br>如今，枭少女的传说仍旧流传于世。有人说，在圆月当空的夜晚，透过树梢看向月亮时，似乎就能看到那位少女的身影。
狮鹫格里菲,4062,闪回,闪避成功时，奥义值恢复<color=#454FAB>30（1级）</color>/<color=#454FAB>45（2级）</color>/<color=#454FAB>60（3级）</color>点。,<line-indent=2em>自由战争时期，有一位领主与一只狮鹫成为了伙伴，并肩击败了众多魔族。<br>然而，在魔族的一次偷袭中，狮鹫为了守护自己的伙伴，不幸倒在了魔族的利刃之下。这件事也成为了那位领主心中难以愈合的伤痛。<br>数十年后，那位领主走到了生命的尽头。在离世的最后一刻，那个领主说出了最后的愿望：“真想再一次和它一起翱翔在天空啊……”<br>下一刻，奇迹发生了。<br>那位领主闭上双眼后，下一刻，他的身体长出了羽毛，背后伸展出翅膀，他以狮鹫的样貌飞向了蓝天。
罪罚的绮莉莎,4063,罪守,拥有护盾时，物理防御提升<color=#454FAB>15%<br>（1级）</color>/<color=#454FAB>22%（2级）</color>/<color=#454FAB>29%（3级）</color>。,<line-indent=2em>在早已流失的某本古籍中，记载着这么一个魔法：将世间的所有罪孽由一个生物承担，然后处决它，世间便再无恶念。<br>为了消除罪孽与恶念，一只山羊成为了祭品。依照魔法，施术者们将他们自认为的罪所有孽纹在了它的皮毛之上。<br>然而，“试图抹除世间的恶念”这般傲慢的想法，本身便是罪孽。魔法理所当然地失败了。<br>绮莉莎就这样从山羊的身躯中诞生。她自来到世上的那一刻，便成为了消灭世间一切罪恶的存在。而施术者们，则是第一批需要处决的人。
晨晖的奥罗拉,4064,晖光,任意技能击败任意对手后，恢复自身生命值的<color=#454FAB>18%（1级）</color>/<color=#454FAB>27%（2级）</color>/<color=#454FAB>36%（3级）</color>。,<line-indent=2em>少女自光辉之中诞生，照耀着世间一切阴霾。沉沦于阴暗处的冒险者，因她而获救。<br>少女怜悯着世间每一个被黑暗吞噬的生灵，她穿梭于密林与洞穴中，寻找着一切需要帮助的生灵。<br>每当入夜之际，光辉之灵与暗黑之灵交替之时，她总是忍不住向对方挑衅：“昨天你做的，我都已经解决了哦~”
重甲列奥尼达,4072,盾甲,格档成功时，提升格档率<color=#454FAB>5%（1级）</color>/<br><color=#454FAB>7%（2级）</color>/<color=#454FAB>9%（3级）</color>，持续<color=#454FAB>4</color>招。,<line-indent=2em>曾经有一位战士，他名叫列奥尼达。他手持削铁如泥的利刃，穿着厚重的铠甲，以几近极致的武艺守护着他的人民。<br>可是，在魔族如潮水般源源不断的攻势面前，他的利刃应声断裂，他的铠甲彻底粉碎。而穷尽一生钻研的武技，也未能拯救被他掩护在身后的人们。<br>列奥尼达祈求着、渴望着毁灭魔族的力量，狂怒裹挟着他。似是听到了他的渴求，一股宏大的能量自他体内迸发。破碎的兵刃与铠甲再度聚合，一位发誓屠尽魔族的战士由此诞生。
稻荷玉藻,4073,魂佑,拥有护盾时，魔法防御提升<color=#454FAB>15%<br>（1级）</color>/<color=#454FAB>22%（2级）</color>/<color=#454FAB>29%（3级）</color>。,<line-indent=2em>“并非只有相貌才能魅惑他人。有些时候，卓绝的智慧与善辩的巧舌，更能长久地将他人魅惑。”狐人族长老抚摸着长长的胡子说道。<br>“这就是你支持她的原因？”长老的话语就像一滴水落入沸腾的油锅，激起剧烈地反对。“没有绝世的容貌怎么能成为我们的女帝？”这是最大的反对理由。<br>稻荷玉藻只是露出了不置可否的笑容，“虽然，我的容貌不及我的姐姐稻荷葛叶，但是论言辞之美，我远胜于她。”<br>自此， 她以卓绝的智慧和高超的手段折服了在场的所有人，再也没有人对她的容貌报以怀疑。<br>凭借着超凡的智慧，众多部族首领拜倒于她的裙摆之下，心甘情愿地奉她为主。狐族也在她的带领向走向昌盛。
圣盾加兰德,4074,坚铠·Ⅱ,受到的物理伤害降低<color=#454FAB>15%（1级）</color>/<color=#454FAB>22%（2级）</color>/<color=#454FAB>29%（3级）</color>。,<line-indent=2em>我是阻挡魔族的壁垒，是守护一切的坚盾。我将屹立于大地之上，以手中坚盾，捍卫帝国的威严。<br>我会为战友开辟那通往胜利的道路。<br>纵使最终败亡，与战友一同消散于世间，也无怨无悔。<br>——《罗兰帝国骑士宣言》
巨树约顿海姆,4082,林息,奥义值高于<color=#454FAB>1000</color>点时魔法防御提升<color=#454FAB>6%<br>（1级）</color>/<color=#454FAB>9%（2级）</color>/<color=#454FAB>12%（3级）</color>。,<line-indent=2em>世界树的树根蔓延于整个古加尼尔，而其中一条树根伸进德鲁伊部落所在区域。而约顿海姆，是从世界树的上生长而出的巨树。自诞生以来，它便汲取着元素之力，最终觉醒了意志。<br>约顿海姆看着树下的树人们繁衍生息，犹如看着子孙成长一般欣慰。树人爱戴着巨树约顿海姆，是它庇护着他们，为他们遮风挡雨。<br>每个树人在约顿海姆下成长，聆听着它的教诲。每当有矛盾，树人们总是找约顿海姆来评理。<br>“哎呀哎呀，这群小崽子们怎么又吵起来了……”从睡梦中苏醒的约顿海姆刚睁开一只眼睛，就看见两个树人少年向它走来。约顿海姆赶紧闭上眼，当做没有看到。
白翼希古纳斯,4083,翼盾,位于先锋时，回合开始时获得等同生命上限<color=#454FAB>4%（1级）</color>/<color=#454FAB>6%（2级）</color>/<color=#454FAB>8%<br>（3级）</color>的护盾。,<line-indent=2em>从很久很久之前，希古纳斯的家族就守护着一对神秘的水晶吊坠。守护者将受到神的祝福，获得强大的力量，并维持家族的繁荣。<br>希古纳斯继承这股力量，做了一个令家族诧异的决定——放弃贵族生活，用这股力量守护弱小的人们。<br>他翱翔于失落群岛的蓝天之上，击退可恶的空贼，守护被称为“纳雅生命线”的空中航线安全。纳雅船员尊称他为“白翼”。希古纳斯这个名字也成为了正义与安全的象征。<br>然而，那对双子盗贼不知如何知晓了希古纳斯的力量来源。他们趁着夜色潜入，意图盗取那对水晶吊坠。虽然希古纳斯击退了盗贼，但其中一只水晶吊坠却没能逃过贼手……<br>纳雅苍穹上，“白翼希古纳斯”与双子盗贼“共鸣之杰米尼”的恩怨戏码，就此拉开了帷幕。
轰雷托娜,4084,咒域·Ⅱ,受到的魔法伤害降低<color=#454FAB>15%（1级）</color>/<color=#454FAB>22%（2级）</color>/<color=#454FAB>29%（3级）</color>。,<line-indent=2em>身为雷霆的元素之灵，托娜一直被众多的生灵恐惧着——她的雷霆能轻易击穿猛兽的心脏，点燃大地。她被许多人视为不幸的源头。<br>然而托娜一直期待着自己能够和其他几位元素之灵一样，得到人们的崇拜，达成他们的愿望。<br>终于有一天，一位居住在深山村落中的少年向托娜许下了愿望：希望她能够降下雷霆，让树林燃烧肥沃土地，让自己的村落获得更多耕种的土地。<br>欣喜若狂的托娜降下数道雷霆，一如少年的愿望点燃了树木。然而，飞舞的火星，却不慎点燃了少年的住处……<br>在那之后，托娜收到的祈愿，更少了……
暴雪苏里尔,4092,循转·Ⅰ,受击时恢复的奥义值额外提升<color=#454FAB>10%<br>（1级）</color>/<color=#454FAB>15%（2级）</color>/<color=#454FAB>20%（3级）</color>。,<line-indent=2em>苏里尔曾是雪原的守护者。它的利爪能够撕裂魔物的身躯，它的长啸则会唤来瑞雪。<br>然而，为了满足成为英雄的虚荣，那些被贪欲蒙蔽了双眼的人锻造了刻有符文的锁链，将芬里尔禁锢，彻底背叛了它。<br>“人类，这是为何？！”响彻天穹的狼啸伴随着彻骨的冰焰，将束缚着巨狼的铁链尽数粉碎。<br>“仅是为了丁点虚伪的荣耀，就要将囚禁我的躯体，夺走我的灵魂么？你们将付出代价的！”<br>下一刻，伴随着芬里尔的长啸，象征着祝福的雪花转变为了千年不遇的暴风雪，将心怀恶念之人连同其居所一同掩埋。
柯贝鲁斯,4093,仇焰,受到攻击时获得仇焰状态，最高<color=#454FAB>5</color>层，<br>每层使暴击率提升<color=#454FAB>2%（1级）</color>/<color=#454FAB>3%<br>（2级）</color>/<color=#454FAB>4%（3级）</color>。,<line-indent=2em>“不，你们不能这样对我！我可是王，是这个国家最富有，最有权势的人……我为什么要遭受这样的待遇！”凄惨的亡灵哀嚎着。它拖动着因残酷的惩罚而破烂不堪的身躯，向着象征冥界入口的大门爬去。<br>在大门旁，静坐的柯贝鲁听着亡灵的咒骂。三对炽红的眼中，透露出不屑与嘲笑的神情。<br>在亡灵距离冥界之门仅有十步之遥的那一刻，柯贝鲁斯站了起来。它以利爪挑飞亡灵，将其撕成碎片，吞入了腹中。
誓约之乌诺莉娅,4094,霜运,使用辅助技有<color=#454FAB>50%（1级）</color>/<color=#454FAB>75%<br>（2级）</color>/<color=#454FAB>100%（3级）</color>几率恢复等同最大生命值<color=#454FAB>5%</color>的生命值与<color=#454FAB>150</color>点奥义值。,<line-indent=2em>青鳞远古龙略显疲惫地往后退了一步，倚靠在身后的赤鳞远古龙。<br>“怎么了，乌诺？累了可以跟我撒娇哦~”赤鳞远古龙戏谑道。<br>“…………”青鳞远古龙并未回应，而是再度冲入敌阵之中。
风暴龙皮扎兰姆,4102,风闪,施放奥义后，闪避提升<color=#454FAB>6%（1级）</color>/<color=#454FAB>9%（2级）</color>/<color=#454FAB>12%（3级）</color>，持续<color=#454FAB>3</color>招。,<line-indent=2em>“皮扎兰姆……”<br>“我没事。”<br>风暴龙·皮扎兰姆的龙骑士摘下手套，将手放在了皮扎兰姆的鼻尖。<br>“你没有做错。如果没有你，那么事情可能就会变得更糟糕，至少现在我们守住了最后的和平。”<br>“但大家因我而死……现在，我又会令你们与其它人类分离……”<br>“皮扎兰姆。”龙骑士稍稍加重手上的力量，停下了古代疾风龙的话语。<br>“从契约达成那刻起，我们便将一切交托于彼此。无论什么决定，我们都将共同执行。”<br>在那之后，以皮扎兰姆为首的大多数龙族离开了龙息古地，世间再无它们的身影。
九头蛇凯迪勒,4103,猛毒,使用辅助技时，对敌方施加腐化状态，伤害等同角色<color=#454FAB>20%（1级）</color>/<color=#454FAB>30%<br>（2级）</color>/<color=#454FAB>40%（3级）</color>攻击力。,<line-indent=2em>凯迪勒，魔族实验的产物之一，是以神之躯为媒介创造的生物兵器。它将进入战场，毁灭一切，为魔族的胜利奠定基础——本应是这样的。<br>然而，当它在战阵前第一次被解除束缚时，凯迪勒却并未依照魔族驯兽师的指令向前冲锋，反而将自己的利牙对准了魔族。<br>它在魔族的军阵中大肆破坏，将颇具实力的魔族士兵逐个吞入腹中。魔族的攻击却对它毫无影响，纵使斩断头颅，也在转瞬之间愈合完毕，恢复如初。<br>最终，在场的魔族被剿灭殆尽。他们始终没明白，纵使失去了神识，神的躯体仍旧会向着自己的仇敌发起反抗……
终焉之斯蒂芙洛,4104,炽炼,我方攻击开始时，获得炽炼状态，伤害提升<color=#454FAB>50%（1级）</color>/<color=#454FAB>75%（2级）</color>/<color=#454FAB>100%（3级）</color>，持续<color=#454FAB>1</color>招。,<line-indent=2em>“乌诺，你还记得，当时我们接受邀请，晋衔成为女武神的事吗？”赤色女武神忽然提问。<br>青色武神稍稍一愣，并未回应赤色女武神的问题。<br>“哎呀，就是那次我一时兴起自降力量，将你卷入的事嘛。毕竟当时作为龙族领袖应该做的事情已经做完了，而且总觉得那时候这样做会颇有意思。”<br>“嗯，拼图放下了，到你了。”
巨鲸伊维亚,4112,洋佑,作为先锋首次登场时，获得等同最大生命值<color=#454FAB>8%（1级）</color>/<color=#454FAB>12%（2级）</color>/<color=#454FAB>16%<br>（3级）</color>的护盾。,<line-indent=2em>伊维亚，是这个世界的海洋中最大的存在，是在船员的口中流传，在他们眼前现身的，活着的传说。<br>据说它是海神的化身，能够令海洋永保风平浪静，是船员的守护者。<br>当他率领着鱼群，裹挟着深海的秘宝出现在海面上时，新登船的船员们总会兴奋地呼喊：<br>鱼！好大的鱼！<br>然后他们乘坐的货轮便被伊维亚一尾巴甩飞了。
辉刃的安德娜,4113,穹击,辅助技或援护打断敌方奥义时，下<color=#454FAB>1</color>个技能伤害提升<color=#454FAB>15%（1级）</color>/<color=#454FAB>22%<br>（2级）</color>/<color=#454FAB>29%（3级）</color>。,<line-indent=2em>安德娜是获得了神的垂青，被赋予了赐福的神之使徒。<br>她以坚定的意志与虔诚的信仰获得了神的认可，向她们献上了忠诚，也被赐予代表荣誉的双刃。<br>然而，在那场大战之中，安德娜引以为傲的力量却无法造成任何影响。她只能眼睁睁看着她所崇敬的存在们一个个失去生命，就此陨落。<br>坚定的意志让安德娜很快从绝望与无力中走了出来。她行走在艾恩大陆的各个角落，寻找着蛛丝马迹，探查着那场大战的真相。<br>她坚信，总有天她将以手中的双刃消灭幕后黑手，为世间带回光明。
潮汐之特缇丝,4114,汐引,敌方每拥有<color=#454FAB>1</color>种负面状态，我方造成的<br>伤害提升<color=#454FAB>8%（1级）</color>/<color=#454FAB>12%（2级）</color>/<br><color=#454FAB>16%（3级）</color>。,<line-indent=2em>她穿越大海，逆流而上，最终到达了林间的一处湖泊。<br>然而，自己究竟是为了什么来到这里的？虽然有印象似乎是为了追忆，但她到达这里时，却早已忘记了这一切。<br>晋衔成为女武神后，记忆似乎就比之前更加模糊了。<br>……也罢，与其纠结自己的曾经，不如就这样感受当下。这么想着，特缇丝漂浮在水面上，闭上了双眼，露出了微笑。
阿噗米修,4122,初源·Ⅰ,对战非冒险者时，初始奥义值提升<color=#454FAB>800（1级）</color>/<color=#454FAB>900（2级）</color>/<color=#454FAB>1000（3级）</color>点。,<line-indent=2em>“啊噗啊噗啊噗啊噗，噗噗噗，啊噗！”<br>“啊噗？”<br>“啊噗……”<br>“啊噗啊噗啊噗啊噗啊噗啊噗！噗噗噗！啊啊啊噗噗！”<br>只会发出“啊”和“噗”的阿噗族，今天也用简短的两个字表达出丰富的内容呢。
萤月狄瓦娜,4123,集荧,辅助技或援护打断敌方奥义时，恢复奥<br>义值<color=#454FAB>200（1级）</color>/<color=#454FAB>300（2级）</color>/<color=#454FAB>400<br>（3级）</color>点。,<line-indent=2em>狄瓦娜是德鲁伊与暗精灵结合诞下的苦果。她喜爱暗夜，也因为德鲁伊的血脉能化身为雪豹。<br>德鲁伊视其为不详之物——光明的德鲁伊怎能成天躲藏在黑夜里？暗精灵视其为粗鄙之物——暗精灵怎会长出这样粗野的毛发？他们说，因为狄瓦娜，这片森林受到了诅咒，她就是这诅咒的化身。<br>沉默的少女不做一丝辩解，每晚于树林之间阻杀前来偷袭的敌人。对她而言，这只是为了完成父母的遗愿而已。<br>只有当无月之夜，林间小溪旁萤虫四起之时，少女才会露出些许落寞的神情。
梦魇维列斯,4124,梦守,奥义值高于<color=#454FAB>1000</color>点时，伤害减免提升<br><color=#454FAB>15%（1级）</color>/<color=#454FAB>22%（2级）</color>/<color=#454FAB>30%<br>（3级）</color>。,<line-indent=2em>创世之灵科洛斯在创造万物的途中，因过于劳累而小憩了一下。在这次小憩之中，创世之灵唯一一次的噩梦中，维列斯诞生了。<br>它是科洛斯梦境中那些黑暗、恐惧与混乱的聚合体，借助科洛斯的噩梦获得了创世之灵极少的能量。从诞生以来，它便凭借着本能穿梭于各个甜美的梦境中，将一个个美梦变为让人恐惧一生的噩梦。<br>自己是真实的还是虚幻的？若为真实，为何无法出现于梦境之外的世界；若为虚幻，为何当科洛斯梦醒之时却依然存在？维列斯一边思考着，一边狩猎他人的美梦。
圣角尤尼科,4133,时流,使用辅助技能后，减少所有技能冷却<color=#454FAB>2（1级）</color>/<color=#454FAB>3（2级）</color>/<color=#454FAB>4（3级）</color>秒。,<line-indent=2em>行走在废墟之中，尤尼科的眼中只剩下久久无法消散的哀伤。曾经生灵聚集的神庙失去了信仰，荆棘满布的神庙已然成为了魔物的巢穴。<br>在他眼中，此世已被邪恶玷污。身为对抗邪恶的战士，将世界修复为原本的模样，便是自己的职责。<br>这么想着，尤尼科握紧了手中的长枪，反身刺向了袭来的魔物。象征灵魂的赤色喷涌而出，却一滴都未沾染在他的身上。
创世之科洛斯,4134,绝阵,生命值低于<color=#454FAB>30%</color>时，伤害减免提升<color=#454FAB>20%（1级）</color>/<color=#454FAB>30%（2级）</color>/<color=#454FAB>40%（3级）</color>。,<line-indent=2em>寂寞，宁静，仅有自己一人。<br>既如此，便创造一个舞台，让万物流转，时光演化。<br>科洛斯挥动双手，<br>世界由此而生。<br>——《先知者书·初始之章》
迷宫君主米诺陶,4143,怒斩,暴击时，获得怒斩状态，最高<color=#454FAB>5</color>层，每<br>层使伤害提升<color=#454FAB>2%（1级）</color>/<color=#454FAB>3%（2级）</color>/<br><color=#454FAB>4%（3级）</color>。,<line-indent=2em>她挥舞着巨斧，在迷宫中前行。<br>若有看不顺眼的东西，就将其毁灭——这样的行为，今天重复了三十次。<br>若有阻挡行路的存在，就将其斩断——如此的行动，今天进行了八十二次。<br>最终，在第一百四十八次将墙壁摧毁，看到又一条迷宫通路时，自以为不是路痴的她，从内心深处发出了哀嚎："我当时为什么要把食物储藏室藏在这个迷宫里啊！！！"
