,required,optional,optional,optional,optional,optional,repeated,repeated,optional
,4355,Textures\Atlas\Dyn\CharacterCommonHead\TheballoongirlXiaoya.png,Textures\Atlas\Dyn\CharacterHalfBody\TheballoongirlXiaoya.png,npc_qiqiunvhaixiaoya,158001,,0,0,0
,4356,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\UncleNPC.png,npc_dashu_normal,229001,,0,0,0
,4357,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\MalechildrenMiddleEast.png,npc_zhenmingansili,122001,,0,0,0
,4359,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\monvpucong.png,npc_monvpucong,271001,,0,0,0
,4360,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Spiritwar.png,npc_zhanhunzhiling,227001,,0,0,0
,4361,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Zombiemaster.png,npc_sangshifashi,136001,,0,0,0
,4362,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Darksoul.png,npc_shihunlingzhusuoer,233001,,0,0,0
,4363,Textures\Atlas\Dyn\CharacterCommonHead\SandGiant.png,Textures\Atlas\Dyn\CharacterHalfBody\Desertgiant.png,npc_taitanzhihun,180001,,0,0,0
,4364,Textures\Atlas\Dyn\CharacterCommonHead\fushide.png,Textures\Atlas\Dyn\CharacterHalfBody\fushide72.png,,0,,3676,0,2005
,4365,Textures/Atlas/Dyn/CharacterCommonHead/Captain.png,Textures\Atlas\Dyn\CharacterHalfBody\Captain.png,npc_dujunlaike,100900,,3076,0,2001
,4366,Textures\Atlas\Dyn\CharacterCommonHead\AndrewBlack.png,Textures\Atlas\Dyn\CharacterHalfBody\AndrewBlack.png,npc_nuoerhei,100600,,201;1002,1;0,2001
,4367,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Pioneer1.png,npc_xianquzhe1hao,149001,,0,0,0
,4368,Textures/Atlas/Dyn/CharacterCommonHead/Adancer.png,Textures\Atlas\Dyn\CharacterHalfBody\Bigwitch.png,npc_meimo,223004,,0,0,0
,4369,Textures\Atlas\Dyn\CharacterCommonHead\Meiya.png,Textures\Atlas\Dyn\CharacterHalfBody\MrBushher.png,npc_moxiya,186001,,0,0,0
,4370,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Scorpion.png,npc_caoyuanxieziren,164001,,0,0,0
,4371,Textures/Atlas/Dyn/CharacterCommonHead/anger.png,Textures\Atlas\Dyn\CharacterHalfBody\anger.png,npc_fennu,174001,,0,0,0
,4372,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\queenspider.png,npc_aida,175001,,0,0,0
,4373,Textures\Atlas\Dyn\CharacterCommonHead\yacimo.png,Textures\Atlas\Dyn\CharacterHalfBody\Yacimo.png,npc_yacimo,260001,,3398;112,0;1,2005
,4374,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\LancyBlack.png,npc_lanqi,102000,,0,0,0
,4375,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\SilverShieldwar.png,npc_baiyindunzhan,226001,,0,0,0
,4376,Textures/Atlas/Dyn/CharacterCommonHead/Adancer.png,Textures\Atlas\Dyn\CharacterHalfBody\Adancer.png,npc_jueshiwuji,141001,,0,0,0
,4377,Textures\Atlas\Dyn\CharacterCommonHead\infectedadventurer.png,Textures\Atlas\Dyn\CharacterHalfBody\Infectedadventurer.png,npc_ganrandemaoxianzhe,198001,,0,0,0
,4378,Textures/Atlas/Dyn/CharacterCommonHead/Aghost.png,Textures/Atlas/Dyn/CharacterHalfBody/Aghost.png,npc_yangui,147001,,0,0,0
,4379,Textures/Atlas/Dyn/CharacterCommonHead/JiXieshixiang.png,Textures\Atlas\Dyn\CharacterHalfBody\JiXieShiXiangGui.png,npc_jixieshixianggui,263001,,0,0,0
,4380,Textures/Atlas/Dyn/CharacterCommonHead/Adancer.png,Textures\Atlas\Dyn\CharacterHalfBody\Adancer.png,npc_jueshiwuji,141001,,0,0,0
,4381,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\Fourhoofedgods.png,npc_sidishen,171001,,0,0,0
,4382,Textures/Atlas/Dyn/CharacterCommonHead/DiLuoZan.png,Textures\Atlas\Dyn\CharacterHalfBody\DiluoZan.png,,0,,0,0,0
,4383,Textures\Atlas\Dyn\CharacterCommonHead\TheBardofMammon.png,Textures\Atlas\Dyn\CharacterHalfBody\Witchmoor.png,npc_huangyuannvwu,213001,,0,0,0
,4384,Textures/Atlas/Dyn/CharacterCommonHead/JiXieshixiang.png,Textures\Atlas\Dyn\CharacterHalfBody\JiXieShiXiangGui.png,npc_jixieshixianggui,263001,,0,0,0
,4385,Textures\Atlas\Dyn\CharacterCommonHead\yangboshi.png,Textures\Atlas\Dyn\CharacterHalfBody\Jboshinormal.png,npc_jboshi,236001,,3436;3438,0;0,2005
,4386,Textures/Atlas/Dyn/CharacterCommonHead/XiBo.png,Textures\Atlas\Dyn\CharacterHalfBody\Tinwave.png,npc_xibo,245001,,3638,0,2005
