,required,required,optional,optional,optional,optional,optional
鬼灯杰克,4072,201,Textures/Atlas/Dyn/PetHead/4072.png,Textures/Atlas/Dyn/PetCard/4072.png,Textures/Atlas/Dyn/PetPoster/4072.png,Textures/Atlas/Dyn/PetBattleHead/4072.png,Textures/Atlas/Dyn/PetItem/4072.png
黑穗爵士乔纳森,4082,201,Textures/Atlas/Dyn/PetHead/4082.png,Textures/Atlas/Dyn/PetCard/4082.png,Textures/Atlas/Dyn/PetPoster/4082.png,Textures/Atlas/Dyn/PetBattleHead/4082.png,Textures/Atlas/Dyn/PetItem/4082.png
共鸣双子杰米尼,4092,201,Textures/Atlas/Dyn/PetHead/4092.png,Textures/Atlas/Dyn/PetCard/4092.png,Textures/Atlas/Dyn/PetPoster/4092.png,Textures/Atlas/Dyn/PetBattleHead/4092.png,Textures/Atlas/Dyn/PetItem/4092.png
星海骑莫赛罗斯,4102,201,Textures/Atlas/Dyn/PetHead/4102.png,Textures/Atlas/Dyn/PetCard/4102.png,Textures/Atlas/Dyn/PetPoster/4102.png,Textures/Atlas/Dyn/PetBattleHead/4102.png,Textures/Atlas/Dyn/PetItem/4102.png
跃动者伊希斯,4112,201,Textures/Atlas/Dyn/PetHead/4112.png,Textures/Atlas/Dyn/PetCard/4112.png,Textures/Atlas/Dyn/PetPoster/4112.png,Textures/Atlas/Dyn/PetBattleHead/4112.png,Textures/Atlas/Dyn/PetItem/4112.png
,4122,201,Textures/Atlas/Dyn/PetHead/4122.png,Textures/Atlas/Dyn/PetCard/4122.png,Textures/Atlas/Dyn/PetPoster/4122.png,Textures/Atlas/Dyn/PetBattleHead/4122.png,Textures/Atlas/Dyn/PetItem/4122.png
阿噗米修,4013,201,Textures/Atlas/Dyn/PetHead/4013.png,Textures/Atlas/Dyn/PetCard/4013.png,Textures/Atlas/Dyn/PetPoster/4013.png,Textures/Atlas/Dyn/PetBattleHead/4013.png,Textures/Atlas/Dyn/PetItem/4013.png
傲兽贝希摩斯,4023,201,Textures/Atlas/Dyn/PetHead/4023.png,Textures/Atlas/Dyn/PetCard/4023.png,Textures/Atlas/Dyn/PetPoster/4023.png,Textures/Atlas/Dyn/PetBattleHead/4023.png,Textures/Atlas/Dyn/PetItem/4023.png
月影狩艾特妮丝,4033,201,Textures/Atlas/Dyn/PetHead/4033.png,Textures/Atlas/Dyn/PetCard/4033.png,Textures/Atlas/Dyn/PetPoster/4033.png,Textures/Atlas/Dyn/PetBattleHead/4033.png,Textures/Atlas/Dyn/PetItem/4033.png
星鳞姬露纱,4043,201,Textures/Atlas/Dyn/PetHead/4043.png,Textures/Atlas/Dyn/PetCard/4043.png,Textures/Atlas/Dyn/PetPoster/4043.png,Textures/Atlas/Dyn/PetBattleHead/4043.png,Textures/Atlas/Dyn/PetItem/4043.png
虫姬阿拉克涅,4053,201,Textures/Atlas/Dyn/PetHead/4053.png,Textures/Atlas/Dyn/PetCard/4053.png,Textures/Atlas/Dyn/PetPoster/4053.png,Textures/Atlas/Dyn/PetBattleHead/4053.png,Textures/Atlas/Dyn/PetItem/4053.png
雨妖奥西妮,4063,201,Textures/Atlas/Dyn/PetHead/4063.png,Textures/Atlas/Dyn/PetCard/4063.png,Textures/Atlas/Dyn/PetPoster/4063.png,Textures/Atlas/Dyn/PetBattleHead/4063.png,Textures/Atlas/Dyn/PetItem/4063.png
魂响栖泽米那,4073,201,Textures/Atlas/Dyn/PetHead/4073.png,Textures/Atlas/Dyn/PetCard/4073.png,Textures/Atlas/Dyn/PetPoster/4073.png,Textures/Atlas/Dyn/PetBattleHead/4073.png,Textures/Atlas/Dyn/PetItem/4073.png
骨姬弥兹雅,4083,201,Textures/Atlas/Dyn/PetHead/4083.png,Textures/Atlas/Dyn/PetCard/4083.png,Textures/Atlas/Dyn/PetPoster/4083.png,Textures/Atlas/Dyn/PetBattleHead/4083.png,Textures/Atlas/Dyn/PetItem/4083.png
肃正王巴巴托斯,4093,201,Textures/Atlas/Dyn/PetHead/4093.png,Textures/Atlas/Dyn/PetCard/4093.png,Textures/Atlas/Dyn/PetPoster/4093.png,Textures/Atlas/Dyn/PetBattleHead/4093.png,Textures/Atlas/Dyn/PetItem/4093.png
涅槃羽菲妮珂斯,4103,201,Textures/Atlas/Dyn/PetHead/4103.png,Textures/Atlas/Dyn/PetCard/4103.png,Textures/Atlas/Dyn/PetPoster/4103.png,Textures/Atlas/Dyn/PetBattleHead/4103.png,Textures/Atlas/Dyn/PetItem/4103.png
砂瀑守拉美丝汀,4113,201,Textures/Atlas/Dyn/PetHead/4113.png,Textures/Atlas/Dyn/PetCard/4113.png,Textures/Atlas/Dyn/PetPoster/4113.png,Textures/Atlas/Dyn/PetBattleHead/4113.png,Textures/Atlas/Dyn/PetItem/4113.png
烬灭之戈迪亚,4123,201,Textures/Atlas/Dyn/PetHead/4123.png,Textures/Atlas/Dyn/PetCard/4123.png,Textures/Atlas/Dyn/PetPoster/4123.png,Textures/Atlas/Dyn/PetBattleHead/4123.png,Textures/Atlas/Dyn/PetItem/4123.png
神目切尔纳,4133,201,Textures/Atlas/Dyn/PetHead/4133.png,Textures/Atlas/Dyn/PetCard/4133.png,Textures/Atlas/Dyn/PetPoster/4133.png,Textures/Atlas/Dyn/PetBattleHead/4133.png,Textures/Atlas/Dyn/PetItem/4133.png
白翼骑希古纳斯,4143,201,Textures/Atlas/Dyn/PetHead/4143.png,Textures/Atlas/Dyn/PetCard/4143.png,Textures/Atlas/Dyn/PetPoster/4143.png,Textures/Atlas/Dyn/PetBattleHead/4143.png,Textures/Atlas/Dyn/PetItem/4143.png
狱戒犬柯贝鲁斯,4153,201,Textures/Atlas/Dyn/PetHead/4153.png,Textures/Atlas/Dyn/PetCard/4153.png,Textures/Atlas/Dyn/PetPoster/4153.png,Textures/Atlas/Dyn/PetBattleHead/4153.png,Textures/Atlas/Dyn/PetItem/4153.png
神炎之瑟拉菲,4014,201,Textures/Atlas/Dyn/PetHead/4014.png,Textures/Atlas/Dyn/PetCard/4014.png,Textures/Atlas/Dyn/PetPoster/4014.png,Textures/Atlas/Dyn/PetBattleHead/4014.png,Textures/Atlas/Dyn/PetItem/4014.png
炽天之基路伯,4024,201,Textures/Atlas/Dyn/PetHead/4024.png,Textures/Atlas/Dyn/PetCard/4024.png,Textures/Atlas/Dyn/PetPoster/4024.png,Textures/Atlas/Dyn/PetBattleHead/4024.png,Textures/Atlas/Dyn/PetItem/4024.png
潜影之菲林斯,4034,201,Textures/Atlas/Dyn/PetHead/4034.png,Textures/Atlas/Dyn/PetCard/4034.png,Textures/Atlas/Dyn/PetPoster/4034.png,Textures/Atlas/Dyn/PetBattleHead/4034.png,Textures/Atlas/Dyn/PetItem/4034.png
食梦之维尔斯,4044,201,Textures/Atlas/Dyn/PetHead/4044.png,Textures/Atlas/Dyn/PetCard/4044.png,Textures/Atlas/Dyn/PetPoster/4044.png,Textures/Atlas/Dyn/PetBattleHead/4044.png,Textures/Atlas/Dyn/PetItem/4044.png
镜月之柯莱迪娅,4054,201,Textures/Atlas/Dyn/PetHead/4054.png,Textures/Atlas/Dyn/PetCard/4054.png,Textures/Atlas/Dyn/PetPoster/4054.png,Textures/Atlas/Dyn/PetBattleHead/4054.png,Textures/Atlas/Dyn/PetItem/4054.png
尖锋之扎克莱恩,4064,201,Textures/Atlas/Dyn/PetHead/4064.png,Textures/Atlas/Dyn/PetCard/4064.png,Textures/Atlas/Dyn/PetPoster/4064.png,Textures/Atlas/Dyn/PetBattleHead/4064.png,Textures/Atlas/Dyn/PetItem/4064.png
秘法之泰恩,4074,201,Textures/Atlas/Dyn/PetHead/4074.png,Textures/Atlas/Dyn/PetCard/4074.png,Textures/Atlas/Dyn/PetPoster/4074.png,Textures/Atlas/Dyn/PetBattleHead/4074.png,Textures/Atlas/Dyn/PetItem/4074.png
圣盾之加兰德,4084,201,Textures/Atlas/Dyn/PetHead/4084.png,Textures/Atlas/Dyn/PetCard/4084.png,Textures/Atlas/Dyn/PetPoster/4084.png,Textures/Atlas/Dyn/PetBattleHead/4084.png,Textures/Atlas/Dyn/PetItem/4084.png
幻梦星斑尼,4094,201,Textures/Atlas/Dyn/PetHead/4094.png,Textures/Atlas/Dyn/PetCard/4094.png,Textures/Atlas/Dyn/PetPoster/4094.png,Textures/Atlas/Dyn/PetBattleHead/4094.png,Textures/Atlas/Dyn/PetItem/4094.png
蛇发之西丝娜,4104,201,Textures/Atlas/Dyn/PetHead/4104.png,Textures/Atlas/Dyn/PetCard/4104.png,Textures/Atlas/Dyn/PetPoster/4104.png,Textures/Atlas/Dyn/PetBattleHead/4104.png,Textures/Atlas/Dyn/PetItem/4104.png
苍月之塞勒涅,4114,201,Textures/Atlas/Dyn/PetHead/4114.png,Textures/Atlas/Dyn/PetCard/4114.png,Textures/Atlas/Dyn/PetPoster/4114.png,Textures/Atlas/Dyn/PetBattleHead/4114.png,Textures/Atlas/Dyn/PetItem/4114.png
寒霜之希瓦,4124,201,Textures/Atlas/Dyn/PetHead/4124.png,Textures/Atlas/Dyn/PetCard/4124.png,Textures/Atlas/Dyn/PetPoster/4124.png,Textures/Atlas/Dyn/PetBattleHead/4124.png,Textures/Atlas/Dyn/PetItem/4124.png
晨晖之奥罗拉,4134,201,Textures/Atlas/Dyn/PetHead/4134.png,Textures/Atlas/Dyn/PetCard/4134.png,Textures/Atlas/Dyn/PetPoster/4134.png,Textures/Atlas/Dyn/PetBattleHead/4134.png,Textures/Atlas/Dyn/PetItem/4134.png
沧海之莉特,4144,201,Textures/Atlas/Dyn/PetHead/4144.png,Textures/Atlas/Dyn/PetCard/4144.png,Textures/Atlas/Dyn/PetPoster/4144.png,Textures/Atlas/Dyn/PetBattleHead/4144.png,Textures/Atlas/Dyn/PetItem/4144.png
断罪之绮蒂莎,4154,201,Textures/Atlas/Dyn/PetHead/4154.png,Textures/Atlas/Dyn/PetCard/4154.png,Textures/Atlas/Dyn/PetPoster/4154.png,Textures/Atlas/Dyn/PetBattleHead/4154.png,Textures/Atlas/Dyn/PetItem/4154.png
浩瀚·伊维亚,4164,201,Textures/Atlas/Dyn/PetHead/4164.png,Textures/Atlas/Dyn/PetCard/4164.png,Textures/Atlas/Dyn/PetPoster/4164.png,Textures/Atlas/Dyn/PetBattleHead/4164.png,Textures/Atlas/Dyn/PetItem/4164.png
丰饶·库尔坎,4174,201,Textures/Atlas/Dyn/PetHead/4174.png,Textures/Atlas/Dyn/PetCard/4174.png,Textures/Atlas/Dyn/PetPoster/4174.png,Textures/Atlas/Dyn/PetBattleHead/4174.png,Textures/Atlas/Dyn/PetItem/4174.png
魅惑之玛格丽特,4184,201,Textures/Atlas/Dyn/PetHead/4184.png,Textures/Atlas/Dyn/PetCard/4184.png,Textures/Atlas/Dyn/PetPoster/4184.png,Textures/Atlas/Dyn/PetBattleHead/4184.png,Textures/Atlas/Dyn/PetItem/4184.png
战神之奥兹,101164,201,Textures/Atlas/Dyn/PetHead/101164.png,Textures/Atlas/Dyn/PetCard/101164.png,Textures/Atlas/Dyn/PetPoster/101164.png,Textures/Atlas/Dyn/PetBattleHead/101164.png,Textures/Atlas/Dyn/PetItem/101164.png
光耀之伊丝娜,201164,201,Textures/Atlas/Dyn/PetHead/201164.png,Textures/Atlas/Dyn/PetCard/201164.png,Textures/Atlas/Dyn/PetPoster/201164.png,Textures/Atlas/Dyn/PetBattleHead/201164.png,Textures/Atlas/Dyn/PetItem/201164.png
爆烈之塞斯蒂亚,301164,201,Textures/Atlas/Dyn/PetHead/301164.png,Textures/Atlas/Dyn/PetCard/301164.png,Textures/Atlas/Dyn/PetPoster/301164.png,Textures/Atlas/Dyn/PetBattleHead/301164.png,Textures/Atlas/Dyn/PetItem/301164.png
神辉之安德琳娜,102164,201,Textures/Atlas/Dyn/PetHead/102164.png,Textures/Atlas/Dyn/PetCard/102164.png,Textures/Atlas/Dyn/PetPoster/102164.png,Textures/Atlas/Dyn/PetBattleHead/102164.png,Textures/Atlas/Dyn/PetItem/102164.png
荆棘之奥利安瑞,302164,201,Textures/Atlas/Dyn/PetHead/302164.png,Textures/Atlas/Dyn/PetCard/302164.png,Textures/Atlas/Dyn/PetPoster/302164.png,Textures/Atlas/Dyn/PetBattleHead/302164.png,Textures/Atlas/Dyn/PetItem/302164.png
永堕之法西洛,103164,201,Textures/Atlas/Dyn/PetHead/103164.png,Textures/Atlas/Dyn/PetCard/103164.png,Textures/Atlas/Dyn/PetPoster/103164.png,Textures/Atlas/Dyn/PetBattleHead/103164.png,Textures/Atlas/Dyn/PetItem/103164.png
万象·欧特基科,104164,201,Textures/Atlas/Dyn/PetHead/104164.png,Textures/Atlas/Dyn/PetCard/104164.png,Textures/Atlas/Dyn/PetPoster/104164.png,Textures/Atlas/Dyn/PetBattleHead/104164.png,Textures/Atlas/Dyn/PetItem/104164.png
暗渊之沃娜,105164,201,Textures/Atlas/Dyn/PetHead/105164.png,Textures/Atlas/Dyn/PetCard/105164.png,Textures/Atlas/Dyn/PetPoster/105164.png,Textures/Atlas/Dyn/PetBattleHead/105164.png,Textures/Atlas/Dyn/PetItem/105164.png
疾风·皮扎兰姆,106164,201,Textures/Atlas/Dyn/PetHead/106164.png,Textures/Atlas/Dyn/PetCard/106164.png,Textures/Atlas/Dyn/PetPoster/106164.png,Textures/Atlas/Dyn/PetBattleHead/106164.png,Textures/Atlas/Dyn/PetItem/106164.png
暗裔之亚卡莎,107164,201,Textures/Atlas/Dyn/PetHead/107164.png,Textures/Atlas/Dyn/PetCard/107164.png,Textures/Atlas/Dyn/PetPoster/107164.png,Textures/Atlas/Dyn/PetBattleHead/107164.png,Textures/Atlas/Dyn/PetItem/107164.png
森月·莎缇雅,108164,201,Textures/Atlas/Dyn/PetHead/108164.png,Textures/Atlas/Dyn/PetCard/108164.png,Textures/Atlas/Dyn/PetPoster/108164.png,Textures/Atlas/Dyn/PetBattleHead/108164.png,Textures/Atlas/Dyn/PetItem/108164.png
,111164,201,Textures/Atlas/Dyn/PetHead/111164.png,Textures/Atlas/Dyn/PetCard/111164.png,Textures/Atlas/Dyn/PetPoster/111164.png,Textures/Atlas/Dyn/PetBattleHead/111164.png,Textures/Atlas/Dyn/PetItem/111164.png
,112164,201,Textures/Atlas/Dyn/PetHead/112164.png,Textures/Atlas/Dyn/PetCard/112164.png,Textures/Atlas/Dyn/PetPoster/112164.png,Textures/Atlas/Dyn/PetBattleHead/112164.png,Textures/Atlas/Dyn/PetItem/112164.png
,113164,201,Textures/Atlas/Dyn/PetHead/113164.png,Textures/Atlas/Dyn/PetCard/113164.png,Textures/Atlas/Dyn/PetPoster/113164.png,Textures/Atlas/Dyn/PetBattleHead/113164.png,Textures/Atlas/Dyn/PetItem/113164.png
,114164,201,Textures/Atlas/Dyn/PetHead/114164.png,Textures/Atlas/Dyn/PetCard/114164.png,Textures/Atlas/Dyn/PetPoster/114164.png,Textures/Atlas/Dyn/PetBattleHead/114164.png,Textures/Atlas/Dyn/PetItem/114164.png
暗黑·斐基德拉,401164,201,Textures/Atlas/Dyn/PetHead/401164.png,Textures/Atlas/Dyn/PetCard/401164.png,Textures/Atlas/Dyn/PetPoster/401164.png,Textures/Atlas/Dyn/PetBattleHead/401164.png,Textures/Atlas/Dyn/PetItem/401164.png
