,required,optional,optional,optional,optional
,2013043,Textures/Atlas/Dyn/Item/2013043.png,,1002,0
,2014021,Textures/Atlas/Dyn/Item/2014021.png,,7003;7020;700;302,0
,2014032,Textures/Atlas/Dyn/Item/2014032.png,,7020;700;1002;302,0
,2014043,Textures/Atlas/Dyn/Item/2014043.png,,1002,0
,2021021,Textures/Atlas/Dyn/Item/2021021.png,,7002;7017;700;302,0
,2021032,Textures/Atlas/Dyn/Item/2021032.png,,7017;700;1002;302,0
,2021043,Textures/Atlas/Dyn/Item/2021043.png,,1002,0
,2022021,Textures/Atlas/Dyn/Item/2022021.png,,7002;7017;700;302,0
,2022032,Textures/Atlas/Dyn/Item/2022032.png,,7017;700;1002;302,0
,2022043,Textures/Atlas/Dyn/Item/2022043.png,,1002,0
,2023021,Textures/Atlas/Dyn/Item/2023021.png,,7001;7020;700;302,0
,2023032,Textures/Atlas/Dyn/Item/2023032.png,,7020;700;1002;302,0
,2023043,Textures/Atlas/Dyn/Item/2023043.png,,1002,0
,2024021,Textures/Atlas/Dyn/Item/2024021.png,,7001;7020;700;302,0
,2024032,Textures/Atlas/Dyn/Item/2024032.png,,7020;700;1002;302,0
,2024043,Textures/Atlas/Dyn/Item/2024043.png,,1002,0
,2041021,Textures/Atlas/Dyn/Item/2041021.png,,7004;7018;700;302,0
,2041032,Textures/Atlas/Dyn/Item/2041032.png,,7018;700;1002;302,0
,2041043,Textures/Atlas/Dyn/Item/2041043.png,,1002,0
,2042021,Textures/Atlas/Dyn/Item/2042021.png,,7004;7018;700;302,0
,2042032,Textures/Atlas/Dyn/Item/2042032.png,,7018;700;1002;302,0
,2042043,Textures/Atlas/Dyn/Item/2042043.png,,1002,0
,2043021,Textures/Atlas/Dyn/Item/2043021.png,,7005;7016;700;302,0
,2043032,Textures/Atlas/Dyn/Item/2043032.png,,7016;700;1002;302,0
,2043043,Textures/Atlas/Dyn/Item/2043043.png,,1002,0
,2044021,Textures/Atlas/Dyn/Item/2044021.png,,7005;7016;700;302,0
,2044032,Textures/Atlas/Dyn/Item/2044032.png,,7016;700;1002;302,0
,2044043,Textures/Atlas/Dyn/Item/2044043.png,,1002,0
,2051021,Textures/Atlas/Dyn/Item/2051021.png,,7005;7019;700;302,0
,2051032,Textures/Atlas/Dyn/Item/2051032.png,,7019;700;1002;302,0
,2051043,Textures/Atlas/Dyn/Item/2051043.png,,1002,0
,2052021,Textures/Atlas/Dyn/Item/2052021.png,,7005;7019;700;302,0
,2052032,Textures/Atlas/Dyn/Item/2052032.png,,7019;700;1002;302,0
,2052043,Textures/Atlas/Dyn/Item/2052043.png,,1002,0
,2053021,Textures/Atlas/Dyn/Item/2053021.png,,7004;7017;700;302,0
,2053032,Textures/Atlas/Dyn/Item/2053032.png,,7017;700;1002;302,0
,2053043,Textures/Atlas/Dyn/Item/2053043.png,,1002,0
,2054021,Textures/Atlas/Dyn/Item/2054021.png,,7004;7017;700;302,0
,2054032,Textures/Atlas/Dyn/Item/2054032.png,,7017;700;1002;302,0
,2054043,Textures/Atlas/Dyn/Item/2054043.png,,1002,0
,2061021,Textures/Atlas/Dyn/Item/2061021.png,,7003;7020;700;302,0
,2061032,Textures/Atlas/Dyn/Item/2061032.png,,7020;700;1002;302,0
,2061043,Textures/Atlas/Dyn/Item/2061043.png,,1002,0
,2062021,Textures/Atlas/Dyn/Item/2062021.png,,7003;7020;700;302,0
,2062032,Textures/Atlas/Dyn/Item/2062032.png,,7020;700;1002;302,0
,2062043,Textures/Atlas/Dyn/Item/2062043.png,,1002,0
,2063021,Textures/Atlas/Dyn/Item/2063021.png,,7002;7018;700;302,0
,2063032,Textures/Atlas/Dyn/Item/2063032.png,,7018;700;1002;302,0
,2063043,Textures/Atlas/Dyn/Item/2063043.png,,1002,0
,2064021,Textures/Atlas/Dyn/Item/2064021.png,,7002;7018;700;302,0
,2064032,Textures/Atlas/Dyn/Item/2064032.png,,7018;700;1002;302,0
,2064043,Textures/Atlas/Dyn/Item/2064043.png,,1002,0
,2110001,Textures/Atlas/Dyn/Item/2110001.png,,7006;603;301,0
,2110002,Textures/Atlas/Dyn/Item/2110002.png,,603;301,0
,2110102,Textures/Atlas/Dyn/Item/2110102.png,,7007;603;301,0
,2110103,Textures/Atlas/Dyn/Item/2110103.png,,603;301,0
,2110104,Textures/Atlas/Dyn/Item/2110104.png,,301,0
,2110202,Textures/Atlas/Dyn/Item/2110202.png,,7008;603;301,0
,2110203,Textures/Atlas/Dyn/Item/2110203.png,,603;301,0
,2110204,Textures/Atlas/Dyn/Item/2110204.png,,301,0
,2110302,Textures/Atlas/Dyn/Item/2110302.png,,7009;603;301,0
,2110303,Textures/Atlas/Dyn/Item/2110303.png,,603;301,0
,2110304,Textures/Atlas/Dyn/Item/2110304.png,,301,0
,2110402,Textures/Atlas/Dyn/Item/2110402.png,,7008;603;301,0
,2110403,Textures/Atlas/Dyn/Item/2110403.png,,603;301,0
,2110404,Textures/Atlas/Dyn/Item/2110404.png,,301,0
,2110502,Textures/Atlas/Dyn/Item/2110502.png,,7009;603;301,0
,2110503,Textures/Atlas/Dyn/Item/2110503.png,,603;301,0
,2110504,Textures/Atlas/Dyn/Item/2110504.png,,301,0
,2120013,Textures/Atlas/Dyn/Item/2120013.png,,7006;301;902,0
,2120014,Textures/Atlas/Dyn/Item/2120014.png,,7013;301;902,0
,2120102,Textures/Atlas/Dyn/Item/2120102.png,,7011;301;902,0
,2120103,Textures/Atlas/Dyn/Item/2120103.png,,7014;301;902,0
,2120104,Textures/Atlas/Dyn/Item/2120104.png,,301,0
,2120202,Textures/Atlas/Dyn/Item/2120202.png,,7012;301;902,0
,2120203,Textures/Atlas/Dyn/Item/2120203.png,,7015;301;902,0
,2120204,Textures/Atlas/Dyn/Item/2120204.png,,301,0
,2120302,Textures/Atlas/Dyn/Item/2120302.png,,7011;301;902,0
,2120303,Textures/Atlas/Dyn/Item/2120303.png,,7014;301;902,0
,2120304,Textures/Atlas/Dyn/Item/2120304.png,,301,0
,2120402,Textures/Atlas/Dyn/Item/2120402.png,,7012;301;902,0
,2120403,Textures/Atlas/Dyn/Item/2120403.png,,7015;301;902,0
,2120404,Textures/Atlas/Dyn/Item/2120404.png,,301,0
,3030013,Textures/Atlas/Dyn/Item/3030013.png,,9004;9002;303;304,0
,3030014,Textures/Atlas/Dyn/Item/3030014.png,,304,0
,3060010,Textures/Atlas/Dyn/Item/3060010.png,,407;408;202,0
,3060020,Textures/Atlas/Dyn/Item/3060020.png,,407;408;202,0
,3060030,Textures/Atlas/Dyn/Item/3060030.png,,1001;407;202,0
,3060110,Textures/Atlas/Dyn/Item/3060110.png,,407;408;202,0
,3060120,Textures/Atlas/Dyn/Item/3060120.png,,407;408;202,0
,3060210,Textures/Atlas/Dyn/Item/3060210.png,,407;408;202,0
,3060220,Textures/Atlas/Dyn/Item/3060220.png,,407;408;202,0
,3060310,Textures/Atlas/Dyn/Item/3060310.png,,407;408;202,0
,3060320,Textures/Atlas/Dyn/Item/3060320.png,,407;408;202,0
,3060410,Textures/Atlas/Dyn/Item/3060410.png,,407;408;202,0
,3060420,Textures/Atlas/Dyn/Item/3060420.png,,407;408;202,0
,3060510,Textures/Atlas/Dyn/Item/3060510.png,,407;408;202,0
,3060520,Textures/Atlas/Dyn/Item/3060520.png,,407;408;202,0
,3060610,Textures/Atlas/Dyn/Item/3060610.png,,407;408;202,0
,3060620,Textures/Atlas/Dyn/Item/3060620.png,,407;408;202,0
,5000012,Textures/Atlas/Dyn/Item/5000012.png,,303,0
,5000023,Textures/Atlas/Dyn/Item/5000023.png,,303,0
,5000034,Textures/Atlas/Dyn/Item/5000034.png,,303,0
,6003003,Textures/Atlas/Dyn/Item/6003003.png,,304,0
