,50302,蓄能，释放！
爱琪,50401,不要太迷恋我哟~
,50402,你的视线，离不开我……
,50403,可爱的生命啊，为我而绽放~
兰奇,50501,闪开！
,50502,结束吧，一切都结束吧！
小石头人,10000,杀！狼王大人说统统杀掉！
雷克兽士兵,10001,嗷嗷嗷！别下手这么重啊，一点都不淑女！
雷克兽士兵,10002,我打工赚钱容易吗？你再打我，我就要哭了啊！
劫匪,10006,疼疼疼！就是在欺负人！
劫匪,10007,疼疼疼！根本沉醉不了！
卫兵,10008,卫兵：你们！大胆！我要告诉莱克大人！
卫兵-西蒙,10009,西蒙：你去啊！我早就看他不顺眼了！
哥布林小贼,10010,呃啊！是谁划破了我的宝袋！
矿石守卫,10011,嘴上说着对不起，也没有见你下手轻点啊！
强盗,10012,温丽：求饶吧！不过求饶我也不会放过你！
强盗,10013,强盗：可恶！我还会回来的……
罗丝,10014,贝拉：哼，像你这样娇滴滴的大小姐，知道什么！
爱琳娜,10015,爱琳娜：现在投降的话，还不晚。
爱琳娜,10016,西蒙：嚣张的家伙，要投降的是你！
夜崎隐,10017,夜崎隐：嗯？奥兹之力？你是兰奇的弟弟？
西蒙,10018,西蒙：你认识我哥哥？你到底是谁？
夜崎隐,10019,夜崎隐：哦？用了我的战斗技巧？真有趣呢！
夜崎隐,10021,夜崎隐：没有让我失望哦！兰奇弟弟~
夜崎隐,10022,夜崎隐：今天就到这吧，期待下次见！
丧尸1,10036,丧尸1：啊~好饿啊，我要肉——
狼人战士,10037,狼人战士：嗷呜~热血在体内沸腾了！
丧尸2,10038,丧尸2：啊……呃……肉……
丧尸2,10039,爱琳娜：给我闭上你的嘴！
温丽,10031,温丽：说！这件衣服从哪里来的！
暗黑哥布林,10032,暗黑哥布林：噢！人类，贪婪的家伙！
西蒙,10033,西蒙：你这个哥布林有脸说我们？衣服是谁的？
爱琳娜,10034,爱琳娜：快说！这件衣服是谁的！
暗黑哥布林,10035,暗黑哥布林：难缠的家伙们！
大鱼妖,10041,你们人类这套苦情戏，我早就看腻了！
鹿角兽,10042,放开我的鹿角！我精心打理了三小时呢！
熊人战士,10043,是谁动了我的蜂蜜？
战魂之灵·冰,10044,不要怪我太冷，是你穿得太少。
战魂之灵·暗,10045,战魂之灵·暗：黑暗才是世界之主！
战魂之灵·暗,10046,温丽：也不看看自己几岁了，还说这么中二的话！
战魂之灵·火,10047,你们抵不过火焰的力量！
战魂之灵·光,10048,为什么你们的眼没有被我亮瞎……
,10066,不冬岛的主人是枭鹰族！
,10067,亚兹莫已经答应我们……
,10068,给我等着，迟早会用战舰驱逐你们！
迪罗赞,50503,做好觉悟了吗？
,50504,伊芙利特，消灭他！
,50505,你，就是挑战我的人？
,50506,臣服吧！
,50507,金属风暴！
纳塔娜,50508,大家要选哪个呢？
纳塔娜,50509,果然还是这个
纳塔娜,50510,咕噜咕噜咕噜，魔术师登场，开始表演了哟
纳塔娜,50511,我的回合，抽一张嘛
纳塔娜,50512,变成人偶
纳塔娜,50513,变成胡萝卜
纳塔娜,50514,是惊喜礼物哟
萨米尔,50515,恐惧吧
萨米尔,50516,就在这里
萨米尔,50517,将你，彻底消灭
萨米尔,50518,准备，战！
萨米尔,50519,真弱
萨米尔,50520,别想逃！
萨米尔,50521,战个痛快!
萨米尔,50522,还没完呢
萨米尔,50523,蝼蚁，不该活着
葛莱蒂斯,50557,就是现在，小疾风！
葛莱蒂斯,50558,抓到你了！
葛莱蒂斯,50559,小心点哦！会受伤的！
葛莱蒂斯,50560,抱歉啦！
葛莱蒂斯,50561,我也不愿意这样
葛莱蒂斯,50562,小疾风，到我们登场啦！
葛莱蒂斯,50563,准备好了吗？小疾风！
葛莱蒂斯,50564,遵从命运的指引
阿德琳,50528,我克是一直凶猛的小熊哟
阿德琳,50529,今天的心情是绿色的
阿德琳,50530,荆棘之刺
阿德琳,50531,严酷的惩戒
阿德琳,50532,森林的力量
阿德琳,50533,生长吧
阿德琳,50534,不，要可爱
米兰达,50535,射程瞄准，开火！
米兰达,50536,久违啦， 我的对手们
米兰达,50537,最后一击！
米兰达,50538,屈服吧！
米兰达,50539,应急作战开启
米兰达,50540,引爆！
米兰达,50541,纵深打击，发射！
贪婪,50543,沉沦于贪欲之中
贪婪,50544,沉沦吧
贪婪,50545,天空！大地！吾之所有！
贪婪,50546,吾便是主宰，吾便是世界！
贪婪,50547,汝等难逃吾之手掌
贪婪,50548,感受贪欲！
贪婪,50549,一切都将归吾所有！
蜘蛛女王,50550,很快就会结束的
四提神,50551,绝望
尼格斯,50552,就只到，这种程度吗？
尼格斯,50553,实验开始
尼格斯,50554,不错
尼格斯,50555,爆发吧
尼格斯,50556,那么，结束实验
默西娅,50565,莉莉，我们来，撕裂他们
默西娅,50566,冥蝶，闪动吧。
默西娅,50567,笺华，散落。
默西娅,50568,风鸢，起舞。
默西娅,50569,莉莉，让他们，化为纸屑。
