,required,required,required,required,required,required,required,required,required,required
,2062074,500,2062064,5,2000074,1,0,0,0,0
,2063032,500,2063021,2,0,0,0,0,0,0
,2063043,500,2063032,3,0,0,0,0,0,0
,2063054,500,2063043,5,2000054,1,0,0,0,0
,2063064,500,2063054,5,2000064,1,0,0,0,0
,2063074,500,2063064,5,2000074,1,0,0,0,0
,2064032,500,2064021,2,0,0,0,0,0,0
,2064043,500,2064032,3,0,0,0,0,0,0
,2064054,500,2064043,5,2000054,1,0,0,0,0
,2064064,500,2064054,5,2000064,1,0,0,0,0
,2064074,500,2064064,5,2000074,1,0,0,0,0
