,required,required,required,required,required,required,required,required,required,required
,1089,,1,,空气墙,2,Prefab/Effect/Scene/Effect_Scenemoxin_yuanlingqiang.prefab,,,
,1090,,1,,空气墙,2,Prefab/Effect/Scene/Effect_Scenemoxin_yuanlingqiang.prefab,,,
,1091,,1,"1,0.7,1",空气墙,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1092,,1,,空气墙,2,Prefab/Effect/Scene/Effect_Scenemoxin_yuanlingqiang.prefab,,,
,1093,,1,,空气墙,0,Prefab/Effect/Scene/Effect_Scenemoxin_yuanlingqiang.prefab,,,
,1094,,1,,空气墙,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1095,,0,"1.3,1,1",铁栅栏,0,Prefab/BattleInstance/FB_luximudi_door.prefab,,,
,1098,,1,"1.5,1,1",空气墙,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1099,,0,"1.5,1,1",铁栅栏,0,Prefab/BattleInstance/FB_luximudi_door.prefab,,,
,1100,,0,"1.3,1,1",铁栅栏,0,Prefab/BattleInstance/FB_luximudi_door.prefab,,,
,1101,"5,5,5 ",0,,玫瑰团驻地,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1102,,0,"1.5,1,1",空气墙,0,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1103,,0,"1.5,1,1",铁栅栏,0,Prefab/BattleInstance/FB_luximudi_door.prefab,,,
,1104,,1,"1.3,1,1",铁栅栏,0,Prefab/BattleInstance/FB_luximudi_door.prefab,,,
,1109,,0,,火把,1,Prefab/Effect/Scene/Effect_Scene_caiji.prefab,,,
