,required,required,required,required,required,optional,optional,repeated,required,required,required,repeated,required,required,required,required,required,repeated,required,repeated,required,required,required,required,required,required,required,required,required,required,required,required,required,optional,optional
,40241,,4024,1,91,11,0,0,0,0,0,,0,0,0,0,0,,0,4621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40242,,4024,2,91,11,0,0,0,0,0,,0,0,0,0,0,,0,4622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40243,,4024,3,91,11,0,0,0,0,0,,0,0,0,0,0,,0,4623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40321,,4032,1,91,103,0,0,0,0,0,,0,0,0,0,0,,0,4031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40322,,4032,2,91,103,0,0,0,0,0,,0,0,0,0,0,,0,4032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40323,,4032,3,91,103,0,0,0,0,0,,0,0,0,0,0,,0,4033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40331,,4033,1,91,12,0,0,0,0,0,,0,0,0,0,0,,0,4331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40332,,4033,2,91,12,0,0,0,0,0,,0,0,0,0,0,,0,4332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40333,,4033,3,91,12,0,0,0,0,0,,0,0,0,0,0,,0,4333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40341,,4034,1,91,12,0,0,0,0,0,,0,0,0,0,0,,0,4631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40342,,4034,2,91,12,0,0,0,0,0,,0,0,0,0,0,,0,4632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40343,,4034,3,91,12,0,0,0,0,0,,0,0,0,0,0,,0,4633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40421,,4042,1,91,14,0,0,0,0,0,,0,0,0,0,0,,0,4041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40422,,4042,2,91,14,0,0,0,0,0,,0,0,0,0,0,,0,4042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40423,,4042,3,91,14,0,0,0,0,0,,0,0,0,0,0,,0,4043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40431,,4043,1,91,105,0,0,0,0,0,,0,0,0,0,0,,0,4341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40432,,4043,2,91,105,0,0,0,0,0,,0,0,0,0,0,,0,4342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40433,,4043,3,91,105,0,0,0,0,0,,0,0,0,0,0,,0,4343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40441,,4044,1,91,14,0,0,0,0,0,,0,0,0,0,0,,0,4641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40442,,4044,2,91,14,0,0,0,0,0,,0,0,0,0,0,,0,4642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40443,,4044,3,91,14,0,0,0,0,0,,0,0,0,0,0,,0,4643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40521,,4052,1,91,1,0,0,0,0,0,,0,0,0,0,0,,0,4051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40522,,4052,2,91,1,0,0,0,0,0,,0,0,0,0,0,,0,4052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40523,,4052,3,91,1,0,0,0,0,0,,0,0,0,0,0,,0,4053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40531,,4053,1,91,1,0,0,0,0,0,,0,0,0,0,0,,0,4351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40532,,4053,2,91,1,0,0,0,0,0,,0,0,0,0,0,,0,4352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40533,,4053,3,91,1,0,0,0,0,0,,0,0,0,0,0,,0,4353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40541,,4054,1,91,13,0,0,0,0,0,,0,0,0,0,0,,0,4651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40542,,4054,2,91,13,0,0,0,0,0,,0,0,0,0,0,,0,4652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40543,,4054,3,91,13,0,0,0,0,0,,0,0,0,0,0,,0,4653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40621,,4062,1,91,2,0,0,0,0,0,,0,0,0,0,0,,0,4061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40622,,4062,2,91,2,0,0,0,0,0,,0,0,0,0,0,,0,4062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40623,,4062,3,91,2,0,0,0,0,0,,0,0,0,0,0,,0,4063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40631,,4063,1,91,2,0,0,0,0,0,,0,0,0,0,0,,0,4361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40632,,4063,2,91,2,0,0,0,0,0,,0,0,0,0,0,,0,4362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40633,,4063,3,91,2,0,0,0,0,0,,0,0,0,0,0,,0,4363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40641,,4064,1,91,116,0,0,0,0,0,,0,0,0,0,0,,0,4661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40642,,4064,2,91,116,0,0,0,0,0,,0,0,0,0,0,,0,4662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40643,,4064,3,91,116,0,0,0,0,0,,0,0,0,0,0,,0,4663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40721,,4072,1,91,3,0,0,0,0,0,,0,0,0,0,0,,0,4071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40722,,4072,2,91,3,0,0,0,0,0,,0,0,0,0,0,,0,4072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40723,,4072,3,91,3,0,0,0,0,0,,0,0,0,0,0,,0,4073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40731,,4073,1,91,3,0,0,0,0,0,,0,0,0,0,0,,0,4371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40732,,4073,2,91,3,0,0,0,0,0,,0,0,0,0,0,,0,4372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40733,,4073,3,91,3,0,0,0,0,0,,0,0,0,0,0,,0,4373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40741,,4074,1,91,117,0,0,0,0,0,,0,0,0,0,0,,0,4671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40742,,4074,2,91,117,0,0,0,0,0,,0,0,0,0,0,,0,4672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40743,,4074,3,91,117,0,0,0,0,0,,0,0,0,0,0,,0,4673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40821,,4082,1,91,4,0,0,0,0,0,,0,0,0,0,0,,0,4081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40822,,4082,2,91,4,0,0,0,0,0,,0,0,0,0,0,,0,4082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40823,,4082,3,91,4,0,0,0,0,0,,0,0,0,0,0,,0,4083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40831,,4083,1,91,4,0,0,0,0,0,,0,0,0,0,0,,0,4381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40832,,4083,2,91,4,0,0,0,0,0,,0,0,0,0,0,,0,4382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40833,,4083,3,91,4,0,0,0,0,0,,0,0,0,0,0,,0,4383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40841,,4084,1,91,118,0,0,0,0,0,,0,0,0,0,0,,0,4681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40842,,4084,2,91,118,0,0,0,0,0,,0,0,0,0,0,,0,4682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40843,,4084,3,91,118,0,0,0,0,0,,0,0,0,0,0,,0,4683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40921,,4092,1,91,5,0,0,0,0,0,,0,0,0,0,0,,0,4091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40922,,4092,2,91,5,0,0,0,0,0,,0,0,0,0,0,,0,4092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40923,,4092,3,91,5,0,0,0,0,0,,0,0,0,0,0,,0,4093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40931,,4093,1,91,5,0,0,0,0,0,,0,0,0,0,0,,0,4391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40932,,4093,2,91,5,0,0,0,0,0,,0,0,0,0,0,,0,4392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40933,,4093,3,91,5,0,0,0,0,0,,0,0,0,0,0,,0,4393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40941,,4094,1,91,119,0,0,0,0,0,,0,0,0,0,0,,0,4691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40942,,4094,2,91,119,0,0,0,0,0,,0,0,0,0,0,,0,4692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40943,,4094,3,91,119,0,0,0,0,0,,0,0,0,0,0,,0,4693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41021,,4102,1,91,6,0,0,0,0,0,,0,0,0,0,0,,0,4101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41022,,4102,2,91,6,0,0,0,0,0,,0,0,0,0,0,,0,4102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41023,,4102,3,91,6,0,0,0,0,0,,0,0,0,0,0,,0,4103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41031,,4103,1,91,6,0,0,0,0,0,,0,0,0,0,0,,0,4401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41032,,4103,2,91,6,0,0,0,0,0,,0,0,0,0,0,,0,4402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41033,,4103,3,91,6,0,0,0,0,0,,0,0,0,0,0,,0,4403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41041,,4104,1,91,120,0,0,0,0,0,,0,0,0,0,0,,0,4701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41042,,4104,2,91,120,0,0,0,0,0,,0,0,0,0,0,,0,4702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41043,,4104,3,91,120,0,0,0,0,0,,0,0,0,0,0,,0,4703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41121,,4112,1,91,104,0,0,0,0,0,,0,0,0,0,0,,0,4111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41122,,4112,2,91,104,0,0,0,0,0,,0,0,0,0,0,,0,4112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41123,,4112,3,91,104,0,0,0,0,0,,0,0,0,0,0,,0,4113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41131,,4113,1,91,13,0,0,0,0,0,,0,0,0,0,0,,0,4411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41132,,4113,2,91,13,0,0,0,0,0,,0,0,0,0,0,,0,4412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41133,,4113,3,91,13,0,0,0,0,0,,0,0,0,0,0,,0,4413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41141,,4114,1,91,121,0,0,0,0,0,,0,0,0,0,0,,0,4711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41142,,4114,2,91,121,0,0,0,0,0,,0,0,0,0,0,,0,4712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41143,,4114,3,91,121,0,0,0,0,0,,0,0,0,0,0,,0,4713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41231,,4123,1,91,106,0,0,0,0,0,,0,0,0,0,0,,0,4421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41232,,4123,2,91,106,0,0,0,0,0,,0,0,0,0,0,,0,4422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41233,,4123,3,91,106,0,0,0,0,0,,0,0,0,0,0,,0,4423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41241,,4124,1,91,122,0,0,0,0,0,,0,0,0,0,0,,0,4721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41242,,4124,2,91,122,0,0,0,0,0,,0,0,0,0,0,,0,4722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41243,,4124,3,91,122,0,0,0,0,0,,0,0,0,0,0,,0,4723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41331,,4133,1,91,107,0,0,0,0,0,,0,0,0,0,0,,0,4431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41332,,4133,2,91,107,0,0,0,0,0,,0,0,0,0,0,,0,4432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41333,,4133,3,91,107,0,0,0,0,0,,0,0,0,0,0,,0,4433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41341,,4134,1,91,123,0,0,0,0,0,,0,0,0,0,0,,0,4731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41342,,4134,2,91,123,0,0,0,0,0,,0,0,0,0,0,,0,4732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41343,,4134,3,91,123,0,0,0,0,0,,0,0,0,0,0,,0,4733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41431,,4143,1,91,108,0,0,0,0,0,,0,0,0,0,0,,0,4441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41432,,4143,2,91,108,0,0,0,0,0,,0,0,0,0,0,,0,4442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41433,,4143,3,91,108,0,0,0,0,0,,0,0,0,0,0,,0,4443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41441,,4144,1,91,124,0,0,0,0,0,,0,0,0,0,0,,0,4741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41442,,4144,2,91,124,0,0,0,0,0,,0,0,0,0,0,,0,4742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41443,,4144,3,91,124,0,0,0,0,0,,0,0,0,0,0,,0,4743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41531,,4153,1,91,109,0,0,0,0,0,,0,0,0,0,0,,0,4451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41532,,4153,2,91,109,0,0,0,0,0,,0,0,0,0,0,,0,4452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41533,,4153,3,91,109,0,0,0,0,0,,0,0,0,0,0,,0,4453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41541,,4154,1,91,130,0,0,0,0,0,,0,0,0,0,0,,0,4751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41542,,4154,2,91,130,0,0,0,0,0,,0,0,0,0,0,,0,4752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41543,,4154,3,91,130,0,0,0,0,0,,0,0,0,0,0,,0,4753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41631,,4163,1,91,110,0,0,0,0,0,,0,0,0,0,0,,0,4461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41632,,4163,2,91,110,0,0,0,0,0,,0,0,0,0,0,,0,4462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41633,,4163,3,91,110,0,0,0,0,0,,0,0,0,0,0,,0,4463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41641,,4164,1,91,131,0,0,0,0,0,,0,0,0,0,0,,0,4761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41642,,4164,2,91,131,0,0,0,0,0,,0,0,0,0,0,,0,4762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41643,,4164,3,91,131,0,0,0,0,0,,0,0,0,0,0,,0,4763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41731,,4173,1,91,111,0,0,0,0,0,,0,0,0,0,0,,0,4471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41732,,4173,2,91,111,0,0,0,0,0,,0,0,0,0,0,,0,4472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41733,,4173,3,91,111,0,0,0,0,0,,0,0,0,0,0,,0,4473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41741,,4174,1,91,132,0,0,0,0,0,,0,0,0,0,0,,0,4771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41742,,4174,2,91,132,0,0,0,0,0,,0,0,0,0,0,,0,4772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41743,,4174,3,91,132,0,0,0,0,0,,0,0,0,0,0,,0,4773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41831,,4183,1,91,112,0,0,0,0,0,,0,0,0,0,0,,0,4481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41832,,4183,2,91,112,0,0,0,0,0,,0,0,0,0,0,,0,4482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41833,,4183,3,91,112,0,0,0,0,0,,0,0,0,0,0,,0,4483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41841,,4184,1,91,133,0,0,0,0,0,,0,0,0,0,0,,0,4781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41842,,4184,2,91,133,0,0,0,0,0,,0,0,0,0,0,,0,4782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41843,,4184,3,91,133,0,0,0,0,0,,0,0,0,0,0,,0,4783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41931,,4193,1,91,113,0,0,0,0,0,,0,0,0,0,0,,0,4491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41932,,4193,2,91,113,0,0,0,0,0,,0,0,0,0,0,,0,4492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41933,,4193,3,91,113,0,0,0,0,0,,0,0,0,0,0,,0,4493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41941,,4194,1,91,134,0,0,0,0,0,,0,0,0,0,0,,0,4791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41942,,4194,2,91,134,0,0,0,0,0,,0,0,0,0,0,,0,4792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41943,,4194,3,91,134,0,0,0,0,0,,0,0,0,0,0,,0,4793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,42031,,4203,1,91,114,0,0,0,0,0,,0,0,0,0,0,,0,4501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,42032,,4203,2,91,114,0,0,0,0,0,,0,0,0,0,0,,0,4502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,42033,,4203,3,91,114,0,0,0,0,0,,0,0,0,0,0,,0,4503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,42041,,4204,1,91,135,0,0,0,0,0,,0,0,0,0,0,,0,4801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,42042,,4204,2,91,135,0,0,0,0,0,,0,0,0,0,0,,0,4802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,42043,,4204,3,91,135,0,0,0,0,0,,0,0,0,0,0,,0,4803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,42131,,4213,1,91,115,0,0,0,0,0,,0,0,0,0,0,,0,4511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,42132,,4213,2,91,115,0,0,0,0,0,,0,0,0,0,0,,0,4512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,42133,,4213,3,91,115,0,0,0,0,0,,0,0,0,0,0,,0,4513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,42141,,4214,1,91,125,0,0,0,0,0,,0,0,0,0,0,,0,4811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,42142,,4214,2,91,125,0,0,0,0,0,,0,0,0,0,0,,0,4812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,42143,,4214,3,91,125,0,0,0,0,0,,0,0,0,0,0,,0,4813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,100001,换人上场,10000,1,80,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,1000,0,1,0,0,0,0,0,0,0,0,0,0,0
英雄技能,101011,,10101,1,11,0,0,0,0,0,0,1010101,0,0,0,0,0,,0,,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0
,101021,,10102,1,12,0,0,0,0,0,0,1010201,0,0,0,0,0,,0,,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0
,101031,,10103,1,21,0,0,0,24000,0,0,1010301;1010302;1010303,0,0,0,0,0,,0,10101,0,0,150,1,0,0,0,0,0,0,0,0,0,0,0
,101041,,10104,1,22,0,0,0,30000,0,0,1010401;1010402;1010403;1010404;1010405;1010406,0,0,0,0,0,100101,1,,0,0,150,1,0,0,0,0,0,0,0,0,0,0,0
,101051,,10105,1,23,0,0,0,36000,0,0,1010501;1010502;1010503;1010504,0,0,0,0,0,100301,1,,0,0,200,1,0,0,0,0,0,0,0,0,0,0,0
,101061,,10106,1,24,0,0,0,42000,0,0,1010601;1010602;1010603;1010604;1010605;1010606,0,0,0,0,0,,0,10102,0,0,200,1,0,0,0,0,0,0,0,0,0,0,0
,101071,,10107,1,30,0,0,1,0,0,0,1010701;1010702,0,0,0,0,0,201001,0,10104,0,1000,0,1,0,0,0,0,0,0,0,0,0,0,0
,101081,,10108,1,70,0,0,0,80000,0,0,1010801,0,0,0,0,0,,0,10105,0,1000,0,1,0,0,0,0,0,0,0,0,0,0,0
,101101,,10110,1,50,0,0,0,0,0,0,,0,0,0,0,0,,0,10130;10131,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,101111,,10111,1,51,0,0,0,0,0,0,,0,0,0,0,0,,0,10132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,101121,,10112,1,52,0,0,0,0,0,0,,0,0,0,0,0,,0,10133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,101131,,10113,1,53,0,0,0,0,0,0,,0,0,0,0,0,,0,10136,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,101141,,10114,1,54,0,0,0,0,0,0,,0,0,0,0,0,,0,10137,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,101151,,10115,1,55,0,0,0,0,0,0,,0,0,0,0,0,,0,10138,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,101161,,10116,1,56,0,0,0,0,0,0,,0,0,0,0,0,,0,10191,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,101162,,10116,2,56,0,0,0,0,0,0,,0,0,0,0,0,,0,10192,0,0,0,1,10000,3030013,1,0,0,0,0,0,0,0,0
,101163,,10116,3,56,0,0,0,0,0,0,,0,0,0,0,0,,0,10193,0,0,0,1,50000,3030013,3,0,0,0,0,0,0,0,0
,102141,,10214,1,54,0,0,0,0,0,0,,0,0,0,0,0,,0,10236,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,102151,,10215,1,55,0,0,0,0,0,0,,0,0,0,0,0,,0,10237,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,102161,,10216,1,56,0,0,0,0,0,0,,0,0,0,0,0,,0,10291,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,102162,,10216,2,56,0,0,0,0,0,0,,0,0,0,0,0,,0,10292,0,0,0,1,10000,3030013,1,0,0,0,0,0,0,0,0
,102163,,10216,3,56,0,0,0,0,0,0,,0,0,0,0,0,,0,10293,0,0,0,1,50000,3030013,3,0,0,0,0,0,0,0,0
,102212,,10221,2,11,0,0,0,0,0,0,1022101,0,0,0,0,0,,0,,0,0,0,1,10000,3030013,1,0,0,0,0,0,0,0,0
