,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,10069,1,1820,1830,0,0,11,140,1,50,0,0,0,0
,10070,1,1830,1840,0,0,11,135,1,48,0,0,0,0
,10071,1,1840,1850,0,0,11,135,1,46,0,0,0,0
,10072,1,1850,1900,0,0,11,130,1,44,0,0,0,0
,10073,1,1900,1950,0,0,11,130,1,42,0,0,0,0
,10074,1,1950,2000,0,0,11,125,1,40,0,0,0,0
,10075,1,2000,2050,0,0,11,125,1,38,0,0,0,0
,10076,1,2050,2200,0,0,11,120,1,36,0,0,0,0
,10077,1,2200,2300,0,0,11,120,1,34,0,0,0,0
,10078,1,2300,2400,0,0,11,115,1,32,0,0,0,0
,10079,1,2400,2500,0,0,11,115,1,30,0,0,0,0
,10080,1,2500,2600,0,0,11,110,1,28,0,0,0,0
,10081,1,2600,2800,0,0,11,110,1,26,0,0,0,0
,10082,1,2800,3000,0,0,11,100,1,25,0,0,0,0
,20000,2,1,0,0,0,11,300,3010013,1,0,0,0,0
,20001,2,2,0,0,0,11,300,3010013,2,0,0,0,0
,20002,2,3,0,0,0,11,300,3010013,3,0,0,0,0
,20003,2,4,0,0,0,11,300,3010013,3,0,0,0,0
,20004,2,5,0,0,0,11,300,3010013,5,0,0,0,0
,30001,3,1,0,0,0,15,100,0,0,0,0,0,0
,30002,3,2,0,0,0,15,300,0,0,0,0,0,0
,30003,3,3,0,0,0,15,600,0,0,0,0,0,0
,40001,4,0,1,0,0,15,1000,1,500,0,0,0,0
,40002,4,1,2,0,0,15,900,1,450,0,0,0,0
,40003,4,2,3,0,0,15,800,1,400,0,0,0,0
,40004,4,3,6,0,0,15,720,1,360,0,0,0,0
,40005,4,6,10,0,0,15,640,1,320,0,0,0,0
,40006,4,10,15,0,0,15,560,1,280,0,0,0,0
,40007,4,15,20,0,0,15,500,1,250,0,0,0,0
,40008,4,20,30,0,0,15,440,1,220,0,0,0,0
,40009,4,30,50,0,0,15,400,1,200,0,0,0,0
,40010,4,50,80,0,0,15,360,1,180,0,0,0,0
,40011,4,80,120,0,0,15,320,1,160,0,0,0,0
,40012,4,120,200,0,0,15,280,1,140,0,0,0,0
,40013,4,200,300,0,0,15,240,1,120,0,0,0,0
,40014,4,300,450,0,0,15,200,1,100,0,0,0,0
,40015,4,450,600,0,0,15,160,1,80,0,0,0,0
,40016,4,600,800,0,0,15,120,1,60,0,0,0,0
,40017,4,800,1200,0,0,15,100,1,50,0,0,0,0
,40018,4,1200,1600,0,0,15,80,1,40,0,0,0,0
,40019,4,1600,2000,0,0,15,60,1,30,0,0,0,0
,50001,5,0,1,0,0,15,5000,1,3000,0,0,0,0
,50002,5,1,2,0,0,15,4500,1,2700,0,0,0,0
,50003,5,2,3,0,0,15,4000,1,2400,0,0,0,0
,50004,5,3,6,0,0,15,3600,1,2160,0,0,0,0
,50005,5,6,10,0,0,15,3200,1,1920,0,0,0,0
,50006,5,10,15,0,0,15,2800,1,1680,0,0,0,0
,50007,5,15,20,0,0,15,2500,1,1500,0,0,0,0
,50008,5,20,30,0,0,15,2200,1,1320,0,0,0,0
,50009,5,30,50,0,0,15,2000,1,1200,0,0,0,0
,50010,5,50,80,0,0,15,1800,1,1080,0,0,0,0
,50011,5,80,120,0,0,15,1600,1,960,0,0,0,0
,50012,5,120,200,0,0,15,1400,1,840,0,0,0,0
,50013,5,200,300,0,0,15,1200,1,720,0,0,0,0
,50014,5,300,450,0,0,15,1000,1,600,0,0,0,0
,50015,5,450,600,0,0,15,800,1,480,0,0,0,0
,50016,5,600,800,0,0,15,600,1,360,0,0,0,0
,50017,5,800,1200,0,0,15,500,1,300,0,0,0,0
,50018,5,1200,1600,0,0,15,400,1,240,0,0,0,0
,50019,5,1600,2000,0,0,15,300,1,180,0,0,0,0
,60000,6,0,1,0,0,1,100,0,0,0,0,0,0
,60001,6,1,2,0,0,1,60,0,0,0,0,0,0
,60002,6,2,3,0,0,1,30,0,0,0,0,0,0
,60003,6,3,10,0,0,1,20,0,0,0,0,0,0
,60004,6,10,20,0,0,1,12,0,0,0,0,0,0
,60005,6,20,50,0,0,1,8,0,0,0,0,0,0
,60006,6,50,100,0,0,1,5,0,0,0,0,0,0
,60007,6,100,400,0,0,1,3,0,0,0,0,0,0
,60008,6,400,1000,0,0,1,2,0,0,0,0,0,0
,60009,6,1000,1800,0,0,1,1,0,0,0,0,0,0
,60010,6,1800,3000,0,0,1,1,0,0,0,0,0,0
