,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,10610,106,10,55,3010013,180,3011064,80,0,0,0,0,3000000,15,1000,0,0,0,0
,10611,106,11,60,3010013,210,3011064,100,0,0,0,0,5000000,1,66825,0,0,0,0
,10612,106,12,65,3010013,240,3011064,120,0,0,0,0,10000000,32,2000,0,0,0,0
,10700,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10701,107,1,5,3010013,5,0,0,0,0,0,0,1000,2,1181,0,0,0,0
,10702,107,2,10,3010013,10,0,0,0,0,0,0,2000,13,800,0,0,0,0
,10703,107,3,20,3010013,20,3011074,1,0,0,0,0,5000,0,0,0,0,0,0
,10704,107,4,25,3010013,30,3011074,2,0,0,0,0,50000,4,1128,0,0,0,0
,10705,107,5,30,3010013,50,3011074,5,0,0,0,0,100000,1,43200,0,0,0,0
,10706,107,6,35,3010013,80,3011074,10,0,0,0,0,200000,0,0,0,0,0,0
,10707,107,7,40,3010013,100,3011074,20,0,0,0,0,400000,11,1000,0,0,0,0
,10708,107,8,45,3010013,120,3011074,30,0,0,0,0,800000,32,1500,0,0,0,0
,10709,107,9,50,3010013,150,3011074,50,0,0,0,0,1500000,0,0,0,0,0,0
,10710,107,10,55,3010013,180,3011074,80,0,0,0,0,3000000,18,1000,0,0,0,0
,10711,107,11,60,3010013,210,3011074,100,0,0,0,0,5000000,2,5906,0,0,0,0
,10712,107,12,65,3010013,240,3011074,120,0,0,0,0,10000000,31,2000,0,0,0,0
,10800,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10801,108,1,5,3010013,5,0,0,0,0,0,0,1000,1,14175,0,0,0,0
,10802,108,2,10,3010013,10,0,0,0,0,0,0,2000,12,500,0,0,0,0
,10803,108,3,20,3010013,20,3011084,1,0,0,0,0,5000,0,0,0,0,0,0
,10804,108,4,25,3010013,30,3011084,2,0,0,0,0,50000,3,2572,0,0,0,0
,10805,108,5,30,3010013,50,3011084,5,0,0,0,0,100000,5,1500,0,0,0,0
,10806,108,6,35,3010013,80,3011084,10,0,0,0,0,200000,0,0,0,0,0,0
,10807,108,7,40,3010013,100,3011084,20,0,0,0,0,400000,13,1000,0,0,0,0
,10808,108,8,45,3010013,120,3011084,30,0,0,0,0,800000,31,1500,0,0,0,0
,10809,108,9,50,3010013,150,3011084,50,0,0,0,0,1500000,0,0,0,0,0,0
,10810,108,10,55,3010013,180,3011084,80,0,0,0,0,3000000,15,1000,0,0,0,0
,10811,108,11,60,3010013,210,3011084,100,0,0,0,0,5000000,1,70875,0,0,0,0
,10812,108,12,65,3010013,240,3011084,120,0,0,0,0,10000000,32,2000,0,0,0,0
,11200,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,11201,112,1,5,3010013,5,0,0,0,0,0,0,1000,2,1181,0,0,0,0
,11202,112,2,10,3010013,10,0,0,0,0,0,0,2000,16,800,0,0,0,0
,11203,112,3,20,3010013,20,3011123,1,0,0,0,0,5000,0,0,0,0,0,0
,11204,112,4,25,3010013,30,3011123,2,0,0,0,0,50000,1,30555,0,0,0,0
,11205,112,5,30,3010013,50,3011123,5,0,0,0,0,100000,4,1350,0,0,0,0
,11206,112,6,35,3010013,80,3011123,10,0,0,0,0,200000,0,0,0,0,0,0
,11207,112,7,40,3010013,100,3011123,20,0,0,0,0,400000,15,1000,0,0,0,0
,11208,112,8,45,3010013,120,3011123,30,0,0,0,0,800000,32,1500,0,0,0,0
,11209,112,9,50,3010013,150,3011123,50,0,0,0,0,1500000,0,0,0,0,0,0
,11210,112,10,55,3010013,180,3011123,80,0,0,0,0,3000000,13,1000,0,0,0,0
,11211,112,11,60,3010013,210,3011123,100,0,0,0,0,5000000,2,5906,0,0,0,0
,11212,112,12,65,3010013,240,3011123,120,0,0,0,0,10000000,31,2000,0,0,0,0
,20100,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,20101,201,1,5,3010013,5,0,0,0,0,0,0,1000,3,1158,0,0,0,0
,20102,201,2,10,3010013,10,0,0,0,0,0,0,2000,13,800,0,0,0,0
,20103,201,3,20,3010013,20,3012013,1,0,0,0,0,5000,0,0,0,0,0,0
,20104,201,4,25,3010013,30,3012013,2,0,0,0,0,50000,5,1076,0,0,0,0
,20105,201,5,30,3010013,50,3012013,5,0,0,0,0,100000,1,44100,0,0,0,0
,20106,201,6,35,3010013,80,3012013,10,0,0,0,0,200000,0,0,0,0,0,0
,20107,201,7,40,3010013,100,3012013,20,0,0,0,0,400000,11,1000,0,0,0,0
,20108,201,8,45,3010013,120,3012013,30,0,0,0,0,800000,32,1500,0,0,0,0
,20109,201,9,50,3010013,150,3012013,50,0,0,0,0,1500000,0,0,0,0,0,0
,20110,201,10,55,3010013,180,3012013,80,0,0,0,0,3000000,15,1000,0,0,0,0
,20111,201,11,60,3010013,210,3012013,100,0,0,0,0,5000000,3,5793,0,0,0,0
,20112,201,12,65,3010013,240,3012013,120,0,0,0,0,10000000,31,2000,0,0,0,0
,30100,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,30101,301,1,5,3010013,5,0,0,0,0,0,0,1000,1,13770,0,0,0,0
,30102,301,2,10,3010013,10,0,0,0,0,0,0,2000,11,1000,0,0,0,0
,30103,301,3,20,3010013,20,3013013,1,0,0,0,0,5000,0,0,0,0,0,0
,30104,301,4,25,3010013,30,3013013,2,0,0,0,0,50000,2,2598,0,0,0,0
,30105,301,5,30,3010013,50,3013013,5,0,0,0,0,100000,5,1500,0,0,0,0
,30106,301,6,35,3010013,80,3013013,10,0,0,0,0,200000,0,0,0,0,0,0
,30107,301,7,40,3010013,100,3013013,20,0,0,0,0,400000,15,1000,0,0,0,0
,30108,301,8,45,3010013,120,3013013,30,0,0,0,0,800000,31,1500,0,0,0,0
,30109,301,9,50,3010013,150,3013013,50,0,0,0,0,1500000,0,0,0,0,0,0
,30110,301,10,55,3010013,180,3013013,80,0,0,0,0,3000000,13,1000,0,0,0,0
,30111,301,11,60,3010013,210,3013013,100,0,0,0,0,5000000,1,68850,0,0,0,0
,30112,301,12,65,3010013,240,3013013,120,0,0,0,0,10000000,32,2000,0,0,0,0
,30200,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,30201,302,1,5,3010013,5,0,0,0,0,0,0,1000,3,1147,0,0,0,0
,30202,302,2,10,3010013,10,0,0,0,0,0,0,2000,13,800,0,0,0,0
,30203,302,3,20,3010013,20,3013023,1,0,0,0,0,5000,0,0,0,0,0,0
,30204,302,4,25,3010013,30,3013023,2,0,0,0,0,50000,5,1102,0,0,0,0
,30205,302,5,30,3010013,50,3013023,5,0,0,0,0,100000,1,44100,0,0,0,0
,30206,302,6,35,3010013,80,3013023,10,0,0,0,0,200000,0,0,0,0,0,0
,30207,302,7,40,3010013,100,3013023,20,0,0,0,0,400000,12,800,0,0,0,0
,30208,302,8,45,3010013,120,3013023,30,0,0,0,0,800000,32,1500,0,0,0,0
,30209,302,9,50,3010013,150,3013023,50,0,0,0,0,1500000,0,0,0,0,0,0
,30210,302,10,55,3010013,180,3013023,80,0,0,0,0,3000000,18,1000,0,0,0,0
,30211,302,11,60,3010013,210,3013023,100,0,0,0,0,5000000,3,5737,0,0,0,0
,30212,302,12,65,3010013,240,3013023,120,0,0,0,0,10000000,31,2000,0,0,0,0
,40100,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40101,401,1,5,3010013,5,0,0,0,0,0,0,1000,3,1136,0,0,0,0
,40102,401,2,10,3010013,10,0,0,0,0,0,0,2000,13,800,0,0,0,0
,40103,401,3,20,3010013,20,3014014,1,0,0,0,0,5000,0,0,0,0,0,0
,40104,401,4,25,3010013,30,3014014,2,0,0,0,0,50000,1,30555,0,0,0,0
,40105,401,5,30,3010013,50,3014014,5,0,0,0,0,100000,4,1575,0,0,0,0
,40106,401,6,35,3010013,80,3014014,10,0,0,0,0,200000,0,0,0,0,0,0
,40107,401,7,40,3010013,100,3014014,20,0,0,0,0,400000,18,1000,0,0,0,0
,40108,401,8,45,3010013,120,3014014,30,0,0,0,0,800000,32,1500,0,0,0,0
,40109,401,9,50,3010013,150,3014014,50,0,0,0,0,1500000,0,0,0,0,0,0
,40110,401,10,55,3010013,180,3014014,80,0,0,0,0,3000000,15,1000,0,0,0,0
,40111,401,11,60,3010013,210,3014014,100,0,0,0,0,5000000,3,5681,0,0,0,0
,40112,401,12,65,3010013,240,3014014,120,0,0,0,0,10000000,31,2000,0,0,0,0
