,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,41,4062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,42,4062,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,43,4062,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,44,4062,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,45,4062,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,46,4062,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,47,4062,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,48,4062,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,49,4072,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,50,4072,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,51,4072,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,52,4072,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,53,4072,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,54,4072,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,55,4072,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,56,4072,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,57,4082,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,58,4082,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,59,4082,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,60,4082,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,61,4082,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,62,4082,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,63,4082,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,64,4082,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,65,4092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,66,4092,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,67,4092,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,68,4092,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,69,4092,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,70,4092,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,71,4092,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,72,4092,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,73,4102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,74,4102,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,75,4102,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,76,4102,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,77,4102,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,78,4102,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,79,4102,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,80,4102,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,81,4112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,82,4112,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,83,4112,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,84,4112,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,85,4112,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,86,4112,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,87,4112,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,88,4112,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,89,4013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,90,4013,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,91,4013,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,92,4013,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,93,4013,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,94,4013,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,95,4013,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,96,4013,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,97,4023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,98,4023,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,99,4023,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,100,4023,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,101,4023,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,102,4023,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,103,4023,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,104,4023,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,105,4033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,106,4033,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,107,4033,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,108,4033,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,109,4033,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,110,4033,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,111,4033,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,112,4033,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,113,4043,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,114,4043,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,115,4043,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,116,4043,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,117,4043,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,118,4043,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,119,4043,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,120,4043,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,121,4053,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,122,4053,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,123,4053,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,124,4053,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,125,4053,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,126,4053,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,127,4053,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,128,4053,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,129,4063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,130,4063,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,131,4063,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,132,4063,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,133,4063,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,134,4063,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,135,4063,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,136,4063,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,137,4073,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,138,4073,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,139,4073,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,140,4073,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,141,4073,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,142,4073,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,143,4073,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,144,4073,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,145,4083,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,146,4083,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,147,4083,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,148,4083,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,149,4083,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,150,4083,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,151,4083,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,152,4083,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,153,4093,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,154,4093,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,155,4093,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,156,4093,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,157,4093,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,158,4093,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,159,4093,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,160,4093,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,161,4103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,162,4103,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,163,4103,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,164,4103,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,165,4103,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,166,4103,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,167,4103,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,168,4103,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,169,4113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,170,4113,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,171,4113,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,172,4113,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,173,4113,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,174,4113,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,175,4113,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,176,4113,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,177,4123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,178,4123,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,179,4123,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,180,4123,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,181,4123,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,182,4123,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,183,4123,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,184,4123,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,185,4133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,186,4133,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,187,4133,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,188,4133,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,189,4133,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,190,4133,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,191,4133,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,192,4133,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,193,4143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,194,4143,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,195,4143,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,196,4143,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,197,4143,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,198,4143,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,199,4143,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,200,4143,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,201,4153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,202,4153,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,203,4153,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,204,4153,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,205,4153,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,206,4153,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,207,4153,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,208,4153,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,209,4163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,210,4163,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,211,4163,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,212,4163,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,213,4163,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,214,4163,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,215,4163,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,216,4163,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,217,4173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,218,4173,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,219,4173,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,220,4173,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,221,4173,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,222,4173,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,223,4173,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,224,4173,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,225,4183,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,226,4183,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,227,4183,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,228,4183,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,229,4183,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,230,4183,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,231,4183,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,232,4183,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,233,4193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,234,4193,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,235,4193,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,236,4193,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,237,4193,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,238,4193,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,239,4193,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,240,4193,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,241,4203,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,242,4203,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,243,4203,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,244,4203,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,245,4203,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,246,4203,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,247,4203,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,248,4203,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,249,4213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,250,4213,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,251,4213,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,252,4213,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,253,4213,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,254,4213,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,255,4213,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,256,4213,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,257,4014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,258,4014,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,259,4014,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,260,4014,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,261,4014,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,262,4014,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,263,4014,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,264,4014,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,265,4024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,266,4024,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,267,4024,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,268,4024,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,269,4024,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,270,4024,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,271,4024,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,272,4024,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,273,4034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,274,4034,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,275,4034,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,276,4034,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,277,4034,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,278,4034,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,279,4034,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,280,4034,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,281,4044,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,282,4044,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,283,4044,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,284,4044,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,285,4044,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,286,4044,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,287,4044,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,288,4044,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,289,4054,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,290,4054,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,291,4054,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,292,4054,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,293,4054,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,294,4054,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,295,4054,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,296,4054,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,297,4064,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,298,4064,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,299,4064,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,300,4064,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,301,4064,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,302,4064,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,303,4064,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,304,4064,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,305,4074,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,306,4074,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,307,4074,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,308,4074,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,309,4074,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,310,4074,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,311,4074,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,312,4074,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,313,4084,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,314,4084,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,315,4084,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,316,4084,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,317,4084,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,318,4084,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,319,4084,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,320,4084,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,321,4094,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,322,4094,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
,323,4094,2,3000,3000,3000,3000,3000,100000,1,6003003,25,0,0,0,0
,324,4094,3,5000,5000,5000,5000,5000,300000,2,6003003,50,0,0,0,0
,325,4094,4,7000,7000,7000,7000,7000,500000,3,6003003,80,0,0,0,0
,326,4094,5,10000,10000,10000,10000,10000,1000000,5,6003003,120,0,0,0,0
,327,4094,6,14000,14000,14000,14000,14000,2000000,5,6003003,200,0,0,0,0
,328,4094,7,20000,20000,20000,20000,20000,5000000,5,6003003,500,0,0,0,0
,329,4104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,330,4104,1,1000,1000,1000,1000,1000,20000,0,6003003,10,0,0,0,0
