,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,4144,沧海之莉特,3,5040,1008,165,33,360,72,96,19,96,19,4144,0,0,0,25
,4153,狱戒犬柯贝鲁斯,2,3240,810,207,51,90,22,64,16,50,12,4153,0,0,0,10
,4154,断罪之绮蒂莎,1,5040,1008,270,54,240,48,144,28,96,19,4154,0,0,0,25
,4163,堕牙乌波洛斯,1,3024,756,144,36,162,40,57,14,86,21,4163,0,0,0,10
,4164,浩瀚·伊维亚,1,5040,1008,240,48,270,54,96,19,144,28,4164,0,0,0,25
,4173,幻蝶泰拉,1,3456,864,90,22,90,22,108,27,108,27,4173,0,0,0,10
,4174,丰饶·库尔坎,1,6120,1224,240,48,240,48,120,24,120,24,4174,0,0,0,25
,4183,灾亡龙巴哈姆特,1,3672,918,144,36,144,36,72,18,72,18,4183,0,0,0,10
,4184,魅惑之玛格丽特,3,5580,1116,180,36,330,66,72,14,120,24,4184,0,0,0,25
,4193,噬光者妮珂丝,1,3024,756,162,40,144,36,86,21,57,14,4193,0,0,0,10
,4194,百鬼之奥加,2,5580,1116,330,66,180,36,120,24,72,14,4194,0,0,0,25
,4203,幻梦角尤尼科,1,4104,1026,108,27,108,27,64,16,64,16,4203,0,0,0,10
,4204,荣耀·格里菲,2,5040,1008,360,72,165,33,96,19,96,19,4204,0,0,0,25
,4213,迷宫君主米诺陶,3,3024,756,99,24,216,54,57,14,57,14,4213,0,0,0,10
,4214,永恒之迪拉罕,2,5400,1080,345,69,150,30,108,21,84,16,4214,0,0,0,25
,101164,战神之奥兹,2,10800,1620,720,108,0,0,252,37,228,34,10116,0,0,101,50
,102164,神辉之安德琳娜,2,10476,1571,734,110,0,0,246,36,228,34,10216,0,0,102,50
,103164,永堕之法西洛,2,10800,1620,741,111,0,0,240,36,216,32,10316,0,0,103,50
,104164,万象·欧特基科,2,10692,1603,691,103,0,0,270,40,240,36,10416,0,0,104,50
,105164,暗渊之沃娜,3,10584,1587,0,0,720,108,210,31,270,40,10516,0,0,105,50
,106164,疾风·皮扎兰姆,2,10692,1603,748,112,0,0,210,31,252,37,10616,0,0,106,50
,107164,暗裔之亚卡莎,2,10368,1555,756,113,0,0,258,38,216,32,10716,0,0,107,50
,108164,森月·莎缇雅,3,11340,1701,0,0,705,105,228,34,240,36,10816,0,0,108,50
,201164,光耀之伊丝娜,3,10584,1587,0,0,741,111,216,32,246,36,20116,0,0,201,50
,301164,爆烈之塞斯蒂亚,2,11016,1652,712,106,0,0,228,34,240,36,30116,0,0,301,50
,302164,荆棘之奥利安瑞,3,10584,1587,0,0,734,110,228,34,252,37,30216,0,0,302,50
,401164,暗黑·斐基德拉,3,10476,1571,0,0,727,109,252,37,228,34,40116,0,0,401,50
