,required,optional,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,112433,战龙之靴,112,4,3,4,1,611,130,5,140,30,100000,2130343,1
,112444,战龙之靴,112,4,4,5,1,873,163,5,200,37,300000,2130444,1
,112454,战龙之靴,112,4,5,6,1,1222,209,5,280,48,500000,2130544,1
,112464,战龙之靴,112,4,6,7,1,1746,294,5,400,67,1000000,2130644,1
,201100,永歌魔法杖,201,1,0,3,3,154,38,0,0,0,0,0,0
,301100,万吨拳环,301,1,0,3,2,148,37,0,0,0,0,0,0
,102100,斩雾双刃,102,1,0,3,2,153,38,0,0,0,0,0,0
,302100,舞姬之恋,302,1,0,3,3,153,38,0,0,0,0,0,0
,103100,炙风魔剑,103,1,0,3,2,154,38,0,0,0,0,0,0
,104100,森罗之腕,104,1,0,3,2,144,36,0,0,0,0,0,0
,105100,萤狩弓,105,1,0,3,3,150,37,0,0,0,0,0,0
,106100,魍影之刺,106,1,0,3,2,156,39,0,0,0,0,0,0
,107100,黑翼蛰刀,107,1,0,3,2,157,39,0,0,0,0,0,0
,108100,灵兽藤条,108,1,0,3,3,147,36,0,0,0,0,0,0
,401100,贤者之书,401,1,0,3,3,151,37,0,0,0,0,0,0
,101200,日轮之铠,101,2,0,3,1,1260,315,0,0,0,0,0,0
,201200,朝日烁星服,201,2,0,3,1,1234,308,0,0,0,0,0,0
,301200,疾风格斗服,301,2,0,3,1,1285,321,0,0,0,0,0,0
,102200,瑟银护甲,102,2,0,3,1,1222,305,0,0,0,0,0,0
,302200,暗蔷魅影装,302,2,0,3,1,1234,308,0,0,0,0,0,0
,103200,邪云之袍,103,2,0,3,1,1260,315,0,0,0,0,0,0
,104200,禅见长袍,104,2,0,3,1,1247,311,0,0,0,0,0,0
,105200,浅空华裳,105,2,0,3,1,1234,308,0,0,0,0,0,0
,106200,魅虚冥铠,106,2,0,3,1,1247,311,0,0,0,0,0,0
,107200,冥火披风,107,2,0,3,1,1209,302,0,0,0,0,0,0
,108200,千叶斗篷,108,2,0,3,1,1323,330,0,0,0,0,0,0
,401200,幽岚巫袍,401,2,0,3,1,1222,305,0,0,0,0,0,0
,101300,勇者之狮胫铠,101,3,0,3,1,270,67,4,63,15,0,0,0
,201300,夕空幻想裙,201,3,0,3,1,264,66,4,54,13,0,0,0
,301300,重力紧身裤,301,3,0,3,1,275,68,4,57,14,0,0,0
,102300,奥义之固,102,3,0,3,1,261,65,4,61,15,0,0,0
,302300,绯月舞裙,302,3,0,3,1,264,66,4,57,14,0,0,0
,103300,夜枭护腿,103,3,0,3,1,270,67,4,60,15,0,0,0
,104300,蝉羽护足,104,3,0,3,1,267,66,4,67,16,0,0,0
,105300,青枫叠裙,105,3,0,3,1,264,66,4,52,13,0,0,0
,106300,魂流胫甲,106,3,0,3,1,267,66,4,52,13,0,0,0
,107300,暗幕胫铠,107,3,0,3,1,259,64,4,64,16,0,0,0
,108300,青凛护装,108,3,0,3,1,283,70,4,57,14,0,0,0
,401300,暮夜之胫,401,3,0,3,1,261,65,4,63,15,0,0,0
,101400,战龙之靴,101,4,0,3,1,270,67,5,57,14,0,0,0
,201400,吟咏逐梦靴,201,4,0,3,1,264,66,5,61,15,0,0,0
,301400,踏空之步,301,4,0,3,1,275,68,5,60,15,0,0,0
,102400,长月之踏,102,4,0,3,1,261,65,5,57,14,0,0,0
,302400,魅屐舞步,302,4,0,3,1,264,66,5,63,15,0,0,0
,103400,鬼炎战靴,103,4,0,3,1,270,67,5,54,13,0,0,0
,104400,劲松之靴,104,4,0,3,1,267,66,5,60,15,0,0,0
,105400,叶月华靴,105,4,0,3,1,264,66,5,67,16,0,0,0
,106400,鬼劫足具,106,4,0,3,1,267,66,5,63,15,0,0,0
,107400,蜃楼玄屐,107,4,0,3,1,259,64,5,54,13,0,0,0
,108400,绿意长靴,108,4,0,3,1,283,70,5,60,15,0,0,0
,401400,鬼步龙骑,401,4,0,3,1,261,65,5,57,14,0,0,0
,101111,旭光之剑,101,1,1,3,2,200,45,0,0,0,10000,2130111,1
,201111,永歌魔法杖,201,1,1,3,3,206,46,0,0,0,10000,2130111,1
,301111,万吨拳环,301,1,1,3,2,198,44,0,0,0,10000,2130111,1
,102111,斩雾双刃,102,1,1,3,2,204,45,0,0,0,10000,2130111,1
,302111,舞姬之恋,302,1,1,3,3,204,45,0,0,0,10000,2130111,1
,103111,炙风魔剑,103,1,1,3,2,206,46,0,0,0,10000,2130111,1
,104111,森罗之腕,104,1,1,3,2,192,43,0,0,0,10000,2130111,1
,105111,萤狩弓,105,1,1,3,3,200,45,0,0,0,10000,2130111,1
,106111,魍影之刺,106,1,1,3,2,208,46,0,0,0,10000,2130111,1
,107111,黑翼蛰刀,107,1,1,3,2,210,47,0,0,0,10000,2130111,1
,108111,灵兽藤条,108,1,1,3,3,196,44,0,0,0,10000,2130111,1
,401111,贤者之书,401,1,1,3,3,202,45,0,0,0,10000,2130111,1
,101211,日轮之铠,101,2,1,3,1,1680,378,0,0,0,10000,2130121,1
,201211,朝日烁星服,201,2,1,3,1,1646,370,0,0,0,10000,2130121,1
,301211,疾风格斗服,301,2,1,3,1,1713,385,0,0,0,10000,2130121,1
,102211,瑟银护甲,102,2,1,3,1,1629,366,0,0,0,10000,2130121,1
,302211,暗蔷魅影装,302,2,1,3,1,1646,370,0,0,0,10000,2130121,1
,103211,邪云之袍,103,2,1,3,1,1680,378,0,0,0,10000,2130121,1
,104211,禅见长袍,104,2,1,3,1,1663,374,0,0,0,10000,2130121,1
,105211,浅空华裳,105,2,1,3,1,1646,370,0,0,0,10000,2130121,1
,106211,魅虚冥铠,106,2,1,3,1,1663,374,0,0,0,10000,2130121,1
,107211,冥火披风,107,2,1,3,1,1612,362,0,0,0,10000,2130121,1
,108211,千叶斗篷,108,2,1,3,1,1764,396,0,0,0,10000,2130121,1
,401211,幽岚巫袍,401,2,1,3,1,1629,366,0,0,0,10000,2130121,1
,101311,勇者之狮胫铠,101,3,1,3,1,360,81,4,84,18,10000,2130131,1
,201311,夕空幻想裙,201,3,1,3,1,352,79,4,72,16,10000,2130131,1
,301311,重力紧身裤,301,3,1,3,1,367,82,4,76,17,10000,2130131,1
,102311,奥义之固,102,3,1,3,1,349,78,4,82,18,10000,2130131,1
,302311,绯月舞裙,302,3,1,3,1,352,79,4,76,17,10000,2130131,1
,103311,夜枭护腿,103,3,1,3,1,360,81,4,80,18,10000,2130131,1
,104311,蝉羽护足,104,3,1,3,1,356,80,4,90,20,10000,2130131,1
,105311,青枫叠裙,105,3,1,3,1,352,79,4,70,15,10000,2130131,1
,106311,魂流胫甲,106,3,1,3,1,356,80,4,70,15,10000,2130131,1
,107311,暗幕胫铠,107,3,1,3,1,345,77,4,86,19,10000,2130131,1
,108311,青凛护装,108,3,1,3,1,378,85,4,76,17,10000,2130131,1
,401311,暮夜之胫,401,3,1,3,1,349,78,4,84,18,10000,2130131,1
,101411,战龙之靴,101,4,1,3,1,360,81,5,76,17,10000,2130141,1
,201411,吟咏逐梦靴,201,4,1,3,1,352,79,5,82,18,10000,2130141,1
,301411,踏空之步,301,4,1,3,1,367,82,5,80,18,10000,2130141,1
,102411,长月之踏,102,4,1,3,1,349,78,5,76,17,10000,2130141,1
,302411,魅屐舞步,302,4,1,3,1,352,79,5,84,18,10000,2130141,1
,103411,鬼炎战靴,103,4,1,3,1,360,81,5,72,16,10000,2130141,1
,104411,劲松之靴,104,4,1,3,1,356,80,5,80,18,10000,2130141,1
,105411,叶月华靴,105,4,1,3,1,352,79,5,90,20,10000,2130141,1
,106411,鬼劫足具,106,4,1,3,1,356,80,5,84,18,10000,2130141,1
,107411,蜃楼玄屐,107,4,1,3,1,345,77,5,72,16,10000,2130141,1
,108411,绿意长靴,108,4,1,3,1,378,85,5,80,18,10000,2130141,1
,401411,鬼步龙骑,401,4,1,3,1,349,78,5,76,17,10000,2130141,1
,101122,旭光之剑,101,1,2,3,2,250,56,0,0,0,30000,2130212,1
,201122,永歌魔法杖,201,1,2,3,3,257,57,0,0,0,30000,2130212,1
,301122,万吨拳环,301,1,2,3,2,247,55,0,0,0,30000,2130212,1
,102122,斩雾双刃,102,1,2,3,2,255,57,0,0,0,30000,2130212,1
,302122,舞姬之恋,302,1,2,3,3,255,57,0,0,0,30000,2130212,1
,103122,炙风魔剑,103,1,2,3,2,257,57,0,0,0,30000,2130212,1
,104122,森罗之腕,104,1,2,3,2,240,54,0,0,0,30000,2130212,1
,105122,萤狩弓,105,1,2,3,3,250,56,0,0,0,30000,2130212,1
,106122,魍影之刺,106,1,2,3,2,260,58,0,0,0,30000,2130212,1
,107122,黑翼蛰刀,107,1,2,3,2,262,59,0,0,0,30000,2130212,1
,108122,灵兽藤条,108,1,2,3,3,245,55,0,0,0,30000,2130212,1
,401122,贤者之书,401,1,2,3,3,252,56,0,0,0,30000,2130212,1
,101222,日轮之铠,101,2,2,3,1,2100,472,0,0,0,30000,2130222,1
,201222,朝日烁星服,201,2,2,3,1,2058,463,0,0,0,30000,2130222,1
,301222,疾风格斗服,301,2,2,3,1,2142,481,0,0,0,30000,2130222,1
,102222,瑟银护甲,102,2,2,3,1,2037,458,0,0,0,30000,2130222,1
,302222,暗蔷魅影装,302,2,2,3,1,2058,463,0,0,0,30000,2130222,1
,103222,邪云之袍,103,2,2,3,1,2100,472,0,0,0,30000,2130222,1
,104222,禅见长袍,104,2,2,3,1,2079,467,0,0,0,30000,2130222,1
,105222,浅空华裳,105,2,2,3,1,2058,463,0,0,0,30000,2130222,1
,106222,魅虚冥铠,106,2,2,3,1,2079,467,0,0,0,30000,2130222,1
,107222,冥火披风,107,2,2,3,1,2016,453,0,0,0,30000,2130222,1
,108222,千叶斗篷,108,2,2,3,1,2205,496,0,0,0,30000,2130222,1
,401222,幽岚巫袍,401,2,2,3,1,2037,458,0,0,0,30000,2130222,1
,101322,勇者之狮胫铠,101,3,2,3,1,450,101,4,105,23,30000,2130232,1
,201322,夕空幻想裙,201,3,2,3,1,441,99,4,90,20,30000,2130232,1
,301322,重力紧身裤,301,3,2,3,1,459,103,4,95,21,30000,2130232,1
,102322,奥义之固,102,3,2,3,1,436,98,4,102,23,30000,2130232,1
,302322,绯月舞裙,302,3,2,3,1,441,99,4,95,21,30000,2130232,1
,103322,夜枭护腿,103,3,2,3,1,450,101,4,100,22,30000,2130232,1
,104322,蝉羽护足,104,3,2,3,1,445,100,4,112,25,30000,2130232,1
,105322,青枫叠裙,105,3,2,3,1,441,99,4,87,19,30000,2130232,1
,106322,魂流胫甲,106,3,2,3,1,445,100,4,87,19,30000,2130232,1
,107322,暗幕胫铠,107,3,2,3,1,432,97,4,107,24,30000,2130232,1
,108322,青凛护装,108,3,2,3,1,472,106,4,95,21,30000,2130232,1
,401322,暮夜之胫,401,3,2,3,1,436,98,4,105,23,30000,2130232,1
,101422,战龙之靴,101,4,2,3,1,450,101,5,95,21,30000,2130242,1
,201422,吟咏逐梦靴,201,4,2,3,1,441,99,5,102,23,30000,2130242,1
,301422,踏空之步,301,4,2,3,1,459,103,5,100,22,30000,2130242,1
,102422,长月之踏,102,4,2,3,1,436,98,5,95,21,30000,2130242,1
,302422,魅屐舞步,302,4,2,3,1,441,99,5,105,23,30000,2130242,1
,103422,鬼炎战靴,103,4,2,3,1,450,101,5,90,20,30000,2130242,1
,104422,劲松之靴,104,4,2,3,1,445,100,5,100,22,30000,2130242,1
,105422,叶月华靴,105,4,2,3,1,441,99,5,112,25,30000,2130242,1
,106422,鬼劫足具,106,4,2,3,1,445,100,5,105,23,30000,2130242,1
,107422,蜃楼玄屐,107,4,2,3,1,432,97,5,90,20,30000,2130242,1
,108422,绿意长靴,108,4,2,3,1,472,106,5,100,22,30000,2130242,1
,401422,鬼步龙骑,401,4,2,3,1,436,98,5,95,21,30000,2130242,1
,101133,旭光之剑,101,1,3,4,2,350,75,0,0,0,100000,2130313,1
,201133,永歌魔法杖,201,1,3,4,3,360,77,0,0,0,100000,2130313,1
,301133,万吨拳环,301,1,3,4,2,346,74,0,0,0,100000,2130313,1
,102133,斩雾双刃,102,1,3,4,2,357,76,0,0,0,100000,2130313,1
,302133,舞姬之恋,302,1,3,4,3,357,76,0,0,0,100000,2130313,1
,103133,炙风魔剑,103,1,3,4,2,360,77,0,0,0,100000,2130313,1
,104133,森罗之腕,104,1,3,4,2,336,72,0,0,0,100000,2130313,1
,105133,萤狩弓,105,1,3,4,3,350,75,0,0,0,100000,2130313,1
,106133,魍影之刺,106,1,3,4,2,364,78,0,0,0,100000,2130313,1
,107133,黑翼蛰刀,107,1,3,4,2,367,78,0,0,0,100000,2130313,1
,108133,灵兽藤条,108,1,3,4,3,343,73,0,0,0,100000,2130313,1
,401133,贤者之书,401,1,3,4,3,353,75,0,0,0,100000,2130313,1
,101233,日轮之铠,101,2,3,4,1,2940,630,0,0,0,100000,2130323,1
,201233,朝日烁星服,201,2,3,4,1,2881,617,0,0,0,100000,2130323,1
,301233,疾风格斗服,301,2,3,4,1,2998,642,0,0,0,100000,2130323,1
,102233,瑟银护甲,102,2,3,4,1,2851,611,0,0,0,100000,2130323,1
,302233,暗蔷魅影装,302,2,3,4,1,2881,617,0,0,0,100000,2130323,1
,103233,邪云之袍,103,2,3,4,1,2940,630,0,0,0,100000,2130323,1
,104233,禅见长袍,104,2,3,4,1,2910,623,0,0,0,100000,2130323,1
,105233,浅空华裳,105,2,3,4,1,2881,617,0,0,0,100000,2130323,1
,106233,魅虚冥铠,106,2,3,4,1,2910,623,0,0,0,100000,2130323,1
,107233,冥火披风,107,2,3,4,1,2822,604,0,0,0,100000,2130323,1
,108233,千叶斗篷,108,2,3,4,1,3087,661,0,0,0,100000,2130323,1
,401233,幽岚巫袍,401,2,3,4,1,2851,611,0,0,0,100000,2130323,1
,101333,勇者之狮胫铠,101,3,3,4,1,630,135,4,147,31,100000,2130333,1
,201333,夕空幻想裙,201,3,3,4,1,617,132,4,126,27,100000,2130333,1
,301333,重力紧身裤,301,3,3,4,1,642,137,4,133,28,100000,2130333,1
,102333,奥义之固,102,3,3,4,1,611,130,4,143,30,100000,2130333,1
,302333,绯月舞裙,302,3,3,4,1,617,132,4,133,28,100000,2130333,1
,103333,夜枭护腿,103,3,3,4,1,630,135,4,140,30,100000,2130333,1
,104333,蝉羽护足,104,3,3,4,1,623,133,4,157,33,100000,2130333,1
,105333,青枫叠裙,105,3,3,4,1,617,132,4,122,26,100000,2130333,1
,106333,魂流胫甲,106,3,3,4,1,623,133,4,122,26,100000,2130333,1
,107333,暗幕胫铠,107,3,3,4,1,604,129,4,150,32,100000,2130333,1
,108333,青凛护装,108,3,3,4,1,661,141,4,133,28,100000,2130333,1
,401333,暮夜之胫,401,3,3,4,1,611,130,4,147,31,100000,2130333,1
,101433,战龙之靴,101,4,3,4,1,630,135,5,133,28,100000,2130343,1
,201433,吟咏逐梦靴,201,4,3,4,1,617,132,5,143,30,100000,2130343,1
,301433,踏空之步,301,4,3,4,1,642,137,5,140,30,100000,2130343,1
,102433,长月之踏,102,4,3,4,1,611,130,5,133,28,100000,2130343,1
,302433,魅屐舞步,302,4,3,4,1,617,132,5,147,31,100000,2130343,1
,103433,鬼炎战靴,103,4,3,4,1,630,135,5,126,27,100000,2130343,1
,104433,劲松之靴,104,4,3,4,1,623,133,5,140,30,100000,2130343,1
,105433,叶月华靴,105,4,3,4,1,617,132,5,157,33,100000,2130343,1
,106433,鬼劫足具,106,4,3,4,1,623,133,5,147,31,100000,2130343,1
,107433,蜃楼玄屐,107,4,3,4,1,604,129,5,126,27,100000,2130343,1
,108433,绿意长靴,108,4,3,4,1,661,141,5,140,30,100000,2130343,1
,401433,鬼步龙骑,401,4,3,4,1,611,130,5,133,28,100000,2130343,1
,101144,旭光之剑,101,1,4,5,2,500,93,0,0,0,300000,2130414,1
,201144,永歌魔法杖,201,1,4,5,3,515,96,0,0,0,300000,2130414,1
,301144,万吨拳环,301,1,4,5,2,495,92,0,0,0,300000,2130414,1
,102144,斩雾双刃,102,1,4,5,2,510,95,0,0,0,300000,2130414,1
,302144,舞姬之恋,302,1,4,5,3,510,95,0,0,0,300000,2130414,1
,103144,炙风魔剑,103,1,4,5,2,515,96,0,0,0,300000,2130414,1
,104144,森罗之腕,104,1,4,5,2,480,90,0,0,0,300000,2130414,1
,105144,萤狩弓,105,1,4,5,3,500,93,0,0,0,300000,2130414,1
,106144,魍影之刺,106,1,4,5,2,520,97,0,0,0,300000,2130414,1
,107144,黑翼蛰刀,107,1,4,5,2,525,98,0,0,0,300000,2130414,1
,108144,灵兽藤条,108,1,4,5,3,490,91,0,0,0,300000,2130414,1
,401144,贤者之书,401,1,4,5,3,505,94,0,0,0,300000,2130414,1
,101244,日轮之铠,101,2,4,5,1,4200,787,0,0,0,300000,2130424,1
,201244,朝日烁星服,201,2,4,5,1,4116,771,0,0,0,300000,2130424,1
,301244,疾风格斗服,301,2,4,5,1,4284,803,0,0,0,300000,2130424,1
,102244,瑟银护甲,102,2,4,5,1,4074,763,0,0,0,300000,2130424,1
,302244,暗蔷魅影装,302,2,4,5,1,4116,771,0,0,0,300000,2130424,1
,103244,邪云之袍,103,2,4,5,1,4200,787,0,0,0,300000,2130424,1
,104244,禅见长袍,104,2,4,5,1,4158,779,0,0,0,300000,2130424,1
,105244,浅空华裳,105,2,4,5,1,4116,771,0,0,0,300000,2130424,1
,106244,魅虚冥铠,106,2,4,5,1,4158,779,0,0,0,300000,2130424,1
,107244,冥火披风,107,2,4,5,1,4032,756,0,0,0,300000,2130424,1
,108244,千叶斗篷,108,2,4,5,1,4410,826,0,0,0,300000,2130424,1
,401244,幽岚巫袍,401,2,4,5,1,4074,763,0,0,0,300000,2130424,1
,101344,勇者之狮胫铠,101,3,4,5,1,900,168,4,210,39,300000,2130434,1
,201344,夕空幻想裙,201,3,4,5,1,882,165,4,180,33,300000,2130434,1
,301344,重力紧身裤,301,3,4,5,1,918,172,4,190,35,300000,2130434,1
,102344,奥义之固,102,3,4,5,1,873,163,4,205,38,300000,2130434,1
,302344,绯月舞裙,302,3,4,5,1,882,165,4,190,35,300000,2130434,1
,103344,夜枭护腿,103,3,4,5,1,900,168,4,200,37,300000,2130434,1
,104344,蝉羽护足,104,3,4,5,1,891,167,4,225,42,300000,2130434,1
,105344,青枫叠裙,105,3,4,5,1,882,165,4,175,32,300000,2130434,1
,106344,魂流胫甲,106,3,4,5,1,891,167,4,175,32,300000,2130434,1
,107344,暗幕胫铠,107,3,4,5,1,864,162,4,215,40,300000,2130434,1
,108344,青凛护装,108,3,4,5,1,945,177,4,190,35,300000,2130434,1
,401344,暮夜之胫,401,3,4,5,1,873,163,4,210,39,300000,2130434,1
,101444,战龙之靴,101,4,4,5,1,900,168,5,190,35,300000,2130444,1
,201444,吟咏逐梦靴,201,4,4,5,1,882,165,5,205,38,300000,2130444,1
,301444,踏空之步,301,4,4,5,1,918,172,5,200,37,300000,2130444,1
,102444,长月之踏,102,4,4,5,1,873,163,5,190,35,300000,2130444,1
,302444,魅屐舞步,302,4,4,5,1,882,165,5,210,39,300000,2130444,1
,103444,鬼炎战靴,103,4,4,5,1,900,168,5,180,33,300000,2130444,1
,104444,劲松之靴,104,4,4,5,1,891,167,5,200,37,300000,2130444,1
,105444,叶月华靴,105,4,4,5,1,882,165,5,225,42,300000,2130444,1
,106444,鬼劫足具,106,4,4,5,1,891,167,5,210,39,300000,2130444,1
,107444,蜃楼玄屐,107,4,4,5,1,864,162,5,180,33,300000,2130444,1
,108444,绿意长靴,108,4,4,5,1,945,177,5,200,37,300000,2130444,1
,401444,鬼步龙骑,401,4,4,5,1,873,163,5,190,35,300000,2130444,1
,101154,旭光之剑,101,1,5,6,2,700,120,0,0,0,500000,2130514,1
,201154,永歌魔法杖,201,1,5,6,3,721,123,0,0,0,500000,2130514,1
,301154,万吨拳环,301,1,5,6,2,693,118,0,0,0,500000,2130514,1
,102154,斩雾双刃,102,1,5,6,2,714,122,0,0,0,500000,2130514,1
,302154,舞姬之恋,302,1,5,6,3,714,122,0,0,0,500000,2130514,1
,103154,炙风魔剑,103,1,5,6,2,721,123,0,0,0,500000,2130514,1
,104154,森罗之腕,104,1,5,6,2,672,115,0,0,0,500000,2130514,1
,105154,萤狩弓,105,1,5,6,3,700,120,0,0,0,500000,2130514,1
,106154,魍影之刺,106,1,5,6,2,728,124,0,0,0,500000,2130514,1
,107154,黑翼蛰刀,107,1,5,6,2,735,126,0,0,0,500000,2130514,1
,108154,灵兽藤条,108,1,5,6,3,686,117,0,0,0,500000,2130514,1
,401154,贤者之书,401,1,5,6,3,707,121,0,0,0,500000,2130514,1
,101254,日轮之铠,101,2,5,6,1,5880,1008,0,0,0,500000,2130524,1
,201254,朝日烁星服,201,2,5,6,1,5762,987,0,0,0,500000,2130524,1
,301254,疾风格斗服,301,2,5,6,1,5997,1028,0,0,0,500000,2130524,1
,102254,瑟银护甲,102,2,5,6,1,5703,977,0,0,0,500000,2130524,1
,302254,暗蔷魅影装,302,2,5,6,1,5762,987,0,0,0,500000,2130524,1
,103254,邪云之袍,103,2,5,6,1,5880,1008,0,0,0,500000,2130524,1
,104254,禅见长袍,104,2,5,6,1,5821,997,0,0,0,500000,2130524,1
,105254,浅空华裳,105,2,5,6,1,5762,987,0,0,0,500000,2130524,1
,106254,魅虚冥铠,106,2,5,6,1,5821,997,0,0,0,500000,2130524,1
,107254,冥火披风,107,2,5,6,1,5644,967,0,0,0,500000,2130524,1
,108254,千叶斗篷,108,2,5,6,1,6174,1058,0,0,0,500000,2130524,1
,401254,幽岚巫袍,401,2,5,6,1,5703,977,0,0,0,500000,2130524,1
,101354,勇者之狮胫铠,101,3,5,6,1,1260,216,4,294,50,500000,2130534,1
,201354,夕空幻想裙,201,3,5,6,1,1234,211,4,252,43,500000,2130534,1
,301354,重力紧身裤,301,3,5,6,1,1285,220,4,266,45,500000,2130534,1
,102354,奥义之固,102,3,5,6,1,1222,209,4,287,49,500000,2130534,1
,302354,绯月舞裙,302,3,5,6,1,1234,211,4,266,45,500000,2130534,1
,103354,夜枭护腿,103,3,5,6,1,1260,216,4,280,48,500000,2130534,1
,104354,蝉羽护足,104,3,5,6,1,1247,213,4,315,54,500000,2130534,1
,105354,青枫叠裙,105,3,5,6,1,1234,211,4,245,42,500000,2130534,1
,106354,魂流胫甲,106,3,5,6,1,1247,213,4,245,42,500000,2130534,1
,107354,暗幕胫铠,107,3,5,6,1,1209,207,4,301,51,500000,2130534,1
,108354,青凛护装,108,3,5,6,1,1323,226,4,266,45,500000,2130534,1
,401354,暮夜之胫,401,3,5,6,1,1222,209,4,294,50,500000,2130534,1
,101454,战龙之靴,101,4,5,6,1,1260,216,5,266,45,500000,2130544,1
,201454,吟咏逐梦靴,201,4,5,6,1,1234,211,5,287,49,500000,2130544,1
,301454,踏空之步,301,4,5,6,1,1285,220,5,280,48,500000,2130544,1
,102454,长月之踏,102,4,5,6,1,1222,209,5,266,45,500000,2130544,1
,302454,魅屐舞步,302,4,5,6,1,1234,211,5,294,50,500000,2130544,1
,103454,鬼炎战靴,103,4,5,6,1,1260,216,5,252,43,500000,2130544,1
,104454,劲松之靴,104,4,5,6,1,1247,213,5,280,48,500000,2130544,1
,105454,叶月华靴,105,4,5,6,1,1234,211,5,315,54,500000,2130544,1
,106454,鬼劫足具,106,4,5,6,1,1247,213,5,294,50,500000,2130544,1
,107454,蜃楼玄屐,107,4,5,6,1,1209,207,5,252,43,500000,2130544,1
,108454,绿意长靴,108,4,5,6,1,1323,226,5,280,48,500000,2130544,1
,401454,鬼步龙骑,401,4,5,6,1,1222,209,5,266,45,500000,2130544,1
,101164,旭光之剑,101,1,6,7,2,1000,168,0,0,0,1000000,2130614,1
,201164,永歌魔法杖,201,1,6,7,3,1030,173,0,0,0,1000000,2130614,1
,301164,万吨拳环,301,1,6,7,2,990,167,0,0,0,1000000,2130614,1
,102164,斩雾双刃,102,1,6,7,2,1020,172,0,0,0,1000000,2130614,1
,302164,舞姬之恋,302,1,6,7,3,1020,172,0,0,0,1000000,2130614,1
,103164,炙风魔剑,103,1,6,7,2,1030,173,0,0,0,1000000,2130614,1
,104164,森罗之腕,104,1,6,7,2,960,162,0,0,0,1000000,2130614,1
,105164,萤狩弓,105,1,6,7,3,1000,168,0,0,0,1000000,2130614,1
,106164,魍影之刺,106,1,6,7,2,1040,175,0,0,0,1000000,2130614,1
,107164,黑翼蛰刀,107,1,6,7,2,1050,177,0,0,0,1000000,2130614,1
,108164,灵兽藤条,108,1,6,7,3,980,165,0,0,0,1000000,2130614,1
,401164,贤者之书,401,1,6,7,3,1010,170,0,0,0,1000000,2130614,1
,101264,日轮之铠,101,2,6,7,1,8400,1417,0,0,0,1000000,2130624,1
,201264,朝日烁星服,201,2,6,7,1,8232,1389,0,0,0,1000000,2130624,1
,301264,疾风格斗服,301,2,6,7,1,8568,1445,0,0,0,1000000,2130624,1
,102264,瑟银护甲,102,2,6,7,1,8148,1374,0,0,0,1000000,2130624,1
,302264,暗蔷魅影装,302,2,6,7,1,8232,1389,0,0,0,1000000,2130624,1
,103264,邪云之袍,103,2,6,7,1,8400,1417,0,0,0,1000000,2130624,1
,104264,禅见长袍,104,2,6,7,1,8316,1403,0,0,0,1000000,2130624,1
