,required,optional,required,required,required,optional,optional,optional
,450023,英雄经验礼箱,3,9999,10,0,0,0
,450033,本命经验礼箱,3,9999,10,0,0,0
一阶晶尘宝箱,460013,一阶晶尘宝箱,3,9999,10,0,0,0
,460024,二阶晶尘宝箱,3,9999,10,0,0,0
三阶晶尘宝箱,460034,三阶晶尘宝箱,3,9999,10,0,0,0
,500014,悬赏礼箱,3,9999,10,0,0,0
,500024,军团悬赏宝箱,3,9999,10,0,0,0
,500034,军团悬赏宝箱,3,9999,10,0,0,0
,500044,军团悬赏宝箱,3,9999,10,0,0,0
,500054,军团悬赏宝箱,3,9999,10,0,0,0
,500064,军团悬赏宝箱,3,9999,10,0,0,0
,2110001,绿铜矿石,2,9999,2,100,0,0
强化石,2110002,蓝铁矿石,2,9999,2,100,0,0
高级强化石,2110003,紫锡矿石,2,9999,2,100,0,0
,2110004,橙金矿石,2,9999,2,100,0,0
高级升星石,2120013,星晶石,2,9999,2,100,0,0
,2120014,优质星晶石,2,9999,2,100,0,0
绿色武器进阶石,2130111,壹制·兵刃图谱,2,9999,2,100,0,0
绿色衣服进阶石,2130121,壹制·上衣图谱,2,9999,2,100,0,0
绿色裤子进阶石,2130131,壹制·下装图谱,2,9999,2,100,0,0
绿色鞋子进阶石,2130141,壹制·足靴图谱,2,9999,2,100,0,0
蓝色武器进阶石,2130212,贰制·兵刃图谱,2,9999,2,200,0,0
蓝色衣服进阶石,2130222,贰制·上衣图谱,2,9999,2,200,0,0
蓝色裤子进阶石,2130232,贰制·下装图谱,2,9999,2,200,0,0
蓝色鞋子进阶石,2130242,贰制·足靴图谱,2,9999,2,200,0,0
紫色武器进阶石,2130313,叁制·兵刃图谱,2,9999,2,400,0,0
紫色衣服进阶石,2130323,叁制·上衣图谱,2,9999,2,400,0,0
紫色裤子进阶石,2130333,叁制·下装图谱,2,9999,2,400,0,0
紫色鞋子进阶石,2130343,叁制·足靴图谱,2,9999,2,400,0,0
橙色武器进阶石,2130414,肆制·兵刃图谱,2,9999,2,1000,0,0
橙色衣服进阶石,2130424,肆制·上衣图谱,2,9999,2,1000,0,0
橙色裤子进阶石,2130434,肆制·下装图谱,2,9999,2,1000,0,0
橙色鞋子进阶石,2130444,肆制·足靴图谱,2,9999,2,1000,0,0
橙色R武器进阶石,2130514,伍制·兵刃图谱,2,9999,2,1000,0,0
橙色R衣服进阶石,2130524,伍制·上衣图谱,2,9999,2,1000,0,0
橙色R裤子进阶石,2130534,伍制·下装图谱,2,9999,2,1000,0,0
橙色R鞋子进阶石,2130544,伍制·足靴图谱,2,9999,2,1000,0,0
橙色SR武器进阶石,2130614,陆制·兵刃图谱,2,9999,2,1000,0,0
橙色SR衣服进阶石,2130624,陆制·上衣图谱,2,9999,2,1000,0,0
橙色SR裤子进阶石,2130634,陆制·下装图谱,2,9999,2,1000,0,0
橙色SR鞋子进阶石,2130644,陆制·足靴图谱,2,9999,2,1000,0,0
英雄通用进阶石,3010013,狮心纹章,2,9999,2,100,0,0
专属勋章(西蒙),3011013,奥兹勋章,2,9999,2,1000,0,0
专属勋章(泰雷),3011023,帝国双刃,2,9999,2,1000,0,0
专属勋章(兰奇),3011033,炼狱锁链,2,9999,2,1000,0,0
专属勋章(木禅),3011044,世界树枝,2,9999,2,1000,0,0
专属勋章(碧洛丝),3011054,精灵之矢,2,9999,2,1000,0,0
专属勋章(檐鬼),3011064,合金飞镖,2,9999,2,1000,0,0
专属勋章(该影),3011074,般若面具,2,9999,2,1000,0,0
专属勋章(德鲁伊),3011084,萌态熊爪,2,9999,2,1000,0,0
专属勋章(米兰达),3011123,舰长勋章,2,9999,2,1000,0,0
专属勋章(温丽),3012013,芙蕾雅家徽,2,9999,2,1000,0,0
专属勋章(爱林娜),3013013,异能手环,2,9999,2,1000,0,0
专属勋章(爱琪),3013023,荆棘玫瑰,2,9999,2,1000,0,0
专属勋章(乔伊),3014014,暗龙图腾,2,9999,2,1000,0,0
,3020013,苍蓝精石,2,9999,2,100,0,0
,3020014,紫耀精石,2,9999,2,100,0,0
,3020015,橙星精石,2,9999,2,100,0,0
高级技能石,3030013,武炼石,2,9999,2,100,0,0
,3030014,优质武炼石,2,9999,2,100,0,0
,3040013,轻羽布,2,9999,2,100,0,0
,3040014,织羽绒布,2,9999,2,500,0,0
,3040024,西蒙时装碎片2,2,9999,2,100,0,0
,3040034,西蒙时装碎片3,2,9999,2,100,0,0
,3040044,喵喵公主碎片,2,9999,2,100,0,0
,3040054,温丽时装碎片2,2,9999,2,100,0,0
,3040064,温丽时装碎片3,2,9999,2,100,0,0
,3040074,正义法则碎片,2,9999,2,100,0,0
,3040084,红桃女王碎片,2,9999,2,100,0,0
,3040094,爱琳娜时装碎片3,2,9999,2,100,0,0
,3040104,泰雷时装碎片1,2,9999,2,100,0,0
,3040114,泰雷时装碎片2,2,9999,2,100,0,0
,3040124,泰雷时装碎片3,2,9999,2,100,0,0
,3040134,甜心女神碎片,2,9999,2,100,0,0
,3040144,爱琪时装碎片2,2,9999,2,100,0,0
,3040154,爱琪时装碎片3,2,9999,2,100,0,0
,3040164,兰奇时装碎片1,2,9999,2,100,0,0
,3040174,兰奇时装碎片2,2,9999,2,100,0,0
,3040184,兰奇时装碎片3,2,9999,2,100,0,0
,3040194,木禅时装碎片1,2,9999,2,100,0,0
,3040204,木禅时装碎片2,2,9999,2,100,0,0
,3040214,木禅时装碎片3,2,9999,2,100,0,0
,3040224,檐鬼时装碎片1,2,9999,2,100,0,0
,3040234,檐鬼时装碎片2,2,9999,2,100,0,0
,3040244,檐鬼时装碎片3,2,9999,2,100,0,0
,3060010,魔法电话,6,9999,2,0,0,0
,3060020,整蛊糖豆,6,9999,2,0,0,0
,3060030,迷迭香烤鸡,6,9999,2,0,0,0
,3060110,剑斗联赛门票,6,9999,2,0,0,0
,3060120,刀具护理套装,6,9999,2,0,0,0
,3060210,魔法议会期刊,6,9999,2,0,0,0
,3060220,露西蒂尼手稿,6,9999,2,0,0,0
,3060310,水晶护符,6,9999,2,0,0,0
,3060320,雕花护臂,6,9999,2,0,0,0
,3060410,圣界斗篷,6,9999,2,0,0,0
,3060420,秘密档案,6,9999,2,0,0,0
,3060510,园艺套装,6,9999,2,0,0,0
,3060520,多肉植物,6,9999,2,0,0,0
,3060610,卡城烧烤,6,9999,2,0,0,0
,3060620,蜂蜜奶茶,6,9999,2,0,0,0
,5001012,精准,5,9999,2,1000,0,0
,5001022,精准,5,9999,2,2000,0,0
,5001032,精准,5,9999,2,4000,0,0
,5001042,精准,5,9999,2,8000,0,0
,5001052,精准,5,9999,2,16000,0,0
,5002012,狂暴,5,9999,2,1000,0,0
,5002022,狂暴,5,9999,2,2000,0,0
,5002032,狂暴,5,9999,2,4000,0,0
,5002042,狂暴,5,9999,2,8000,0,0
,5002052,狂暴,5,9999,2,16000,0,0
,5003012,锋刃,5,9999,2,1000,0,0
,5003022,锋刃,5,9999,2,2000,0,0
,5003032,锋刃,5,9999,2,4000,0,0
,5003042,锋刃,5,9999,2,8000,0,0
,5003052,锋刃,5,9999,2,16000,0,0
,5004012,初级神力,5,9999,2,1000,0,0
,5004022,初级神力,5,9999,2,2000,0,0
,5004032,初级神力,5,9999,2,4000,0,0
,5004042,初级神力,5,9999,2,8000,0,0
,5004052,初级神力,5,9999,2,16000,0,0
,5005012,初级魔能,5,9999,2,1000,0,0
,5005022,初级魔能,5,9999,2,2000,0,0
,5005032,初级魔能,5,9999,2,4000,0,0
,5005042,初级魔能,5,9999,2,8000,0,0
,5005052,初级魔能,5,9999,2,16000,0,0
,5006012,初级守护,5,9999,2,1000,0,0
,5006022,初级守护,5,9999,2,2000,0,0
,5006032,初级守护,5,9999,2,4000,0,0
,5006042,初级守护,5,9999,2,8000,0,0
,5006052,初级守护,5,9999,2,16000,0,0
,5007012,兽人天敌,5,9999,2,1000,0,0
,5007022,兽人天敌,5,9999,2,2000,0,0
,5007032,兽人天敌,5,9999,2,4000,0,0
,5007042,兽人天敌,5,9999,2,8000,0,0
,5007052,兽人天敌,5,9999,2,16000,0,0
,5008012,异虫天敌,5,9999,2,1000,0,0
,5008022,异虫天敌,5,9999,2,2000,0,0
,5008032,异虫天敌,5,9999,2,4000,0,0
,5008042,异虫天敌,5,9999,2,8000,0,0
,5008052,异虫天敌,5,9999,2,16000,0,0
,5009012,亡灵天敌,5,9999,2,1000,0,0
,5009022,亡灵天敌,5,9999,2,2000,0,0
,5009032,亡灵天敌,5,9999,2,4000,0,0
,5009042,亡灵天敌,5,9999,2,8000,0,0
,5009052,亡灵天敌,5,9999,2,16000,0,0
,5010012,人族天敌,5,9999,2,1000,0,0
,5010022,人族天敌,5,9999,2,2000,0,0
,5010032,人族天敌,5,9999,2,4000,0,0
,5010042,人族天敌,5,9999,2,8000,0,0
,5010052,人族天敌,5,9999,2,16000,0,0
,5011012,妖精天敌,5,9999,2,1000,0,0
,5011022,妖精天敌,5,9999,2,2000,0,0
,5011032,妖精天敌,5,9999,2,4000,0,0
,5011042,妖精天敌,5,9999,2,8000,0,0
,5011052,妖精天敌,5,9999,2,16000,0,0
,5012012,魔族天敌,5,9999,2,1000,0,0
,5012022,魔族天敌,5,9999,2,2000,0,0
,5012032,魔族天敌,5,9999,2,4000,0,0
,5012042,魔族天敌,5,9999,2,8000,0,0
,5012052,魔族天敌,5,9999,2,16000,0,0
,5021013,中级神力,5,9999,2,2000,0,0
,5021023,中级神力,5,9999,2,4000,0,0
,5021033,中级神力,5,9999,2,8000,0,0
,5021043,中级神力,5,9999,2,16000,0,0
,5021053,中级神力,5,9999,2,32000,0,0
,5022013,中级魔能,5,9999,2,2000,0,0
,5022023,中级魔能,5,9999,2,4000,0,0
,5022033,中级魔能,5,9999,2,8000,0,0
,5022043,中级魔能,5,9999,2,16000,0,0
,5022053,中级魔能,5,9999,2,32000,0,0
,5023013,中级守护,5,9999,2,2000,0,0
,5023023,中级守护,5,9999,2,4000,0,0
,5023033,中级守护,5,9999,2,8000,0,0
,5023043,中级守护,5,9999,2,16000,0,0
,5023053,中级守护,5,9999,2,32000,0,0
,5024013,充能,5,9999,2,2000,0,0
,5024023,充能,5,9999,2,4000,0,0
,5024033,充能,5,9999,2,8000,0,0
,5024043,充能,5,9999,2,16000,0,0
,5024053,充能,5,9999,2,32000,0,0
,5025013,嗜血,5,9999,2,2000,0,0
,5025023,嗜血,5,9999,2,4000,0,0
,5025033,嗜血,5,9999,2,8000,0,0
,5025043,嗜血,5,9999,2,16000,0,0
,5025053,嗜血,5,9999,2,32000,0,0
,5026013,创伤,5,9999,2,2000,0,0
,5026023,创伤,5,9999,2,4000,0,0
,5026033,创伤,5,9999,2,8000,0,0
,5026043,创伤,5,9999,2,16000,0,0
,5026053,创伤,5,9999,2,32000,0,0
,5027013,炽炎,5,9999,2,2000,0,0
,5027023,炽炎,5,9999,2,4000,0,0
,5027033,炽炎,5,9999,2,8000,0,0
,5027043,炽炎,5,9999,2,16000,0,0
,5027053,炽炎,5,9999,2,32000,0,0
,5028013,治愈,5,9999,2,2000,0,0
,5028023,治愈,5,9999,2,4000,0,0
,5028033,治愈,5,9999,2,8000,0,0
,5028043,治愈,5,9999,2,16000,0,0
,5028053,治愈,5,9999,2,32000,0,0
,5029013,领主猎手,5,9999,2,2000,0,0
,5029023,领主猎手,5,9999,2,4000,0,0
,5029033,领主猎手,5,9999,2,8000,0,0
,5029043,领主猎手,5,9999,2,16000,0,0
,5029053,领主猎手,5,9999,2,32000,0,0
,5030013,坚盾,5,9999,2,2000,0,0
,5030023,坚盾,5,9999,2,4000,0,0
,5030033,坚盾,5,9999,2,8000,0,0
,5030043,坚盾,5,9999,2,16000,0,0
,5030053,坚盾,5,9999,2,32000,0,0
,5031013,狂怒,5,9999,2,2000,0,0
,5031023,狂怒,5,9999,2,4000,0,0
,5031033,狂怒,5,9999,2,8000,0,0
,5031043,狂怒,5,9999,2,16000,0,0
,5031053,狂怒,5,9999,2,32000,0,0
,5032013,逆时,5,9999,2,2000,0,0
,5032023,逆时,5,9999,2,4000,0,0
,5032033,逆时,5,9999,2,8000,0,0
,5032043,逆时,5,9999,2,16000,0,0
,5032053,逆时,5,9999,2,32000,0,0
,5041014,高级神力,5,9999,2,5000,0,0
,5041024,高级神力,5,9999,2,10000,0,0
,5041034,高级神力,5,9999,2,20000,0,0
,5041044,高级神力,5,9999,2,40000,0,0
,5041054,高级神力,5,9999,2,80000,0,0
,5042014,高级魔能,5,9999,2,5000,0,0
,5042024,高级魔能,5,9999,2,10000,0,0
,5042034,高级魔能,5,9999,2,20000,0,0
,5042044,高级魔能,5,9999,2,40000,0,0
,5042054,高级魔能,5,9999,2,80000,0,0
,5043014,高级守护,5,9999,2,5000,0,0
,5043024,高级守护,5,9999,2,10000,0,0
,5043034,高级守护,5,9999,2,20000,0,0
,5043044,高级守护,5,9999,2,40000,0,0
,5043054,高级守护,5,9999,2,80000,0,0
,5044014,高级领主猎手,5,9999,2,5000,0,0
,5044024,高级领主猎手,5,9999,2,10000,0,0
,5044034,高级领主猎手,5,9999,2,20000,0,0
,5044044,高级领主猎手,5,9999,2,40000,0,0
,5044054,高级领主猎手,5,9999,2,80000,0,0
,5045014,高级嗜血,5,9999,2,5000,0,0
,5045024,高级嗜血,5,9999,2,10000,0,0
,5045034,高级嗜血,5,9999,2,20000,0,0
,5045044,高级嗜血,5,9999,2,40000,0,0
,5045054,高级嗜血,5,9999,2,80000,0,0
,5046014,禁锢,5,9999,2,5000,0,0
,5046024,禁锢,5,9999,2,10000,0,0
,5046034,禁锢,5,9999,2,20000,0,0
,5046044,禁锢,5,9999,2,40000,0,0
,5046054,禁锢,5,9999,2,80000,0,0
,5047014,高级创伤,5,9999,2,5000,0,0
,5047024,高级创伤,5,9999,2,10000,0,0
,5047034,高级创伤,5,9999,2,20000,0,0
,5047044,高级创伤,5,9999,2,40000,0,0
,5047054,高级创伤,5,9999,2,80000,0,0
,5048014,高级炽炎,5,9999,2,5000,0,0
,5048024,高级炽炎,5,9999,2,10000,0,0
,5048034,高级炽炎,5,9999,2,20000,0,0
,5048044,高级炽炎,5,9999,2,40000,0,0
,5048054,高级炽炎,5,9999,2,80000,0,0
,5049014,高级治愈,5,9999,2,5000,0,0
,5049024,高级治愈,5,9999,2,10000,0,0
,5049034,高级治愈,5,9999,2,20000,0,0
,5049044,高级治愈,5,9999,2,40000,0,0
,5049054,高级治愈,5,9999,2,80000,0,0
,5050014,复生,5,9999,2,5000,0,0
,5050024,复生,5,9999,2,10000,0,0
,5050034,复生,5,9999,2,20000,0,0
,5050044,复生,5,9999,2,40000,0,0
,5050054,复生,5,9999,2,80000,0,0
,5051014,高级狂怒,5,9999,2,5000,0,0
,5051024,高级狂怒,5,9999,2,10000,0,0
,5051034,高级狂怒,5,9999,2,20000,0,0
,5051044,高级狂怒,5,9999,2,40000,0,0
,5051054,高级狂怒,5,9999,2,80000,0,0
,5052014,护身,5,9999,2,5000,0,0
,5052024,护身,5,9999,2,10000,0,0
,5052034,护身,5,9999,2,20000,0,0
,5052044,护身,5,9999,2,40000,0,0
,5052054,护身,5,9999,2,80000,0,0
,6003003,本命异晶,2,9999,2,100,0,0
,7000001,隐身斗篷,8,9999,10,100,0,0
,7000002,狂暴精魄,8,9999,10,100,0,0
,7000006,芙蕾雅秘制药水,8,9999,10,0,0,0
,7000010,镣铐钥匙,8,9999,2,0,0,0
,7000011,盗贼的财宝1,9,9999,10,0,0,0
,7000012,盗贼的财宝2,9,9999,10,0,0,0
,7000013,盗贼的财宝3,9,9999,10,0,0,0
,7000014,强盗的巡逻警哨,8,9999,10,0,0,0
,7000021,杀戮药剂,8,9999,10,100,0,0
,7000022,芙蕾雅家的魔粉,8,9999,10,100,0,0
,7000031,耀光之心,8,9999,10,100,0,0
,7000041,寒霜之心,8,9999,10,100,0,0
,7000051,烈焰之心,8,9999,10,100,0,0
隐身斗篷,7000061,亡灵披风,8,9999,10,0,0,0
杀戮药剂,7000071,亡灵眼泪,8,9999,10,0,0,0
勇士之心,7000081,勇士之心,8,9999,10,0,0,0
勇士的愤怒,7000091,勇士的愤怒,8,9999,10,0,0,0
勇士护甲,7000101,勇士护甲,8,9999,10,0,0,0
沙海虫卵,7000111,沙海虫卵,8,9999,10,100,0,0
沙虫的祈愿,7000121,沙虫秘药,8,9999,10,100,0,0
巫术斗篷,7000122,巫女斗篷,8,9999,10,0,0,0
流炎石,7000132,流炎石,8,9999,2,0,0,0
冰蓝石,7000142,冰蓝石,8,9999,2,0,0,0
曜光石,7000152,曜光石,8,9999,2,0,0,0
沐光之钥,7000162,沐光之钥,8,9999,2,0,0,0
,7000163,变身魔药,8,1,10,0,0,0
镶金魔导箱之钥,7000173,镶金魔导箱之钥,3,9999,3,100,0,0
镶金魔导箱之钥,7000183,镶金魔导箱之钥,3,9999,3,100,0,0
耀晶魔导箱之钥,7000184,耀晶魔导箱之钥,3,9999,3,100,0,0
,7000201,名画箱,3,9999,10,0,0,0
,7000202,圣名画箱,3,9999,10,0,0,0
,7000203,传世名画箱,3,9999,10,0,0,0
,7000231,翡翠箱,3,9999,10,0,0,0
,7000232,绿翡翠箱,3,9999,10,0,0,0
,7000233,曜日翡翠箱,3,9999,10,0,0,0
,7000261,古董箱,3,9999,10,0,0,0
,7000262,秘古董箱,3,9999,10,0,0,0
,7000263,皇室古董箱,3,9999,10,0,0,0
,7000291,珍珠箱,3,9999,10,0,0,0
,7000292,海珍珠箱,3,9999,10,0,0,0
,7000293,纯然珍珠箱,3,9999,10,0,0,0
,7000341,天然木匣,3,9999,10,0,0,0
,7000342,星河宝匣,3,9999,10,0,0,0
,7000343,穹宇星秘匣,3,9999,10,0,0,0
,7000345,纹章符石,3,9999,10,100,0,0
魔石礼包,8000012,限量罗兰礼箱,3,9999,10,100,0,0
金币礼包,8000032,限量耀银礼箱,3,9999,10,100,0,0
英雄经验药水,8000042,王者经验礼箱,3,9999,10,100,0,0
养成材料礼包,8000052,英雄强化礼箱,3,9999,10,100,0,0
英雄礼包,8000062,召唤大师礼箱,3,9999,10,100,0,0
,8000102,时尚之都礼箱,3,9999,10,0,0,0
奖励接口测试1,8000111,奖励接口测试1,3,1,10,100,0,0
奖励接口测试2,8000112,奖励接口测试2,3,1,10,100,0,0
奖励接口测试3,8000113,奖励接口测试3,3,1,10,100,0,0
奖励接口测试4,8000114,奖励接口测试4,3,1,10,100,0,0
奖励接口测试5,8000115,奖励接口测试5,3,1,10,100,0,0
王者经验礼包,8000132,限量符文礼箱,3,9999,10,100,0,0
,8000221,罗兰币礼箱,3,9999,10,100,0,0
,8000305,密林赠礼·①,3,9999,10,100,0,0
,8000315,密林赠礼·②,3,9999,10,100,0,0
