,required,optional,required,required,required,required,required,required,required,required,required,repeated,required,required,repeated,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
【技能2】获得护盾提升100%，【技能1】、【技能3】、【技能4】伤害提升50%，持续1招。不可叠加。,102901,,1029,1,0,0,13,1,0,10000,0,0,1,0,10401;10402;10403;10404,0,0,0,0,0,0,0,0,0,0,0,0
使用【技能2】和【技能3】将会重置【技能1】的冷却时间并使伤害提升30%，持续到本轮攻击结束。不可叠加。,103001,,1030,1,0,0,23,0,0,10000,0,0,1,0,10715;10716,0,0,0,0,31,3000,0,0,0,0,0,0
暴击率提升30%，持续到本轮攻击结束。不可叠加。,103101,,1031,1,0,0,23,0,0,10000,0,0,1,0,,0,0,0,0,13,3000,0,0,0,0,0,0
暴击伤害提升30%，持续到本轮攻击结束。不可叠加。,103201,,1032,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,0,14,3000,0,0,0,0,0,0
无法进行援护，持续到本轮攻击结束。不可叠加。,103301,,1033,0,0,0,23,0,0,10000,1,0,1,0,10213,0,0,0,0,0,0,0,0,0,0,0,0
【技能1】无法使用，持续20招。不可叠加。,103401,,1034,0,0,0,23,1,0,10000,1,0,1,0,10608,0,0,0,0,0,0,0,0,0,0,0,0
【技能2】无法使用，持续20招。不可叠加。,103501,,1035,0,0,0,23,1,0,10000,1,0,1,0,10609,0,0,0,0,0,0,0,0,0,0,0,0
【技能3】无法使用，持续20招。不可叠加。,103601,,1036,0,0,0,23,1,0,10000,1,0,1,0,10610,0,0,0,0,0,0,0,0,0,0,0,0
【技能4】无法使用，持续20招。不可叠加。,103701,,1037,0,0,0,23,1,0,10000,1,0,1,0,10611,0,0,0,0,0,0,0,0,0,0,0,0
命中率与闪避率降低10%，持续到本轮攻击结束。不可叠加。,103801,,1038,0,0,0,23,1,0,10000,1,0,1,0,,0,0,0,1,11,1000,1,12,1000,0,0,0
可使【技能4】的火球数目增加，永久持续。叠加型印记，最多4层。,200101,,2001,1,0,0,0,0,0,10000,2,0,4,0,,0,0,0,0,0,0,0,0,0,0,0,0
命中率降低10%，持续4招。不可叠加。,101301,,1013,0,0,0,13,4,0,10000,1,0,4,0,,0,0,0,1,11,1000,0,0,0,0,0,0
所有技能额外造成30%无视防御的伤害，持续到本轮攻击结束。不可叠加。,100701,,1007,1,0,0,23,0,0,10000,0,0,1,0,30203,0,0,0,0,0,0,0,0,0,0,0,0
可使【技能4】的火球数目增加，永久持续。叠加型印记，最多4层。,200102,,2001,1,0,0,0,0,0,4000,2,0,4,0,,0,0,0,0,0,0,0,0,0,0,0,0
持有裂伤状态时，所受攻击伤害降低10%，永久持续。不可叠加型印记。,200201,,2002,1,0,0,0,0,0,10000,2,0,1,0,10301,0,0,0,0,0,0,0,0,0,0,0,0
持续损失生命值，持续10招。不可叠加。,100801,,1008,0,0,0,13,10,0,10000,1,1008;1016,1,0,,1000,0,0,0,0,0,0,0,0,0,0,0
每拥有一个负面状态，伤害提升10%，永久持续。不可叠加型印记。,200301,,2003,1,0,0,0,0,0,10000,2,0,1,0,10305,0,0,0,0,0,0,0,0,0,0,0,0
自身治疗量降低100%，所有攻击技能伤害提升20%，永久持续。不可叠加型印记。,200401,,2004,1,0,0,0,0,0,10000,2,0,1,0,10308;10309,0,0,0,0,0,0,0,0,0,0,0,0
反弹30%伤害，持续10招，不可叠加。,100901,,1009,1,0,0,13,10,0,10000,0,0,1,0,10432,0,0,0,0,0,0,0,0,0,0,0,0
无法使用辅助技和进行援护，持续到本轮攻击结束。不可叠加。,101001,,1010,0,0,0,13,10,0,10000,1,0,1,0,10407;10408,0,0,0,0,0,0,0,0,0,0,0,0
每层使治疗效果提升3%，永久持续。叠加型印记，最多10层。,200501,,2005,1,0,0,0,0,0,10000,2,0,10,0,,0,0,0,0,0,0,0,0,0,0,0,0
每层使治疗效果提升3%，永久持续。叠加型印记，最多10层。,200502,,2005,1,0,0,0,0,0,5000,2,0,10,0,,0,0,0,0,0,0,0,0,0,0,0,0
可使乔伊的所有技能触发额外效果，永久持续。叠加型印记，最多3层。,200902,,2009,1,0,0,0,0,0,3000,2,0,3,0,,0,0,0,0,0,0,0,0,0,0,0,0
物理攻击与物理防御提升5%，永久持续。不可叠加型印记。,201001,,2010,1,0,0,0,0,0,10000,2,0,3,0,,0,0,0,5,4,500,5,2,500,0,0,0
每层使暴击率提升10%，永久持续。叠加型印记。,201101,,2011,1,0,0,0,0,0,10000,2,0,4,0,,0,0,0,0,13,300,0,0,0,0,0,0
物理防御提升1%，永久持续。不可叠加型印记。,201201,,2012,1,0,0,0,0,0,10000,2,0,1,0,,0,0,0,5,4,100,0,0,0,0,0,0
物理防御提升2%，永久持续。不可叠加型印记。,201202,,2012,1,0,0,0,0,0,10000,2,0,1,0,,0,0,0,5,4,200,0,0,0,0,0,0
物理防御提升5%，永久持续。不可叠加型印记。,201203,,2012,1,0,0,0,0,0,10000,2,0,1,0,,0,0,0,5,4,500,0,0,0,0,0,0
每叠加5层额外造成1次50%无视防御的伤害，并扣除5层该印记，永久持续。叠加型印记。,201301,,2013,0,0,0,0,0,0,10000,2,0,10,0,,5000,5,0,0,0,0,0,0,0,0,0,0
每叠加5层额外造成1次50%无视防御的伤害，并扣除5层该印记，永久持续。叠加型印记。,201302,,2013,0,0,0,0,0,0,5000,2,0,10,0,,5000,5,0,0,0,0,0,0,0,0,0,0
每叠加5层额外造成1次75%无视防御的伤害且回复伤害30%生命值，并扣除5层该印记，永久持续。叠加型印记。,201303,,2013,0,0,0,0,0,0,10000,2,0,10,0,,7500,5,3000,0,0,0,0,0,0,0,0,0
每叠加5层额外造成1次75%无视防御的伤害且回复伤害30%生命值，并扣除5层该印记，永久持续。叠加型印记。,201304,,2013,0,0,0,0,0,0,5000,2,0,10,0,,7500,5,3000,0,0,0,0,0,0,0,0,0
可使该隐的【技能1】和【技能4】触发额外效果，永久持续。不可叠加型印记。,201401,,2014,1,0,0,0,0,0,10000,2,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
可使该隐的【技能2】和【技能4】触发额外效果，永久持续。不可叠加型印记。,201501,,2015,1,0,0,0,0,0,10000,2,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
可使该隐的【技能3】和【技能4】触发额外效果，永久持续。不可叠加型印记。,201601,,2016,1,0,0,0,0,0,10000,2,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
可使该隐的【技能3】和【技能4】触发额外效果，永久持续。不可叠加型印记。,201701,,2017,1,0,0,0,0,0,10000,2,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
每层使暴击率提升3%，永久持续。叠加型印记，最多10层。,201801,,2018,1,0,0,0,0,0,10000,2,0,10,0,,0,0,0,0,13,200,0,0,0,0,0,0
每层使暴击率提升3%，永久持续。叠加型印记，最多10层。,201802,,2018,1,0,0,0,0,0,5000,2,0,10,0,,0,0,0,0,13,200,0,0,0,0,0,0
葛莱蒂丝使用【技能1】、【技能3】与【奥义技】时所需，除葛莱蒂丝技能消耗外，不会因其它方式被消除，永久持续。叠加型印记，最多10枚。,300001,,3000,1,0,0,0,0,0,10000,2,0,10,0,,0,0,0,0,0,0,0,0,0,0,0,0
葛莱蒂丝使用【技能1】、【技能3】与【奥义技】时所需，除葛莱蒂丝技能消耗外，不会因其它方式被消除，永久持续。叠加型印记，最多10枚。,300002,,3000,1,0,0,0,0,0,5000,2,0,10,0,,0,0,0,0,0,0,0,0,0,0,0,0
无法进行援护，持续到敌方攻击结束。不可叠加。,101201,,1012,0,0,0,23,1,0,10000,1,0,1,0,10613,0,0,0,0,0,0,0,0,0,0,0,0
物理防御与魔法防御提升200点，持续到本轮攻击结束。不可叠加。,400101,,4001,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,0,4,200,0,5,200,0,0,0
物理防御与魔法防御提升350点，持续到本轮攻击结束。不可叠加。,400102,,4001,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,0,4,350,0,5,350,0,0,0
物理防御与魔法防御提升500点，持续到本轮攻击结束。不可叠加。,400103,,4001,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,0,4,500,0,5,500,0,0,0
物理防御与魔法防御提升700点，持续到本轮攻击结束。不可叠加。,400104,,4001,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,0,4,700,0,5,700,0,0,0
物理防御与魔法防御提升1000点，持续到本轮攻击结束。不可叠加。,400105,,4001,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,0,4,1000,0,5,1000,0,0,0
物理防御与魔法防御提升5%，持续到本轮攻击结束。不可叠加。,400201,,4002,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,5,4,500,5,5,500,0,0,0
物理防御与魔法防御提升7%，持续到本轮攻击结束。不可叠加。,400202,,4002,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,5,4,700,5,5,700,0,0,0
物理防御与魔法防御提升9%，持续到本轮攻击结束。不可叠加。,400203,,4002,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,5,4,900,5,5,900,0,0,0
物理防御与魔法防御提升12%，持续到本轮攻击结束。不可叠加。,400204,,4002,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,5,4,1200,5,5,1200,0,0,0
物理防御与魔法防御提升15%，持续到本轮攻击结束。不可叠加。,400205,,4002,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,5,4,1500,5,5,1500,0,0,0
伤害减免提升10%，持续到本轮攻击结束。不可叠加。,400301,,4003,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,0,32,1000,0,0,0,0,0,0
伤害减免提升14%，持续到本轮攻击结束。不可叠加。,400302,,4003,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,0,32,1400,0,0,0,0,0,0
伤害减免提升18%，持续到本轮攻击结束。不可叠加。,400303,,4003,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,0,32,1800,0,0,0,0,0,0
伤害减免提升23%，持续到本轮攻击结束。不可叠加。,400304,,4003,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,0,32,2300,0,0,0,0,0,0
伤害减免提升28%，持续到本轮攻击结束。不可叠加。,400305,,4003,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,0,32,2800,0,0,0,0,0,0
无法进行援护，持续1招。不可叠加。,400401,,4004,0,0,0,13,1,0,10000,1,0,1,0,546101,0,0,0,0,0,0,0,0,0,0,0,0
无法进行援护，持续2招。不可叠加。,400402,,4004,0,0,0,13,2,0,10000,1,0,1,0,546101,0,0,0,0,0,0,0,0,0,0,0,0
无法进行援护，持续3招。不可叠加。,400403,,4004,0,0,0,13,3,0,10000,1,0,1,0,546101,0,0,0,0,0,0,0,0,0,0,0,0
无法进行援护，持续3招。不可叠加。,400404,,4004,0,0,0,13,3,0,10000,1,0,1,0,546101,0,0,0,0,0,0,0,0,0,0,0,0
无法进行援护，持续3招。不可叠加。,400405,,4004,0,0,0,13,3,0,10000,1,0,1,0,546101,0,0,0,0,0,0,0,0,0,0,0,0
伤害加成提升10%，持续到本轮攻击结束。不可叠加。,400501,,4005,1,0,0,13,1,0,10000,0,0,1,0,,0,0,0,0,31,1000,0,0,0,0,0,0
伤害加成提升12%，持续到本轮攻击结束。不可叠加。,400502,,4005,1,0,0,13,1,0,10000,0,0,1,0,,0,0,0,0,31,1200,0,0,0,0,0,0
伤害加成提升15%，持续到本轮攻击结束。不可叠加。,400503,,4005,1,0,0,13,1,0,10000,0,0,1,0,,0,0,0,0,31,1500,0,0,0,0,0,0
伤害加成提升18%，持续到本轮攻击结束。不可叠加。,400504,,4005,1,0,0,13,1,0,10000,0,0,1,0,,0,0,0,0,31,1800,0,0,0,0,0,0
伤害加成提升22%，持续到本轮攻击结束。不可叠加。,400505,,4005,1,0,0,13,1,0,10000,0,0,1,0,,0,0,0,0,31,2200,0,0,0,0,0,0
每层使暴击率提升1%，持续到本轮攻击结束。可叠加，最多5层。,410101,,4101,1,0,0,23,1,0,10000,0,0,5,0,,0,0,0,0,13,100,0,0,0,0,0,0
每层使暴击率提升1%，持续到本轮攻击结束。可叠加，最多8层。,410102,,4101,1,0,0,23,1,0,10000,0,0,8,0,,0,0,0,0,13,100,0,0,0,0,0,0
每层使暴击率提升1%，持续到本轮攻击结束。可叠加，最多12层。,410103,,4101,1,0,0,23,1,0,10000,0,0,12,0,,0,0,0,0,13,100,0,0,0,0,0,0
持续损失一定生命值，持续到本轮攻击结束。不可叠加。,410201,,1014,0,0,0,23,0,0,10000,1,0,1,0,,2000,0,0,0,0,0,0,0,0,0,0,0
持续损失一定生命值，持续到本轮攻击结束。不可叠加。,410202,,1014,0,0,0,23,0,0,10000,1,0,1,0,,3000,0,0,0,0,0,0,0,0,0,0,0
持续损失一定生命值，持续到本轮攻击结束。不可叠加。,410203,,1014,0,0,0,23,0,0,10000,1,0,1,0,,5000,0,0,0,0,0,0,0,0,0,0,0
伤害加成提升1%，持续到本轮攻击结束。可叠加，最多5层。,410301,,4103,1,0,0,23,0,0,10000,0,0,5,0,,0,0,0,0,31,100,0,0,0,0,0,0
伤害加成提升2%，持续到本轮攻击结束。可叠加，最多5层。,410302,,4103,1,0,0,23,0,0,10000,0,0,5,0,,0,0,0,0,31,200,0,0,0,0,0,0
伤害加成提升3%，持续到本轮攻击结束。可叠加，最多5层。,410303,,4103,1,0,0,23,0,0,10000,0,0,5,0,,0,0,0,0,31,300,0,0,0,0,0,0
无法使用奥义技，永久持续。,500402,封绝,5004,0,0,0,0,0,0,10000,1,,1,0,121101,0,0,0,0,0,0,0,0,0,0,0,0
物理攻击提升20%，永久持续。不可叠加。,501201,物攻提高,5012,0,0,0,0,0,0,10000,0,,1,0,,0,0,0,5,2,2000,0,0,0,0,0,0
魔法攻击提升20%，永久持续。不可叠加。,501301,魔攻提高,5013,0,0,0,0,0,0,10000,0,,1,0,,0,0,0,5,3,2000,0,0,0,0,0,0
暴击抵抗率提升100%，永久持续。不可叠加。,501401,抗暴提高,5014,0,0,0,0,0,0,10000,0,,1,0,,0,0,0,0,15,10000,0,0,0,0,0,0
物理防御与魔法防御降低10%，永久持续。不可叠加。,502401,偷袭,5024,0,0,0,0,0,0,10000,1,,1,1,,0,0,0,6,4,1000,6,5,1000,0,0,0
伤害加成提升20%，永久持续。可叠加，层数不限。,600004,,1003,1,0,0,0,0,0,10000,0,0,0,0,,0,0,0,0,31,2000,0,0,0,0,0,0
暴击率提升100%，永久持续。不可叠加。,700001,,5005,1,0,0,0,0,0,10000,0,0,1,0,,0,0,0,0,13,10000,0,0,0,0,0,0
伤害加成提升20%，永久持续。可叠加，层数不限。,700002,,1003,1,0,0,0,0,0,10000,0,0,0,0,,0,0,0,0,31,2000,0,0,0,0,0,0
伤害加成提升20%，永久持续。不可叠加。,700005,,1003,1,0,0,0,0,0,10000,0,0,1,0,,0,0,0,0,31,2000,0,0,0,0,0,0
攻击时回复生命值，造成伤害的20%，永久存在，可叠4层，不可清除,700007,,5023,0,0,0,23,1,0,10000,0,,4,1,1631,0,0,0,0,0,0,0,0,0,0,0,0
伤害提升20%，受到伤害降低20%，永久持续，不可叠加。,700101,,7001,0,0,0,0,0,0,10000,0,,1,1,,0,0,0,0,31,2000,0,32,2000,0,0,0
持续损失生命值，永久持续。不可叠加。,700201,,1014,0,0,0,0,0,0,10000,1,1014;1015,1,0,,5000,0,0,0,0,0,0,0,0,0,0,0
持续损失较多生命值，永久持续。不可叠加。,700301,,1015,0,0,0,0,0,0,10000,1,1014;1015,1,0,,10000,0,0,0,0,0,0,0,0,0,0,0
伤害加成提升20%，永久持续。不可叠加。,700003,,1003,1,0,0,0,0,0,10000,0,0,0,0,,0,0,0,0,31,2000,0,0,0,0,0,0
物理防御与魔法防御降低10%，永久持续。可叠加，最多5层。,500301,,5003,0,0,0,0,0,0,10000,1,0,10,0,,0,0,0,6,4,1000,6,5,1000,0,0,0
无法使用奥义技，持续到本轮攻击结束。不可叠加。,500401,,5004,0,0,0,23,1,0,10000,1,0,1,0,121101,0,0,0,0,0,0,0,0,0,0,0,0
暴击率提升10%，暴击伤害提升30%，永久持续。可叠加，层数不限。,500501,,5005,0,0,0,0,0,0,10000,0,0,10,0,,0,0,0,0,13,1000,0,14,3000,0,0,0
伤害减免提升8%，永久持续。可叠加，最多10层。,500601,,5006,1,0,0,0,0,0,10000,0,0,10,0,,0,0,0,0,32,800,0,0,0,0,0,0
持续损失生命值，持续10招。不可叠加。,700004,,1008,0,0,0,13,10,0,10000,1,1008;1016,1,0,,5000,0,0,0,0,0,0,0,0,0,0,0
无法行动与进行援护，持续到本轮攻击结束。不可叠加。,700006,,1005,0,0,0,23,1,0,10000,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
暴击率提升100%，永久持续。不可叠加。,500502,,5005,0,0,0,0,0,0,10000,0,0,1,0,,0,0,0,0,13,10000,0,0,0,0,0,0
伤害减免提升50%，永久持续。不可叠加。,500602,,5006,0,0,0,0,0,0,10000,0,0,1,0,,0,0,0,0,32,5000,0,0,0,0,0,0
使用技能时，恢复5%生命值，永久持续。不可叠加。,500701,,5007,0,0,0,0,0,0,10000,0,0,1,0,3003,0,0,0,0,0,0,0,0,0,0,0,0
可使乔伊的所有技能触发额外效果，永久持续。叠加型印记，最多3层。,200901,,2009,1,0,0,0,0,0,10000,2,0,3,0,,0,0,0,0,0,0,0,0,0,0,0,0
技能冷却时间增加，持续到本轮攻击结束。不可叠加。,800001,,5008,0,0,0,23,1,0,10000,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
伤害减免提升95%，持续到本轮攻击结束。不可叠加。,800002,,5006,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,0,32,9500,0,0,0,0,0,0
无法进行援护，持续到敌方攻击结束。不可叠加。,800003,,1012,0,0,0,23,1,0,10000,1,0,1,0,2003,0,0,0,0,0,0,0,0,0,0,0,0
无法行动与进行援护，持续到本轮攻击结束。不可叠加。,800004,,1005,0,0,0,23,1,0,10000,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
持续损失生命值，持续10招。不可叠加。,800005,,1008,0,0,0,23,1,0,10000,1,1008;1016,1,0,,5000,0,0,0,0,0,0,0,0,0,0,0
持续损失生命值，持续5招。不可叠加。,800006,,1014,0,0,0,13,5,0,10000,1,1014;1015,1,0,,5000,0,0,0,0,0,0,0,0,0,0,0
物理攻击与魔法攻击降低50%，持续到本轮攻击结束。不可叠加。,800007,,8001,0,0,0,23,1,0,10000,1,0,1,0,,0,0,0,6,2,5000,6,3,5000,0,0,0
无法行动与进行援护，持续到本轮攻击结束。不可叠加。,800008,,1005,0,0,0,23,1,0,10000,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
技能冷却时间增加，持续到本轮攻击结束。不可叠加。,800009,,5008,0,0,0,23,1,0,10000,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
伤害减免提升95%，持续到本轮攻击结束。不可叠加。,800010,,5006,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,0,32,9500,0,0,0,0,0,0
持续损失生命值，持续到本轮攻击结束。不可叠加。,800011,,1008,0,0,0,23,1,0,10000,1,1008;1016,1,0,,5000,0,0,0,0,0,0,0,0,0,0,0
所有攻击技与辅助技无法使用，持续到本轮攻击结束。不可叠加。,800012,,5009,0,0,0,23,1,0,10000,1,0,1,0,134101,10000,0,0,0,0,0,0,0,0,0,0,0
格挡率提升20%，永久持续。不可叠加,501001,,5010,1,0,0,0,0,0,10000,0,0,1,0,,0,0,0,0,16,10000,0,0,0,0,0,0
伤害降低10%，伤害减免降低5%，永久持续。可叠加，层数不限。,501101,,5011,0,0,0,0,0,0,10000,1,0,1,0,,0,0,0,1,31,1000,1,32,500,0,0,0
测试用，攻防提高10倍,600101,,6001,0,0,0,0,0,0,10000,0,0,1,0,,0,0,0,5,2,100000,5,3,100000,0,32,9000
伤害加成提升20%，永久持续。不可叠加。,700011,,1003,1,0,0,0,0,0,10000,0,0,0,0,,0,0,0,0,31,2000,0,0,0,0,0,0
伤害加成提升40%，永久持续。不可叠加。,700012,,1003,1,0,0,0,0,0,10000,0,0,0,0,,0,0,0,0,31,4000,0,0,0,0,0,0
伤害加成提升60%，永久持续。不可叠加。,700013,,1003,1,0,0,0,0,0,10000,0,0,0,0,,0,0,0,0,31,6000,0,0,0,0,0,0
伤害加成提升80%，永久持续。不可叠加。,700014,,1003,1,0,0,0,0,0,10000,0,0,0,0,,0,0,0,0,31,8000,0,0,0,0,0,0
伤害加成提升100%，永久持续。不可叠加。,700015,,1003,1,0,0,0,0,0,10000,0,0,0,0,,0,0,0,0,31,10000,0,0,0,0,0,0
抵消受到的1次攻击的绝大部分伤害，持续到本轮攻击结束，最多3层。,800013,坚壁,5015,1,0,0,23,1,0,10000,0,,3,0,,0,0,0,0,32,9500,0,0,0,0,0,0
降低受到的物理伤害50%，永久持续，不可叠加。,800014,矢量引导,5016,1,0,0,0,0,0,10000,0,5017,1,0,160303,0,0,0,0,0,0,0,0,0,0,0,0
降低受到的魔法伤害50%，永久持续，不可叠加。,800015,魔力偏移,5017,1,0,0,0,0,0,10000,0,5016,1,0,160304,0,0,0,0,0,0,0,0,0,0,0,0
伤害提升50%，受到伤害降低30%，永久持续，最多2层。,800016,决战,5018,1,0,0,0,0,0,10000,0,,2,0,160601;160602,0,0,0,0,0,0,0,0,0,0,0,0
每层使闪避率提升10%，永久持续，最多5层。,800017,岚闪,5019,1,0,0,0,0,0,10000,0,,5,0,,0,0,0,0,12,1000,0,0,0,0,0,0
每层使暴击率提升10%，暴击伤害提升30%，永久持续，最多5层。,800018,狂猎,5020,1,0,0,0,0,0,10000,0,,5,0,,0,0,0,0,13,1000,0,14,3000,0,0,0
受到的伤害反弹200%，持续到本轮攻击结束，不可叠加。,800019,绞噬,5021,1,0,0,23,0,0,10000,0,,1,0,162501,0,0,0,0,0,0,0,0,0,0,0,0
受到的伤害由双方均摊，持续到本轮攻击结束，不可叠加。,800020,转噬,5022,1,0,0,23,0,0,10000,0,,1,0,163501,0,0,0,0,0,0,0,0,0,0,0,0
