,required,required,required,optional,optional,optional,optional,optional,optional,optional
,400101,400101,4001,Textures/Atlas/Dyn/Buff/shenzhibiyou.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_shenzhibiyou.prefab,,0
,400102,400102,4001,Textures/Atlas/Dyn/Buff/shenzhibiyou.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_shenzhibiyou.prefab,,0
,400103,400103,4001,Textures/Atlas/Dyn/Buff/shenzhibiyou.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_shenzhibiyou.prefab,,0
,400104,400104,4001,Textures/Atlas/Dyn/Buff/shenzhibiyou.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_shenzhibiyou.prefab,,0
,400105,400105,4001,Textures/Atlas/Dyn/Buff/shenzhibiyou.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_shenzhibiyou.prefab,,0
,400201,400201,4002,Textures/Atlas/Dyn/Buff/shenzhibiyou.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_shenzhibiyou.prefab,,0
,400202,400202,4002,Textures/Atlas/Dyn/Buff/shenzhibiyou.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_shenzhibiyou.prefab,,0
,400203,400203,4002,Textures/Atlas/Dyn/Buff/shenzhibiyou.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_shenzhibiyou.prefab,,0
,400204,400204,4002,Textures/Atlas/Dyn/Buff/shenzhibiyou.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_shenzhibiyou.prefab,,0
,400205,400205,4002,Textures/Atlas/Dyn/Buff/shenzhibiyou.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_shenzhibiyou.prefab,,0
,400301,400301,4003,Textures/Atlas/Dyn/Buff/shenzhibiyou.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_shenzhibiyou.prefab,,0
,400302,400302,4003,Textures/Atlas/Dyn/Buff/shenzhibiyou.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_shenzhibiyou.prefab,,0
,400303,400303,4003,Textures/Atlas/Dyn/Buff/shenzhibiyou.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_shenzhibiyou.prefab,,0
,400304,400304,4003,Textures/Atlas/Dyn/Buff/shenzhibiyou.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_shenzhibiyou.prefab,,0
,400305,400305,4003,Textures/Atlas/Dyn/Buff/shenzhibiyou.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_shenzhibiyou.prefab,,0
,400401,400401,4004,Textures/Atlas/Dyn/Buff/jingu.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_jingu.prefab,,0
,400402,400402,4004,Textures/Atlas/Dyn/Buff/jingu.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_jingu.prefab,,0
,400403,400403,4004,Textures/Atlas/Dyn/Buff/jingu.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_jingu.prefab,,0
,400404,400404,4004,Textures/Atlas/Dyn/Buff/jingu.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_jingu.prefab,,0
,400405,400405,4004,Textures/Atlas/Dyn/Buff/jingu.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_jingu.prefab,,0
,400501,400501,4005,Textures/Atlas/Dyn/Buff/anxiang.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_anxiang.prefab,,0
,400502,400502,4005,Textures/Atlas/Dyn/Buff/anxiang.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_anxiang.prefab,,0
,400503,400503,4005,Textures/Atlas/Dyn/Buff/anxiang.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_anxiang.prefab,,0
,400504,400504,4005,Textures/Atlas/Dyn/Buff/anxiang.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_anxiang.prefab,,0
,400505,400505,4005,Textures/Atlas/Dyn/Buff/anxiang.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_anxiang.prefab,,0
,410101,410101,4101,Textures/Atlas/Dyn/Buff/zenghen.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_zenghen.prefab,,0
,410102,410102,4101,Textures/Atlas/Dyn/Buff/zenghen.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_zenghen.prefab,,0
,410103,410103,4101,Textures/Atlas/Dyn/Buff/zenghen.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_zenghen.prefab,,0
,410201,410201,1014,Textures/Atlas/Dyn/Buff/zhimingfuhua.png,,,,,,0
,410202,410202,1014,Textures/Atlas/Dyn/Buff/zhimingfuhua.png,,,,,,0
,410203,410203,1014,Textures/Atlas/Dyn/Buff/zhimingfuhua.png,,,,,,0
,410301,410301,4103,Textures/Atlas/Dyn/Buff/anxiang.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_anxiang.prefab,,0
,410302,410302,4103,Textures/Atlas/Dyn/Buff/anxiang.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_anxiang.prefab,,0
,410303,410303,4103,Textures/Atlas/Dyn/Buff/anxiang.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_anxiang.prefab,,0
,500301,500301,5003,Textures/Atlas/Dyn/Buff/jiangfang.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_jiangfang.prefab,,0
,500401,500401,5004,Textures/Atlas/Dyn/Buff/jinduanzhizhou.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_jinduanzhizhou.prefab,,0
,500402,500402,5004,Textures/Atlas/Dyn/Buff/jinduanzhizhou.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_jinduanzhizhou.prefab,,0
,500501,500501,5005,Textures/Atlas/Dyn/Buff/baoji.png,,,,,,0
,500502,500502,5005,Textures/Atlas/Dyn/Buff/baoji.png,,,,,,0
,500601,500601,5006,Textures/Atlas/Dyn/Buff/jiangshang.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_jianshang.prefab,,0
,500602,500602,5006,Textures/Atlas/Dyn/Buff/jiangshang.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_jianshang.prefab,,0
,500701,500701,5007,Textures/Atlas/Dyn/Buff/huifu.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_huifu.prefab,,0
,501001,501001,5010,Textures/Atlas/Dyn/Buff/gedang.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_gedang.prefab,,0
,501101,501101,5011,Textures/Atlas/Dyn/Buff/ruohua.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_ruohua.prefab,,0
,501201,501201,5012,Textures/Atlas/Dyn/Buff/anxiang.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_anxiang.prefab,,0
,501301,501301,5013,Textures/Atlas/Dyn/Buff/jinengzengqiang.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_jinengzengqiang.prefab,,0
,501401,501401,5014,Textures/Atlas/Dyn/Buff/resistance.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_dikang.prefab,,0
,502401,502401,5024,Textures/Atlas/Dyn/Buff/jiangfang.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_jiangfang.prefab,,0
,600004,600004,1003,Textures/Atlas/Dyn/Buff/zhongjizengfu.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_zhongjizengfu.prefab,,0
,600101,600101,6001,Textures/Atlas/Dyn/Buff/defaultbuff.png,,,,,,0
,700001,700001,5005,Textures/Atlas/Dyn/Buff/baoji.png,,,,,,0
,700002,700002,1003,Textures/Atlas/Dyn/Buff/zhongjizengfu.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_zhongjizengfu.prefab,,0
,700003,700003,1003,Textures/Atlas/Dyn/Buff/zhongjizengfu.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_zhongjizengfu.prefab,,0
,700004,700004,1008,Textures/Atlas/Dyn/Buff/lieshang.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_lieshang.prefab,,0
,700005,700005,1003,Textures/Atlas/Dyn/Buff/zhongjizengfu.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_zhongjizengfu.prefab,,0
,700006,700006,1005,Textures/Atlas/Dyn/Buff/xuanyun.png,,Effect_debuff_xuanyun,,Prefab/EffectUI/Effect_UI_buff_ty_xuanyun.prefab,,0
,700007,700007,5023,Textures/Atlas/Dyn/Buff/defaultbuff.png,,,,,,0
,700011,700011,1003,Textures/Atlas/Dyn/Buff/zhongjizengfu.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_zhongjizengfu.prefab,,0
,700012,700012,1003,Textures/Atlas/Dyn/Buff/zhongjizengfu.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_zhongjizengfu.prefab,,0
,700013,700013,1003,Textures/Atlas/Dyn/Buff/zhongjizengfu.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_zhongjizengfu.prefab,,0
,700014,700014,1003,Textures/Atlas/Dyn/Buff/zhongjizengfu.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_zhongjizengfu.prefab,,0
,700015,700015,1003,Textures/Atlas/Dyn/Buff/zhongjizengfu.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_zhongjizengfu.prefab,,0
,700101,700101,7001,Textures/Atlas/Dyn/Buff/zhongjizengfu.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_zhongjizengfu.prefab,,0
,700201,700201,1014,Textures/Atlas/Dyn/Buff/fuhua.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_fuhua.prefab,,0
,700301,700301,1015,Textures/Atlas/Dyn/Buff/zhimingfuhua.png,,,,,,0
,800001,800001,5008,Textures/Atlas/Dyn/Buff/mabi.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_mabi.prefab,,0
,800002,800002,5006,Textures/Atlas/Dyn/Buff/jiangshang.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_jianshang.prefab,,0
,800003,800003,1012,Textures/Atlas/Dyn/Buff/diyujiasuo.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_diyujiasuo.prefab,,0
,800004,800004,1005,Textures/Atlas/Dyn/Buff/xuanyun.png,,Effect_debuff_xuanyun,,Prefab/EffectUI/Effect_UI_buff_ty_xuanyun.prefab,,0
,800005,800005,1008,Textures/Atlas/Dyn/Buff/lieshang.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_lieshang.prefab,,0
,800006,800006,1014,Textures/Atlas/Dyn/Buff/fuhua.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_fuhua.prefab,,0
,800007,800007,8001,Textures/Atlas/Dyn/Buff/wuli.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_wuli.prefab,,0
,800008,800008,1005,Textures/Atlas/Dyn/Buff/xuanyun.png,,Effect_debuff_xuanyun,,Prefab/EffectUI/Effect_UI_buff_ty_xuanyun.prefab,,0
,800009,800009,5008,Textures/Atlas/Dyn/Buff/mabi.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_mabi.prefab,,0
,800010,800010,5006,Textures/Atlas/Dyn/Buff/jiangshang.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_jianshang.prefab,,0
,800011,800011,1008,Textures/Atlas/Dyn/Buff/lieshang.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_lieshang.prefab,,0
,800012,800012,5009,Textures/Atlas/Dyn/Buff/duotianzhiyin.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_duotianzhiyin.prefab,,0
,800013,800013,5015,Textures/Atlas/Dyn/Buff/defaultbuff.png,,,,,,0
,800014,800014,5016,Textures/Atlas/Dyn/Buff/defaultbuff.png,,,,,,0
,800015,800015,5017,Textures/Atlas/Dyn/Buff/defaultbuff.png,,,,,,0
,800016,800016,5018,Textures/Atlas/Dyn/Buff/defaultbuff.png,,,,,,0
,800017,800017,5019,Textures/Atlas/Dyn/Buff/defaultbuff.png,,,,,,0
,800018,800018,5020,Textures/Atlas/Dyn/Buff/defaultbuff.png,,,,,,0
,800019,800019,5021,Textures/Atlas/Dyn/Buff/defaultbuff.png,,,,,,0
,800020,800020,5022,Textures/Atlas/Dyn/Buff/defaultbuff.png,,,,,,0
