,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,4051,,10000,0,1,20,65,1,0,0,0,10,99,405101,405102,0,
,4052,,10000,0,1,20,65,1,0,0,0,10,99,405201,405202,0,
,4053,,10000,0,1,20,65,1,0,0,0,10,99,405301,405302,0,
,4061,,10000,0,1,20,65,2,0,0,0,10,99,405101,405102,0,
,4062,,10000,0,1,20,65,2,0,0,0,10,99,405201,405202,0,
,4063,,10000,0,1,20,65,2,0,0,0,10,99,405301,405302,0,
,4071,,10000,0,1,20,65,3,0,0,0,10,99,405101,405102,0,
,4072,,10000,0,1,20,65,3,0,0,0,10,99,405201,405202,0,
,4073,,10000,0,1,20,65,3,0,0,0,10,99,405301,405302,0,
,4081,,10000,0,1,20,65,4,0,0,0,10,99,405101,405102,0,
,4082,,10000,0,1,20,65,4,0,0,0,10,99,405201,405202,0,
,4083,,10000,0,1,20,65,4,0,0,0,10,99,405301,405302,0,
,4091,,10000,0,1,20,65,5,0,0,0,10,99,405101,405102,0,
,4092,,10000,0,1,20,65,5,0,0,0,10,99,405201,405202,0,
,4093,,10000,0,1,20,65,5,0,0,0,10,99,405301,405302,0,
,4101,,10000,0,1,20,65,6,0,0,0,10,99,405101,405102,0,
,4102,,10000,0,1,20,65,6,0,0,0,10,99,405201,405202,0,
,4103,,10000,0,1,20,65,6,0,0,0,10,99,405301,405302,0,
,4111,,10000,0,1,10,31,3,1,0,0,10,11,72,0,20,
,4112,,10000,0,1,10,31,3,1,0,0,10,11,72,0,30,
,4113,,10000,0,1,10,31,3,1,0,0,10,11,72,0,45,
,4311,,10000,0,1,20,67,0,0,0,0,10,99,431101,0,0,
,4312,,10000,0,1,20,67,0,0,0,0,10,99,431201,0,0,
,4313,,10000,0,1,20,67,0,0,0,0,10,99,431301,0,0,
,4321,,10000,0,1,20,67,0,0,0,0,10,11,22,5,2000,
,4322,,10000,0,1,20,67,0,0,0,0,10,11,22,5,2500,
,4323,,10000,0,1,20,67,0,0,0,0,10,11,22,5,3000,
,4331,,10000,0,1,20,66,2,0,0,0,10,99,433101,433102,0,
,4332,,10000,0,1,20,66,2,0,0,0,10,99,433201,433202,0,
,4333,,10000,0,1,20,66,2,0,0,0,10,99,433301,433302,0,
,4341,,10000,0,1,10,51,0,0,0,0,10,11,73,5,300,
,4342,,10000,0,1,10,51,0,0,0,0,10,11,73,5,500,
,4343,,10000,0,1,10,51,0,0,0,0,10,11,73,5,800,
,4351,,10000,0,1,20,65,1,0,0,0,10,99,435101,435102,0,
,4352,,10000,0,1,20,65,1,0,0,0,10,99,435201,435202,0,
,4353,,10000,0,1,20,65,1,0,0,0,10,99,435301,435302,0,
,4361,,10000,0,1,20,65,2,0,0,0,10,99,435101,435102,0,
,4362,,10000,0,1,20,65,2,0,0,0,10,99,435201,435202,0,
,4363,,10000,0,1,20,65,2,0,0,0,10,99,435301,435302,0,
,4371,,10000,0,1,20,65,3,0,0,0,10,99,435101,435102,0,
,4372,,10000,0,1,20,65,3,0,0,0,10,99,435201,435202,0,
,4373,,10000,0,1,20,65,3,0,0,0,10,99,435301,435302,0,
,4381,,10000,0,1,20,65,4,0,0,0,10,99,435101,435102,0,
,4382,,10000,0,1,20,65,4,0,0,0,10,99,435201,435202,0,
,4383,,10000,0,1,20,65,4,0,0,0,10,99,435301,435302,0,
,4391,,10000,0,1,20,65,5,0,0,0,10,99,435101,435102,0,
,4392,,10000,0,1,20,65,5,0,0,0,10,99,435201,435202,0,
,4393,,10000,0,1,20,65,5,0,0,0,10,99,435301,435302,0,
,4401,,10000,0,1,20,65,6,0,0,0,10,99,435101,435102,0,
,4402,,10000,0,1,20,65,6,0,0,0,10,99,435201,435202,0,
,4403,,10000,0,1,20,65,6,0,0,0,10,99,435301,435302,0,
,4411,,10000,0,1,10,1,0,0,0,0,10,62,0,500,0,
,4412,,10000,0,1,10,1,0,0,0,0,10,62,0,800,0,
,4413,,10000,0,1,10,1,0,0,0,0,10,62,0,1200,0,
,4421,,10000,0,1,10,1,0,0,0,0,10,99,442101,442102,0,
,4422,,10000,0,1,10,1,0,0,0,0,10,99,442201,442202,0,
,4423,,10000,0,1,10,1,0,0,0,0,10,99,442301,442302,0,
,4431,,10000,0,1,20,67,2,0,0,0,10,99,443101,0,0,
,4432,,10000,0,1,20,67,2,0,0,0,10,99,443201,0,0,
,4433,,10000,0,1,20,67,2,0,0,0,10,99,443301,0,0,
,4441,,10000,0,1,10,51,0,0,0,0,10,144,1,500,0,
,4442,,10000,0,1,10,51,0,0,0,0,10,144,1,700,0,
,4443,,10000,0,1,10,51,0,0,0,0,10,144,1,1000,0,
,4451,,10000,0,1,20,40,0,0,0,0,10,21,410101,1,0,
,4452,,10000,0,1,20,40,0,0,0,0,10,21,410102,1,0,
,4453,,10000,0,1,20,40,0,0,0,0,10,21,410103,1,0,
,4461,,10000,0,1,10,40,70,0,0,0,20,21,410201,1,0,
,4462,,10000,0,1,10,40,70,0,0,0,20,21,410202,1,0,
,4463,,10000,0,1,10,40,70,0,0,0,20,21,410203,1,0,
,4471,,10000,0,1,10,40,70,0,0,0,10,11,32,0,1000,
,4472,,10000,0,1,10,40,70,0,0,0,10,11,32,0,1500,
,4473,,10000,0,1,10,40,70,0,0,0,10,11,32,0,2000,
,4481,,10000,0,1,10,1,0,0,0,0,10,99,448101,448102,0,
,4482,,10000,0,1,10,1,0,0,0,0,10,99,448201,448202,0,
,4483,,10000,0,1,10,1,0,0,0,0,10,99,448301,448302,0,
,4491,,3000,0,1,10,40,1,0,0,0,20,143,150,0,0,
,4492,,5000,0,1,10,40,1,0,0,0,20,143,150,0,0,
,4493,,8000,0,1,10,40,1,0,0,0,20,143,150,0,0,
,4501,,10000,0,1,10,40,70,0,0,0,10,40,2,1,3000,
,4502,,10000,0,1,10,40,70,0,0,0,10,40,2,1,5000,
,4503,,10000,0,1,10,40,70,0,0,0,10,40,2,1,8000,
,4511,,10000,0,1,10,31,2,1,0,0,10,99,451101,451102,0,
,4512,,10000,0,1,10,31,2,1,0,0,10,99,451201,451202,0,
,4513,,10000,0,1,10,31,2,1,0,0,10,99,451301,451302,0,
,4611,,10000,0,1,20,67,0,0,0,0,10,99,461101,0,0,
,4612,,10000,0,1,20,67,0,0,0,0,10,99,461201,0,0,
,4613,,10000,0,1,20,67,0,0,0,0,10,99,461301,0,0,
,4621,,10000,0,1,20,67,0,0,0,0,10,11,22,5,3000,
,4622,,10000,0,1,20,67,0,0,0,0,10,11,22,5,4000,
,4623,,10000,0,1,20,67,0,0,0,0,10,11,22,5,5000,
,4631,,10000,0,1,20,65,2,0,0,0,10,11,32,0,1500,
,4632,,10000,0,1,20,65,2,0,0,0,10,11,32,0,2000,
,4633,,10000,0,1,20,65,2,0,0,0,10,11,32,0,3000,
,4641,,10000,0,1,10,2,1,0,0,0,10,148,1500,0,0,
,4642,,10000,0,1,10,2,2,0,0,0,10,148,2000,0,0,
,4643,,10000,0,1,10,2,3,0,0,0,10,148,2500,0,0,
,4651,,10000,0,1,10,1,0,0,0,0,10,62,0,800,0,
,4652,,10000,0,1,10,1,0,0,0,0,10,62,0,1100,0,
,4653,,10000,0,1,10,1,0,0,0,0,10,62,0,1500,0,
,4661,,10000,0,1,10,42,0,1,1,0,10,11,73,5,700,
,4662,,10000,0,1,10,42,0,1,1,0,10,11,73,5,1000,
,4663,,10000,0,1,10,42,0,1,1,0,10,11,73,5,1500,
,4671,,10000,0,1,10,1,0,0,0,0,10,36,1,600,0,
,4672,,10000,0,1,10,1,0,0,0,0,10,36,1,900,0,
,4673,,10000,0,1,10,1,0,0,0,0,10,36,1,1200,0,
,4681,,10000,0,1,10,1,0,0,0,0,10,36,2,600,0,
,4682,,10000,0,1,10,1,0,0,0,0,10,36,2,900,0,
,4683,,10000,0,1,10,1,0,0,0,0,10,36,2,1200,0,
,4691,,3500,0,1,10,39,70,0,0,0,10,39,10000,0,0,
,4692,,4500,0,1,10,39,70,0,0,0,10,39,10000,0,0,
,4693,,6500,0,1,10,39,70,0,0,0,10,39,10000,0,0,
,4701,,3000,0,1,10,40,0,0,0,0,20,40,2,0,1000,
,4702,,4000,0,1,10,40,0,0,0,0,20,40,2,0,1000,
,4703,,6000,0,1,10,40,0,0,0,0,20,40,2,0,1000,
,4711,,10000,0,1,10,1,0,0,0,0,10,130,4000,1008,0,
,4712,,10000,0,1,10,1,0,0,0,0,10,130,6000,1008,0,
,4713,,10000,0,1,10,1,0,0,0,0,10,130,8500,1008,0,
,4721,,10000,0,1,10,1,0,0,0,0,10,130,4000,1019,0,
,4722,,10000,0,1,10,1,0,0,0,0,10,130,6000,1019,0,
,4723,,10000,0,1,10,1,0,0,0,0,10,130,8500,1019,0,
,4731,,10000,0,1,10,1,0,0,0,0,10,126,6,3000,0,
,4732,,10000,0,1,10,1,0,0,0,0,10,126,6,5000,0,
,4733,,10000,0,1,10,1,0,0,0,0,10,126,6,3000,0,
,4741,,3000,0,1,10,40,1,0,0,0,10,23,1,1,0,
,4742,,5000,0,1,10,40,1,0,0,0,10,23,1,1,0,
,4743,,8000,0,1,10,40,1,0,0,0,10,23,1,1,0,
,4751,,10000,0,1,10,11,72,2,1000,0,10,11,32,0,1000,
,4752,,10000,0,1,10,11,72,2,1000,0,10,11,32,0,1500,
,4753,,10000,0,1,10,11,72,2,1000,0,10,11,32,0,2000,
,4761,,10000,0,1,10,11,73,2,3000,0,10,11,32,0,1000,
,4762,,10000,0,1,10,11,73,2,3000,0,10,11,32,0,1500,
,4763,,10000,0,1,10,11,73,2,3000,0,10,11,32,0,2000,
,4771,,10000,0,1,30,63,0,1,2,0,10,11,31,0,1000,
,4772,,10000,0,1,30,63,0,1,2,0,10,11,31,0,1500,
,4773,,10000,0,1,30,63,0,1,2,0,10,11,31,0,2000,
,4781,,2000,0,1,10,44,70,0,0,0,10,40,70,1,3500,
,4782,,2500,0,1,10,44,70,0,0,0,10,40,70,1,3500,
,4783,,3000,0,1,10,44,70,0,0,0,10,40,70,1,4200,
,4791,,2000,0,1,30,44,80,0,0,0,10,40,80,1,4200,
,4792,,2500,0,1,30,44,80,0,0,0,10,40,80,1,5500,
,4793,,3000,0,1,30,44,80,0,0,0,10,40,80,1,8000,
,4801,,2000,0,1,30,39,80,0,0,0,10,39,10000,0,0,
,4802,,2500,0,1,30,39,80,0,0,0,10,39,10000,0,0,
,4803,,3000,0,1,30,39,80,0,0,0,10,39,10000,0,0,
,4811,,10000,0,1,10,1,0,0,0,0,10,99,481101,481102,0,
,4812,,10000,0,1,10,1,0,0,0,0,10,99,481201,481202,0,
,4813,,10000,0,1,10,1,0,0,0,0,10,99,481301,481302,0,
符文,5011,,10000,0,0,10,1,0,0,0,0,10,11,11,0,2000,
,5012,,10000,0,0,10,1,0,0,0,0,10,11,11,0,3500,
,5013,,10000,0,0,10,1,0,0,0,0,10,11,11,0,5000,
,5014,,10000,0,0,10,1,0,0,0,0,10,11,11,0,7000,
,5015,,10000,0,0,10,1,0,0,0,0,10,11,11,0,10000,
,5021,,10000,0,0,10,1,0,0,0,0,10,11,13,0,1000,
,5022,,10000,0,0,10,1,0,0,0,0,10,11,13,0,1500,
,5023,,10000,0,0,10,1,0,0,0,0,10,11,13,0,2000,
,5024,,10000,0,0,10,1,0,0,0,0,10,11,13,0,2500,
,5025,,10000,0,0,10,1,0,0,0,0,10,11,13,0,3500,
,5031,,10000,0,0,10,1,0,0,0,0,10,11,18,0,2000,
,5032,,10000,0,0,10,1,0,0,0,0,10,11,18,0,3500,
,5033,,10000,0,0,10,1,0,0,0,0,10,11,18,0,5000,
,5034,,10000,0,0,10,1,0,0,0,0,10,11,18,0,7000,
,5035,,10000,0,0,10,1,0,0,0,0,10,11,18,0,10000,
,5041,,10000,0,0,10,1,0,0,0,0,10,11,2,0,200,
,5042,,10000,0,0,10,1,0,0,0,0,10,11,2,0,350,
,5043,,10000,0,0,10,1,0,0,0,0,10,11,2,0,500,
,5044,,10000,0,0,10,1,0,0,0,0,10,11,2,0,700,
,5045,,10000,0,0,10,1,0,0,0,0,10,11,2,0,1000,
,5051,,10000,0,0,10,1,0,0,0,0,10,11,3,0,200,
,5052,,10000,0,0,10,1,0,0,0,0,10,11,3,0,350,
,5053,,10000,0,0,10,1,0,0,0,0,10,11,3,0,500,
,5054,,10000,0,0,10,1,0,0,0,0,10,11,3,0,700,
,5055,,10000,0,0,10,1,0,0,0,0,10,11,3,0,1000,
,5061,,10000,0,0,10,1,0,0,0,0,10,21,400101,1,0,
,5062,,10000,0,0,10,1,0,0,0,0,10,21,400102,1,0,
,5063,,10000,0,0,10,1,0,0,0,0,10,21,400103,1,0,
,5064,,10000,0,0,10,1,0,0,0,0,10,21,400101,1,0,
,5065,,10000,0,0,10,1,0,0,0,0,10,21,400105,1,0,
,5071,,10000,0,0,10,1,0,0,0,0,40,99,507101,0,0,
,5072,,10000,0,0,10,1,0,0,0,0,40,99,507201,0,0,
,5073,,10000,0,0,10,1,0,0,0,0,40,99,507301,0,0,
,5074,,10000,0,0,10,1,0,0,0,0,40,99,507401,0,0,
,5075,,10000,0,0,10,1,0,0,0,0,40,99,507501,0,0,
,5081,,10000,0,0,10,1,0,0,0,0,40,99,508101,0,0,
,5082,,10000,0,0,10,1,0,0,0,0,40,99,508201,0,0,
,5083,,10000,0,0,10,1,0,0,0,0,40,99,508301,0,0,
,5084,,10000,0,0,10,1,0,0,0,0,40,99,508401,0,0,
,5085,,10000,0,0,10,1,0,0,0,0,40,99,508501,0,0,
,5091,,10000,0,0,10,1,0,0,0,0,40,99,509101,0,0,
,5092,,10000,0,0,10,1,0,0,0,0,40,99,509201,0,0,
,5093,,10000,0,0,10,1,0,0,0,0,40,99,509301,0,0,
,5094,,10000,0,0,10,1,0,0,0,0,40,99,509401,0,0,
,5095,,10000,0,0,10,1,0,0,0,0,40,99,509501,0,0,
,5101,造成伤害+5%,10000,0,0,10,1,0,0,0,0,40,99,510101,0,0,
,5102,暴击率+10%,10000,0,0,10,1,0,0,0,0,40,99,510201,0,0,
,5103,破格挡+12%,10000,0,0,10,1,0,0,0,0,40,99,510301,0,0,
,5104,命中率+12%,10000,0,0,10,1,0,0,0,0,40,99,510401,0,0,
,5105,技能造成的奥义值回复提高15%,10000,0,0,10,1,0,0,0,0,40,99,510501,0,0,
,5111,按伤害的10%回复血量,10000,0,0,10,1,0,0,0,0,40,99,511101,0,0,
,5112,暴击率+15%,10000,0,0,10,1,0,0,0,0,40,99,511201,0,0,
,5113,破格挡+20%,10000,0,0,10,1,0,0,0,0,40,99,511301,0,0,
,5114,命中率+20%,10000,0,0,10,1,0,0,0,0,40,99,511401,0,0,
,5115,技能奥义值回复提高20%,10000,0,0,10,1,0,0,0,0,40,99,511501,0,0,
,5121,,10000,0,0,10,1,0,0,0,0,40,99,512101,0,0,
,5122,,10000,0,0,10,1,0,0,0,0,40,99,512201,0,0,
,5123,,10000,0,0,10,1,0,0,0,0,40,99,512301,0,0,
,5124,,10000,0,0,10,1,0,0,0,0,40,99,512401,0,0,
,5125,,10000,0,0,10,1,0,0,0,0,40,99,512501,0,0,
,5211,按伤害的12%回复血量,10000,0,0,10,1,0,0,0,0,10,31,1,1000,0,
,5212,暴击率+18%,10000,0,0,10,1,0,0,0,0,10,31,1,1400,0,
,5213,破格挡+25%,10000,0,0,10,1,0,0,0,0,10,31,1,1800,0,
,5214,命中率+25%,10000,0,0,10,1,0,0,0,0,10,31,1,2300,0,
,5215,技能奥义值回复提高25%,10000,0,0,10,1,0,0,0,0,10,31,1,2800,0,
,5221,,10000,0,0,10,1,0,0,0,0,10,31,2,1000,0,
,5222,,10000,0,0,10,1,0,0,0,0,10,31,2,1400,0,
,5223,,10000,0,0,10,1,0,0,0,0,10,31,2,1800,0,
,5224,,10000,0,0,10,1,0,0,0,0,10,31,2,2300,0,
,5225,,10000,0,0,10,1,0,0,0,0,10,31,2,2800,0,
,5231,,10000,0,0,10,1,0,0,0,0,10,21,400201,1,0,
,5232,,10000,0,0,10,1,0,0,0,0,10,21,400202,1,0,
,5233,,10000,0,0,10,1,0,0,0,0,10,21,400203,1,0,
,5234,,10000,0,0,10,1,0,0,0,0,10,21,400201,1,0,
,5235,,10000,0,0,10,1,0,0,0,0,10,21,400205,1,0,
,5241,,10000,0,0,10,1,0,0,0,0,10,55,5,4000,0,
,5242,,10000,0,0,10,1,0,0,0,0,10,55,5,5000,0,
,5243,,10000,0,0,10,1,0,0,0,0,10,55,5,6500,0,
,5244,,10000,0,0,10,1,0,0,0,0,10,55,5,8000,0,
,5245,,10000,0,0,10,1,0,0,0,0,10,55,5,10000,0,
,5251,,10000,0,0,10,44,0,0,0,0,10,54,2000,0,0,
,5252,,10000,0,0,10,44,0,0,0,0,10,54,2500,0,0,
,5253,,10000,0,0,10,44,0,0,0,0,10,54,3000,0,0,
,5254,,10000,0,0,10,44,0,0,0,0,10,54,3700,0,0,
,5255,,10000,0,0,10,44,0,0,0,0,10,54,4500,0,0,
,5261,,10000,0,0,10,1,0,0,0,0,40,99,526101,0,0,
,5262,,10000,0,0,10,1,0,0,0,0,40,99,526201,0,0,
,5263,,10000,0,0,10,1,0,0,0,0,40,99,526301,0,0,
,5264,,10000,0,0,10,1,0,0,0,0,40,99,526401,0,0,
,5265,,10000,0,0,10,1,0,0,0,0,40,99,526501,0,0,
,5271,,10000,0,0,10,1,0,0,0,0,40,99,527101,0,0,
,5272,,10000,0,0,10,1,0,0,0,0,40,99,527201,0,0,
,5273,,10000,0,0,10,1,0,0,0,0,40,99,527301,0,0,
,5274,,10000,0,0,10,1,0,0,0,0,40,99,527401,0,0,
,5275,,10000,0,0,10,1,0,0,0,0,40,99,527501,0,0,
,5281,,10000,0,0,10,1,0,0,0,0,30,122,5,2500,0,
,5282,,10000,0,0,10,1,0,0,0,0,30,122,5,3200,0,
,5283,,10000,0,0,10,1,0,0,0,0,30,122,5,4000,0,
,5284,,10000,0,0,10,1,0,0,0,0,30,122,5,5000,0,
,5285,,10000,0,0,10,1,0,0,0,0,30,122,5,6000,0,
,5291,,10000,0,0,10,1,0,0,0,0,40,99,529101,0,0,
,5292,,10000,0,0,10,1,0,0,0,0,40,99,529201,0,0,
,5293,,10000,0,0,10,1,0,0,0,0,40,99,529301,0,0,
,5294,,10000,0,0,10,1,0,0,0,0,40,99,529401,0,0,
,5295,,10000,0,0,10,1,0,0,0,0,40,99,529501,0,0,
,5301,造成伤害+7%,10000,0,0,10,1,0,0,0,0,10,150,5,2500,0,
,5302,暴击率+14%,10000,0,0,10,1,0,0,0,0,10,150,5,3200,0,
,5303,破格挡+16%,10000,0,0,10,1,0,0,0,0,10,150,5,4000,0,
,5304,命中率+16%,10000,0,0,10,1,0,0,0,0,10,150,5,5000,0,
,5305,技能造成的奥义值回复提高19%,10000,0,0,10,1,0,0,0,0,10,150,5,6000,0,
,5311,按伤害的14%回复血量,10000,0,0,10,1,0,0,0,0,10,11,14,0,2400,
,5312,暴击率+21%,10000,0,0,10,1,0,0,0,0,10,11,14,0,3000,
,5313,破格挡+30%,10000,0,0,10,1,0,0,0,0,10,11,14,0,3600,
,5314,命中率+30%,10000,0,0,10,1,0,0,0,0,10,11,14,0,4200,
,5315,技能奥义值回复提高30%,10000,0,0,10,1,0,0,0,0,10,11,14,0,5000,
,5321,,10000,0,0,10,1,0,0,0,0,10,40,6,6,300,
,5322,,10000,0,0,10,1,0,0,0,0,10,40,6,6,500,
,5323,,10000,0,0,10,1,0,0,0,0,10,40,6,6,800,
,5324,,10000,0,0,10,1,0,0,0,0,10,40,6,6,1200,
,5325,,10000,0,0,10,1,0,0,0,0,10,40,6,6,1600,
,5411,按伤害的17%回复血量,10000,0,0,10,1,0,0,0,0,10,31,1,2000,0,
,5412,暴击率+25%,10000,0,0,10,1,0,0,0,0,10,31,1,2500,0,
,5413,破格挡+40%,10000,0,0,10,1,0,0,0,0,10,31,1,3000,0,
,5414,命中率+40%,10000,0,0,10,1,0,0,0,0,10,31,1,3700,0,
,5415,技能奥义值回复提高35%,10000,0,0,10,1,0,0,0,0,10,31,1,4500,0,
,5421,,10000,0,0,10,1,0,0,0,0,10,31,2,2000,0,
,5422,,10000,0,0,10,1,0,0,0,0,10,31,2,2500,0,
,5423,,10000,0,0,10,1,0,0,0,0,10,31,2,3000,0,
,5424,,10000,0,0,10,1,0,0,0,0,10,31,2,3700,0,
,5425,,10000,0,0,10,1,0,0,0,0,10,31,2,4500,0,
,5431,,10000,0,0,10,1,0,0,0,0,10,21,400301,1,0,
,5432,,10000,0,0,10,1,0,0,0,0,10,21,400302,1,0,
,5433,,10000,0,0,10,1,0,0,0,0,10,21,400303,1,0,
,5434,,10000,0,0,10,1,0,0,0,0,10,21,400303,1,0,
,5435,,10000,0,0,10,1,0,0,0,0,10,21,400305,1,0,
,5441,,10000,0,0,10,1,0,0,0,0,40,99,544101,0,0,
,5442,,10000,0,0,10,1,0,0,0,0,40,99,544201,0,0,
,5443,,10000,0,0,10,1,0,0,0,0,40,99,544301,0,0,
,5444,,10000,0,0,10,1,0,0,0,0,40,99,544401,0,0,
,5445,,10000,0,0,10,1,0,0,0,0,40,99,544501,0,0,
,5451,,10000,0,0,10,1,0,0,0,0,10,99,545101,545102,0,
,5452,,10000,0,0,10,1,0,0,0,0,10,99,545201,545202,0,
,5453,,10000,0,0,10,1,0,0,0,0,10,99,545301,545302,0,
