,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,3067,本命经验副本,30000,Textures/Atlas/Dyn/InstanceLogo/Cassnest.png,1,0,0,0,0,0,2110001,0,0,0
材料副本（普通）,3068,材料副本,52000,Textures/Atlas/Dyn/InstanceLogo/SilverMothermine.png,1,0,0,0,0,0,0,0,0,0
,3069,【解谜】玛露茜的家,0,Textures/Atlas/Dyn/InstanceLogo/AreaBG.png,1,0,0,0,0,0,0,0,0,0
,3073,深海实验室,140000,Textures/Atlas/Dyn/InstanceLogo/yanjiusuo.png,1,0,0,0,0,0,3040013,6003003,3010013,0
,3074,森之幻界,142000,Textures/Atlas/Dyn/InstanceLogo/ForestCopyBG02.png,5,2,3,1000537,0,0,2130313,2130414,2130514,3
,3075,夜幕古堡大厅,0,Textures/Atlas/Dyn/InstanceLogo/Leftphase.png,1,0,0,0,0,0,0,0,0,0
夜幕古堡楼梯,3076,限时副本,0,Textures/Atlas/Dyn/InstanceLogo/Layercopy.png,1,0,0,0,0,0,0,0,0,0
,3078,夜幕古堡走廊,0,Textures/Atlas/Dyn/InstanceLogo/Leftphase.png,1,0,0,0,0,0,0,0,0,0
,3079,夜幕古堡密室,0,Textures/Atlas/Dyn/InstanceLogo/Leftphase.png,1,0,0,0,0,0,0,0,0,0
,3080,夜幕古堡城堡前,0,Textures/Atlas/Dyn/InstanceLogo/Leftphase.png,1,0,0,0,0,0,0,0,0,0
,3081,夜幕古堡前厅,0,Textures/Atlas/Dyn/InstanceLogo/Leftphase.png,1,0,0,0,0,0,0,0,0,0
,3082,夜幕古堡书房,0,Textures/Atlas/Dyn/InstanceLogo/Leftphase.png,1,0,0,0,0,0,0,0,0,0
,3083,夜幕古堡幻阵,0,Textures/Atlas/Dyn/InstanceLogo/Leftphase.png,1,0,0,0,0,0,0,0,0,0
(剧情),3084,诡异的左相府,26000,Textures/Atlas/Dyn/InstanceLogo/Leftphase.png,1,0,0,0,0,0,1,3040013,0,0
,3086,黑龙战舰,190000,Textures/Atlas/Dyn/InstanceLogo/yanjiusuo.png,1,0,0,0,0,0,210023,220003,2120013,0
(剧情),3087,失事飞船,100000,Textures/Atlas/Dyn/InstanceLogo/yanjiusuo.png,1,0,0,0,0,0,3060010,3060020,3060030,0
,3085,黄金立方,170000,Textures/Atlas/Dyn/InstanceLogo/huangjinlifang.png,1,0,0,0,0,0,3060030,3060010,3060020,0
