,required,optional,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,181,,3,21,21,3300,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,182,,3,22,22,3600,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,183,,3,23,23,3900,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,184,,3,24,24,4200,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,185,,3,25,25,4500,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,186,,3,26,26,4800,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,187,,3,27,27,5100,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,188,,3,28,28,5400,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,189,,3,29,29,5700,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,190,,3,30,30,6000,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,191,,3,31,31,6500,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,192,,3,32,32,7000,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,193,,3,33,33,7500,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,194,,3,34,34,8000,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,195,,3,35,35,8500,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,196,,3,36,36,9000,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,197,,3,37,37,9500,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,198,,3,38,38,10000,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,199,,3,39,39,10500,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,200,,3,40,40,11000,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,201,,3,41,41,12000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,202,,3,42,42,13000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,203,,3,43,43,14000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,204,,3,44,44,15000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,205,,3,45,45,16000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,206,,3,46,46,17000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,207,,3,47,47,18000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,208,,3,48,48,19000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,209,,3,49,49,20000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,210,,3,50,50,21000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,211,,3,51,51,22000,2110001,10,2110002,3,2110003,1,0,0,10000,0,10000,0,0,0
,212,,3,52,52,23000,2110001,10,2110002,3,2110003,1,0,0,10000,0,10000,0,0,0
,213,,3,53,53,24000,2110001,10,2110002,3,2110003,1,0,0,10000,0,10000,0,0,0
,214,,3,54,54,25000,2110001,10,2110002,3,2110003,1,0,0,10000,0,10000,0,0,0
,215,,3,55,55,26000,2110001,10,2110002,3,2110003,1,0,0,10000,0,10000,0,0,0
,216,,3,56,56,27000,2110001,10,2110002,3,2110003,2,0,0,10000,0,10000,0,0,0
,217,,3,57,57,28000,2110001,10,2110002,3,2110003,2,0,0,10000,0,10000,0,0,0
,218,,3,58,58,29000,2110001,10,2110002,3,2110003,2,0,0,10000,0,10000,0,0,0
,219,,3,59,59,30000,2110001,10,2110002,3,2110003,2,0,0,10000,0,10000,0,0,0
,220,,3,60,60,31000,2110001,10,2110002,3,2110003,2,0,0,10000,0,10000,0,0,0
,221,,3,61,61,32000,2110001,10,2110002,4,2110003,3,0,0,10000,0,10000,0,0,0
,222,,3,62,62,33000,2110001,10,2110002,4,2110003,3,0,0,10000,0,10000,0,0,0
,223,,3,63,63,34000,2110001,10,2110002,4,2110003,3,0,0,10000,0,10000,0,0,0
,224,,3,64,64,35000,2110001,10,2110002,4,2110003,3,0,0,10000,0,10000,0,0,0
,225,,3,65,65,36000,2110001,10,2110002,4,2110003,3,0,0,10000,0,10000,0,0,0
,226,,3,66,66,37000,2110001,10,2110002,4,2110003,4,2110004,1,10000,0,10000,0,0,0
,227,,3,67,67,38000,2110001,10,2110002,4,2110003,4,2110004,1,10000,0,10000,0,0,0
,228,,3,68,68,39000,2110001,10,2110002,4,2110003,4,2110004,1,10000,0,10000,0,0,0
,229,,3,69,69,40000,2110001,10,2110002,4,2110003,4,2110004,1,10000,0,10000,0,0,0
,230,,3,70,70,41000,2110001,10,2110002,4,2110003,4,2110004,1,10000,0,10000,0,0,0
,231,,3,71,71,42000,2110001,10,2110002,6,2110003,5,2110004,2,10000,0,10000,0,0,0
,232,,3,72,72,43000,2110001,10,2110002,6,2110003,5,2110004,2,10000,0,10000,0,0,0
,233,,3,73,73,44000,2110001,10,2110002,6,2110003,5,2110004,2,10000,0,10000,0,0,0
,234,,3,74,74,45000,2110001,10,2110002,6,2110003,5,2110004,2,10000,0,10000,0,0,0
,235,,3,75,75,46000,2110001,10,2110002,6,2110003,5,2110004,2,10000,0,10000,0,0,0
,236,,3,76,76,47000,2110001,10,2110002,6,2110003,6,2110004,3,10000,0,10000,0,0,0
,237,,3,77,77,48000,2110001,10,2110002,6,2110003,6,2110004,3,10000,0,10000,0,0,0
,238,,3,78,78,49000,2110001,10,2110002,6,2110003,6,2110004,3,10000,0,10000,0,0,0
,239,,3,79,79,50000,2110001,10,2110002,6,2110003,6,2110004,3,10000,0,10000,0,0,0
,240,,3,80,80,50000,2110001,10,2110002,6,2110003,6,2110004,3,10000,0,10000,0,0,0
,241,,4,1,1,100,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,242,,4,2,2,200,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,243,,4,3,3,300,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,244,,4,4,4,400,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,245,,4,5,5,500,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,246,,4,6,6,600,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,247,,4,7,7,700,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,248,,4,8,8,800,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,249,,4,9,9,900,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,250,,4,10,10,1000,2110001,1,0,0,0,0,0,0,10000,0,10000,0,0,0
,251,,4,11,11,1200,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,252,,4,12,12,1400,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,253,,4,13,13,1600,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,254,,4,14,14,1800,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,255,,4,15,15,2000,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,256,,4,16,16,2200,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,257,,4,17,17,2400,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,258,,4,18,18,2600,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,259,,4,19,19,2800,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,260,,4,20,20,3000,2110001,2,0,0,0,0,0,0,10000,0,10000,0,0,0
,261,,4,21,21,3300,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,262,,4,22,22,3600,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,263,,4,23,23,3900,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,264,,4,24,24,4200,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,265,,4,25,25,4500,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,266,,4,26,26,4800,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,267,,4,27,27,5100,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,268,,4,28,28,5400,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,269,,4,29,29,5700,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,270,,4,30,30,6000,2110001,3,0,0,0,0,0,0,10000,0,10000,0,0,0
,271,,4,31,31,6500,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,272,,4,32,32,7000,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,273,,4,33,33,7500,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,274,,4,34,34,8000,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,275,,4,35,35,8500,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,276,,4,36,36,9000,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,277,,4,37,37,9500,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,278,,4,38,38,10000,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,279,,4,39,39,10500,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,280,,4,40,40,11000,2110001,4,2110002,1,0,0,0,0,10000,0,10000,0,0,0
,281,,4,41,41,12000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,282,,4,42,42,13000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,283,,4,43,43,14000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,284,,4,44,44,15000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,285,,4,45,45,16000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,286,,4,46,46,17000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,287,,4,47,47,18000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,288,,4,48,48,19000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,289,,4,49,49,20000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
