,required,required,required,required,required,required,required,required,required,required,optional,repeated,optional,repeated
,3013,雷克兽巢穴,雷克兽巢穴,151,2,0,0,-2.58819,0,9.659258,1009,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3014,雷克兽巢穴,雷克兽巢穴,151,2,0,0,-2.58819,0,9.659258,1009,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3021,玫瑰团驻地,Rose Garrison,152,2,0,0,5.705597,0.01186991,-53.77023,1029,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3022,沙海虫巢,Hive of Desert Scorpion,156,2,0,0,47.72,0.08,19.22,1031,2312,"60,61,62,63,64,65,66,67,68,69,74,75",
,3023,银母矿洞,Micargentum Mine,158,2,0,0,26.72,0.31,-5.28,1009,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3024,女巫古堡,Castle on The Wilderness,157,2,0,0,3.075715,3.315,-2.092142,1009,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
单人普通,3026,魔族之心,Demon's Major Altar,155,2,0,0,-234.6296,-14.535,-65.30128,1013,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3027,风沙堡,Sandstorm Frotress,159,2,0,0,-17.18434,8.851018,36.48024,1043,2312,"60,61,62,63,64,65,66,67,68,69,74,75",
,3028,露西蒂尼之墓,Lucitiny's Grave,154,2,0,0,31.75,0.08831739,-10.87,1030,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3029,玫瑰团驻地,Rose Garrison,152,2,0,0,2.81,0.02,-50.22,1029,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3058,沉寂的索加灵殿,沉寂的索加灵殿,163,2,0,0,-16.24,0.51,23.03,1030,2312,"60,61,62,63,64,65,66,67,68,69,74,75",
,3062,树心城,Elven City,161,2,0,0,762.6483,11.10119,168.4211,1040,2312,"60,61,62,63,64,65,66,67,68,69,74,75",
,3063,暗龙圣殿,暗龙圣殿,27,2,0,0,-71.68,-14.17,-57.73,1013,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3064,玫瑰团驻地,Rose Garrison,152,2,0,0,18.60931,0.02066231,-18.49043,1029,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3030,哥布林巢穴,Goblin's Cavern,153,2,0,0,-5.82,0.04,1.96,1009,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3031,哥布林巢穴,Goblin's Cavern,153,2,0,0,-5.82,0.04,1.96,1009,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3032,哀嚎神殿,Howling Shrine,27,2,0,0,29.12,0.05,-0.76,1013,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3033,幻阵,幻阵,28,2,0,0,450,0,150,1013,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
单人剧情,3034,魔族之心,Demon's Major Altar,155,2,0,0,-234.6296,-14.535,-65.30128,1013,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3035,露西蒂尼之墓,Lucitiny's Grave,154,2,0,0,31.75,0.08831739,-10.87,1030,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3036,哀嚎神殿,Howling Shrine,27,2,0,0,29.12,0.05,-0.76,1013,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3037,幻阵,幻阵,28,2,0,0,450,0,150,1013,2312,"60,61,62,63,64,65,66,67,68,69,74,75",
,3038,饿狼巢穴,Wolfer Den,151,2,0,0,0.47,0,18.58,1009,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3039,风沙堡,Sandstorm Frotress,159,2,0,0,-17.18434,8.851018,36.48024,1043,2312,"60,61,62,63,64,65,66,67,68,69,74,75",
,3040,沙海虫巢,Hive of Desert Scorpion,156,2,0,0,47.72,0.08,19.22,1031,2312,"60,61,62,63,64,65,66,67,68,69,74,75",
,3041,银母矿洞,Micargentum Mine,158,2,0,0,26.72,0.31,-5.28,1009,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3042,凋零之地,Dreary Graveyard,163,2,0,0,-11.69391,-2.436795,1.806023,1030,2312,"60,61,62,63,64,65,66,67,68,69,74,75",
,3043,女巫古堡,Castle on The Wilderness,157,2,0,0,3.075715,3.315,-2.092142,1009,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3044,树心城,Elven City,162,2,0,0,1083,-4,139,1040,2312,"60,61,62,63,64,65,66,67,68,69,74,75",
,3045,树心城,Elven City,161,2,0,0,820.4446,14.36252,97.0659,1040,2312,"60,61,62,63,64,65,66,67,68,69,74,75",
,3046,树心城,Elven City,160,2,0,0,39.27336,14.16704,59.06499,1040,2312,"60,61,62,63,64,65,66,67,68,69,74,75",
,3047,凋零之地,Dreary Graveyard,163,2,0,0,-11.69391,-2.436795,1.806023,1030,2312,"60,61,62,63,64,65,66,67,68,69,74,75",
,3048,树心城,Elven City,162,2,0,0,1083,-4,139,1040,2312,"60,61,62,63,64,65,66,67,68,69,74,75",
,3049,树心城,Elven City,161,2,0,0,820.4446,14.36252,97.0659,1040,2312,"60,61,62,63,64,65,66,67,68,69,74,75",
,3050,树心城,Elven City,160,2,0,0,39.27336,14.16704,59.06499,1040,2312,"60,61,62,63,64,65,66,67,68,69,74,75",
,3051,卡诺萨战争,卡诺萨战争,167,2,1,0,69.86,25.76,69.51,1029,2270;2271;2272;2273;2274,"60,61,62,63,64,65,66,67,68,69,74,75",
,3052,金银试炼场,金银试炼场,154,2,0,0,31.75,0.08831739,-10.87,1030,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3053,神锋试炼场,神锋试炼场,158,2,0,0,24.66439,0.517314,0.933239,1009,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3054,枭鹰邦域,Polis of Falconiformes,161,2,0,0,761.04,10.18,129.59,1040,2312,"60,61,62,63,64,65,66,67,68,69,74,75",
,3055,枭鹰矿洞,Mine of Falconiformes,158,2,0,0,26.61,0.31,-4.62,1009,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3056,矮巨人的藏金坑道,矮巨人的藏金坑道,153,2,0,0,-65.82,0.03,16.94,1009,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3057,怪医的实验囚牢,怪医的实验囚牢,154,2,0,0,19.85,-3.83,29.9819,1030,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3059,女巫古堡,Castle on The Wilderness,157,2,0,0,-2.57,6.95,18.04,1036,2280,"60,61,62,63,64,65,66,67,68,69,74,75",
,3060,魔族的亡者墓室,魔族的亡者墓室,154,2,0,0,31.75,0.08831739,-10.87,1030,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3061,魔族之心,Demon's Major Altar,155,2,1,0,-234.54,-21.17,-58.58,1013,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3065,石像鬼的幻象虫巢,石像鬼的幻象虫巢,156,2,0,0,39,0.08,53.28,1031,2312,"60,61,62,63,64,65,66,67,68,69,74,75",
,3066,风沙堡,Sandstorm Frotress,159,2,0,0,-17.18434,8.851018,36.48024,1043,2312,"60,61,62,63,64,65,66,67,68,69,74,75",
