,required,optional,optional
鹿角兽首领,2026,Textures/Atlas/Dyn/CharacterCommonHead/Monsterdeer.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png
鱼妖,2029,Textures/Atlas/Dyn/CharacterCommonHead/MonsterFish.png,Textures\Atlas\Dyn\CharacterHalfBody\MonsterFish.png
诗寇蒂,2030,Textures/Atlas/Dyn/CharacterCommonHead/Shikoud.png,Textures\Atlas\Dyn\CharacterHalfBody\Shikoud.png
米修,2031,Textures/Atlas/Dyn/CharacterCommonHead/ApuffofMichaux.png,Textures\Atlas\Dyn\CharacterHalfBody\Michel.png
由莉,2032,Textures/Atlas/Dyn/CharacterCommonHead/Yuro.png,Textures\Atlas\Dyn\CharacterHalfBody\Yuro.png
鹿角兽,2033,Textures/Atlas/Dyn/CharacterCommonHead/Monsterdeer.png,Textures\Atlas\Dyn\CharacterHalfBody\Monsterdeer.png
桑妮,2035,Textures/Atlas/Dyn/CharacterCommonHead/Sunny.png,Textures\Atlas\Dyn\CharacterHalfBody\Sunny.png
强盗,2036,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png
宝箱,2039,Textures/Atlas/Dyn/CharacterCommonHead/Box.png,
赫丽,3001,Textures\Atlas\Dyn\CharacterCommonHead\Herly2.png,Textures\Atlas\Dyn\CharacterHalfBody\Herly2.png
麦提,3002,Textures/Atlas/Dyn/CharacterCommonHead/Manandoldman.png,Textures/Atlas/Dyn/CharacterHalfBody/Oldman.png
贝拉,3003,Textures/Atlas/Dyn/CharacterCommonHead/Adancer.png,Textures\Atlas\Dyn\CharacterHalfBody\Adancer.png
大卫,3004,Textures\Atlas\Dyn\CharacterCommonHead\Edgar.png,Textures\Atlas\Dyn\CharacterHalfBody\Edgar.png
铁臂安道夫,3005,Textures\Atlas\Dyn\CharacterCommonHead\IronwallThomas.png,Textures\Atlas\Dyn\CharacterHalfBody\IronThomas.png
抢劫的居民,3006,Textures/Atlas/Dyn/CharacterCommonHead/EliteWarrio.png,Textures/Atlas/Dyn/CharacterHalfBody/TribaleliteWarrior.png
富商金斯特,3007,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures/Atlas/Dyn/CharacterHalfBody/MoritheEarl.png
库伯拉长老,3008,Textures/Atlas/Dyn/CharacterCommonHead/Bailiff.png,Textures\Atlas\Dyn\CharacterHalfBody\Bailiff.png
安可,3009,Textures/Atlas/Dyn/CharacterCommonHead/Ancore.png,Textures\Atlas\Dyn\CharacterHalfBody\Ancore.png
该隐,3010,Textures\Atlas\Dyn\CharacterCommonHead\Cain.png,Textures\Atlas\Dyn\CharacterHalfBody\Cain.png
哈扎克,3011,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\HaZaKe.png
木匠卡卡,3012,Textures/Atlas/Dyn/CharacterCommonHead/ForgingEngineer.png,Textures/Atlas/Dyn/CharacterHalfBody/ForgingEngineer.png
萨沙,3017,Textures\Atlas\Dyn\CharacterCommonHead\Girllolie.png,Textures\Atlas\Dyn\CharacterHalfBody\Girllolie.png
受伤的村民,3018,Textures/Atlas/Dyn/CharacterCommonHead/teenageboy.png,Textures\Atlas\Dyn\CharacterHalfBody\PeopleInjured.png
强盗贝拉,3019,Textures/Atlas/Dyn/CharacterCommonHead/Adancer.png,Textures\Atlas\Dyn\CharacterHalfBody\Adancer.png
笛卡尔,3020,Textures/Atlas/Dyn/CharacterCommonHead/Blackthorne.png,Textures/Atlas/Dyn/CharacterHalfBody/Blackthorne.png
管家约瑞克,3021,Textures/Atlas/Dyn/CharacterCommonHead/Stewardshipmock.png,Textures/Atlas/Dyn/CharacterHalfBody/Mauck.png
花店老板,3022,Textures\Atlas\Dyn\CharacterCommonHead\Youngwomen.png,Textures\Atlas\Dyn\CharacterHalfBody\FloristTender.png
诺尔（黑）,3027,Textures\Atlas\Dyn\CharacterCommonHead\AndrewBlack.png,Textures\Atlas\Dyn\CharacterHalfBody\AndrewBlack.png
特罗德,3028,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\Teluo.png
海莉大妈,3036,Textures/Atlas/Dyn/CharacterCommonHead/Womanoldwoman.png,Textures/Atlas/Dyn/CharacterHalfBody/Womanoldwoman.png
镇民,3037,Textures/Atlas/Dyn/CharacterCommonHead/Youngwomen.png,Textures\Atlas\Dyn\CharacterHalfBody\Youngwomen.png
雷克兽领主,3038,Textures/Atlas/Dyn/CharacterCommonHead/ArmedWolf.png,Textures/Atlas/Dyn/CharacterHalfBody/Wolves.png
宝箱玩法测试NPC,3039,Textures/Atlas/Dyn/CharacterCommonHead/Yuro.png,Textures\Atlas\Dyn\CharacterHalfBody\Yuro.png
吉拉,3042,Textures\Atlas\Dyn\CharacterCommonHead\Gilardino.png,Textures\Atlas\Dyn\CharacterHalfBody\Gilardino.png
伦纳德,3043,Textures\Atlas\Dyn\CharacterCommonHead\Pierre.png,Textures\Atlas\Dyn\CharacterHalfBody\Pierre.png
旅馆老板,3044,Textures/Atlas/Dyn/CharacterCommonHead/Baya.png,Textures/Atlas/Dyn/CharacterHalfBody/Baya.png
秘密探员,3045,Textures/Atlas/Dyn/CharacterCommonHead/Youngmen.png,Textures/Atlas/Dyn/CharacterHalfBody/Youngmen.png
老希尔,3048,Textures\Atlas\Dyn\CharacterCommonHead\Uncle.png,Textures\Atlas\Dyn\CharacterHalfBody\Uncle.png
先驱者1号,3051,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Pioneer1.png
公会办事员（罗兰镇）,3052,Textures\Atlas\Dyn\CharacterCommonHead\Uncle.png,Textures\Atlas\Dyn\CharacterHalfBody\Uncle.png
小女孩,3053,Textures\Atlas\Dyn\CharacterCommonHead\Girllolie.png,Textures\Atlas\Dyn\CharacterHalfBody\Girllolie.png
芙妮,3057,Textures\Atlas\Dyn\CharacterCommonHead\Youngwomen.png,Textures\Atlas\Dyn\CharacterHalfBody\Youngwomen.png
库里奇,3058,Textures\Atlas\Dyn\CharacterCommonHead\Youngmen.png,Textures\Atlas\Dyn\CharacterHalfBody\Youngmen.png
缪吉克辉,3059,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\TheBardofMammon.png
哥布林商人,3060,Textures\Atlas\Dyn\CharacterCommonHead\GoldGoblins.png,Textures/Atlas/Dyn/CharacterHalfBody/MoneyColombo.png
,3061,Textures\Atlas\Dyn\CharacterCommonHead\Youngmen.png,Textures\Atlas\Dyn\CharacterHalfBody\Youngmen.png
,3062,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Deadwalking.png
,3063,Textures\Atlas\Dyn\CharacterCommonHead\HarmontheOgre.png,Textures\Atlas\Dyn\CharacterHalfBody\HarmontheOgre.png
,3064,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png
,3065,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png
,3066,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png
,3067,Textures\Atlas\Dyn\CharacterCommonHead\EliteWarrio.png,Textures\Atlas\Dyn\CharacterHalfBody\TribaleliteWarrior.png
嗜血死神萨米尔,3068,Textures/Atlas/Dyn/CharacterCommonHead/Godofdeath.png,Textures\Atlas\Dyn\CharacterHalfBody\Godofdeath.png
,3069,Textures/Atlas/Dyn/CharacterCommonHead/Uncle.png,Textures/Atlas/Dyn/CharacterHalfBody/Uncle.png
,3070,Textures/Atlas/Dyn/CharacterCommonHead/Youngmen.png,Textures/Atlas/Dyn/CharacterHalfBody/Youngmen.png
哥布林德雷克,3074,Textures\Atlas\Dyn\CharacterCommonHead\GoldGoblins.png,Textures/Atlas/Dyn/CharacterHalfBody/MoneyColombo.png
酒馆负责人,3075,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png
左相,3076,Textures/Atlas/Dyn/CharacterCommonHead/Bailiff.png,Textures/Atlas/Dyn/CharacterHalfBody/Bailiff.png
莉雅,3077,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures/Atlas/Dyn/CharacterHalfBody/default.png
,3079,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png
比多猫,3080,Textures/Atlas/Dyn/CharacterCommonHead/Manycats.png,Textures/Atlas/Dyn/CharacterHalfBody/Morethancat.png
占星师米勒,3081,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
镇民邦妮,3082,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\DivaLuna.png
镇民肖恩,3083,Textures/Atlas/Dyn/CharacterCommonHead/Uncle.png,Textures/Atlas/Dyn/CharacterHalfBody/Uncle.png
安德鲁,3085,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png
盗贼前哨哈蒙,3086,Textures\Atlas\Dyn\CharacterCommonHead\ArmedbearWarrior.png,Textures\Atlas\Dyn\CharacterHalfBody\ArmedbearWarrior.png
镇民,3087,Textures\Atlas\Dyn\CharacterCommonHead\teenageboy.png,Textures\Atlas\Dyn\CharacterHalfBody\teenageboy.png
,3088,Textures\Atlas\Dyn\CharacterCommonHead\Greedy.png,Textures\Atlas\Dyn\CharacterHalfBody\Greedy.png
虚灵恶法师,3089,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png
,3090,Textures/Atlas/Dyn/CharacterCommonHead/TribalWarrior.png,Textures/Atlas/Dyn/CharacterHalfBody/Brigands.png
茶店老板齐娜,3095,Textures\Atlas\Dyn\CharacterCommonHead\OusangBoyleAunt.png,Textures\Atlas\Dyn\CharacterHalfBody\OusangBoyleAunt.png
瑞茜,3096,Textures\Atlas\Dyn\CharacterCommonHead\TheballoongirlXiaoya.png,Textures\Atlas\Dyn\CharacterHalfBody\TheballoongirlXiaoya.png
艾德蒙,3098,,
酒馆老板佐伊,3099,Textures\Atlas\Dyn\CharacterCommonHead\GrayAunt.png,Textures\Atlas\Dyn\CharacterHalfBody\GrayAunt.png
艾赛尔,3101,Textures\Atlas\Dyn\CharacterCommonHead\Aysel.png,Textures\Atlas\Dyn\CharacterHalfBody\Aysel.png
菲丝,3102,Textures\Atlas\Dyn\CharacterCommonHead\Youngwomen.png,Textures\Atlas\Dyn\CharacterHalfBody\Youngwomen.png
莫克夫,3103,Textures\Atlas\Dyn\CharacterCommonHead\Beggar.png,Textures\Atlas\Dyn\CharacterHalfBody\Beggar.png
卡尔,3104,Textures/Atlas/Dyn/CharacterCommonHead/Manandoldman.png,Textures\Atlas\Dyn\CharacterHalfBody\Oldman.png
,3117,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png
小女巫弥尔,3118,Textures/Atlas/Dyn/CharacterCommonHead/LittleWitches.png,Textures\Atlas\Dyn\CharacterHalfBody\LittleWitches.png
女巫菲梅,3119,Textures/Atlas/Dyn/CharacterCommonHead/Witchwilderness.png,Textures/Atlas/Dyn/CharacterHalfBody/Witchmoor.png
黄胡子,3121,Textures/Atlas/Dyn/CharacterCommonHead/DwarfHuangHuzi.png,Textures\Atlas\Dyn\CharacterHalfBody\Dwarfyellowbeard.png
小格雷,3122,Textures/Atlas/Dyn/CharacterCommonHead/FemalechildrenMiddleEast.png,Textures/Atlas/Dyn/CharacterHalfBody/FemalechildrenMiddleEast.png
格雷,3123,Textures/Atlas/Dyn/CharacterCommonHead/FemalechildrenMiddleEast.png,Textures\Atlas\Dyn\CharacterHalfBody\FemalechildrenMiddleEast.png
小安斯利,3124,Textures/Atlas/Dyn/CharacterCommonHead/MalechildrenMiddleEast.png,Textures/Atlas/Dyn/CharacterHalfBody/MalechildrenMiddleEast.png
安斯利,3125,Textures/Atlas/Dyn/CharacterCommonHead/MalechildrenMiddleEast.png,Textures/Atlas/Dyn/CharacterHalfBody/MalechildrenMiddleEast.png
小库珀,3126,Textures/Atlas/Dyn/CharacterCommonHead/MalechildrenMiddleEast.png,Textures/Atlas/Dyn/CharacterHalfBody/MalechildrenMiddleEast.png
库珀,3127,Textures/Atlas/Dyn/CharacterCommonHead/MalechildrenMiddleEast.png,Textures/Atlas/Dyn/CharacterHalfBody/MalechildrenMiddleEast.png
小伊诺克,3128,Textures/Atlas/Dyn/CharacterCommonHead/MalechildrenMiddleEast.png,Textures/Atlas/Dyn/CharacterHalfBody/MalechildrenMiddleEast.png
伊诺克,3129,Textures/Atlas/Dyn/CharacterCommonHead/MalechildrenMiddleEast.png,Textures/Atlas/Dyn/CharacterHalfBody/MalechildrenMiddleEast.png
黑蹄鹿角兽,3130,Textures/Atlas/Dyn/CharacterCommonHead/Treeheartcitydeerhornbeasts.png,Textures/Atlas/Dyn/CharacterHalfBody/Monsterdeer.png
葛莱蒂丝小女孩,3131,Textures/Atlas/Dyn/CharacterCommonHead/Girllolie.png,Textures/Atlas/Dyn/CharacterHalfBody/Girllolie.png
葛莱蒂丝,3132,Textures/Atlas/Dyn/CharacterCommonHead/Arwen.png,Textures/Atlas/Dyn/CharacterHalfBody/Arwen.png
深渊领主拉奥,3133,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\CrazyMichel.png
魔湖领主彭斯,3134,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Bigfishdemon.png
山岩领主强森,3135,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
草原领主比利,3136,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Scorpion.png
弑魂领主索尔,3137,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png
禁卫军官萨林,3138,Textures\Atlas\Dyn\CharacterCommonHead\GuardwarlordSalin.png,Textures\Atlas\Dyn\CharacterHalfBody\GuardwarlordSalin.png
阿布纳,3139,,Textures\Atlas\Dyn\CharacterHalfBody\breadgodmissionary.png
迈尔斯,3140,Textures\Atlas\Dyn\CharacterCommonHead\Uncle.png,Textures\Atlas\Dyn\CharacterHalfBody\Uncle.png
布雷登,3141,Textures\Atlas\Dyn\CharacterCommonHead\infectedadventurer.png,Textures\Atlas\Dyn\CharacterHalfBody\Infectedadventurer.png
首领埃尼奥,3142,,Textures\Atlas\Dyn\CharacterHalfBody\adventurersLeader.png
,3149,Textures/Atlas/Dyn/CharacterCommonHead/Anthropomorphictreeman.png,Textures/Atlas/Dyn/CharacterHalfBody/treemale.png
,3150,Textures/Atlas/Dyn/CharacterCommonHead/Traditionaltreeman.png,Textures/Atlas/Dyn/CharacterHalfBody/Treeman.png
,3151,Textures/Atlas/Dyn/CharacterCommonHead/Anthropomorphictreeman.png,Textures/Atlas/Dyn/CharacterHalfBody/treemale.png
,3154,Textures/Atlas/Dyn/CharacterCommonHead/witheredbeequeenbee.png,Textures/Atlas/Dyn/CharacterHalfBody/Witheredbeequeen.png
,3155,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures/Atlas/Dyn/CharacterHalfBody/Druidmale.png
,3156,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures/Atlas/Dyn/CharacterHalfBody/Chiefdruid.png
,3157,Textures/Atlas/Dyn/CharacterCommonHead/Druid.png,Textures/Atlas/Dyn/CharacterHalfBody/Druid.png
费米,3159,Textures/Atlas/Dyn/CharacterCommonHead/Youngmen.png,Textures\Atlas\Dyn\CharacterHalfBody\Youngmen.png
,3164,Textures/Atlas/Dyn/CharacterCommonHead/Carly.png,Textures\Atlas\Dyn\CharacterHalfBody\Carly.png
,3165,Textures/Atlas/Dyn/CharacterCommonHead/Elves.png,Textures\Atlas\Dyn\CharacterHalfBody\eldersofdarkelves.png
,3166,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\Edgar.png
,3167,Textures/Atlas/Dyn/CharacterCommonHead/DarkElfMaleyoungman.png,Textures\Atlas\Dyn\CharacterHalfBody\Darkelfmaleyouth.png
魅魔修狄斯,3172,Textures/Atlas/Dyn/CharacterCommonHead/Adancer.png,Textures\Atlas\Dyn\CharacterHalfBody\Bigwitch.png
冒险者拉尔夫,3173,Textures\Atlas\Dyn\CharacterCommonHead\TribalWarrior.png,Textures\Atlas\Dyn\CharacterHalfBody\TribalWarrior.png
,3175,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png
,3176,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\kitten.png
,3177,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\kitten.png
,3178,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\kitten.png
,3179,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\kitten.png
,3180,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\kitten.png
,3181,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\kitten.png
,3182,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\GoblinHead.png
,3183,Textures\Atlas\Dyn\CharacterCommonHead\Youngwomen.png,Textures\Atlas\Dyn\CharacterHalfBody\Youngwomen.png
,3184,Textures\Atlas\Dyn\CharacterCommonHead\EliteWarrio.png,Textures\Atlas\Dyn\CharacterHalfBody\TribaleliteWarrior.png
,3185,Textures\Atlas\Dyn\CharacterCommonHead\Uncle.png,Textures\Atlas\Dyn\CharacterHalfBody\Uncle.png
旅行者艾力,3186,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Travelereli.png
,3187,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\ResearchInstituteofBaixier.png
面包神传教士,3190,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\breadgodmissionary.png
旅行者艾力,3191,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Travelereli.png
草原游侠,3192,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\ShipRepairRobot.png
米尼,3193,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Minnie.png
小女巫,3194,Textures\Atlas\Dyn\CharacterCommonHead\LittleWitches.png,Textures\Atlas\Dyn\CharacterHalfBody\LittleWitches.png
小提琴家小黑,3195,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Theviolinistlittleblack.png
黑色荆棘,3196,Textures\Atlas\Dyn\CharacterCommonHead\Blackthorne.png,Textures\Atlas\Dyn\CharacterHalfBody\Blackthorne.png
气球女孩小雅,3197,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\TheballoongirlXiaoya.png
加林,3199,Textures\Atlas\Dyn\CharacterCommonHead\Edgar.png,Textures\Atlas\Dyn\CharacterHalfBody\Edgar.png
哈奇队长,3200,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png
格雷大妈,3201,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\GrayAunt.png
欧桑大婶,3202,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\OusangBoyleAunt.png
修船机器人,3208,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\ShipRepairRobot.png
大树精,3209,Textures\Atlas\Dyn\CharacterCommonHead\Sylvansskinny.png,Textures\Atlas\Dyn\CharacterHalfBody\Slimtreeman.png
小树精,3210,Textures\Atlas\Dyn\CharacterCommonHead\ChunkySylvans.png,Textures\Atlas\Dyn\CharacterHalfBody\Fattreeman.png
头条哥布林,3211,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\GoblinHead.png
康奎斯特,3212,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png
正太,3213,Textures/Atlas/Dyn/CharacterCommonHead/teenageboy.png,Textures\Atlas\Dyn\CharacterHalfBody\teenageboy.png
农村小萝莉,3214,Textures\Atlas\Dyn\CharacterCommonHead\Girllolie.png,Textures\Atlas\Dyn\CharacterHalfBody\Girllolie.png
中东小萝莉,3215,Textures\Atlas\Dyn\CharacterCommonHead\FemalechildrenMiddleEast.png,Textures\Atlas\Dyn\CharacterHalfBody\FemalechildrenMiddleEast.png
阿比旦,3216,Textures\Atlas\Dyn\CharacterCommonHead\Abbey.png,Textures\Atlas\Dyn\CharacterHalfBody\Abbey.png
埃尔文队长,3217,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Dwarfyellowbeard.png
头条哥布林,3218,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\GoblinHead.png
阿噗,3219,Textures\Atlas\Dyn\CharacterCommonHead\ApuffofMichaux.png,Textures\Atlas\Dyn\CharacterHalfBody\Michel.png
树精达尼,3220,Textures\Atlas\Dyn\CharacterCommonHead\Dani.png,Textures\Atlas\Dyn\CharacterHalfBody\Dani.png
精锐部落战士,3227,Textures\Atlas\Dyn\CharacterCommonHead\EliteWarrio.png,Textures\Atlas\Dyn\CharacterHalfBody\TribaleliteWarrior.png
锤子团首领,3228,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
绝世舞姬,3229,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\ResearchInstituteofBaixier.png
绝世舞姬,3230,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\DivaLuna.png
中东男青年,3231,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\TheballoongirlXiaoya.png
中东女青年,3232,Textures\Atlas\Dyn\CharacterCommonHead\YoungwomenMiddleEast.png,Textures\Atlas\Dyn\CharacterHalfBody\MiddleEastFemale.png
,3234,Textures\Atlas\Dyn\CharacterCommonHead\Meiya.png,Textures\Atlas\Dyn\CharacterHalfBody\MrBushher.png
,3235,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\Yuro25.png
,3236,Textures/Atlas/Dyn/CharacterCommonHead/Adancer.png,Textures\Atlas\Dyn\CharacterHalfBody\Adancer.png
,3237,Textures/Atlas/Dyn/CharacterCommonHead/Blackthorne.png,Textures/Atlas/Dyn/CharacterHalfBody/Blackthorne.png
