,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,10030,1,30,30,101030,4630,5600,6600,6600,5600,5600
,10031,1,31,30,101030,4630,5600,6600,6600,5600,5600
,10032,1,32,30,101030,4630,5600,6600,6600,5600,5600
,10033,1,33,30,101030,4630,5600,6600,6600,5600,5600
,10034,1,34,30,101030,4630,5600,6600,6600,5600,5600
,10035,1,35,35,101035,5355,5700,6700,6700,5700,5700
,10036,1,36,35,101035,5355,5700,6700,6700,5700,5700
,10037,1,37,35,101035,5355,5700,6700,6700,5700,5700
,10038,1,38,35,101035,5355,5700,6700,6700,5700,5700
,10039,1,39,35,101035,5355,5700,6700,6700,5700,5700
,10040,1,40,40,101040,5910,5800,6800,6800,5800,5800
,10041,1,41,40,101040,5910,5800,6800,6800,5800,5800
,10042,1,42,40,101040,5910,5800,6800,6800,5800,5800
,10043,1,43,40,101040,5910,5800,6800,6800,5800,5800
,10044,1,44,40,101040,5910,5800,6800,6800,5800,5800
,10045,1,45,45,101045,6465,5900,6900,6900,5900,5900
,10046,1,46,45,101045,6465,5900,6900,6900,5900,5900
,10047,1,47,45,101045,6465,5900,6900,6900,5900,5900
,10048,1,48,45,101045,6465,5900,6900,6900,5900,5900
,10049,1,49,45,101045,6465,5900,6900,6900,5900,5900
,10050,1,50,50,101050,7690,6000,7000,7000,6000,6000
,10051,1,51,50,101050,7690,6000,7000,7000,6000,6000
,10052,1,52,50,101050,7690,6000,7000,7000,6000,6000
,10053,1,53,50,101050,7690,6000,7000,7000,6000,6000
,10054,1,54,50,101050,7690,6000,7000,7000,6000,6000
,10055,1,55,55,101055,8288,6100,7100,7100,6100,6100
,10056,1,56,55,101055,8288,6100,7100,7100,6100,6100
,10057,1,57,55,101055,8288,6100,7100,7100,6100,6100
,10058,1,58,55,101055,8288,6100,7100,7100,6100,6100
,10059,1,59,55,101055,8288,6100,7100,7100,6100,6100
,10060,1,60,60,101060,8886,6200,7200,7200,6200,6200
,10061,1,61,60,101060,8886,6200,7200,7200,6200,6200
,10062,1,62,60,101060,8886,6200,7200,7200,6200,6200
,10063,1,63,60,101060,8886,6200,7200,7200,6200,6200
,10064,1,64,60,101060,8886,6200,7200,7200,6200,6200
,10065,1,65,65,101065,9484,6300,7300,7300,6300,6300
,10066,1,66,65,101065,9484,6300,7300,7300,6300,6300
,10067,1,67,65,101065,9484,6300,7300,7300,6300,6300
,10068,1,68,65,101065,9484,6300,7300,7300,6300,6300
,10069,1,69,65,101065,9484,6300,7300,7300,6300,6300
,10070,1,70,70,101070,11746,6400,7400,7400,6400,6400
,10071,1,71,70,101070,11746,6400,7400,7400,6400,6400
,10072,1,72,70,101070,11746,6400,7400,7400,6400,6400
,10073,1,73,70,101070,11746,6400,7400,7400,6400,6400
,10074,1,74,70,101070,11746,6400,7400,7400,6400,6400
,10075,1,75,75,101075,12430,6500,7500,7500,6500,6500
,10076,1,76,75,101075,12430,6500,7500,7500,6500,6500
,10077,1,77,75,101075,12430,6500,7500,7500,6500,6500
,10078,1,78,75,101075,12430,6500,7500,7500,6500,6500
,10079,1,79,75,101075,12430,6500,7500,7500,6500,6500
,10080,1,80,80,101080,13114,6600,7600,7600,6600,6600
,10081,1,81,80,101080,13114,6600,7600,7600,6600,6600
,10082,1,82,80,101080,13114,6600,7600,7600,6600,6600
,10083,1,83,80,101080,13114,6600,7600,7600,6600,6600
,10084,1,84,80,101080,13114,6600,7600,7600,6600,6600
,20000,2,0,1,102001,1311,5000,6000,6000,5000,5000
,20001,2,1,1,102001,1311,5000,6000,6000,5000,5000
,20002,2,2,1,102001,1311,5000,6000,6000,5000,5000
,20003,2,3,1,102001,1311,5000,6000,6000,5000,5000
,20004,2,4,1,102001,1311,5000,6000,6000,5000,5000
,20005,2,5,5,102005,1715,5100,6100,6100,5100,5100
,20006,2,6,5,102005,1715,5100,6100,6100,5100,5100
,20007,2,7,5,102005,1715,5100,6100,6100,5100,5100
,20008,2,8,5,102005,1715,5100,6100,6100,5100,5100
,20009,2,9,5,102005,1715,5100,6100,6100,5100,5100
,20010,2,10,10,102010,2220,5200,6200,6200,5200,5200
,20011,2,11,10,102010,2220,5200,6200,6200,5200,5200
,20012,2,12,10,102010,2220,5200,6200,6200,5200,5200
,20013,2,13,10,102010,2220,5200,6200,6200,5200,5200
,20014,2,14,10,102010,2220,5200,6200,6200,5200,5200
,20015,2,15,15,102015,2725,5300,6300,6300,5300,5300
,20016,2,16,15,102015,2725,5300,6300,6300,5300,5300
,20017,2,17,15,102015,2725,5300,6300,6300,5300,5300
,20018,2,18,15,102015,2725,5300,6300,6300,5300,5300
,20019,2,19,15,102015,2725,5300,6300,6300,5300,5300
,20020,2,20,20,102020,3334,5400,6400,6400,5400,5400
,20021,2,21,20,102020,3334,5400,6400,6400,5400,5400
,20022,2,22,20,102020,3334,5400,6400,6400,5400,5400
,20023,2,23,20,102020,3334,5400,6400,6400,5400,5400
,20024,2,24,20,102020,3334,5400,6400,6400,5400,5400
,20025,2,25,25,102025,4090,5500,6500,6500,5500,5500
,20026,2,26,25,102025,4090,5500,6500,6500,5500,5500
,20027,2,27,25,102025,4090,5500,6500,6500,5500,5500
,20028,2,28,25,102025,4090,5500,6500,6500,5500,5500
,20029,2,29,25,102025,4090,5500,6500,6500,5500,5500
,20030,2,30,30,102030,4630,5600,6600,6600,5600,5600
,20031,2,31,30,102030,4630,5600,6600,6600,5600,5600
,20032,2,32,30,102030,4630,5600,6600,6600,5600,5600
,20033,2,33,30,102030,4630,5600,6600,6600,5600,5600
,20034,2,34,30,102030,4630,5600,6600,6600,5600,5600
,20035,2,35,35,102035,5355,5700,6700,6700,5700,5700
,20036,2,36,35,102035,5355,5700,6700,6700,5700,5700
,20037,2,37,35,102035,5355,5700,6700,6700,5700,5700
,20038,2,38,35,102035,5355,5700,6700,6700,5700,5700
,20039,2,39,35,102035,5355,5700,6700,6700,5700,5700
,20040,2,40,40,102040,5910,5800,6800,6800,5800,5800
,20041,2,41,40,102040,5910,5800,6800,6800,5800,5800
,20042,2,42,40,102040,5910,5800,6800,6800,5800,5800
,20043,2,43,40,102040,5910,5800,6800,6800,5800,5800
,20044,2,44,40,102040,5910,5800,6800,6800,5800,5800
,20045,2,45,45,102045,6465,5900,6900,6900,5900,5900
,20046,2,46,45,102045,6465,5900,6900,6900,5900,5900
,20047,2,47,45,102045,6465,5900,6900,6900,5900,5900
,20048,2,48,45,102045,6465,5900,6900,6900,5900,5900
,20049,2,49,45,102045,6465,5900,6900,6900,5900,5900
,20050,2,50,50,102050,7690,6000,7000,7000,6000,6000
,20051,2,51,50,102050,7690,6000,7000,7000,6000,6000
,20052,2,52,50,102050,7690,6000,7000,7000,6000,6000
,20053,2,53,50,102050,7690,6000,7000,7000,6000,6000
,20054,2,54,50,102050,7690,6000,7000,7000,6000,6000
,20055,2,55,55,102055,8288,6100,7100,7100,6100,6100
,20056,2,56,55,102055,8288,6100,7100,7100,6100,6100
,20057,2,57,55,102055,8288,6100,7100,7100,6100,6100
,20058,2,58,55,102055,8288,6100,7100,7100,6100,6100
,20059,2,59,55,102055,8288,6100,7100,7100,6100,6100
,20060,2,60,60,102060,8886,6200,7200,7200,6200,6200
,20061,2,61,60,102060,8886,6200,7200,7200,6200,6200
,20062,2,62,60,102060,8886,6200,7200,7200,6200,6200
,20063,2,63,60,102060,8886,6200,7200,7200,6200,6200
,20064,2,64,60,102060,8886,6200,7200,7200,6200,6200
,20065,2,65,65,102065,9484,6300,7300,7300,6300,6300
,20066,2,66,65,102065,9484,6300,7300,7300,6300,6300
,20067,2,67,65,102065,9484,6300,7300,7300,6300,6300
,20068,2,68,65,102065,9484,6300,7300,7300,6300,6300
,20069,2,69,65,102065,9484,6300,7300,7300,6300,6300
,20070,2,70,70,102070,11746,6400,7400,7400,6400,6400
,20071,2,71,70,102070,11746,6400,7400,7400,6400,6400
,20072,2,72,70,102070,11746,6400,7400,7400,6400,6400
,20073,2,73,70,102070,11746,6400,7400,7400,6400,6400
,20074,2,74,70,102070,11746,6400,7400,7400,6400,6400
,20075,2,75,75,102075,12430,6500,7500,7500,6500,6500
,20076,2,76,75,102075,12430,6500,7500,7500,6500,6500
,20077,2,77,75,102075,12430,6500,7500,7500,6500,6500
,20078,2,78,75,102075,12430,6500,7500,7500,6500,6500
,20079,2,79,75,102075,12430,6500,7500,7500,6500,6500
,20080,2,80,80,102080,13114,6600,7600,7600,6600,6600
,20081,2,81,80,102080,13114,6600,7600,7600,6600,6600
,20082,2,82,80,102080,13114,6600,7600,7600,6600,6600
,20083,2,83,80,102080,13114,6600,7600,7600,6600,6600
,20084,2,84,80,102080,13114,6600,7600,7600,6600,6600
,1010000,101,0,1,101001,1062,3000,3000,3000,0,0
,1010001,101,1,1,101001,1062,3000,3000,3000,0,0
,1010002,101,2,1,101001,1062,3000,3000,3000,0,0
,1010003,101,3,1,101001,1062,3000,3000,3000,0,0
,1010004,101,4,1,101001,1062,3000,3000,3000,0,0
,1010005,101,5,5,101005,1459,3000,3000,3000,0,0
,1010006,101,6,5,101005,1459,3000,3000,3000,0,0
,1010007,101,7,5,101005,1459,3000,3000,3000,0,0
,1010008,101,8,5,101005,1459,3000,3000,3000,0,0
,1010009,101,9,5,101005,1459,3000,3000,3000,0,0
,1010010,101,10,10,101010,1965,3000,3000,3000,0,0
,1010011,101,11,10,101010,1965,3000,3000,3000,0,0
,1010012,101,12,10,101010,1965,3000,3000,3000,0,0
,1010013,101,13,10,101010,1965,3000,3000,3000,0,0
,1010014,101,14,10,101010,1965,3000,3000,3000,0,0
,1010015,101,15,15,101015,2483,3000,3000,3000,0,0
,1010016,101,16,15,101015,2483,3000,3000,3000,0,0
,1010017,101,17,15,101015,2483,3000,3000,3000,0,0
,1010018,101,18,15,101015,2483,3000,3000,3000,0,0
,1010019,101,19,15,101015,2483,3000,3000,3000,0,0
,1010020,101,20,20,101020,3071,3000,3000,3000,0,0
,1010021,101,21,20,101020,3071,3000,3000,3000,0,0
,1010022,101,22,20,101020,3071,3000,3000,3000,0,0
,1010023,101,23,20,101020,3071,3000,3000,3000,0,0
,1010024,101,24,20,101020,3071,3000,3000,3000,0,0
,1010025,101,25,25,101025,3792,3000,3000,3000,0,0
,1010026,101,26,25,101025,3792,3000,3000,3000,0,0
,1010027,101,27,25,101025,3792,3000,3000,3000,0,0
,1010028,101,28,25,101025,3792,3000,3000,3000,0,0
,1010029,101,29,25,101025,3792,3000,3000,3000,0,0
,1010030,101,30,30,101030,4405,3000,3000,3000,0,0
,1010031,101,31,30,101030,4405,3000,3000,3000,0,0
,1010032,101,32,30,101030,4405,3000,3000,3000,0,0
,1010033,101,33,30,101030,4405,3000,3000,3000,0,0
,1010034,101,34,30,101030,4405,3000,3000,3000,0,0
,1010035,101,35,35,101035,5199,3000,3000,3000,0,0
,1010036,101,36,35,101035,5199,3000,3000,3000,0,0
,1010037,101,37,35,101035,5199,3000,3000,3000,0,0
,1010038,101,38,35,101035,5199,3000,3000,3000,0,0
,1010039,101,39,35,101035,5199,3000,3000,3000,0,0
,1010040,101,40,40,101040,5882,4000,4000,4000,0,0
,1010041,101,41,40,101040,5882,4000,4000,4000,0,0
,1010042,101,42,40,101040,5882,4000,4000,4000,0,0
,1010043,101,43,40,101040,5882,4000,4000,4000,0,0
,1010044,101,44,40,101040,5882,4000,4000,4000,0,0
,1010045,101,45,45,101045,6465,4000,4000,4000,0,0
,1010046,101,46,45,101045,6465,4000,4000,4000,0,0
,1010047,101,47,45,101045,6465,4000,4000,4000,0,0
,1010048,101,48,45,101045,6465,4000,4000,4000,0,0
,1010049,101,49,45,101045,6465,4000,4000,4000,0,0
,1010050,101,50,50,101050,7690,4000,4000,4000,0,0
,1010051,101,51,50,101050,7690,4000,4000,4000,0,0
,1010052,101,52,50,101050,7690,4000,4000,4000,0,0
,1010053,101,53,50,101050,7690,4000,4000,4000,0,0
,1010054,101,54,50,101050,7690,4000,4000,4000,0,0
,1010055,101,55,55,101055,8288,4000,4000,4000,0,0
,1010056,101,56,55,101055,8288,4000,4000,4000,0,0
,1010057,101,57,55,101055,8288,4000,4000,4000,0,0
,1010058,101,58,55,101055,8288,4000,4000,4000,0,0
,1010059,101,59,55,101055,8288,4000,4000,4000,0,0
,1010060,101,60,60,101060,8886,4000,4000,4000,0,0
,1010061,101,61,60,101060,8886,4000,4000,4000,0,0
,1010062,101,62,60,101060,8886,4000,4000,4000,0,0
,1010063,101,63,60,101060,8886,4000,4000,4000,0,0
,1010064,101,64,60,101060,8886,4000,4000,4000,0,0
,1010065,101,65,65,101065,9484,5000,5000,5000,0,0
,1010066,101,66,65,101065,9484,5000,5000,5000,0,0
,1010067,101,67,65,101065,9484,5000,5000,5000,0,0
,1010068,101,68,65,101065,9484,5000,5000,5000,0,0
,1010069,101,69,65,101065,9484,5000,5000,5000,0,0
,1010070,101,70,70,101070,11746,5000,5000,5000,0,0
,1010071,101,71,70,101070,11746,5000,5000,5000,0,0
,1010072,101,72,70,101070,11746,5000,5000,5000,0,0
,1010073,101,73,70,101070,11746,5000,5000,5000,0,0
,1010074,101,74,70,101070,11746,5000,5000,5000,0,0
,1010075,101,75,75,101075,12430,5000,5000,5000,0,0
,1010076,101,76,75,101075,12430,5000,5000,5000,0,0
,1010077,101,77,75,101075,12430,5000,5000,5000,0,0
,1010078,101,78,75,101075,12430,5000,5000,5000,0,0
,1010079,101,79,75,101075,12430,5000,5000,5000,0,0
,1010080,101,80,80,101080,13114,5000,5000,5000,0,0
,1010081,101,81,80,101080,13114,5000,5000,5000,0,0
,1010082,101,82,80,101080,13114,5000,5000,5000,0,0
,1010083,101,83,80,101080,13114,5000,5000,5000,0,0
,1010084,101,84,80,101080,13114,5000,5000,5000,0,0
,1010085,101,85,85,101085,13798,5000,5000,5000,0,0
,1010086,101,86,85,101085,13798,5000,5000,5000,0,0
,1010087,101,87,85,101085,13798,5000,5000,5000,0,0
,1010088,101,88,85,101085,13798,5000,5000,5000,0,0
,1010089,101,89,85,101085,13798,5000,5000,5000,0,0
,1010090,101,90,90,101090,14482,5000,5000,5000,0,0
,1010091,101,91,90,101090,14482,5000,5000,5000,0,0
,1010092,101,92,90,101090,14482,5000,5000,5000,0,0
,1010093,101,93,90,101090,14482,5000,5000,5000,0,0
,1010094,101,94,90,101090,14482,5000,5000,5000,0,0
,1010095,101,95,95,101095,15166,5000,5000,5000,0,0
,1010096,101,96,95,101095,15166,5000,5000,5000,0,0
,1010097,101,97,95,101095,15166,5000,5000,5000,0,0
,1010098,101,98,95,101095,15166,5000,5000,5000,0,0
,1010099,101,99,95,101095,15166,5000,5000,5000,0,0
,1010100,101,100,100,101100,15850,5000,5000,5000,0,0
,1010101,101,101,100,101100,15850,5000,5000,5000,0,0
,1010102,101,102,100,101100,15850,5000,5000,5000,0,0
,1010103,101,103,100,101100,15850,5000,5000,5000,0,0
,1010104,101,104,100,101100,15850,5000,5000,5000,0,0
,1020000,102,0,1,102001,1062,3000,3000,3000,0,0
,1020001,102,1,1,102001,1062,3000,3000,3000,0,0
,1020002,102,2,1,102001,1062,3000,3000,3000,0,0
,1020003,102,3,1,102001,1062,3000,3000,3000,0,0
,1020004,102,4,1,102001,1062,3000,3000,3000,0,0
,1020005,102,5,5,102005,1459,3000,3000,3000,0,0
,1020006,102,6,5,102005,1459,3000,3000,3000,0,0
,1020007,102,7,5,102005,1459,3000,3000,3000,0,0
,1020008,102,8,5,102005,1459,3000,3000,3000,0,0
,1020009,102,9,5,102005,1459,3000,3000,3000,0,0
,1020010,102,10,10,102010,1965,3000,3000,3000,0,0
,1020011,102,11,10,102010,1965,3000,3000,3000,0,0
,1020012,102,12,10,102010,1965,3000,3000,3000,0,0
,1020013,102,13,10,102010,1965,3000,3000,3000,0,0
,1020014,102,14,10,102010,1965,3000,3000,3000,0,0
,1020015,102,15,15,102015,2483,3000,3000,3000,0,0
,1020016,102,16,15,102015,2483,3000,3000,3000,0,0
,1020017,102,17,15,102015,2483,3000,3000,3000,0,0
,1020018,102,18,15,102015,2483,3000,3000,3000,0,0
,1020019,102,19,15,102015,2483,3000,3000,3000,0,0
,1020020,102,20,20,102020,3071,3000,3000,3000,0,0
,1020021,102,21,20,102020,3071,3000,3000,3000,0,0
,1020022,102,22,20,102020,3071,3000,3000,3000,0,0
,1020023,102,23,20,102020,3071,3000,3000,3000,0,0
,1020024,102,24,20,102020,3071,3000,3000,3000,0,0
,1020025,102,25,25,102025,3792,3000,3000,3000,0,0
,1020026,102,26,25,102025,3792,3000,3000,3000,0,0
,1020027,102,27,25,102025,3792,3000,3000,3000,0,0
,1020028,102,28,25,102025,3792,3000,3000,3000,0,0
,1020029,102,29,25,102025,3792,3000,3000,3000,0,0
,1020030,102,30,30,102030,4405,3000,3000,3000,0,0
,1020031,102,31,30,102030,4405,3000,3000,3000,0,0
,1020032,102,32,30,102030,4405,3000,3000,3000,0,0
,1020033,102,33,30,102030,4405,3000,3000,3000,0,0
,1020034,102,34,30,102030,4405,3000,3000,3000,0,0
,1020035,102,35,35,102035,5199,3000,3000,3000,0,0
,1020036,102,36,35,102035,5199,3000,3000,3000,0,0
,1020037,102,37,35,102035,5199,3000,3000,3000,0,0
,1020038,102,38,35,102035,5199,3000,3000,3000,0,0
,1020039,102,39,35,102035,5199,3000,3000,3000,0,0
,1020040,102,40,40,102040,5882,4000,4000,4000,0,0
,1020041,102,41,40,102040,5882,4000,4000,4000,0,0
,1020042,102,42,40,102040,5882,4000,4000,4000,0,0
,1020043,102,43,40,102040,5882,4000,4000,4000,0,0
,1020044,102,44,40,102040,5882,4000,4000,4000,0,0
,1020045,102,45,45,102045,6465,4000,4000,4000,0,0
,1020046,102,46,45,102045,6465,4000,4000,4000,0,0
,1020047,102,47,45,102045,6465,4000,4000,4000,0,0
,1020048,102,48,45,102045,6465,4000,4000,4000,0,0
,1020049,102,49,45,102045,6465,4000,4000,4000,0,0
,1020050,102,50,50,102050,7690,4000,4000,4000,0,0
,1020051,102,51,50,102050,7690,4000,4000,4000,0,0
,1020052,102,52,50,102050,7690,4000,4000,4000,0,0
,1020053,102,53,50,102050,7690,4000,4000,4000,0,0
,1020054,102,54,50,102050,7690,4000,4000,4000,0,0
,1020055,102,55,55,102055,8288,4000,4000,4000,0,0
,1020056,102,56,55,102055,8288,4000,4000,4000,0,0
,1020057,102,57,55,102055,8288,4000,4000,4000,0,0
,1020058,102,58,55,102055,8288,4000,4000,4000,0,0
,1020059,102,59,55,102055,8288,4000,4000,4000,0,0
,1020060,102,60,60,102060,8886,4000,4000,4000,0,0
,1020061,102,61,60,102060,8886,4000,4000,4000,0,0
,1020062,102,62,60,102060,8886,4000,4000,4000,0,0
,1020063,102,63,60,102060,8886,4000,4000,4000,0,0
,1020064,102,64,60,102060,8886,4000,4000,4000,0,0
,1020065,102,65,65,102065,9484,5000,5000,5000,0,0
,1020066,102,66,65,102065,9484,5000,5000,5000,0,0
,1020067,102,67,65,102065,9484,5000,5000,5000,0,0
,1020068,102,68,65,102065,9484,5000,5000,5000,0,0
,1020069,102,69,65,102065,9484,5000,5000,5000,0,0
,1020070,102,70,70,102070,11746,5000,5000,5000,0,0
,1020071,102,71,70,102070,11746,5000,5000,5000,0,0
,1020072,102,72,70,102070,11746,5000,5000,5000,0,0
,1020073,102,73,70,102070,11746,5000,5000,5000,0,0
,1020074,102,74,70,102070,11746,5000,5000,5000,0,0
,1020075,102,75,75,102075,12430,5000,5000,5000,0,0
,1020076,102,76,75,102075,12430,5000,5000,5000,0,0
,1020077,102,77,75,102075,12430,5000,5000,5000,0,0
,1020078,102,78,75,102075,12430,5000,5000,5000,0,0
,1020079,102,79,75,102075,12430,5000,5000,5000,0,0
,1020080,102,80,80,102080,13114,5000,5000,5000,0,0
,1020081,102,81,80,102080,13114,5000,5000,5000,0,0
,1020082,102,82,80,102080,13114,5000,5000,5000,0,0
,1020083,102,83,80,102080,13114,5000,5000,5000,0,0
,1020084,102,84,80,102080,13114,5000,5000,5000,0,0
,1020085,102,85,85,102085,13798,5000,5000,5000,0,0
,1020086,102,86,85,102085,13798,5000,5000,5000,0,0
,1020087,102,87,85,102085,13798,5000,5000,5000,0,0
,1020088,102,88,85,102085,13798,5000,5000,5000,0,0
,1020089,102,89,85,102085,13798,5000,5000,5000,0,0
,1020090,102,90,90,102090,14482,5000,5000,5000,0,0
,1020091,102,91,90,102090,14482,5000,5000,5000,0,0
,1020092,102,92,90,102090,14482,5000,5000,5000,0,0
,1020093,102,93,90,102090,14482,5000,5000,5000,0,0
,1020094,102,94,90,102090,14482,5000,5000,5000,0,0
,1020095,102,95,95,102095,15166,5000,5000,5000,0,0
,1020096,102,96,95,102095,15166,5000,5000,5000,0,0
,1020097,102,97,95,102095,15166,5000,5000,5000,0,0
,1020098,102,98,95,102095,15166,5000,5000,5000,0,0
,1020099,102,99,95,102095,15166,5000,5000,5000,0,0
,1020100,102,100,100,102100,15850,5000,5000,5000,0,0
,1020101,102,101,100,102100,15850,5000,5000,5000,0,0
,1020102,102,102,100,102100,15850,5000,5000,5000,0,0
,1020103,102,103,100,102100,15850,5000,5000,5000,0,0
,1020104,102,104,100,102100,15850,5000,5000,5000,0,0
,1030000,103,0,1,103001,1062,3000,3000,3000,0,0
,1030001,103,1,1,103001,1062,3000,3000,3000,0,0
,1030002,103,2,1,103001,1062,3000,3000,3000,0,0
,1030003,103,3,1,103001,1062,3000,3000,3000,0,0
,1030004,103,4,1,103001,1062,3000,3000,3000,0,0
,1030005,103,5,5,103005,1459,3000,3000,3000,0,0
,1030006,103,6,5,103005,1459,3000,3000,3000,0,0
,1030007,103,7,5,103005,1459,3000,3000,3000,0,0
,1030008,103,8,5,103005,1459,3000,3000,3000,0,0
,1030009,103,9,5,103005,1459,3000,3000,3000,0,0
,1030010,103,10,10,103010,1965,3000,3000,3000,0,0
,1030011,103,11,10,103010,1965,3000,3000,3000,0,0
,1030012,103,12,10,103010,1965,3000,3000,3000,0,0
,1030013,103,13,10,103010,1965,3000,3000,3000,0,0
,1030014,103,14,10,103010,1965,3000,3000,3000,0,0
,1030015,103,15,15,103015,2483,3000,3000,3000,0,0
,1030016,103,16,15,103015,2483,3000,3000,3000,0,0
,1030017,103,17,15,103015,2483,3000,3000,3000,0,0
,1030018,103,18,15,103015,2483,3000,3000,3000,0,0
,1030019,103,19,15,103015,2483,3000,3000,3000,0,0
,1030020,103,20,20,103020,3071,3000,3000,3000,0,0
,1030021,103,21,20,103020,3071,3000,3000,3000,0,0
,1030022,103,22,20,103020,3071,3000,3000,3000,0,0
,1030023,103,23,20,103020,3071,3000,3000,3000,0,0
,1030024,103,24,20,103020,3071,3000,3000,3000,0,0
,1030025,103,25,25,103025,3792,3000,3000,3000,0,0
,1030026,103,26,25,103025,3792,3000,3000,3000,0,0
,1030027,103,27,25,103025,3792,3000,3000,3000,0,0
,1030028,103,28,25,103025,3792,3000,3000,3000,0,0
,1030029,103,29,25,103025,3792,3000,3000,3000,0,0
,1030030,103,30,30,103030,4405,3000,3000,3000,0,0
,1030031,103,31,30,103030,4405,3000,3000,3000,0,0
,1030032,103,32,30,103030,4405,3000,3000,3000,0,0
,1030033,103,33,30,103030,4405,3000,3000,3000,0,0
,1030034,103,34,30,103030,4405,3000,3000,3000,0,0
,1030035,103,35,35,103035,5199,3000,3000,3000,0,0
,1030036,103,36,35,103035,5199,3000,3000,3000,0,0
,1030037,103,37,35,103035,5199,3000,3000,3000,0,0
,1030038,103,38,35,103035,5199,3000,3000,3000,0,0
,1030039,103,39,35,103035,5199,3000,3000,3000,0,0
,1030040,103,40,40,103040,5882,4000,4000,4000,0,0
,1030041,103,41,40,103040,5882,4000,4000,4000,0,0
,1030042,103,42,40,103040,5882,4000,4000,4000,0,0
,1030043,103,43,40,103040,5882,4000,4000,4000,0,0
,1030044,103,44,40,103040,5882,4000,4000,4000,0,0
,1030045,103,45,45,103045,6465,4000,4000,4000,0,0
,1030046,103,46,45,103045,6465,4000,4000,4000,0,0
,1030047,103,47,45,103045,6465,4000,4000,4000,0,0
,1030048,103,48,45,103045,6465,4000,4000,4000,0,0
,1030049,103,49,45,103045,6465,4000,4000,4000,0,0
,1030050,103,50,50,103050,7690,4000,4000,4000,0,0
,1030051,103,51,50,103050,7690,4000,4000,4000,0,0
,1030052,103,52,50,103050,7690,4000,4000,4000,0,0
,1030053,103,53,50,103050,7690,4000,4000,4000,0,0
,1030054,103,54,50,103050,7690,4000,4000,4000,0,0
,1030055,103,55,55,103055,8288,4000,4000,4000,0,0
,1030056,103,56,55,103055,8288,4000,4000,4000,0,0
,1030057,103,57,55,103055,8288,4000,4000,4000,0,0
,1030058,103,58,55,103055,8288,4000,4000,4000,0,0
,1030059,103,59,55,103055,8288,4000,4000,4000,0,0
,1030060,103,60,60,103060,8886,4000,4000,4000,0,0
,1030061,103,61,60,103060,8886,4000,4000,4000,0,0
,1030062,103,62,60,103060,8886,4000,4000,4000,0,0
,1030063,103,63,60,103060,8886,4000,4000,4000,0,0
,1030064,103,64,60,103060,8886,4000,4000,4000,0,0
,1030065,103,65,65,103065,9484,5000,5000,5000,0,0
,1030066,103,66,65,103065,9484,5000,5000,5000,0,0
,1030067,103,67,65,103065,9484,5000,5000,5000,0,0
,1030068,103,68,65,103065,9484,5000,5000,5000,0,0
,1030069,103,69,65,103065,9484,5000,5000,5000,0,0
,1030070,103,70,70,103070,11746,5000,5000,5000,0,0
,1030071,103,71,70,103070,11746,5000,5000,5000,0,0
,1030072,103,72,70,103070,11746,5000,5000,5000,0,0
