,required,required,required,required,required,required,required,required,required,required,required,required,required
,39,1,8,3,6,1,50,12,50,3,40000,0,0
,40,1,8,6,10,1,10,12,50,3,20000,0,0
,41,1,9,0,1,1,200,12,200,3,100000,0,0
,42,1,9,1,2,1,150,12,150,3,80000,0,0
,43,1,9,2,3,1,100,12,100,3,60000,0,0
,44,1,9,3,6,1,50,12,50,3,40000,0,0
,45,1,9,6,10,1,10,12,50,3,20000,0,0
,46,1,10,0,1,1,200,12,200,3,100000,0,0
,47,1,10,1,2,1,150,12,150,3,80000,0,0
,48,1,10,2,3,1,100,12,100,3,60000,0,0
,49,1,10,3,6,1,50,12,50,3,40000,0,0
,50,1,10,6,10,1,10,12,50,3,20000,0,0
,51,1,11,0,1,1,200,12,200,3,100000,0,0
,52,1,11,1,2,1,150,12,150,3,80000,0,0
,53,1,11,2,3,1,100,12,100,3,60000,0,0
,54,1,11,3,6,1,50,12,50,3,40000,0,0
,55,1,11,6,10,1,10,12,50,3,20000,0,0
,56,1,12,0,1,1,200,12,200,3,100000,0,0
,57,1,12,1,2,1,150,12,150,3,80000,0,0
,58,1,12,2,3,1,100,12,100,3,60000,0,0
,59,1,12,3,6,1,50,12,50,3,40000,0,0
,60,1,12,6,10,1,10,12,50,3,20000,0,0
,61,1,13,0,1,1,200,12,200,3,100000,0,0
,62,1,13,1,2,1,150,12,150,3,80000,0,0
,63,1,13,2,3,1,100,12,100,3,60000,0,0
,64,1,13,3,6,1,50,12,50,3,40000,0,0
,65,1,13,6,10,1,10,12,50,3,20000,0,0
,66,1,14,0,1,1,200,12,200,3,100000,0,0
,67,1,14,1,2,1,150,12,150,3,80000,0,0
,68,1,14,2,3,1,100,12,100,3,60000,0,0
,69,1,14,3,6,1,50,12,50,3,40000,0,0
,70,1,14,6,10,1,10,12,50,3,20000,0,0
,71,1,15,0,1,1,200,12,200,3,100000,0,0
,72,1,15,1,2,1,150,12,150,3,80000,0,0
,73,1,15,2,3,1,100,12,100,3,60000,0,0
,74,1,15,3,6,1,50,12,50,3,40000,0,0
,75,1,15,6,10,1,10,12,50,3,20000,0,0
,76,1,16,0,1,1,200,12,200,3,100000,0,0
,77,1,16,1,2,1,150,12,150,3,80000,0,0
,78,1,16,2,3,1,100,12,100,3,60000,0,0
,79,1,16,3,6,1,50,12,50,3,40000,0,0
,80,1,16,6,10,1,10,12,50,3,20000,0,0
,81,1,17,0,1,1,200,12,200,3,100000,0,0
,82,1,17,1,2,1,150,12,150,3,80000,0,0
,83,1,17,2,3,1,100,12,100,3,60000,0,0
,84,1,17,3,6,1,50,12,50,3,40000,0,0
,85,1,17,6,10,1,10,12,50,3,20000,0,0
,86,1,18,0,1,1,200,12,200,3,100000,0,0
,87,1,18,1,2,1,150,12,150,3,80000,0,0
,88,1,18,2,3,1,100,12,100,3,60000,0,0
,89,1,18,3,6,1,50,12,50,3,40000,0,0
,90,1,18,6,10,1,10,12,50,3,20000,0,0
,91,1,19,0,1,1,200,12,200,3,100000,0,0
,92,1,19,1,2,1,150,12,150,3,80000,0,0
,93,1,19,2,3,1,100,12,100,3,60000,0,0
,94,1,19,3,6,1,50,12,50,3,40000,0,0
,95,1,19,6,10,1,10,12,50,3,20000,0,0
,96,1,20,0,1,1,200,12,200,3,100000,0,0
,97,1,20,1,2,1,150,12,150,3,80000,0,0
,98,1,20,2,3,1,100,12,100,3,60000,0,0
,99,1,20,3,6,1,50,12,50,3,40000,0,0
,100,1,20,6,10,1,10,12,50,3,20000,0,0
,101,1,21,0,1,1,200,12,200,3,100000,0,0
,102,1,21,1,2,1,150,12,150,3,80000,0,0
,103,1,21,2,3,1,100,12,100,3,60000,0,0
,104,1,21,3,6,1,50,12,50,3,40000,0,0
,105,1,21,6,10,1,10,12,50,3,20000,0,0
,106,1,22,0,1,1,200,12,200,3,100000,0,0
,107,1,22,1,2,1,150,12,150,3,80000,0,0
,108,1,22,2,3,1,100,12,100,3,60000,0,0
,109,1,22,3,6,1,50,12,50,3,40000,0,0
,110,1,22,6,10,1,10,12,50,3,20000,0,0
,111,1,23,0,1,1,200,12,200,3,100000,0,0
,112,1,23,1,2,1,150,12,150,3,80000,0,0
,113,1,23,2,3,1,100,12,100,3,60000,0,0
,114,1,23,3,6,1,50,12,50,3,40000,0,0
,115,1,23,6,10,1,10,12,50,3,20000,0,0
,116,1,24,0,1,1,200,12,200,3,100000,0,0
,117,1,24,1,2,1,150,12,150,3,80000,0,0
,118,1,24,2,3,1,100,12,100,3,60000,0,0
,119,1,24,3,6,1,50,12,50,3,40000,0,0
,120,1,24,6,10,1,10,12,50,3,20000,0,0
,121,1,25,0,1,1,200,12,200,3,100000,0,0
,122,1,25,1,2,1,150,12,150,3,80000,0,0
,123,1,25,2,3,1,100,12,100,3,60000,0,0
,124,1,25,3,6,1,50,12,50,3,40000,0,0
,125,1,25,6,10,1,10,12,50,3,20000,0,0
,126,1,26,0,1,1,200,12,200,3,100000,0,0
,127,1,26,1,2,1,150,12,150,3,80000,0,0
,128,1,26,2,3,1,100,12,100,3,60000,0,0
,129,1,26,3,6,1,50,12,50,3,40000,0,0
,130,1,26,6,10,1,10,12,50,3,20000,0,0
,131,1,27,0,1,1,200,12,200,3,100000,0,0
,132,1,27,1,2,1,150,12,150,3,80000,0,0
,133,1,27,2,3,1,100,12,100,3,60000,0,0
,134,1,27,3,6,1,50,12,50,3,40000,0,0
,135,1,27,6,10,1,10,12,50,3,20000,0,0
,136,1,28,0,1,1,200,12,200,3,100000,0,0
,137,1,28,1,2,1,150,12,150,3,80000,0,0
,138,1,28,2,3,1,100,12,100,3,60000,0,0
,139,1,28,3,6,1,50,12,50,3,40000,0,0
,140,1,28,6,10,1,10,12,50,3,20000,0,0
,141,1,29,0,1,1,200,12,200,3,100000,0,0
,142,1,29,1,2,1,150,12,150,3,80000,0,0
,143,1,29,2,3,1,100,12,100,3,60000,0,0
,144,1,29,3,6,1,50,12,50,3,40000,0,0
,145,1,29,6,10,1,10,12,50,3,20000,0,0
,146,1,30,0,1,1,200,12,200,3,100000,0,0
,147,1,30,1,2,1,150,12,150,3,80000,0,0
,148,1,30,2,3,1,100,12,100,3,60000,0,0
,149,1,30,3,6,1,50,12,50,3,40000,0,0
,150,1,30,6,10,1,10,12,50,3,20000,0,0
,151,1,31,0,1,1,200,12,200,3,100000,0,0
,152,1,31,1,2,1,150,12,150,3,80000,0,0
,153,1,31,2,3,1,100,12,100,3,60000,0,0
,154,1,31,3,6,1,50,12,50,3,40000,0,0
,155,1,31,6,10,1,10,12,50,3,20000,0,0
,156,1,32,0,1,1,200,12,200,3,100000,0,0
,157,1,32,1,2,1,150,12,150,3,80000,0,0
,158,1,32,2,3,1,100,12,100,3,60000,0,0
,159,1,32,3,6,1,50,12,50,3,40000,0,0
,160,1,32,6,10,1,10,12,50,3,20000,0,0
,161,1,33,0,1,1,200,12,200,3,100000,0,0
,162,1,33,1,2,1,150,12,150,3,80000,0,0
,163,1,33,2,3,1,100,12,100,3,60000,0,0
,164,1,33,3,6,1,50,12,50,3,40000,0,0
,165,1,33,6,10,1,10,12,50,3,20000,0,0
,166,1,34,0,1,1,200,12,200,3,100000,0,0
,167,1,34,1,2,1,150,12,150,3,80000,0,0
,168,1,34,2,3,1,100,12,100,3,60000,0,0
,169,1,34,3,6,1,50,12,50,3,40000,0,0
,170,1,34,6,10,1,10,12,50,3,20000,0,0
,171,1,35,0,1,1,200,12,200,3,100000,0,0
,172,1,35,1,2,1,150,12,150,3,80000,0,0
,173,1,35,2,3,1,100,12,100,3,60000,0,0
,174,1,35,3,6,1,50,12,50,3,40000,0,0
,175,1,35,6,10,1,10,12,50,3,20000,0,0
,176,1,36,0,1,1,200,12,200,3,100000,0,0
,177,1,36,1,2,1,150,12,150,3,80000,0,0
,178,1,36,2,3,1,100,12,100,3,60000,0,0
,179,1,36,3,6,1,50,12,50,3,40000,0,0
,180,1,36,6,10,1,10,12,50,3,20000,0,0
,181,1,37,0,1,1,200,12,200,3,100000,0,0
,182,1,37,1,2,1,150,12,150,3,80000,0,0
,183,1,37,2,3,1,100,12,100,3,60000,0,0
,184,1,37,3,6,1,50,12,50,3,40000,0,0
,185,1,37,6,10,1,10,12,50,3,20000,0,0
,186,1,38,0,1,1,200,12,200,3,100000,0,0
,187,1,38,1,2,1,150,12,150,3,80000,0,0
,188,1,38,2,3,1,100,12,100,3,60000,0,0
,189,1,38,3,6,1,50,12,50,3,40000,0,0
,190,1,38,6,10,1,10,12,50,3,20000,0,0
,191,1,39,0,1,1,200,12,200,3,100000,0,0
,192,1,39,1,2,1,150,12,150,3,80000,0,0
,193,1,39,2,3,1,100,12,100,3,60000,0,0
,194,1,39,3,6,1,50,12,50,3,40000,0,0
,195,1,39,6,10,1,10,12,50,3,20000,0,0
,196,1,40,0,1,1,200,12,200,3,100000,0,0
,197,1,40,1,2,1,150,12,150,3,80000,0,0
,198,1,40,2,3,1,100,12,100,3,60000,0,0
,199,1,40,3,6,1,50,12,50,3,40000,0,0
,200,1,40,6,10,1,10,12,50,3,20000,0,0
,201,1,41,0,1,1,200,12,200,3,100000,0,0
,202,1,41,1,2,1,150,12,150,3,80000,0,0
,203,1,41,2,3,1,100,12,100,3,60000,0,0
,204,1,41,3,6,1,50,12,50,3,40000,0,0
,205,1,41,6,10,1,10,12,50,3,20000,0,0
,206,1,42,0,1,1,200,12,200,3,100000,0,0
,207,1,42,1,2,1,150,12,150,3,80000,0,0
,208,1,42,2,3,1,100,12,100,3,60000,0,0
,209,1,42,3,6,1,50,12,50,3,40000,0,0
,210,1,42,6,10,1,10,12,50,3,20000,0,0
,211,1,43,0,1,1,200,12,200,3,100000,0,0
,212,1,43,1,2,1,150,12,150,3,80000,0,0
,213,1,43,2,3,1,100,12,100,3,60000,0,0
,214,1,43,3,6,1,50,12,50,3,40000,0,0
,215,1,43,6,10,1,10,12,50,3,20000,0,0
,216,1,44,0,1,1,200,12,200,3,100000,0,0
,217,1,44,1,2,1,150,12,150,3,80000,0,0
,218,1,44,2,3,1,100,12,100,3,60000,0,0
,219,1,44,3,6,1,50,12,50,3,40000,0,0
,220,1,44,6,10,1,10,12,50,3,20000,0,0
,221,1,45,0,1,1,200,12,200,3,100000,0,0
,222,1,45,1,2,1,150,12,150,3,80000,0,0
,223,1,45,2,3,1,100,12,100,3,60000,0,0
,224,1,45,3,6,1,50,12,50,3,40000,0,0
,225,1,45,6,10,1,10,12,50,3,20000,0,0
,226,1,46,0,1,1,200,12,200,3,100000,0,0
,227,1,46,1,2,1,150,12,150,3,80000,0,0
,228,1,46,2,3,1,100,12,100,3,60000,0,0
,229,1,46,3,6,1,50,12,50,3,40000,0,0
,230,1,46,6,10,1,10,12,50,3,20000,0,0
,231,1,47,0,1,1,200,12,200,3,100000,0,0
,232,1,47,1,2,1,150,12,150,3,80000,0,0
,233,1,47,2,3,1,100,12,100,3,60000,0,0
,234,1,47,3,6,1,50,12,50,3,40000,0,0
,235,1,47,6,10,1,10,12,50,3,20000,0,0
,236,1,48,0,1,1,200,12,200,3,100000,0,0
,237,1,48,1,2,1,150,12,150,3,80000,0,0
,238,1,48,2,3,1,100,12,100,3,60000,0,0
,239,1,48,3,6,1,50,12,50,3,40000,0,0
,240,1,48,6,10,1,10,12,50,3,20000,0,0
,241,2,1,1,10,1,100,0,0,0,0,0,0
,242,2,1,2,100,1,500,3,1000,0,0,0,0
,243,2,1,3,500,1,1000,3,2000,3040013,1,0,0
,244,2,1,4,1000,1,2000,3,5000,3040013,2,3010013,1
,245,2,1,5,2000,1,3000,3,10000,3040013,10,3010013,10
,246,3,1,1,0,1,3000,3,10000,0,0,0,0
,247,3,1,2,0,1,2000,3,8000,0,0,0,0
,248,3,1,3,0,1,1500,3,4000,0,0,0,0
,249,3,1,4,0,1,1000,3,3000,0,0,0,0
,250,3,1,5,0,1,800,3,2000,0,0,0,0
,251,3,1,6,0,1,600,3,1000,0,0,0,0
,252,3,1,7,0,1,300,3,800,0,0,0,0
,253,3,1,8,0,1,100,3,500,0,0,0,0
,254,3,1,9,0,1,60,3,100,0,0,0,0
,255,3,1,10,0,1,10,3,10,0,0,0,0
,256,4,10019,888,0,8000305,1,0,0,0,0,0,0
,257,4,10020,888,0,8000315,1,0,0,0,0,0,0
,10000,5,0,0,1,1,10000,3,1000000,0,0,0,0
,10001,5,0,1,2,1,5000,3,500000,0,0,0,0
,10002,5,0,2,3,1,1000,3,100000,0,0,0,0
,10003,5,0,3,10,1,200,3,20000,0,0,0,0
,10004,6,0,0,1,1,10000,3,1000000,0,0,0,0
,10005,6,0,1,2,1,5000,3,500000,0,0,0,0
,10006,6,0,2,3,1,1000,3,100000,0,0,0,0
,10007,6,0,3,10,1,200,3,20000,0,0,0,0
