,required,required,required,required,required,repeated,required,required,required,required,required,required,required,required
,108082,1082301,7,3000,2684,,14400,0,0,0,0,0,0,0
,108083,1082401,7,5000,4841,,14700,0,0,0,0,0,0,0
,108084,1082501,7,5000,5065,,15600,0,0,0,0,0,0,0
,108085,1082601,7,5000,5231,,12700,0,0,0,0,0,0,0
,108086,1082701,7,8000,10023,,46800,0,0,0,0,0,0,0
,112001,1120101,1,2000,1869,,4000,0,0,0,0,0,0,0
,112002,1120201,1,2000,2511,,4000,0,0,0,0,0,0,0
,112003,1120301,1,3000,2858,,7000,0,0,0,0,0,0,0
,112004,1120401,1,4000,4310,,10000,0,0,0,0,0,0,0
,112005,1120501,1,6000,6981,,9000,0,0,0,0,0,0,0
,112006,1120601,1,5000,6266,,13000,0,0,0,0,0,0,0
,112007,1120701,1,8000,10528,,22000,0,0,0,0,1,1,0
,112008,1120301,2,3000,2858,,7600,0,0,0,0,0,0,0
,112009,1120401,2,4000,4310,,10800,0,0,0,0,0,0,0
,112010,1120501,2,6000,6981,,9700,0,0,0,0,0,0,0
,112011,1120601,2,5000,6266,,14000,0,0,0,0,0,0,0
,112012,1120701,2,8000,10528,,23700,0,0,0,0,1,1,0
,112013,1120301,3,3000,2858,,8200,0,0,0,0,0,0,0
,112014,1120401,3,4000,4310,,11600,0,0,0,0,0,0,0
,112015,1120501,3,6000,6981,,10400,0,0,0,0,0,0,0
,112016,1120601,3,5000,6266,,15000,0,0,0,0,0,0,0
,112017,1120701,3,8000,10528,,25400,0,0,0,0,1,1,0
,112018,1120301,4,3000,2858,,8800,0,0,0,0,0,0,0
,112019,1120401,4,4000,4310,,12400,0,0,0,0,0,0,0
,112020,1120501,4,6000,6981,,11100,0,0,0,0,0,0,0
,112021,1120601,4,5000,6266,,16000,0,0,0,0,0,0,0
,112022,1120701,4,8000,10528,,27100,0,0,0,0,1,1,0
,112023,1120301,5,3000,2858,,9400,0,0,0,0,0,0,0
,112024,1120401,5,4000,4310,,13200,0,0,0,0,0,0,0
,112025,1120501,5,6000,6981,,11800,0,0,0,0,0,0,0
,112026,1120601,5,5000,6266,,17000,0,0,0,0,0,0,0
,112027,1120701,5,8000,10528,,28800,0,0,0,0,1,1,0
,112028,1120301,6,3000,2858,,10000,0,0,0,0,0,0,0
,112029,1120401,6,4000,4310,,14000,0,0,0,0,0,0,0
,112030,1120501,6,6000,6981,,12500,0,0,0,0,0,0,0
,112031,1120601,6,5000,6266,,18000,0,0,0,0,0,0,0
,112032,1120701,6,8000,10528,,30500,0,0,0,0,1,1,0
,112033,1120301,7,3000,2858,,11200,0,0,0,0,0,0,0
,112034,1120401,7,4000,4310,,15600,0,0,0,0,0,0,0
,112035,1120501,7,6000,6981,,13900,0,0,0,0,0,0,0
,112036,1120601,7,5000,6266,,20000,0,0,0,0,0,0,0
,112037,1120701,7,8000,10528,,33900,0,0,0,0,1,1,0
,201001,2010101,1,2000,2684,,4000,0,0,0,0,0,0,0
,201002,2010201,1,2000,2729,,4000,0,0,0,0,0,0,0
,201003,2010301,1,2200,2853,,1800,0,0,0,0,0,0,0
,201004,2010302,1,420,548,,3600,0,0,0,0,0,0,0
,201005,2010303,1,380,494,,4400,0,0,0,0,0,0,0
,201006,2010401,1,3000,3244,,4000,0,0,0,0,0,0,0
,201007,2010402,1,1000,1013,,5500,0,0,0,0,0,0,0
,201008,2010501,1,950,1366,,1200,0,0,0,0,0,0,0
,201009,2010502,1,600,876,,2400,0,0,0,0,0,0,0
,201010,2010503,1,1650,2370,,1800,0,0,0,0,0,0,0
,201011,2010504,1,2800,4086,,4600,0,0,0,0,0,0,0
,201012,2010601,1,8000,10325,,6000,0,0,0,0,0,0,0
,201013,2010701,1,8000,9696,,20000,0,0,0,0,1,1,0
,301001,3010101,1,2000,2236,,4000,0,0,0,0,0,0,0
,301002,3010201,1,4000,2734,,4000,0,0,0,0,0,0,0
,301003,3010301,1,3600,1005,,6000,0,0,0,0,0,0,0
,301004,3010302,1,1400,1588,,3500,0,0,0,0,0,0,0
,301005,3010401,1,1900,1938,,7900,0,0,0,0,0,0,0
,301006,3010402,1,1100,1830,,2600,0,0,0,0,0,0,0
,301007,3010501,1,950,942,,2000,0,0,0,0,0,0,0
,301008,3010502,1,1450,1450,,3500,0,0,0,0,0,0,0
,301009,3010503,1,2600,3657,,6000,0,0,0,0,0,0,0
,301010,3010601,1,4000,3900,,16000,0,0,0,0,0,0,0
,301011,3010701,1,8000,11597,,32000,0,0,0,0,1,1,0
,102001,1020101,1,2000,2041,,4000,0,0,0,0,0,0,0
,102002,1020201,1,1500,1771,,4000,0,0,0,0,0,0,0
,102003,1020301,1,1350,1550,,6000,0,0,0,0,0,0,0
,102004,1020302,1,650,734,,4000,0,0,0,0,0,0,0
,102005,1020401,1,650,699,,1100,0,0,0,0,0,0,0
,102006,1020402,1,3200,3515,,5400,0,0,0,0,0,0,0
,102007,1020403,1,1150,1249,,3300,0,0,0,0,0,0,0
,102008,1020501,1,2850,2922,,3400,0,0,0,0,0,0,0
,102009,1020502,1,3150,2772,,7900,0,0,0,0,0,0,0
,102010,1020601,1,1250,1260,,2800,0,0,0,0,0,0,0
,102011,1020602,1,2750,2507,,7700,0,0,0,0,0,0,0
,102012,1020701,1,5000,4794,,20000,0,0,0,0,1,1,0
,102013,1022101,1,2000,2042,,4000,0,0,0,0,0,0,0
,102014,1022201,1,1800,1981,,4000,0,0,0,0,0,0,0
,102015,1022301,1,3200,3040,,9200,0,0,0,0,0,0,0
,102016,1022401,1,2000,2688,,11600,0,0,0,0,0,0,0
,102017,1022501,1,3400,3877,,10300,0,0,0,0,0,0,0
,102018,1022601,1,3000,2590,,12000,0,0,0,0,0,0,0
,302001,3020101,1,1300,1330,,4000,0,0,0,0,0,0,0
,302002,3020201,1,1500,1761,,4000,0,0,0,0,0,0,0
,302003,3020301,1,1000,1217,,6000,0,0,0,0,0,0,0
,302004,3020401,1,1650,1820,,2500,0,0,0,0,0,0,0
,302005,3020402,1,2050,2263,,2500,0,0,0,0,0,0,0
,302006,3020403,1,2300,2528,,5500,0,0,0,0,0,0,0
,302007,3020501,1,7000,7825,,11000,0,0,0,0,0,0,0
,302008,3020601,1,4000,4730,,0,0,0,0,0,0,0,0
,302009,3020701,1,7000,6913,,20000,0,0,0,0,1,1,0
,103001,1030101,1,1100,1152,,4000,0,0,0,0,0,0,0
,103002,1030201,1,1200,1289,,4000,0,0,0,0,0,0,0
,103003,1030301,1,600,614,,2500,0,0,0,0,0,0,0
,103004,1030302,1,750,758,,5500,0,0,0,0,0,0,0
,103005,1030303,1,650,670,,2500,0,0,0,0,0,0,0
,103006,1030401,1,1230,1464,,2000,0,0,0,0,0,0,0
,103007,1030402,1,2510,2997,,4150,0,0,0,0,0,0,0
,103008,1030403,1,2260,2706,,4150,0,0,0,0,0,0,0
,103009,1030501,1,510,588,,1200,0,0,0,0,0,0,0
,103010,1030502,1,1210,1399,,2300,0,0,0,0,0,0,0
,103011,1030503,1,3190,3688,,4600,0,0,0,0,0,0,0
,103012,1030504,1,2090,2417,,3400,0,0,0,0,0,0,0
,103013,1030601,1,6000,6228,,9300,0,0,0,0,0,0,0
,103014,1030701,1,10000,17206,,28000,0,0,0,0,1,1,0
,104001,1040101,1,1500,1543,,4000,0,0,0,0,0,0,0
,104002,1040201,1,2000,2090,,4000,0,0,0,0,0,0,0
,104003,1040301,1,1600,1619,,2000,0,0,0,0,0,0,0
,104004,1040302,1,1100,1175,,4000,0,0,0,0,0,0,0
,104005,1040401,1,1300,1465,,1300,0,0,0,0,0,0,0
,104006,1040402,1,1300,1524,,2200,0,0,0,0,0,0,0
,104007,1040403,1,1400,1625,,3500,0,0,0,0,0,0,0
,104008,1040501,1,850,989,,1300,0,0,0,0,0,0,0
,104009,1040502,1,1050,1199,,3200,0,0,0,0,0,0,0
,104010,1040503,1,1100,1304,,5500,0,0,0,0,0,0,0
,104011,1040601,1,2400,2375,,2000,0,0,0,0,0,0,0
,104012,1040602,1,3600,3594,,8000,0,0,0,0,0,0,0
,104013,1040701,1,2000,2045,,4000,0,0,0,0,1,1,0
,104014,1040702,1,6000,5983,,16000,0,0,0,0,1,1,0
,108001,1080101,1,2000,1705,,4000,0,0,0,0,0,0,0
,108002,1080201,1,2000,1705,,4000,0,0,0,0,0,0,0
,108003,1080301,1,2000,1894,,7000,0,0,0,0,0,0,0
,108004,1080401,1,3000,3117,,7000,0,0,0,0,0,0,0
,108005,1080501,1,5000,4864,,6500,0,0,0,0,0,0,0
,108006,1080601,1,6000,9013,,6000,0,0,0,0,0,0,0
,108007,1080701,1,8000,8201,,0,0,0,0,0,1,1,0
,108008,1082101,1,2000,1921,,4000,0,0,0,0,0,0,0
,108009,1082201,1,2000,3017,,4000,0,0,0,0,0,0,0
,108010,1082301,1,3000,2684,,9500,0,0,0,0,0,0,0
,108011,1082401,1,5000,4841,,9800,0,0,0,0,0,0,0
,108012,1082501,1,5000,5065,,10000,0,0,0,0,0,0,0
,108013,1082601,1,5000,5231,,8500,0,0,0,0,0,0,0
,108014,1082701,1,8000,10023,,30000,0,0,0,0,0,0,0
,105001,1050101,1,1836,1847,,5000,0,0,0,0,0,0,0
,105002,1050201,1,1836,2846,,5000,0,0,0,0,0,0,0
,105003,1050301,1,1836,1866,,6500,0,0,0,0,0,0,0
,105004,1050401,1,1836,6605,,8500,0,0,0,0,0,0,0
,105005,1050501,1,1836,4811,,10500,0,0,0,0,0,0,0
,105006,1050601,1,1836,7464,,12000,0,0,0,0,0,0,0
,105007,1050701,1,1836,8302,,24000,0,0,0,0,1,1,0
,106001,1060101,1,2000,2087,,4000,0,0,0,0,0,0,0
,106002,1060201,1,3600,3609,,4000,0,0,0,0,0,0,0
,106003,1060301,1,3000,3221,,8000,0,0,0,0,0,0,0
,106004,1060401,1,1550,1736,,2500,0,0,0,0,0,0,0
,106005,1060402,1,1450,1620,,5500,0,0,0,0,0,0,0
,106006,1060501,1,5000,5033,,6000,0,0,0,0,0,0,0
,106007,1060601,1,3000,3098,,4000,0,0,0,0,0,0,0
,106008,1060701,1,3750,4299,,5000,0,0,0,0,1,1,0
,106009,1060702,1,870,980,,6000,0,0,0,0,1,1,0
,106010,1060703,1,1380,1538,,7000,0,0,0,0,1,1,0
,101025,1010301,2,820,821,,2000,0,0,0,0,0,0,0
,101026,1010302,2,720,726,,5100,0,0,0,0,0,0,0
,101027,1010303,2,320,728,,3100,0,0,0,0,0,0,0
,101028,1010401,2,400,509,,1300,0,0,0,0,0,0,0
,101029,1010402,2,400,521,,1300,0,0,0,0,0,0,0
,101030,1010403,2,500,509,,1300,0,0,0,0,0,0,0
,101031,1010404,2,500,1341,,1300,0,0,0,0,0,0,0
,101032,1010405,2,1200,1378,,3450,0,0,0,0,0,0,0
,101033,1010406,2,1000,819,,2150,0,0,0,0,0,0,0
,101034,1010501,2,500,572,,2250,0,0,0,0,0,0,0
,101035,1010502,2,700,1010,,2250,0,0,0,0,0,0,0
,101036,1010503,2,400,349,,2250,0,0,0,0,0,0,0
,101037,1010504,2,400,511,,2250,0,0,0,0,0,0,0
,101038,1010601,2,1200,1439,,1650,0,0,0,0,0,0,0
,101039,1010602,2,900,1075,,1650,0,0,0,0,0,0,0
,101040,1010603,2,1800,2198,,1650,0,0,0,0,0,0,0
,101041,1010604,2,1600,1835,,1650,0,0,0,0,0,0,0
,101042,1010605,2,1600,1719,,1650,0,0,0,0,0,0,0
,101043,1010606,2,900,963,,4650,0,0,0,0,0,0,0
,101044,1010701,2,5000,5951,,9700,0,0,0,0,1,1,0
,101045,1010702,2,3000,3885,,20500,0,0,0,0,1,1,0
,101046,1010801,2,3000,3944,,0,0,0,0,0,0,0,0
,201014,2010301,2,2200,2853,,1950,0,0,0,0,0,0,0
,201015,2010302,2,420,548,,3850,0,0,0,0,0,0,0
,201016,2010303,2,380,494,,4700,0,0,0,0,0,0,0
,201017,2010401,2,3000,3244,,4300,0,0,0,0,0,0,0
,201018,2010402,2,1000,1013,,5900,0,0,0,0,0,0,0
,201019,2010501,2,950,1366,,1300,0,0,0,0,0,0,0
,201020,2010502,2,600,876,,2600,0,0,0,0,0,0,0
,201021,2010503,2,1650,2370,,1950,0,0,0,0,0,0,0
,201022,2010504,2,2800,4086,,4950,0,0,0,0,0,0,0
,201023,2010601,2,8000,10325,,6500,0,0,0,0,0,0,0
,201024,2010701,2,8000,9696,,21600,0,0,0,0,1,1,0
,301012,3010301,2,3600,1005,,6450,0,0,0,0,0,0,0
,301013,3010302,2,1400,1588,,3750,0,0,0,0,0,0,0
,301014,3010401,2,1900,1938,,8450,0,0,0,0,0,0,0
,301015,3010402,2,1100,1830,,2850,0,0,0,0,0,0,0
,301016,3010501,2,950,942,,2200,0,0,0,0,0,0,0
,301017,3010502,2,1450,1450,,3800,0,0,0,0,0,0,0
,301018,3010503,2,2600,3657,,6400,0,0,0,0,0,0,0
,301019,3010601,2,4000,3900,,17200,0,0,0,0,0,0,0
,301020,3010701,2,8000,11597,,34500,0,0,0,0,1,1,0
,102019,1020301,2,1350,1550,,6500,0,0,0,0,0,0,0
,102020,1020302,2,650,734,,4300,0,0,0,0,0,0,0
,102021,1020401,2,650,699,,1200,0,0,0,0,0,0,0
,102022,1020402,2,3200,3515,,5850,0,0,0,0,0,0,0
,102023,1020403,2,1150,1249,,3450,0,0,0,0,0,0,0
,102024,1020501,2,2850,2922,,3700,0,0,0,0,0,0,0
,102025,1020502,2,3150,2772,,8500,0,0,0,0,0,0,0
,102026,1020601,2,1250,1260,,3000,0,0,0,0,0,0,0
,102027,1020602,2,2750,2507,,8300,0,0,0,0,0,0,0
,102028,1020701,2,5000,4794,,21600,0,0,0,0,1,1,0
,102029,1022101,2,2000,2042,,4000,0,0,0,0,0,0,0
,102030,1022201,2,1800,1981,,4000,0,0,0,0,0,0,0
,102031,1022301,2,3200,3040,,9900,0,0,0,0,0,0,0
,102032,1022401,2,2000,2688,,12500,0,0,0,0,0,0,0
,102033,1022501,2,3400,3877,,11100,0,0,0,0,0,0,0
,102034,1022601,2,3000,2590,,12900,0,0,0,0,0,0,0
,302010,3020301,2,1000,1217,,6400,0,0,0,0,0,0,0
,302011,3020401,2,1650,1820,,2700,0,0,0,0,0,0,0
,302012,3020402,2,2050,2263,,2700,0,0,0,0,0,0,0
,302013,3020403,2,2300,2528,,5900,0,0,0,0,0,0,0
,302014,3020501,2,7000,7825,,11800,0,0,0,0,0,0,0
,302015,3020601,2,4000,4730,,0,0,0,0,0,0,0,0
,302016,3020701,2,7000,6913,,21600,0,0,0,0,1,1,0
,103015,1030301,2,600,614,,2700,0,0,0,0,0,0,0
,103016,1030302,2,750,758,,5900,0,0,0,0,0,0,0
,103017,1030303,2,650,670,,2700,0,0,0,0,0,0,0
,103018,1030401,2,1230,1464,,2200,0,0,0,0,0,0,0
,103019,1030402,2,2510,2997,,4450,0,0,0,0,0,0,0
,103020,1030403,2,2260,2706,,4450,0,0,0,0,0,0,0
,103021,1030501,2,510,588,,1300,0,0,0,0,0,0,0
,103022,1030502,2,1210,1399,,2500,0,0,0,0,0,0,0
,103023,1030503,2,3190,3688,,4900,0,0,0,0,0,0,0
,103024,1030504,2,2090,2417,,3700,0,0,0,0,0,0,0
,103025,1030601,2,6000,6228,,10000,0,0,0,0,0,0,0
,103026,1030701,2,10000,17206,,30200,0,0,0,0,1,1,0
,104015,1040301,2,1600,1619,,2200,0,0,0,0,0,0,0
,104016,1040302,2,1100,1175,,4200,0,0,0,0,0,0,0
,104017,1040401,2,1300,1465,,1400,0,0,0,0,0,0,0
,104018,1040402,2,1300,1524,,2400,0,0,0,0,0,0,0
,104019,1040403,2,1400,1625,,3800,0,0,0,0,0,0,0
,104020,1040501,2,850,989,,1400,0,0,0,0,0,0,0
,104021,1040502,2,1050,1199,,3500,0,0,0,0,0,0,0
,104022,1040503,2,1100,1304,,6000,0,0,0,0,0,0,0
,104023,1040601,2,2400,2375,,2200,0,0,0,0,0,0,0
,104024,1040602,2,3600,3594,,8600,0,0,0,0,0,0,0
,104025,1040701,2,2000,2045,,4300,0,0,0,0,1,1,0
,104026,1040702,2,6000,5983,,17300,0,0,0,0,1,1,0
,108015,1080301,2,2000,1894,,7500,0,0,0,0,0,0,0
,108016,1080401,2,3000,3117,,7600,0,0,0,0,0,0,0
,108017,1080501,2,5000,4864,,7000,0,0,0,0,0,0,0
,108018,1080601,2,6000,9013,,6500,0,0,0,0,0,0,0
,108019,1080701,2,8000,8201,,0,0,0,0,0,1,1,0
,108020,1082101,2,2000,1921,,4000,0,0,0,0,0,0,0
,108021,1082201,2,2000,3017,,4000,0,0,0,0,0,0,0
,108022,1082301,2,3000,2684,,10200,0,0,0,0,0,0,0
,108023,1082401,2,5000,4841,,10500,0,0,0,0,0,0,0
,108024,1082501,2,5000,5065,,10800,0,0,0,0,0,0,0
,105008,1050301,2,1836,1866,,7000,0,0,0,0,0,0,0
,105009,1050401,2,1836,6605,,9100,0,0,0,0,0,0,0
,105010,1050501,2,1836,4811,,11100,0,0,0,0,0,0,0
,105011,1050601,2,1836,7464,,12900,0,0,0,0,0,0,0
,105012,1050701,2,1836,8302,,25900,0,0,0,0,1,1,0
,106011,1060301,2,3000,3221,,8600,0,0,0,0,0,0,0
,106012,1060401,2,1550,1736,,2700,0,0,0,0,0,0,0
,106013,1060402,2,1450,1620,,5900,0,0,0,0,0,0,0
,106014,1060501,2,5000,5033,,6400,0,0,0,0,0,0,0
,106015,1060601,2,3000,3098,,4300,0,0,0,0,0,0,0
,106016,1060701,2,3750,4299,,5300,0,0,0,0,1,1,0
,106017,1060702,2,870,980,,6400,0,0,0,0,1,1,0
,106018,1060703,2,1380,1538,,7700,0,0,0,0,1,1,0
,101047,1010301,3,820,821,,2200,0,0,0,0,0,0,0
,101048,1010302,3,720,726,,5400,0,0,0,0,0,0,0
,101049,1010303,3,320,728,,3300,0,0,0,0,0,0,0
,101050,1010401,3,400,509,,1400,0,0,0,0,0,0,0
,101051,1010402,3,400,521,,1400,0,0,0,0,0,0,0
,101052,1010403,3,500,509,,1400,0,0,0,0,0,0,0
,101053,1010404,3,500,1341,,1400,0,0,0,0,0,0,0
,101054,1010405,3,1200,1378,,3700,0,0,0,0,0,0,0
,101055,1010406,3,1000,819,,2300,0,0,0,0,0,0,0
,101056,1010501,3,500,572,,2400,0,0,0,0,0,0,0
,101057,1010502,3,700,1010,,2400,0,0,0,0,0,0,0
,101058,1010503,3,400,349,,2400,0,0,0,0,0,0,0
,101059,1010504,3,400,511,,2400,0,0,0,0,0,0,0
,101060,1010601,3,1200,1439,,1800,0,0,0,0,0,0,0
,101061,1010602,3,900,1075,,1800,0,0,0,0,0,0,0
,101062,1010603,3,1800,2198,,1800,0,0,0,0,0,0,0
,101063,1010604,3,1600,1835,,1800,0,0,0,0,0,0,0
,101064,1010605,3,1600,1719,,1800,0,0,0,0,0,0,0
,101065,1010606,3,900,963,,4800,0,0,0,0,0,0,0
,101066,1010701,3,5000,5951,,10400,0,0,0,0,1,1,0
,101067,1010702,3,3000,3885,,22000,0,0,0,0,1,1,0
,101068,1010801,3,3000,3944,,0,0,0,0,0,0,0,0
,201025,2010301,3,2200,2853,,2100,0,0,0,0,0,0,0
,201026,2010302,3,420,548,,4100,0,0,0,0,0,0,0
,201027,2010303,3,380,494,,5000,0,0,0,0,0,0,0
,201028,2010401,3,3000,3244,,4600,0,0,0,0,0,0,0
,201029,2010402,3,1000,1013,,6300,0,0,0,0,0,0,0
,201030,2010501,3,950,1366,,1400,0,0,0,0,0,0,0
,201031,2010502,3,600,876,,2800,0,0,0,0,0,0,0
,201032,2010503,3,1650,2370,,2100,0,0,0,0,0,0,0
,201033,2010504,3,2800,4086,,5300,0,0,0,0,0,0,0
,201034,2010601,3,8000,10325,,7000,0,0,0,0,0,0,0
,201035,2010701,3,8000,9696,,23200,0,0,0,0,1,1,0
,301021,3010301,3,3600,1005,,6900,0,0,0,0,0,0,0
,301022,3010302,3,1400,1588,,4000,0,0,0,0,0,0,0
,301023,3010401,3,1900,1938,,9000,0,0,0,0,0,0,0
,301024,3010402,3,1100,1830,,3100,0,0,0,0,0,0,0
,301025,3010501,3,950,942,,2400,0,0,0,0,0,0,0
,301026,3010502,3,1450,1450,,4100,0,0,0,0,0,0,0
,301027,3010503,3,2600,3657,,6800,0,0,0,0,0,0,0
,301028,3010601,3,4000,3900,,18400,0,0,0,0,0,0,0
,301029,3010701,3,8000,11597,,37000,0,0,0,0,1,1,0
,102035,1020301,3,1350,1550,,7000,0,0,0,0,0,0,0
,102036,1020302,3,650,734,,4600,0,0,0,0,0,0,0
,102037,1020401,3,650,699,,1300,0,0,0,0,0,0,0
,102038,1020402,3,3200,3515,,6300,0,0,0,0,0,0,0
,102039,1020403,3,1150,1249,,3600,0,0,0,0,0,0,0
,102040,1020501,3,2850,2922,,4000,0,0,0,0,0,0,0
,102041,1020502,3,3150,2772,,9100,0,0,0,0,0,0,0
,102042,1020601,3,1250,1260,,3200,0,0,0,0,0,0,0
,102043,1020602,3,2750,2507,,8900,0,0,0,0,0,0,0
,102044,1020701,3,5000,4794,,23200,0,0,0,0,1,1,0
,102045,1022101,3,2000,2042,,4000,0,0,0,0,0,0,0
,102046,1022201,3,1800,1981,,4000,0,0,0,0,0,0,0
,102047,1022301,3,3200,3040,,10600,0,0,0,0,0,0,0
,102048,1022401,3,2000,2688,,13400,0,0,0,0,0,0,0
,102049,1022501,3,3400,3877,,11900,0,0,0,0,0,0,0
,102050,1022601,3,3000,2590,,13800,0,0,0,0,0,0,0
,302017,3020301,3,1000,1217,,6800,0,0,0,0,0,0,0
,302018,3020401,3,1650,1820,,2900,0,0,0,0,0,0,0
,302019,3020402,3,2050,2263,,2900,0,0,0,0,0,0,0
,302020,3020403,3,2300,2528,,6300,0,0,0,0,0,0,0
,302021,3020501,3,7000,7825,,12600,0,0,0,0,0,0,0
,302022,3020601,3,4000,4730,,0,0,0,0,0,0,0,0
,302023,3020701,3,7000,6913,,23200,0,0,0,0,1,1,0
,103027,1030301,3,600,614,,2900,0,0,0,0,0,0,0
,103028,1030302,3,750,758,,6300,0,0,0,0,0,0,0
,103029,1030303,3,650,670,,2900,0,0,0,0,0,0,0
,103030,1030401,3,1230,1464,,2400,0,0,0,0,0,0,0
,103031,1030402,3,2510,2997,,4750,0,0,0,0,0,0,0
,103032,1030403,3,2260,2706,,4750,0,0,0,0,0,0,0
,103033,1030501,3,510,588,,1400,0,0,0,0,0,0,0
,103034,1030502,3,1210,1399,,2700,0,0,0,0,0,0,0
,103035,1030503,3,3190,3688,,5200,0,0,0,0,0,0,0
,103036,1030504,3,2090,2417,,4000,0,0,0,0,0,0,0
,103037,1030601,3,6000,6228,,10700,0,0,0,0,0,0,0
,103038,1030701,3,10000,17206,,32400,0,0,0,0,1,1,0
,104027,1040301,3,1600,1619,,2400,0,0,0,0,0,0,0
,104028,1040302,3,1100,1175,,4400,0,0,0,0,0,0,0
,104029,1040401,3,1300,1465,,1500,0,0,0,0,0,0,0
,104030,1040402,3,1300,1524,,2600,0,0,0,0,0,0,0
,104031,1040403,3,1400,1625,,4100,0,0,0,0,0,0,0
,104032,1040501,3,850,989,,1500,0,0,0,0,0,0,0
,104033,1040502,3,1050,1199,,3800,0,0,0,0,0,0,0
,104034,1040503,3,1100,1304,,6500,0,0,0,0,0,0,0
,104035,1040601,3,2400,2375,,2400,0,0,0,0,0,0,0
,104036,1040602,3,3600,3594,,9200,0,0,0,0,0,0,0
,104037,1040701,3,2000,2045,,4600,0,0,0,0,1,1,0
,104038,1040702,3,6000,5983,,18600,0,0,0,0,1,1,0
,108025,1082601,2,5000,5231,,9100,0,0,0,0,0,0,0
,108026,1082701,2,8000,10023,,32400,0,0,0,0,0,0,0
,108027,1080301,3,2000,1894,,8000,0,0,0,0,0,0,0
,108028,1080401,3,3000,3117,,8200,0,0,0,0,0,0,0
,108029,1080501,3,5000,4864,,7500,0,0,0,0,0,0,0
,108030,1080601,3,6000,9013,,7000,0,0,0,0,0,0,0
,108031,1080701,3,8000,8201,,0,0,0,0,0,1,1,0
,108032,1082101,3,2000,1921,,4000,0,0,0,0,0,0,0
,108033,1082201,3,2000,3017,,4000,0,0,0,0,0,0,0
,108034,1082301,3,3000,2684,,10900,0,0,0,0,0,0,0
,105013,1050301,3,1836,1866,,7500,0,0,0,0,0,0,0
,105014,1050401,3,1836,6605,,9700,0,0,0,0,0,0,0
,105015,1050501,3,1836,4811,,11700,0,0,0,0,0,0,0
,105016,1050601,3,1836,7464,,13800,0,0,0,0,0,0,0
,105017,1050701,3,1836,8302,,27800,0,0,0,0,1,1,0
,106019,1060301,3,3000,3221,,9200,0,0,0,0,0,0,0
,106020,1060401,3,1550,1736,,2900,0,0,0,0,0,0,0
,106021,1060402,3,1450,1620,,6300,0,0,0,0,0,0,0
,106022,1060501,3,5000,5033,,6800,0,0,0,0,0,0,0
,106023,1060601,3,3000,3098,,4600,0,0,0,0,0,0,0
,106024,1060701,3,3750,4299,,5600,0,0,0,0,1,1,0
,106025,1060702,3,870,980,,6800,0,0,0,0,1,1,0
,106026,1060703,3,1380,1538,,8400,0,0,0,0,1,1,0
