,required,required,optional,optional,optional,required,optional,optional,optional,optional
,5023043,4,5234,0,0,0,3,1000000,1,0
,5023053,5,5235,0,0,0,0,0,1,0
,5024013,1,5241,0,0,0,3,50000,1,0
,5024023,2,5242,0,0,0,3,200000,1,0
,5024033,3,5243,0,0,0,3,500000,1,0
,5024043,4,5244,0,0,0,3,1000000,1,0
,5024053,5,5245,0,0,0,0,0,1,0
,5025013,1,5251,0,0,0,3,50000,1,0
,5025023,2,5252,0,0,0,3,200000,1,0
,5025033,3,5253,0,0,0,3,500000,1,0
,5025043,4,5254,0,0,0,3,1000000,1,0
,5025053,5,5255,0,0,0,0,0,1,0
,5026013,1,5261,0,0,0,3,50000,1,0
,5026023,2,5262,0,0,0,3,200000,1,0
,5026033,3,5263,0,0,0,3,500000,1,0
,5026043,4,5264,0,0,0,3,1000000,1,0
,5026053,5,5265,0,0,0,0,0,1,0
,5027013,1,5271,0,0,0,3,50000,1,0
,5027023,2,5272,0,0,0,3,200000,1,0
,5027033,3,5273,0,0,0,3,500000,1,0
,5027043,4,5274,0,0,0,3,1000000,1,0
,5027053,5,5275,0,0,0,0,0,1,0
,5028013,1,5281,0,0,0,3,50000,1,0
,5028023,2,5282,0,0,0,3,200000,1,0
,5028033,3,5283,0,0,0,3,500000,1,0
,5028043,4,5284,0,0,0,3,1000000,1,0
,5028053,5,5285,0,0,0,0,0,1,0
,5029013,1,5291,0,0,0,3,50000,1,0
,5029023,2,5292,0,0,0,3,200000,1,0
,5029033,3,5293,0,0,0,3,500000,1,0
,5029043,4,5294,0,0,0,3,1000000,1,0
,5029053,5,5295,0,0,0,0,0,1,0
,5030013,1,5301,0,0,0,3,50000,1,0
,5030023,2,5302,0,0,0,3,200000,1,0
,5030033,3,5303,0,0,0,3,500000,1,0
,5030043,4,5304,0,0,0,3,1000000,1,0
,5030053,5,5305,0,0,0,0,0,1,0
,5031013,1,5311,0,0,0,3,50000,1,0
,5031023,2,5312,0,0,0,3,200000,1,0
,5031033,3,5313,0,0,0,3,500000,1,0
,5031043,4,5314,0,0,0,3,1000000,1,0
,5031053,5,5315,0,0,0,0,0,1,0
,5032013,1,5321,0,0,0,3,50000,1,0
,5032023,2,5322,0,0,0,3,200000,1,0
,5032033,3,5323,0,0,0,3,500000,1,0
,5032043,4,5324,0,0,0,3,1000000,1,0
,5032053,5,5325,0,0,0,0,0,1,0
,5041014,1,5411,0,0,0,3,50000,1,0
,5041024,2,5412,0,0,0,3,200000,1,0
,5041034,3,5413,0,0,1,3,500000,1,0
,5041044,4,5414,0,0,1,3,1000000,1,0
,5041054,5,5415,0,0,2,0,0,1,0
,5042014,1,5421,0,0,0,3,50000,1,0
,5042024,2,5422,0,0,0,3,200000,1,0
,5042034,3,5423,0,0,1,3,500000,1,0
,5042044,4,5424,0,0,1,3,1000000,1,0
,5042054,5,5425,0,0,2,0,0,1,0
,5043014,1,5431,0,0,0,3,50000,1,0
,5043024,2,5432,0,0,0,3,200000,1,0
,5043034,3,5433,0,0,1,3,500000,1,0
,5043044,4,5434,0,0,1,3,1000000,1,0
,5043054,5,5435,0,0,2,0,0,1,0
,5044014,1,5441,0,0,0,3,50000,1,0
,5044024,2,5442,0,0,0,3,200000,1,0
,5044034,3,5443,0,0,1,3,500000,1,0
,5044044,4,5444,0,0,1,3,1000000,1,0
,5044054,5,5445,0,0,2,0,0,1,0
,5045014,1,5451,0,0,0,3,50000,1,0
,5045024,2,5452,0,0,0,3,200000,1,0
,5045034,3,5453,0,0,1,3,500000,1,0
,5045044,4,5454,0,0,1,3,1000000,1,0
,5045054,5,5455,0,0,2,0,0,1,0
,5046014,1,5461,0,0,0,3,50000,1,0
,5046024,2,5462,0,0,0,3,200000,1,0
,5046034,3,5463,0,0,1,3,500000,1,0
,5046044,4,5464,0,0,1,3,1000000,1,0
,5046054,5,5465,0,0,2,0,0,1,0
,5047014,1,5471,0,0,0,3,50000,1,0
,5047024,2,5472,0,0,0,3,200000,1,0
,5047034,3,5473,0,0,1,3,500000,1,0
,5047044,4,5474,0,0,1,3,1000000,1,0
,5047054,5,5475,0,0,2,0,0,1,0
,5048014,1,5481,0,0,0,3,50000,1,0
,5048024,2,5482,0,0,0,3,200000,1,0
,5048034,3,5483,0,0,1,3,500000,1,0
,5048044,4,5484,0,0,1,3,1000000,1,0
,5048054,5,5485,0,0,2,0,0,1,0
,5049014,1,5491,0,0,0,3,50000,1,0
,5049024,2,5492,0,0,0,3,200000,1,0
,5049034,3,5493,0,0,1,3,500000,1,0
,5049044,4,5494,0,0,1,3,1000000,1,0
,5049054,5,5495,0,0,2,0,0,1,0
,5050014,1,5501,0,0,0,3,50000,1,0
,5050024,2,5502,0,0,0,3,200000,1,0
,5050034,3,5503,0,0,1,3,500000,1,0
,5050044,4,5504,0,0,1,3,1000000,1,0
,5050054,5,5505,0,0,2,0,0,1,0
,5051014,1,5511,0,0,0,3,50000,1,0
,5051024,2,5512,0,0,0,3,200000,1,0
,5051034,3,5513,0,0,1,3,500000,1,0
,5051044,4,5514,0,0,1,3,1000000,1,0
,5051054,5,5515,0,0,2,0,0,1,0
,5052014,1,5521,0,0,0,3,50000,1,0
,5052024,2,5522,0,0,0,3,200000,1,0
,5052034,3,5523,0,0,1,3,500000,1,0
,5052044,4,5524,0,0,1,3,1000000,1,0
,5052054,5,5525,0,0,2,0,0,1,0
