,required,required,required,optional,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,optional,repeated,required,optional
,200083,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,1000155,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,
,200088,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,1000125,100291,0,0,9999,1,,0,0,0,0,0,0,0,0,0,,1,
,200090,1,53,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,1000292,100033,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200091,1,53,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,1000921,100035,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200101,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,1001065,100010,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200102,1.2,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,1001064,100009,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200103,1.2,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,1001066,100011,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200104,1.2,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,1001067,100012,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200105,1.2,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,1001068,100013,0,0,5,3,,0,0,0,0,1,0,0,0,0,,1,
,200106,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,1001069,100014,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200109,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100005,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200110,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100005,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200112,1.2,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100006,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200115,1.2,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100005,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200116,1.2,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100007,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200118,1.2,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100008,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200121,1,24,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100023,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200122,1,24,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100024,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200124,1.2,24,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100025,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200125,1.2,24,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100026,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200128,1.5,24,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100027,0,0,5,3,,0,0,0,0,1,0,0,0,10025,10026;10027;10028;10029;10030;10031,1,
,200133,1,56,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100060,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200134,1,56,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100059,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200135,1,56,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100061,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200136,1,56,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100064,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200137,1.5,56,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100065,0,0,5,3,,0,0,0,0,0,0,0,0,10025,10026;10027;10028;10029;10030;10031,1,
,200138,1,53,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100148,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200139,1,59,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100152,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200151,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100017,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200152,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100018,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200153,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100021,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200154,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100020,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200155,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100019,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200156,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100022,0,0,5,3,,0,0,0,0,0,0,0,0,10025,10026;10027;10028;10029;10030;10031,1,
,200160,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,
,200161,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100036,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200162,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100037,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200163,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100038,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200164,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100039,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200165,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100040,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200166,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100041,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200167,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100042,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200168,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100043,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200169,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100044,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200170,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100045,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200171,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100046,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200172,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100047,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200173,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100048,0,0,5,3,,0,0,0,0,0,0,0,0,10025,10026;10027;10028;10029;10030;10031,1,
,200176,1,67,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100049,200001,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200177,1,67,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100050,200001,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200178,1,67,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100051,200001,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200179,1,67,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100052,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200181,1,67,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100057,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200182,1,67,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100058,0,0,5,3,,0,0,0,0,1,0,0,0,10025,10026;10027;10028;10029;10030;10031,1,
,200188,1,60,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100066,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200189,1,60,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100066,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200190,1,60,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100066,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200191,1,60,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,5,3,,0,0,0,0,1,0,0,0,10025,10026;10027;10028;10029;10030;10031,1,
,200197,1,24,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100076,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200198,1,24,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100077,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200199,1,24,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100078,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200200,1,24,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100079,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200201,1,24,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100080,0,0,5,3,,0,0,0,0,0,0,0,0,10025,10026;10027;10028;10029;10030;10031,1,
,200202,1,68,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100068,0,0,5,3,,0,0,1,0,0,0,0,0,0,,1,
,200203,1,68,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100071,0,0,5,3,,0,0,1,10050,0,0,0,0,0,,1,
,200204,1,68,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100074,0,0,5,3,,0,0,1,0,1,0,0,0,10025,10026;10027;10028;10029;10030;10031,1,
,200205,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,0,0,,6,0,0,0,0,0,0,0,0,,1,
,200206,1,24,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100031,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200207,1,24,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100030,0,0,5,3,,0,0,0,0,0,0,0,0,10025,10026;10027;10028;10029;10030;10031,1,
,200209,1,68,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100069,0,0,5,3,,0,0,1,0,0,0,0,0,0,,1,
,200210,1,68,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100070,0,0,5,3,,0,0,1,0,0,0,0,0,0,,1,
,200211,1,68,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100072,0,0,5,3,,0,0,1,10050,0,0,0,0,0,,1,
,200212,1,61,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100073,0,0,3,11,,0,0,1,10050,0,0,0,0,0,,1,
,200213,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100085,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200214,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100086,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200215,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100087,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200216,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100088,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200217,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100089,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200218,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100089,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200219,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100089,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200220,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100089,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200221,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100090,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200222,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100091,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200223,1,19,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100092,0,0,5,3,,0,0,0,0,0,0,0,0,10025,10026;10027;10028;10029;10030;10031,1,
,200225,1,53,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100102,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200226,1,53,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100099,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200227,1,53,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100100,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200228,1,53,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100103,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200229,1,53,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100101,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200230,1,53,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100105,0,0,5,3,,0,0,0,0,0,0,0,0,10025,10026;10027;10028;10029;10030;10031,1,
,200231,1,53,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100093,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200232,1,53,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100094,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200233,1,53,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100095,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200234,1,53,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100096,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200235,1,53,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100097,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200236,1,53,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100098,0,0,5,3,,0,0,0,0,0,0,0,0,10025,10026;10027;10028;10029;10030;10031,1,
,200237,1,68,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100069,0,0,5,3,,0,0,1,0,0,0,0,0,10025,10026;10027;10028;10029;10030;10031,1,
,200238,1,68,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100068,0,0,5,3,,0,0,1,0,0,0,0,0,0,,1,
,200239,1,68,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100071,0,0,5,3,,0,0,1,0,0,0,0,0,0,,1,
,200240,1,68,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100072,0,0,5,3,,0,0,1,0,0,0,0,0,0,,1,
,200241,1,68,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100073,0,0,5,3,,0,0,1,0,0,0,0,0,0,,1,
,200242,1,56,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100106,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200243,1,56,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100107,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200244,1,56,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100108,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200245,1,56,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100109,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200246,1.5,56,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100110,0,0,5,3,,0,0,0,0,0,0,0,0,10025,10026;10027;10028;10029;10030;10031,1,
,200247,1,67,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100111,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200248,1,67,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100112,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200249,1,67,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100113,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200250,1,67,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100114,0,0,5,3,,0,0,0,0,0,0,0,0,10025,10026;10027;10028;10029;10030;10031,1,
,200251,1,66,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,5,3,,5,0,0,0,1,0,0,0,0,,1,
,200252,1,66,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,5,3,,5,0,0,0,1,0,0,0,0,,1,
,200253,1,66,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,5,3,,5,0,0,0,1,0,0,0,0,,1,
,200254,1,66,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100118,0,0,5,3,,0,0,0,0,1,0,0,0,10025,10026;10027;10028;10029;10030;10031,1,
,200255,1,66,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100115,0,0,5,3,,0,0,0,0,1,0,0,0,0,,1,
,200256,1,66,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100116,0,0,5,3,,0,0,0,0,1,0,0,0,0,,1,
,200257,1,66,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100117,0,0,5,3,,0,0,0,0,1,0,0,0,0,,1,
,200259,1,60,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100066,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200260,1,60,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100066,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200261,1,60,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100066,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
,200262,1,60,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,10054,0,0,5,3,,0,0,0,0,1,0,0,0,10025,10026;10027;10028;10029;10030;10031,1,
魅魔修狄斯,200263,1,65,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100123,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
精灵族剑士,200264,1,65,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100119,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
精灵族射手,200265,1,65,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100120,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
石像鬼塔比瑟,200266,1,65,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100121,0,0,5,3,,0,0,0,0,1,0,0,0,0,,1,
荆棘花妖,200267,1,65,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100122,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
双枪毒蝎,200268,1,65,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100126,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
蜘蛛女王艾达,200271,1,65,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100124,0,0,5,3,,0,0,0,0,1,0,0,0,10025,10026;10027;10028;10029;10030;10031,1,
,200272,1,66,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,5,3,,5,0,0,0,1,0,0,0,0,,1,
,200273,1,66,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,5,3,,5,0,0,0,1,0,0,0,0,,1,
,200274,1,66,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,0,0,0,5,3,,5,0,0,0,1,0,0,0,0,,1,
,200275,1,66,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100125,0,0,5,3,,0,0,0,0,1,0,0,0,10025,10026;10027;10028;10029;10030;10031,1,
,200276,1,66,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100115,0,0,5,3,,0,0,0,0,1,0,0,0,0,,1,
,200277,1,66,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100116,0,0,5,3,,0,0,0,0,1,0,0,0,0,,1,
,200278,1,66,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100117,0,0,5,3,,0,0,0,0,1,0,0,0,0,,1,
魅魔修狄斯,200279,1,65,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100123,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
精灵族剑士,200280,1,65,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100119,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
精灵族射手,200281,1,65,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100120,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
石像鬼塔比瑟,200282,1,65,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100121,0,0,5,3,,0,0,0,0,1,0,0,0,0,,1,
荆棘花妖,200283,1,65,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100122,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
双枪毒蝎,200284,1,65,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100126,0,0,5,3,,0,0,0,0,0,0,0,0,0,,1,
蜘蛛女王艾达,200285,1,65,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100124,0,0,5,3,,0,0,0,0,1,0,0,0,10025,10026;10027;10028;10029;10030;10031,1,
邪冥领主弗德,200286,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100136,0,0,5,3,"0,0,0",0,0,0,0,0,0,0,0,0,,1,
苍蓝领主拉弥娅,200287,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100137,0,0,5,3,"0,0,0",0,0,0,0,0,0,0,0,0,,1,
石像领主厄迦,200288,1.2,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100138,0,0,5,3,"0,0,0",0,0,0,0,0,0,0,0,0,,1,
亡魂死徒,200289,1.2,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100131,0,0,5,3,"0,0,0",0,0,0,0,0,0,0,0,0,,1,
鹿角兽,200290,1.2,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100127,0,0,5,3,"0,0,0",0,0,0,0,0,0,0,0,0,,1,
亡魂死士,200291,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100132,0,0,5,3,"0,0,0",0,0,0,0,0,0,0,0,0,,1,
巨刃鹿角兽,200292,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100128,0,0,5,3,"0,0,0",0,0,0,0,0,0,0,0,0,,1,
深渊毒角兽,200293,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100135,0,0,5,3,"0,0,0",0,0,0,0,0,0,0,0,0,,1,
亡魂死徒,200294,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100131,0,0,5,3,"0,0,0",0,0,0,0,0,0,0,0,0,,1,
亡魂死士,200295,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100132,0,0,5,3,"0,0,0",0,0,0,0,0,0,0,0,0,,1,
暗黑骑士,200296,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100133,0,0,5,3,"0,0,0",0,0,0,0,0,0,0,0,0,,1,
鹿角兽,200297,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100127,0,0,5,3,"0,0,0",0,0,0,0,0,0,0,0,0,,1,
巨刃鹿角兽,200298,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100128,0,0,5,3,"0,0,0",0,0,0,0,0,0,0,0,0,,1,
阔斧鹿角兽,200299,1,52,Prefab/Effect/Scene/Effect_Scene_monster_bai.prefab,0,100130,0,0,5,3,"0,0,0",0,0,0,0,0,0,0,0,0,,1,
