,required,required,required,required,repeated,required,required,required,required,required,required,required,required,required,required
战魂之灵·光,200103,幻阵之魂·光,0,0,1001066,0,0,0,0,0,0,600000,1,0,0
战魂之灵·暗,200104,幻阵之魂·暗,0,0,1001067,0,0,0,0,0,0,600000,1,0,0
诺尔,200105,诺尔,0,0,1001068,10000,0,0,0,0,0,600000,0,0,0
贪婪,200106,贪婪,200000,0,1001069,5000,0,0,0,0,0,600000,0,0,0
哀嚎神殿副本怪C,200109,亡魂死徒,0,0,1001061;1001061,3000,0,0,0,0,0,600000,0,1,0
哀嚎神殿副本怪D,200110,亡魂死徒,0,0,1001061;1001061;1001062,3000,0,0,0,0,0,600000,0,1,0
哀嚎神殿副本怪F,200112,亡魂死士,0,0,1001062;1001062,3000,0,0,0,0,0,600000,0,1,0
哀嚎神殿副本怪I,200115,亡魂死徒,0,0,1001061;1001061;1001062,3000,0,0,0,0,0,600000,0,1,0
哀嚎神殿副本怪J,200116,黑骑士迪亚,0,0,1001070;1001061;1001061,5000,0,0,0,0,0,600000,0,1,0
哀嚎神殿副本怪L,200118,狮心魔骑贝恩,0,0,1001063;1001061;1001061,5000,0,0,0,0,0,600000,0,1,0
鹿角兽,200121,鹿角兽,32000,0,1001051,3000,0,0,0,0,0,600000,0,1,0
鹿角兽,200122,鹿角兽,32000,0,1001051,3000,0,0,0,0,0,600000,0,1,0
巨刃鹿角兽,200124,巨刃鹿角兽,32000,0,1001053,5000,0,0,0,0,0,600000,0,0,0
食魂鹿角兽,200125,食魂鹿角兽,34000,0,1001055,3000,0,0,0,0,0,600000,0,0,0
嗜血死神萨米尔,200128,嗜血死神萨米尔,35000,0,1001056,10000,0,0,0,0,0,600000,0,0,0
,200133,吞骨沙虫,0,0,1000144,4800,0,0,0,0,0,600000,0,1,0
,200134,沙河虫,0,0,1000143,4800,0,0,0,0,0,600000,0,1,0
,200135,毒尾蝎,0,0,1000145,4800,0,0,0,0,0,600000,0,1,0
,200136,吞骨沙虫,0,0,1000144,4800,0,0,0,0,0,600000,0,1,0
,200137,沙原魔蝎斯科恩,48000,0,1000146,40000,0,0,0,0,0,600000,0,1,0
,200138,哥布林探宝哨兵,45000,0,1000323,0,0,0,0,0,0,600000,0,0,0
,200139,异化的改造体,100000,0,1000324,0,0,0,0,0,0,600000,0,0,0
,200151,白眼独狼,1,0,1000293,1000,0,0,0,0,0,600000,0,1,0
,200152,隐雾狐,1,0,1000294,1000,0,0,0,0,0,600000,0,1,0
,200153,黑背熊,1,0,1000297,1000,0,0,0,0,0,600000,0,1,0
,200154,白眼独狼,1,0,1000295,1000,0,0,0,1000028,0,600000,0,1,0
,200155,狐克斯,0,0,1000112,0,0,0,0,0,0,600000,0,0,0
,200156,碎魂狼王乌迪尔,1,0,1000296,3000,0,0,0,0,0,600000,0,0,0
左相府卫兵,200160,左相府卫兵,26000,0,1000121,0,0,0,0,0,0,600000,0,0,0
,200161,巨刃鹿角兽,1,0,1000128;1000480;1000480,5000,0,0,0,1000023,0,600000,0,1,0
,200162,巨刃鹿角兽,1,0,1000129;1000480;1000480,5000,0,0,0,1000023,0,600000,0,1,0
,200163,食魂鹿角兽,1,0,1000130;1000480;1000480,5000,0,0,0,1000024,0,600000,0,1,0
鹿角兽队长,200164,鹿角男爵尤克,1,0,1000131;1000480;1000480,5000,0,0,0,0,0,600000,0,1,0
亡魂死徒,200165,亡魂死徒,1,0,1000132,5000,0,0,0,1000023,0,600000,0,1,0
亡魂死士,200166,亡魂死士,1,0,1000133,5000,0,0,0,1000023,0,600000,0,1,0
黑骑士佩兰,200167,黑骑士佩兰,1,0,1000134,5000,0,0,0,1000024,0,600000,0,1,0
狮心魔骑巴兹,200168,狮心魔骑巴兹,1,0,1000135,5000,0,0,0,0,0,600000,0,1,0
野蛮孤狼,200169,野蛮孤狼,1,0,1000136,5000,0,0,0,1000023,0,600000,0,1,0
碎魂狼王乌迪尔,200170,狼爵士普洛,1,0,1000137,5000,0,0,0,1000024,0,600000,0,1,0
草原蝎子,200171,魔尾蝎,1,0,1000138,5000,0,0,0,1000023,0,600000,0,1,0
蝎怪,200172,魔蝎王艾德,1,0,1000139,5000,0,0,0,0,0,600000,0,1,0
贪婪,200173,贪婪,1,1,1000140,5000,0,0,0,0,0,600000,0,1,0
,200176,地下矿工,0,0,1000147;1000148,2000,0,0,0,0,0,600000,0,0,0
,200177,地下矿工,0,0,1000147;1000148,1000,0,0,0,0,0,600000,0,0,0
,200178,地下矿工,0,0,1000147;1000148,1000,0,0,0,0,0,600000,0,0,0
,200179,矮巨人钢锤,60000,0,1000149,2000,0,0,0,0,0,600000,0,1,0
,200182,檐鬼,65000,0,1000151,0,0,0,0,1000078,0,600000,0,0,0
巫傀,200188,巫傀,42000,0,1000153,1000,0,0,0,0,0,600000,0,0,0
巫傀,200189,巫傀,42000,0,1000153,1000,0,0,0,0,0,600000,0,0,0
巫傀,200190,巫傀,42000,0,1000153,1000,0,0,0,0,0,600000,0,0,0
,200191,女巫菲梅,43000,0,1000154,0,0,0,0,1000087,0,600000,0,0,0
,200197,巨刃鹿角兽,40000,0,1000170,0,0,0,0,0,0,600000,0,1,0
,200198,鹿角兽士兵,40000,0,1000171,0,0,0,0,0,0,600000,0,1,0
,200199,鹿角兽士兵,40000,0,1000172,0,0,0,0,0,0,600000,0,1,0
,200200,食魂鹿角兽,45000,0,1000173,0,0,0,0,0,0,600000,0,1,0
,200201,鹿角兽酋长,55000,0,1000174,0,0,0,0,0,0,600000,0,1,0
,200202,叛军统领,50000,0,1000175,0,0,0,0,1000030,0,600000,0,1,0
,200203,叛军守卫,0,0,1000176,0,0,0,0,1000101,0,600000,0,0,0
,200204,默希娅,55000,0,1000177,0,0,0,0,1000102,0,600000,1,0,0
,200205,不死丧尸,35000,0,1000178,0,0,0,0,0,0,600000,0,0,0
,200206,熔岩丧尸,40000,0,1000179,0,0,0,0,0,0,600000,0,1,0
,200207,失心丧尸,40000,0,1000180,0,0,0,0,0,0,600000,0,0,0
,200209,叛军统领,50000,0,1000175,0,0,0,0,1000030,0,600000,1,1,0
幻阵之魂·冰,200213,幻阵之魂·冰,60000,0,1000182,0,0,0,0,0,0,600000,0,0,0
幻阵之魂·火,200214,幻阵之魂·火,60000,0,1000183,0,0,0,0,0,0,600000,0,0,0
幻阵之魂·光,200215,幻阵之魂·光,60000,0,1000184,0,0,0,0,0,0,600000,0,0,0
幻阵之魂·暗,200216,幻阵之魂·暗,60000,0,1000185,0,0,0,0,0,0,600000,0,0,0
哀嚎神殿普通副本怪1,200217,亡魂死徒,35000,0,1000186;1000186;1000187,0,0,0,0,0,0,600000,0,1,0
哀嚎神殿普通副本怪2,200218,亡魂死士,35000,0,1000187;1000187,0,0,0,0,0,0,600000,0,1,0
哀嚎神殿普通副本怪3,200219,亡魂死徒,35000,0,1000186;1000186;1000187,0,0,0,0,0,0,600000,0,1,0
哀嚎神殿普通副本怪4,200220,亡魂死士,35000,0,1000187;1000187,0,0,0,0,0,0,600000,0,1,0
哀嚎神殿普通副本怪5,200221,黑骑士迪亚,35000,0,1000188;1000186;1000186,0,0,0,0,0,0,600000,0,1,0
哀嚎神殿普通副本怪6,200222,狮心魔骑贝恩,35000,0,1000189;1000186;1000186,0,0,0,0,0,0,600000,0,1,0
哀嚎神殿普通副本boss,200223,黑魔巫师,80000,0,1000190,0,0,0,0,0,0,600000,0,0,0
武装哥布林,200225,武装哥布林,40000,0,1000192,0,0,0,0,0,0,600000,0,0,0
发疯的哥布林,200226,伪装哥布林,40000,0,1000193,0,0,0,0,0,0,600000,0,0,0
发疯的哥布林,200227,伪装哥布林,40000,0,1000193,0,0,0,0,0,0,600000,0,0,0
猩红魔箱,200228,欺诈宝箱,40000,0,1000194,0,0,0,0,0,0,600000,0,0,0
食人魔佣兵,200229,食人魔佣兵,40000,0,1000195,0,0,0,0,0,0,600000,0,0,0
BOSS哈扎特,200230,哈扎克,40000,0,1000196,0,0,0,0,0,0,600000,0,0,0
偷袭怪狼人1,200231,白眼独狼,40000,0,1000197,0,0,0,0,0,0,600000,0,1,0
胡克斯1,200232,野蛮孤狼,40000,0,1000198,0,0,0,0,0,0,600000,0,1,0
胡克斯2,200233,野蛮孤狼,40000,0,1000199,0,0,0,0,0,0,600000,0,1,0
泪目白狼,200234,白眼独狼,40000,0,1000200,0,0,0,0,1000083,0,600000,0,0,0
偷袭怪狼人2,200235,野蛮孤狼,40000,0,1000201,0,0,0,0,0,0,600000,0,1,0
BOSS狼王,200236,碎魂狼王乌迪尔,40000,0,1000202,0,0,0,0,0,0,600000,0,0,0
,200237,叛军统领哈乌利,120000,0,1000232,0,0,0,0,0,0,600000,0,1,0
,200238,叛军守卫,100000,0,1000233,0,0,0,0,0,0,600000,0,1,0
,200239,叛军守卫,100000,0,1000233,0,0,0,0,0,0,600000,0,1,0
,200240,叛军守卫,100000,0,1000233,0,0,0,0,0,0,600000,0,1,0
,200241,叛军守卫,100000,0,1000233,0,0,0,0,0,0,600000,0,1,0
,200242,毒尾蝎,70000,0,1000236,0,0,0,0,0,0,600000,0,1,0
,200243,毒尾蝎,70000,0,1000236,0,0,0,0,0,0,600000,0,1,0
,200244,毒尾蝎,70000,0,1000236,0,0,0,0,0,0,600000,0,1,0
,200245,毒尾蝎,70000,0,1000236,0,0,0,0,0,0,600000,0,1,0
,200246,沙原魔蝎斯科恩,110000,0,1000237,0,0,0,0,0,0,600000,0,1,0
,200247,地下矿工,45000,0,1000238;1000238,0,0,0,0,0,0,600000,0,0,0
,200248,矮巨人铁盾,45000,0,1000239,0,0,0,0,0,0,600000,0,1,0
,200249,矮巨人铁盾,45000,0,1000240,0,0,0,0,0,0,600000,0,0,0
,200250,矮巨人钢锤,45000,0,1000241,0,0,0,0,0,0,600000,0,0,0
受惊的僵尸(潜伏),200251,扭曲不死者,0,0,1000247;1000957,1000,0,0,0,0,0,600000,0,1,0
僵尸妈妈(潜伏),200252,糜烂不死者,0,0,1000248,1000,0,0,0,0,0,600000,0,1,0
A型感染者(潜伏),200253,腐灼不死者,78000,0,1000249,1000,0,0,0,0,0,600000,0,1,0
魅魔,200254,魅魔修狄斯,78000,0,1000250,10000,0,0,0,1000107,0,600000,0,0,0
受惊的僵尸(巡逻),200255,扭曲不死者,0,0,1000251;1000958,1000,0,0,0,0,0,600000,0,1,0
僵尸妈妈(巡逻),200256,糜烂不死者,0,0,1000252,1000,0,0,0,0,0,600000,0,1,0
A型感染者(巡逻),200257,腐灼不死者,78000,0,1000253,1000,0,0,0,0,0,600000,0,1,0
,200259,巫傀,60000,0,9000161,0,0,0,0,0,0,600000,0,0,0
,200260,巫傀,60000,0,9000161,0,0,0,0,0,0,600000,0,0,0
,200261,巫傀,60000,0,9000161,0,0,0,0,0,0,600000,0,0,0
,200262,女巫菲梅,100000,0,9000162,0,0,0,0,0,0,600000,0,0,0
魅魔,200263,魅魔修狄斯,90000,0,1000258,0,0,0,0,1000163,0,600000,0,0,1
精灵战士,200264,精灵族剑士,0,0,1000256,1000,0,0,0,0,0,600000,0,1,0
精灵弓箭手,200265,精灵族射手,0,0,1000257,1000,0,0,0,0,0,600000,0,1,0
恶魔修帝,200266,石像鬼塔比瑟,90000,0,1000259,0,0,0,0,1000164,0,600000,0,0,1
绿林花妖,200267,荆棘花妖,0,0,1000255,1000,0,0,0,0,0,600000,0,1,0
双枪毒蝎,200268,双枪毒蝎,0,0,1000271,1000,0,0,0,0,0,600000,0,0,0
蜘蛛女王,200271,蜘蛛女王艾达,90000,0,1000260,0,0,0,0,1000165,0,600000,0,0,1
,200272,扭曲不死者,0,0,1000264,0,0,0,0,0,0,600000,0,1,0
,200273,糜烂不死者,0,0,1000265,0,0,0,0,0,0,600000,0,1,0
,200274,腐灼不死者,0,0,1000266,0,0,0,0,0,0,600000,0,1,0
,200275,不死者尼普,0,0,1000267,0,0,0,0,0,0,600000,0,0,0
,200276,扭曲不死者,0,0,1000268,0,0,0,0,0,0,600000,0,1,0
,200277,糜烂不死者,0,0,1000269,0,0,0,0,0,0,600000,0,1,0
,200278,腐灼不死者,0,0,1000270,0,0,0,0,0,0,600000,0,1,0
魅魔,200279,魅魔修狄斯,0,0,1000275,0,0,0,0,0,0,600000,0,0,0
精灵战士,200280,精灵族剑士,0,0,1000273,0,0,0,0,0,0,600000,0,1,0
精灵弓箭手,200281,精灵族射手,0,0,1000274,0,0,0,0,0,0,600000,0,1,0
恶魔修帝,200282,石像鬼塔比瑟,0,0,1000276,0,0,0,0,0,0,600000,0,0,0
绿林花妖,200283,荆棘花妖,0,0,1000272,0,0,0,0,0,0,600000,0,1,0
双枪毒蝎,200284,双枪毒蝎,0,0,1000277,0,0,0,0,0,0,600000,0,0,0
蜘蛛女王,200285,蜘蛛女王艾达,0,0,1000278,0,0,0,0,0,0,600000,0,0,0
,200286,邪冥领主弗德,1,0,1000298,0,0,0,0,0,0,600000,0,1,0
,200287,苍蓝领主拉弥娅,1,0,1000299,0,0,0,0,0,0,600000,0,1,0
,200288,石像领主厄迦,1,0,1000300,0,0,0,0,0,0,600000,0,1,0
,200289,亡魂死徒,1,0,1000301;1000301;1000301,0,0,0,0,0,0,600000,0,1,0
,200290,鹿角兽,1,0,1000302,0,0,0,0,0,0,600000,0,1,0
,200291,亡魂死士,1,0,1000303,0,0,0,0,0,0,600000,0,1,0
,200292,巨刃鹿角兽,1,0,1000304,0,0,0,0,0,0,600000,0,1,0
,200293,深渊毒角兽,1,0,1000305,0,0,0,0,0,0,600000,0,1,0
,200294,亡魂死徒,1,0,1000306,0,0,0,0,0,0,600000,0,1,0
,200295,亡魂死士,1,0,1000307,0,0,0,0,0,0,600000,0,1,0
,200296,暗黑骑士,1,0,1000308,0,0,0,0,0,0,600000,0,1,0
,200297,鹿角兽,1,0,1000309,0,0,0,0,0,0,600000,0,1,0
,200298,巨刃鹿角兽,1,0,1000310,0,0,0,0,0,0,600000,0,1,0
,200299,阔斧鹿角兽,1,0,1000311,0,0,0,0,0,0,600000,0,1,0
,200300,食魂鹿角兽,1,0,1000312,0,0,0,0,0,0,600000,0,1,0
,200301,魔影骑兵,1,0,1000313,0,0,0,0,0,0,600000,0,1,0
,200302,嗜血死神萨米尔,1,1,1000314,0,0,0,0,0,0,600000,0,1,0
,200303,失心丧尸,100000,0,1000315,0,0,0,0,0,0,600000,0,0,0
,200304,矮巨人钢锤,100000,0,1000316,0,0,0,0,0,0,600000,0,0,0
,200305,蚀魔狐,0,0,1000317;1000729,8000,0,0,0,0,0,600000,0,1,0
,200306,杀人蜂,0,0,1000318,8000,0,0,0,0,0,600000,0,0,0
,200307,橙翼蜂,0,0,1000319,8000,0,0,0,0,0,600000,0,0,0
,200308,蓝铠骨魔,0,0,1000320;1000730,8000,0,0,0,0,0,600000,0,1,0
,200309,枭鹰领主夏妮,0,0,1000321,8000,0,0,0,0,0,600000,0,0,0
,200310,枭鹰领主夏妮,0,0,1000322,0,0,0,0,0,0,600000,0,0,0
,200311,枭鹰族猎手,0,0,9000213,50000,0,0,0,0,0,600000,0,0,0
,200312,蚀魔狐,0,0,9000214;9000410,8000,0,0,0,0,0,600000,0,1,0
,200313,蓝铠骨魔,0,0,9000215;9000411,8000,0,0,0,0,0,600000,0,1,0
,200314,女巫菲梅,80000,0,1000331,0,0,0,0,0,0,600000,0,0,0
,200315,主宰的魔族亡者,30000,0,1000332,0,0,0,0,0,0,600000,0,0,0
,200316,绿林花妖,110000,0,1000333,0,0,0,0,0,0,600000,0,0,0
,200317,魔化的龙骑守卫,145000,0,1000365,0,0,0,0,0,0,600000,0,0,0
,200318,黑色蔷薇费玛,30000,0,1000366,0,0,0,0,0,0,600000,0,0,0
蝎怪,200319,沙原毒蝎,90000,0,1000370,0,0,0,0,0,0,600000,0,0,0
,200320,锤子团先锋,53000,0,1000371,0,0,0,0,0,0,600000,0,0,0
,200321,斯塔克毒蝎,30000,0,1000372,0,0,0,0,0,0,600000,0,0,0
,200322,矮巨人指挥官,52000,0,1000373,0,0,0,0,0,0,600000,0,0,0
,200323,蚀魔狐,0,0,9000214;9000410,8000,0,0,0,0,0,600000,0,1,0
,200324,蓝铠骨魔,0,0,9000215;9000411,8000,0,0,0,0,0,600000,0,1,0
,200325,宝箱怪,40000,0,1000374,0,0,0,0,0,0,600000,0,0,0
,200326,伊甸傀从,0,0,1000834,8000,0,0,0,0,0,600000,0,0,0
,200327,伊甸傀从,0,0,9000276,8000,0,0,0,0,0,600000,0,1,0
,200328,伊甸傀从,0,0,9000276,8000,0,0,0,0,0,600000,0,1,0
,200329,贝希摩斯1号,0,0,9000277,8000,0,0,0,0,0,600000,0,0,0
,200330,希波,0,0,9000278,50000,0,0,0,0,0,600000,0,0,0
,200331,哈扎克,0,0,1000481,0,0,0,0,0,0,600000,0,1,0
,200332,哈扎克,0,0,1000482,0,0,0,0,0,0,600000,0,1,0
,200333,哈扎克,0,0,1000483,0,0,0,0,0,0,600000,0,1,0
,200336,毒尾蝎,90000,0,1000491;1000491;1000491,0,0,0,0,1000326,0,600000,0,0,0
,200337,索加的魔化灵体,65000,0,1000492,0,0,0,0,1000363,0,600000,0,1,0
,200338,魔箱兽,60000,0,1000493,0,0,0,0,1000364,0,600000,0,1,0
,200339,魔箱兽,52000,0,1000494,0,0,0,0,1000196,0,600000,0,0,0
,200340,魔化的改造体,100000,0,1000495,0,0,0,0,1000297,0,600000,0,0,0
,200341,觉醒的魔族亡者,25000,0,1000496,0,0,0,0,1000334,0,600000,0,1,0
,200342,哥布林探宝队长,45000,0,1000497,0,0,0,0,1000362,0,600000,0,0,0
,200343,魔箱兽,45000,0,1000498,0,0,0,0,1000136,0,600000,0,0,0
,200344,石像鬼塔比瑟,122000,0,1000499,0,0,0,0,1000365,0,600000,0,0,0
,200345,魅魔修狄斯,90000,0,1000500,0,0,0,0,1000303,0,600000,0,0,0
,200346,巫傀,80000,0,1000501;1000501;1000501,0,0,0,0,1000304,0,600000,0,0,0
,200347,魔箱兽,30000,0,1000502,0,0,0,0,0,0,600000,0,0,0
,200348,食人魔教官,48000,0,1000503,0,0,0,0,1000184,0,600000,0,0,0
,200349,魔化的龙骑兵长,145000,0,1000504,0,0,0,0,1000174,0,600000,0,0,0
,200350,暗魔法狂热者,155000,0,1000505,0,0,0,0,1000176,0,600000,0,0,0
,200351,强盗贝拉,29000,0,1000509,0,0,0,0,1000339,0,600000,0,0,0
,200352,海蓝蛮狐,0,0,1000510;1000831,0,0,0,0,1000474,0,600000,0,1,0
,200353,深海巨鳍,0,0,1000511;1000832,0,0,0,0,1000475,0,600000,0,0,0
,200354,海蓝蛮狐,0,0,1000512;1000833,0,0,0,0,1000476,0,600000,0,1,0
,200355,扬博士,0,0,1000513,0,0,0,0,1000477,0,600000,0,0,0
,200356,默希娅,0,0,1000514,0,0,0,0,1000478,0,600000,0,0,0
,200357,不死丧尸,0,0,1000523,0,0,0,0,0,0,600000,0,1,0
,200358,熔岩丧尸,0,0,1000524,0,0,0,0,0,0,600000,0,1,0
,200359,糜烂丧尸,0,0,1000525,0,0,0,0,0,0,600000,0,1,0
绿野剑士,200360,绿野剑士,103581,0,1000526,5000,0,0,0,0,0,600000,0,0,0
锤子团佣兵,200361,锤子团佣兵,103581,0,1000527,5000,0,0,0,0,0,600000,0,0,0
锤子团统领,200362,锤子团统领,142000,0,1000528,5000,0,0,0,0,0,600000,0,0,0
巫傀,200363,巫傀,103581,0,1000529,5000,0,0,0,0,0,600000,0,0,0
荒原女巫,200364,荒原女巫,142000,0,1000530,5000,0,0,0,0,0,600000,0,0,0
矮巨人铁锤,200365,矮巨人铁锤,103581,0,1000531,5000,0,0,0,0,0,600000,0,0,0
矮巨人酋长,200366,矮巨人酋长,142000,0,1000532,5000,0,0,0,0,0,600000,0,0,0
绿野射手,200367,绿野射手,103581,0,1000533,5000,0,0,0,0,0,600000,0,0,0
藤蔓花妖,200368,藤蔓花妖,103581,0,1000534,5000,0,0,0,0,0,600000,0,0,0
黄金圣骑,200369,黄金圣骑,142000,0,1000535,5000,0,0,0,0,0,600000,0,0,0
噬灵邪法师,200370,噬灵邪法师,142000,0,1000536,5000,0,0,0,0,0,600000,0,0,0
蜘蛛女王艾达,200371,蜘蛛女王艾达,142000,1,1000537,5000,0,0,0,0,0,600000,0,0,0
,200372,鹿角怪,0,0,1000538;1000539;1000539,0,0,0,0,0,0,600000,0,1,0
,200373,大哥布林,0,0,1000540;1000541;1000541,0,0,0,0,0,0,600000,0,1,0
,200374,迷失的灵魂,0,0,1000542;1000543,0,0,0,0,0,0,600000,0,1,0
,200375,迷失的灵魂,0,0,1000542;1000543,0,0,0,0,0,0,600000,0,1,0
,200376,迷失的灵魂,0,0,1000544,0,0,0,0,0,0,600000,0,0,0
,200377,冒险者,0,0,1000545;1000546,0,0,0,0,0,0,600000,0,0,0
,200378,冒险者,0,0,1000547,0,0,0,0,0,0,600000,0,0,0
,200379,野蛮孤狼,0,0,1000548;1000549,0,0,0,0,0,0,600000,0,0,0
,200380,暴怒战熊,0,0,1000550;1000549;1000549,0,0,0,0,0,0,600000,0,0,0
,200381,男爵仆从,0,0,1000551,0,0,0,0,0,0,600000,0,0,0
,200382,男爵仆从,0,0,1000552,0,0,0,0,0,0,600000,0,0,0
冰霜战魂,200383,冰霜战魂,0,0,1000553,0,0,0,0,0,0,600000,0,0,0
火焰战魂,200384,火焰战魂,0,0,1000554,0,0,0,0,0,0,600000,0,0,0
光耀战魂,200385,光耀战魂,0,0,1000555,0,0,0,0,0,0,600000,0,0,0
幽暗战魂,200386,幽暗战魂,0,0,1000556,0,0,0,0,0,0,600000,0,0,0
,200387,男爵仆从,0,0,1000551,0,0,0,0,0,0,600000,0,0,0
,200388,男爵仆从,0,0,1000552,0,0,0,0,0,0,600000,0,0,0
,200391,猩红魔箱,999999,0,1000557,0,0,0,0,0,0,600000,0,0,0
,200399,黑龙战盾,0,0,1000592;1000592,8000,0,0,0,0,0,600000,0,1,0
,200400,黑翼骑士长,0,0,1000593;1000592,8000,0,0,0,0,0,600000,0,1,0
,200401,摩尼耶,0,0,1000594,20000,0,0,0,0,0,600000,0,0,0
,200402,尼格斯,0,0,1000595,50000,0,0,0,0,0,600000,0,0,0
,200406,黑龙战盾,0,0,1000599;1000599,8000,0,0,0,0,0,600000,0,1,0
,200407,黑龙重剑,0,0,1000600;1000599,8000,0,0,0,0,0,600000,0,0,0
,200408,黑龙战盾,0,0,1000599;1000599,8000,0,0,0,0,0,600000,0,1,0
,200409,黑翼骑士长约伯,0,0,1000601,50000,0,0,0,0,0,600000,0,0,0
,200410,黑龙重剑,0,0,1000603;1000602,8000,0,0,0,0,0,600000,0,1,0
,200411,黑龙战盾,0,0,1000602;1000602,8000,0,0,0,0,0,600000,0,1,0
,200412,摩尼耶,0,0,1000604,20000,0,0,0,0,0,600000,0,0,0
,200413,机翼钢魂亚玻伦,0,0,1000605,0,0,0,0,1000467,0,600000,0,0,0
,200414,黑龙战盾,0,0,1000602;1000602,8000,0,0,0,0,0,600000,0,1,0
,200415,黑龙重剑,0,0,1000603;1000602,8000,0,0,0,0,0,600000,0,1,0
,200416,亚兹莫,0,0,1000606,50000,0,0,0,0,0,600000,0,0,0
,200417,黑龙战盾,0,0,1000602;1000602,8000,0,0,0,0,0,600000,0,1,0
,200418,美少女合成兽,165000,0,1000731,0,0,0,0,0,0,600000,0,0,0
,200419,魔箱兽,165000,0,1000732,0,0,0,0,1000401,0,600000,0,0,0
,200420,扬博士,175000,0,1000733,0,0,0,0,1000402,0,600000,0,0,0
,200421,咬人怪箱,200000,0,1000734,0,0,0,0,1000375,0,600000,0,0,0
,200422,飞天魔箱帕琪,500000,0,1000735,0,0,0,0,1000376,0,600000,0,0,0
,200423,贝希摩斯2号,1,0,1000736,0,0,0,0,1000480,0,600000,0,1,0
,200424,矮巨人钢盔,200000,0,1000737,2000,0,0,0,0,0,600000,0,1,0
,200425,女巫魔蜂,200000,0,9000431,0,0,0,0,1000456,0,600000,0,0,0
,200427,亚兹莫,280000,0,1000739,0,0,0,0,1000448,0,600000,0,1,0
,200428,黑龙战士,260000,0,1000740,0,0,0,0,1000449,0,600000,0,1,0
,200429,黄金战士德克斯,300000,0,1000741,0,0,0,0,0,0,600000,0,0,0
,200430,尼格斯,300000,0,1000742,0,0,0,0,1000381,0,600000,0,0,0
,200431,夜行卫士,315000,0,1000743,0,0,0,0,1000379,0,600000,0,0,0
,200432,魔蝎格尔,1,0,1000744,0,0,0,0,0,0,600000,0,0,0
,200433,希波,250000,0,1000745,0,0,0,0,0,0,600000,0,0,0
,200434,机械守卫1号,250000,0,1000746,0,0,0,0,1000395,0,600000,0,0,0
,200435,暗黑法师扎斯,260000,0,1000747,0,0,0,0,1000396,0,600000,0,0,0
,200436,蜗居鱼妖帕普,0,0,1000748,0,0,0,0,1000473,0,600000,0,0,0
,200439,利齿魔箱,500000,0,1000751,0,0,0,0,1000100,0,600000,0,0,0
,200440,利齿魔箱,500000,0,1000752,0,0,0,0,1000100,0,600000,0,0,0
,200449,摩尼耶,210000,0,1000753,0,0,0,0,0,0,600000,0,0,0
,200450,枭鹰妮妲,210000,0,1000754,0,0,0,0,1000445,0,600000,0,0,0
,200451,黑龙守卫,220000,0,1000755,0,0,0,0,1000444,0,600000,0,0,0
,200452,尼格斯,300000,0,1000742,0,0,0,0,1000382,0,600000,0,0,0
,200453,扬博士·生化人,184000,0,1000756,0,0,0,0,0,0,600000,0,0,0
,200454,魔箱兽,184000,0,1000757,0,0,0,0,1000418,0,600000,0,0,0
,200455,默希娅,194000,0,1000758,0,0,0,0,1000421,0,600000,0,0,0
,200456,筋肉巨魔,184000,0,1000759,0,0,0,0,1000419,0,600000,0,0,0
