,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,1352912,-1,,0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,1,,0 2,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353212,-1,,0,-1,,0,-1,,0,2,,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353223,-1,"0;0,0,0,100;0;0,0,0,100;10000",0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353213,-1,"0;0,0,0,100;0;0,0,0,100;10000",0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353214,-1,"0;0,0,0,100;0;0,0,0,100;10000",0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353215,-1,"0;0,0,0,100;0;0,0,0,100;10000",0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353216,-1,"0;0,0,0,100;0;0,0,0,100;10000",0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353217,-1,"0;0,0,0,100;0;0,0,0,100;10000",0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353218,-1,"0;0,0,0,100;0;0,0,0,100;10000",0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353219,-1,"0;0,0,0,100;0;0,0,0,100;10000",0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353220,-1,"0;0,0,0,100;0;0,0,0,100;10000",0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353221,-1,"0;0,0,0,100;0;0,0,0,100;10000",0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353222,-1,"0;0,0,0,100;0;0,0,0,100;10000",0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353301,-1,,0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353302,-1,,0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353303,-1,,0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353304,-1,,0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353305,-1,,0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353306,-1,,0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353307,-1,,0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353308,-1,,0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353309,-1,,0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353310,-1,,0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353311,-1,,0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353312,-1,,0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353313,-1,,0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353314,-1,,0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353315,-1,,0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353316,-1,,0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353317,-1,,0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353318,-1,,0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353319,-1,,0,-1,,0,-1,,0,0,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1353320,-1,,0,-1,,0,-1,,0,2,,34,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
,1352904,-1,,0,-1,,0,-1,,0,2,,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0
