,required,required,optional,optional,optional,optional,optional,optional,optional,repeated,repeated,optional,repeated,optional,repeated,optional
,1000823,虚死惩戒者,0,0,1,6,1,35,1000823,1626,1003501;1003502;1003503;1003504,"0,1,3;1,0,1,2",0,"3,1,0;1,0,2;1,0,2;2,0,1,3;1,0,2",0,0
,1000824,鬼刃剑士,0,0,1,6,2,35,1000824,1616,1003201;1003202;1003203,"1,1,2;0,0,2",0,"0,0,1;0,0,1;0,1,2;0,0,1;0,1,2,2",0,0
,1000825,千纸领主洛伊,0,2,1,6,2,35,1000825,1610,1003701;1003702;1003703;1003704,"1,0,2;0,1,3",0,"0,1,2;3,0,2;1,0,2;1,1,3;1,1,2;1,0,2",0,0
,1000826,炎尾魔蝎,0,0,1,2,1,39,1000826,1623,1001001;1001002,"1,0,1",0,"1,0,1;1,0,1,1;1,0,1",0,0
,1000827,梦魇灰狐,0,0,1,6,1,37,1000827,1636,1005301;1005302;1005303,"0,0,1;0,0,2",0,"1,1,2;0,0,1;0,0,1",0,0
,1000828,蚀骨毒蜂,0,0,1,6,2,37,1000828,1604,1004201;1004202;1004203,"0,1,0,2;1,0,1",0,"1,0,1,0,2;0,1,1;0,1,1;1,0,1,2",0,0
,1000829,阔刃鬼武士,0,0,1,6,1,37,1000829,1620,1003401;1003402;1003403,"0,1,0,2",0,"0,1,0;0,1;0,1,1,2;0,1,0;0,1,2",0,0
,1000830,荒沼领主贝格,0,2,2,6,1,37,1000830,1611,1002701;1002702;1002703,"0,1,2;0,0,1,2",0,"0,1,1;0,1,2;0,1;0,0,1,2;0,2",0,0
,1000836,堕落女佣,0,0,1,3,2,46,1000836,1627,1004001;1004002,"0,1,0;1,0,1,0;0,1",0,"1,0,1,0,1;0,1,0;1,0,1",0,0
,1000837,野性狼骑,0,0,1,1,1,46,1000837,1611,1004401;1004402;1004403,"0,1,0;0,1,2",0,"0,1,0;0,1;0,1,2",0,0
,1000838,利刺毒蝎,0,0,1,2,2,46,1000838,1618,1001001;1001002,"1,0,1",0,"1,0,1;1,0,1,1;1,0,1",0,0
,1000839,狡猾欺诈师,0,1,1,4,1,46,1000839,1621,5202301;5202302;5202303,"0,1,0,2;1,0,1",0,"0,1,0,2;0,1,0;0,1,2;0,1,0",0,0
,1000840,噬盾领主霍普,0,0,1,4,1,48,1000840,,5201101;5201102;5201103,"0,1,0;0,0,2",0,"0,0;0,0,2;0,1;0,0;0,1,2,2",0,0
,1000841,疯狂博士,0,0,1,4,1,41,1000841,1631,5202301;5202302;5202303,"0,1,0,2;1,0,1",0,"0,1,0,2;0,1,0;0,1,2;0,1,0",0,0
,1000842,摩尔号3型,0,0,1,5,1,39,1000842,1637,1005201;1005202;1005203,"0,1,2",0,"0,1,0;0,1,0,2;0,1,0;2,1,0;0,1,0",0,0
,1000843,丛林狂战士,0,0,1,1,1,39,1000843,1031,1001501;1001502;1001503,"0,2,1;0,1,0;2,1",0,"0,1,2;1,0,1;1,0,1",0,0
,1000844,暴食酋长,0,0,1,1,1,39,1000844,1041,1001201;1001202;1001203,"0,2;2,1,0;0,0,1",0,"0,2;2,0,1,0;0,1",0,0
,1000845,怒涛领主奥古斯,0,2,1,6,2,39,1000845,1628,900001;900002;900003;900004,"1,1,3;0,1,2",0,"0,1,2;0,1,3;0,2,2",0,0
,1000846,鹿角使徒,0,1,1,1,1,45,1000846,1641,1002401;1002402;1002403,"0,1,0;0,1,0,2",0,"0,1,0;0,1;0,1,1,2;0,1,0;0,1,2",0,0
,1000847,鬼泣撕裂者,0,1,1,6,2,45,1000847,1640,1003301;1003302;1003303,"0,1,2;0,0,1",0,"0,0,2;0,0,1;0,1",0,0
,1000848,海盗团团长,0,0,1,4,1,45,1000848,1616,1005001;1005002;1005003,"1,1,2;1,0,1,2;1,0,1,0",0,"0,2;1,0,1,0;0,1,2,2",0,0
,1000849,霜晶锐爪,0,0,1,1,1,45,1000849,1617,1004901;1004902;1004903,"0,1,1;0,1,2;2,1",0,"0,0,1;0,1,1;0,1,2",0,0
,1000850,剑豪领主拉希德,0,0,1,4,1,47,1000850,,10301;10302;10303;10304;10305;10306;10307,"0,2,3,4,6",0,"0,2,4;1,3,6",0,0
,1000851,獠牙猎狼,0,1,1,1,1,51,1000851,1637,1002601;1002602;1002603,"0,1,0;0,1,2",0,"0,1,0;0,1;0,1,2",0,0
,1000852,流亡的魔咒师,0,1,1,4,1,51,1000852,1606,5202301;5202302;5202303,"0,1,0,2;1,0,1",0,"0,1,0,2;0,1,0;0,1,2;0,1,0",0,0
,1000853,鲁莽锤击者,0,0,1,4,1,51,1000853,1604,1005001;1005002;1005003,"1,1,2;1,0,1,2;1,0,1,0",0,"0,2;1,0,1,0;0,1,2,2",0,0
,1000854,诅咒祭奠师,0,1,1,4,1,51,1000854,1620,5202401;5202402;5202403,"1,0;0,1,0,2",0,"0,1,0,2;0,1,0;0,1,2;0,1,0",0,0
,1000855,铸魂领主米尔顿,0,2,1,6,2,53,1000855,,5202201;5202202;5202203;5202204,"0,1,2,3;1,0,2",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
,1000856,盾锤争斗者,0,0,1,4,1,50,1000856,1631,1005001;1005002;1005003,"1,1,2;1,0,1,2;1,0,1,0",0,"0,2;1,0,1,0;0,1,2,2",0,0
,1000857,余烬女巫,0,0,1,6,2,50,1000857,1618,1005401;1005402;1005403,"0,1,2;0,1,2",0,"1,0,1;1,0,1;0,1,2",0,0
,1000858,寂夜屠夫,0,0,1,4,1,50,1000858,1605,1004801;1004802;1004803,"0,2;1,0,1,0;1,0,1,2",0,"0,2;1,0,1,0;1,2",0,0
,1000859,闪灵怪盗,0,1,1,4,1,50,1000859,1626,5202101;5202102;5202103,"2,0;0,1,1",0,"0,0;0,1,2;0,0;0,0;0,1,2,2",0,0
,1000860,鬼纹领主杰西法,0,0,1,6,2,52,1000860,,10601;10602;10603;10604;10605;10606;10607,"0,2,3,4,6",0,"0,2,4;1,3,6",0,0
,1000861,决绝夜行者,0,0,1,5,1,48,1000861,1623,1000701;1000702;1000703,"1,0,1;0,2,1",0,"1,0,1,0,1;0,1,0;0,1,2;1,0,1;2,0,1;1,0,1",0,0
,1000862,诡诈沙狐,0,0,1,5,1,48,1000862,1636,1004101;1004102;1004103,"0,0,1;0,0,2",0,"1,1,2;0,0,1;0,0,1",0,0
,1000863,蛮吼突袭者,0,0,1,1,1,48,1000863,1620,1004401;1004402;1004403,"0,1,0;0,1,2",0,"0,1,0;0,1;0,1,2",0,0
,1000864,丛林神射手,0,0,1,5,1,48,1000864,1626,1005101;1005102;1005103,"0,1,2;1,0,1,2",0,"0,2;1,0,1,0,1;0,1,2;1,0,1",0,0
,1000865,魅影领主苏姬,0,1,1,4,1,50,1000865,,1002201;1002202;1002203,"0,1,0;0,1,2",0,"0,1;0,1,2;1,0,1;0,1;1,0,2",0,0
,1000866,怒火战魔,0,1,1,4,1,52,1000866,1631,5202001;5202002,"0,0,1,1;0,0",0,"1,0,0,1;0,0,1,1;0,0",0,0
,1000867,沙漠战魂,0,1,1,3,1,52,1000867,1011,5200801;5200802;5200803,"0,1;0,0,2;0,0",0,"0,1;0,0,2;0,0;1,2,2;0,0",0,0
,1000868,邪灵指挥官,0,0,1,4,1,52,1000868,1611,1004801;1004802;1004803,"0,2;1,0,1,0;1,0,1,2",0,"0,2;1,0,1,0;1,2",0,0
,1000869,黯言囚灵,0,0,1,3,1,52,1000869,1031,5200101;5200102;5200103,"0,1,1;0,1,2",0,"0,1,1;0,1,2",0,0
,1000870,刺血领主爱丝,0,0,1,4,1,54,1000870,,1002101;1002102;1002103,"0,1,2;0,1,0",0,"0,1;0,0,2;0,1;1,2,0;0,1,1",0,0
,1000871,白骨战狼,0,0,1,1,1,43,1000871,1622,1002301;1002302;1002303,"0,1,0;0,1,2",0,"0,1,0;0,1;0,1,2",0,0
,1000872,毒雾潜行者,0,0,1,5,1,43,1000872,1021,1000801;1000802;1000803,"0,0,1;0,0,2",0,"1,1,2;0,0,1;0,0,1",0,0
,1000873,卑劣的围猎者,0,1,1,1,1,43,1000873,1637,1001201;1001202;1001203,"0,2;2,1,0;0,0,1",0,"0,2;2,0,1,0;0,1",0,0
,1000874,远古巨兽,0,1,1,5,1,43,1000874,1604,1001401;1001402;1001403,"0,1,2",0,"0,1,0;0,1,0,2;0,1,0;2,1,0;0,1,0",0,0
,1000875,刀锋领主希德,0,2,2,6,1,45,1000875,,900401;900402;900403;900404,"0,1,3;1,0,1,2",0,"0,2,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
,1000876,阴鸷哥布林,0,0,1,5,1,53,1000876,1616,1000701;1000702;1000703,"1,0,1;0,2,1",0,"1,0,1,0,1;0,1,0;0,1,2;1,0,1;2,0,1;1,0,1",0,0
,1000877,荒漠赤狐,0,0,1,5,1,53,1000877,1617,1004101;1004102;1004103,"0,0,1;0,0,2",0,"1,1,2;0,0,1;0,0,1",0,0
,1000878,啸月狼王,0,0,1,1,1,53,1000878,1639,1004401;1004402;1004403,"0,1,0;0,1,2",0,"0,1,0;0,1;0,1,2",0,0
,1000879,风暴御剑者,0,0,1,5,1,53,1000879,1610,5201601;5201602;5201603,"0,1,2;1,0,1,2",0,"0,2;1,0,1,0,1;0,1,2;1,0,1",0,0
,1000880,邪冥领主昆顿,0,2,1,6,2,55,1000880,,1003101;1003102;1003103;1003110;1003111;1003112,"0,1,1;0,0,2",0,"0,1,1;0,0,1,2;0,1,0,1;0,1,2",0,0
,1000959,魔瞳黑女巫,0,0,1,6,2,49,1000959,1622,1005401;1005402;1005403,"0,1,2;0,1,2",0,"1,0,1;1,0,1;0,1,2",0,0
,1000960,黑女巫傀儡,0,0,1,6,2,49,1000960,1021,1005801;1005802,"0,0,1",0,"0,0,1;0,1,1",0,0
,1000961,幽影巫师,0,1,1,3,2,49,1000961,1637,1001301;1001302;1001303,"0,1,2;1,0,1",0,"2,1,0;0,1,1;0,1,1;1,0,1,2",0,0
,1000962,巫师忠仆,0,0,1,3,2,49,1000962,1604,1004001;1004002,"0,1,0;1,0,1,0;0,1",0,"1,0,1,0,1;0,1,0;1,0,1",0,0
,1000963,狂龙领主柏格,0,0,1,3,1,51,1000963,,1003801;1003802;1003803,"0,2;1,0,1,0;1,0,1,2",0,"0,2;1,0,1,0;1,2",0,0
,1000964,枭鹰,0,0,1,1,1,43,1000964,1637,5201201;5201202;5201203,"0,1,0,2;1,0,1",0,"1,0,1,0,2;0,1,1;0,1,1;1,0,1,2",0,0
,1000965,鹿角兽祭司,0,0,1,1,2,41,1000965,1606,500401;500402;500403,"0,1,2;0,1,0,1",0,"0,1,2;0,1,0,1;0,1,0,2;0,1;0,1,0,1",0,0
,1000966,丧尸法师,0,0,1,3,2,41,1000966,1626,1001301;1001302;1001303,"0,1,2;1,0,1",0,"2,1,0;0,1,1;0,1,1;1,0,1,2",0,0
,1000967,先驱者一号,0,0,1,7,1,41,1000967,1628,1001601;1001602;1001603,"0,1,0,2;1,0,1",0,"0,1,0;0,1,0,2;0,1,0;0,1,2;0,1,0",0,0
,1000968,蜘蛛女王,0,2,2,6,1,41,1000968,1091,900301;900302;900303;900304,"0,1,3;1,0,1,2",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
,1000969,病毒感染者,0,0,1,3,2,47,1000969,1605,1004501;1004502,"0,1,1;1,0,1,0;0,1",0,"1,0,1,0,1;0,1,0;1,0,1",0,0
,1000970,贪污的矿长,0,0,1,4,1,47,1000970,1606,1004601;1004602;1004603,"0,1,1;0,1,2",0,"0,1,1;0,1,2",0,0
,1000971,塞尔伦2号,0,1,1,7,1,47,1000971,1031,1001601;1001602;1001603,"0,1,0,2;1,0,1",0,"0,1,0;0,1,0,2;0,1,0;0,1,2;0,1,0",0,0
,1000972,孤锋利斧,0,0,1,4,1,47,1000972,1041,800001;800002;800003,"0,1,2;0,1,0,1",0,"0,1,2;0,1,0,1;0,1,0,2;0,1;0,1,0,1",0,0
,1000973,夜翼领主马文,0,2,1,6,2,49,1000973,,5202201;5202202;5202203;5202204,"0,1,2,3;1,0,2",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
,1000974,涤魂圣女巫,0,0,1,6,2,54,1000974,1623,1005401;1005402;1005403,"0,1,2;0,1,2",0,"1,0,1;1,0,1;0,1,2",0,0
,1000975,女巫奴仆,0,0,1,6,2,54,1000975,1636,1005801;1005802,"0,0,1",0,"0,0,1;0,1,1",0,0
,1000976,亡啸戮魂者,0,1,1,3,2,54,1000976,1618,1001301;1001302;1001303,"0,1,2;1,0,1",0,"2,1,0;0,1,1;0,1,1;1,0,1,2",0,0
,1000977,鬼触异变者,0,0,1,3,2,54,1000977,1621,1004501;1004502,"0,1,1;1,0,1,0;0,1",0,"1,0,1,0,1;0,1,0;1,0,1",0,0
,1000978,怒焰领主霍齐亚,0,2,1,6,1,56,1000978,,1003601;1003602;1003603;1003604,"1,0,1,2;0,1,3",0,"0,1,2;1,0,3;1,0,2;1,1,3;1,0,2",0,0
,1000979,双刃裁决者,0,0,1,4,1,55,1000979,1637,1002101;1002102;1002103,"0,1,2;0,1,0",0,"0,1;0,0,2;0,1;1,2,0;0,1,1",0,0
,1000980,迷影妖后,0,1,1,4,1,55,1000980,1631,1002201;1002202;1002203,"0,1,0;0,1,2",0,"0,1;0,1,2;1,0,1;0,1;1,0,2",0,0
,1000981,龙狩督军,0,1,1,4,1,55,1000981,1618,1000201;1000202;1000203,"0,2;1,0,1,0;1,0,1,2",0,"0,2;1,0,1,0;1,2",0,0
,1000982,烈剑骑士长,0,1,1,4,1,55,1000982,1621,1003201;1003202;1003203,"1,1,2;0,0,2",0,"0,0,1;0,0,1;0,1,2;0,0,1;0,1,2,2",0,0
,1000983,狮蛮领主艾凡,0,1,1,1,1,57,1000983,,11101;11102;11103;11104;11105;11106;11107,"0,2,3,4,6",0,"0,2,4;1,3,6",0,0
,1001249,贪欲哥布林,0,0,1,5,1,31,1001249,1628,1000701;1000702;1000703,"1,0,1;0,2,1",0,"1,0,1,0,1;0,1,0;0,1,2;1,0,1;2,0,1;1,0,1",0,0
,1001250,黑钢领主艾布林,0,2,1,7,1,29,1001250,,1001601;1001602;1001603,"0,1,0,2;1,0,1",0,"0,1,0;0,1,0,2;0,1,0;0,1,2;0,1,0",0,0
,1001251,荒漠沙狐,0,0,1,5,1,29,1001251,1605,1004101;1004102;1004103,"0,0,1;0,0,2",0,"1,1,2;0,0,1;0,0,1",0,0
,1001252,丧魂野狼,0,0,1,1,1,29,1001252,1637,1004401;1004402;1004403,"0,1,0;0,1,2",0,"0,1,0;0,1;0,1,2",0,0
,1001253,密林狙击手,0,0,1,5,1,29,1001253,1631,1005101;1005102;1005103,"0,1,2;1,0,1,2",0,"0,2;1,0,1,0,1;0,1,2;1,0,1",0,0
,1001254,幽影刺客,0,0,1,3,1,28,1001254,1622,5200301;5200302,"0,1;0,0,1,1",0,"0,0;1,0,0,1;0,0,1,1",0,0
,1001255,夜幕战灵,0,0,1,3,1,26,1001255,1608,5200801;5200802;5200803,"0,1;0,0,2",0,"0,1;0,0,2;0,1;1,2,2;0",0,0
,1001701,双枪毒蝎,0,0,1,2,2,56,1001701,1641,1001001;1001002,"1,0,1",0,"1,0,1;1,0,1,1;1,0,1",0,0
,1001702,厄运死侍,0,0,1,5,1,56,1001702,1640,1005301;1005302;1005303,"0,0,1;0,0,2",0,"1,1,2;0,0,1;0,0,1",0,0
,1001703,毒刃蜂后,0,0,1,2,1,56,1001703,1616,1004201;1004202;1004203,"0,1,0,2;1,0,1",0,"1,0,1,0,2;0,1,1;0,1,1;1,0,1,2",0,0
,1001704,鹿角兽祭司,0,0,1,1,2,56,1001704,1617,500401;500402;500403,"0,1,2;0,1,0,1",0,"0,1,2;0,1,0,1;0,1,0,2;0,1;0,1,0,1",0,0
,1001705,荒域领主默克,0,0,1,5,1,58,1001705,,1005201;1005202;1005203,"0,1,2",0,"0,1,0;0,1,0,2;0,1,0;2,1,0;0,1,0",0,0
,1001706,疯魔科学家,0,1,1,4,1,57,1001706,1611,5202301;5202302;5202303,"0,1,0,2;1,0,1",0,"0,1,0,2;0,1,0;0,1,2;0,1,0",0,0
,1001707,岩龙巨兽,0,0,1,5,1,57,1001707,1041,1005201;1005202;1005203,"0,1,2",0,"0,1,0;0,1,0,2;0,1,0;2,1,0;0,1,0",0,0
,1001708,重拳怒熊,0,1,1,1,1,57,1001708,1623,1001501;1001502;1001503,"0,2,1;0,1,0;2,1",0,"0,1,2;1,0,1;1,0,1",0,0
,1001709,深海漫步者,0,1,1,6,1,57,1001709,1610,5201801;5201802;5201803,"0,2;2,0,1,0",0,"0,2;2,1,1,1,0;0,0,1",0,0
,1001710,蛛魔领主卡西,0,2,2,6,1,59,1001710,,900301;900302;900303;900304,"0,1,3;1,0,1,2",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
,1001711,苍穹孤鹰,0,1,1,1,1,58,1001711,1637,5201201;5201202;5201203,"0,1,0,2;1,0,1",0,"1,0,1,0,2;0,1,1;0,1,1;1,0,1,2",0,0
,1001712,炼渊暗法师,0,0,1,1,2,58,1001712,1606,500401;500402;500403,"0,1,2;0,1,0,1",0,"0,1,2;0,1,0,1;0,1,0,2;0,1;0,1,0,1",0,0
,1001713,深渊腐灼者,0,1,1,3,2,58,1001713,1604,1001301;1001302;1001303,"0,1,2;1,0,1",0,"2,1,0;0,1,1;0,1,1;1,0,1,2",0,0
,1001714,夺魂魔导师,0,1,1,4,1,58,1001714,1620,5202401;5202402;5202403,"1,0;0,1,0,2",0,"0,1,0,2;0,1,0;0,1,2;0,1,0",0,0
,1001715,蚀骨领主安波儿,0,0,1,6,2,60,1001715,,1005701;1005702;1005703;1005704,"2,3;0,1,2",0,"0,1,2;0,1;2,3;0,1;3,3",0,0
,1001716,夜牙长锋,0,0,1,1,1,59,1001716,1623,1002301;1002302;1002303,"0,1,0;0,1,2",0,"0,1,0;0,1;0,1,2",0,0
,1001717,幽魂毒牙,0,0,1,5,1,59,1001717,1636,5201401;5201402;5201403,"0,0,1;0,0,2",0,"1,1,2;0,0,1;0,0,1",0,0
,1001718,蓝凯骨魔,0,1,1,6,1,59,1001718,1620,5201801;5201802;5201803,"0,2;2,0,1,0",0,"0,2;2,1,1,1,0;0,0,1",0,0
,1001719,钢岩巨人,0,1,1,5,1,59,1001719,1626,1001401;1001402;1001403,"0,1,2",0,"0,1,0;0,1,0,2;0,1,0;2,1,0;0,1,0",0,0
,1001720,魔息领主洛福斯,0,2,1,6,1,61,1001720,,5201001;5201002;5201003,"0,1,0;0,1,2",0,"0,1,2;0,0,1",0,0
,1001721,鹿角伯爵,0,1,1,1,1,60,1001721,1639,1002401;1002402;1002403,"0,1,0;0,1,0,2",0,"0,1,0;0,1;0,1,1,2;0,1,0;0,1,2",0,0
,1001722,怒啸半兽人,0,1,1,6,2,60,1001722,1610,1003301;1003302;1003303,"0,1,2;0,0,1",0,"0,0,2;0,0,1;0,1",0,0
,1001723,血铸统帅,0,0,1,4,1,60,1001723,1620,1005001;1005002;1005003,"1,1,2;1,0,1,2;1,0,1,0",0,"0,2;1,0,1,0;0,1,2,2",0,0
,1001724,永冻冰熊,0,0,1,1,1,60,1001724,1605,1004901;1004902;1004903,"0,1,1;0,1,2;2,1",0,"0,0,1;0,1,1;0,1,2",0,0
,1001725,暗龙领主兰森,0,0,1,6,1,62,1001725,,40101;40102;40103;40104;40105;40106;40107,"0,2,3,4,6",0,"0,2,4;1,3,6",0,0
,1001726,寂灭异变者,0,0,1,3,2,61,1001726,1627,1004001;1004002,"0,1,0;1,0,1,0;0,1",0,"1,0,1,0,1;0,1,0;1,0,1",0,0
,1001727,海潮鲛人,0,1,1,5,2,61,1001727,1611,1002001;1002002;1002003,"1,0,2;0,1,0,2",0,"0,0,1;0,0,1;1,2,1,0",0,0
,1001728,沙漠蝎王,0,0,1,2,2,61,1001728,1618,1001001;1001002,"1,0,1",0,"1,0,1;1,0,1,1;1,0,1",0,0
,1001729,欲念号1型,0,1,1,4,1,61,1001729,1621,5202301;5202302;5202303,"0,1,0,2;1,0,1",0,"0,1,0,2;0,1,0;0,1,2;0,1,0",0,0
,1001730,虚暝领主辛顿,0,1,1,6,2,63,1001730,,1003301;1003302;1003303,"0,1,2;0,0,1",0,"0,0,2;0,0,1;0,1",0,0
,1001731,哀嚎亡骑,0,0,1,3,2,62,1001731,1604,1004501;1004502,"0,1,1;1,0,1,0;0,1",0,"1,0,1,0,1;0,1,0;1,0,1",0,0
,1001732,巨麟重锤,0,0,1,4,1,62,1001732,1622,1004601;1004602;1004603,"0,1,1;0,1,2",0,"0,1,1;0,1,2",0,0
,1001733,欲念号2型,0,1,1,7,1,62,1001733,1606,1001601;1001602;1001603,"0,1,0,2;1,0,1",0,"0,1,0;0,1,0,2;0,1,0;0,1,2;0,1,0",0,0
,1001734,矮巨人兵长,0,0,1,4,1,62,1001734,1610,800001;800002;800003,"0,1,2;0,1,0,1",0,"0,1,2;0,1,0,1;0,1,0,2;0,1;0,1,0,1",0,0
,1001735,极黯领主席德,0,0,1,3,1,64,1001735,,1003801;1003802;1003803,"0,2;1,0,1,0;1,0,1,2",0,"0,2;1,0,1,0;1,2",0,0
,1001736,哥布林酋长,0,0,1,5,1,63,1001736,1631,1000701;1000702;1000703,"1,0,1;0,2,1",0,"1,0,1,0,1;0,1,0;0,1,2;1,0,1;2,0,1;1,0,1",0,0
,1001737,疾风狐王,0,0,1,5,1,63,1001737,1011,1004101;1004102;1004103,"0,0,1;0,0,2",0,"1,1,2;0,0,1;0,0,1",0,0
,1001738,海潮半鱼人,0,1,1,5,2,63,1001738,1611,1002001;1002002;1002003,"1,0,2;0,1,0,2",0,"0,0,1;0,0,1;1,2,1,0",0,0
,1001739,密林偷猎者,0,0,1,5,1,63,1001739,1031,1005101;1005102;1005103,"0,1,2;1,0,1,2",0,"0,2;1,0,1,0,1;0,1,2;1,0,1",0,0
,1001740,裂魂领主伊鲁卡,0,1,1,3,2,65,1001740,,1001301;1001302;1001303,"0,1,2;1,0,1",0,"2,1,0;0,1,1;0,1,1;1,0,1,2",0,0
,1001741,梦魇巫后,0,0,1,6,2,64,1001741,1616,1005401;1005402;1005403,"0,1,2;0,1,2",0,"1,0,1;1,0,1;0,1,2",0,0
,1001742,巫后之仆,0,0,1,6,2,64,1001742,1617,1005801;1005802,"0,0,1",0,"0,0,1;0,1,1",0,0
,1001743,绝情断罪者,0,1,1,3,2,64,1001743,1639,1001301;1001302;1001303,"0,1,2;1,0,1",0,"2,1,0;0,1,1;0,1,1;1,0,1,2",0,0
,1001744,欲念号3型,0,0,1,3,2,64,1001744,1610,1004001;1004002,"0,1,0;1,0,1,0;0,1",0,"1,0,1,0,1;0,1,0;1,0,1",0,0
,1001745,奥爆领主休伊,0,1,1,4,1,66,1001745,,5201301;5201302;5201303,"1,1,2;0,0,1",0,"0,1,2;0,1,2,2;0,0,1;0,0,1",0,0
,1001746,重铠幽骑,0,0,1,4,1,65,1001746,1621,1005001;1005002;1005003,"1,1,2;1,0,1,2;1,0,1,0",0,"0,2;1,0,1,0;0,1,2,2",0,0
,1001747,失魂女巫,0,0,1,6,2,65,1001747,1623,1005401;1005402;1005403,"0,1,2;0,1,2",0,"1,0,1;1,0,1;0,1,2",0,0
,1001748,赤铜骠骑王,0,0,1,4,1,65,1001748,1640,1004801;1004802;1004803,"0,2;1,0,1,0;1,0,1,2",0,"0,2;1,0,1,0;1,2",0,0
,1001749,炼狱暴君,0,1,1,4,1,65,1001749,1626,5202101;5202102;5202103,"2,0;0,1,1",0,"0,0;0,1,2;0,0;0,0;0,1,2,2",0,0
,1001750,鸦杀领主克里斯,0,0,1,6,1,67,1001750,,10701;10702;10703;10704;10705;10706;10707,"0,2,3,4,6",0,"0,2,4;1,3,6",0,0
