,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,5021043,中级狂暴,5,0,,,9999,8,54000,0,0
,5021053,中级狂暴,5,0,,,9999,8,162000,0,0
,5022013,中级神力,5,0,,,9999,8,2000,0,0
,5022023,中级神力,5,0,,,9999,8,6000,0,0
,5022033,中级神力,5,0,,,9999,8,18000,0,0
,5022043,中级神力,5,0,,,9999,8,54000,0,0
,5022053,中级神力,5,0,,,9999,8,162000,0,0
,5023013,中级魔能,5,0,,,9999,8,2000,0,0
,5023023,中级魔能,5,0,,,9999,8,6000,0,0
,5023033,中级魔能,5,0,,,9999,8,18000,0,0
,5023043,中级魔能,5,0,,,9999,8,54000,0,0
,5023053,中级魔能,5,0,,,9999,8,162000,0,0
,5024013,初级狂怒,5,0,,,9999,8,2000,0,0
,5024023,初级狂怒,5,0,,,9999,8,6000,0,0
,5024033,初级狂怒,5,0,,,9999,8,18000,0,0
,5024043,初级狂怒,5,0,,,9999,8,54000,0,0
,5024053,初级狂怒,5,0,,,9999,8,162000,0,0
,5025013,沉着暴怒,5,0,,,9999,8,2000,0,0
,5025023,沉着暴怒,5,0,,,9999,8,6000,0,0
,5025033,沉着暴怒,5,0,,,9999,8,18000,0,0
,5025043,沉着暴怒,5,0,,,9999,8,54000,0,0
,5025053,沉着暴怒,5,0,,,9999,8,162000,0,0
,5026013,奥义流转,5,0,,,9999,8,2000,0,0
,5026023,奥义流转,5,0,,,9999,8,6000,0,0
,5026033,奥义流转,5,0,,,9999,8,18000,0,0
,5026043,奥义流转,5,0,,,9999,8,54000,0,0
,5026053,奥义流转,5,0,,,9999,8,162000,0,0
,5027013,复兴护盾,5,0,,,9999,8,2000,0,0
,5027023,复兴护盾,5,0,,,9999,8,6000,0,0
,5027033,复兴护盾,5,0,,,9999,8,18000,0,0
,5027043,复兴护盾,5,0,,,9999,8,54000,0,0
,5027053,复兴护盾,5,0,,,9999,8,162000,0,0
,5028013,撕裂,5,0,,,9999,8,2000,0,0
,5028023,撕裂,5,0,,,9999,8,6000,0,0
,5028033,撕裂,5,0,,,9999,8,18000,0,0
,5028043,撕裂,5,0,,,9999,8,54000,0,0
,5028053,撕裂,5,0,,,9999,8,162000,0,0
,5029013,增幅重击,5,0,,,9999,8,2000,0,0
,5029023,增幅重击,5,0,,,9999,8,6000,0,0
,5029033,增幅重击,5,0,,,9999,8,18000,0,0
,5029043,增幅重击,5,0,,,9999,8,54000,0,0
,5029053,增幅重击,5,0,,,9999,8,162000,0,0
,5030013,牧野猎手,5,0,,,9999,8,2000,0,0
,5030023,牧野猎手,5,0,,,9999,8,6000,0,0
,5030033,牧野猎手,5,0,,,9999,8,18000,0,0
,5030043,牧野猎手,5,0,,,9999,8,54000,0,0
,5030053,牧野猎手,5,0,,,9999,8,162000,0,0
,5031013,都林猎手,5,0,,,9999,8,2000,0,0
,5031023,都林猎手,5,0,,,9999,8,6000,0,0
,5031033,都林猎手,5,0,,,9999,8,18000,0,0
,5031043,都林猎手,5,0,,,9999,8,54000,0,0
,5031053,都林猎手,5,0,,,9999,8,162000,0,0
,5032013,魔灵猎手,5,0,,,9999,8,2000,0,0
,5032023,魔灵猎手,5,0,,,9999,8,6000,0,0
,5032033,魔灵猎手,5,0,,,9999,8,18000,0,0
,5032043,魔灵猎手,5,0,,,9999,8,54000,0,0
,5032053,魔灵猎手,5,0,,,9999,8,162000,0,0
,5033013,创伤,5,0,,,9999,8,2000,0,0
,5033023,创伤,5,0,,,9999,8,6000,0,0
,5033033,创伤,5,0,,,9999,8,18000,0,0
,5033043,创伤,5,0,,,9999,8,54000,0,0
,5033053,创伤,5,0,,,9999,8,162000,0,0
,5034013,炽炎,5,0,,,9999,8,2000,0,0
,5034023,炽炎,5,0,,,9999,8,6000,0,0
,5034033,炽炎,5,0,,,9999,8,18000,0,0
,5034043,炽炎,5,0,,,9999,8,54000,0,0
,5034053,炽炎,5,0,,,9999,8,162000,0,0
,5035013,碎甲,5,0,,,9999,8,2000,0,0
,5035023,碎甲,5,0,,,9999,8,6000,0,0
,5035033,碎甲,5,0,,,9999,8,18000,0,0
,5035043,碎甲,5,0,,,9999,8,54000,0,0
,5035053,碎甲,5,0,,,9999,8,162000,0,0
,5036013,高昂,5,0,,,9999,8,2000,0,0
,5036023,高昂,5,0,,,9999,8,6000,0,0
,5036033,高昂,5,0,,,9999,8,18000,0,0
,5036043,高昂,5,0,,,9999,8,54000,0,0
,5036053,高昂,5,0,,,9999,8,162000,0,0
,5041014,高级狂暴,5,0,,,9999,8,5000,0,0
,5041024,高级狂暴,5,0,,,9999,8,15000,0,0
,5041034,高级狂暴,5,0,,,9999,8,45000,0,0
,5041044,高级狂暴,5,0,,,9999,8,135000,0,0
,5041054,高级狂暴,5,0,,,9999,8,405000,0,0
,5042014,高级神力,5,0,,,9999,8,5000,0,0
,5042024,高级神力,5,0,,,9999,8,15000,0,0
,5042034,高级神力,5,0,,,9999,8,45000,0,0
,5042044,高级神力,5,0,,,9999,8,135000,0,0
,5042054,高级神力,5,0,,,9999,8,405000,0,0
,5043014,高级魔能,5,0,,,9999,8,5000,0,0
,5043024,高级魔能,5,0,,,9999,8,15000,0,0
,5043034,高级魔能,5,0,,,9999,8,45000,0,0
,5043044,高级魔能,5,0,,,9999,8,135000,0,0
,5043054,高级魔能,5,0,,,9999,8,405000,0,0
,5044014,高级狂怒,5,0,,,9999,8,5000,0,0
,5044024,高级狂怒,5,0,,,9999,8,15000,0,0
,5044034,高级狂怒,5,0,,,9999,8,45000,0,0
,5044044,高级狂怒,5,0,,,9999,8,135000,0,0
,5044054,高级狂怒,5,0,,,9999,8,405000,0,0
,5045014,高级生命流转,5,0,,,9999,8,5000,0,0
,5045024,高级生命流转,5,0,,,9999,8,15000,0,0
,5045034,高级生命流转,5,0,,,9999,8,45000,0,0
,5045044,高级生命流转,5,0,,,9999,8,135000,0,0
,5045054,高级生命流转,5,0,,,9999,8,405000,0,0
,5046014,高级护盾,5,0,,,9999,8,5000,0,0
,5046024,高级护盾,5,0,,,9999,8,15000,0,0
,5046034,高级护盾,5,0,,,9999,8,45000,0,0
,5046044,高级护盾,5,0,,,9999,8,135000,0,0
,5046054,高级护盾,5,0,,,9999,8,405000,0,0
,5047014,高级绝境锋刃,5,0,,,9999,8,5000,0,0
,5047024,高级绝境锋刃,5,0,,,9999,8,15000,0,0
,5047034,高级绝境锋刃,5,0,,,9999,8,45000,0,0
,5047044,高级绝境锋刃,5,0,,,9999,8,135000,0,0
,5047054,高级绝境锋刃,5,0,,,9999,8,405000,0,0
,5048014,猛攻护盾,5,0,,,9999,8,5000,0,0
,5048024,猛攻护盾,5,0,,,9999,8,15000,0,0
,5048034,猛攻护盾,5,0,,,9999,8,45000,0,0
,5048044,猛攻护盾,5,0,,,9999,8,135000,0,0
,5048054,猛攻护盾,5,0,,,9999,8,405000,0,0
,5049014,爆发打击,5,0,,,9999,8,5000,0,0
,5049024,爆发打击,5,0,,,9999,8,15000,0,0
,5049034,爆发打击,5,0,,,9999,8,45000,0,0
,5049044,爆发打击,5,0,,,9999,8,135000,0,0
,5049054,爆发打击,5,0,,,9999,8,405000,0,0
,5050014,穿透打击,5,0,,,9999,8,5000,0,0
,5050024,穿透打击,5,0,,,9999,8,15000,0,0
,5050034,穿透打击,5,0,,,9999,8,45000,0,0
,5050044,穿透打击,5,0,,,9999,8,135000,0,0
,5050054,穿透打击,5,0,,,9999,8,405000,0,0
,5051014,援护突击,5,0,,,9999,8,5000,0,0
,5051024,援护突击,5,0,,,9999,8,15000,0,0
,5051034,援护突击,5,0,,,9999,8,45000,0,0
,5051044,援护突击,5,0,,,9999,8,135000,0,0
,5051054,援护突击,5,0,,,9999,8,405000,0,0
,5052014,以攻为守,5,0,,,9999,8,5000,0,0
,5052024,以攻为守,5,0,,,9999,8,15000,0,0
,5052034,以攻为守,5,0,,,9999,8,45000,0,0
,5052044,以攻为守,5,0,,,9999,8,135000,0,0
,5052054,以攻为守,5,0,,,9999,8,405000,0,0
,5053014,绝境爆发,5,0,,,9999,8,5000,0,0
,5053024,绝境爆发,5,0,,,9999,8,15000,0,0
,5053034,绝境爆发,5,0,,,9999,8,45000,0,0
,5053044,绝境爆发,5,0,,,9999,8,135000,0,0
,5053054,绝境爆发,5,0,,,9999,8,405000,0,0
,5054014,判决,5,0,,,9999,8,5000,0,0
,5054024,判决,5,0,,,9999,8,15000,0,0
,5054034,判决,5,0,,,9999,8,45000,0,0
,5054044,判决,5,0,,,9999,8,135000,0,0
,5054054,判决,5,0,,,9999,8,405000,0,0
,5055014,高级创伤,5,0,,,9999,8,5000,0,0
,5055024,高级创伤,5,0,,,9999,8,15000,0,0
,5055034,高级创伤,5,0,,,9999,8,45000,0,0
,5055044,高级创伤,5,0,,,9999,8,135000,0,0
,5055054,高级创伤,5,0,,,9999,8,405000,0,0
,5056014,高级炽炎,5,0,,,9999,8,5000,0,0
,5056024,高级炽炎,5,0,,,9999,8,15000,0,0
,5056034,高级炽炎,5,0,,,9999,8,45000,0,0
,5056044,高级炽炎,5,0,,,9999,8,135000,0,0
,5056054,高级炽炎,5,0,,,9999,8,405000,0,0
,5057014,复生,5,0,,,9999,8,5000,0,0
,5057024,复生,5,0,,,9999,8,15000,0,0
,5057034,复生,5,0,,,9999,8,45000,0,0
,5057044,复生,5,0,,,9999,8,135000,0,0
,5057054,复生,5,0,,,9999,8,405000,0,0
,5058014,逆时,5,0,,,9999,8,5000,0,0
,5058024,逆时,5,0,,,9999,8,15000,0,0
,5058034,逆时,5,0,,,9999,8,45000,0,0
,5058044,逆时,5,0,,,9999,8,135000,0,0
,5058054,逆时,5,0,,,9999,8,405000,0,0
,5059014,禁锢,5,0,,,9999,8,5000,0,0
,5059024,禁锢,5,0,,,9999,8,15000,0,0
,5059034,禁锢,5,0,,,9999,8,45000,0,0
,5059044,禁锢,5,0,,,9999,8,135000,0,0
,5059054,禁锢,5,0,,,9999,8,405000,0,0
,5060014,坚盾,5,0,,,9999,8,5000,0,0
,5060024,坚盾,5,0,,,9999,8,15000,0,0
,5060034,坚盾,5,0,,,9999,8,45000,0,0
,5060044,坚盾,5,0,,,9999,8,135000,0,0
,5060054,坚盾,5,0,,,9999,8,405000,0,0
