,required,required,required,required,required,required,required,required,required,required
,2052084,10000,2052074,10,2000084,1,0,0,0,0
,2053032,10000,2053021,10,0,0,0,0,0,0
,2053043,10000,2053032,10,0,0,0,0,0,0
,2053054,10000,2053043,10,2000054,1,0,0,0,0
,2053064,10000,2053054,10,2000064,1,0,0,0,0
,2053074,10000,2053064,10,2000074,1,0,0,0,0
,2053084,10000,2053074,10,2000084,1,0,0,0,0
,2054032,10000,2054021,10,0,0,0,0,0,0
,2054043,10000,2054032,10,0,0,0,0,0,0
,2054054,10000,2054043,10,2000054,1,0,0,0,0
,2054064,10000,2054054,10,2000064,1,0,0,0,0
,2054074,10000,2054064,10,2000074,1,0,0,0,0
,2054084,10000,2054074,10,2000084,1,0,0,0,0
,2061032,10000,2061021,10,0,0,0,0,0,0
,2061043,10000,2061032,10,0,0,0,0,0,0
,2061054,10000,2061043,10,2000054,1,0,0,0,0
,2061064,10000,2061054,10,2000064,1,0,0,0,0
,2061074,10000,2061064,10,2000074,1,0,0,0,0
,2061084,10000,2061074,10,2000084,1,0,0,0,0
,2062032,10000,2062021,10,0,0,0,0,0,0
,2062043,10000,2062032,10,0,0,0,0,0,0
,2062054,10000,2062043,10,2000054,1,0,0,0,0
,2062064,10000,2062054,10,2000064,1,0,0,0,0
,2062074,10000,2062064,10,2000074,1,0,0,0,0
,2062084,10000,2062074,10,2000084,1,0,0,0,0
,2063032,10000,2063021,10,0,0,0,0,0,0
,2063043,10000,2063032,10,0,0,0,0,0,0
,2063054,10000,2063043,10,2000054,1,0,0,0,0
,2063064,10000,2063054,10,2000064,1,0,0,0,0
,2063074,10000,2063064,10,2000074,1,0,0,0,0
,2063084,10000,2063074,10,2000084,1,0,0,0,0
,2064032,10000,2064021,10,0,0,0,0,0,0
,2064043,10000,2064032,10,0,0,0,0,0,0
,2064054,10000,2064043,10,2000054,1,0,0,0,0
,2064064,10000,2064054,10,2000064,1,0,0,0,0
,2064074,10000,2064064,10,2000074,1,0,0,0,0
,2064084,10000,2064074,10,2000084,1,0,0,0,0
