,required,optional,required,required,required,optional,optional,optional
,2042032,圣界·贰制上衣,2,9999,34,100,0,0
,2042043,圣界·叁制上衣,2,9999,34,100,0,0
,2042054,圣界·肆制上衣,2,9999,34,100,0,0
,2042064,圣界·伍制上衣,2,9999,34,100,0,0
,2042074,圣界·陆制上衣,2,9999,34,100,0,0
,2042084,圣界·柒制上衣,2,9999,34,100,0,0
,2043021,圣界·壹制下装,2,9999,34,100,0,0
,2043032,圣界·贰制下装,2,9999,34,100,0,0
,2043043,圣界·叁制下装,2,9999,34,100,0,0
,2043054,圣界·肆制下装,2,9999,34,100,0,0
,2043064,圣界·伍制下装,2,9999,34,100,0,0
,2043074,圣界·陆制下装,2,9999,34,100,0,0
,2043084,圣界·柒制下装,2,9999,34,100,0,0
,2044021,圣界·壹制足靴,2,9999,34,100,0,0
,2044032,圣界·贰制足靴,2,9999,34,100,0,0
,2044043,圣界·叁制足靴,2,9999,34,100,0,0
,2044054,圣界·肆制足靴,2,9999,34,100,0,0
,2044064,圣界·伍制足靴,2,9999,34,100,0,0
,2044074,圣界·陆制足靴,2,9999,34,100,0,0
,2044084,圣界·柒制足靴,2,9999,34,100,0,0
,2051021,密林·壹制兵刃,2,9999,34,100,0,0
,2051032,密林·贰制兵刃,2,9999,34,100,0,0
,2051043,密林·叁制兵刃,2,9999,34,100,0,0
,2051054,密林·肆制兵刃,2,9999,34,100,0,0
,2051064,密林·伍制兵刃,2,9999,34,100,0,0
,2051074,密林·陆制兵刃,2,9999,34,100,0,0
,2051084,密林·柒制兵刃,2,9999,34,100,0,0
,2052021,密林·壹制上衣,2,9999,34,100,0,0
,2052032,密林·贰制上衣,2,9999,34,100,0,0
,2052043,密林·叁制上衣,2,9999,34,100,0,0
,2052054,密林·肆制上衣,2,9999,34,100,0,0
,2052064,密林·伍制上衣,2,9999,34,100,0,0
,2052074,密林·陆制上衣,2,9999,34,100,0,0
,2052084,密林·柒制上衣,2,9999,34,100,0,0
,2053021,密林·壹制下装,2,9999,34,100,0,0
,2053032,密林·贰制下装,2,9999,34,100,0,0
,2053043,密林·叁制下装,2,9999,34,100,0,0
,2053054,密林·肆制下装,2,9999,34,100,0,0
,2053064,密林·伍制下装,2,9999,34,100,0,0
,2053074,密林·陆制下装,2,9999,34,100,0,0
,2053084,密林·柒制下装,2,9999,34,100,0,0
,2054021,密林·壹制足靴,2,9999,34,100,0,0
,2054032,密林·贰制足靴,2,9999,34,100,0,0
,2054043,密林·叁制足靴,2,9999,34,100,0,0
,2054054,密林·肆制足靴,2,9999,34,100,0,0
,2054064,密林·伍制足靴,2,9999,34,100,0,0
,2054074,密林·陆制足靴,2,9999,34,100,0,0
,2054084,密林·柒制足靴,2,9999,34,100,0,0
,2061021,英豪·壹制兵刃,2,9999,34,100,0,0
,2061032,英豪·贰制兵刃,2,9999,34,100,0,0
,2061043,英豪·叁制兵刃,2,9999,34,100,0,0
,2061054,英豪·肆制兵刃,2,9999,34,100,0,0
,2061064,英豪·伍制兵刃,2,9999,34,100,0,0
,2061074,英豪·陆制兵刃,2,9999,34,100,0,0
,2061084,英豪·柒制兵刃,2,9999,34,100,0,0
,2062021,英豪·壹制上衣,2,9999,34,100,0,0
,2062032,英豪·贰制上衣,2,9999,34,100,0,0
,2062043,英豪·叁制上衣,2,9999,34,100,0,0
,2062054,英豪·肆制上衣,2,9999,34,100,0,0
,2062064,英豪·伍制上衣,2,9999,34,100,0,0
,2062074,英豪·陆制上衣,2,9999,34,100,0,0
,2062084,英豪·柒制上衣,2,9999,34,100,0,0
,2063021,英豪·壹制下装,2,9999,34,100,0,0
,2063032,英豪·贰制下装,2,9999,34,100,0,0
,2063043,英豪·叁制下装,2,9999,34,100,0,0
,2063054,英豪·肆制下装,2,9999,34,100,0,0
,2063064,英豪·伍制下装,2,9999,34,100,0,0
,2063074,英豪·陆制下装,2,9999,34,100,0,0
,2063084,英豪·柒制下装,2,9999,34,100,0,0
,2064021,英豪·壹制足靴,2,9999,34,100,0,0
,2064032,英豪·贰制足靴,2,9999,34,100,0,0
,2064043,英豪·叁制足靴,2,9999,34,100,0,0
,2064054,英豪·肆制足靴,2,9999,34,100,0,0
,2064064,英豪·伍制足靴,2,9999,34,100,0,0
,2064074,英豪·陆制足靴,2,9999,34,100,0,0
,2064084,英豪·柒制足靴,2,9999,34,100,0,0
