,required,optional,required,required,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,346,,201,1,22,22,2,3600,2110001,3,0,0,0,0,0,0
,347,,201,1,23,23,2,3900,2110001,3,0,0,0,0,0,0
,348,,201,1,24,24,2,4200,2110001,3,0,0,0,0,0,0
,349,,201,1,25,25,2,4500,2110001,3,0,0,0,0,0,0
,350,,201,1,26,26,2,4800,2110001,3,0,0,0,0,0,0
,351,,201,1,27,27,2,5100,2110001,3,0,0,0,0,0,0
,352,,201,1,28,28,2,5400,2110001,3,0,0,0,0,0,0
,353,,201,1,29,29,2,5700,2110001,3,0,0,0,0,0,0
,354,,201,1,30,30,2,6000,2110001,3,0,0,0,0,0,0
,355,,201,1,31,31,3,6500,2110001,4,2110002,1,0,0,0,0
,356,,201,1,32,32,3,7000,2110001,4,2110002,1,0,0,0,0
,357,,201,1,33,33,3,7500,2110001,4,2110002,1,0,0,0,0
,358,,201,1,34,34,3,8000,2110001,4,2110002,1,0,0,0,0
,359,,201,1,35,35,3,8500,2110001,4,2110002,1,0,0,0,0
,360,,201,1,36,36,3,9000,2110001,4,2110002,1,0,0,0,0
,361,,201,1,37,37,3,9500,2110001,4,2110002,1,0,0,0,0
,362,,201,1,38,38,3,10000,2110001,4,2110002,1,0,0,0,0
,363,,201,1,39,39,3,10500,2110001,4,2110002,1,0,0,0,0
,364,,201,1,40,40,3,11000,2110001,4,2110002,1,0,0,0,0
,365,,201,1,41,41,4,12000,2110001,6,2110002,2,0,0,0,0
,366,,201,1,42,42,4,13000,2110001,6,2110002,2,0,0,0,0
,367,,201,1,43,43,4,14000,2110001,6,2110002,2,0,0,0,0
,368,,201,1,44,44,4,15000,2110001,6,2110002,2,0,0,0,0
,369,,201,1,45,45,4,16000,2110001,6,2110002,2,0,0,0,0
,370,,201,1,46,46,4,17000,2110001,6,2110002,2,0,0,0,0
,371,,201,1,47,47,4,18000,2110001,6,2110002,2,0,0,0,0
,372,,201,1,48,48,4,19000,2110001,6,2110002,2,0,0,0,0
,373,,201,1,49,49,4,20000,2110001,6,2110002,2,0,0,0,0
,374,,201,1,50,50,4,21000,2110001,6,2110002,2,0,0,0,0
,375,,201,1,51,51,5,22000,2110001,10,2110002,3,2110003,1,0,0
,376,,201,1,52,52,5,23000,2110001,10,2110002,3,2110003,1,0,0
,377,,201,1,53,53,5,24000,2110001,10,2110002,3,2110003,1,0,0
,378,,201,1,54,54,5,25000,2110001,10,2110002,3,2110003,1,0,0
,379,,201,1,55,55,5,26000,2110001,10,2110002,3,2110003,1,0,0
,380,,201,1,56,56,5,27000,2110001,10,2110002,3,2110003,2,0,0
,381,,201,1,57,57,5,28000,2110001,10,2110002,3,2110003,2,0,0
,382,,201,1,58,58,5,29000,2110001,10,2110002,3,2110003,2,0,0
,383,,201,1,59,59,5,30000,2110001,10,2110002,3,2110003,2,0,0
,384,,201,1,60,60,5,31000,2110001,10,2110002,3,2110003,2,0,0
,385,,201,1,61,61,6,32000,2110001,10,2110002,4,2110003,3,0,0
,386,,201,1,62,62,6,33000,2110001,10,2110002,4,2110003,3,0,0
,387,,201,1,63,63,6,34000,2110001,10,2110002,4,2110003,3,0,0
,388,,201,1,64,64,6,35000,2110001,10,2110002,4,2110003,3,0,0
,389,,201,1,65,65,6,36000,2110001,10,2110002,4,2110003,3,0,0
,390,,201,1,66,66,6,37000,2110001,10,2110002,4,2110003,4,2110004,1
,391,,201,1,67,67,6,38000,2110001,10,2110002,4,2110003,4,2110004,1
,392,,201,1,68,68,6,39000,2110001,10,2110002,4,2110003,4,2110004,1
,393,,201,1,69,69,6,40000,2110001,10,2110002,4,2110003,4,2110004,1
,394,,201,1,70,70,6,41000,2110001,10,2110002,4,2110003,4,2110004,1
,395,,201,1,71,71,7,42000,2110001,10,2110002,6,2110003,5,2110004,2
,396,,201,1,72,72,7,43000,2110001,10,2110002,6,2110003,5,2110004,2
,397,,201,1,73,73,7,44000,2110001,10,2110002,6,2110003,5,2110004,2
,398,,201,1,74,74,7,45000,2110001,10,2110002,6,2110003,5,2110004,2
,399,,201,1,75,75,7,46000,2110001,10,2110002,6,2110003,5,2110004,2
,400,,201,1,76,76,7,47000,2110001,10,2110002,6,2110003,6,2110004,3
,401,,201,1,77,77,7,48000,2110001,10,2110002,6,2110003,6,2110004,3
,402,,201,1,78,78,7,49000,2110001,10,2110002,6,2110003,6,2110004,3
,403,,201,1,79,79,7,50000,2110001,10,2110002,6,2110003,6,2110004,3
,404,,201,1,80,80,7,50000,2110001,10,2110002,6,2110003,6,2110004,3
,405,,201,2,1,1,0,100,2110001,1,0,0,0,0,0,0
,406,,201,2,2,2,0,200,2110001,1,0,0,0,0,0,0
,407,,201,2,3,3,0,300,2110001,1,0,0,0,0,0,0
,408,,201,2,4,4,0,400,2110001,1,0,0,0,0,0,0
,409,,201,2,5,5,0,500,2110001,1,0,0,0,0,0,0
,410,,201,2,6,6,0,600,2110001,1,0,0,0,0,0,0
,411,,201,2,7,7,0,700,2110001,1,0,0,0,0,0,0
,412,,201,2,8,8,0,800,2110001,1,0,0,0,0,0,0
,413,,201,2,9,9,0,900,2110001,1,0,0,0,0,0,0
,414,,201,2,10,10,0,1000,2110001,1,0,0,0,0,0,0
,415,,201,2,11,11,1,1200,2110001,2,0,0,0,0,0,0
,416,,201,2,12,12,1,1400,2110001,2,0,0,0,0,0,0
,417,,201,2,13,13,1,1600,2110001,2,0,0,0,0,0,0
,418,,201,2,14,14,1,1800,2110001,2,0,0,0,0,0,0
,419,,201,2,15,15,1,2000,2110001,2,0,0,0,0,0,0
,420,,201,2,16,16,1,2200,2110001,2,0,0,0,0,0,0
,421,,201,2,17,17,1,2400,2110001,2,0,0,0,0,0,0
,422,,201,2,18,18,1,2600,2110001,2,0,0,0,0,0,0
,423,,201,2,19,19,1,2800,2110001,2,0,0,0,0,0,0
,424,,201,2,20,20,1,3000,2110001,2,0,0,0,0,0,0
,425,,201,2,21,21,2,3300,2110001,3,0,0,0,0,0,0
,426,,201,2,22,22,2,3600,2110001,3,0,0,0,0,0,0
,427,,201,2,23,23,2,3900,2110001,3,0,0,0,0,0,0
,428,,201,2,24,24,2,4200,2110001,3,0,0,0,0,0,0
,429,,201,2,25,25,2,4500,2110001,3,0,0,0,0,0,0
,430,,201,2,26,26,2,4800,2110001,3,0,0,0,0,0,0
,431,,201,2,27,27,2,5100,2110001,3,0,0,0,0,0,0
,432,,201,2,28,28,2,5400,2110001,3,0,0,0,0,0,0
,433,,201,2,29,29,2,5700,2110001,3,0,0,0,0,0,0
,434,,201,2,30,30,2,6000,2110001,3,0,0,0,0,0,0
,435,,201,2,31,31,3,6500,2110001,4,2110002,1,0,0,0,0
,436,,201,2,32,32,3,7000,2110001,4,2110002,1,0,0,0,0
,437,,201,2,33,33,3,7500,2110001,4,2110002,1,0,0,0,0
,438,,201,2,34,34,3,8000,2110001,4,2110002,1,0,0,0,0
,439,,201,2,35,35,3,8500,2110001,4,2110002,1,0,0,0,0
,440,,201,2,36,36,3,9000,2110001,4,2110002,1,0,0,0,0
,441,,201,2,37,37,3,9500,2110001,4,2110002,1,0,0,0,0
,442,,201,2,38,38,3,10000,2110001,4,2110002,1,0,0,0,0
,443,,201,2,39,39,3,10500,2110001,4,2110002,1,0,0,0,0
,444,,201,2,40,40,3,11000,2110001,4,2110002,1,0,0,0,0
,445,,201,2,41,41,4,12000,2110001,6,2110002,2,0,0,0,0
,446,,201,2,42,42,4,13000,2110001,6,2110002,2,0,0,0,0
,447,,201,2,43,43,4,14000,2110001,6,2110002,2,0,0,0,0
,448,,201,2,44,44,4,15000,2110001,6,2110002,2,0,0,0,0
,449,,201,2,45,45,4,16000,2110001,6,2110002,2,0,0,0,0
,450,,201,2,46,46,4,17000,2110001,6,2110002,2,0,0,0,0
,451,,201,2,47,47,4,18000,2110001,6,2110002,2,0,0,0,0
,452,,201,2,48,48,4,19000,2110001,6,2110002,2,0,0,0,0
,453,,201,2,49,49,4,20000,2110001,6,2110002,2,0,0,0,0
,454,,201,2,50,50,4,21000,2110001,6,2110002,2,0,0,0,0
,455,,201,2,51,51,5,22000,2110001,10,2110002,3,2110003,1,0,0
,456,,201,2,52,52,5,23000,2110001,10,2110002,3,2110003,1,0,0
,457,,201,2,53,53,5,24000,2110001,10,2110002,3,2110003,1,0,0
,458,,201,2,54,54,5,25000,2110001,10,2110002,3,2110003,1,0,0
,459,,201,2,55,55,5,26000,2110001,10,2110002,3,2110003,1,0,0
,460,,201,2,56,56,5,27000,2110001,10,2110002,3,2110003,2,0,0
,461,,201,2,57,57,5,28000,2110001,10,2110002,3,2110003,2,0,0
,462,,201,2,58,58,5,29000,2110001,10,2110002,3,2110003,2,0,0
,463,,201,2,59,59,5,30000,2110001,10,2110002,3,2110003,2,0,0
,464,,201,2,60,60,5,31000,2110001,10,2110002,3,2110003,2,0,0
,465,,201,2,61,61,6,32000,2110001,10,2110002,4,2110003,3,0,0
,466,,201,2,62,62,6,33000,2110001,10,2110002,4,2110003,3,0,0
,467,,201,2,63,63,6,34000,2110001,10,2110002,4,2110003,3,0,0
,468,,201,2,64,64,6,35000,2110001,10,2110002,4,2110003,3,0,0
,469,,201,2,65,65,6,36000,2110001,10,2110002,4,2110003,3,0,0
,470,,201,2,66,66,6,37000,2110001,10,2110002,4,2110003,4,2110004,1
,471,,201,2,67,67,6,38000,2110001,10,2110002,4,2110003,4,2110004,1
,472,,201,2,68,68,6,39000,2110001,10,2110002,4,2110003,4,2110004,1
,473,,201,2,69,69,6,40000,2110001,10,2110002,4,2110003,4,2110004,1
,474,,201,2,70,70,6,41000,2110001,10,2110002,4,2110003,4,2110004,1
,475,,201,2,71,71,7,42000,2110001,10,2110002,6,2110003,5,2110004,2
,476,,201,2,72,72,7,43000,2110001,10,2110002,6,2110003,5,2110004,2
,477,,201,2,73,73,7,44000,2110001,10,2110002,6,2110003,5,2110004,2
,478,,201,2,74,74,7,45000,2110001,10,2110002,6,2110003,5,2110004,2
,479,,201,2,75,75,7,46000,2110001,10,2110002,6,2110003,5,2110004,2
,480,,201,2,76,76,7,47000,2110001,10,2110002,6,2110003,6,2110004,3
,481,,201,2,77,77,7,48000,2110001,10,2110002,6,2110003,6,2110004,3
,482,,201,2,78,78,7,49000,2110001,10,2110002,6,2110003,6,2110004,3
,483,,201,2,79,79,7,50000,2110001,10,2110002,6,2110003,6,2110004,3
,484,,201,2,80,80,7,50000,2110001,10,2110002,6,2110003,6,2110004,3
,485,,201,3,1,1,0,100,2110001,1,0,0,0,0,0,0
,486,,201,3,2,2,0,200,2110001,1,0,0,0,0,0,0
,487,,201,3,3,3,0,300,2110001,1,0,0,0,0,0,0
,488,,201,3,4,4,0,400,2110001,1,0,0,0,0,0,0
,489,,201,3,5,5,0,500,2110001,1,0,0,0,0,0,0
,490,,201,3,6,6,0,600,2110001,1,0,0,0,0,0,0
,491,,201,3,7,7,0,700,2110001,1,0,0,0,0,0,0
,492,,201,3,8,8,0,800,2110001,1,0,0,0,0,0,0
,493,,201,3,9,9,0,900,2110001,1,0,0,0,0,0,0
,494,,201,3,10,10,0,1000,2110001,1,0,0,0,0,0,0
,495,,201,3,11,11,1,1200,2110001,2,0,0,0,0,0,0
,496,,201,3,12,12,1,1400,2110001,2,0,0,0,0,0,0
,497,,201,3,13,13,1,1600,2110001,2,0,0,0,0,0,0
,498,,201,3,14,14,1,1800,2110001,2,0,0,0,0,0,0
,499,,201,3,15,15,1,2000,2110001,2,0,0,0,0,0,0
,500,,201,3,16,16,1,2200,2110001,2,0,0,0,0,0,0
,501,,201,3,17,17,1,2400,2110001,2,0,0,0,0,0,0
,502,,201,3,18,18,1,2600,2110001,2,0,0,0,0,0,0
,503,,201,3,19,19,1,2800,2110001,2,0,0,0,0,0,0
,504,,201,3,20,20,2,3000,2110001,2,0,0,0,0,0,0
,505,,201,3,21,21,2,3300,2110001,3,0,0,0,0,0,0
,506,,201,3,22,22,2,3600,2110001,3,0,0,0,0,0,0
,507,,201,3,23,23,2,3900,2110001,3,0,0,0,0,0,0
,508,,201,3,24,24,2,4200,2110001,3,0,0,0,0,0,0
,509,,201,3,25,25,2,4500,2110001,3,0,0,0,0,0,0
,510,,201,3,26,26,2,4800,2110001,3,0,0,0,0,0,0
,511,,201,3,27,27,2,5100,2110001,3,0,0,0,0,0,0
,512,,201,3,28,28,2,5400,2110001,3,0,0,0,0,0,0
,513,,201,3,29,29,2,5700,2110001,3,0,0,0,0,0,0
,514,,201,3,30,30,2,6000,2110001,3,0,0,0,0,0,0
,515,,201,3,31,31,3,6500,2110001,4,2110002,1,0,0,0,0
,516,,201,3,32,32,3,7000,2110001,4,2110002,1,0,0,0,0
,517,,201,3,33,33,3,7500,2110001,4,2110002,1,0,0,0,0
,518,,201,3,34,34,3,8000,2110001,4,2110002,1,0,0,0,0
,519,,201,3,35,35,3,8500,2110001,4,2110002,1,0,0,0,0
,520,,201,3,36,36,3,9000,2110001,4,2110002,1,0,0,0,0
,521,,201,3,37,37,3,9500,2110001,4,2110002,1,0,0,0,0
,522,,201,3,38,38,3,10000,2110001,4,2110002,1,0,0,0,0
,523,,201,3,39,39,3,10500,2110001,4,2110002,1,0,0,0,0
,524,,201,3,40,40,3,11000,2110001,4,2110002,1,0,0,0,0
,525,,201,3,41,41,4,12000,2110001,6,2110002,2,0,0,0,0
,526,,201,3,42,42,4,13000,2110001,6,2110002,2,0,0,0,0
,527,,201,3,43,43,4,14000,2110001,6,2110002,2,0,0,0,0
,528,,201,3,44,44,4,15000,2110001,6,2110002,2,0,0,0,0
,529,,201,3,45,45,4,16000,2110001,6,2110002,2,0,0,0,0
,530,,201,3,46,46,4,17000,2110001,6,2110002,2,0,0,0,0
,531,,201,3,47,47,4,18000,2110001,6,2110002,2,0,0,0,0
,532,,201,3,48,48,4,19000,2110001,6,2110002,2,0,0,0,0
,533,,201,3,49,49,4,20000,2110001,6,2110002,2,0,0,0,0
,534,,201,3,50,50,4,21000,2110001,6,2110002,2,0,0,0,0
,535,,201,3,51,51,5,22000,2110001,10,2110002,3,2110003,1,0,0
,536,,201,3,52,52,5,23000,2110001,10,2110002,3,2110003,1,0,0
,537,,201,3,53,53,5,24000,2110001,10,2110002,3,2110003,1,0,0
,538,,201,3,54,54,5,25000,2110001,10,2110002,3,2110003,1,0,0
,539,,201,3,55,55,5,26000,2110001,10,2110002,3,2110003,1,0,0
,540,,201,3,56,56,5,27000,2110001,10,2110002,3,2110003,2,0,0
,541,,201,3,57,57,5,28000,2110001,10,2110002,3,2110003,2,0,0
,542,,201,3,58,58,5,29000,2110001,10,2110002,3,2110003,2,0,0
,543,,201,3,59,59,5,30000,2110001,10,2110002,3,2110003,2,0,0
,544,,201,3,60,60,5,31000,2110001,10,2110002,3,2110003,2,0,0
,545,,201,3,61,61,6,32000,2110001,10,2110002,4,2110003,3,0,0
,546,,201,3,62,62,6,33000,2110001,10,2110002,4,2110003,3,0,0
,547,,201,3,63,63,6,34000,2110001,10,2110002,4,2110003,3,0,0
,548,,201,3,64,64,6,35000,2110001,10,2110002,4,2110003,3,0,0
,549,,201,3,65,65,6,36000,2110001,10,2110002,4,2110003,3,0,0
,550,,201,3,66,66,6,37000,2110001,10,2110002,4,2110003,4,2110004,1
,551,,201,3,67,67,6,38000,2110001,10,2110002,4,2110003,4,2110004,1
,552,,201,3,68,68,6,39000,2110001,10,2110002,4,2110003,4,2110004,1
,553,,201,3,69,69,6,40000,2110001,10,2110002,4,2110003,4,2110004,1
,554,,201,3,70,70,6,41000,2110001,10,2110002,4,2110003,4,2110004,1
,555,,201,3,71,71,7,42000,2110001,10,2110002,6,2110003,5,2110004,2
,556,,201,3,72,72,7,43000,2110001,10,2110002,6,2110003,5,2110004,2
,557,,201,3,73,73,7,44000,2110001,10,2110002,6,2110003,5,2110004,2
,558,,201,3,74,74,7,45000,2110001,10,2110002,6,2110003,5,2110004,2
,559,,201,3,75,75,7,46000,2110001,10,2110002,6,2110003,5,2110004,2
,560,,201,3,76,76,7,47000,2110001,10,2110002,6,2110003,6,2110004,3
,561,,201,3,77,77,7,48000,2110001,10,2110002,6,2110003,6,2110004,3
,562,,201,3,78,78,7,49000,2110001,10,2110002,6,2110003,6,2110004,3
,563,,201,3,79,79,7,50000,2110001,10,2110002,6,2110003,6,2110004,3
,564,,201,3,80,80,7,50000,2110001,10,2110002,6,2110003,6,2110004,3
,565,,201,4,1,1,0,100,2110001,1,0,0,0,0,0,0
,566,,201,4,2,2,0,200,2110001,1,0,0,0,0,0,0
,567,,201,4,3,3,0,300,2110001,1,0,0,0,0,0,0
,568,,201,4,4,4,0,400,2110001,1,0,0,0,0,0,0
,569,,201,4,5,5,0,500,2110001,1,0,0,0,0,0,0
,570,,201,4,6,6,0,600,2110001,1,0,0,0,0,0,0
,571,,201,4,7,7,0,700,2110001,1,0,0,0,0,0,0
,572,,201,4,8,8,0,800,2110001,1,0,0,0,0,0,0
,573,,201,4,9,9,0,900,2110001,1,0,0,0,0,0,0
,574,,201,4,10,10,0,1000,2110001,1,0,0,0,0,0,0
,575,,201,4,11,11,1,1200,2110001,2,0,0,0,0,0,0
,576,,201,4,12,12,1,1400,2110001,2,0,0,0,0,0,0
,577,,201,4,13,13,1,1600,2110001,2,0,0,0,0,0,0
,578,,201,4,14,14,1,1800,2110001,2,0,0,0,0,0,0
,579,,201,4,15,15,1,2000,2110001,2,0,0,0,0,0,0
,580,,201,4,16,16,1,2200,2110001,2,0,0,0,0,0,0
,581,,201,4,17,17,1,2400,2110001,2,0,0,0,0,0,0
,582,,201,4,18,18,1,2600,2110001,2,0,0,0,0,0,0
,583,,201,4,19,19,1,2800,2110001,2,0,0,0,0,0,0
,584,,201,4,20,20,1,3000,2110001,2,0,0,0,0,0,0
,585,,201,4,21,21,2,3300,2110001,3,0,0,0,0,0,0
,586,,201,4,22,22,2,3600,2110001,3,0,0,0,0,0,0
,587,,201,4,23,23,2,3900,2110001,3,0,0,0,0,0,0
,588,,201,4,24,24,2,4200,2110001,3,0,0,0,0,0,0
,589,,201,4,25,25,2,4500,2110001,3,0,0,0,0,0,0
,590,,201,4,26,26,2,4800,2110001,3,0,0,0,0,0,0
,591,,201,4,27,27,2,5100,2110001,3,0,0,0,0,0,0
,592,,201,4,28,28,2,5400,2110001,3,0,0,0,0,0,0
,593,,201,4,29,29,2,5700,2110001,3,0,0,0,0,0,0
,594,,201,4,30,30,2,6000,2110001,3,0,0,0,0,0,0
,595,,201,4,31,31,3,6500,2110001,4,2110002,1,0,0,0,0
,596,,201,4,32,32,3,7000,2110001,4,2110002,1,0,0,0,0
,597,,201,4,33,33,3,7500,2110001,4,2110002,1,0,0,0,0
,598,,201,4,34,34,3,8000,2110001,4,2110002,1,0,0,0,0
,599,,201,4,35,35,3,8500,2110001,4,2110002,1,0,0,0,0
,600,,201,4,36,36,3,9000,2110001,4,2110002,1,0,0,0,0
,601,,201,4,37,37,3,9500,2110001,4,2110002,1,0,0,0,0
,602,,201,4,38,38,3,10000,2110001,4,2110002,1,0,0,0,0
,603,,201,4,39,39,3,10500,2110001,4,2110002,1,0,0,0,0
,604,,201,4,40,40,3,11000,2110001,4,2110002,1,0,0,0,0
,605,,201,4,41,41,4,12000,2110001,6,2110002,2,0,0,0,0
,606,,201,4,42,42,4,13000,2110001,6,2110002,2,0,0,0,0
,607,,201,4,43,43,4,14000,2110001,6,2110002,2,0,0,0,0
,608,,201,4,44,44,4,15000,2110001,6,2110002,2,0,0,0,0
,609,,201,4,45,45,4,16000,2110001,6,2110002,2,0,0,0,0
,610,,201,4,46,46,4,17000,2110001,6,2110002,2,0,0,0,0
,611,,201,4,47,47,4,18000,2110001,6,2110002,2,0,0,0,0
,612,,201,4,48,48,4,19000,2110001,6,2110002,2,0,0,0,0
,613,,201,4,49,49,4,20000,2110001,6,2110002,2,0,0,0,0
,614,,201,4,50,50,4,21000,2110001,6,2110002,2,0,0,0,0
,615,,201,4,51,51,5,22000,2110001,10,2110002,3,2110003,1,0,0
,616,,201,4,52,52,5,23000,2110001,10,2110002,3,2110003,1,0,0
,617,,201,4,53,53,5,24000,2110001,10,2110002,3,2110003,1,0,0
,618,,201,4,54,54,5,25000,2110001,10,2110002,3,2110003,1,0,0
,619,,201,4,55,55,5,26000,2110001,10,2110002,3,2110003,1,0,0
,620,,201,4,56,56,5,27000,2110001,10,2110002,3,2110003,2,0,0
,621,,201,4,57,57,5,28000,2110001,10,2110002,3,2110003,2,0,0
,622,,201,4,58,58,5,29000,2110001,10,2110002,3,2110003,2,0,0
,623,,201,4,59,59,5,30000,2110001,10,2110002,3,2110003,2,0,0
,624,,201,4,60,60,5,31000,2110001,10,2110002,3,2110003,2,0,0
,625,,201,4,61,61,6,32000,2110001,10,2110002,4,2110003,3,0,0
,626,,201,4,62,62,6,33000,2110001,10,2110002,4,2110003,3,0,0
,627,,201,4,63,63,6,34000,2110001,10,2110002,4,2110003,3,0,0
,628,,201,4,64,64,6,35000,2110001,10,2110002,4,2110003,3,0,0
,629,,201,4,65,65,6,36000,2110001,10,2110002,4,2110003,3,0,0
,630,,201,4,66,66,6,37000,2110001,10,2110002,4,2110003,4,2110004,1
,631,,201,4,67,67,6,38000,2110001,10,2110002,4,2110003,4,2110004,1
,632,,201,4,68,68,6,39000,2110001,10,2110002,4,2110003,4,2110004,1
,633,,201,4,69,69,6,40000,2110001,10,2110002,4,2110003,4,2110004,1
,634,,201,4,70,70,6,41000,2110001,10,2110002,4,2110003,4,2110004,1
,635,,201,4,71,71,7,42000,2110001,10,2110002,6,2110003,5,2110004,2
,636,,201,4,72,72,7,43000,2110001,10,2110002,6,2110003,5,2110004,2
,637,,201,4,73,73,7,44000,2110001,10,2110002,6,2110003,5,2110004,2
,638,,201,4,74,74,7,45000,2110001,10,2110002,6,2110003,5,2110004,2
,639,,201,4,75,75,7,46000,2110001,10,2110002,6,2110003,5,2110004,2
,640,,201,4,76,76,7,47000,2110001,10,2110002,6,2110003,6,2110004,3
,641,,201,4,77,77,7,48000,2110001,10,2110002,6,2110003,6,2110004,3
,642,,201,4,78,78,7,49000,2110001,10,2110002,6,2110003,6,2110004,3
,643,,201,4,79,79,7,50000,2110001,10,2110002,6,2110003,6,2110004,3
,644,,201,4,80,80,7,50000,2110001,10,2110002,6,2110003,6,2110004,3
,645,,201,1,0,0,0,0,0,0,0,0,0,0,0,0
,646,,201,2,0,0,0,0,0,0,0,0,0,0,0,0
,647,,201,3,0,0,0,0,0,0,0,0,0,0,0,0
,648,,201,4,0,0,0,0,0,0,0,0,0,0,0,0
,649,,301,1,1,1,0,100,2110001,1,0,0,0,0,0,0
,650,,301,1,2,2,0,200,2110001,1,0,0,0,0,0,0
,651,,301,1,3,3,0,300,2110001,1,0,0,0,0,0,0
,652,,301,1,4,4,0,400,2110001,1,0,0,0,0,0,0
,653,,301,1,5,5,0,500,2110001,1,0,0,0,0,0,0
,654,,301,1,6,6,0,600,2110001,1,0,0,0,0,0,0
,655,,301,1,7,7,0,700,2110001,1,0,0,0,0,0,0
,656,,301,1,8,8,0,800,2110001,1,0,0,0,0,0,0
,657,,301,1,9,9,0,900,2110001,1,0,0,0,0,0,0
,658,,301,1,10,10,0,1000,2110001,1,0,0,0,0,0,0
,659,,301,1,11,11,1,1200,2110001,2,0,0,0,0,0,0
,660,,301,1,12,12,1,1400,2110001,2,0,0,0,0,0,0
,661,,301,1,13,13,1,1600,2110001,2,0,0,0,0,0,0
,662,,301,1,14,14,1,1800,2110001,2,0,0,0,0,0,0
,663,,301,1,15,15,1,2000,2110001,2,0,0,0,0,0,0
,664,,301,1,16,16,1,2200,2110001,2,0,0,0,0,0,0
,665,,301,1,17,17,1,2400,2110001,2,0,0,0,0,0,0
,666,,301,1,18,18,1,2600,2110001,2,0,0,0,0,0,0
,667,,301,1,19,19,1,2800,2110001,2,0,0,0,0,0,0
,668,,301,1,20,20,1,3000,2110001,2,0,0,0,0,0,0
,669,,301,1,21,21,2,3300,2110001,3,0,0,0,0,0,0
,670,,301,1,22,22,2,3600,2110001,3,0,0,0,0,0,0
,671,,301,1,23,23,2,3900,2110001,3,0,0,0,0,0,0
,672,,301,1,24,24,2,4200,2110001,3,0,0,0,0,0,0
,673,,301,1,25,25,2,4500,2110001,3,0,0,0,0,0,0
,674,,301,1,26,26,2,4800,2110001,3,0,0,0,0,0,0
,675,,301,1,27,27,2,5100,2110001,3,0,0,0,0,0,0
,676,,301,1,28,28,2,5400,2110001,3,0,0,0,0,0,0
,677,,301,1,29,29,2,5700,2110001,3,0,0,0,0,0,0
,678,,301,1,30,30,2,6000,2110001,3,0,0,0,0,0,0
,679,,301,1,31,31,3,6500,2110001,4,2110002,1,0,0,0,0
,680,,301,1,32,32,3,7000,2110001,4,2110002,1,0,0,0,0
,681,,301,1,33,33,3,7500,2110001,4,2110002,1,0,0,0,0
,682,,301,1,34,34,3,8000,2110001,4,2110002,1,0,0,0,0
,683,,301,1,35,35,3,8500,2110001,4,2110002,1,0,0,0,0
,684,,301,1,36,36,3,9000,2110001,4,2110002,1,0,0,0,0
,685,,301,1,37,37,3,9500,2110001,4,2110002,1,0,0,0,0
,686,,301,1,38,38,3,10000,2110001,4,2110002,1,0,0,0,0
,687,,301,1,39,39,3,10500,2110001,4,2110002,1,0,0,0,0
,688,,301,1,40,40,3,11000,2110001,4,2110002,1,0,0,0,0
,689,,301,1,41,41,4,12000,2110001,6,2110002,2,0,0,0,0
,690,,301,1,42,42,4,13000,2110001,6,2110002,2,0,0,0,0
,691,,301,1,43,43,4,14000,2110001,6,2110002,2,0,0,0,0
,692,,301,1,44,44,4,15000,2110001,6,2110002,2,0,0,0,0
,693,,301,1,45,45,4,16000,2110001,6,2110002,2,0,0,0,0
,694,,301,1,46,46,4,17000,2110001,6,2110002,2,0,0,0,0
