,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,53,0,"0,0,0","0,0,0",,0,0,1,,1,"0.4718263,0.5853521,0.4818554,1",1,
,54,0,"0,0,0","0,0,0",,0,0,1,,1,"0.6557906,0.6358715,0.5757738,1",1,
,56,0,"0,0,0","0,0,0",,0,0,1,,1,"0.561132,0.4999115,0.4387295,1",1,
,57,0,"0,0,0","0,0,0",,0,0,1,,1,"0.6227937,0.6521738,0.6831251,1",1,
,58,0,"0,0,0","0,0,0",,0,0,1,,1,"0.5658021,0.5400263,0.6072232,1",1,
,59,0,"0,0,0","0,0,0",,0,0,1,,1,"0.3851475,0.4867761,0.5555139,1",1,
,60,0,"0,0,0","0,0,0",,0,0,1,,1,"0.5841376,0.3504825,0.3504825,1",1,
,61,0,"0,0,0","0,0,0",,0,0,1,,1,"0.6999383,0.6640571,0.620029,1",1,
,62,0,"0,0,0","0,0,0",,0,0,1,,1,"0.6331095,0.558861,0.5915667,1",1,
,63,0,"0,0,0","0,0,0",,0,0,1,,1,"0.4969299,0.4903381,0.6561214,1",1,
,64,0,"0,0,0","0,0,0",,0,0,1,,1,"0.5814326,0.6124404,0.6477429,1",1,
,65,0,"0,0,0","0,0,0",,0,0,1,,1,"0.5398858,0.6423259,0.5986283,1",1,
,66,0,"0,0,0","0,0,0",,0,0,1,,1,"0.4262347,0.4737462,0.6023213,1",1,"0.04705882,0,0.1137255,1,0,0.2810156,1,1,0.48,0.538"
,67,0,"0,0,0","0,0,0",,0,0,1,,1,"0.5079993,0.5035951,0.6047143,1",1,
,68,0,"0,0,0","0,0,0",,0,0,1,,1,"0.6870676,0.6856764,0.6518431,1",1,
,69,0,"0,0,0","0,0,0",,0,0,1,,1,,1,
,70,0,"0,0,0","0,0,0",,0,0,1,,1,"0.6434255,0.653783,0.6719744,1",1,
,71,0,"0,0,0","0,0,0",,0,0,1,,1,"0.5018458,0.5387308,0.6152186,1",1,
,72,0,"0,0,0","0,0,0",,0,0,1,,1,"0.4605735,0.572684,0.5965613,1",1,
,73,0,"0,0,0","0,0,0",,0,0,1,,1,"0.6140311,0.5931376,0.6712596,1",1,
,74,0,"0,0,0","0,0,0",,0,0,1,,1,"0.5653567,0.4959809,0.6022162,1",1,
,75,0,"0,0,0","0,0,0",,0,0,1,,1,"0.5945593,0.6634383,0.6162627,1",1,
,151,2,"17.87027,2.934151,77.88406","180,17.81,184.4392","0,0,0,0",0,0,2,,0,,0,
,152,2,"21.918,2.8,-18.976","100,10,100","0,0,0,0",0,0,2,,0,,0,
,153,2,"-80.14423,2.226503,63.00219","190.3176,10.97227,158.143","0,0,0,0",0,0,2,,0,,0,
,154,2,"28.42369,0.3498912,43.6671","63.38189,15.89017,124.7136","0,0,0,0",0,0,2,,0,,0,
,155,1,"-250.1486,-17.27334,23.99998","244.7041,35.45344,226.0013","0,0,0,0",0,1,2,,0,,0,
,156,2,"8.027191,10.51717,6.175735","172.3043,21.70123,162.1768","0,0,0,0",0,0,2,,0,,0,
,157,2,"-10.807,6.727,6.94","35.421,13.103,23.624","0,0,0,0",0,0,2,,0,,0,"0,0,0,1,1,1,1,1,0.378,0.561"
,158,2,"-5.200001,-0.0940361,5.700001","100,37.33164,100","0,0,0,0",0,0,2,,0,,0,
,159,2,"-38.447,-0.401,28.392","85,22.312,85","0,0,0,0",0,1,2,,0,,0,
,160,2,"8.7,-24.977,104.6","181.755,139.443,197.258","0,0,0,0",0,1,2,,0,,0,
,161,2,"765.989,-33.66,130.722","197.978,151.303,201.527","0,0,0,0",0,1,2,,0,,0,
,162,2,"1058.4,-29.5,165.8","153.246,158.41,174.746","0,0,0,0",0,1,2,,0,,0,
,163,2,"467.819,502.519,-3.53","1070.52,1026.515,190.23","0,0,0,0",0,0,2,,0,,0,
,164,2,"467.819,502.519,-3.53","1070.52,1026.515,190.23","0,0,0,0",0,0,2,,0,,0,
,165,2,"-3.901,-0.528,77.88","133.218,19.167,244.326","0,0,0,0",0,1,2,,0,,0,
,166,2,"-42.5,-30.4,-3.1","232.25,126.437,251.506","0,0,0,0",0,0,2,,0,,1,
,167,2,"-49.605,23.181,71.779","290.713,144.72,172.057","0,0,0,0",0,0,2,,0,,1,
,168,1,"41.902,1.717,26.634","139.874,36.523,147.915","0,0,0,0",0,1,2,,0,,1,
,169,2,"75.78,-29.538,-15.615","232.697,143.724,225.944","0,0,0,0",0,1,2,,0,,1,
,170,1,"-310.362,-143.88,-2.362","799.033,350.295,799.033","0,0,0,0",0,1,2,,0,,0,
,999,2,"-48.91736,2.934151,-92.96587","180,10,184.4392","0,0,0,0",0,0,0,,0,,0,
,171,2,"-30.161,5.012,30.815","117.973,32.726,120.157","0,0,0,0",0,0,0,,0,,0,
,173,1,"-45.443,-42.575,36.864","410.565,219.573,410.565","0,0,0,0",0,0,0,,0,,0,
