,required,required,optional,required,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,234,101,,3,71,71,7,12300,2110002,3,2110404,2,2110104,1,0,0
,235,101,,3,72,72,7,12600,2110002,3,2110404,2,2110104,1,0,0
,236,101,,3,73,73,7,12900,2110002,3,2110404,2,2110104,1,0,0
,237,101,,3,74,74,7,13200,2110002,3,2110404,2,2110104,1,0,0
,238,101,,3,75,75,7,13500,2110002,3,2110404,2,2110104,1,0,0
,239,101,,3,76,76,7,13800,2110002,4,2110404,3,2110104,1,0,0
,240,101,,3,77,77,7,14100,2110002,4,2110404,3,2110104,1,0,0
,241,101,,3,78,78,7,14400,2110002,4,2110404,3,2110104,1,0,0
,242,101,,3,79,79,7,14700,2110002,4,2110404,3,2110104,1,0,0
,243,101,,3,80,80,7,15000,2110002,4,2110404,3,2110104,1,0,0
,285,101,,4,41,41,4,4200,2110001,5,2110502,3,2110102,1,0,0
,286,101,,4,42,42,4,4400,2110001,5,2110502,3,2110102,1,0,0
,287,101,,4,43,43,4,4600,2110001,5,2110502,3,2110102,1,0,0
,288,101,,4,44,44,4,4800,2110001,5,2110502,3,2110102,1,0,0
,289,101,,4,45,45,4,5000,2110001,5,2110502,5,2110102,2,0,0
,290,101,,4,46,46,4,5200,2110001,5,2110502,5,2110102,2,0,0
,291,101,,4,47,47,4,5400,2110001,5,2110502,5,2110102,2,0,0
,292,101,,4,48,48,4,5600,2110001,5,2110502,5,2110102,2,0,0
,293,101,,4,49,49,4,5800,2110001,5,2110502,5,2110102,2,0,0
,294,101,,4,50,50,4,6000,2110001,5,2110502,5,2110102,2,0,0
,295,101,,4,51,51,5,6300,2110002,1,2110503,2,2110103,1,0,0
,296,101,,4,52,52,5,6600,2110002,1,2110503,2,2110103,1,0,0
,297,101,,4,53,53,5,6900,2110002,1,2110503,2,2110103,1,0,0
,298,101,,4,54,54,5,7200,2110002,1,2110503,2,2110103,1,0,0
,299,101,,4,55,55,5,7500,2110002,1,2110503,2,2110103,1,0,0
,300,101,,4,56,56,5,7800,2110002,2,2110503,2,2110103,1,0,0
,301,101,,4,57,57,5,8100,2110002,2,2110503,2,2110103,1,0,0
,302,101,,4,58,58,5,8400,2110002,2,2110503,2,2110103,1,0,0
,303,101,,4,59,59,5,8700,2110002,2,2110503,2,2110103,1,0,0
,304,101,,4,60,60,5,9000,2110002,2,2110503,2,2110103,1,0,0
,305,101,,4,61,61,6,9300,2110002,2,2110503,3,2110103,1,0,0
,306,101,,4,62,62,6,9600,2110002,2,2110503,3,2110103,1,0,0
,307,101,,4,63,63,6,9900,2110002,2,2110503,3,2110103,1,0,0
,308,101,,4,64,64,6,10200,2110002,2,2110503,3,2110103,1,0,0
,309,101,,4,65,65,6,10500,2110002,2,2110503,3,2110103,1,0,0
,310,101,,4,66,66,6,10800,2110002,3,2110503,3,2110103,1,0,0
,311,101,,4,67,67,6,11100,2110002,3,2110503,3,2110103,1,0,0
,312,101,,4,68,68,6,11400,2110002,3,2110503,3,2110103,1,0,0
,313,101,,4,69,69,6,11700,2110002,3,2110503,3,2110103,1,0,0
,314,101,,4,70,70,6,12000,2110002,3,2110503,3,2110103,1,0,0
,315,101,,4,71,71,7,12300,2110002,3,2110504,2,2110104,1,0,0
,316,101,,4,72,72,7,12600,2110002,3,2110504,2,2110104,1,0,0
,317,101,,4,73,73,7,12900,2110002,3,2110504,2,2110104,1,0,0
,318,101,,4,74,74,7,13200,2110002,3,2110504,2,2110104,1,0,0
,319,101,,4,75,75,7,13500,2110002,3,2110504,2,2110104,1,0,0
,320,101,,4,76,76,7,13800,2110002,4,2110504,3,2110104,1,0,0
,321,101,,4,77,77,7,14100,2110002,4,2110504,3,2110104,1,0,0
,322,101,,4,78,78,7,14400,2110002,4,2110504,3,2110104,1,0,0
,323,101,,4,79,79,7,14700,2110002,4,2110504,3,2110104,1,0,0
,324,101,,4,80,80,7,15000,2110002,4,2110504,3,2110104,1,0,0
,366,301,,1,41,41,4,4200,2110001,5,2110202,3,0,0,0,0
,367,301,,1,42,42,4,4400,2110001,5,2110202,3,0,0,0,0
,368,301,,1,43,43,4,4600,2110001,5,2110202,3,0,0,0,0
,369,301,,1,44,44,4,4800,2110001,5,2110202,3,0,0,0,0
,370,301,,1,45,45,4,5000,2110001,5,2110202,5,0,0,0,0
,371,301,,1,46,46,4,5200,2110001,5,2110202,5,0,0,0,0
,372,301,,1,47,47,4,5400,2110001,5,2110202,5,0,0,0,0
,373,301,,1,48,48,4,5600,2110001,5,2110202,5,0,0,0,0
,374,301,,1,49,49,4,5800,2110001,5,2110202,5,0,0,0,0
,375,301,,1,50,50,4,6000,2110001,5,2110202,5,0,0,0,0
,376,301,,1,51,51,5,6300,2110002,1,2110203,2,0,0,0,0
,377,301,,1,52,52,5,6600,2110002,1,2110203,2,0,0,0,0
,378,301,,1,53,53,5,6900,2110002,1,2110203,2,0,0,0,0
,379,301,,1,54,54,5,7200,2110002,1,2110203,2,0,0,0,0
,380,301,,1,55,55,5,7500,2110002,1,2110203,2,0,0,0,0
,381,301,,1,56,56,5,7800,2110002,2,2110203,2,0,0,0,0
,382,301,,1,57,57,5,8100,2110002,2,2110203,2,0,0,0,0
,383,301,,1,58,58,5,8400,2110002,2,2110203,2,0,0,0,0
,384,301,,1,59,59,5,8700,2110002,2,2110203,2,0,0,0,0
,385,301,,1,60,60,5,9000,2110002,2,2110203,2,0,0,0,0
,386,301,,1,61,61,6,9300,2110002,2,2110203,3,0,0,0,0
,387,301,,1,62,62,6,9600,2110002,2,2110203,3,0,0,0,0
,388,301,,1,63,63,6,9900,2110002,2,2110203,3,0,0,0,0
,389,301,,1,64,64,6,10200,2110002,2,2110203,3,0,0,0,0
,390,301,,1,65,65,6,10500,2110002,2,2110203,3,0,0,0,0
,391,301,,1,66,66,6,10800,2110002,3,2110203,3,0,0,0,0
,392,301,,1,67,67,6,11100,2110002,3,2110203,3,0,0,0,0
,393,301,,1,68,68,6,11400,2110002,3,2110203,3,0,0,0,0
,394,301,,1,69,69,6,11700,2110002,3,2110203,3,0,0,0,0
,395,301,,1,70,70,6,12000,2110002,3,2110203,3,0,0,0,0
,396,301,,1,71,71,7,12300,2110002,3,2110204,2,0,0,0,0
,397,301,,1,72,72,7,12600,2110002,3,2110204,2,0,0,0,0
,398,301,,1,73,73,7,12900,2110002,3,2110204,2,0,0,0,0
,399,301,,1,74,74,7,13200,2110002,3,2110204,2,0,0,0,0
,400,301,,1,75,75,7,13500,2110002,3,2110204,2,0,0,0,0
,401,301,,1,76,76,7,13800,2110002,4,2110204,3,0,0,0,0
,402,301,,1,77,77,7,14100,2110002,4,2110204,3,0,0,0,0
,403,301,,1,78,78,7,14400,2110002,4,2110204,3,0,0,0,0
,404,301,,1,79,79,7,14700,2110002,4,2110204,3,0,0,0,0
,405,301,,1,80,80,7,15000,2110002,4,2110204,3,0,0,0,0
,447,301,,2,41,41,4,4200,2110001,5,2110102,3,0,0,0,0
,448,301,,2,42,42,4,4400,2110001,5,2110102,3,0,0,0,0
,449,301,,2,43,43,4,4600,2110001,5,2110102,3,0,0,0,0
,450,301,,2,44,44,4,4800,2110001,5,2110102,3,0,0,0,0
,451,301,,2,45,45,4,5000,2110001,5,2110102,5,0,0,0,0
,452,301,,2,46,46,4,5200,2110001,5,2110102,5,0,0,0,0
,453,301,,2,47,47,4,5400,2110001,5,2110102,5,0,0,0,0
,454,301,,2,48,48,4,5600,2110001,5,2110102,5,0,0,0,0
,455,301,,2,49,49,4,5800,2110001,5,2110102,5,0,0,0,0
,456,301,,2,50,50,4,6000,2110001,5,2110102,5,0,0,0,0
,457,301,,2,51,51,5,6300,2110002,1,2110103,2,0,0,0,0
,458,301,,2,52,52,5,6600,2110002,1,2110103,2,0,0,0,0
,459,301,,2,53,53,5,6900,2110002,1,2110103,2,0,0,0,0
,460,301,,2,54,54,5,7200,2110002,1,2110103,2,0,0,0,0
,461,301,,2,55,55,5,7500,2110002,1,2110103,2,0,0,0,0
,462,301,,2,56,56,5,7800,2110002,2,2110103,2,0,0,0,0
,463,301,,2,57,57,5,8100,2110002,2,2110103,2,0,0,0,0
,464,301,,2,58,58,5,8400,2110002,2,2110103,2,0,0,0,0
,465,301,,2,59,59,5,8700,2110002,2,2110103,2,0,0,0,0
,466,301,,2,60,60,5,9000,2110002,2,2110103,2,0,0,0,0
,467,301,,2,61,61,6,9300,2110002,2,2110103,3,0,0,0,0
,468,301,,2,62,62,6,9600,2110002,2,2110103,3,0,0,0,0
,469,301,,2,63,63,6,9900,2110002,2,2110103,3,0,0,0,0
,470,301,,2,64,64,6,10200,2110002,2,2110103,3,0,0,0,0
,471,301,,2,65,65,6,10500,2110002,2,2110103,3,0,0,0,0
,472,301,,2,66,66,6,10800,2110002,3,2110103,3,0,0,0,0
,473,301,,2,67,67,6,11100,2110002,3,2110103,3,0,0,0,0
,474,301,,2,68,68,6,11400,2110002,3,2110103,3,0,0,0,0
,475,301,,2,69,69,6,11700,2110002,3,2110103,3,0,0,0,0
,476,301,,2,70,70,6,12000,2110002,3,2110103,3,0,0,0,0
,477,301,,2,71,71,7,12300,2110002,3,2110104,2,0,0,0,0
,478,301,,2,72,72,7,12600,2110002,3,2110104,2,0,0,0,0
,479,301,,2,73,73,7,12900,2110002,3,2110104,2,0,0,0,0
,480,301,,2,74,74,7,13200,2110002,3,2110104,2,0,0,0,0
,481,301,,2,75,75,7,13500,2110002,3,2110104,2,0,0,0,0
,482,301,,2,76,76,7,13800,2110002,4,2110104,3,0,0,0,0
,483,301,,2,77,77,7,14100,2110002,4,2110104,3,0,0,0,0
,484,301,,2,78,78,7,14400,2110002,4,2110104,3,0,0,0,0
,485,301,,2,79,79,7,14700,2110002,4,2110104,3,0,0,0,0
,486,301,,2,80,80,7,15000,2110002,4,2110104,3,0,0,0,0
,528,301,,3,41,41,4,4200,2110001,5,2110402,3,2110102,1,0,0
,529,301,,3,42,42,4,4400,2110001,5,2110402,3,2110102,1,0,0
,530,301,,3,43,43,4,4600,2110001,5,2110402,3,2110102,1,0,0
,531,301,,3,44,44,4,4800,2110001,5,2110402,3,2110102,1,0,0
,532,301,,3,45,45,4,5000,2110001,5,2110402,5,2110102,2,0,0
,533,301,,3,46,46,4,5200,2110001,5,2110402,5,2110102,2,0,0
,534,301,,3,47,47,4,5400,2110001,5,2110402,5,2110102,2,0,0
,535,301,,3,48,48,4,5600,2110001,5,2110402,5,2110102,2,0,0
,536,301,,3,49,49,4,5800,2110001,5,2110402,5,2110102,2,0,0
,537,301,,3,50,50,4,6000,2110001,5,2110402,5,2110102,2,0,0
,538,301,,3,51,51,5,6300,2110002,1,2110403,2,2110103,1,0,0
,539,301,,3,52,52,5,6600,2110002,1,2110403,2,2110103,1,0,0
,540,301,,3,53,53,5,6900,2110002,1,2110403,2,2110103,1,0,0
,541,301,,3,54,54,5,7200,2110002,1,2110403,2,2110103,1,0,0
,542,301,,3,55,55,5,7500,2110002,1,2110403,2,2110103,1,0,0
,543,301,,3,56,56,5,7800,2110002,2,2110403,2,2110103,1,0,0
,544,301,,3,57,57,5,8100,2110002,2,2110403,2,2110103,1,0,0
,545,301,,3,58,58,5,8400,2110002,2,2110403,2,2110103,1,0,0
,546,301,,3,59,59,5,8700,2110002,2,2110403,2,2110103,1,0,0
,547,301,,3,60,60,5,9000,2110002,2,2110403,2,2110103,1,0,0
,548,301,,3,61,61,6,9300,2110002,2,2110403,3,2110103,1,0,0
,549,301,,3,62,62,6,9600,2110002,2,2110403,3,2110103,1,0,0
,550,301,,3,63,63,6,9900,2110002,2,2110403,3,2110103,1,0,0
,551,301,,3,64,64,6,10200,2110002,2,2110403,3,2110103,1,0,0
,552,301,,3,65,65,6,10500,2110002,2,2110403,3,2110103,1,0,0
,553,301,,3,66,66,6,10800,2110002,3,2110403,3,2110103,1,0,0
,554,301,,3,67,67,6,11100,2110002,3,2110403,3,2110103,1,0,0
,555,301,,3,68,68,6,11400,2110002,3,2110403,3,2110103,1,0,0
,556,301,,3,69,69,6,11700,2110002,3,2110403,3,2110103,1,0,0
,557,301,,3,70,70,6,12000,2110002,3,2110403,3,2110103,1,0,0
,558,301,,3,71,71,7,12300,2110002,3,2110404,2,2110104,1,0,0
,559,301,,3,72,72,7,12600,2110002,3,2110404,2,2110104,1,0,0
,560,301,,3,73,73,7,12900,2110002,3,2110404,2,2110104,1,0,0
,561,301,,3,74,74,7,13200,2110002,3,2110404,2,2110104,1,0,0
,562,301,,3,75,75,7,13500,2110002,3,2110404,2,2110104,1,0,0
,563,301,,3,76,76,7,13800,2110002,4,2110404,3,2110104,1,0,0
,564,301,,3,77,77,7,14100,2110002,4,2110404,3,2110104,1,0,0
,565,301,,3,78,78,7,14400,2110002,4,2110404,3,2110104,1,0,0
,566,301,,3,79,79,7,14700,2110002,4,2110404,3,2110104,1,0,0
,567,301,,3,80,80,7,15000,2110002,4,2110404,3,2110104,1,0,0
,609,301,,4,41,41,4,4200,2110001,5,2110502,3,2110102,1,0,0
,610,301,,4,42,42,4,4400,2110001,5,2110502,3,2110102,1,0,0
,611,301,,4,43,43,4,4600,2110001,5,2110502,3,2110102,1,0,0
,612,301,,4,44,44,4,4800,2110001,5,2110502,3,2110102,1,0,0
,613,301,,4,45,45,4,5000,2110001,5,2110502,5,2110102,2,0,0
,614,301,,4,46,46,4,5200,2110001,5,2110502,5,2110102,2,0,0
,615,301,,4,47,47,4,5400,2110001,5,2110502,5,2110102,2,0,0
,616,301,,4,48,48,4,5600,2110001,5,2110502,5,2110102,2,0,0
,617,301,,4,49,49,4,5800,2110001,5,2110502,5,2110102,2,0,0
,618,301,,4,50,50,4,6000,2110001,5,2110502,5,2110102,2,0,0
,619,301,,4,51,51,5,6300,2110002,1,2110503,2,2110103,1,0,0
,620,301,,4,52,52,5,6600,2110002,1,2110503,2,2110103,1,0,0
,621,301,,4,53,53,5,6900,2110002,1,2110503,2,2110103,1,0,0
,622,301,,4,54,54,5,7200,2110002,1,2110503,2,2110103,1,0,0
,623,301,,4,55,55,5,7500,2110002,1,2110503,2,2110103,1,0,0
,624,301,,4,56,56,5,7800,2110002,2,2110503,2,2110103,1,0,0
,625,301,,4,57,57,5,8100,2110002,2,2110503,2,2110103,1,0,0
,626,301,,4,58,58,5,8400,2110002,2,2110503,2,2110103,1,0,0
,627,301,,4,59,59,5,8700,2110002,2,2110503,2,2110103,1,0,0
,628,301,,4,60,60,5,9000,2110002,2,2110503,2,2110103,1,0,0
,629,301,,4,61,61,6,9300,2110002,2,2110503,3,2110103,1,0,0
,630,301,,4,62,62,6,9600,2110002,2,2110503,3,2110103,1,0,0
,631,301,,4,63,63,6,9900,2110002,2,2110503,3,2110103,1,0,0
,632,301,,4,64,64,6,10200,2110002,2,2110503,3,2110103,1,0,0
,633,301,,4,65,65,6,10500,2110002,2,2110503,3,2110103,1,0,0
,634,301,,4,66,66,6,10800,2110002,3,2110503,3,2110103,1,0,0
,635,301,,4,67,67,6,11100,2110002,3,2110503,3,2110103,1,0,0
,636,301,,4,68,68,6,11400,2110002,3,2110503,3,2110103,1,0,0
,637,301,,4,69,69,6,11700,2110002,3,2110503,3,2110103,1,0,0
,638,301,,4,70,70,6,12000,2110002,3,2110503,3,2110103,1,0,0
,639,301,,4,71,71,7,12300,2110002,3,2110504,2,2110104,1,0,0
,640,301,,4,72,72,7,12600,2110002,3,2110504,2,2110104,1,0,0
,641,301,,4,73,73,7,12900,2110002,3,2110504,2,2110104,1,0,0
,642,301,,4,74,74,7,13200,2110002,3,2110504,2,2110104,1,0,0
,643,301,,4,75,75,7,13500,2110002,3,2110504,2,2110104,1,0,0
,644,301,,4,76,76,7,13800,2110002,4,2110504,3,2110104,1,0,0
,645,301,,4,77,77,7,14100,2110002,4,2110504,3,2110104,1,0,0
,646,301,,4,78,78,7,14400,2110002,4,2110504,3,2110104,1,0,0
,647,301,,4,79,79,7,14700,2110002,4,2110504,3,2110104,1,0,0
,648,301,,4,80,80,7,15000,2110002,4,2110504,3,2110104,1,0,0
,690,102,,1,41,41,4,4200,2110001,5,2110202,3,0,0,0,0
,691,102,,1,42,42,4,4400,2110001,5,2110202,3,0,0,0,0
,692,102,,1,43,43,4,4600,2110001,5,2110202,3,0,0,0,0
,693,102,,1,44,44,4,4800,2110001,5,2110202,3,0,0,0,0
,694,102,,1,45,45,4,5000,2110001,5,2110202,5,0,0,0,0
,695,102,,1,46,46,4,5200,2110001,5,2110202,5,0,0,0,0
,696,102,,1,47,47,4,5400,2110001,5,2110202,5,0,0,0,0
,697,102,,1,48,48,4,5600,2110001,5,2110202,5,0,0,0,0
,698,102,,1,49,49,4,5800,2110001,5,2110202,5,0,0,0,0
,699,102,,1,50,50,4,6000,2110001,5,2110202,5,0,0,0,0
,700,102,,1,51,51,5,6300,2110002,1,2110203,2,0,0,0,0
,701,102,,1,52,52,5,6600,2110002,1,2110203,2,0,0,0,0
,702,102,,1,53,53,5,6900,2110002,1,2110203,2,0,0,0,0
,703,102,,1,54,54,5,7200,2110002,1,2110203,2,0,0,0,0
,704,102,,1,55,55,5,7500,2110002,1,2110203,2,0,0,0,0
,705,102,,1,56,56,5,7800,2110002,2,2110203,2,0,0,0,0
,706,102,,1,57,57,5,8100,2110002,2,2110203,2,0,0,0,0
,707,102,,1,58,58,5,8400,2110002,2,2110203,2,0,0,0,0
,708,102,,1,59,59,5,8700,2110002,2,2110203,2,0,0,0,0
,709,102,,1,60,60,5,9000,2110002,2,2110203,2,0,0,0,0
,710,102,,1,61,61,6,9300,2110002,2,2110203,3,0,0,0,0
,711,102,,1,62,62,6,9600,2110002,2,2110203,3,0,0,0,0
,712,102,,1,63,63,6,9900,2110002,2,2110203,3,0,0,0,0
,713,102,,1,64,64,6,10200,2110002,2,2110203,3,0,0,0,0
,714,102,,1,65,65,6,10500,2110002,2,2110203,3,0,0,0,0
,715,102,,1,66,66,6,10800,2110002,3,2110203,3,0,0,0,0
,716,102,,1,67,67,6,11100,2110002,3,2110203,3,0,0,0,0
,717,102,,1,68,68,6,11400,2110002,3,2110203,3,0,0,0,0
,718,102,,1,69,69,6,11700,2110002,3,2110203,3,0,0,0,0
,719,102,,1,70,70,6,12000,2110002,3,2110203,3,0,0,0,0
,720,102,,1,71,71,7,12300,2110002,3,2110204,2,0,0,0,0
,721,102,,1,72,72,7,12600,2110002,3,2110204,2,0,0,0,0
,722,102,,1,73,73,7,12900,2110002,3,2110204,2,0,0,0,0
,723,102,,1,74,74,7,13200,2110002,3,2110204,2,0,0,0,0
,724,102,,1,75,75,7,13500,2110002,3,2110204,2,0,0,0,0
,725,102,,1,76,76,7,13800,2110002,4,2110204,3,0,0,0,0
,726,102,,1,77,77,7,14100,2110002,4,2110204,3,0,0,0,0
,727,102,,1,78,78,7,14400,2110002,4,2110204,3,0,0,0,0
,728,102,,1,79,79,7,14700,2110002,4,2110204,3,0,0,0,0
,729,102,,1,80,80,7,15000,2110002,4,2110204,3,0,0,0,0
,771,102,,2,41,41,4,4200,2110001,5,2110102,3,0,0,0,0
