,required,optional,required,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,27,,1,27,27,2,5100,2110001,3,0,0,0,0,0,0
,28,,1,28,28,2,5400,2110001,3,0,0,0,0,0,0
,29,,1,29,29,2,5700,2110001,3,0,0,0,0,0,0
,30,,1,30,30,2,6000,2110001,3,0,0,0,0,0,0
,31,,1,31,31,3,6500,2110001,4,2110002,1,0,0,0,0
,32,,1,32,32,3,7000,2110001,4,2110002,1,0,0,0,0
,33,,1,33,33,3,7500,2110001,4,2110002,1,0,0,0,0
,34,,1,34,34,3,8000,2110001,4,2110002,1,0,0,0,0
,35,,1,35,35,3,8500,2110001,4,2110002,1,0,0,0,0
,36,,1,36,36,3,9000,2110001,4,2110002,1,0,0,0,0
,37,,1,37,37,3,9500,2110001,4,2110002,1,0,0,0,0
,38,,1,38,38,3,10000,2110001,4,2110002,1,0,0,0,0
,39,,1,39,39,3,10500,2110001,4,2110002,1,0,0,0,0
,40,,1,40,40,3,11000,2110001,4,2110002,1,0,0,0,0
,41,,1,41,41,4,12000,2110001,6,2110002,2,0,0,0,0
,42,,1,42,42,4,13000,2110001,6,2110002,2,0,0,0,0
,43,,1,43,43,4,14000,2110001,6,2110002,2,0,0,0,0
,44,,1,44,44,4,15000,2110001,6,2110002,2,0,0,0,0
,45,,1,45,45,4,16000,2110001,6,2110002,2,0,0,0,0
,46,,1,46,46,4,17000,2110001,6,2110002,2,0,0,0,0
,47,,1,47,47,4,18000,2110001,6,2110002,2,0,0,0,0
,48,,1,48,48,4,19000,2110001,6,2110002,2,0,0,0,0
,49,,1,49,49,4,20000,2110001,6,2110002,2,0,0,0,0
,50,,1,50,50,4,21000,2110001,6,2110002,2,0,0,0,0
,51,,1,51,51,5,22000,2110001,10,2110002,3,2110003,1,0,0
,52,,1,52,52,5,23000,2110001,10,2110002,3,2110003,1,0,0
,53,,1,53,53,5,24000,2110001,10,2110002,3,2110003,1,0,0
,54,,1,54,54,5,25000,2110001,10,2110002,3,2110003,1,0,0
,55,,1,55,55,5,26000,2110001,10,2110002,3,2110003,1,0,0
,56,,1,56,56,5,27000,2110001,10,2110002,3,2110003,2,0,0
,57,,1,57,57,5,28000,2110001,10,2110002,3,2110003,2,0,0
,58,,1,58,58,5,29000,2110001,10,2110002,3,2110003,2,0,0
,59,,1,59,59,5,30000,2110001,10,2110002,3,2110003,2,0,0
,60,,1,60,60,5,31000,2110001,10,2110002,3,2110003,2,0,0
,61,,1,61,61,6,32000,2110001,10,2110002,4,2110003,3,0,0
,62,,1,62,62,6,33000,2110001,10,2110002,4,2110003,3,0,0
,63,,1,63,63,6,34000,2110001,10,2110002,4,2110003,3,0,0
,64,,1,64,64,6,35000,2110001,10,2110002,4,2110003,3,0,0
,65,,1,65,65,6,36000,2110001,10,2110002,4,2110003,3,0,0
,66,,1,66,66,6,37000,2110001,10,2110002,4,2110003,4,2110004,1
,67,,1,67,67,6,38000,2110001,10,2110002,4,2110003,4,2110004,1
,68,,1,68,68,6,39000,2110001,10,2110002,4,2110003,4,2110004,1
,69,,1,69,69,6,40000,2110001,10,2110002,4,2110003,4,2110004,1
,70,,1,70,70,6,41000,2110001,10,2110002,4,2110003,4,2110004,1
,71,,1,71,71,7,42000,2110001,10,2110002,6,2110003,5,2110004,2
,72,,1,72,72,7,43000,2110001,10,2110002,6,2110003,5,2110004,2
,73,,1,73,73,7,44000,2110001,10,2110002,6,2110003,5,2110004,2
,74,,1,74,74,7,45000,2110001,10,2110002,6,2110003,5,2110004,2
,75,,1,75,75,7,46000,2110001,10,2110002,6,2110003,5,2110004,2
,76,,1,76,76,7,47000,2110001,10,2110002,6,2110003,6,2110004,3
,77,,1,77,77,7,48000,2110001,10,2110002,6,2110003,6,2110004,3
,78,,1,78,78,7,49000,2110001,10,2110002,6,2110003,6,2110004,3
,79,,1,79,79,7,50000,2110001,10,2110002,6,2110003,6,2110004,3
,80,,1,80,80,7,50000,2110001,10,2110002,6,2110003,6,2110004,3
,81,,2,1,1,0,100,2110001,1,0,0,0,0,0,0
,82,,2,2,2,0,200,2110001,1,0,0,0,0,0,0
,83,,2,3,3,0,300,2110001,1,0,0,0,0,0,0
,84,,2,4,4,0,400,2110001,1,0,0,0,0,0,0
,85,,2,5,5,0,500,2110001,1,0,0,0,0,0,0
,86,,2,6,6,0,600,2110001,1,0,0,0,0,0,0
,87,,2,7,7,0,700,2110001,1,0,0,0,0,0,0
,88,,2,8,8,0,800,2110001,1,0,0,0,0,0,0
,89,,2,9,9,0,900,2110001,1,0,0,0,0,0,0
,90,,2,10,10,0,1000,2110001,1,0,0,0,0,0,0
,91,,2,11,11,1,1200,2110001,2,0,0,0,0,0,0
,92,,2,12,12,1,1400,2110001,2,0,0,0,0,0,0
,93,,2,13,13,1,1600,2110001,2,0,0,0,0,0,0
,94,,2,14,14,1,1800,2110001,2,0,0,0,0,0,0
,95,,2,15,15,1,2000,2110001,2,0,0,0,0,0,0
,96,,2,16,16,1,2200,2110001,2,0,0,0,0,0,0
,97,,2,17,17,1,2400,2110001,2,0,0,0,0,0,0
,98,,2,18,18,1,2600,2110001,2,0,0,0,0,0,0
,99,,2,19,19,1,2800,2110001,2,0,0,0,0,0,0
,100,,2,20,20,1,3000,2110001,2,0,0,0,0,0,0
,101,,2,21,21,2,3300,2110001,3,0,0,0,0,0,0
,102,,2,22,22,2,3600,2110001,3,0,0,0,0,0,0
,103,,2,23,23,2,3900,2110001,3,0,0,0,0,0,0
,104,,2,24,24,2,4200,2110001,3,0,0,0,0,0,0
,105,,2,25,25,2,4500,2110001,3,0,0,0,0,0,0
,106,,2,26,26,2,4800,2110001,3,0,0,0,0,0,0
,107,,2,27,27,2,5100,2110001,3,0,0,0,0,0,0
,108,,2,28,28,2,5400,2110001,3,0,0,0,0,0,0
,109,,2,29,29,2,5700,2110001,3,0,0,0,0,0,0
,110,,2,30,30,2,6000,2110001,3,0,0,0,0,0,0
,111,,2,31,31,3,6500,2110001,4,2110002,1,0,0,0,0
,112,,2,32,32,3,7000,2110001,4,2110002,1,0,0,0,0
,113,,2,33,33,3,7500,2110001,4,2110002,1,0,0,0,0
,114,,2,34,34,3,8000,2110001,4,2110002,1,0,0,0,0
,115,,2,35,35,3,8500,2110001,4,2110002,1,0,0,0,0
,116,,2,36,36,3,9000,2110001,4,2110002,1,0,0,0,0
,117,,2,37,37,3,9500,2110001,4,2110002,1,0,0,0,0
,118,,2,38,38,3,10000,2110001,4,2110002,1,0,0,0,0
,119,,2,39,39,3,10500,2110001,4,2110002,1,0,0,0,0
,120,,2,40,40,3,11000,2110001,4,2110002,1,0,0,0,0
,121,,2,41,41,4,12000,2110001,6,2110002,2,0,0,0,0
,122,,2,42,42,4,13000,2110001,6,2110002,2,0,0,0,0
,123,,2,43,43,4,14000,2110001,6,2110002,2,0,0,0,0
,124,,2,44,44,4,15000,2110001,6,2110002,2,0,0,0,0
,125,,2,45,45,4,16000,2110001,6,2110002,2,0,0,0,0
,126,,2,46,46,4,17000,2110001,6,2110002,2,0,0,0,0
,127,,2,47,47,4,18000,2110001,6,2110002,2,0,0,0,0
,128,,2,48,48,4,19000,2110001,6,2110002,2,0,0,0,0
,129,,2,49,49,4,20000,2110001,6,2110002,2,0,0,0,0
,130,,2,50,50,4,21000,2110001,6,2110002,2,0,0,0,0
,131,,2,51,51,5,22000,2110001,10,2110002,3,2110003,1,0,0
,132,,2,52,52,5,23000,2110001,10,2110002,3,2110003,1,0,0
,133,,2,53,53,5,24000,2110001,10,2110002,3,2110003,1,0,0
,134,,2,54,54,5,25000,2110001,10,2110002,3,2110003,1,0,0
,135,,2,55,55,5,26000,2110001,10,2110002,3,2110003,1,0,0
,136,,2,56,56,5,27000,2110001,10,2110002,3,2110003,2,0,0
,137,,2,57,57,5,28000,2110001,10,2110002,3,2110003,2,0,0
,138,,2,58,58,5,29000,2110001,10,2110002,3,2110003,2,0,0
,139,,2,59,59,5,30000,2110001,10,2110002,3,2110003,2,0,0
,140,,2,60,60,5,31000,2110001,10,2110002,3,2110003,2,0,0
,141,,2,61,61,6,32000,2110001,10,2110002,4,2110003,3,0,0
,142,,2,62,62,6,33000,2110001,10,2110002,4,2110003,3,0,0
,143,,2,63,63,6,34000,2110001,10,2110002,4,2110003,3,0,0
,144,,2,64,64,6,35000,2110001,10,2110002,4,2110003,3,0,0
,145,,2,65,65,6,36000,2110001,10,2110002,4,2110003,3,0,0
,146,,2,66,66,6,37000,2110001,10,2110002,4,2110003,4,2110004,1
,147,,2,67,67,6,38000,2110001,10,2110002,4,2110003,4,2110004,1
,148,,2,68,68,6,39000,2110001,10,2110002,4,2110003,4,2110004,1
,149,,2,69,69,6,40000,2110001,10,2110002,4,2110003,4,2110004,1
,150,,2,70,70,6,41000,2110001,10,2110002,4,2110003,4,2110004,1
,151,,2,71,71,7,42000,2110001,10,2110002,6,2110003,5,2110004,2
,152,,2,72,72,7,43000,2110001,10,2110002,6,2110003,5,2110004,2
,153,,2,73,73,7,44000,2110001,10,2110002,6,2110003,5,2110004,2
,154,,2,74,74,7,45000,2110001,10,2110002,6,2110003,5,2110004,2
,155,,2,75,75,7,46000,2110001,10,2110002,6,2110003,5,2110004,2
,156,,2,76,76,7,47000,2110001,10,2110002,6,2110003,6,2110004,3
,157,,2,77,77,7,48000,2110001,10,2110002,6,2110003,6,2110004,3
,158,,2,78,78,7,49000,2110001,10,2110002,6,2110003,6,2110004,3
,159,,2,79,79,7,50000,2110001,10,2110002,6,2110003,6,2110004,3
,160,,2,80,80,7,50000,2110001,10,2110002,6,2110003,6,2110004,3
,161,,3,1,1,0,100,2110001,1,0,0,0,0,0,0
,162,,3,2,2,0,200,2110001,1,0,0,0,0,0,0
,163,,3,3,3,0,300,2110001,1,0,0,0,0,0,0
,164,,3,4,4,0,400,2110001,1,0,0,0,0,0,0
,165,,3,5,5,0,500,2110001,1,0,0,0,0,0,0
,166,,3,6,6,0,600,2110001,1,0,0,0,0,0,0
,167,,3,7,7,0,700,2110001,1,0,0,0,0,0,0
,168,,3,8,8,0,800,2110001,1,0,0,0,0,0,0
,169,,3,9,9,0,900,2110001,1,0,0,0,0,0,0
,170,,3,10,10,0,1000,2110001,1,0,0,0,0,0,0
,171,,3,11,11,1,1200,2110001,2,0,0,0,0,0,0
,172,,3,12,12,1,1400,2110001,2,0,0,0,0,0,0
,173,,3,13,13,1,1600,2110001,2,0,0,0,0,0,0
,174,,3,14,14,1,1800,2110001,2,0,0,0,0,0,0
,175,,3,15,15,1,2000,2110001,2,0,0,0,0,0,0
,176,,3,16,16,1,2200,2110001,2,0,0,0,0,0,0
,177,,3,17,17,1,2400,2110001,2,0,0,0,0,0,0
,178,,3,18,18,1,2600,2110001,2,0,0,0,0,0,0
,179,,3,19,19,1,2800,2110001,2,0,0,0,0,0,0
,180,,3,20,20,1,3000,2110001,2,0,0,0,0,0,0
,181,,3,21,21,2,3300,2110001,3,0,0,0,0,0,0
,182,,3,22,22,2,3600,2110001,3,0,0,0,0,0,0
,183,,3,23,23,2,3900,2110001,3,0,0,0,0,0,0
,184,,3,24,24,2,4200,2110001,3,0,0,0,0,0,0
,185,,3,25,25,2,4500,2110001,3,0,0,0,0,0,0
,186,,3,26,26,2,4800,2110001,3,0,0,0,0,0,0
,187,,3,27,27,2,5100,2110001,3,0,0,0,0,0,0
,188,,3,28,28,2,5400,2110001,3,0,0,0,0,0,0
,189,,3,29,29,2,5700,2110001,3,0,0,0,0,0,0
,190,,3,30,30,2,6000,2110001,3,0,0,0,0,0,0
,191,,3,31,31,3,6500,2110001,4,2110002,1,0,0,0,0
,192,,3,32,32,3,7000,2110001,4,2110002,1,0,0,0,0
,193,,3,33,33,3,7500,2110001,4,2110002,1,0,0,0,0
,194,,3,34,34,3,8000,2110001,4,2110002,1,0,0,0,0
,195,,3,35,35,3,8500,2110001,4,2110002,1,0,0,0,0
,196,,3,36,36,3,9000,2110001,4,2110002,1,0,0,0,0
,197,,3,37,37,3,9500,2110001,4,2110002,1,0,0,0,0
,198,,3,38,38,3,10000,2110001,4,2110002,1,0,0,0,0
,199,,3,39,39,3,10500,2110001,4,2110002,1,0,0,0,0
,200,,3,40,40,3,11000,2110001,4,2110002,1,0,0,0,0
,201,,3,41,41,4,12000,2110001,6,2110002,2,0,0,0,0
,202,,3,42,42,4,13000,2110001,6,2110002,2,0,0,0,0
,203,,3,43,43,4,14000,2110001,6,2110002,2,0,0,0,0
,204,,3,44,44,4,15000,2110001,6,2110002,2,0,0,0,0
,205,,3,45,45,4,16000,2110001,6,2110002,2,0,0,0,0
,206,,3,46,46,4,17000,2110001,6,2110002,2,0,0,0,0
,207,,3,47,47,4,18000,2110001,6,2110002,2,0,0,0,0
,208,,3,48,48,4,19000,2110001,6,2110002,2,0,0,0,0
,209,,3,49,49,4,20000,2110001,6,2110002,2,0,0,0,0
,210,,3,50,50,4,21000,2110001,6,2110002,2,0,0,0,0
,211,,3,51,51,5,22000,2110001,10,2110002,3,2110003,1,0,0
,212,,3,52,52,5,23000,2110001,10,2110002,3,2110003,1,0,0
,213,,3,53,53,5,24000,2110001,10,2110002,3,2110003,1,0,0
,214,,3,54,54,5,25000,2110001,10,2110002,3,2110003,1,0,0
,215,,3,55,55,5,26000,2110001,10,2110002,3,2110003,1,0,0
,216,,3,56,56,5,27000,2110001,10,2110002,3,2110003,2,0,0
,217,,3,57,57,5,28000,2110001,10,2110002,3,2110003,2,0,0
,218,,3,58,58,5,29000,2110001,10,2110002,3,2110003,2,0,0
,219,,3,59,59,5,30000,2110001,10,2110002,3,2110003,2,0,0
,220,,3,60,60,5,31000,2110001,10,2110002,3,2110003,2,0,0
,221,,3,61,61,6,32000,2110001,10,2110002,4,2110003,3,0,0
,222,,3,62,62,6,33000,2110001,10,2110002,4,2110003,3,0,0
,223,,3,63,63,6,34000,2110001,10,2110002,4,2110003,3,0,0
,224,,3,64,64,6,35000,2110001,10,2110002,4,2110003,3,0,0
,225,,3,65,65,6,36000,2110001,10,2110002,4,2110003,3,0,0
,226,,3,66,66,6,37000,2110001,10,2110002,4,2110003,4,2110004,1
,227,,3,67,67,6,38000,2110001,10,2110002,4,2110003,4,2110004,1
,228,,3,68,68,6,39000,2110001,10,2110002,4,2110003,4,2110004,1
,229,,3,69,69,6,40000,2110001,10,2110002,4,2110003,4,2110004,1
,230,,3,70,70,6,41000,2110001,10,2110002,4,2110003,4,2110004,1
,231,,3,71,71,7,42000,2110001,10,2110002,6,2110003,5,2110004,2
,232,,3,72,72,7,43000,2110001,10,2110002,6,2110003,5,2110004,2
,233,,3,73,73,7,44000,2110001,10,2110002,6,2110003,5,2110004,2
,234,,3,74,74,7,45000,2110001,10,2110002,6,2110003,5,2110004,2
,235,,3,75,75,7,46000,2110001,10,2110002,6,2110003,5,2110004,2
,236,,3,76,76,7,47000,2110001,10,2110002,6,2110003,6,2110004,3
,237,,3,77,77,7,48000,2110001,10,2110002,6,2110003,6,2110004,3
,238,,3,78,78,7,49000,2110001,10,2110002,6,2110003,6,2110004,3
,239,,3,79,79,7,50000,2110001,10,2110002,6,2110003,6,2110004,3
,240,,3,80,80,7,50000,2110001,10,2110002,6,2110003,6,2110004,3
,241,,4,1,1,0,100,2110001,1,0,0,0,0,0,0
,242,,4,2,2,0,200,2110001,1,0,0,0,0,0,0
,243,,4,3,3,0,300,2110001,1,0,0,0,0,0,0
,244,,4,4,4,0,400,2110001,1,0,0,0,0,0,0
,245,,4,5,5,0,500,2110001,1,0,0,0,0,0,0
,246,,4,6,6,0,600,2110001,1,0,0,0,0,0,0
,247,,4,7,7,0,700,2110001,1,0,0,0,0,0,0
,248,,4,8,8,0,800,2110001,1,0,0,0,0,0,0
,249,,4,9,9,0,900,2110001,1,0,0,0,0,0,0
,250,,4,10,10,0,1000,2110001,1,0,0,0,0,0,0
,251,,4,11,11,1,1200,2110001,2,0,0,0,0,0,0
,252,,4,12,12,1,1400,2110001,2,0,0,0,0,0,0
,253,,4,13,13,1,1600,2110001,2,0,0,0,0,0,0
,254,,4,14,14,1,1800,2110001,2,0,0,0,0,0,0
,255,,4,15,15,1,2000,2110001,2,0,0,0,0,0,0
,256,,4,16,16,1,2200,2110001,2,0,0,0,0,0,0
,257,,4,17,17,1,2400,2110001,2,0,0,0,0,0,0
,258,,4,18,18,1,2600,2110001,2,0,0,0,0,0,0
,259,,4,19,19,1,2800,2110001,2,0,0,0,0,0,0
,260,,4,20,20,1,3000,2110001,2,0,0,0,0,0,0
,261,,4,21,21,2,3300,2110001,3,0,0,0,0,0,0
,262,,4,22,22,2,3600,2110001,3,0,0,0,0,0,0
,263,,4,23,23,2,3900,2110001,3,0,0,0,0,0,0
,264,,4,24,24,2,4200,2110001,3,0,0,0,0,0,0
,265,,4,25,25,2,4500,2110001,3,0,0,0,0,0,0
,266,,4,26,26,2,4800,2110001,3,0,0,0,0,0,0
,267,,4,27,27,2,5100,2110001,3,0,0,0,0,0,0
,268,,4,28,28,2,5400,2110001,3,0,0,0,0,0,0
,269,,4,29,29,2,5700,2110001,3,0,0,0,0,0,0
,270,,4,30,30,2,6000,2110001,3,0,0,0,0,0,0
,271,,4,31,31,3,6500,2110001,4,2110002,1,0,0,0,0
,272,,4,32,32,3,7000,2110001,4,2110002,1,0,0,0,0
,273,,4,33,33,3,7500,2110001,4,2110002,1,0,0,0,0
,274,,4,34,34,3,8000,2110001,4,2110002,1,0,0,0,0
,275,,4,35,35,3,8500,2110001,4,2110002,1,0,0,0,0
,276,,4,36,36,3,9000,2110001,4,2110002,1,0,0,0,0
,277,,4,37,37,3,9500,2110001,4,2110002,1,0,0,0,0
,278,,4,38,38,3,10000,2110001,4,2110002,1,0,0,0,0
,279,,4,39,39,3,10500,2110001,4,2110002,1,0,0,0,0
,280,,4,40,40,3,11000,2110001,4,2110002,1,0,0,0,0
,281,,4,41,41,4,12000,2110001,6,2110002,2,0,0,0,0
,282,,4,42,42,4,13000,2110001,6,2110002,2,0,0,0,0
,283,,4,43,43,4,14000,2110001,6,2110002,2,0,0,0,0
,284,,4,44,44,4,15000,2110001,6,2110002,2,0,0,0,0
,285,,4,45,45,4,16000,2110001,6,2110002,2,0,0,0,0
,286,,4,46,46,4,17000,2110001,6,2110002,2,0,0,0,0
,287,,4,47,47,4,18000,2110001,6,2110002,2,0,0,0,0
,288,,4,48,48,4,19000,2110001,6,2110002,2,0,0,0,0
,289,,4,49,49,4,20000,2110001,6,2110002,2,0,0,0,0
,290,,4,50,50,4,21000,2110001,6,2110002,2,0,0,0,0
,291,,4,51,51,5,22000,2110001,10,2110002,3,2110003,1,0,0
,292,,4,52,52,5,23000,2110001,10,2110002,3,2110003,1,0,0
,293,,4,53,53,5,24000,2110001,10,2110002,3,2110003,1,0,0
,294,,4,54,54,5,25000,2110001,10,2110002,3,2110003,1,0,0
,295,,4,55,55,5,26000,2110001,10,2110002,3,2110003,1,0,0
,296,,4,56,56,5,27000,2110001,10,2110002,3,2110003,2,0,0
,297,,4,57,57,5,28000,2110001,10,2110002,3,2110003,2,0,0
,298,,4,58,58,5,29000,2110001,10,2110002,3,2110003,2,0,0
,299,,4,59,59,5,30000,2110001,10,2110002,3,2110003,2,0,0
,300,,4,60,60,5,31000,2110001,10,2110002,3,2110003,2,0,0
,301,,4,61,61,6,32000,2110001,10,2110002,4,2110003,3,0,0
,302,,4,62,62,6,33000,2110001,10,2110002,4,2110003,3,0,0
,303,,4,63,63,6,34000,2110001,10,2110002,4,2110003,3,0,0
,304,,4,64,64,6,35000,2110001,10,2110002,4,2110003,3,0,0
,305,,4,65,65,6,36000,2110001,10,2110002,4,2110003,3,0,0
,306,,4,66,66,6,37000,2110001,10,2110002,4,2110003,4,2110004,1
,307,,4,67,67,6,38000,2110001,10,2110002,4,2110003,4,2110004,1
,308,,4,68,68,6,39000,2110001,10,2110002,4,2110003,4,2110004,1
,309,,4,69,69,6,40000,2110001,10,2110002,4,2110003,4,2110004,1
,310,,4,70,70,6,41000,2110001,10,2110002,4,2110003,4,2110004,1
,311,,4,71,71,7,42000,2110001,10,2110002,6,2110003,5,2110004,2
,312,,4,72,72,7,43000,2110001,10,2110002,6,2110003,5,2110004,2
,313,,4,73,73,7,44000,2110001,10,2110002,6,2110003,5,2110004,2
,314,,4,74,74,7,45000,2110001,10,2110002,6,2110003,5,2110004,2
,315,,4,75,75,7,46000,2110001,10,2110002,6,2110003,5,2110004,2
,316,,4,76,76,7,47000,2110001,10,2110002,6,2110003,6,2110004,3
,317,,4,77,77,7,48000,2110001,10,2110002,6,2110003,6,2110004,3
,318,,4,78,78,7,49000,2110001,10,2110002,6,2110003,6,2110004,3
,319,,4,79,79,7,50000,2110001,10,2110002,6,2110003,6,2110004,3
,320,,4,80,80,7,50000,2110001,10,2110002,6,2110003,6,2110004,3
,321,,1,0,0,0,0,0,0,0,0,0,0,0,0
,322,,2,0,0,0,0,0,0,0,0,0,0,0,0
,323,,3,0,0,0,0,0,0,0,0,0,0,0,0
,324,,4,0,0,0,0,0,0,0,0,0,0,0,0
