,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,20010,2001,,0,1,金斯特,0,0,1,103,0,,
,20011,2001,,0,1,夜崎隐,0,0,1,103,0,,
,20012,2001,,0,1,哈扎克,0,0,1,103,0,,
,20013,2001,,0,1,哈扎克,0,0,1,103,0,,
,20014,2001,,0,1,山岭巨人,0,0,1,103,0,,
,20021,3021,"4,4,4",0,1,萨莎,0,0,1,2024,0,,
,20036,3032,,0,1,诺尔,0,0,1,52010,0,,
,20046,2001,,0,1,由莉,0,0,1,2015,0,,
,20047,2001,,0,1,海莉大妈,0,0,1,2023,0,,
,20048,2001,,0,1,镇民伊芙,0,0,1,2022,0,,
,20049,2001,"4,4,4",1,1,少女,0,0,1,2017,0,,
,20051,2001,"4,4,4",1,1,麦提,0,0,1,2026,0,,
,20053,1000,"4,4,4",1,1,占星师米勒,0,0,1,9999999,0,,
,20057,2001,"5,5,5",0,1,库伯拉长老,0,0,1,2000,0,,
,20058,2001,"5,5,5",0,1,安可,0,0,1,2018,0,,
,20059,2001,,0,1,卡尔,0,0,1,2026,0,,
,20060,2001,,0,1,菲丝,0,0,1,2022,0,,
,20061,2001,,0,1,莫克夫,0,0,1,2009,0,,
,20062,2001,"3,3,3",0,1,金斯特,0,0,1,2007,0,,
,20063,2001,"3,3,3",0,1,哈扎克,0,0,1,2071,0,,
,20066,2001,,0,1,联盟办事员,0,0,1,2019,0,,
,20067,2001,,0,1,捉迷藏的小女孩,0,0,1,2024,0,,
,20071,2001,,0,1,芙妮,0,0,1,2022,0,,
,20072,2001,,0,1,库里奇,0,0,1,2021,0,,
,20076,2001,"4,4,4",0,1,秘密探员,0,0,1,10002,0,,
,20077,2001,"4,4,4",0,1,小男孩杰瑞,0,0,1,103,0,,
,20078,2001,,0,1,杰瑞妈妈,0,0,1,103,0,,
,20079,2001,"4,4,4",0,1,希尔,0,0,1,2019,0,,
,20081,2001,"3,3,3",0,1,哥布林德雷克,0,0,1,10005,0,,
,20082,2001,"3,3,3",0,1,赫丽,0,0,1,2017,0,,
,20083,2001,,0,1,缪吉克辉,0,0,1,2004,0,,
,20085,2001,"7,7,7",0,1,先驱者1号,0,0,1,10016,0,,
,20086,2001,"4,4,4",0,1,联盟办事员,0,0,1,2021,0,,
,20087,2001,,0,1,难民沙多曼,0,0,1,103,0,,
,20088,2001,,0,1,难民皮卡德,0,0,1,103,0,,
,20089,2001,,0,1,难民普利扎,0,0,1,103,0,,
,20090,2001,"4,4,4",0,1,强盗珀纳,0,0,1,10002,0,,
嗜血死神萨米尔,20092,3034,"0,0,0",0,1,,0,0,1,10035,0,,
,20094,2001,"3,3,3",0,1,泽欧密探,0,0,1,2021,0,,
,20095,2001,"3,3,3",0,1,佣兵托尼,0,0,1,2019,0,,
,20096,2001,,0,1,吟游诗人,0,0,1,103,0,,
,20097,2001,,0,1,狼人基德,0,0,1,10026,0,,
,20098,2001,,0,1,狼人基德,0,0,1,103,0,,
,20099,2001,,0,1,狼人基德,0,0,1,103,0,,
,20100,2001,,0,1,狼人基德,0,0,1,103,0,,
,20103,2001,"4,4,4",0,1,食人怪奥顿,0,0,1,10012,0,,
,20105,2001,,0,1,失踪的士兵,0,0,1,103,0,,
,20106,2001,,0,1,失踪的士兵,0,0,1,103,0,,
,20107,2001,,0,1,失踪的士兵,0,0,1,103,0,,
,20108,1002,,0,1,赫丽,0,0,1,2020,0,,
,20109,2002,"0,0,0",0,8,昏迷的泰雷,0,0,1,102,0,,
,20110,2002,,0,1,泰雷,0,0,1,102,0,,
贪婪,20111,3034,"0,0,0",0,1,,0,0,1,10031,0,,
,20112,1001,"3,3,3",0,1,铁臂安道夫,0,0,1,2055,0,,
,20113,1001,,0,1,伦纳德,0,0,1,2051,0,,
,20114,1001,"5,5,5",0,1,,0,0,1,99999999,0,,
,20115,1001,"3,3,3",0,1,<巡查>比多猫,0,0,1,2054,0,,
,20116,1001,,0,1,艾赛尔,0,0,1,2052,0,,
,20117,1000,"4,4,4",0,1,莱克,0,0,1,10032,0,,
,20124,2001,,0,1,由莉,0,0,1,2015,0,,
卫兵,20125,1000,"0,0,0",0,1,,0,0,1,52011,0,,
,20126,2001,"4,4,4",0,1,邦妮,0,0,1,2016,0,,
,20127,2001,"4,4,4",0,1,肖恩,0,0,1,2019,0,,
,20129,2001,"3,3,3",0,1,诺尔,0,0,1,52009,0,,
,20130,2001,"0,0,0",0,1,诺尔,0,0,1,52009,0,,
,20131,2001,"3,3,3",0,1,赫丽,0,0,1,2017,0,,
,20132,2001,,0,1,劫匪,0,0,1,10002,0,,
,20138,2001,"0,0,0",1,1,镇民,0,0,1,2021,0,,
,20139,2001,,0,1,茶店老板齐娜,0,0,1,2008,0,,
,20140,2001,,0,1,酒馆老板佐伊,0,0,1,2001,0,,
,20141,2001,,0,1,旅行者艾力,0,0,1,2003,0,,
,20142,2001,,0,1,艾德蒙,0,0,1,2005,0,,
,20143,2001,,0,1,瑞茜,0,0,1,2010,0,,
,20144,2001,,0,1,老乞丐查理,0,0,1,2009,0,,
卫兵,20145,1000,"0,0,0",1,1,,0,0,1,2011,0,,
皮克曼1号,20146,1000,"3,3,3",0,1,,0,0,1,2048,0,,
乞丐山姆,20147,1000,"3,3,3",0,1,,0,0,1,2009,0,,
旅行少女小雅,20148,1000,"3,3,3",0,1,,0,0,1,2010,0,,
头条哥布林,20150,1000,"3,3,3",0,1,,0,0,1,2012,0,,
歌姬露娜,20151,1000,"3,3,3",0,1,,0,0,1,2016,0,,
研究员拜希儿,20152,1000,"3,3,3",0,1,,0,0,1,2014,0,,
吟游诗人玛门,20153,1000,"3,3,3",0,1,,0,0,1,2004,0,,
阿比旦,20156,2003,,0,1,猎魔人阿比旦,0,0,1,2032,0,,
黄胡子,20157,2003,,0,1,黄胡子,0,0,1,2060,0,,
格蕾,20159,2003,,0,1,镇民格蕾,0,0,1,2031,0,,
安斯利,20161,2003,,0,1,镇民安斯利,0,0,1,2061,0,,
库珀,20163,2003,,0,1,镇民库珀,0,0,1,2061,0,,
伊诺克,20165,2003,,0,1,镇长伊诺克,0,0,1,2061,0,,
黑蹄鹿角兽,20166,2003,,0,1,黑蹄鹿角兽,0,0,1,10034,0,,
,20171,1003,"4,4,4",0,1,诺尔,0,0,1,52009,0,,
,20172,1003,"4,4,4",0,1,威利斯,0,0,1,2013,0,,
,20176,3061,"6,6,6",0,1,霜之仪式阵,0,0,1,0,0,,
,20177,3061,"6,6,6",0,1,焰之仪式阵,0,0,1,0,0,,
,20178,3061,"6,6,6",0,1,暗之仪式阵,0,0,1,0,0,,
,20179,3061,"6,6,6",0,1,贪婪,0,0,1,10031,0,,
,20181,2003,,0,1,冒险者阿布纳,0,0,1,2005,0,,
,20191,2003,"3,3,3",0,1,树人杰拉尔,0,0,1,2043,0,,
,20192,2003,"5,5,5",0,1,树人首领,0,0,1,2038,0,,
,20194,2003,"3,3,3",0,1,木禅,0,0,1,104,0,,
,20197,2003,"3,3,3",0,1,德鲁伊守卫,0,0,1,2063,0,,
,20198,2003,"3,3,3",0,1,德鲁伊首领,0,0,1,2063,0,,
,20199,2003,"3,3,3",0,1,阿德琳,0,0,1,108,0,,
,20202,2003,,0,1,小女巫弥尔,0,0,1,2045,0,,
,20203,2003,,0,1,女巫菲梅,0,0,1,10054,0,,
,20205,2003,"4,4,4",0,1,阿德琳,0,0,1,108,0,,
,20206,2003,"4,4,4",0,1,暗精灵首领,0,0,1,3164,0,,
,20207,2003,"4,4,4",0,1,暗精灵卫兵,0,0,1,3165,0,,
,20208,2003,"4,4,4",0,1,魔法师加林,0,0,1,3166,0,,
,20209,2003,"3,3,3",4,2,木匠达罗斯的家,0,0,1,0,14,,"1,3,0"
,20212,1001,"4,4,4",0,1,凛子·阿米达,0,0,1,2014,0,,
,20213,1001,"3,3,3",0,1,比格,0,0,1,2056,0,,
,20214,1001,"4,4,4",0,1,图斯,0,0,1,2056,0,,
,20215,1001,"3,3,3",0,1,斯利,0,0,1,2056,0,,
,20216,1001,,0,1,弗斯,0,0,1,2056,0,,
,20217,1001,"4,4,4",0,1,斐佛,0,0,1,2056,0,,
,20218,1001,"3,3,3",0,1,谢克斯,0,0,1,2056,0,,
,20219,1001,"3,3,3",0,1,头条哥布林,0,0,1,2012,0,,
,20220,1001,"3,3,3",0,1,卓娜,0,0,1,2022,0,,
,20221,1001,"3,3,3",0,1,巨斧战士塔克,0,0,1,10002,0,,
,20222,1001,"3,3,3",0,1,外乡人里茨,0,0,1,2019,0,,
,20223,1001,"2,2,2",0,1,旅行者艾力,0,0,1,2003,0,,
,20224,1001,"2,2,2",0,1,研究员拜希儿,0,0,1,2014,0,,
,20225,1000,"3,3,3",0,1,,0,0,1,52009,0,,
,20226,1000,"3,3,3",0,1,,0,0,1,2014,0,,
泰雷家,20227,1000,"3,3,3",0,2,,0,0,1,0,33,,"0,3,0"
,20228,1000,"3,3,3",0,1,,0,0,1,2084,0,,
格雷大妈,20229,1000,"3,3,3",0,1,,0,0,1,2001,0,,
欧桑大婶,20230,1000,"3,3,3",0,1,,0,0,1,2008,0,,
面包神传教士,20231,1000,"3,3,3",0,1,,0,0,1,2005,0,,
旅行者艾力,20232,1000,"3,3,3",0,1,,0,0,1,2003,0,,
米尼,20234,1000,"3,3,3",0,1,,0,0,1,2006,0,,
小女巫,20235,1000,"3,3,3",0,1,,0,0,1,2045,0,,
小提琴家小黑,20236,1000,"3,3,3",0,1,,0,0,1,2013,0,,
黑色荆棘,20237,1000,"3,3,3",0,1,,0,0,1,10021,0,,
气球女孩小雅,20238,1000,"3,3,3",0,1,,0,0,1,2010,0,,
加林,20240,1000,"3,3,3",0,1,,0,0,1,2040,0,,
哈奇队长,20241,1000,"0,0,0",0,1,,0,0,1,2027,0,,
修船机器人,20250,1000,"3,3,3",0,1,,0,0,1,2048,0,,
大树精,20251,1000,"3,3,3",0,1,,0,0,1,2047,0,,
小树精,20252,1000,"3,3,3",0,1,,0,0,1,2046,0,,
头条哥布林,20253,1000,"3,3,3",0,1,,0,0,1,2012,0,,
康奎斯特,20254,1000,"3,3,3",0,1,,0,0,1,2077,0,,
头条哥布林,20260,1000,"3,3,3",0,1,,0,0,1,2012,0,,
阿噗,20261,1000,"3,3,3",0,1,,0,0,1,2015,0,,
树精达尼,20262,1000,"3,3,3",0,1,,0,0,1,2044,0,,
精锐部落战士,20269,1000,"3,3,3",0,1,,0,0,1,10002,0,,
锤子团首领,20270,1000,"3,3,3",0,1,,0,0,1,10050,0,,
中东女青年,20274,1000,"3,3,3",0,1,,0,0,1,2030,0,,
,20276,3035,"0,0,0",0,8,,0,0,1,10040,0,,
,20277,3035,"0,0,0",0,1,,0,0,1,2000,0,,
,20278,3035,"0,0,0",0,1,,0,0,1,2000,0,,
,20279,3035,"0,0,0",0,1,,0,0,1,10032,0,,
,20280,3035,"0,0,0",0,8,,0,0,1,0,0,,
,20281,3035,"0,0,0",0,8,,0,0,1,0,0,,
,20283,2001,,0,1,希尔,0,0,1,2019,0,,
,20284,2001,,0,1,海莉大妈,0,0,1,2023,0,,
,20285,2001,,0,1,茶店老板齐娜,0,0,1,2008,0,,
,20286,2001,,0,1,老乞丐查理,0,0,1,2009,0,,
,20287,2001,,0,1,麦提,0,0,1,2026,0,,
,20288,2001,,0,1,库伯拉长老,0,0,1,2026,0,,
,20289,2001,,0,1,吟游诗人,0,0,1,2004,0,,
,20290,2001,,0,1,安可,0,0,1,2018,0,,
,20291,2001,,0,1,花店老板,0,0,1,2022,0,,
,20292,2001,,0,1,镇民邦妮,0,0,1,2016,0,,
,20293,2001,,0,1,佣兵托尼,0,0,1,2019,0,,
,20294,2003,,0,1,冒险队员马尼奥,0,0,1,10003,0,,
,20295,2003,,0,1,冒险队长埃尔文,0,0,1,2082,0,,
,20296,2003,,0,1,冒险队员拉多克,0,0,1,2019,0,,
,20297,2003,,0,1,杰诺,0,0,1,2005,0,,
,20298,2003,,0,1,阿德琳,0,0,1,108,0,,
,20299,2003,,0,1,强盗贝拉,0,0,1,10022,0,,
,20301,2003,,0,1,巨骨熊哈维特,0,0,1,10015,0,,
,20302,2003,,0,1,爱琪,0,0,1,302,0,,
,20304,2003,"0,0,0",0,1,战魂之殇,0,0,1,52002,0,,
,20305,2003,"0,0,0",0,1,魔脊半鱼人,0,0,1,10047,0,,
,20306,2003,"0,0,0",0,1,嗜血战魂,0,0,1,52003,0,,
,20307,2003,"0,0,0",0,1,永夜鱼龙,0,0,1,10047,0,,
,20308,2003,"0,0,0",0,1,暗黑战魂,0,0,1,52008,0,,
,20309,2003,"0,0,0",0,1,巫袍鹿角兽,0,0,1,10024,0,,
,20310,2003,"0,0,0",0,1,黑色荆棘,0,0,1,10021,0,,
,20315,2003,,0,1,火狐科斯,0,0,1,10053,0,,
,20316,2003,,0,1,火狐洛里,0,0,1,10053,0,,
,20319,2001,,0,1,金斯特,0,0,1,2007,0,,
,20320,2001,,0,1,卫兵,0,0,1,52011,0,,
,20321,2001,,0,1,拉夫,0,0,1,2032,0,,
,20322,2001,,0,1,小男孩,0,0,1,2025,0,,
,20323,2001,"4,4,4",1,1,镇民比尔,0,0,1,2019,0,,
,20324,2001,"4,4,4",1,1,小树灵朗多,0,0,1,2028,0,,
,20325,2001,"4,4,4",1,1,大厨罗切特,0,0,1,2005,0,,
,20326,2001,"0,0,0",0,1,,0,0,1,0,0,,
,20327,2001,,0,1,卫兵队长,0,0,1,2011,0,,
,20328,2003,,0,1,树人守卫,0,0,1,2043,0,,
,20329,2003,,0,1,树人守卫,0,0,1,2043,0,,
,20330,2003,,0,1,熊人守卫,0,0,1,10039,0,,
,20331,1000,"4,4,4",0,1,卡恩斯特,0,0,1,2040,0,,
,20332,2001,,0,1,哥布林商人,0,0,1,10005,0,,
,20333,2001,,0,1,悲惨的乞丐,0,0,1,2009,0,,
,20334,2001,,0,1,伊斯顿,0,0,1,2019,0,,
,20335,1000,"3,3,3",0,1,贵族侍者,0,0,1,2013,0,,
,20337,1000,"3,3,3",0,1,神秘怪盗,0,0,1,10001,0,,
,20338,3051,"6,6,6",0,1,邪冥领主弗德,0,0,1,52010,0,,
,20339,3051,"6,6,6",0,1,苍蓝领主拉弥娅,0,0,1,10057,0,,
,20340,3051,"6,6,6",0,1,石像领主厄迦,0,0,1,9002,0,,
,20341,3051,"8,8,8",0,1,嗜血死神萨米尔,0,0,1,10035,0,,
,20342,2003,,0,1,哥布林冒险者,0,0,1,2012,0,,
,20343,2003,,0,1,冒险者青年,0,0,1,2021,0,,
,20344,2003,,0,1,葛莱蒂丝,0,0,1,105,0,,
,20350,3051,"0,0,0",0,9,,0,0,1,10006,0,,
,20351,3051,"0,0,0",0,9,,0,0,1,10034,0,,
,20352,3051,"0,0,0",0,9,,0,0,1,52001,0,,
,20353,3051,"0,0,0",0,9,,0,0,1,52002,0,,
,20354,3051,"0,0,0",0,9,,0,0,1,52003,0,,
,20355,3051,"0,0,0",0,9,,0,0,1,10033,0,,
,20356,3051,"0,0,0",0,9,,0,0,1,52011,0,,
,20357,3051,"0,0,0",0,9,,0,0,1,52011,0,,
,20358,3051,"0,0,0",0,9,,0,0,1,52011,0,,
,20359,3051,"0,0,0",0,9,,0,0,1,52011,0,,
,20360,3051,"0,0,0",0,9,,0,0,1,52011,0,,
,20361,3051,"0,0,0",0,9,,0,0,1,52011,0,,
,20362,3051,"0,0,0",0,9,,0,0,1,52011,0,,
,20363,3051,"0,0,0",0,9,,0,0,1,52011,0,,
,20364,3051,"0,0,0",0,9,,0,0,1,52011,0,,
,20365,3051,"0,0,0",0,9,,0,0,1,52011,0,,
,20366,3051,"0,0,0",0,9,,0,0,1,52011,0,,
,20367,3051,"0,0,0",0,9,,0,0,1,52011,0,,
,20368,3051,"0,0,0",0,9,,0,0,1,52010,0,,
,20369,3051,"0,0,0",0,9,,0,0,1,10057,0,,
,20370,3051,"0,0,0",0,9,,0,0,1,9002,0,,
少女凯瑟琳,20380,1000,,0,1,,0,0,1,2003,0,,
少女雷茜,20381,1000,,0,1,,0,0,1,2010,0,,
矮人小贩,20382,1000,,0,1,,0,0,1,2060,0,,
子爵德福,20383,1000,,0,1,,0,0,1,2007,0,,
冒险家小眼镜,20384,1000,,0,1,,0,0,1,2082,0,,
龟小豆,20390,1000,,0,1,,0,0,1,2066,0,,
龟族先知,20391,1000,,0,1,,0,0,1,2067,0,,
大学士,20392,1002,,0,1,,0,0,1,2059,0,,
财政大臣,20393,1002,,0,1,,0,0,1,2059,0,,
卫兵,20394,1002,"0,0,0",0,1,,0,0,1,2011,0,,
,20396,3064,,0,1,玫瑰团成员,0,0,1,10003,0,,
,20397,3064,,0,1,玫瑰团成员,0,0,1,10003,0,,
,20398,1004,"8,8,8",0,1,,0,0,1,2006,0,,
,20399,3065,,0,1,迷路的佣兵,0,0,1,10002,0,,
,20400,3065,,0,1,迷路的佣兵,0,0,1,10002,0,,
,20401,3065,,0,1,迷路的佣兵,0,0,1,10002,0,,
,20408,2005,"4,4,4",1,1,弗莱特,0,0,1,2076,0,,
,20409,2005,"4,4,4",1,1,岛民杰基,0,0,1,2098,0,,
,20411,2005,"4,4,4",1,1,米兰达,0,0,1,112,0,,
,20412,2001,,0,1,强壮的男人,0,0,1,10002,0,,
,20413,2001,,0,1,联盟佣兵,0,0,1,2019,0,,
,20414,2001,"0,0,0",0,9,,0,0,1,52011,0,,
,20415,1002,"3,3,3",0,1,特罗德,0,0,1,2084,0,,
,20417,2001,"0,0,0",0,9,,0,0,1,2017,0,,
,20419,2001,"4,4,4",1,1,小男孩的奶奶,0,0,1,2008,0,,
,20420,2005,,0,1,塔蕾娅,0,0,1,2099,0,,
,20421,2005,,0,1,玛露茜,0,0,1,2093,0,,
,20422,2005,,0,1,镇民阿尼雅,0,0,1,2092,0,,
,20423,2005,,0,1,镇民尤菲,0,0,1,2065,0,,
,20424,2005,,0,1,镇民德纳罗,0,0,1,52019,0,,
,20425,2005,"5,5,5",0,1,镇民柯罗,0,0,1,10016,0,,
,20426,2005,,0,1,大臣奥兰德,0,0,1,2075,0,,
,20427,2005,"0,0,0",0,1,大臣奥兰德,0,0,1,2075,0,,
,20428,2001,"0,0,0",1,1,小女孩,0,0,1,2024,0,,
,20429,2005,"4,4,4",1,1,米兰达,0,0,1,112,0,,
,20430,2002,"0,0,0",1,8,,0,0,1,0,0,,
魅魔,20432,2003,,0,1,???,0,0,1,10057,0,,
,20433,2003,,0,1,迷路的冒险者,0,0,1,2003,0,,
,20435,2005,"6,6,6",0,1,扬博士,0,0,1,52023,0,,
,20436,2005,"3,3,3",0,1,长老罗希,0,0,1,2067,0,,
,20437,2005,"3,3,3",0,1,镇民弗萨,0,0,1,2066,0,,
,20438,2005,"3,3,3",0,1,镇民维斯,0,0,1,2066,0,,
,20439,2005,"3,3,3",1,2,乌龟村小屋,0,0,1,0,35,,"0,3,0"
,20440,2005,,0,1,蕾茵,0,0,1,2100,0,,
,20441,2005,"3,3,3",0,1,夜崎隐,0,0,1,107,0,,
,20443,3071,,0,1,,0,0,1,2025,0,,
,20444,3071,"0,0,0",0,1,,0,0,1,2024,0,,
,20445,3071,,0,1,,0,0,1,2018,0,,
,20446,3071,,0,1,玛露茜,0,0,1,2093,0,,
,20447,3072,,0,1,哈扎克,0,0,1,10005,0,,
,20448,2001,,0,1,码头工人加鲁,0,0,1,2019,0,,
,20449,2001,,0,1,吟游诗人达达,0,0,1,2004,0,,
,20450,2003,,0,1,沙漠土著帕帕拉,0,0,1,2029,0,,
,20456,3057,,0,1,冒险者,0,0,1,2003,0,,
,20466,1000,"3,3,3",1,1,,0,0,1,2011,0,,
,20477,2003,"5,5,5",0,1,树人首领,0,0,1,2038,0,,
,20480,2001,,0,5,路标,0,0,1,0,0,,"0,3,0"
,20481,2001,,0,5,露西蒂尼雕像,0,0,1,0,0,,"-0.25,3.09,-0.28"
,20482,2003,,0,1,飞艇执行长,0,0,1,52017,0,,
,20483,2003,,0,1,树神守护者,0,0,1,2043,0,,
,20485,2001,,0,1,吟游诗人达达,0,0,1,2004,0,,
,20486,2003,"2,2,2",1,5,泰坦遗骸,0,0,1,0,0,,"0,3.82,0"
,20491,1000,"0,0,0",0,1,,0,0,1,0,0,,
,20492,2003,,0,1,戈壁火狐,0,0,1,10053,0,,
,20493,2003,,0,1,鹿角兽队长,0,0,1,10024,0,,
,20494,1000,,0,1,,0,0,1,52011,0,,
,20495,2004,,0,1,,0,0,1,52011,0,,
,20496,3073,,0,1,蕾茵,0,0,1,2100,0,,
,20498,2005,,0,1,摩尼耶,0,0,1,52013,0,,
,20499,2005,,0,1,掠夺者叶戈尔,0,0,1,10038,0,,
,20500,2005,,0,1,掠夺者伊万,0,0,1,10003,0,,
,20501,2005,,0,1,副官列夫,0,0,1,10050,0,,
,20502,2005,,0,1,掠夺者米哈尔,0,0,1,10046,0,,
,20503,2005,"5,5,5",0,1,首领拜恩,0,0,1,8000,0,,
,20504,2005,,0,1,米兰达,0,0,1,112,0,,
,20505,2005,,0,1,掠夺者安东,0,0,1,10038,0,,
,20506,2005,,0,1,夜崎隐,0,0,1,107,0,,
,20507,1000,,0,1,执行官希尔多,0,0,1,2011,0,,
,20508,3073,,0,1,扬博士,0,0,1,2087,0,,
,20509,2003,,0,1,树心城守卫,0,0,1,52017,0,,
,20511,3054,,0,1,弗莱特,0,0,1,2076,0,,
,20512,1000,"6,6,6",0,1,,0,0,1,99999999,0,,
,20950,1000,,0,1,,0,0,1,52011,0,,
,20951,1000,,0,1,古沃,0,0,1,52011,0,,
,20971,1000,,0,1,,0,0,1,52011,0,,
,20980,1000,,0,1,药剂师莉莉娜,0,0,1,10058,0,,
,20992,1000,,0,1,泰雷,0,0,1,102,0,,
,21005,3151,,0,8,左相府宝箱,0,0,1,1020,0,,
,21006,3151,,0,8,左相府宝箱,0,0,1,1020,0,,
,21007,3151,,0,8,左相府宝箱,0,0,1,1020,0,,
,21008,3151,,0,8,左相府宝箱,0,0,1,1020,0,,
,21009,3151,,0,8,左相府宝箱,0,0,1,1020,0,,
,21010,3151,,0,8,左相府宝箱,0,0,1,1020,0,,
,21011,3151,,0,8,左相府宝箱,0,0,1,1020,0,,
,21012,3151,,0,8,左相府宝箱,0,0,1,1020,0,,
,21020,1000,"0,0,0",0,1,,0,0,1,52011,0,,
,21033,1000,"0,0,0",0,1,,0,0,1,52011,0,,
,21036,2003,,0,1,树人守卫,0,0,1,2043,0,,
,21044,1000,,0,1,<福利>柯莉雅,0,0,1,2016,0,,
,21045,3154,,0,1,小说家伊登,0,0,1,2003,0,,
,21046,3154,,0,1,吃瓜群众巴里特,0,0,1,2012,0,,
,21047,3154,,0,1,冒险家帕克,0,0,1,2082,0,,
,21048,3154,,0,1,赏金猎人卡恩,0,0,1,2005,0,,
,21049,3154,,0,1,街头卖艺者,0,0,1,2004,0,,
,21050,3154,,0,1,森林猎手迈尔,0,0,1,2032,0,,
,21051,3154,,0,1,迷妹阿妮塔,0,0,1,2022,0,,
,21052,3154,,0,1,维克船长,0,0,1,2078,0,,
,21053,3154,,0,1,密探克瑞斯,0,0,1,2021,0,,
,21054,3154,,0,1,奥汀大叔,0,0,1,2019,0,,
,21056,1000,"6,6,6",0,1,,0,0,1,99999999,0,,
,21042,1000,"6,6,6",0,1,,0,0,1,99999999,0,,
,20513,2005,,0,1,岛民谢维奇,0,0,1,2088,0,,
,20514,2005,,0,1,治安官罗夫,0,0,1,2088,0,,
,20515,2005,,0,1,岛民赛文,0,0,1,2098,0,,
,20516,2005,,0,1,副会长斯拜,0,0,1,2088,0,,
,20517,3074,"8,8,8",0,1,蜘蛛女王艾达,0,0,1,9003,0,,
,20529,3080,,0,1,,0,0,1,2059,0,,
,20533,3081,,0,1,游荡亡灵,0,0,1,10013,0,,
,20534,3081,,0,1,佣兵佩德罗,0,0,1,2019,0,,
,20535,3081,,0,1,佣兵塞缪尔,0,0,1,2021,0,,
,20536,3081,,0,1,佣兵舒拉,0,0,1,2022,0,,
,20537,3081,,0,1,哥布林乌纳伊,0,0,1,2012,0,,
,20538,3079,,0,1,哈扎克,0,0,1,10005,0,,
,20539,3075,,0,1,强盗贝拉,0,0,1,10022,0,,
,20540,3078,,0,1,玫瑰团追随者,0,0,1,10021,0,,
,20547,3075,,0,1,游荡亡灵,0,0,1,10013,0,,
,20548,3078,,0,1,游荡亡灵,0,0,1,10013,0,,
,20549,3075,,0,1,佣兵佩德罗,0,0,1,2019,0,,
,20550,3076,,0,1,佣兵佩德罗,0,0,1,2019,0,,
,20551,3078,,0,1,佣兵佩德罗,0,0,1,2019,0,,
,20552,3082,,0,1,佣兵佩德罗,0,0,1,2019,0,,
,20553,3075,,0,1,佣兵塞缪尔,0,0,1,2021,0,,
,20554,3076,,0,1,佣兵塞缪尔,0,0,1,2021,0,,
,20555,3078,,0,1,佣兵塞缪尔,0,0,1,2021,0,,
