,id,name,des,functionDes,shop_des
,17,友情点,好友之间，需要用心联系。,用于加速好友宝箱开启的速度。,用于加速好友宝箱开启的速度。
,18,圣魂积分,并不是成为强者就会被大家认可，而是被大家认可的人才能成为强者。,用于兑换“圣界来袭”的奖励。,用于兑换“圣界来袭”的奖励。
,19,王牌积分,令魑魅魍魉现形，让罪恶无处可逃，帝都逆行者的最佳奖赏。,用于兑换“王牌通缉”的奖励。,用于兑换“王牌通缉”的奖励。
,21,联盟积分,自律联盟的大门向每一个勇于冒险和挑战的人开放。,用于提升冒险者在自律联盟的等级，向艾恩最强冲击吧！,用于提升冒险者在自律联盟的等级，向艾恩最强冲击吧！
,22,荣光纪念章,战场上的荣耀与伤痛，是所有人的纪念章。,可在“荣光商铺”兑换道具。,可在“荣光商铺”兑换道具。
,31,萤玉,稀有的解质玉石。即使是黑夜中微弱的点点萤火，也要努力与生命共鸣，绽放出最耀眼的光。,由SR英雄共鸣材料兑换而来，<br>可在“贩售商城·速递”中购买物品。,由SR英雄共鸣材料兑换而来，<br>可在“贩售商城·速递”中购买物品。
,32,月鸣玉,稀有的解质玉石。日与月流转更替，与生命的共鸣从未停止。,由SSR英雄共鸣材料兑换而来，<br>可在“贩售商城·速递”中购买物品。,由SSR英雄共鸣材料兑换而来，<br>可在“贩售商城·速递”中购买物品。
,101,粗木箱,你与好友情谊的见证，用另一种方式记录你们的友谊。,有几率获得意想不到的物品，祈祷之后再打开吧。,有几率获得意想不到的物品，祈祷之后再打开吧。
,102,秘银箱,你与好友情谊的见证，用另一种方式记录你们的友谊。,有几率获得意想不到的物品，祈祷之后再打开吧。,有几率获得意想不到的物品，祈祷之后再打开吧。
,103,炼金宝箱,你与好友情谊的见证，用另一种方式记录你们的友谊。,有几率获得意想不到的物品，祈祷之后再打开吧。,有几率获得意想不到的物品，祈祷之后再打开吧。
,123,自律联盟凭证,不论何时，遵守联盟铁律——认真、恪守、奉献。,可在“荣光指挥所”接取指令。,可在“荣光指挥所”接取指令。
,124,魔法议会凭证,魔法非万能，但可以改变黑暗的世界。,可在“荣光指挥所”接取指令。,可在“荣光指挥所”接取指令。
,1001,哥布林的私房钱,哥布林的私房钱,用于密保合约商店兑换材料,用于密保合约商店兑换材料
,4004,穹金之本命灵,缔结本命的神识，与她立下永恒的誓约。,SSR级别本命。进行启源时，可用于替代其它SSR本命，作为共鸣材料。,SSR级别本命。进行启源时，可用于替代其它SSR本命，作为共鸣材料。
,4014,双子杰米尼,缔结本命的神识，与他立下永恒的誓约。,SSR级别的本命。,SSR级别的本命。
,120012,友达投递券,风迹速递发布的特别速递券，凭此券可在风迹快递的任意分部申请一次友情速递服务。,可签收<color=#bd4104>1</color>件友达投递。,可签收<color=#bd4104>1</color>件友达投递。
,120013,艾恩速达券,风迹速递发布的高级速递券，凭此券可在风迹快递的任意分部申请一次速递服务。,可<color=#bd4104>不消耗罗兰钻</color>，签收<color=#bd4104>1</color>件艾恩速达。,可<color=#bd4104>不消耗罗兰钻</color>，签收<color=#bd4104>1</color>件艾恩速达。
,120023,风迹速递礼券,对于生活报以热情的人，生活也会善待他。,专属本命抽卡1次,专属本命抽卡1次
,120033,风迹极递券,风迹速递发布的特别速递券，凭此券可在风迹快递的任意分部申请一次速递服务。,可申请派送<color=#bd4104>1</color>件速递。,可申请派送<color=#bd4104>1</color>件速递。
,201000,初级金币卡,“金币不是万能的，但没有金币是万万不能的。”——爱琳娜,可获得2000枚金币。,可获得2000枚金币。
,201001,中级金币卡,“金币不是万能的，但没有金币是万万不能的。”——爱琳娜,可获得10000枚金币。,可获得10000枚金币。
,201002,高级金币卡,“金币不是万能的，但没有金币是万万不能的。”——爱琳娜,可获得40000枚金币。,可获得40000枚金币。
,201003,特级金币卡,“金币不是万能的，但没有金币是万万不能的。”——爱琳娜,可获得120000枚金币。,可获得120000枚金币。
,201004,顶级金币卡,“金币不是万能的，但没有金币是万万不能的。”——爱琳娜,可获得350000枚金币。,可获得350000枚金币。
,202000,初级英雄经验卡,英雄的成长离不开它，每一位冒险者都值得拥有。,可使英雄经验球增加2000点<br>经验值。,可使英雄经验球增加2000点<br>经验值。
,202001,中级英雄经验卡,英雄的成长离不开它，每一位冒险者都值得拥有。,可使英雄经验球增加10000点<br>经验值。,可使英雄经验球增加10000点<br>经验值。
,202002,高级英雄经验卡,英雄的成长离不开它，每一位冒险者都值得拥有。,可使英雄经验球增加50000点<br>经验值。,可使英雄经验球增加50000点<br>经验值。
,202003,特级英雄经验卡,英雄的成长离不开它，每一位冒险者都值得拥有。,可使英雄经验球增加150000点<br>经验值。,可使英雄经验球增加150000点<br>经验值。
,202004,顶级英雄经验卡,英雄的成长离不开它，每一位冒险者都值得拥有。,可使英雄经验球增加500000点<br>经验值。,可使英雄经验球增加500000点<br>经验值。
,203000,初级本命经验卡,入选本年度热销物品，能使本命实力大幅上涨。,使用后，可给本命经验球注入<br>2000点经验。,使用后，可给本命经验球注入<br>2000点经验。
,203001,中级本命经验卡,入选本年度热销物品，能使本命实力大幅上涨。,使用后，可给本命经验球注入<br>10000点经验。,使用后，可给本命经验球注入<br>10000点经验。
,203002,高级本命经验卡,入选本年度热销物品，能使本命实力大幅上涨。,使用后，可给本命经验球注入<br>50000点经验。,使用后，可给本命经验球注入<br>50000点经验。
,203003,特级本命经验卡,入选本年度热销物品，能使本命实力大幅上涨。,使用后，可给本命经验球注入<br>150000点经验。,使用后，可给本命经验球注入<br>150000点经验。
,203004,顶级本命经验卡,入选本年度热销物品，能使本命实力大幅上涨。,使用后，可给本命经验球注入<br>500000点经验。,使用后，可给本命经验球注入<br>500000点经验。
体力药水初级,204010,酱汁糯米团,软糯的团子搭配美味的酱汁，一口下去，干劲十足！,食用后可恢复<color=#bd4104>5</color>点干劲。,食用后可恢复<color=#bd4104>5</color>点干劲。
体力药水中级,204020,夹心水果蛋糕,蛋糕与草莓是毋庸置疑的绝配，其他水果再多也只是点缀！,食用后可恢复<color=#bd4104>30</color>点干劲。,食用后可恢复<color=#bd4104>30</color>点干劲。
体力药水高级,204030,香草黄油烤龙虾,香草在黄油中迸发出绝伦的香气，渗入龙虾之中，令人食指大动！,食用后可恢复<color=#bd4104>100</color>点干劲。,食用后可恢复<color=#bd4104>100</color>点干劲。
,210000,速战凭证,快速作战必不可少的道具，用过的都说好。,可快速完成战斗，是经验丰富的冒险者才知道的秘诀。,可快速完成战斗，是经验丰富的冒险者才知道的秘诀。
,210010,红蓝特典重置券,这是一场没有硝烟的赛场。红蓝对决，比赛第一，友谊第二！,可在帝国红蓝特典中，刷新挑战对手。,可在帝国红蓝特典中，刷新挑战对手。
,210020,红蓝特典入场券,帝国红蓝特典被评为最受卡诺萨人民喜爱的活动之一，其门票紧俏，曾创造1分钟内售罄记录。,可参与1次帝国红蓝特典，此券一票难求，欲购从速。,可参与1次帝国红蓝特典，此券一票难求，欲购从速。
,210023,领主召唤券,记载有领主情报的文件，是追踪领主所在的关键。,可召唤一次领主。,可召唤一次领主。
,210024,圣魂讨伐券,记载重要情报的文件，是追踪圣界成员克隆体所在的关键。,可召唤一次圣界成员克隆体。,可召唤一次圣界成员克隆体。
荣光夺还战道具,210033,荣光指令函,紧急！突发战役，指令已下达，冒险者们迅速出动！,可参与1次荣光夺还战。,可参与1次荣光夺还战。
,210043,商城重置券,购物，是本能战胜了理智。,刷新指定商城内的商品。,刷新指定商城内的商品。
,220003,探宝图鉴,为梅尔·霍克森所著，记载了他所探寻到的宝藏地点。,为梅尔·霍克森所著，记载了他所探寻到的宝藏地点。,为梅尔·霍克森所著，记载了他所探寻到的宝藏地点。
,310010,曜金钥匙,去除灰尘后仍可闪耀光辉的钥匙，可用于开启曜金箱。,可用于开启曜金箱获取奖励。,可用于开启曜金箱获取奖励。
,310020,霜蓝钥匙,通体透明的水晶钥匙，可用于开启霜蓝晶箱。,可用于开启霜蓝晶箱获取奖励。,可用于开启霜蓝晶箱获取奖励。
,410012,联盟礼箱,专为优秀的佣兵准备的礼箱，正上方雕刻着自律联盟的标志。,有几率获得意想不到的物品，请怀着期待的心情打开。,有几率获得意想不到的物品，请怀着期待的心情打开。
,410021,木箱,在讨伐领主中作出卓越贡献的人才有资格获得。,有几率获得装备突破的材料。,有几率获得装备突破的材料。
,410022,青铜箱,在讨伐领主中作出卓越贡献的人才有资格获得。,有几率获得装备突破的材料。,有几率获得装备突破的材料。
,410023,白银箱,在讨伐领主中作出卓越贡献的人才有资格获得。,有几率获得装备突破的材料。,有几率获得装备突破的材料。
,410024,燃金宝箱,在讨伐领主中作出卓越贡献的人才有资格获得。,有几率获得装备突破的材料。,有几率获得装备突破的材料。
,410032,青木圣魂箱,简易的木箱上有着青色斑块。注意，不是发霉，是特色哦。,有几率获得蓝色品质的符文。,有几率获得蓝色品质的符文。
,410033,苍石圣魂箱,全石打造的宝箱，捧在手里格外的沉重。,有几率获得紫色品质的符文。,有几率获得紫色品质的符文。
,410034,鬼纹圣魂箱,宝箱上爬满不知名的纹路，远远看去纹路组成一个可怖的鬼脸。,有几率获得橙色品质的符文。,有几率获得橙色品质的符文。
,410040,联盟委托D级宝箱12,联盟委托D级宝箱,联盟委托D级宝箱,联盟委托D级宝箱
,410041,联盟委托C级宝箱,联盟委托C级宝箱,联盟委托C级宝箱,联盟委托C级宝箱
,410042,联盟委托B级宝箱,联盟委托B级宝箱,联盟委托B级宝箱,联盟委托B级宝箱
,410043,联盟委托A级宝箱,联盟委托A级宝箱,联盟委托A级宝箱,联盟委托A级宝箱
,410044,联盟委托S级宝箱,联盟委托S级宝箱,联盟委托S级宝箱,联盟委托S级宝箱
答题小礼包,410052,答题小礼包,答题小礼包,答题小礼包,答题小礼包
答题大礼包,410053,答题大礼包,答题大礼包,答题大礼包,答题大礼包
紫色符文宝箱,420013,星辉符文匣,就和巧克力一样，直到打开的前一刻，你都不知道里面的符文究竟有多强。,有几率获得紫色品质的符文。,有几率获得紫色品质的符文。
橙色符文宝箱,420014,荣耀符文匣,就和巧克力一样，直到打开的前一刻，你都不知道里面的符文究竟有多强。,有几率获得橙色品质的符文。,有几率获得橙色品质的符文。
,421012,荧光本命匣,神秘的本命礼匣，无人知晓哪个本命藏于里面。,将有几率获得1名蓝色品质的本命。,将有几率获得1名蓝色品质的本命。
,421013,流光本命匣,神秘的本命礼匣，无人知晓哪个本命藏于里面。,将有几率获得1名紫色品质的本命。,将有几率获得1名紫色品质的本命。
,421014,极光本命匣,神秘的本命礼匣，无人知晓哪个本命藏于里面。,将有几率获得1名橙色品质的本命。,将有几率获得1名橙色品质的本命。
,421024,本命之绊匣,命中注定的本命，与你有着斩不断的羁绊，它静静等待你的到来。,可获得1名英雄的专属本命。,可获得1名英雄的专属本命。
,421034,绯羽本命绊匣,只是远远看了一眼，心中便已确认，那是与SR英雄命中注定的本命。,可随机获得一名SR英雄的专属本命。,可随机获得一名SR英雄的专属本命。
,430004,英雄共鸣礼箱,每个英雄的成长都需要漫长的历练，而它可以让这场历练变得轻松些。,内有丰富的英雄共鸣材料。,内有丰富的英雄共鸣材料。
夜崎隐礼包,431074,血芒礼箱,神秘种族的图腾雕刻在礼箱上，箱内似乎蕴藏着强大力量。,夜崎隐的专属礼箱，可以直接召唤夜崎隐。,夜崎隐的专属礼箱，可以直接召唤夜崎隐。
乔伊礼包,434014,暗龙礼箱,从黑暗中降生，为吞噬光明而来。,乔伊的专属礼箱，可以直接召唤乔伊。,乔伊的专属礼箱，可以直接召唤乔伊。
,450013,限量镶金礼箱,帝国商城发布的限量版礼箱，内有大量金币。,可获得300000枚金币。,可获得300000枚金币。
,450023,英雄经验礼箱,冒险之旅充满了危险与不确定性，提升英雄实力是不能耽误的事情。,可获得1000000点英雄经验，能使英雄飞速成长。,可获得1000000点英雄经验，能使英雄飞速成长。
,450033,本命经验礼箱,本命是冒险者重要的同伴，它的成长也十分关键。,可获得2500000点本命经验，本命成长就靠它。,可获得2500000点本命经验，本命成长就靠它。
,500014,悬赏礼箱,每一个被逮捕的犯罪分子，都是你光荣的勋章。,可随机获得1个符文，努力通缉犯罪分子吧。,可随机获得1个符文，努力通缉犯罪分子吧。
,510014,神秘的武器箱,不知从何而来的神秘宝箱，里面装着的会是什么呢？,打开后，随机获得1个武器（橙色品质）进阶材料。,打开后，随机获得1个武器（橙色品质）进阶材料。
,610012,R本命碎片,随机合成一个R本命,随机合成一个R本命,
,610013,SR本命碎片,随机合成一个SR本命,随机合成一个SR本命,
,610014,SSR本命碎片,随机合成一个SSR本命,随机合成一个SSR本命,
,610022,蓝色符文碎片,随机合成一个蓝色符文,随机合成一个蓝色符文,
,610023,紫色符文碎片,随机合成一个紫色符文,随机合成一个紫色符文,
,610024,橙色符文碎片,随机合成一个橙色符文,随机合成一个橙色符文,
,2000054,基础冶金凛剂,平平无奇的冶金凛剂，在商铺内可以轻易买到。,用于合成紫色装备进阶道具,用于合成紫色装备进阶道具
,2000064,初级冶金凛剂,研究学者们对它进行简单的提纯后，它的价值有了质的飞跃。,用于合成橙色装备进阶道具,用于合成橙色装备进阶道具
,2000074,中级冶金凛剂,经过多道提炼工序后，冶金凛剂成为了商铺内的抢手货。,用于合成橙色R装备进阶道具,用于合成橙色R装备进阶道具
,2011021,奥兹·壹制兵刃,谨遵奥兹家训，一年开采奥兹晶尘数量不超过一吨。,奥兹家族专属的武器（绿色品质）进阶材料。,奥兹家族专属的武器（绿色品质）进阶材料。
,2011032,奥兹·贰制兵刃,谨遵奥兹家训，一年开采奥兹晶尘数量不超过一吨。,奥兹家族专属的武器（蓝色品质）进阶材料。,奥兹家族专属的武器（蓝色品质）进阶材料。
,2011043,奥兹·叁制兵刃,谨遵奥兹家训，一年开采奥兹晶尘数量不超过一吨。,奥兹家族专属的武器（紫色品质）进阶材料。,奥兹家族专属的武器（紫色品质）进阶材料。
,2011054,奥兹·肆制兵刃,谨遵奥兹家训，一年开采奥兹晶尘数量不超过一吨。,奥兹家族专属的武器（橙色品质）进阶材料。,奥兹家族专属的武器（橙色品质）进阶材料。
,2011064,奥兹·伍制兵刃,谨遵奥兹家训，一年开采奥兹晶尘数量不超过一吨。,奥兹家族专属的武器（橙色R品质）进阶材料。,奥兹家族专属的武器（橙色R品质）进阶材料。
,2011074,奥兹·陆制兵刃,谨遵奥兹家训，一年开采奥兹晶尘数量不超过一吨。,奥兹家族专属的武器（橙色SR品质）进阶材料。,奥兹家族专属的武器（橙色SR品质）进阶材料。
,2012021,奥兹·壹制上衣,谨遵奥兹家训，衣着必须干净整洁。,奥兹家族专属的上衣（绿色品质）进阶材料。,奥兹家族专属的上衣（绿色品质）进阶材料。
,2012032,奥兹·贰制上衣,谨遵奥兹家训，衣着必须干净整洁。,奥兹家族专属的上衣（蓝色品质）进阶材料。,奥兹家族专属的上衣（蓝色品质）进阶材料。
,2012043,奥兹·叁制上衣,谨遵奥兹家训，衣着必须干净整洁。,奥兹家族专属的上衣（紫色品质）进阶材料。,奥兹家族专属的上衣（紫色品质）进阶材料。
,2012054,奥兹·肆制上衣,谨遵奥兹家训，衣着必须干净整洁。,奥兹家族专属的上衣（橙色品质）进阶材料。,奥兹家族专属的上衣（橙色品质）进阶材料。
,2012064,奥兹·伍制上衣,谨遵奥兹家训，衣着必须干净整洁。,奥兹家族专属的上衣（橙色R品质）进阶材料。,奥兹家族专属的上衣（橙色R品质）进阶材料。
,2012074,奥兹·陆制上衣,谨遵奥兹家训，衣着必须干净整洁。,奥兹家族专属的上衣（橙色SR品质）进阶材料。,奥兹家族专属的上衣（橙色SR品质）进阶材料。
,2013021,奥兹·壹制下装,谨遵奥兹家训，拥有高级审美，下装必须与上衣配套。,奥兹家族专属的下装（绿色品质）进阶材料。,奥兹家族专属的下装（绿色品质）进阶材料。
,2013032,奥兹·贰制下装,谨遵奥兹家训，拥有高级审美，下装必须与上衣配套。,奥兹家族专属的下装（蓝色品质）进阶材料。,奥兹家族专属的下装（蓝色品质）进阶材料。
,2013043,奥兹·叁制下装,谨遵奥兹家训，拥有高级审美，下装必须与上衣配套。,奥兹家族专属的下装（紫色品质）进阶材料。,奥兹家族专属的下装（紫色品质）进阶材料。
,2013054,奥兹·肆制下装,谨遵奥兹家训，拥有高级审美，下装必须与上衣配套。,奥兹家族专属的下装（橙色品质）进阶材料。,奥兹家族专属的下装（橙色品质）进阶材料。
,2013064,奥兹·伍制下装,谨遵奥兹家训，拥有高级审美，下装必须与上衣配套。,奥兹家族专属的下装（橙色R品质）进阶材料。,奥兹家族专属的下装（橙色R品质）进阶材料。
,2013074,奥兹·陆制下装,谨遵奥兹家训，拥有高级审美，下装必须与上衣配套。,奥兹家族专属的下装（橙色SR品质）进阶材料。,奥兹家族专属的下装（橙色SR品质）进阶材料。
,2014021,奥兹·壹制足靴,谨遵奥兹家训，走路不能拖地，必须昂首挺胸，高抬阔步。,奥兹家族专属的鞋子（绿色品质）进阶材料。,奥兹家族专属的鞋子（绿色品质）进阶材料。
,2014032,奥兹·贰制足靴,谨遵奥兹家训，走路不能拖地，必须昂首挺胸，高抬阔步。,奥兹家族专属的鞋子（蓝色品质）进阶材料。,奥兹家族专属的鞋子（蓝色品质）进阶材料。
,2014043,奥兹·叁制足靴,谨遵奥兹家训，走路不能拖地，必须昂首挺胸，高抬阔步。,奥兹家族专属的鞋子（紫色品质）进阶材料。,奥兹家族专属的鞋子（紫色品质）进阶材料。
,2014054,奥兹·肆制足靴,谨遵奥兹家训，走路不能拖地，必须昂首挺胸，高抬阔步。,奥兹家族专属的鞋子（橙色品质）进阶材料。,奥兹家族专属的鞋子（橙色品质）进阶材料。
,2014064,奥兹·伍制足靴,谨遵奥兹家训，走路不能拖地，必须昂首挺胸，高抬阔步。,奥兹家族专属的鞋子（橙色R品质）进阶材料。,奥兹家族专属的鞋子（橙色R品质）进阶材料。
,2014074,奥兹·陆制足靴,谨遵奥兹家训，走路不能拖地，必须昂首挺胸，高抬阔步。,奥兹家族专属的鞋子（橙色SR品质）进阶材料。,奥兹家族专属的鞋子（橙色SR品质）进阶材料。
,2021021,学院·壹制兵刃,魔法学院参考露西蒂尼的手稿，研制出的元素晶石，内含多种自然元素。,魔法学院专属的武器（绿色品质）进阶材料。,魔法学院专属的武器（绿色品质）进阶材料。
,2021032,学院·贰制兵刃,魔法学院参考露西蒂尼的手稿，研制出的元素晶石，内含多种自然元素。,魔法学院专属的武器（蓝色品质）进阶材料。,魔法学院专属的武器（蓝色品质）进阶材料。
,2021043,学院·叁制兵刃,魔法学院参考露西蒂尼的手稿，研制出的元素晶石，内含多种自然元素。,魔法学院专属的武器（紫色品质）进阶材料。,魔法学院专属的武器（紫色品质）进阶材料。
,2021054,学院·肆制兵刃,魔法学院参考露西蒂尼的手稿，研制出的元素晶石，内含多种自然元素。,魔法学院专属的武器（橙色品质）进阶材料。,魔法学院专属的武器（橙色品质）进阶材料。
,2021064,学院·伍制兵刃,魔法学院参考露西蒂尼的手稿，研制出的元素晶石，内含多种自然元素。,魔法学院专属的武器（橙色R品质）进阶材料。,魔法学院专属的武器（橙色R品质）进阶材料。
,2021074,学院·陆制兵刃,魔法学院参考露西蒂尼的手稿，研制出的元素晶石，内含多种自然元素。,魔法学院专属的武器（橙色SR品质）进阶材料。,魔法学院专属的武器（橙色SR品质）进阶材料。
,2022021,学院·壹制上衣,不穿学院制服的话，会被教导主任唠叨三小时哦。,魔法学院专属的上衣（绿色品质）进阶材料。,魔法学院专属的上衣（绿色品质）进阶材料。
,2022032,学院·贰制上衣,不穿学院制服的话，会被教导主任唠叨三小时哦。,魔法学院专属的上衣（蓝色品质）进阶材料。,魔法学院专属的上衣（蓝色品质）进阶材料。
,2022043,学院·叁制上衣,不穿学院制服的话，会被教导主任唠叨三小时哦。,魔法学院专属的上衣（紫色品质）进阶材料。,魔法学院专属的上衣（紫色品质）进阶材料。
,2022054,学院·肆制上衣,不穿学院制服的话，会被教导主任唠叨三小时哦。,魔法学院专属的上衣（橙色品质）进阶材料。,魔法学院专属的上衣（橙色品质）进阶材料。
,2022064,学院·伍制上衣,不穿学院制服的话，会被教导主任唠叨三小时哦。,魔法学院专属的上衣（橙色R品质）进阶材料。,魔法学院专属的上衣（橙色R品质）进阶材料。
,2022074,学院·陆制上衣,不穿学院制服的话，会被教导主任唠叨三小时哦。,魔法学院专属的上衣（橙色SR品质）进阶材料。,魔法学院专属的上衣（橙色SR品质）进阶材料。
,2023021,学院·壹制下装,学院规定，严禁学生擅自剪裁下装。,魔法学院专属的下装（绿色品质）进阶材料。,魔法学院专属的下装（绿色品质）进阶材料。
,2023032,学院·贰制下装,学院规定，严禁学生擅自剪裁下装。,魔法学院专属的下装（蓝色品质）进阶材料。,魔法学院专属的下装（蓝色品质）进阶材料。
,2023043,学院·叁制下装,学院规定，严禁学生擅自剪裁下装。,魔法学院专属的下装（紫色品质）进阶材料。,魔法学院专属的下装（紫色品质）进阶材料。
,2023054,学院·肆制下装,学院规定，严禁学生擅自剪裁下装。,魔法学院专属的下装（橙色品质）进阶材料。,魔法学院专属的下装（橙色品质）进阶材料。
,2023064,学院·伍制下装,学院规定，严禁学生擅自剪裁下装。,魔法学院专属的下装（橙色R品质）进阶材料。,魔法学院专属的下装（橙色R品质）进阶材料。
,2023074,学院·陆制下装,学院规定，严禁学生擅自剪裁下装。,魔法学院专属的下装（橙色SR品质）进阶材料。,魔法学院专属的下装（橙色SR品质）进阶材料。
,2024021,学院·壹制足靴,为了创造安静的学习环境，学院开发了消音石，装备后可以降低鞋与地面的摩擦声。,魔法学院专属的鞋子（绿色品质）进阶材料。,魔法学院专属的鞋子（绿色品质）进阶材料。
,2024032,学院·贰制足靴,为了创造安静的学习环境，学院开发了消音石，装备后可以降低鞋与地面的摩擦声。,魔法学院专属的鞋子（蓝色品质）进阶材料。,魔法学院专属的鞋子（蓝色品质）进阶材料。
,2024043,学院·叁制足靴,为了创造安静的学习环境，学院开发了消音石，装备后可以降低鞋与地面的摩擦声。,魔法学院专属的鞋子（紫色品质）进阶材料。,魔法学院专属的鞋子（紫色品质）进阶材料。
,2024054,学院·肆制足靴,为了创造安静的学习环境，学院开发了消音石，装备后可以降低鞋与地面的摩擦声。,魔法学院专属的鞋子（橙色品质）进阶材料。,魔法学院专属的鞋子（橙色品质）进阶材料。
,2024064,学院·伍制足靴,为了创造安静的学习环境，学院开发了消音石，装备后可以降低鞋与地面的摩擦声。,魔法学院专属的鞋子（橙色R品质）进阶材料。,魔法学院专属的鞋子（橙色R品质）进阶材料。
,2024074,学院·陆制足靴,为了创造安静的学习环境，学院开发了消音石，装备后可以降低鞋与地面的摩擦声。,魔法学院专属的鞋子（橙色SR品质）进阶材料。,魔法学院专属的鞋子（橙色SR品质）进阶材料。
,2041021,圣界·壹制兵刃,由乔伊提供的晶石，出产地不明。,圣界组织专属的武器（绿色品质）进阶材料。,圣界组织专属的武器（绿色品质）进阶材料。
,2041032,圣界·贰制兵刃,由乔伊提供的晶石，出产地不明。,圣界组织专属的武器（蓝色品质）进阶材料。,圣界组织专属的武器（蓝色品质）进阶材料。
,2041043,圣界·叁制兵刃,由乔伊提供的晶石，出产地不明。,圣界组织专属的武器（紫色品质）进阶材料。,圣界组织专属的武器（紫色品质）进阶材料。
,2041054,圣界·肆制兵刃,由乔伊提供的晶石，出产地不明。,圣界组织专属的武器（橙色品质）进阶材料。,圣界组织专属的武器（橙色品质）进阶材料。
,2041064,圣界·伍制兵刃,由乔伊提供的晶石，出产地不明。,圣界组织专属的武器（橙色R品质）进阶材料。,圣界组织专属的武器（橙色R品质）进阶材料。
,2041074,圣界·陆制兵刃,由乔伊提供的晶石，出产地不明。,圣界组织专属的武器（橙色SR品质）进阶材料。,圣界组织专属的武器（橙色SR品质）进阶材料。
,2042021,圣界·壹制上衣,虽然没有明说，但渐渐的，披风成了圣界成员人手必备的衣服。,圣界组织专属的上衣（绿色品质）进阶材料。,圣界组织专属的上衣（绿色品质）进阶材料。
,2042032,圣界·贰制上衣,虽然没有明说，但渐渐的，披风成了圣界成员人手必备的衣服。,圣界组织专属的上衣（蓝色品质）进阶材料。,圣界组织专属的上衣（蓝色品质）进阶材料。
,2042043,圣界·叁制上衣,虽然没有明说，但渐渐的，披风成了圣界成员人手必备的衣服。,圣界组织专属的上衣（紫色品质）进阶材料。,圣界组织专属的上衣（紫色品质）进阶材料。
,2042054,圣界·肆制上衣,虽然没有明说，但渐渐的，披风成了圣界成员人手必备的衣服。,圣界组织专属的上衣（橙色品质）进阶材料。,圣界组织专属的上衣（橙色品质）进阶材料。
,2042064,圣界·伍制上衣,虽然没有明说，但渐渐的，披风成了圣界成员人手必备的衣服。,圣界组织专属的上衣（橙色R品质）进阶材料。,圣界组织专属的上衣（橙色R品质）进阶材料。
,2042074,圣界·陆制上衣,虽然没有明说，但渐渐的，披风成了圣界成员人手必备的衣服。,圣界组织专属的上衣（橙色SR品质）进阶材料。,圣界组织专属的上衣（橙色SR品质）进阶材料。
,2043021,圣界·壹制下装,散发着黑暗气体与难闻气味的多结晶石头，可那又怎样？能变强就好。,圣界组织专属的下装（绿色品质）进阶材料。,圣界组织专属的下装（绿色品质）进阶材料。
