,id,title,desc
,2010007,任意英雄全技能镶嵌蓝色以上符文,任意英雄全技能镶嵌蓝色以上符文
,2010008,通关1次多人副本,通关1次多人副本
,2010009,完成主线任务“哀嚎神殿”,完成主线任务“哀嚎神殿”
,2010010,战队等级达到30级,战队等级达到30级
,2010011,开启1个秘银箱,开启1个秘银箱
,2010012,完成自律联盟悬赏12次,完成自律联盟悬赏12次
,2010013,通关温丽梦境第2章,通关温丽梦境第2章
,2010014,完成主线任务“魔族之心”,完成主线任务“魔族之心”
,2010015,任意3个英雄全装备强化到31级,任意3个英雄全装备强化到31级
,2010016,开启1个霜蓝晶箱,开启1个霜蓝晶箱
,2010017,任意2个英雄全装备升到紫色品质,任意2个英雄全装备升到紫色品质
,2010018,任意英雄好感度达到陌生满心,任意英雄好感度达到陌生满心
,2010019,完成主线任务“荒原古堡”,完成主线任务“荒原古堡”
,2010020,完成1次A级委托任务,完成1次A级委托任务
,2010021,完成自律联盟悬赏18次,完成自律联盟悬赏18次
,2010022,利用友情点开启任意好友宝箱1次,利用友情点开启任意好友宝箱1次
,2010023,任意5个英雄达到30级,任意5个英雄达到30级
,2010024,完成主线任务“沙海虫巢”,完成主线任务“沙海虫巢”
,2010025,战队等级达到35级,战队等级达到35级
,2010026,任意1个英雄全装备升到橙色品质,任意1个英雄全装备升到橙色品质
,2010027,开启1个霜蓝晶箱,开启1个霜蓝晶箱
,2010029,任意5个英雄全装备强化到30级,任意5个英雄全装备强化到30级
,2010030,完成主线任务“风沙堡”,完成主线任务“风沙堡”
,2010031,讨伐并战胜1次紫色领主,讨伐并战胜1次紫色领主
,2010032,通关温丽梦境第3章,通关温丽梦境第3章
,2010033,完成自律联盟悬赏24次,完成自律联盟悬赏24次
,2010034,任意5个英雄达到35级,任意5个英雄达到35级
,1010000,人不在多，够强就好,拥有3个英雄
,1010001,人有那——么多,拥有5个英雄
,1010002,人从从众众众,拥有8个英雄
,1010003,人生赢家,拥有10个英雄
,1010004,全员精英,拥有15个英雄
,1010005,英雄池，我承包了！,拥有20个英雄
,1010006,暗中试探Ⅰ,3个英雄达到20级
,1010007,暗中试探Ⅱ,3个英雄达到30级
,1010008,暗中试探Ⅲ,3个英雄达到40级
,1010009,步步为营Ⅰ,3个英雄达到50级
,1010010,步步为营Ⅱ,3个英雄达到60级
,1010011,深谋远虑,3个英雄达到70级
,1010012,慧眼识英雄,3个英雄达到80级
,1010013,英雄的崛起Ⅰ,6个英雄达到20级
,1010014,英雄的崛起Ⅱ,6个英雄达到30级
,1010015,英雄的崛起Ⅲ,6个英雄达到40级
,1010016,英雄出击！Ⅰ,6个英雄达到50级
,1010017,英雄出击！Ⅱ,6个英雄达到60级
,1010018,英雄出击！Ⅲ,6个英雄达到70级
,1010019,我是大哥大,6个英雄达到80级
,1010020,跟我混，没错Ⅰ,10个英雄达到20级
,1010021,跟我混，没错Ⅱ,10个英雄达到30级
,1010022,跟我混，没错Ⅲ,10个英雄达到40级
,1010023,我罩你Ⅰ,10个英雄达到50级
,1010024,我罩你Ⅱ,10个英雄达到60级
,1010025,一切有我！,10个英雄达到70级
,1010026,以武服人,10个英雄达到80级
,1010027,搞事！搞事！Ⅰ,15个英雄达到20级
,1010028,搞事！搞事！Ⅱ,15个英雄达到30级
,1010029,搞事！搞事！Ⅲ,15个英雄达到40级
,1010030,超级硬核Ⅰ,15个英雄达到50级
,1010031,超级硬核Ⅱ,15个英雄达到60级
,1010032,击败一百个敌人的眼神,15个英雄达到70级
,1010033,我，大佬，服不服,15个英雄达到80级
,1010034,不要停，继续冲Ⅰ,20个英雄达到20级
,1010035,不要停，继续冲Ⅱ,20个英雄达到30级
,1010036,不要停，继续冲Ⅲ,20个英雄达到40级
,1010037,还要更强Ⅰ,20个英雄达到50级
,1010038,还要更强Ⅱ,20个英雄达到60级
,1010039,还要更强Ⅲ,20个英雄达到70级
,1010040,藐视群雄,20个英雄达到80级
,1010041,破！不破不立,3个英雄启源到4阶
,1010042,破！势如破竹,3个英雄启源到5阶
,1010043,破！进击的突破者,3个英雄启源到6阶
,1010044,破！突破无止境,3个英雄启源到7阶
,1010045,突！不破不立,6个英雄启源到4阶
,1010046,突！势如破竹,6个英雄启源到5阶
,1010047,突！进击的突破者,6个英雄启源到6阶
,1010048,突！突破无止境,6个英雄启源到7阶
,1010049,燃！不破不立,10个英雄启源到4阶
,1010050,燃！势如破竹,10个英雄启源到5阶
,1010051,燃！进击的突破者,10个英雄启源到6阶
,1010052,燃！突破无止境,10个英雄启源到7阶
,1010053,爆！不破不立,15个英雄启源到4阶
,1010054,爆！势如破竹,15个英雄启源到5阶
,1010055,爆！进击的突破者,15个英雄启源到6阶
,1010056,爆！突破无止境,15个英雄启源到7阶
,1010057,极！不破不立,20个英雄启源到4阶
,1010058,极！势如破竹,20个英雄启源到5阶
,1010059,极！进击的突破者,20个英雄启源到6阶
,1010060,极！突破无止境,20个英雄启源到7阶
,1010061,初识·一脸欢喜,1个英雄好感度达到友好
,1010062,升温·重在参与,1个英雄好感度达到欣赏
,1010063,羞涩·小脸一红,1个英雄好感度达到喜欢
,1010064,怦然·怦怦怦怦,1个英雄好感度达到喜爱
,1010065,心动·单手比心,1个英雄好感度达到喜爱满心
,1010066,初识·眉飞色舞,3个英雄好感度达到友好
,1010067,升温·改日再约,3个英雄好感度达到欣赏
,1010068,羞涩·老脸一红,3个英雄好感度达到喜欢
,1010069,怦然·小鹿乱撞,3个英雄好感度达到喜爱
,1010070,心动·双手比心,3个英雄好感度达到喜爱满心
,1010071,初识·心花怒放,6个英雄好感度达到友好
,1010072,升温·一周一会,6个英雄好感度达到欣赏
,1010073,羞涩·脸红六连,6个英雄好感度达到喜欢
,1010074,怦然·敲锣打鼓,6个英雄好感度达到喜爱
,1010075,心动·叉腰比心,6个英雄好感度达到喜爱满心
,1010076,初识·欢欣鼓舞,10个英雄好感度达到友好
,1010077,升温·随叫随到,10个英雄好感度达到欣赏
,1010078,羞涩·满脸通红,10个英雄好感度达到喜欢
,1010079,怦然·时速一百八,10个英雄好感度达到喜爱
,1010080,心动·翻滚比心,10个英雄好感度达到喜爱满心
,1010081,初识·欣喜若狂,20个英雄好感度达到友好
,1010082,升温·知根知底,20个英雄好感度达到欣赏
,1010083,羞涩·面如潮红,20个英雄好感度达到喜欢
,1010084,怦然·纯情四重奏,20个英雄好感度达到喜爱
,1010085,心动·比心狂热,20个英雄好感度达到喜爱满心
,1010086,强化使我快乐Ⅰ,3个英雄的4件装备强化到10级
,1010087,强化使我快乐Ⅱ,3个英雄的4件装备强化到15级
,1010088,强化使我快乐Ⅲ,3个英雄的4件装备强化到20级
,1010089,强化使我快乐Ⅳ,3个英雄的4件装备强化到25级
,1010090,强化使我快乐Ⅴ,3个英雄的4件装备强化到30级
,1010091,强者配利器Ⅰ,3个英雄的4件装备强化到35级
,1010092,强者配利器Ⅱ,3个英雄的4件装备强化到40级
,1010093,强者配利器Ⅲ,3个英雄的4件装备强化到45级
,1010094,强者配利器Ⅳ,3个英雄的4件装备强化到50级
,1010095,强者配利器Ⅴ,3个英雄的4件装备强化到55级
,1010096,叫我强化大佬Ⅰ,3个英雄的4件装备强化到60级
,1010097,叫我强化大佬Ⅱ,3个英雄的4件装备强化到65级
,1010098,叫我强化大佬Ⅲ,3个英雄的4件装备强化到70级
,1010099,叫我强化大佬Ⅳ,3个英雄的4件装备强化到75级
,1010100,叫我强化大佬Ⅴ,3个英雄的4件装备强化到80级
,1010101,变强，从未止步Ⅰ,6个英雄的4件装备强化到10级
,1010102,变强，从未止步Ⅱ,6个英雄的4件装备强化到15级
,1010103,变强，从未止步Ⅲ,6个英雄的4件装备强化到20级
,1010104,变强，从未止步Ⅳ,6个英雄的4件装备强化到25级
,1010105,变强，从未止步Ⅴ,6个英雄的4件装备强化到30级
,1010106,你强，我也强Ⅰ,6个英雄的4件装备强化到35级
,1010107,你强，我也强Ⅱ,6个英雄的4件装备强化到40级
,1010108,你强，我也强Ⅲ,6个英雄的4件装备强化到45级
,1010109,你强，我也强Ⅳ,6个英雄的4件装备强化到50级
,1010110,你强，我也强Ⅴ,6个英雄的4件装备强化到55级
,1010111,开启强者模式Ⅰ,6个英雄的4件装备强化到60级
,1010112,开启强者模式Ⅱ,6个英雄的4件装备强化到65级
,1010113,开启强者模式Ⅲ,6个英雄的4件装备强化到70级
,1010114,开启强者模式Ⅳ,6个英雄的4件装备强化到75级
,1010115,开启强者模式Ⅴ,6个英雄的4件装备强化到80级
,1010116,强，强，强！Ⅰ,10个英雄的4件装备强化到10级
,1010117,强，强，强！Ⅱ,10个英雄的4件装备强化到15级
,1010118,强，强，强！Ⅲ,10个英雄的4件装备强化到20级
,1010119,强，强，强！Ⅳ,10个英雄的4件装备强化到25级
,1010120,强，强，强！Ⅴ,10个英雄的4件装备强化到30级
,1010121,强到刺眼Ⅰ,10个英雄的4件装备强化到35级
,1010122,强到刺眼Ⅱ,10个英雄的4件装备强化到40级
,1010123,强到刺眼Ⅲ,10个英雄的4件装备强化到45级
,1010124,强到刺眼Ⅳ,10个英雄的4件装备强化到50级
,1010125,强到刺眼Ⅴ,10个英雄的4件装备强化到55级
,1010126,强的代名词Ⅰ,10个英雄的4件装备强化到60级
,1010127,强的代名词Ⅱ,10个英雄的4件装备强化到65级
,1010128,强的代名词Ⅲ,10个英雄的4件装备强化到70级
,1010129,强的代名词Ⅳ,10个英雄的4件装备强化到75级
,1010130,强的代名词Ⅴ,10个英雄的4件装备强化到80级
,1010131,装备使人心安Ⅰ,15个英雄的4件装备强化到10级
,1010132,装备使人心安Ⅱ,15个英雄的4件装备强化到15级
,1010133,装备使人心安Ⅲ,15个英雄的4件装备强化到20级
,1010134,装备使人心安Ⅳ,15个英雄的4件装备强化到25级
,1010135,装备使人心安Ⅴ,15个英雄的4件装备强化到30级
,1010136,好装备便是依靠Ⅰ,15个英雄的4件装备强化到35级
,1010137,好装备便是依靠Ⅱ,15个英雄的4件装备强化到40级
,1010138,好装备便是依靠Ⅲ,15个英雄的4件装备强化到45级
,1010139,好装备便是依靠Ⅳ,15个英雄的4件装备强化到50级
,1010140,好装备便是依靠Ⅴ,15个英雄的4件装备强化到55级
,1010141,优秀装备强无敌Ⅰ,15个英雄的4件装备强化到60级
,1010142,优秀装备强无敌Ⅱ,15个英雄的4件装备强化到65级
,1010143,优秀装备强无敌Ⅲ,15个英雄的4件装备强化到70级
,1010144,优秀装备强无敌Ⅳ,15个英雄的4件装备强化到75级
,1010145,优秀装备强无敌Ⅴ,15个英雄的4件装备强化到80级
,1010146,强化专家Ⅰ,20个英雄的4件装备强化到10级
,1010147,强化专家Ⅱ,20个英雄的4件装备强化到15级
,1010148,强化专家Ⅲ,20个英雄的4件装备强化到20级
,1010149,强化专家Ⅳ,20个英雄的4件装备强化到25级
,1010150,强化专家Ⅴ,20个英雄的4件装备强化到30级
,1010151,强化天才Ⅰ,20个英雄的4件装备强化到35级
,1010152,强化天才Ⅱ,20个英雄的4件装备强化到40级
,1010153,强化天才Ⅲ,20个英雄的4件装备强化到45级
,1010154,强化天才Ⅳ,20个英雄的4件装备强化到50级
,1010155,强化天才Ⅴ,20个英雄的4件装备强化到55级
,1010156,强化界的传奇Ⅰ,20个英雄的4件装备强化到60级
,1010157,强化界的传奇Ⅱ,20个英雄的4件装备强化到65级
,1010158,强化界的传奇Ⅲ,20个英雄的4件装备强化到70级
,1010159,强化界的传奇Ⅳ,20个英雄的4件装备强化到75级
,1010160,强化界的传奇Ⅴ,20个英雄的4件装备强化到80级
,1010196,我的装备我做主Ⅰ,3个英雄的4件装备升到紫色品质
,1010197,我的装备我做主Ⅱ,3个英雄的4件装备升到橙色品质
,1010198,我的装备我做主Ⅲ,3个英雄的4件装备升到橙R
,1010199,我的装备我做主Ⅳ,3个英雄的4件装备升到橙SR
,1010200,以装备捍卫尊严Ⅰ,6个英雄的4件装备升到紫色品质
,1010201,以装备捍卫尊严Ⅱ,6个英雄的4件装备升到橙色品质
,1010202,以装备捍卫尊严Ⅲ,6个英雄的4件装备升到橙R
,1010203,以装备捍卫尊严Ⅳ,6个英雄的4件装备升到橙SR
,1010204,一身装备威震天Ⅰ,10个英雄的4件装备升到紫色品质
,1010205,一身装备威震天Ⅱ,10个英雄的4件装备升到橙色品质
,1010206,一身装备威震天Ⅲ,10个英雄的4件装备升到橙R
,1010207,一身装备威震天Ⅳ,10个英雄的4件装备升到橙SR
,1010208,战斗不息强化不止Ⅰ,15个英雄的4件装备升到紫色品质
,1010209,战斗不息强化不止Ⅱ,15个英雄的4件装备升到橙色品质
,1010210,战斗不息强化不止Ⅲ,15个英雄的4件装备升到橙R
,1010211,战斗不息强化不止Ⅳ,15个英雄的4件装备升到橙SR
,1010212,装备在手天下我有Ⅰ,20个英雄的4件装备升到紫色品质
,1010213,装备在手天下我有Ⅱ,20个英雄的4件装备升到橙色品质
,1010214,装备在手天下我有Ⅲ,20个英雄的4件装备升到橙R
,1010215,装备在手天下我有Ⅳ,20个英雄的4件装备升到橙SR
,1010216,技高一筹Ⅰ,技能最高到达3级
,1010217,技高一筹Ⅱ,技能最高到达4级
,1010218,技高一筹Ⅲ,技能最高到达5级
,1010219,技高一筹Ⅳ,技能最高到达6级
,1010220,技高一筹Ⅴ,技能最高到达7级
,1010221,赏心悦目的能力Ⅰ,1个英雄5个技能均达到2级
,1010222,赏心悦目的能力Ⅱ,1个英雄5个技能均达到3级
,1010223,赏心悦目的能力Ⅲ,1个英雄5个技能均达到4级
,1010224,赏心悦目的能力Ⅳ,1个英雄5个技能均达到5级
,1010225,赏心悦目的能力Ⅴ,1个英雄5个技能均达到6级
,1010226,赏心悦目的能力Ⅵ,1个英雄5个技能均达到7级
,1010227,艺高胆大的技巧Ⅰ,3个英雄5个技能均达到2级
,1010228,艺高胆大的技巧Ⅱ,3个英雄5个技能均达到3级
,1010229,艺高胆大的技巧Ⅲ,3个英雄5个技能均达到4级
,1010230,艺高胆大的技巧Ⅳ,3个英雄5个技能均达到5级
,1010231,艺高胆大的技巧Ⅴ,3个英雄5个技能均达到6级
,1010232,艺高胆大的技巧Ⅵ,3个英雄5个技能均达到7级
,1010233,深谋远虑的计策Ⅰ,6个英雄5个技能均达到2级
,1010234,深谋远虑的计策Ⅱ,6个英雄5个技能均达到3级
,1010235,深谋远虑的计策Ⅲ,6个英雄5个技能均达到4级
,1010236,深谋远虑的计策Ⅳ,6个英雄5个技能均达到5级
,1010237,深谋远虑的计策Ⅴ,6个英雄5个技能均达到6级
,1010238,深谋远虑的计策Ⅵ,6个英雄5个技能均达到7级
,1010239,技压群雄的强大Ⅰ,10个英雄5个技能均达到2级
,1010240,技压群雄的强大Ⅱ,10个英雄5个技能均达到3级
,1010241,技压群雄的强大Ⅲ,10个英雄5个技能均达到4级
,1010242,技压群雄的强大Ⅳ,10个英雄5个技能均达到5级
,1010243,技压群雄的强大Ⅴ,10个英雄5个技能均达到6级
,1010244,技压群雄的强大Ⅵ,10个英雄5个技能均达到7级
,1010245,看我七十二技Ⅰ,15个英雄5个技能均达到2级
,1010246,看我七十二技Ⅱ,15个英雄5个技能均达到3级
,1010247,看我七十二技Ⅲ,15个英雄5个技能均达到4级
,1010248,看我七十二技Ⅳ,15个英雄5个技能均达到5级
,1010249,看我七十二技Ⅴ,15个英雄5个技能均达到6级
,1010250,看我七十二技Ⅵ,15个英雄5个技能均达到7级
,1010251,绝技无双Ⅰ,20个英雄5个技能均达到2级
,1010252,绝技无双Ⅱ,20个英雄5个技能均达到3级
,1010253,绝技无双Ⅲ,20个英雄5个技能均达到4级
,1010254,绝技无双Ⅳ,20个英雄5个技能均达到5级
,1010255,绝技无双Ⅴ,20个英雄5个技能均达到6级
,1010256,绝技无双Ⅵ,20个英雄5个技能均达到7级
,1010257,符文养成·一枝独秀Ⅰ,1个蓝色符文最高到达2级
,1010258,符文养成·一枝独秀Ⅱ,1个蓝色符文最高到达3级
,1010259,符文养成·一枝独秀Ⅲ,1个蓝色符文最高到达4级
,1010260,符文养成·一枝独秀Ⅳ,1个蓝色符文最高到达5级
,1010261,符文养成·坚决不浪Ⅰ,3个蓝色符文最高到达2级
,1010262,符文养成·坚决不浪Ⅱ,3个蓝色符文最高到达3级
,1010263,符文养成·坚决不浪Ⅲ,3个蓝色符文最高到达4级
,1010264,符文养成·坚决不浪Ⅳ,3个蓝色符文最高到达5级
,1010265,符文养成·稳定发育Ⅰ,6个蓝色符文最高到达2级
,1010266,符文养成·稳定发育Ⅱ,6个蓝色符文最高到达3级
,1010267,符文养成·稳定发育Ⅲ,6个蓝色符文最高到达4级
,1010268,符文养成·稳定发育Ⅳ,6个蓝色符文最高到达5级
,1010269,符文养成·持续变强Ⅰ,12个蓝色符文最高到达2级
,1010270,符文养成·持续变强Ⅱ,12个蓝色符文最高到达3级
,1010271,符文养成·持续变强Ⅲ,12个蓝色符文最高到达4级
,1010272,符文养成·持续变强Ⅳ,12个蓝色符文最高到达5级
,1010273,符文养成·战力称王Ⅰ,25个蓝色符文最高到达2级
,1010274,符文养成·战力称王Ⅱ,25个蓝色符文最高到达3级
,1010275,符文养成·战力称王Ⅲ,25个蓝色符文最高到达4级
,1010276,符文养成·战力称王Ⅳ,25个蓝色符文最高到达5级
,1010277,一鸣惊人的符文Ⅰ,1个紫色符文最高到达2级
,1010278,一鸣惊人的符文Ⅱ,1个紫色符文最高到达3级
,1010279,一鸣惊人的符文Ⅲ,1个紫色符文最高到达4级
,1010280,一鸣惊人的符文Ⅳ,1个紫色符文最高到达5级
,1010281,不同凡响的符文Ⅰ,3个紫色符文最高到达2级
,1010282,不同凡响的符文Ⅱ,3个紫色符文最高到达3级
,1010283,不同凡响的符文Ⅲ,3个紫色符文最高到达4级
,1010284,不同凡响的符文Ⅳ,3个紫色符文最高到达5级
,1010285,所向披靡的符文Ⅰ,6个紫色符文最高到达2级
,1010286,所向披靡的符文Ⅱ,6个紫色符文最高到达3级
,1010287,所向披靡的符文Ⅲ,6个紫色符文最高到达4级
,1010288,所向披靡的符文Ⅳ,6个紫色符文最高到达5级
,1010289,威慑四方的符文Ⅰ,12个紫色符文最高到达2级
,1010290,威慑四方的符文Ⅱ,12个紫色符文最高到达3级
,1010291,威慑四方的符文Ⅲ,12个紫色符文最高到达4级
,1010292,威慑四方的符文Ⅳ,12个紫色符文最高到达5级
,1010293,藐视一切的符文Ⅰ,25个紫色符文最高到达2级
,1010294,藐视一切的符文Ⅱ,25个紫色符文最高到达3级
,1010295,藐视一切的符文Ⅲ,25个紫色符文最高到达4级
,1010296,藐视一切的符文Ⅳ,25个紫色符文最高到达5级
,1010297,胆敢挑衅，符文伺候Ⅰ,1个橙色符文最高到达2级
,1010298,胆敢挑衅，符文伺候Ⅱ,1个橙色符文最高到达3级
,1010299,胆敢挑衅，符文伺候Ⅲ,1个橙色符文最高到达4级
,1010300,胆敢挑衅，符文伺候Ⅳ,1个橙色符文最高到达5级
,1010301,输出超凶，全靠符文Ⅰ,3个橙色符文最高到达2级
,1010302,输出超凶，全靠符文Ⅱ,3个橙色符文最高到达3级
,1010303,输出超凶，全靠符文Ⅲ,3个橙色符文最高到达4级
,1010304,输出超凶，全靠符文Ⅳ,3个橙色符文最高到达5级
,1010305,强力符文，专治不服Ⅰ,6个橙色符文最高到达2级
,1010306,强力符文，专治不服Ⅱ,6个橙色符文最高到达3级
,1010307,强力符文，专治不服Ⅲ,6个橙色符文最高到达4级
,1010308,强力符文，专治不服Ⅳ,6个橙色符文最高到达5级
,1010309,手持符文，超级膨胀Ⅰ,12个橙色符文最高到达2级
,1010310,手持符文，超级膨胀Ⅱ,12个橙色符文最高到达3级
,1010311,手持符文，超级膨胀Ⅲ,12个橙色符文最高到达4级
,1010312,手持符文，超级膨胀Ⅳ,12个橙色符文最高到达5级
,1010313,符文升级，秒掉所有Ⅰ,25个橙色符文最高到达2级
,1010314,符文升级，秒掉所有Ⅱ,25个橙色符文最高到达3级
,1010315,符文升级，秒掉所有Ⅲ,25个橙色符文最高到达4级
,1010316,符文升级，秒掉所有Ⅳ,25个橙色符文最高到达5级
,1010317,一技绝尘无人比肩Ⅰ,1个英雄的5个技能镶嵌紫色以上符文
,1010318,一技绝尘无人比肩Ⅱ,3个英雄的5个技能镶嵌紫色以上符文
,1010319,一技绝尘无人比肩Ⅲ,6个英雄的5个技能镶嵌紫色以上符文
,1010320,一技绝尘无人比肩Ⅳ,10个英雄的5个技能镶嵌紫色以上符文
,1010321,一技绝尘无人比肩Ⅴ,15个英雄的5个技能镶嵌紫色以上符文
,1010322,一技绝尘无人比肩Ⅵ,20个英雄的5个技能镶嵌紫色以上符文
,1010323,世间万技为我所用Ⅰ,1个英雄的5个技能镶嵌橙色以上符文
,1010324,世间万技为我所用Ⅱ,3个英雄的5个技能镶嵌橙色以上符文
,1010325,世间万技为我所用Ⅲ,6个英雄的5个技能镶嵌橙色以上符文
,1010326,世间万技为我所用Ⅳ,10个英雄的5个技能镶嵌橙色以上符文
,1010327,世间万技为我所用Ⅴ,15个英雄的5个技能镶嵌橙色以上符文
,1010328,世间万技为我所用Ⅵ,20个英雄的5个技能镶嵌橙色以上符文
,1010329,养成萌新·本命萌芽Ⅰ,3个本命达到10级
,1010330,养成萌新·本命萌芽Ⅱ,3个本命达到20级
,1010331,养成萌新·本命萌芽Ⅲ,3个本命达到30级
,1010332,养成萌新·本命成长Ⅰ,3个本命达到40级
,1010333,养成萌新·本命成长Ⅱ,3个本命达到50级
,1010334,养成萌新·本命蓬勃Ⅰ,3个本命达到60级
,1010335,养成萌新·本命蓬勃Ⅱ,3个本命达到70级
,1010336,养成萌新·破茧成蝶,3个本命达到80级
,1010337,见习养成·本命萌芽Ⅰ,5个本命达到10级
,1010338,见习养成·本命萌芽Ⅱ,5个本命达到20级
,1010339,见习养成·本命萌芽Ⅲ,5个本命达到30级
,1010340,见习养成·本命成长Ⅰ,5个本命达到40级
,1010341,见习养成·本命成长Ⅱ,5个本命达到50级
,1010342,见习养成·本命蓬勃Ⅰ,5个本命达到60级
,1010343,见习养成·本命蓬勃Ⅱ,5个本命达到70级
,1010344,见习养成·破茧成蝶,5个本命达到80级
,1010345,养成达人·本命萌芽Ⅰ,10个本命达到10级
,1010346,养成达人·本命萌芽Ⅱ,10个本命达到20级
,1010347,养成达人·本命萌芽Ⅲ,10个本命达到30级
,1010348,养成达人·本命成长Ⅰ,10个本命达到40级
,1010349,养成达人·本命成长Ⅱ,10个本命达到50级
,1010350,养成达人·本命蓬勃Ⅰ,10个本命达到60级
,1010351,养成达人·本命蓬勃Ⅱ,10个本命达到70级
,1010352,养成达人·破茧成蝶,10个本命达到80级
,1010353,养成高手·本命萌芽Ⅰ,15个本命达到10级
,1010354,养成高手·本命萌芽Ⅱ,15个本命达到20级
,1010355,养成高手·本命萌芽Ⅲ,15个本命达到30级
,1010356,养成高手·本命成长Ⅰ,15个本命达到40级
,1010357,养成高手·本命成长Ⅱ,15个本命达到50级
,1010358,养成高手·本命蓬勃Ⅰ,15个本命达到60级
,1010359,养成高手·本命蓬勃Ⅱ,15个本命达到70级
,1010360,养成高手·破茧成蝶,15个本命达到80级
,1010361,养成大师·本命萌芽Ⅰ,20个本命达到10级
,1010362,养成大师·本命萌芽Ⅱ,20个本命达到20级
,1010363,养成大师·本命萌芽Ⅲ,20个本命达到30级
,1010364,养成大师·本命成长Ⅰ,20个本命达到40级
,1010365,养成大师·本命成长Ⅱ,20个本命达到50级
,1010366,养成大师·本命蓬勃Ⅰ,20个本命达到60级
,1010367,养成大师·本命蓬勃Ⅱ,20个本命达到70级
,1010368,养成大师·破茧成蝶,20个本命达到80级
,1010369,养成宗师·本命萌芽Ⅰ,30个本命达到10级
,1010370,养成宗师·本命萌芽Ⅱ,30个本命达到20级
,1010371,养成宗师·本命萌芽Ⅲ,30个本命达到30级
,1010372,养成宗师·本命成长Ⅰ,30个本命达到40级
,1010373,养成宗师·本命成长Ⅱ,30个本命达到50级
,1010374,养成宗师·本命蓬勃Ⅰ,30个本命达到60级
,1010375,养成宗师·本命蓬勃Ⅱ,30个本命达到70级
,1010376,养成宗师·破茧成蝶,30个本命达到80级
,1010377,本命星级，了解一下Ⅰ,3个本命达到2星级
,1010378,本命星级，了解一下Ⅱ,3个本命达到3星级
,1010379,本命星级，了解一下Ⅲ,3个本命达到4星级
,1010380,本命星级，安排了Ⅰ,3个本命达到5星级
,1010381,本命星级，安排了Ⅱ,3个本命达到6星级
,1010382,本命，我们走,3个本命达到7星级
,1010383,偷单车也要养本命Ⅰ,5个本命达到2星级
,1010384,偷单车也要养本命Ⅱ,5个本命达到3星级
,1010385,偷单车也要养本命Ⅲ,5个本命达到4星级
,1010386,本命与强大，我都要Ⅰ,5个本命达到5星级
,1010387,本命与强大，我都要Ⅱ,5个本命达到6星级
,1010388,有了本命再也不愁,5个本命达到7星级
,1010389,拜托了，我的本命Ⅰ,10个本命达到2星级
,1010390,拜托了，我的本命Ⅱ,10个本命达到3星级
,1010391,拜托了，我的本命Ⅲ,10个本命达到4星级
,1010392,辛苦了，我的本命Ⅰ,10个本命达到5星级
,1010393,辛苦了，我的本命Ⅱ,10个本命达到6星级
,1010394,厉害了，我的本命,10个本命达到7星级
,1010395,为本命爆灯Ⅰ,15个本命达到2星级
