,id,title,info,end1,content1,end2,content2,end3,content3
,10701,“无趣”的圣界,对于闲不住的夜崎隐而言，所有的生活美学都在抵抗两个字——无聊。可是，无聊的一天又开始了。,嘭~禁止无聊,如果圣界的成员可以选择，他们多希望夜崎隐可以不在无聊的时候想起他们，但是希望永远成不了真。,,,,
,10702,独家访谈,《卡诺萨头条》资深记者独家专访风头正盛的圣界神秘成员夜崎隐，为您揭秘面具下的那个他。下面，请看报道。,专访进行时,采访夜崎隐是头条哥布林记者生涯的最大危机，直到今天他闭上眼还会出现夜崎隐似笑非笑的脸庞，以及那柄出鞘的武士刀。,,,,
,10801,高冷少女,在他人眼中，阿德琳是个表情冷漠、寡言少语的高冷少女，谁也不懂她心里到底在想些什么。,心中的世界,谁说高冷少女不可爱？只是你不懂！阿德琳的内心世界，每天都很精彩。帅哥什么的，只是很小一部分。不过，这些才不会轻易告诉你！,,,,
,10802,啊？是路痴！,森林的路，太复杂……向左向右都一样，傻傻分不清。阿德琳很郁闷，为什么她又又又在森林迷路了！这不科学！,嘘……这是秘密！,阿德琳的打猎时间表——6：00出门，23：00回家。咦？这中间怎么省略了这么多？什么？这是不能说的秘密？好吧。,,,,
,11101,不可弃之物,演武祭重开在即，藏于角落的阴暗也张牙舞爪地向迪罗赞扑来。信念与友情，站在选择的路口，迪罗赞该何去何从？,不妥协，不放弃,比赛不仅仅是测试勇气和力量，它也在测试我们的心灵和信念。迪罗赞不会丢弃信念，可谁又能说他没有温柔的一面呢？,,,,
,11102,心有猛狮，细嗅萌猫,即使是凶猛的狮子也会有温柔的时候，忙碌而远大的雄心也会被猫咪的可爱折服，安然感受它们的萌态。,喵，合格的铲屎官,迪罗赞真如他所说的那样不喜欢猫咪吗？答案显而易见，不论是谁，都有刚与柔的两面。小心翼翼的迪罗赞，只是不想惊扰了猫咪们。,,,,
,11201,磨合期,米兰达的机械羽翼上为何总是出现奇怪的磨损？面对疑问，米兰达又为何露出尴尬的笑容？带你走进，米兰达背后的故事。,这倒是意外,纳雅总司令米兰达，不管处理什么事都能游刃有余。却唯独在与机械羽翼的日常相处上，总是磕磕碰碰……难道，这就是所谓的磨合期？,,,,
,11202,旅行的意义,米兰达即使事务再忙，她也会抽出时间去各地旅游。她认为，这些游历经验能让她更好地了解这个世界。,湖畔镇一日游,湖畔镇居民热情似火，哥布林小报捕风捉影。虽然此次旅游，米兰达收获不少，但如果可以，她下次旅游想找个没人的自然风景区。,,,,
,11301,街头秀的小插曲,周末来了，大家期待的纳塔娜街头秀要开始了！不过这次，似乎发生了一点小插曲……,插曲的休止符,所有破坏其他人对魔术的幻想和体验，让大家无法体验快乐的事情，纳塔娜都会努力阻止！,,,,
,11302,身边的魔术师,小朋友的笑容被泪水掩盖？纳塔娜可不会袖手旁观，轮到追踪魔法发挥作用了！,最好的报酬,小朋友终于回到了父母的身边，他们一家人的笑容，就是纳塔娜收到的最好的报酬。,,,,
,11401,出乎意料的技能,“萨米尔这家伙看上去只会用蛮力，没什么文化的样子，但其实竟意外的靠谱……特别是精灵方面，他懂得还不少。”——檐鬼。,另有隐情,萨米尔似乎对精灵族的各类暗语、机关、习俗都了如指掌。面对檐鬼的追问，萨米尔却闭口不谈。这其中究竟有什么隐情？,,,,
,11402,隐藏的内心,萨米尔虽是兽人，但他的耳朵形态，却证明他与精灵族有着千丝万缕的关系。萨米尔样貌的背后，是否有着不为人知的秘密？,身世之谜,雪崩时，没有一片雪花是无辜的。初到精灵部落的小萨米尔，也曾试图融入精灵的世界。然而，只因混血的身份，却被所有人当成异类。,,,,
,20101,头条：走进天才少女,当“魔法学院之光”温丽大小姐，遇上“八卦头条”哥布林，微笑还是拒绝，这是个问题。,《这样的大小姐》,温丽·芙蕾雅独家专访，为你深刻剖析芙蕾雅家族血脉背后不为人知的秘密！温丽大小姐眼中的自己，竟是如此模样！,《他们眼中的温丽》,魔法学院人才济济，为何唯独她，能年年第一？！这背后，究竟是虚假数据当道，还是贵族特权盛行？温丽的同学们，血泪控诉！,,
,20102,越努力，越幸运,魔法的意义是什么？是带来爱与希望！魔法少女温丽，努力用魔法，点亮生活。,魔法料理，出击！,面对无法得到的美味料理，温丽大小姐大手一挥，潇洒表示，看我的！只要勤学苦练，魔法也能做美食！,燃烧我的卡路里,为了控制热量而拒绝美食？不可能的。温丽大小姐的字典里，不存在放弃美食这种事情。最多，就是苦练魔法，燃烧燃烧卡路里这样子。,,
,20103,魔法师？医疗师？,拿着魔法师的证，干着医疗师的活。温丽认为，不想当医疗师的魔法师，不是一个好队友。,或许，术业有专攻？,“如果能重来，我一定要选A！”温丽怎么也想不明白，为什么自己认认真真答题的结果，竟然是一张终极法师考试推荐信！,,,,
,30101,爱琳娜的秘密？,你见过清晨6点的卡诺萨吗？爱琳娜一大清早就拉着温丽西蒙去集市采购，这是要做什么？,有故事的布娃娃,爱琳娜有心事，这很明显。但更明显的是，这件事，她显然不愿意同任何人说起。她手里紧紧握着的布娃娃，也许就是秘密所在。,,,,
,30102,感觉钱包被掏空,爱琳娜又又又收到罚单了，存款又又又见底了！可是不对啊，赏金任务那么多钱，都没了？,记账是个好习惯,你以为爱琳娜糊里糊涂大手大脚就把钱花光了？不，你错了，爱琳娜不仅记账，甚至每一笔流水都有它自己的意义。没想到吧！,人生，总是充满意外,钱没了，那就再赚呗。爱琳娜一口气接了十几个盗贼赏金任务，然而，她的存款却并没有变多……这一切，只因那个偷面包的流浪小孩。,,
,30103,见多识广爱琳娜,如何在最短的时间内，解决最多的赏金任务？爱琳娜小课堂为你答疑解惑，带你亲身体验。,经验也是一种力量,美貌，强悍，机智的大脑，社会我爱琳娜。爱琳娜闯荡这么多年，知识储量涉及方方面面，见多识广人设永远不崩！,,,,
,30201,娇艳的玫瑰,美丽的小姐姐，谁不爱呢？爱琪就像朵娇艳的玫瑰，令人不禁沉醉其中。但，玫瑰有刺哦~,诱敌深入,酒馆遇见浪荡青年怎么办？爱琪课堂开课啦：将其引入后街小巷后，再招来手下将其暴揍一顿！对付这些臭流氓，爱琪从不屑亲自动手。,沉醉不知刺,总有人想摘取玫瑰，却忘了玫瑰梗上满是刺。搭讪爱琪，大概是浪荡青年最后悔的一件事，什么都没捞到，全身家当反而不翼而飞。,,
,30202,依稀浮现的过往,爱琪告诫自己，无用的情绪是庸人自扰。可看不见希望的寻找，却也让她的心情有了起伏。,似曾相识,因一个芝士挞引发的跟踪案。看着被恶徒欺凌殴打的小女孩，爱琪似乎看到了从前的自己……或许，玫瑰团也可以成为小女孩的出路。,已是过去式,爱琪原本只是想在集市上派遣情绪，却反而因一桩小事，勾起了往事的记忆。没有什么过去值得留念，爱琪只想把握住现在。,,
,40102,龙骑的献礼,目睹魔神的力量后，暗黑龙骑乔伊心生欲望。那股追求力量的欲望驱使着他手刃暗黑龙，向魔神献上忠诚。,追求绝对力量,在魔神的绝对力量面前，任何人和物都显得渺小。乔伊遵循内心的渴求，毫不犹豫地做出选择——弑龙。,,,,
