,id,title,description
,1095,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第70名
,1096,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第71名
,1097,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第72名
,1098,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第73名
,1099,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第74名
,1100,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第75名
,1101,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第76名
,1102,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第77名
,1103,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第78名
,1104,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第79名
,1105,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第80名
,1106,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第81名
,1107,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第82名
,1108,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第83名
,1109,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第84名
,1110,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第85名
,1111,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第86名
,1112,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第87名
,1113,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第88名
,1114,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第89名
,1115,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第90名
,1116,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第91名
,1117,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第92名
,1118,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第93名
,1119,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第94名
,1120,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第95名
,1121,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第96名
,1122,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第97名
,1123,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第98名
,1124,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第99名
,1125,安静安静，新新势力正在崛起,（赛季最终）骑士考核 第100名
,1126,任务小能手，任务在手，天下我有,每日课程表的活跃度达到100点
,1132,公会大佬，指点江山舍我其谁,（每周）公会活跃度达到3000点
,1136,欧皇现世，不用偷渡已在欧洲,抽到橙色英雄
,1137,欧皇降临，氪能改命玄能救非,抽到橙色本命
,1138,可爱萌新，以后还请多多关照,2个英雄达到了3阶
,1139,可爱萌新，以后还请多多关照,2个英雄达到了6阶
,1140,初出茅庐，打的就是你,2个英雄达到了9阶
,1141,初出茅庐，打的就是你,2个英雄达到了12阶
,1142,崭露头角，论英雄是怎样养成的,5个英雄达到了3阶
,1143,崭露头角，论英雄是怎样养成的,5个英雄达到了6阶
,1144,冉冉新秀，给你眼神自己体会,5个英雄达到了9阶
,1145,冉冉新秀，给你眼神自己体会,5个英雄达到了12阶
,1146,声名鹊起，人多势众气势不能输,8个英雄达到了3阶
,1147,声名鹊起，人多势众气势不能输,8个英雄达到了6阶
,1148,叱咤风云，杂事只会影响我升级,8个英雄达到了9阶
,1149,叱咤风云，杂事只会影响我升级,8个英雄达到了12阶
,1150,名扬天下，人海战术闪亮登场,12个英雄达到了3阶
,1151,名扬天下，人海战术闪亮登场,12个英雄达到了6阶
,1152,笑傲巅峰，在下强势选手有何贵干,12个英雄达到了9阶
,1153,笑傲巅峰，在下强势选手有何贵干,12个英雄达到了12阶
,1154,永无止境，我的强大远非如此,18个英雄达到了3阶
,1155,永无止境，我的强大远非如此,18个英雄达到了6阶
,1156,登峰造极，拜托，是你们太弱,18个英雄达到了9阶
,1157,登峰造极，拜托，是你们太弱,18个英雄达到了12阶
,1158,确认过眼神，一切才刚刚开始,4个英雄的装备升到2星
,1159,确认过眼神，一切才刚刚开始,4个英雄的装备升到3星
,1160,确认过眼神，你的装备没我好,4个英雄的装备升到4星
,1161,确认过眼神，你的装备没我好,4个英雄的装备升到5星
,1162,确认过眼神，锻造是对的,4个英雄的装备升到6星
,1163,确认过眼神，我在变强,4个英雄的装备升到7星
,1164,锻造吗？带我一个,8个英雄的装备升到2星
,1165,锻造吗？带我一个,8个英雄的装备升到3星
,1166,是兄弟，就来一起锻造,8个英雄的装备升到4星
,1167,是兄弟，就来一起锻造,8个英雄的装备升到5星
,1168,一秒不锻造就难受,8个英雄的装备升到6星
,1169,锻造升星技能树早已点亮,8个英雄的装备升到7星
,1170,来啊，升星啊，反正还有大队人马,12个英雄的装备升到2星
,1171,来啊，升星啊，反正还有大队人马,12个英雄的装备升到3星
,1172,我的心里只有锻造，锻造使我快乐,12个英雄的装备升到4星
,1173,我的心里只有锻造，锻造使我快乐,12个英雄的装备升到5星
,1174,何以解忧，何以变强，唯有锻造,12个英雄的装备升到6星
,1175,随便派个人，你都打不过,12个英雄的装备升到7星
,1176,莫问，问就是锻造装备,18个英雄的装备升到2星
,1177,莫问，问就是锻造装备,18个英雄的装备升到3星
,1178,自古深情留不住，唯有锻造得人心,18个英雄的装备升到4星
,1179,自古深情留不住，唯有锻造得人心,18个英雄的装备升到5星
,1180,是锻造赐予了我强者无敌的人生,18个英雄的装备升到6星
,1181,锻造永无止境，强者永远更强,18个英雄的装备升到7星
,1182,掌声响起来，为我鼓个掌,4个英雄的装备升到3阶
,1183,锻造怡情，锻造养身,4个英雄的装备升到4阶
,1184,区区装备升阶，还难不倒我,4个英雄的装备升到5阶
,1185,我就静静地看着弱者挣扎,4个英雄的装备升到6阶
,1186,每天上线首件事，先给装备升个阶,8个英雄的装备升到3阶
,1187,我们不一样，不一样,8个英雄的装备升到4阶
,1188,越努力，实力越强劲,8个英雄的装备升到5阶
,1189,升阶我是认真的，强大我是天生的,8个英雄的装备升到6阶
,1190,大家的装备好，才是真的好,12个英雄的装备升到3阶
,1191,装备强悍，欺负你没道理,12个英雄的装备升到4阶
,1192,一首《凉凉》送给你,12个英雄的装备升到5阶
,1193,在强者的边缘，疯狂试探,12个英雄的装备升到6阶
,1194,360度，无死角装备升阶,18个英雄的装备升到3阶
,1195,我的强大，你无法想象,18个英雄的装备升到4阶
,1196,突如其来的强，搞得我有点惆怅,18个英雄的装备升到5阶
,1197,顶峰之巅，高处不胜寒,18个英雄的装备升到6阶
,1198,你没看错，我要开始冲刺,2个英雄的5个技能均升到2级
,1199,你没看错，我要开始冲刺,2个英雄的5个技能均升到3级
,1200,实力稳步攀升,2个英雄的5个技能均升到4级
,1201,实力稳步攀升,2个英雄的5个技能均升到5级
,1202,提起干劲，迈开步子大步走,2个英雄的5个技能均升到6级
,1203,每一个技能，都经过专业认证,2个英雄的5个技能均升到7级
,1204,铺天盖地，是技能华丽的升级,5个英雄的5个技能均升到2级
,1205,铺天盖地，是技能华丽的升级,5个英雄的5个技能均升到3级
,1206,技能有多强，主要看气质,5个英雄的5个技能均升到4级
,1207,技能有多强，主要看气质,5个英雄的5个技能均升到5级
,1208,技能又升级，得意坏了叉会腰,5个英雄的5个技能均升到6级
,1209,妙啊，是强大的感觉,5个英雄的5个技能均升到7级
,1210,不要怂，就是干,8个英雄的5个技能均升到2级
,1211,不要怂，就是干,8个英雄的5个技能均升到3级
,1212,你过来，自己跪,8个英雄的5个技能均升到4级
,1213,你过来，自己跪,8个英雄的5个技能均升到5级
,1214,早已看穿你的招数,8个英雄的5个技能均升到6级
,1215,手下败将，多说无益,8个英雄的5个技能均升到7级
,1216,走路嚣张，丝毫不慌,12个英雄的5个技能均升到2级
,1217,走路嚣张，丝毫不慌,12个英雄的5个技能均升到3级
,1218,掐指一算，强大指日可待,12个英雄的5个技能均升到4级
,1219,掐指一算，强大指日可待,12个英雄的5个技能均升到5级
,1220,闻到一股弱者的气息,12个英雄的5个技能均升到6级
,1221,以你现在的实力，我们无法沟通,18个英雄的5个技能均升到5级
,1222,我还能打，你们要上一起上,18个英雄的5个技能均升到2级
,1223,我还能打，你们要上一起上,18个英雄的5个技能均升到3级
,1224,别过来，我有弱者恐惧症,18个英雄的5个技能均升到4级
,1225,别过来，我有弱者恐惧症,18个英雄的5个技能均升到5级
,1226,奉劝你，不要在我面前搞事,18个英雄的5个技能均升到6级
,1227,对不起，一个活路都不给你留,18个英雄的5个技能均升到7级
,1228,符文镶嵌的使命，由我担任,2个英雄的5个技能镶嵌橙色以上符文
,1229,不要惊喜，不要意外,5个英雄的5个技能镶嵌橙色以上符文
,1230,可以，这波很强,8个英雄的5个技能镶嵌橙色以上符文
,1231,符文镶嵌，不是为了和你讲道理,12个英雄的5个技能镶嵌橙色以上符文
,1232,一掌下去，安排得你明明白白,18个英雄的5个技能镶嵌橙色以上符文
,1233,终于等到变强，还好我没放弃,2个紫色符文达到2级
,1234,终于等到变强，还好我没放弃,2个紫色符文达到3级
,1235,速度七十迈，变强是自由自在,2个紫色符文达到4级
,1236,速度七十迈，变强是自由自在,2个紫色符文达到5级
,1237,灯光师已就绪，请欣赏我的符文,5个紫色符文达到2级
,1238,灯光师已就绪，请欣赏我的符文,5个紫色符文达到3级
,1239,抱歉，符文太强，控制不了自己,5个紫色符文达到4级
,1240,抱歉，符文太强，控制不了自己,5个紫色符文达到5级
,1241,沉迷符文，日渐强大,10个紫色符文达到2级
,1242,沉迷符文，日渐强大,10个紫色符文达到3级
,1243,强大就是正义,10个紫色符文达到4级
,1244,强大就是正义,10个紫色符文达到5级
,1245,厉害得就快上天了,15个紫色符文达到2级
,1246,厉害得就快上天了,15个紫色符文达到3级
,1247,只要出手，你活不过5秒,15个紫色符文达到4级
,1248,只要出手，你活不过5秒,15个紫色符文达到5级
,1249,除了变强，我别无选择,20个紫色符文达到2级
,1250,除了变强，我别无选择,20个紫色符文达到3级
,1251,符文冠军席位，早已被我内定,20个紫色符文达到4级
,1252,符文冠军席位，早已被我内定,20个紫色符文达到5级
,1253,新的风暴已经出现,2个橙色符文达到2级
,1254,新的风暴已经出现,2个橙色符文达到3级
,1255,为了符文，再战五百年,2个橙色符文达到4级
,1256,为了符文，再战五百年,2个橙色符文达到5级
,1257,年少成名，无所畏惧,5个橙色符文达到2级
,1258,年少成名，无所畏惧,5个橙色符文达到3级
,1259,我允许你摸摸我的符文,5个橙色符文达到4级
,1260,我允许你摸摸我的符文,5个橙色符文达到5级
,1261,来啊，互相伤害啊,10个橙色符文达到2级
,1262,来啊，互相伤害啊,10个橙色符文达到3级
,1263,珍爱生命，远离我,10个橙色符文达到4级
,1264,珍爱生命，远离我,10个橙色符文达到5级
,1265,承让，高估你的实力了,15个橙色符文达到2级
,1266,承让，高估你的实力了,15个橙色符文达到3级
,1267,符文碾压你们，就是我的本意,15个橙色符文达到4级
,1268,符文碾压你们，就是我的本意,15个橙色符文达到5级
,1269,远远不够，我还能变得更强,20个橙色符文达到2级
,1270,远远不够，我还能变得更强,20个橙色符文达到3级
,1271,万水千山总是情，叫声爸爸来听听,20个橙色符文达到4级
,1272,万水千山总是情，叫声爸爸来听听,20个橙色符文达到5级
,1273,养成，养成，满脑子都是养成,6个本命达到2星
,1274,养成，养成，满脑子都是养成,6个本命达到3星
,1275,养成，养成，满脑子都是养成,6个本命达到4星
,1276,养成，养成，满脑子都是养成,6个本命达到5星
,1277,雷鸣大陆这么大，升了本命一起闯,6个本命达到6星
,1278,雷鸣大陆这么大，升了本命一起闯,6个本命达到7星
,1279,别说话，感受我本命的强大,12个本命达到2星
,1280,别说话，感受我本命的强大,12个本命达到3星
,1281,别说话，感受我本命的强大,12个本命达到4星
,1282,别说话，感受我本命的强大,12个本命达到5星
,1283,现在道歉，还来得及,12个本命达到6星
,1284,现在道歉，还来得及,12个本命达到7星
,1285,有谁不服，尽管上,18个本命达到2星
,1286,有谁不服，尽管上,18个本命达到3星
,1287,有谁不服，尽管上,18个本命达到4星
,1288,有谁不服，尽管上,18个本命达到5星
,1289,我已不屑自己动手,18个本命达到6星
,1290,我已不屑自己动手,18个本命达到7星
,1291,本命又多又强也是种烦恼,24个本命达到2星
,1292,本命又多又强也是种烦恼,24个本命达到3星
,1293,本命又多又强也是种烦恼,24个本命达到4星
,1294,本命又多又强也是种烦恼,24个本命达到5星
,1295,早安晚安，你先认输为安,24个本命达到6星
,1296,早安晚安，你先认输为安,24个本命达到7星
,1297,强者的自我修养,32个本命达到2星
,1298,强者的自我修养,32个本命达到3星
,1299,强者的自我修养,32个本命达到4星
,1300,强者的自我修养,32个本命达到5星
,1301,本命警告，我才是史上最强,32个本命达到6星
,1302,本命警告，我才是史上最强,32个本命达到7星
,1303,嘘寒问暖，有了他们我很快乐,2个英雄的亲密度达到了友好
,1304,亲密无间，捧在手里，暖在心里,2个英雄的亲密度达到了欣赏
,1305,亲密无间，捧在手里，暖在心里,2个英雄的亲密度达到了喜欢
,1306,心有灵犀，形影不离最近的距离,2个英雄的亲密度达到了喜爱
,1307,生死之交，为他痴为他狂,2个英雄的亲密度达到了喜爱满心
,1308,嘘寒问暖，当然是选择照顾他,5个英雄的亲密度达到了友好
,1309,亲密无间，日常保持小火花,5个英雄的亲密度达到了欣赏
,1310,亲密无间，日常保持小火花,5个英雄的亲密度达到了喜欢
,1311,心有灵犀，默契不需要理由,5个英雄的亲密度达到了喜爱
,1312,生死之交，无畏艰险为他披荆斩棘,5个英雄的亲密度达到了喜爱满心
,1313,嘘寒问暖，每一步成长都是陪伴,8个英雄的亲密度达到了友好
,1314,亲密无间，亲密小船就此启航,8个英雄的亲密度达到了欣赏
,1315,亲密无间，亲密小船就此启航,8个英雄的亲密度达到了喜欢
,1316,心有灵犀，一个眼神我就能懂,8个英雄的亲密度达到了喜爱
,1317,生死之交，排除万难只因心中有爱,8个英雄的亲密度达到了喜爱满心
,1318,嘘寒问暖，与他缔结不是一时兴起,12个英雄的亲密度达到了友好
,1319,亲密无间，这是我的亲密巨轮,12个英雄的亲密度达到了欣赏
,1320,亲密无间，这是我的亲密巨轮,12个英雄的亲密度达到了喜欢
,1321,心有灵犀，用爱发光，用爱养成,12个英雄的亲密度达到了喜爱
,1322,生死之交，如果爱，就深爱,12个英雄的亲密度达到了喜爱满心
,1323,雨露均沾，有了他们我不再孤单,18个英雄的亲密度达到了友好
,1324,以前，现在，未来，一同面对,18个英雄的亲密度达到了欣赏
,1325,以前，现在，未来，一同面对,18个英雄的亲密度达到了喜欢
,1326,手牵手一起走，直到世界末日,18个英雄的亲密度达到了喜爱
,1327,誓同生死，他们就是我的世界,18个英雄的亲密度达到了喜爱满心
