,id,name,des,functionDes
,421024,本命之绊匣,命中注定的本命，与你有着斩不断的羁绊，它静静等待你的到来。,可获得一名英雄的专属本命。
,430004,英雄进阶礼箱,每个英雄的成长都需要漫长的历练，而它可以让这场历练变得轻松些。,内有丰富的英雄突破道具。
夜崎隐礼包,431074,血芒礼箱,神秘种族的图腾雕刻在礼箱上，箱内似乎蕴藏着强大力量。,夜崎隐的专属礼箱，可以直接召唤夜崎隐。
乔伊礼包,434014,暗龙礼箱,从黑暗中降生，为吞噬光明而来。,乔伊的专属礼箱，可以直接召唤乔伊。
,440944,星灵本命匣,本命匣上有着如同星空般的图案，是星灵力量的凝聚。,打开可获橙色<color=#bd4104>魔法类型</color>本命“星灵之阿斯莉雅”。
,441433,白翼骑本命匣,本命匣上镶嵌有白色双翼构成的纹章，是白翼骑力量的象征,打开可获紫色<color=#bd4104>物理类型</color>本命“白翼骑希古纳斯”。
,441533,狱戒犬本命匣,本命匣上雕刻着三头犬的浮雕，是狱戒犬力量的具象化,打开可获紫色<color=#bd4104>物理类型</color>本命“狱戒犬柯贝鲁斯”。
,441844,魅惑女帝本命匣,本命匣上绘制着女帝登基的画作，是魅惑女帝力量的表现,打开可获橙色<color=#bd4104>魔法类型</color>本命“魅惑之玛格丽特”。
,442033,幻梦角本命匣,本命匣上环绕着圣洁的纹饰，是幻梦角力量的印记,打开可获紫色<color=#bd4104>通用类型</color>本命“幻梦角尤尼科”。
,442144,永恒骑士本命匣,本命匣上缠绕着骑士的缎带，是永恒骑士力量的证明,打开可获橙色<color=#bd4104>物理类型</color>本命“永恒之迪拉罕”。
,450013,限量新银礼箱,帝国商城发布的限量版礼箱，内有大量银币。,可获得300000银币，限量发售。
,450023,英雄经验礼箱,冒险之旅充满了危险与不确定性，提升英雄实力是不能耽误的事情。,可获得1000000点英雄经验，能使英雄飞速成长。
,450033,本命经验礼箱,本命是冒险者重要的同伴，它的成长也十分关键。,可获得2500000点本命经验，本命成长就靠它。
,460013,一阶晶尘宝箱,冒险者的战利品，内含装备进阶材料,可随机获得一件装备进阶材料，让装备品质更进一步。
,460024,二阶晶尘宝箱,冒险者的战利品，内含装备进阶材料,可随机获得一件装备进阶材料，让装备品质更进一步。
三阶晶尘宝箱,460034,三阶晶尘宝箱,冒险者的战利品，内含装备进阶材料,可随机获得一件装备进阶材料，让装备品质更进一步。
,500014,悬赏礼箱,每一个被逮捕的犯罪分子，都是你光荣的勋章。,可获得一个任意品质符文，努力通缉犯罪分子吧。
,500024,军团悬赏宝箱,军团悬赏宝箱,军团悬赏宝箱
,500034,军团悬赏宝箱,军团悬赏宝箱,军团悬赏宝箱
,500044,军团悬赏宝箱,军团悬赏宝箱,军团悬赏宝箱
,500054,军团悬赏宝箱,军团悬赏宝箱,军团悬赏宝箱
,500064,军团悬赏宝箱,军团悬赏宝箱,军团悬赏宝箱
绿色强化石,2110001,绿铜矿石,大陆深处的铜矿石，材质坚硬耐磨，深受冒险者们的青睐。,绿色品质的矿石材料，通过打磨达到强化装备的效果。
强化石,2110002,蓝铁矿石,通过简单的打磨，提升了铁矿的纯度，使用价值有了质的飞跃。,蓝色品质的矿石材料，通过打磨达到强化装备的效果。
高级强化石,2110003,紫锡矿石,银母矿洞内的紫锡矿石，是雷鸣大陆的抢手货。,紫色品质的矿石材料，通过打磨达到强化装备的效果。
橙色强化石,2110004,橙金矿石,黄金通过多次提炼，达到了超乎想象的纯度，令众多冒险者趋之若鹜。,橙色品质的矿石材料，通过打磨达到强化装备的效果。
高级升星石,2120013,星晶石,埋藏在岩洞深处的绝美晶石，当中些许的杂质仿佛夜空中的星光。,用来提升装备星级，即便是一块碎石也价值连城。
高级升星石,2120014,优质星晶石,晶石中没有丝毫杂质，剔透得犹如装载了整个银河。,用来提升装备星级，世间少有的纯净晶石。
绿色武器进阶石,2130111,壹星晶尘·兵刃,从战士家族流传出来的神秘晶尘，能锻造出优质武器。,武器（绿色品质）的专属进阶材料，适用于初出茅庐的冒险者。
绿色衣服进阶石,2130121,壹星晶尘·上衣,冒险者们最喜欢的商品之一，毕竟谁都想穿轻便的衣服。,上衣（绿色品质）的专属进阶材料，适用于初出茅庐的冒险者。
绿色裤子进阶石,2130131,壹星晶尘·下装,来自精灵国度的晶尘，汇集了精灵族工匠的智慧。,下装（绿色品质）的专属进阶材料，适用于初出茅庐的冒险者。
绿色鞋子进阶石,2130141,壹星晶尘·足靴,制作鞋子不可缺少的物品，冒险者们远行必备。,鞋子（绿色品质）的专属进阶材料，适用于初出茅庐的冒险者。
蓝色武器进阶石,2130212,贰星晶尘·兵刃,从战士家族流传出来的神秘晶尘，能锻造出优质武器。,武器（蓝色品质）的专属进阶材料，让装备品质更进一步。
蓝色衣服进阶石,2130222,贰星晶尘·上衣,冒险者们最喜欢的商品之一，毕竟谁都想穿轻便的衣服。,上衣（蓝色品质）的专属进阶材料，让装备品质更进一步。
蓝色裤子进阶石,2130232,贰星晶尘·下装,来自精灵国度的晶尘，汇集了精灵族工匠的智慧。,下装（蓝色品质）的专属进阶材料，让装备品质更进一步。
蓝色鞋子进阶石,2130242,贰星晶尘·足靴,制作鞋子不可缺少的物品，冒险者们远行必备。,鞋子（蓝色品质）的专属进阶材料，让装备品质更进一步。
紫色武器进阶石,2130313,叁星晶尘·兵刃,从战士家族流传出来的神秘晶尘，能锻造出优质武器。,武器（紫色品质）的专属进阶材料，进阶后，足以让你藐视大部分人。
紫色衣服进阶石,2130323,叁星晶尘·上衣,冒险者们最喜欢的商品之一，毕竟谁都想穿轻便的衣服。,上衣（紫色品质）的专属进阶材料，进阶后，足以让你藐视大部分人。
紫色裤子进阶石,2130333,叁星晶尘·下装,来自精灵国度的晶尘，汇集了精灵族工匠的智慧。,下装（紫色品质）的专属进阶材料，进阶后，足以让你藐视大部分人。
紫色鞋子进阶石,2130343,叁星晶尘·足靴,制作鞋子不可缺少的物品，冒险者们远行必备。,鞋子（紫色品质）的专属进阶材料，进阶后，足以让你藐视大部分人。
橙色武器进阶石,2130414,肆星晶尘·兵刃,从战士家族流传出来的神秘晶尘，能锻造出优质武器。,武器（橙色品质）的专属进阶材料，对装备有出乎意料的加成。
橙色衣服进阶石,2130424,肆星晶尘·上衣,冒险者们最喜欢的商品之一，毕竟谁都想穿轻便的衣服。,上衣（橙色品质）的专属进阶材料，对装备有出乎意料的加成。
橙色裤子进阶石,2130434,肆星晶尘·下装,来自精灵国度的晶尘，汇集了精灵族工匠的智慧。,下装（橙色品质）的专属进阶材料，对装备有出乎意料的加成。
橙色鞋子进阶石,2130444,肆星晶尘·足靴,制作鞋子不可缺少的物品，冒险者们远行必备。,鞋子（橙色品质）的专属进阶材料，对装备有出乎意料的加成。
橙色R武器进阶石,2130514,伍星晶尘·兵刃,从战士家族流传出来的神秘晶尘，能锻造出优质武器。,武器（橙色R品质）的专属进阶材料，使你的装备接近完美状态。
橙色R衣服进阶石,2130524,伍星晶尘·上衣,冒险者们最喜欢的商品之一，毕竟谁都想穿轻便的衣服。,上衣（橙色R品质）的专属进阶材料，使你的装备接近完美状态。
橙色R裤子进阶石,2130534,伍星晶尘·下装,来自精灵国度的晶尘，汇集了精灵族工匠的智慧。,下装（橙色R品质）的专属进阶材料，使你的装备接近完美状态。
橙色R鞋子进阶石,2130544,伍星晶尘·足靴,制作鞋子不可缺少的物品，冒险者们远行必备。,鞋子（橙色R品质）的专属进阶材料，使你的装备接近完美状态。
橙色SR武器进阶石,2130614,陆星晶尘·兵刃,从战士家族流传出来的神秘晶尘，能锻造出优质武器。,武器（橙色SR品质）的专属进阶材料，让你成为装备精良的卓越战士。
橙色SR衣服进阶石,2130624,陆星晶尘·上衣,冒险者们最喜欢的商品之一，毕竟谁都想穿轻便的衣服。,上衣（橙色SR品质）的专属进阶材料，让你成为装备精良的卓越战士。
橙色SR裤子进阶石,2130634,陆星晶尘·下装,来自精灵国度的晶尘，汇集了精灵族工匠的智慧。,下装（橙色SR品质）的专属进阶材料，让你成为装备精良的卓越战士。
橙色SR鞋子进阶石,2130644,陆星晶尘·足靴,制作鞋子不可缺少的物品，冒险者们远行必备。,鞋子（橙色SR品质）的专属进阶材料，让你成为装备精良的卓越战士。
英雄通用进阶石,3010013,狮心纹章,赋予勇者强大的力量与信念，可以用于英雄升阶。,通用的英雄突破材料，是狮王意志的传承。
,3011013,奥兹勋章,勋章上留下了战神巨剑斩过的裂痕。,西蒙的专属突破材料，是奥兹家族对于勇者的认可。
,3011023,帝国双刃,手中的双刃，用来守护帝国与家人。,泰雷的专属突破材料，代表着帝国的最高荣耀。
,3011033,炼狱锁链,痛苦在身体上留下烙印，在无尽的黑暗中变得强大。,兰奇的专属突破材料，来一场正与邪的激烈碰撞！
,3011044,世界树枝,承受住每一次苦难的考验，就是经历一次自身的修行。,木禅的专属突破材料，可提升禅修者的力量。
,3011054,精灵之矢,箭飞过耳边的声音，如同精灵在耳边低语。,葛莱蒂丝的专属突破材料，来聆听精灵族古老的魔法。
,3011064,合金飞镖,收割了无数生命的飞镖，它是檐鬼存在的证明。,檐鬼的专属突破材料，是军情处的机密印章，象征着权力。
,3011074,般若面具,可憎的面具背后，是血族嗜血的杀意。,夜崎隐的专属突破材料，激发埋藏在血脉里的那份杀意吧。
,3011084,萌态熊爪,自然的力量，是最原始与狂野的力量。,阿德琳的专属突破材料，可以触发体内的百兽之魂。
专属勋章（米兰达）,3011123,舰长勋章,每一枚勋章，都是生与死的见证。,米兰达的专属突破材料，从容面对战场的考验吧。
,3012013,芙蕾雅魔法书,闻名于世的法师贵族，家族的每一个法师都经过严格考验。,温丽的专属突破材料，忠于冰火魔力的召唤吧。
,3013013,异能手环,真正的赏金猎人从不会为了赏金而违背正义与道德。,爱琳娜的专属突破材料，是成为强力赏金猎人的证明。
,3013023,荆棘玫瑰,玫瑰，让女人更加女人。,爱琪的专属突破材料，内有玫瑰滋生出的强大力量。
,3014014,暗龙图腾,颠覆古代龙的意志，暗黑龙骑不可一世。,乔伊的专属突破材料，是被暗炎龙认可之人的证明。
,3020013,苍蓝精石,创世之灵科洛诺斯送给渴求变强者的礼物，散落于世界各地。,蓝色品质的英雄界限材料，可用于提升英雄界限。
,3020014,紫耀精石,创世之灵科洛诺斯送给渴求变强者的礼物，散落于世界各地。,紫色品质的英雄界限材料，可用于提升英雄界限。
,3020015,橙星精石,创世之灵科洛诺斯送给渴求变强者的礼物，散落于世界各地。,橙色品质的英雄界限材料，可用于提升英雄界限。
高级技能石,3030013,武炼石,深埋在亚特大陆下的矿石，由武神的神识化成。,武神帮助你提升英雄的技能等级。
高级技能石,3030014,优质武炼石,百块武炼石锻造出的终焉武炼石，凝结了武神的全部神识。,武神帮助你提升英雄的技能等级。
紫色时装碎片,3040013,轻羽布,产自天空城的细布，质地轻柔，深受冒险者的喜爱。,可以兑换任意英雄紫色品质的时装。
橙色时装碎片,3040014,织羽绒布,用羽纱绒织成的绒布，有着羽毛的轻盈美感。,可以兑换任意英雄橙色品质的时装。
,3040024,西蒙时装碎片2,兑换相应角色时装,兑换相应角色时装
,3040034,西蒙时装碎片3,兑换相应角色时装,兑换相应角色时装
,3040044,喵喵公主碎片,生气！我的喵喵不理我了！,收集足够的时装碎片可以合成完整的时装。
,3040054,温丽时装碎片2,兑换相应角色时装,兑换相应角色时装
,3040064,温丽时装碎片3,兑换相应角色时装,兑换相应角色时装
,3040074,正义法则碎片,不听话的话，会受到正义的惩罚哦！,收集足够的时装碎片可以合成完整的时装。
,3040084,红桃女王碎片,欲戴皇冠，必承其重。,收集足够的时装碎片可以合成完整的时装。
,3040094,爱琳娜时装碎片3,兑换相应角色时装,兑换相应角色时装
,3040104,泰雷时装碎片1,兑换相应角色时装,兑换相应角色时装
,3040114,泰雷时装碎片2,兑换相应角色时装,兑换相应角色时装
,3040124,泰雷时装碎片3,兑换相应角色时装,兑换相应角色时装
,3040134,甜心女神碎片,请接收甜蜜的爱意，获得爱神的祝福。,收集足够的时装碎片可以合成完整的时装。
,3040144,爱琪时装碎片2,兑换相应角色时装,兑换相应角色时装
,3040154,爱琪时装碎片3,兑换相应角色时装,兑换相应角色时装
,3040164,兰奇时装碎片1,兑换相应角色时装,兑换相应角色时装
,3040174,兰奇时装碎片2,兑换相应角色时装,兑换相应角色时装
,3040184,兰奇时装碎片3,兑换相应角色时装,兑换相应角色时装
,3040194,木禅时装碎片1,兑换相应角色时装,兑换相应角色时装
,3040204,木禅时装碎片2,兑换相应角色时装,兑换相应角色时装
,3040214,木禅时装碎片3,兑换相应角色时装,兑换相应角色时装
,3040224,檐鬼时装碎片1,兑换相应角色时装,兑换相应角色时装
,3040234,檐鬼时装碎片2,兑换相应角色时装,兑换相应角色时装
,3040244,檐鬼时装碎片3,兑换相应角色时装,兑换相应角色时装
,3060010,魔法电话,采用人体工学流线型设计，符合主流使用习惯。一次充能，即可使用三个月！,可提升任意英雄的好感度。
,3060020,整蛊糖豆,内含沥青味、草木灰味、水粉颜料味、火焰飞弹味等，挑战味蕾与想象力的双重极限。,可提升任意英雄的好感度。
,3060030,迷迭香烤鸡,淡雅的清香化解了脂肪的肥腻，酥脆表皮与软嫩鸡肉更构成了对立而统一的美味。,可提升任意英雄的好感度。
,3060110,剑斗联赛门票,如果被剑士邀请出去约会，那不用多想，绝大多数情况下他们都会选择这个地方。,可大幅提升“奥兹家族”成员的好感度。
,3060120,刀具护理套装,卡诺萨刀剑协会联名推荐，廉价钝刀亦可摇身一变成为传世神器！,可大幅提升“奥兹家族”成员的好感度。
,3060210,魔法议会期刊,作为现阶段最权威的魔法理论期刊，绝大多数法师购买它的理由却只是“枕着睡比较舒服”。,可大幅提升“魔法议会”成员的好感度。
,3060220,露西蒂尼手稿,手稿上不仅记述了深奥的魔法知识，更用巧妙的例证与插图使之变得易于理解。,可大幅提升“魔法议会”成员的好感度。
,3060310,水晶护符,只要三分钟，让你在梦幻中消解怒火。,可大幅提升“奇迹学院”成员的好感度。
,3060320,雕花护臂,虽说扛不住几下伤害，但有总比没有好。而且，这造型也挺帅气的不是吗？,可大幅提升“奇迹学院”成员的好感度。
,3060410,圣界斗篷,在经常没法达成共识的圣界成员之间，斗篷是唯一一种勉强受到所有成员认可的装备。,可大幅提升“圣界组织”成员的好感度。
,3060420,秘密档案,里面封装的，究竟是神器的情报，还是任务的信息，抑或是，他们自身的目标呢？,可大幅提升“圣界组织”成员的好感度。
,3060510,园艺套装,包含小号的锄头、剪钳、花盆以及肥料，对园艺爱好者来说无疑是最棒的礼物。,可大幅提升“密林国度”成员的好感度。
,3060520,多肉植物,为了适应环境而进化成现在模样的可爱植物，没有一个植物爱好者能够抵挡它们的诱惑。,可大幅提升“密林国度”成员的好感度。
,3060610,卡城烧烤,没有什么问题是一份烧烤解决不了的。如果有，那就再来一份。,可大幅提升“英豪领域”成员的好感度。
,3060620,蜂蜜奶茶,茶，健康。奶，健康。蜂蜜，健康。所以蜂蜜奶茶自然也是健康的！,可大幅提升“英豪领域”成员的好感度。
,5001012,精准,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，命中率提升20%。
,5001022,精准,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，命中率提升35%。
,5001032,精准,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，命中率提升50%。
,5001042,精准,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，命中率提升70%。
,5001052,精准,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，命中率提升100%。
,5002012,狂暴,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，暴击率提升10%。
,5002022,狂暴,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，暴击率提升15%。
,5002032,狂暴,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，暴击率提升20%。
,5002042,狂暴,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，暴击率提升25%。
,5002052,狂暴,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，暴击率提升35%。
,5003012,锋刃,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，破击率提升20%。
,5003022,锋刃,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，破击率提升35%。
,5003032,锋刃,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，破击率提升50%。
,5003042,锋刃,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，破击率提升70%。
,5003052,锋刃,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，破击率提升100%。
,5004012,初级神力,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，物理伤害提升200点。
,5004022,初级神力,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，物理伤害提升350点。
,5004032,初级神力,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，物理伤害提升500点。
,5004042,初级神力,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，物理伤害提升700点。
,5004052,初级神力,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，物理伤害提升1000点。
,5005012,初级魔能,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，魔法伤害提升200点。
,5005022,初级魔能,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，魔法伤害提升350点。
,5005032,初级魔能,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，魔法伤害提升500点。
,5005042,初级魔能,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，魔法伤害提升700点。
,5005052,初级魔能,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，魔法伤害提升1000点。
,5006012,初级守护,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，使用后获得减伤状态，防御提升200点，持续到对方攻击结束。
,5006022,初级守护,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，使用后获得减伤状态，防御提升350点，持续到对方攻击结束。
,5006032,初级守护,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，使用后获得减伤状态，防御提升500点，持续到对方攻击结束。
,5006042,初级守护,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，使用后获得减伤状态，防御提升700点，持续到对方攻击结束。
,5006052,初级守护,深藏在亚特大陆的地下溶洞，凝结了强大的战斗属性。,镶嵌此符文的技能，使用后获得减伤状态，防御提升1000点，持续到对方攻击结束。
,5007012,兽人天敌,由银母矿洞的矿石制作，融合了独特的战斗属性。,镶嵌此符文的技能，对“兽人”造成的伤害提升25%。
,5007022,兽人天敌,由银母矿洞的矿石制作，融合了独特的战斗属性。,镶嵌此符文的技能，对“兽人”造成的伤害提升32%。
,5007032,兽人天敌,由银母矿洞的矿石制作，融合了独特的战斗属性。,镶嵌此符文的技能，对“兽人”造成的伤害提升40%。
,5007042,兽人天敌,由银母矿洞的矿石制作，融合了独特的战斗属性。,镶嵌此符文的技能，对“兽人”造成的伤害提升50%。
,5007052,兽人天敌,由银母矿洞的矿石制作，融合了独特的战斗属性。,镶嵌此符文的技能，对“兽人”造成的伤害提升60%。
,5008012,异虫天敌,由银母矿洞的矿石制作，融合了独特的战斗属性。,镶嵌此符文的技能，对“异虫”造成的伤害提升25%。
,5008022,异虫天敌,由银母矿洞的矿石制作，融合了独特的战斗属性。,镶嵌此符文的技能，对“异虫”造成的伤害提升32%。
,5008032,异虫天敌,由银母矿洞的矿石制作，融合了独特的战斗属性。,镶嵌此符文的技能，对“异虫”造成的伤害提升40%。
,5008042,异虫天敌,由银母矿洞的矿石制作，融合了独特的战斗属性。,镶嵌此符文的技能，对“异虫”造成的伤害提升50%。
,5008052,异虫天敌,由银母矿洞的矿石制作，融合了独特的战斗属性。,镶嵌此符文的技能，对“异虫”造成的伤害提升60%。
,5009012,亡灵天敌,由银母矿洞的矿石制作，融合了独特的战斗属性。,镶嵌此符文的技能，对“亡灵”造成的伤害提升25%。
,5009022,亡灵天敌,由银母矿洞的矿石制作，融合了独特的战斗属性。,镶嵌此符文的技能，对“亡灵”造成的伤害提升32%。
,5009032,亡灵天敌,由银母矿洞的矿石制作，融合了独特的战斗属性。,镶嵌此符文的技能，对“亡灵”造成的伤害提升40%。
,5009042,亡灵天敌,由银母矿洞的矿石制作，融合了独特的战斗属性。,镶嵌此符文的技能，对“亡灵”造成的伤害提升50%。
,5009052,亡灵天敌,由银母矿洞的矿石制作，融合了独特的战斗属性。,镶嵌此符文的技能，对“亡灵”造成的伤害提升60%。
