,id,desp,story
,306,见证神器吞噬法师的惨状后，信奉武装力量才是熊人未来的出路。<color=#FAD13B>注意保留奥义值，并谨慎使用奥义技能。</color>,[时间碎片让记忆再次回到夜崎隐抢走噬法者的画面]意外发现之前被忽略的线索——放置神器的石柱下有五具骸骨。
,307,脾气火爆，力气超群，是个不好惹的存在。<color=#FAD13B>当她处于低生命值时，应尽量减少她的攻击次数。</color>,哀嚎神殿内的石柱上刻有一句话：那些力量所不及的企图者，终将被吞噬。
,401,校园时期的温丽大小姐，学霸人设不倒。<color=#FAD13B>选择具备格挡、抗暴属性的本命助力，可以很好地应对她。</color>,卡诺萨城举办了一场盛大的化妆舞会，主题是“青春校园”。
,402,校园时期的爱琪，比现在可爱多了。<color=#FAD13B>与她交手，可以选择镶嵌高命中符文，或者是高命中英雄。</color>,“喂，那个掀别人裙子的不良少年，你对着我的拳头说说，女孩子的裙下到底有什么？嗯？ @#￥%！”爱琳娜俨然一个校园番长。
,403,校园时期的西蒙，浑身充满活力，是个洋溢着青春的小太阳。<color=#FAD13B>与他交手，需注意保留高奥义值。</color>,舞会角落有个奇怪的人：那人戴着面具悠闲地品味着咖啡，与周围躁动的环境格格不入。
,404,别看她乖萌乖萌，其实超凶。<color=#FAD13B>战斗时，可选用无技能冷却时间的葛莱蒂丝，并注意奥义、援护、辅助技能的使用。</color>,西蒙一手挥舞着棒球棒，一手护着手中的卡布奇诺草莓布丁，决不让温丽把最后一块卡布奇诺布丁抢走。两人争夺间，似有白光闪过。
,405,校园时期的爱琳娜，依旧霸道非凡，手下的小弟追随者有一箩筐。<color=#FAD13B>当她处于低生命值时，应尽量减少她的攻击次数。</color>,温丽说：凭借光线折射原理，这种稍纵即逝的白光现象，只是有小姐姐在舞会上用镜子补妆罢了。
,406,圣界成员，是一个热衷培养小果实的“快乐农夫”。<color=#FAD13B>与他交手，最好选用魔法英雄。</color>,夜崎隐：青春洋溢的小果实们实在是太可爱了~我已经迫不及待想要品尝他们的味道了~
,407,圣界首领，校园时期的他，和现在一样高冷、腹黑、不可接近。<color=#FAD13B>与他交手，要谨慎使用奥义技能。</color>,夜崎隐与兰奇曾进行过一场比试，约定败者需为胜者做一件事。<br>舞会当晚，夜崎隐在暗处递给兰奇一沓照片。
,501,沉默的士兵，心如磐石，不相信一切感情。<color=#FAD13B>他被复活后的生命值较低，此时可快速援护，一举击败他；也可以配合群攻的方式击败他。</color>,葛莱蒂丝喜欢西蒙，这件事情只要明眼人都看得出，就差用大喇叭公告了。当然，这么明显的事实，只有西蒙这个钢铁直男一无所知。
,502,只要蝎后展露心意，蝎王便会不顾一切地完成她的心愿，就算死去也不后悔。<color=#FAD13B>战斗时，使用反弹伤害、治疗技能，能更容易过关。</color>,葛莱蒂丝拿着个小本子认真做着笔记，一群女仆围绕着她，七嘴八舌地讨论着恋爱作战计划。
,503,痛恨恋爱，痛恨狗粮。<color=#FAD13B>战斗时，应注意怪物状态的产生，并多利用群攻技能，尽量避免之后他的手下出场。</color>,计划一：欲擒故纵。通过与木禅亲密，引起西蒙的醋味。<br>计划二：摔倒了，要西蒙亲手牵牵才能起来。
,504,众星拱月的蝎后，矫情是她最不屑的手段。<color=#FAD13B>战斗时，要注意怪物状态的产生，并选用单体攻击的英雄。</color>,“@#￥啊啊！不解风情的木禅！还有西蒙，女孩子都跌倒了为什么要让女孩子自己站起来！”葛莱蒂丝在角落里揪着小本本怒吼。
,505,梦想拥有世间最美的恋爱，然而屡屡受挫。<color=#FAD13B>战斗时，记得使用治疗技能，并且及时利用援护或辅助技能以避免她的复活。</color>,葛莱蒂丝邀约西蒙闲逛公园，西蒙秉着小伙伴要一起玩耍的原则，把爱琳娜和温丽也喊上了。
,506,外表可爱的魔物。在梦境中，可以洞察所有人的内心。<color=#FAD13B>注意让他在低生命值时无法攻击，以免他恢复生命值。</color>,“西蒙，我拧不开……诶诶诶，谢谢姐姐。”<br>“以后这种事交给我就好了。”爱琳娜拿着瓶盖一脸坦然。
,507,精灵的皇女，优雅大气、温柔善良，这些词都是为她量身定制的。<color=#FAD13B>与她交手，需注意保留奥义值，并合理援护。</color>,“没错，大姐头的力气超级大，以后葛莱蒂丝如果有需要帮忙的尽管找大姐头！”西蒙搭着爱琳娜的肩膀，朝葛莱蒂丝安利大姐头。
,601,生长在葡萄庄园，对佳酿拥有灵敏的嗅觉。<color=#FAD13B>战斗时，注意避免选用状态型英雄（擅长为敌方施加负面状态）。</color>,下雨的午后，木禅喝了一杯摆放在桌上的饮料后，倚靠在门上陷入了梦境。
,602,利用密林荆棘制造陷阱，将人禁足在原地，止步不前。<color=#FAD13B>注意使用治疗技能回复生命值。</color>,伴随着淅沥沥的雨声，木禅仿佛回到了儿时的森林。他静静地立在那儿，一只熊猫抱着他的枝干正在酣睡。
,603,原是森林里不起眼的石头，吸收魔法后，成为石魂。<color=#FAD13B>战斗时，应注意怪物的状态。</color>,风吹过树林，梦里突然下起了大雨。熊猫并没有顺着枝干去躲雨，而是蹭了蹭枝干，换个了舒服的姿势继续酣睡。
,604,擅长对梦境的无限延伸，一旦陷入其中，就再也无法醒来。<color=#FAD13B>战斗时，注意多利用群攻技能，以降低他手下的生命值。</color>,木禅觉得胸口痒痒的，身上的叶子似乎变得有点儿红。
,605,神秘的庄园主人。只要喝醉，就会做出不得了的事情。<color=#FAD13B>战斗时，注意多利用群攻技能，以降低他手下的生命值。</color>,“西蒙！本大小姐的青梅冰酿是不是被你喝了！这可是我和爱琳娜姐姐排了5个小时才买到的网红特饮！”温丽拿着枕头朝西蒙砸去。
,606,幻想制造机，现实中不能实现的东西在梦里就能实现。<color=#FAD13B>战斗时，多利用援护技能，以降低之后拥有复活技能手下的攻击次数。</color>,木禅醒了。雨已经停了好久，耳边的蝉鸣声嘶哑着叫个不停。不知何时，木禅怀中多了个抱枕。
,607,冷淡少年，似乎只有修行才能引起他的注意。<color=#FAD13B>针对他的反弹伤害状态，可使用反弹伤害或者治疗技能应对。</color>,“真不是我……好吧好吧，大小姐别生气了，我去排队再给你买一杯！”<br>“哼……小声点，别把木禅吵醒了。”
,701,佣兵恋人突然凭空消失，只能一遍一遍地跳着恋人最爱的舞蹈，等待他的归来。<color=#FAD13B>针对战斗中不同情况，注意选用合适的男性/女性英雄。</color>,阿米达铁律：一旦接受任务，不能消极怠慢、不能私自领取赏金、甘于无私奉献。
,702,铁面无私的囚室刑官，全天无休，从不疲倦。<color=#FAD13B>战斗时，尽量使用群攻技能，以避免他的手下出场。</color>,乌塔亲自签署了一份多达12人的监禁名单，内容是抓捕那些违反阿米达铁律的人。
,703,陷入悲伤情绪，每日以泪洗面，视力受损。需注意怪物状态产生的时机。<color=#FAD13B>用反弹伤害等，可越过怪物防御的状态，对其造成伤害。</color>,铁臂安道夫对乌塔这种过分的惩罚表示反对：“自律联盟从来不是为了惩罚而惩罚，老会长阿米达宣扬的爱与和平难道你忘了吗？”
,704,忠于魔族的使徒，喜欢诱导人一步一步走向错误的深渊。<color=#FAD13B>注意让他在低生命值时无法攻击，以免他恢复生命值。</color>,佣兵拜尔进入囚室时，里面已经住了一个人。拜尔说：自己真的是冤枉，被悬赏人举报消极怠慢，但在那之后悬赏人就再也不见踪影了。
,705,自私而又贪婪，比起和平更爱残酷的战争。<color=#FAD13B>使用状态伤害、反弹伤害、忽视防御进行攻击，可越过他的超高防御状态，对其造成伤害。</color>,拜尔的妻子去接拜尔出狱时，远远看到一个很像自己丈夫的人就扑了过去，没想到竟然认错了人，那人还一脸凶恶地瞪着她。
,706,被冤枉的联盟佣兵，想让世界同自己共沉沦。<color=#FAD13B>注意降低他手下的攻击机会，以免触发他的复活。</color>,拜尔的妻子：明明说了监禁三天啊，为什么我没有从释放的人里面找到我的丈夫啊！真是的……
,707,脾气火爆的爱琳娜，如果成为女警，定也是维护规则，绝不放任不法之事。<color=#FAD13B>当她处于低生命值时，应尽量减少她的攻击次数。</color>,一个月后，卡诺萨发生连环爆炸案，目击者称曾在现场看到制造915动荡的圣界信徒弗列。<br>自律联盟申明：弗列一个月前已在狱中身亡。
,801,蜂族前辈，用自己的身躯为后辈们建立了玩乐的天堂。<color=#FAD13B>使用状态伤害、反弹伤害进行攻击，可越过他的反弹伤害状态，对其造成伤害。</color>,卡诺萨城的喷泉是孩子们玩耍的天堂。
,802,卡诺萨卫兵，维护卡诺萨城的秩序。<color=#FAD13B>战斗时，需注意怪物的状态，并保留适当的奥义值。</color>,小女孩用小火球魔法把小男孩的头发烧着了。小火球魔法能量不强，其他孩子们用喷泉的水帮浇灭了火焰。
,803,任性的法师，随心所欲，即使是邪恶之事，只要心里认定便会马上采取行动。<color=#FAD13B>战斗时，最好选用拥有治疗技能的英雄，以便回复生命值。</color>,小男孩死守着自己的剑，小女孩却哭了，像受了多大委屈似的大喊着：爷爷，我不要装剑的盒子，我想要那把剑！！！
,804,木剑里的剑魂，早已和主人定下契约。<color=#FAD13B>战斗时，注意及时援护，让物理/魔法英雄交替出场。</color>,战士训练课上，一个小男孩低着头看着自己手上没有剑鞘的木剑，嘴巴紧紧地抿着，眼睛里的眼泪转了几圈还是流了出来。
,805,心中藏着许多事。但仍渴望拥有孩童的天真。<color=#FAD13B>战斗时，最好选用高命中、抗暴英雄。同时，反弹伤害可以无视他身上的闪避状态。</color>,后来，小男孩变得似乎开心起来，因为一个年纪稍大、看起来严肃沉着的大男孩把自己的剑鞘给了他。
,806,在梦境中释放了自己的本性，热衷于恶作剧。<color=#FAD13B>注意保留高奥义值，以降低他的属性。</color>,温丽整理儿时玩具箱的时候发现了一个木头做的小剑鞘，她完全不知道这种东西为什么会出现在自己家里。
,807,被宠大的温丽大小姐，童年时期就早早地展现出自己傲娇本性。<color=#FAD13B>选择具备格挡、抗暴属性的本命助力，可以很好地应对她。</color>,战士训练课上，大男孩对小男孩说：喂，你这家伙头发怎么烧焦了一片？差点就成秃子了！
,901,女巫的梦境里，充斥着形形色色的游戏。<color=#FAD13B>战斗时，注意怪物特性，合理利用援护技能、并谨慎使用奥义技能。</color>,圣界举办了一场游戏。游戏发起人：夜崎隐；游戏参与者：圣界全员，除了檐鬼；游戏内容：檐鬼的面具背后，到底是什么？
,902,喜欢看笑话书，每次一笑，身上的碎石就会抖落一地。<color=#FAD13B>战斗时，注意保留技能，并尽量降低之后拥有晕眩技能手下的攻击次数。</color>,游戏参与方式：押上宝物，参与猜测；或是选择挑战摘下檐鬼面具。奖励中，除了宝物外，还夹杂着一本《论沙雕笑话是怎么练成的》。
,903,所做之事皆有目的，从不为没有意义的事情操心。<color=#FAD13B>战斗时，需时刻注意怪物获得的状态。</color>,“乔伊，这么无聊的游戏你怎么也有兴趣参与？”<br>“呵呵。”
,904,看起来凶神恶煞，其实最喜欢粉红色了！<color=#FAD13B>战斗时，可选用无技能冷却时间的葛莱蒂丝。同时，注意奥义、援护、辅助技能的使用。</color>,据一个不愿透露姓名的参与者哭诉：自己想过灌醉檐鬼……未曾想，檐鬼没醉，自己反倒喝断片……事后，还不可描述地躺在小树林里！
,905,手中皮鞭是成箱批发的。注意怪物状态产生的时机。<color=#FAD13B>使用反弹伤害、状态伤害、忽视防御，可越过怪物超高防御的状态，对其造成伤害。</color>,檐鬼很迷惑，最近周围的人总是很热衷于和自己尬聊。明明是大晴天，却关心自己的面具是否被淋湿？难道，自己的面具出了什么问题？
,906,贪图财富，居心叵测地利用手段获取了大量不义之财。<color=#FAD13B>注意保留奥义值，并谨慎使用奥义技能。</color>,檐鬼洗澡时，发现洗浴用品不翼而飞。他走出洗浴间，却意外踩到一块肥皂……啪叽，面具飞了出去……
,907,圣界成员，毒辣残忍，擅长潜行。<color=#FAD13B>使用单体攻击英雄</color>,一周前，夜崎隐在市场批发披风时，发现檐鬼偷偷抱着3个箱子——隐约写着面具二字。<br>游戏结束后，夜崎隐赚得盆满钵满。
,1001,虽是哀嚎神殿里的魔物，但懒惰成性，即使遇到窃贼，也不愿动弹。<color=#FAD13B>战斗时，注意合理利用援护技能。</color>,[时间碎片让记忆回到诺尔变成七宗罪的画面]诺尔出事后，威利斯在接受调查时表示：自己此前并不知道诺尔在研究七宗罪的事情。
,1002,坚信自己是亚特大陆最强大的存在。<color=#FAD13B>和他战斗时，注意保留奥义值，以便应对他的手下。</color>,10年前，一个奄奄一息的男人趴在医疗法师简妮斯的诊所门前敲门。他的右腿一直在流血，伤口被绿色的魔法气息环绕。
,1003,易怒的神殿监管者，看起来十分不好惹。<color=#FAD13B>注意保留奥义值，并配合单体攻击伤害高的英雄战斗，以便应对他的手下。</color>,男人挣扎着从怀里拿出一个被包裹严密的东西递给简妮斯。<br>简妮斯却回复：有人命令我不能救你。
,1004,背地里研究魔识，只是为了满足自己无尽的金钱私欲。<color=#FAD13B>战斗时，注意保留奥义值，并配合打断技能，以便应对他的手下。</color>,一天，特罗德紧急发布《七宗罪禁录》失窃的消息。七宗罪由魔神的魔识化成，早间有人搜集了许多资料，并将其编成《七宗罪禁录》。
,1005,饿得发狂导致双眼充红，仅靠一熊之力，就可以吃下整座森林。<color=#FAD13B>战斗时，注意保留奥义值，并配合打断技能，以便应对他的手下。</color>,窃贼在逃跑时被看守的魔犬袭击。但因为大雨，魔法师们没发现任何可以被追踪的线索。
,1006,从不克制自己的欲望，嫉妒所有比自己好的机械。<color=#FAD13B>战斗时，注意保留奥义值，并配合打断技能，以便应对他的手下。</color>,一具男性尸体在哀嚎神殿附近被发现，腿部受伤，但身上魔法气息并不是来自哀嚎神殿。
,1007,善良而又阳光的奥兹剑士。世间一切丑陋的恶性，在他身上都不曾存在过。<color=#FAD13B>和他交手，要注意保留高奥义值。</color>,简妮斯的助手在接受调查时说，曾经见到过威利斯来过诊所。
,1101,曾跟随罗兰大帝，在自由战争时期冲锋陷阵。<color=#FAD13B>他被复活后的生命值较低，此时可快速援护，一举击败他；也可以配合群攻的方式击败他。</color>,魔神佐使：希摩尔大人，他的确是再合适不过的人选了。
,1102,光明的对立面，永远是黑暗。生于黑暗，死于黑暗。<color=#FAD13B>战斗时，使用反弹伤害、治疗技能，能更容易过关。</color>,希摩尔：绝妙的名字！这把剑在我的手中，就会变成结束光明的使者。
,1103,无名剑的守护神。<color=#FAD13B>战斗时，应注意怪物状态的产生，并多利用群攻技能，尽量避免后续他的手下出场。</color>,泰雷：擅闯神殿者，必受严惩！[梦境还原神殿中央神器旁的石阶]：光明使者，赎罪之剑。遵罗兰大帝之嘱树立在神殿中。
,1104,武力和平主义者。保护蝎族不受伤害的前提，是动用武力使威胁者都消失。<color=#FAD13B>战斗时，要注意怪物状态的产生，并选用单体攻击的英雄。</color>,刺杀者冲向毫无防备的罗兰大帝，速度如此之快，当其它人反应过来的时候，只能站在原地。
,1105,隶属于魔神的冷艳刺客，一旦任务失败，便选择自我了结。<color=#FAD13B>战斗时，记得使用治疗技能，并且及时利用援护或辅助技能以避免她的复活。</color>,智能神的神格觉醒，剑在离罗兰大帝最近的断掉。刺杀者冲破卫兵的拦截而逃。
,1106,将蜘蛛女王的指令视为生命。<color=#FAD13B>注意让他在低生命值时无法攻击，以免他恢复生命值。</color>,蜘蛛女王：他没能成功，但他仍然值得我们的信任。因为，它对于魔神您的崇拜，已经无法用任何词语形容了。
,1107,爱琳娜的妹妹，玫瑰团团长。对她来说，欲望是不需要加以控制的东西。<color=#FAD13B>战斗时，注意保留奥义值，并合理使用援护技能。</color>,罗兰大帝：吾将盛情招待远道而来的光明使者，请落座于众将之中……为了苦难中的生灵，我愿意接受和平的商议。
,1201,对于鲜血极度渴望。曾为了猎物，背叛蜂后。<color=#FAD13B>注意避免选用状态型英雄（擅长为敌方施加负面状态）。</color>,一年前，神殿卫兵汇报：连续数日，神殿的墙壁上发现奇怪的割痕，但没有收到任何关于有人闯入的消息。
,1202,在布达荒庙瘟疫事件中受到感染的镇民。<color=#FAD13B>注意使用治疗技能回复生命值。</color>,莱克：堂堂神殿墙壁上竟然被闯入者刻下耻辱的挑衅语！泰雷根本不配神器守卫的称号！
,1203,魔眼石像，极度觊觎神器的力量。传闻，若被它看一眼，便会被同化成石像。<color=#FAD13B>战斗时，应注意怪物的状态。</color>,泰雷接受渎职的责罚。
,1204,偏执狂，严格要求数据要达到小数点后3位，否则便会暴怒无比。<color=#FAD13B>战斗时，注意多利用群攻技能，以降低他手下的生命值。</color>,帝国情报处：阿贾克斯·弗朗西斯，前情报处行动组士官。武器：魍影之刺。离开情报处后，下落不明。
,1205,自视甚高，总是用讥讽的态度对待别人。<color=#FAD13B>战斗时，注意多利用群攻技能，以降低他手下的生命值。</color>,五年前，弗朗西斯奉命调查一级危险的“布达荒庙瘟疫事件”；三年前，弗朗西斯成功窃取公爵希加叛乱的计划。
,1206,安插在卡诺萨神殿的监控机器人，听从于泰雷的指令。<color=#FAD13B>战斗时，多利用援护技能，以降低之后拥有复活技能手下的攻击次数。</color>,两年前，弗朗西斯在情报处晋升中落选。
,1207,爱琳娜是个狂野美人，看似嚣张不羁，其实孩童时曾遭遇过不幸。<color=#FAD13B>当她处于低生命值时，应尽量减少她的攻击次数。</color>,兰奇：泰雷，我以帝国情报处负责人的身份命令你，把他交给我。
