,id,name,attr
,3081,占星师米勒,
,3082,镇民邦妮,
,3083,镇民肖恩,
,3086,北方暴君纳森,
,3087,镇民,罗兰镇
,3088,贪婪,
,3090,劫匪,战斗
,3095,茶店老板齐娜,
,3096,瑞茜,
,3098,艾德蒙,
,3099,酒馆老板佐伊,
,3101,艾赛尔,
,3102,镇民菲丝,
,3103,镇民莫克夫,
,3104,镇民卡尔,
,3117,地下矿工,
,3118,小女巫弥尔,
,3119,女巫菲梅,
,3121,矮人黄胡子,
,3122,小格蕾,
,3123,镇民格蕾,
,3124,小安斯利,
,3125,镇民安斯利,
,3126,小库珀,
,3127,镇民库珀,
,3128,小伊诺克,
,3129,镇长伊诺克,
,3130,黑蹄鹿角兽,
,3131,小葛莱蒂丝,
,3132,葛莱蒂丝,
,3133,深渊领主拉奥,
,3134,魔湖领主彭斯,
,3135,山岩领主强森,
,3136,草原领主比利,
,3137,弑魂领主索尔,
,3138,禁卫军官萨林,
,3139,冒险者阿布纳,
,3140,冒险者迈尔斯,
,3141,冒险者布雷登,
,3142,首领埃尼奥,
,3149,树人杰拉尔,
,3150,树人首领洛克,
,3151,树人守卫,
,3154,枯叶蜂王,
,3155,德鲁伊守卫,
,3156,德鲁伊首领莱安,
,3157,阿德琳,
,3159,费米,
,3164,暗精灵首领卡莉,
,3165,暗精灵卫兵,
,3166,加林,
,3167,木匠达罗斯,
,3172,魅魔修狄斯,
,3173,冒险者拉尔夫,
,3176,比格,
,3177,图特,
,3178,斯利,
,3179,弗斯,
,3180,费夫,
,3181,谢克斯,
,3182,头条哥布林,
,3183,卓娜,
,3184,巨斧战士塔克,
,3185,外乡人里茨,
,3186,旅行者艾力,
,3187,研究员拜希儿,
,3190,面包大王诺阿,
,3191,子爵格兰特,
,3192,警报机器人·滴,
,3193,米尼,
,3194,女巫莉莲,
,3195,落选的提琴师李,
,3196,女剑士玛塔,
,3197,露露,
,3199,宫廷书记员弗林,
,3200,哈奇队长,
,3201,詹尼佛大妈,
,3202,女仆伊丽丝,
,3208,警报机器人·嘟,
,3209,大树精麦克斯,
,3210,小树精敏特,
,3211,哥布林商贩奥格,
,3212,皮曼1号,
,3213,假笑男孩齐齐,
,3214,幻想少女苏菲,
,3215,好奇少女朱莉安,
,3216,猎魔人阿比旦,
,3217,登山员罗伯特,
,3218,哥布林萨顿,
,3219,阿噗小圆,
,3220,树精毛毛,
,3227,巨斧吉塔,
,3228,铁锤舒尔多,
,3229,戴琳斯,
,3230,歌姬露娜,
,3231,少女玛格,
,3232,艾西瓦娅,
,3234,默希娅,
,3235,被绑架的小女孩,
,3236,强盗丽丽丝,
,3237,强盗头目巴娜,
,3238,黑魔巫师,
,3239,船员希尔,每日任务
,3240,海莉大妈,每日任务
,3241,齐娜,每日任务
,3242,老乞丐查理,每日任务
,3243,麦提,每日任务
,3244,库伯拉,每日任务
,3245,吟游诗人,每日任务
,3246,安可,每日任务
,3247,花店老板,每日任务
,3248,邦妮,每日任务
,3249,佣兵托尼,每日任务
,3250,碎魂狼王乌迪尔,
,3251,冒险队员马尼奥,
,3252,冒险队员拉多克,
,3253,杰诺,
,3254,巨骨熊哈维特,
,3255,石像鬼塔比瑟,
,3256,冒险队长埃尔文,
,3259,罗兰二世,
,3260,泰坦之魂,
,3262,火狐科斯,
,3263,火狐洛里,
,3264,发狂的怪物,
,3265,矮巨人加希诺,
,3266,矮巨人加雷昂,
,3267,小木灵球球,
,3268,乞讨老者,
,3269,哥布林商贩麦肯,
,3270,魔导箱守卫萨泽,
,3271,魔导箱守卫普坦,
,3272,魔导箱守卫波尔,
,3273,叛军统领,
,3275,赏金猎人伊什,
提示用,3276,羊皮纸,
,3277,怒蝎统领强森,
,3278,铠甲幽灵布劳,
,3279,驭魂法师拜诺,
,3280,加林,
,3281,矮巨人钢锤,
,3283,镇民拉夫,
,3284,卫兵,阿克莱斯
,3285,小男孩,
,3286,虎斑蜂,
,3287,玫瑰团追随者,罗兰镇巡查
,3288,精灵族剑士,
,3289,蜘蛛女王艾达,
,3290,镇民比尔,
,3291,小树灵朗多,
,3292,大厨罗切特,
,3293,精灵族射手,
,3294,卫兵队长,
,3297,熊人守卫,
,3298,魔导箱守卫伊登,
,3299,魔导箱守卫哈伦,
,3300,魔导箱守卫科克,
,3301,异常的大鱼妖,
,3302,哥布林雷夫,
,3303,哥布林斯皮尔,
,3304,先驱者57号,
,3305,滚石怪塔基,
,3307,悲惨的乞丐,
,3308,伊斯顿,
,3309,贵族侍者,
,3310,贵族的仆人,
,3311,神秘怪盗,
,3312,巨骨熊,
,3313,不死者,
,3314,赫丽,加冕
,3315,邪冥领主弗德,卡诺萨保卫战
,3316,苍蓝领主拉弥娅,卡诺萨保卫战
,3317,石像领主厄迦,卡诺萨保卫战
,3318,嗜血死神萨米尔,卡诺萨保卫战
,3319,卡恩斯特,
,3320,地下矿工,材料副本
,3321,哥布林冒险者,
,3322,冒险者布惠,
,3330,戈壁火狐,
,3331,宝藏守卫,
,3332,被魔化的熊人,
,3334,混乱魔灵,
,3335,偷猎者,
,3336,荒漠鹿角兽,
,3337,魔斩鹿角兽,
,3338,墓穴巨人,
,3339,恶灵魔物,
,3340,黑剑士米莱,
,3342,哥布林探宝骑士,
,3343,布鲁诺,
,3344,斥候皮曼,
,3345,矮巨人钢锤,材料副本
,3346,精灵族射手,材料副本噩梦
,3347,巫傀,经验副本
,3350,玫瑰团追随者,
,3351,蓝色半鱼人,
,3352,甜品大盗,
,3353,丛林偷猎者,
,3354,森林巨熊,
,3355,少女凯瑟琳,
,3356,少女雷茜,
,3357,矮人小贩,
,3358,商人希德,
,3359,冒险家小眼镜,
,3360,矮巨人矿工,
,3361,守卫长雷加,
,3362,锤子团卢卡斯,
,3363,匿名的冒险者,
,3364,不知名的镇民,
,3365,龟小豆,
,3366,龟族先知,
,3367,大学士,
,3368,财政大臣,
,3369,玫瑰团追随者,
,3372,米妮,
,3373,迷路的佣兵,
,3374,要塞守卫,
,3375,矿工,
,3376,泽欧密探,
,3377,暗黑战魂,
,3378,亡魂死徒,
,3379,亡魂死士,
,3380,枭鹰夏妮,
,3381,米兰达,
,3382,弗莱特,
,3383,弗莱特,不冬岛
,3384,岛民杰基,不冬岛
,3385,橙翼蜂,不冬岛
,3386,米兰达,不冬岛
,3387,强壮的男人,
,3388,联盟佣兵,
,3389,卫兵特里斯,
,3390,卫兵,巡查
,3391,狐克斯,
,3392,湖畔镇强盗,
,3393,魔法侍魂,
,3394,小男孩的奶奶,
,3395,小男孩的爸爸,
,3396,小女孩,风车镇巡查
,3397,黑商头目,
,3398,塔蕾娅,
,3399,玛露茜,
,3400,镇民阿尼雅,
,3401,镇民尤菲,
,3402,镇民德纳罗,
,3403,镇民柯罗,
,3404,大臣奥兰德,
,3405,大臣奥兰德1,
,3406,狼人战士,
,3407,供品窃贼,
,3408,纳雅卫兵,
,3409,玛露茜爸爸,
,3410,镇民泽尔,
,3411,斗篷女盗贼,
,3412,进击哥布林,
,3413,枭鹰族猎手,不冬岛
,3414,米兰达,不冬岛临时
,3415,震荡丧尸,
,3416,沙漠毒蝎,
,3417,边陲沙狐,
,3418,武装熊人战士,
,3419,边陲武士,
,3420,泪目狼人,
,3421,女巫仆从,
,3422,盗矿人,
,3423,魔篷女巫,
,3424,不死丧尸,
,3425,萤火熊,
,3426,装甲角巨人,
,3427,迷路的冒险者,
,3428,蒙面狂徒,
,3429,迷失鹿角兽,
,3430,矮巨人指挥官,
,3431,军需官伊利斯,
,3432,扬博士,
,3433,长老罗希,
,3434,镇民弗萨,
,3435,镇民维斯,
,3436,蕾茵,
,3437,蚀魔兽,
,3438,尼格斯,
,3439,失踪的小孩,
,3440,贝希摩斯1号,
,3441,希波,
,3442,玛露茜,
,3443,哈扎克,哥布林藏宝屋
,3446,罗兰大帝雕像,
,3447,码头工人加鲁,
,3448,吟游诗人达达,
,3449,沙漠土著帕帕拉,
,3450,大帝重刃,
,3452,法石遗迹,
,3453,纹章石,
,3454,泰坦遗骸,
,3455,银月湖,
,3456,黄金立方,
,3457,天神守卫,
,3458,灯塔,
,3459,翼族图腾,
,3460,悬赏公告板,
,3461,主城告示板,
,3463,魔法师丽丽莎,
,3467,女精灵奥莉薇,
,3468,力士加鲁,
,3469,禁卫督军·萨林,
,3471,哥布林探宝首领,
,3472,哥布林探宝队长,
,3473,树人护卫长,
,3474,锤子团首领,
,3475,食人魔教官,
,3476,魔化的改造体,
,3478,索加的魔化灵体,
,3479,巡查官乌迪本坦,
,3480,乔伊,
,3481,魔化的龙骑兵长,
,3482,暗魔法狂热者,
,3483,锤子团团员,
,3484,锤子团先锋,
,3485,探索者卡普,
,3486,采矿监工伊洛,
,3487,魔化的龙骑守卫,
,3488,黑衣人,
,3489,绿林花妖,
,3490,强盗贝拉,
,3491,玫瑰团凯蒂,
,3492,觉醒的魔族亡者,
,3493,路标,
,3494,露西蒂尼雕像,
,3495,飞艇执行长,
,3496,树神守护者,
,3501,城镇守卫官凡特,
,3502,城镇守卫官埃克,
,3503,黑战斧,
,3504,镇民萨斯,
,3505,镇民安吉拉,
,3506,爱克斯大妈,
,3507,受伤的米吉帕,
,3508,康奎斯特 ,
,3509,四蹄神,
,3510,米吉帕,
,3512,工作日志,
,3513,神秘人,
,3514,巫傀,冒险者营地巡查
,3515,金色魅影,
,3516,金色魅影,
,3519,魔斧鹿角兽,
,3520,小树精,
,3521,蕾茵,深海实验室
,3522,扬博士,深海实验室
,3523,默希娅,深海实验室
,3524,欧姆,
,3525,扬博士,
,3526,摩尼耶,
,3527,掠夺者叶戈尔,
,3528,掠夺者伊万,
,3529,副官列夫,
,3530,掠夺者米哈尔,
,3531,首领拜恩,
,3533,掠夺者安东,
,3535,杂物仓库,
,3536,执行官塞恩,
,3538,主宰的魔族亡者,
,3540,异化的改造体,
,3541,暗精灵不死者,
,3542,哥布林探宝哨兵,
,3543,树心城守卫,
,3544,树人首领洛克,
,3545,黄金巨石大盗,
,3546,黄金寇盗,
,3547,黄金魅惑大盗,
,3548,枯叶蜂,
,3549,矮巨人矿工,月神委托
,3550,永夜魔灵,
,3551,边陲劫掠者,
,3552,书籍,温丽梦境支线
,3553,沙原魔蝎,
,3554,龟长,
,3555,夺命蜂王,
,3556,迷雾魔战士,
,3557,岛民谢维奇,
,3558,斯塔克毒蝎,
,3559,受伤的冒险者,
,3560,治安官罗夫,
,3561,岛民赛文,
,3562,副会长斯拜,
,3563,枭鹰露妮,
,3564,特卡勒,
,3565,苏菲,
,3566,老佣兵杰克,
,3567,老纽曼克,
,3568,研究员雪诺,
,3569,黛茜,
,3570,小雷恩,
,3571,魔化异兽,
,3572,佣兵莱斯,
,3573,冶炼大王德萨,
,3574,萌新指导塞罗,
,3577,小魔法师阿兰杰,
,3578,镇民布姆,
,3579,镇民茨维舒,
,3580,裁缝道奇,
,3581,熊人战士,
,3582,联盟卫兵,
,3583,老德鲁伊乔西,
,3584,少女洛塔,
,3585,陶瓷匠老雷恩,
,3586,多帕密探,
,3589,管家沃尔特,
,3590,瑞德男爵,
,3591,导游卡卡 ,
,3592,乔斯朗 ,
,3593,乌萨 ,
,3595,暴怒战熊,
,3596,迷失的灵魂,
,3597,狂化者噗达,
,3598,游客凯尔,
,3599,游客艾达,
,3600,游客亚伯,
,3601,红狮白纹鱼,
,3602,餐厅老板,
,3603,游客哈吉,
,3604,游客萨尔玛,
,3605,游荡亡灵,
,3608,佣兵佩德罗,
,3613,佣兵塞缪尔,
,3618,佣兵舒拉,
,3630,哥布林乌纳伊,
,3631,马斯德子爵,
,3632,侍灵骑士亚斯,
,3633,售货员阿诺,
,3635,奸商穆萨,
,3636,巨石宝箱,
,3637,乖乖喵,
,3638,浮士德72,
,3641,氪金大佬亚历山,
,3643,汉莎,
,3644,斯达,
,3645,卡佳,
,3646,达卡,
,3647,佣兵特伍德,NPC
,3648,佣兵特伍德,切屏点
,3649,巡逻守卫,
,3651,考古学者奇努,
,3652,左相特使,
,3653,阿克莱斯,
,3655,斥候皮曼,失事飞船
,3656,黑翼骑士长约伯,
,3657,机械实验体B2,
,3658,鬼祟潜伏者,
,3659,纳雅卫队长,
,3660,亚兹莫,
,3661,岛民昆汀,
,3662,怒戮熊人,
,3663,偷猎者布德,
,3664,偷猎者彼连,
,3665,枭鹰,
,3666,碎岩巨人,
,3668,旅行家麦哲,
,3669,修行者禅那,
,3670,暴虐者,
,3671,蛮荒熊人,
,3672,鱼妖奥布里,
,3673,深海巨魔雷迪,
,3675,矮巨人钢盔,
,3676,安德烈博士,
,3677,黑龙翼兵,
,3678,浮士德18,
,3679,浮士德46,
,3680,浮士德63,
,3681,美少女合成兽,
,3682,树精叽叽,
,3683,树精喳喳,
,3684,机械毁灭者,
,3685,彩虹战士,
,3686,失踪小男孩,
,3687,暗黑法师扎斯,
,3689,枭鹰妮妲,
,3690,翼祖石,
,3691,鳄龟岩,
,3692,巨鲸遗骸,
,3694,远航号战舰残骸,
,3697,黄金战士德克斯,
,3698,立方智能哔达,
,3699,机械管家修斯,
,3700,尼格斯,材料深渊
,3702,扬博士·生化人,
,3703,扬博士·劣质生化人,
,3704,翼族先知考伯特,
,3705,黯月城广播,
,3706,孤狼傀儡残识,
,3707,梦魇白狼残识,
,3708,贪狼暴君,
,3709,枯叶蜂蜂王,
,3710,枭鹰族使者,
,3711,警卫员安东,
,3712,遇袭岛民波克,
,3713,岛民班特,
,3714,巨石守卫,
,3715,绝世舞姬,
,3716,黑色荆棘,
,3717,爱琪,
,3719,纳雅警卫兵,
,3725,愤怒,
,3726,六翼天神,
,3727,吃瓜群众,
,3728,镇民勒纳,
,3729,镇民苏特纳,
,3730,镇民蒂拉,
,3731,布兰,
,3732,镇民贝耶尔,
,3733,镇民西芙,
,3734,镇民斯卡娣,
,3735,格林尔,
,3736,镇民埃米,
,3737,镇民费茵,
,3738,克林博士,
,3739,纳雅勤卫兵,
,3740,掠夺者,
,3741,纳雅勤卫队长,
,3742,神秘掠夺者,
,3746,举止怪异的居民,
,3747,蒙面神秘人,
,3748,哭啼啼的小女孩,
,3749,边防卫兵,
,3750,奇怪的胖叔叔,
,3751,晃晃悠悠的路人,
,3752,东张西望的青年,
,3753,奇怪的人,
,3754,活泼的少女,
,3762,帝国特使科林,
,3763,魅影女王,
,3764,赤焰之主,
,3765,幽沼祭司,
,3766,罪灵女巫,
,3767,石像领主,
,3768,劫掠战魂,
,3769,狂妄暴魂,
,3770,寂灭铁骑,
,3771,丧钟傀儡,
,3772,独角狂战,
,3773,密函,
,3774,风迹熊喵酱,
,3777,贵族威廉,
,3778,大厨罗德,
,3779,哥布林怀特,
,3780,贝蒂,
,3781,少女小花,
,3782,探员夏洛克,
,3783,克丽丝,
,3784,铁匠史密斯,
,3786,哥布林格德,
,3801,本命探测器,
,3802,矿长阿米努,
,3803,采矿者戴普,
,3804,采矿者瑞伊,
,3805,采矿者里欧,
,3821,吃瓜群众格里安,
,3822,吃瓜群众默尔曼,
,3823,吃瓜群众阿希姆,
,3824,吃瓜群众安贝林,
,3825,冒险者玛斯卡,
,3826,冒险者马苏拉,
,3827,冒险者哈克特,
,3874,机械师艾斯,
,3875,工程师卡尔文,
,3876,黑龙盾甲,
,3877,机甲博士汉森,
护送测试npc,9991,护送测试npc,
