,id,des
,1074,阿噗，冒险路上很孤独？阿噗君带你认识<color=#bd4104>好友</color>。
,1075,连击次数越高伤害越高哦！请继续<color=#bd4104>连击</color>吧!
,1076,博学阿噗友情提醒，先使用普通技能<color=#bd4104>连击</color>可以提升输出造成更高伤害哦!
,1077,恭喜完成<color=#fad13b>英雄升级</color>引导
,1078,阿噗，进入副本后，先关注本次的<color=#bd4104>任务目标</color>是什么哦。
,1079,恭喜完成<color=#fad13b>装备强化</color>引导
,1080,恭喜完成<color=#fad13b>本命助力</color>引导
,1081,恭喜完成<color=#fad13b>英雄占卜</color>引导
,1082,恭喜完成<color=#fad13b>装备升星</color>引导
,1083,恭喜完成<color=#fad13b>装备进阶</color>引导
,1084,阿噗君给你变个魔术，点击返程按钮，下一秒就可以返回<color=#bd4104>卡诺萨城</color>哦！
,1085,阿噗，西蒙君解锁了新技能，快来点击技能图标查看吧。
,1086,想要了解英雄技能效果的话，认真阅读右侧界面的文字哦。下次，阿噗君会向你提问的。
,1087,阿噗，每个人之间都有羁绊，一起来学习如何提升羁绊吧！
,1088,噗，靠什么提升好感度？当然是他们心仪的礼物啊当好感度达到一定阶段，不仅能解锁<color=#bd4104>英雄档案</color>，还能获得丰厚的<color=#bd4104>回礼</color>哦！快行动吧，阿噗。
,1089,阿噗君告诉你一个小诀窍，相同等级的符文可以升级为更高级的符文！
,1090,打算使用<color=#bd4104>公会纹章</color>道具创建公会吗？是个好想法，阿噗君支持你，为你打电话！
,1091,当然，加入其它冒险者创建的公会也是一个不错的选择。多多结识冒险者吧，阿噗！
,1092,阿噗，挑战梦境中的守卫可以获得丰厚的奖励！为你加油，冲呀！
,1093,阿噗，鉴于我们的友情，分享小秘诀给你。点击此处可以查看守卫的<color=#bd4104>特性</color>，提前制定战斗策略吧！
,1094,阿噗！阿噗！这个守卫具有<color=#bd4104>反弹</color>特性，此时应及时换下生命值较低的英雄，尽量避免英雄阵亡！记住了吗？
,1095,召唤出来的领主可以自己讨伐也可以邀请其他玩家合力讨伐！不过要注意领主的剩余时间哦！快抓紧时间讨伐获取奖励吧！
,1096,红色的标记表示敌人的<color=#bd4104>大招技能</color>，尽可能的<color=#bd4104>打断</color>，避免受到大量伤害！
,1097,现在使用西蒙的辅助技<color=#bd4104>打断</color>敌方大招！
,1098,如果西蒙的辅助技正在冷却中，援护技能同样可以<color=#bd4104>打断</color>对方的大招哦！
,1099,阿噗噗！有新的伙伴加入了，要多多照顾他。先为他提升等级吧，阿噗。
,1100,辅助技能<color=#bd4104>激活</color>后会在敌方下个技能前生效
,1101,在被攻击时可以消耗一格奥义使用辅助技能
,1102,阿噗！带有<color=#bd4104>“终”</color>标记的技能属于<color=#bd4104>终结技</color>，施放后将<color=#bd4104>无法继续连击</color>！
,1103,现在来试试西蒙君<color=#bd4104>奥义</color>的威力吧！阿噗！
,1104,点此选择<color=#bd4104>训练</color>分页
,1105,点此选择<color=#bd4104>技能</color>分页
,1106,在添加分页中系统为你推荐了很多冒险者，快去结识吧！
,1107,点击全部添加可以快速向其他冒险者发送好友申请哦！
,1108,点击符文镶嵌分页查看已获得的技能符文
,1109,然后选择要镶嵌的技能
,1110,将符文镶嵌在奥义技能上，提升奥义技能的威力！
,1111,此时西蒙的辅助技正在冷却中
,1112,援护技能同样可以<color=#bd4104>打断</color>对方的大招哦！
,1113,点此换哥哥兰奇上场
,2000,根据怪物特性更换<color=#bd4104>女性</color>角色上场
,2001,点击此处更换英雄，敌方<color=#bd4104>当前技能结束时</color>生效
,2002,爱琳娜辅助技能的效果，是在<color=#bd4104>敌方3个技能之内</color>免疫死亡。
,3000,阿噗君开课啦，点击<color=#bd4104>技能1</color>进行<color=#bd4104>连击</color>，阿噗！
,3001,集中精神啊，阿噗！继续施放技能完成<color=#bd4104>2连击</color>！
,3002,阿噗君很严格，连击伤害已经提高到<color=#bd4104>10%</color>啦！继续<color=#bd4104>连击</color>提高伤害吧！
,3003,阿噗君划重点啦，<color=#bd4104>施放技能</color>或<color=#bd4104>受到伤害</color>都可回复奥义值。
,3004,看过来，阿噗！这个闪闪发光的东西是英雄已<color=#bd4104>积累</color>的奥义。
,3005,噗！西蒙君要使用奥义了，这个举动会消耗一格<color=#bd4104>奥义</color>哦。
,3006,噗，空格子代表敌人<color=#bd4104>已施放</color>的技能，明白了吗？阿噗。
,3007,阿噗，阿噗！看见匕首要小心，它代表敌人还<color=#bd4104>未施放</color>的技能数！
,3008,噗，跟着阿噗君，点击此处查看<color=#bd4104>技能说明。</color>
,3009,认真听讲哟，不然阿噗君会生气，<br>技能2带有<color=#bd4104>碎甲</color>效果。
,3010,而技能3可以<color=#bd4104>提高伤害</color>，阿噗。
,3011,阿噗，指导到此为止，现在点此关闭吧。
,3012,阿噗，阿噗！本次战斗敌人众多，足足有3人呢！
,3013,战胜场上敌人后，其余人会<color=#bd4104>依次上场</color>，所以不要掉以轻心哦，阿噗君给你加油。
,3014,温丽酱说得对哦！阿噗君教你如何查看敌人拥有的<color=#bd4104>特性种类</color>。
,3015,噗，跟着阿噗君的动作，打开本命界面。
,3016,现在来学习本命育成， 提升本命的战力吧！
,3017,升级完本命之后我们来学习怎么让本命助力英雄吧！
,3018,动动手指头就可以获得<color=#bd4104>1000罗兰钻</color>。难道你不心动吗？阿噗？
,3019,生活需要调味剂，阿噗君带你玩些不一样的。快跟我来，阿噗！
,3020,噗噗，相信你一定收获了许多小伙伴，那么阿噗君给你推荐个适合组团一起玩的好活动——<color=#bd4104>多人副本</color>。
,3021,不过活动有时间限制，千万不要错过咯，阿噗！
