,required,optional,optional,optional,optional,optional,repeated,repeated,optional
,114,Textures/Atlas/Dyn/CharacterCommonHead/Godofdeath.png,Textures\Atlas\Dyn\CharacterHalfBody\Godofdeath.png,,0,,0,0,0
温丽,201,Textures/Atlas/Dyn/CharacterCommonHead/Wenly.png,Textures\Atlas\Dyn\CharacterHalfBody\Wenly.png,npc_wenli,100201,,0,0,0
爱琳娜,301,Textures/Atlas/Dyn/CharacterCommonHead/Elena.png,Textures\Atlas\Dyn\CharacterHalfBody\Elena.png,,0,,0,0,0
爱琪,302,Textures/Atlas/Dyn/CharacterCommonHead/Rose.png,Textures\Atlas\Dyn\CharacterHalfBody\Elecy.png,npc_aiqi,146001,,0,0,0
,401,Textures/Atlas/Dyn/CharacterCommonHead/Joey.png,Textures/Atlas/Dyn/CharacterHalfBody/Joey.png,,0,,0,0,0
诺尔,1000,Textures/Atlas/Dyn/CharacterCommonHead/Andrew.png,Textures\Atlas\Dyn\CharacterHalfBody\Andrew.png,npc_nuoerbai,100500,,201;1002,1;0,2001
黑谷,1001,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\DarkGrains.png,npc_heigu,101100,,0,0,0
薇莉丝,1002,Textures/Atlas/Dyn/CharacterCommonHead/lilisi.png,Textures\Atlas\Dyn\CharacterHalfBody\ResearchInstituteofBaixier.png,npc_baixier,162001,,1000,0,2001
莱克,1003,Textures/Atlas/Dyn/CharacterCommonHead/Captain.png,Textures\Atlas\Dyn\CharacterHalfBody\Captain.png,npc_dujunlaike,100900,,3076,0,2001
旅馆老板,1051,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png,,0,,0,0,0
修船机器人,1168,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\ShipRepairRobot.png,npc_xiuchuanjiqiren,169001,,0,0,0
乞丐,1169,Textures\Atlas\Dyn\CharacterCommonHead\Beggar.png,Textures\Atlas\Dyn\CharacterHalfBody\Beggar.png,npc_qigai,148001,,0,0,0
气球女孩小雅,1170,Textures\Atlas\Dyn\CharacterCommonHead\TheballoongirlXiaoya.png,Textures\Atlas\Dyn\CharacterHalfBody\TheballoongirlXiaoya.png,npc_qiqiunvhaixiaoya,158001,,0,0,0
小树灵,1171,Textures\Atlas\Dyn\CharacterCommonHead\XiaoShuLing.png,Textures\Atlas\Dyn\CharacterHalfBody\XiaoShuLing.png,npc_xiaoshuling,153001,,0,0,0
歌姬露娜,1173,Textures\Atlas\Dyn\CharacterCommonHead\DivaLuna.png,Textures\Atlas\Dyn\CharacterHalfBody\DivaLuna.png,npc_geji,156001,,0,0,0
吟游诗人玛门,1175,Textures\Atlas\Dyn\CharacterCommonHead\TheBardofMammon.png,Textures\Atlas\Dyn\CharacterHalfBody\TheBardofMammon.png,,0,,0,0,0
卫兵,2001,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\SilverShieldwar.png,npc_baiyindunzhan,226001,,0,0,0
村民,2019,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png,,0,,0,0,0
狂化阿噗,2020,Textures/Atlas/Dyn/CharacterCommonHead/CrazyMichel.png,Textures\Atlas\Dyn\CharacterHalfBody\CrazyMichel.png,npc_kuanghuaapu,101000,,0,0,0
鹿角兽队长,2021,Textures/Atlas/Dyn/CharacterCommonHead/Monsterdeer.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png,,0,,0,0,0
鹿角兽首领,2026,Textures/Atlas/Dyn/CharacterCommonHead/Monsterdeer.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png,,0,,0,0,0
鱼妖,2029,Textures/Atlas/Dyn/CharacterCommonHead/MonsterFish.png,Textures\Atlas\Dyn\CharacterHalfBody\MonsterFish.png,,0,,0,0,0
诗寇蒂,2030,Textures/Atlas/Dyn/CharacterCommonHead/Shikoud.png,Textures\Atlas\Dyn\CharacterHalfBody\Shikoud.png,npc_shikoudidie,0,,0,0,0
米修,2031,Textures/Atlas/Dyn/CharacterCommonHead/ApuffofMichaux.png,Textures\Atlas\Dyn\CharacterHalfBody\Michel.png,npc_mixiu,102100,,2032;201,0;1,2001
由莉,2032,Textures/Atlas/Dyn/CharacterCommonHead/Yuro.png,Textures\Atlas\Dyn\CharacterHalfBody\Yuro.png,npc_youli,103100,,2035;101;201,0;1;1,2001
鹿角兽,2033,Textures/Atlas/Dyn/CharacterCommonHead/Monsterdeer.png,Textures\Atlas\Dyn\CharacterHalfBody\Monsterdeer.png,,0,,0,0,0
桑妮,2035,Textures/Atlas/Dyn/CharacterCommonHead/Sunny.png,Textures\Atlas\Dyn\CharacterHalfBody\Sunny.png,npc_xiunvsenni,102600,,201;3004,1;0,2001
强盗,2036,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png,,0,,0,0,0
宝箱,2039,Textures/Atlas/Dyn/CharacterCommonHead/Box.png,,,0,,0,0,0
赫丽,3001,Textures\Atlas\Dyn\CharacterCommonHead\Herly2.png,Textures\Atlas\Dyn\CharacterHalfBody\Herly2.png,npc_heli,101800,,102;3028;3004,1;0;0,2001
麦提,3002,Textures/Atlas/Dyn/CharacterCommonHead/Manandoldman.png,Textures/Atlas/Dyn/CharacterHalfBody/Oldman.png,npc_laotou,126001,,0,0,0
贝拉,3003,Textures/Atlas/Dyn/CharacterCommonHead/Adancer.png,Textures\Atlas\Dyn\CharacterHalfBody\Adancer.png,npc_jueshiwuji,141001,,0,0,0
大卫,3004,Textures\Atlas\Dyn\CharacterCommonHead\Edgar.png,Textures\Atlas\Dyn\CharacterHalfBody\Edgar.png,npc_jialin,107001,,2035;3001,0;0,2001
铁臂安道夫,3005,Textures\Atlas\Dyn\CharacterCommonHead\IronwallThomas.png,Textures\Atlas\Dyn\CharacterHalfBody\IronThomas.png,npc_andaofu,168001,,3042;301;3080,0;1;0,2001
富商金斯特,3007,Textures/Atlas/Dyn/CharacterCommonHead/fushangjinsite.png,Textures/Atlas/Dyn/CharacterHalfBody/MoritheEarl.png,npc_lvmaolanjue,137001,,3011,0,2001
库伯拉长老,3008,Textures/Atlas/Dyn/CharacterCommonHead/Bailiff.png,Textures\Atlas\Dyn\CharacterHalfBody\Bailiff.png,npc_fengchezhenlaoyeye,100700,,3036;3009,0;0,2001
安可,3009,Textures/Atlas/Dyn/CharacterCommonHead/Ancore.png,Textures\Atlas\Dyn\CharacterHalfBody\Ancore.png,npc_anke,100400,,3008;101;201,0;1;1,2001
该隐,3010,Textures\Atlas\Dyn\CharacterCommonHead\Cain.png,Textures\Atlas\Dyn\CharacterHalfBody\Cain.png,,0,,0,0,0
哈扎克,3011,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\HaZaKe.png,npc_hazhake,218001,,0,0,0
木匠卡卡,3012,Textures/Atlas/Dyn/CharacterCommonHead/ForgingEngineer.png,Textures/Atlas/Dyn/CharacterHalfBody/ForgingEngineer.png,,0,,0,0,0
萨沙,3017,Textures\Atlas\Dyn\CharacterCommonHead\Girllolie.png,Textures\Atlas\Dyn\CharacterHalfBody\Girllolie.png,,0,,0,0,0
受伤的村民,3018,Textures/Atlas/Dyn/CharacterCommonHead/teenageboy.png,Textures\Atlas\Dyn\CharacterHalfBody\PeopleInjured.png,npc_shoushangdecunmin,244001,,0,0,0
强盗贝拉,3019,Textures/Atlas/Dyn/CharacterCommonHead/Adancer.png,Textures\Atlas\Dyn\CharacterHalfBody\Adancer.png,npc_jueshiwuji,141001,,0,0,0
笛卡尔,3020,Textures/Atlas/Dyn/CharacterCommonHead/Blackthorne.png,Textures/Atlas/Dyn/CharacterHalfBody/Blackthorne.png,npc_heisejingji,145001,,0,0,0
管家约瑞克,3021,Textures/Atlas/Dyn/CharacterCommonHead/Stewardshipmock.png,Textures/Atlas/Dyn/CharacterHalfBody/Mauck.png,npc_moke,104400,,3076,0,2001
花店老板,3022,Textures\Atlas\Dyn\CharacterCommonHead\Youngwomen.png,Textures\Atlas\Dyn\CharacterHalfBody\FloristTender.png,npc_huadianlaoban,222001,,3076,0,2001
诺尔（黑）,3027,Textures\Atlas\Dyn\CharacterCommonHead\AndrewBlack.png,Textures\Atlas\Dyn\CharacterHalfBody\AndrewBlack.png,npc_nuoerhei,100600,,201;1002,1;0,2001
特罗德,3028,Textures/Atlas/Dyn/CharacterCommonHead/teluode.png,Textures\Atlas\Dyn\CharacterHalfBody\Teluo.png,npc_teluode,161001,,201;3001,1;0,2001
海莉大妈,3036,Textures/Atlas/Dyn/CharacterCommonHead/Womanoldwoman.png,Textures/Atlas/Dyn/CharacterHalfBody/Womanoldwoman.png,npc_nongcunlaopopo,112001,,3008,0,2001
镇民,3037,Textures/Atlas/Dyn/CharacterCommonHead/Youngwomen.png,Textures\Atlas\Dyn\CharacterHalfBody\Youngwomen.png,,0,,0,0,0
雷克兽领主,3038,Textures/Atlas/Dyn/CharacterCommonHead/ArmedWolf.png,Textures/Atlas/Dyn/CharacterHalfBody/Wolves.png,npc_wuzhuanglangren,139001,,0,0,0
宝箱玩法测试NPC,3039,Textures/Atlas/Dyn/CharacterCommonHead/Yuro.png,Textures\Atlas\Dyn\CharacterHalfBody\Yuro.png,npc_youli,103100,,0,0,0
吉拉,3042,Textures\Atlas\Dyn\CharacterCommonHead\Gilardino.png,Textures\Atlas\Dyn\CharacterHalfBody\Gilardino.png,npc_jila,109001,,3043;3005,0;0,2001
伦纳德,3043,Textures\Atlas\Dyn\CharacterCommonHead\Pierre.png,Textures\Atlas\Dyn\CharacterHalfBody\Pierre.png,npc_lunnade,125001,,3042;3005,0;0,2001
旅馆老板,3044,Textures/Atlas/Dyn/CharacterCommonHead/Baya.png,Textures/Atlas/Dyn/CharacterHalfBody/Baya.png,npc_lvdianlaoban,100800,,0,0,0
秘密探员,3045,Textures\Atlas\Dyn\CharacterCommonHead\EliteWarrio.png,Textures\Atlas\Dyn\CharacterHalfBody\TribaleliteWarrior.png,npc_qiangjiedezhenming,167001,,0,0,0
老希尔,3048,Textures\Atlas\Dyn\CharacterCommonHead\Uncle.png,Textures\Atlas\Dyn\CharacterHalfBody\Uncle.png,npc_dashu_normal,0,,0,0,0
先驱者1号,3051,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Pioneer1.png,npc_xianquzhe1hao,149001,,0,0,0
公会办事员（罗兰镇）,3052,Textures\Atlas\Dyn\CharacterCommonHead\Uncle.png,Textures\Atlas\Dyn\CharacterHalfBody\Uncle.png,npc_dashu_normal,0,,0,0,0
小女孩,3053,Textures\Atlas\Dyn\CharacterCommonHead\Girllolie.png,Textures\Atlas\Dyn\CharacterHalfBody\Girllolie.png,,0,,0,0,0
芙妮,3057,Textures\Atlas\Dyn\CharacterCommonHead\Youngwomen.png,Textures\Atlas\Dyn\CharacterHalfBody\Youngwomen.png,,0,,0,0,0
库里奇,3058,Textures\Atlas\Dyn\CharacterCommonHead\Youngmen.png,Textures\Atlas\Dyn\CharacterHalfBody\Youngmen.png,npc_xiaoqingnian,124001,,0,0,0
缪吉克辉,3059,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\TheBardofMammon.png,,0,,0,0,0
哥布林商人,3060,Textures\Atlas\Dyn\CharacterCommonHead\GoldGoblins.png,Textures/Atlas/Dyn/CharacterHalfBody/MoneyColombo.png,npc_jinqiangebulin,143001,,0,0,0
,3061,Textures\Atlas\Dyn\CharacterCommonHead\Youngmen.png,Textures\Atlas\Dyn\CharacterHalfBody\Youngmen.png,npc_xiaoqingnian,124001,,0,0,0
,3062,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Deadwalking.png,npc_Axingganranzhe,101300,,0,0,0
,3063,Textures\Atlas\Dyn\CharacterCommonHead\HarmontheOgre.png,Textures\Atlas\Dyn\CharacterHalfBody\HarmontheOgre.png,npc_shirenmoyongbing,144001,,0,0,0
,3064,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png,,0,,0,0,0
,3065,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png,,0,,0,0,0
,3066,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png,,0,,0,0,0
,3067,Textures\Atlas\Dyn\CharacterCommonHead\EliteWarrio.png,Textures\Atlas\Dyn\CharacterHalfBody\TribaleliteWarrior.png,npc_qiangjiedezhenming,167001,,0,0,0
嗜血死神萨米尔,3068,Textures/Atlas/Dyn/CharacterCommonHead/Godofdeath.png,Textures\Atlas\Dyn\CharacterHalfBody\Godofdeath.png,,0,,0,0,0
,3069,Textures/Atlas/Dyn/CharacterCommonHead/Uncle.png,Textures/Atlas/Dyn/CharacterHalfBody/Uncle.png,npc_dashu_normal,0,,0,0,0
,3070,Textures/Atlas/Dyn/CharacterCommonHead/Youngmen.png,Textures/Atlas/Dyn/CharacterHalfBody/Youngmen.png,npc_xiaoqingnian,124001,,0,0,0
哥布林德雷克,3074,Textures\Atlas\Dyn\CharacterCommonHead\GoldGoblins.png,Textures/Atlas/Dyn/CharacterHalfBody/MoneyColombo.png,npc_jinqiangebulin,143001,,0,0,0
酒馆负责人,3075,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png,,0,,0,0,0
左相,3076,Textures/Atlas/Dyn/CharacterCommonHead/Bailiff.png,Textures/Atlas/Dyn/CharacterHalfBody/Bailiff.png,npc_fengchezhenlaoyeye,100700,,1003;3021,0;0,2001
莉雅,3077,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures/Atlas/Dyn/CharacterHalfBody/default.png,,0,,0,0,0
,3079,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png,,0,,0,0,0
比多猫,3080,Textures/Atlas/Dyn/CharacterCommonHead/Manycats.png,Textures/Atlas/Dyn/CharacterHalfBody/Morethancat.png,,0,,3005;3176;3177,0;0;0,2001
占星师米勒,3081,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png,,0,,0,0,0
镇民邦妮,3082,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\DivaLuna.png,npc_geji,156001,,0,0,0
镇民肖恩,3083,Textures/Atlas/Dyn/CharacterCommonHead/Uncle.png,Textures/Atlas/Dyn/CharacterHalfBody/Uncle.png,npc_dashu_normal,0,,0,0,0
安德鲁,3085,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png,,0,,0,0,0
盗贼前哨哈蒙,3086,Textures\Atlas\Dyn\CharacterCommonHead\ArmedbearWarrior.png,Textures\Atlas\Dyn\CharacterHalfBody\HarmontheOgre.png,npc_shirenmoyongbing,0,,0,0,0
镇民,3087,Textures\Atlas\Dyn\CharacterCommonHead\teenageboy.png,Textures\Atlas\Dyn\CharacterHalfBody\teenageboy.png,npc_zhengtai,0,,0,0,0
,3088,Textures\Atlas\Dyn\CharacterCommonHead\Greedy.png,Textures\Atlas\Dyn\CharacterHalfBody\Greedy.png,npc_tanlan,165001,,0,0,0
虚灵恶法师,3089,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png,,0,,0,0,0
,3090,Textures/Atlas/Dyn/CharacterCommonHead/EliteWarrio.png,Textures/Atlas/Dyn/CharacterHalfBody/TribaleliteWarrior.png,npc_qiangjiedezhenming,167001,,0,0,0
茶店老板齐娜,3095,Textures\Atlas\Dyn\CharacterCommonHead\OusangBoyleAunt.png,Textures\Atlas\Dyn\CharacterHalfBody\OusangBoyleAunt.png,npc_ousangdashen,155001,,0,0,0
瑞茜,3096,Textures\Atlas\Dyn\CharacterCommonHead\TheballoongirlXiaoya.png,Textures\Atlas\Dyn\CharacterHalfBody\TheballoongirlXiaoya.png,npc_qiqiunvhaixiaoya,158001,,0,0,0
艾德蒙,3098,,Textures\Atlas\Dyn\CharacterHalfBody\breadgodmissionary.png,npc_chuanjiaoshi,214001,,0,0,0
酒馆老板佐伊,3099,Textures\Atlas\Dyn\CharacterCommonHead\GrayAunt.png,Textures\Atlas\Dyn\CharacterHalfBody\GrayAunt.png,npc_geleidama,154001,,0,0,0
艾赛尔,3101,Textures\Atlas\Dyn\CharacterCommonHead\Aysel.png,Textures\Atlas\Dyn\CharacterHalfBody\Aysel.png,npc_aisaier,127001,,3005,0,2001
菲丝,3102,Textures\Atlas\Dyn\CharacterCommonHead\Youngwomen.png,Textures\Atlas\Dyn\CharacterHalfBody\Youngwomen.png,,0,,0,0,0
莫克夫,3103,Textures\Atlas\Dyn\CharacterCommonHead\Beggar.png,Textures\Atlas\Dyn\CharacterHalfBody\Beggar.png,npc_qigai,148001,,0,0,0
卡尔,3104,Textures/Atlas/Dyn/CharacterCommonHead/Manandoldman.png,Textures\Atlas\Dyn\CharacterHalfBody\Oldman.png,npc_laotou,126001,,0,0,0
,3117,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png,,0,,0,0,0
小女巫弥尔,3118,Textures/Atlas/Dyn/CharacterCommonHead/LittleWitches.png,Textures\Atlas\Dyn\CharacterHalfBody\LittleWitches.png,npc_xiaomonv,115001,,3119;3159,0;0,2003
女巫菲梅,3119,Textures/Atlas/Dyn/CharacterCommonHead/Witchwilderness.png,Textures/Atlas/Dyn/CharacterHalfBody/Witchmoor.png,npc_huangyuannvwu,213001,,3118;3142,0;0,2003
黄胡子,3121,Textures/Atlas/Dyn/CharacterCommonHead/DwarfHuangHuzi.png,Textures\Atlas\Dyn\CharacterHalfBody\Dwarfyellowbeard.png,npc_airenhuanghuzi,208001,,3129,0,2003
格雷,3123,Textures/Atlas/Dyn/CharacterCommonHead/FemalechildrenMiddleEast.png,Textures\Atlas\Dyn\CharacterHalfBody\FemalechildrenMiddleEast.png,npc_zhongdongxiaoluoli,110001,,0,0,0
安斯利,3125,Textures/Atlas/Dyn/CharacterCommonHead/MalechildrenMiddleEast.png,Textures/Atlas/Dyn/CharacterHalfBody/MalechildrenMiddleEast.png,npc_zhenmingansili,122001,,0,0,0
库珀,3127,Textures/Atlas/Dyn/CharacterCommonHead/MalechildrenMiddleEast.png,Textures/Atlas/Dyn/CharacterHalfBody/MalechildrenMiddleEast.png,npc_zhenmingansili,122001,,0,0,0
伊诺克,3129,Textures/Atlas/Dyn/CharacterCommonHead/MalechildrenMiddleEast.png,Textures/Atlas/Dyn/CharacterHalfBody/MalechildrenMiddleEast.png,npc_zhenmingansili,122001,,3121,0,2003
黑蹄鹿角兽,3130,Textures/Atlas/Dyn/CharacterCommonHead/CaptainDeer.png,Textures\Atlas\Dyn\CharacterHalfBody\captaindeerstalker.png,npc_heitilujiaoshou,215001,,0,0,0
葛莱蒂丝小女孩,3131,Textures/Atlas/Dyn/CharacterCommonHead/FemalechildrenMiddleEast.png,Textures\Atlas\Dyn\CharacterHalfBody\FemalechildrenMiddleEast.png,npc_zhongdongxiaoluoli,110001,,0,0,0
葛莱蒂丝,3132,Textures/Atlas/Dyn/CharacterCommonHead/Arwen.png,Textures/Atlas/Dyn/CharacterHalfBody/Arwen.png,npc_geilaidisi,0,,0,0,0
深渊领主拉奥,3133,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\CrazyMichel.png,npc_kuanghuaapu,101000,,0,0,0
魔湖领主彭斯,3134,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Bigfishdemon.png,,0,,0,0,0
山岩领主强森,3135,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png,,0,,0,0,0
草原领主比利,3136,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Scorpion.png,npc_caoyuanxieziren,164001,,0,0,0
弑魂领主索尔,3137,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png,,0,,0,0,0
禁卫军官萨林,3138,Textures\Atlas\Dyn\CharacterCommonHead\GuardwarlordSalin.png,Textures\Atlas\Dyn\CharacterHalfBody\GuardwarlordSalin.png,npc_salin,163001,,0,0,0
阿布纳,3139,,Textures\Atlas\Dyn\CharacterHalfBody\breadgodmissionary.png,npc_chuanjiaoshi,214001,,0,0,0
迈尔斯,3140,Textures\Atlas\Dyn\CharacterCommonHead\Uncle.png,Textures\Atlas\Dyn\CharacterHalfBody\Uncle.png,npc_dashu_normal,0,,0,0,0
布雷登,3141,Textures\Atlas\Dyn\CharacterCommonHead\infectedadventurer.png,Textures\Atlas\Dyn\CharacterHalfBody\Infectedadventurer.png,npc_ganrandemaoxianzhe,198001,,0,0,0
首领埃尼奥,3142,Textures/Atlas/Dyn/CharacterCommonHead/AiNiAo.png,Textures\Atlas\Dyn\CharacterHalfBody\adventurersLeader.png,npc_shoulingainiao,189001,,3119;3159,0;0,2003
,3149,Textures/Atlas/Dyn/CharacterCommonHead/Anthropomorphictreeman.png,Textures/Atlas/Dyn/CharacterHalfBody/treemale.png,npc_nirenshuren,106200,,0,0,0
,3150,Textures/Atlas/Dyn/CharacterCommonHead/Traditionaltreeman.png,Textures/Atlas/Dyn/CharacterHalfBody/Treeman.png,npc_chuantongshuren,106300,,104;3156,1;0,2003
,3151,Textures/Atlas/Dyn/CharacterCommonHead/Anthropomorphictreeman.png,Textures/Atlas/Dyn/CharacterHalfBody/treemale.png,npc_nirenshuren,106200,,0,0,0
,3154,Textures/Atlas/Dyn/CharacterCommonHead/witheredbeequeenbee.png,Textures/Atlas/Dyn/CharacterHalfBody/Witheredbeequeen.png,npc_kuyefengwang,281001,,0,0,0
,3155,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures/Atlas/Dyn/CharacterHalfBody/Druidmale.png,npc_deluyinanqingnian,104200,,0,0,0
,3156,Textures/Atlas/Dyn/CharacterCommonHead/deluyishoulinglaian.png,Textures/Atlas/Dyn/CharacterHalfBody/Chiefdruid.png,npc_deluyishouling,197001,,3150;108,0;1,2003
,3157,Textures/Atlas/Dyn/CharacterCommonHead/Druid.png,Textures/Atlas/Dyn/CharacterHalfBody/Druid.png,,0,,0,0,0
费米,3159,Textures/Atlas/Dyn/CharacterCommonHead/Youngmen.png,Textures\Atlas\Dyn\CharacterHalfBody\Youngmen.png,npc_xiaoqingnian,124001,,3118;3142,0;0,2003
,3164,Textures/Atlas/Dyn/CharacterCommonHead/Carly.png,Textures\Atlas\Dyn\CharacterHalfBody\Carly.png,npc_anjinglingnvlang,108001,,3167;3166,0;0,2003
,3165,Textures/Atlas/Dyn/CharacterCommonHead/Elves.png,Textures\Atlas\Dyn\CharacterHalfBody\eldersofdarkelves.png,npc_anjinglingzhanglao,119001,,0,0,0
,3166,Textures/Atlas/Dyn/CharacterCommonHead/dawei.png,Textures\Atlas\Dyn\CharacterHalfBody\Edgar.png,npc_jialin,107001,,3164,0,2003
,3167,Textures/Atlas/Dyn/CharacterCommonHead/DarkElfMaleyoungman.png,Textures\Atlas\Dyn\CharacterHalfBody\Darkelfmaleyouth.png,npc_anjinglingnanqingnian,200001,,3164,0,2003
魅魔修狄斯,3172,Textures/Atlas/Dyn/CharacterCommonHead/Adancer.png,Textures\Atlas\Dyn\CharacterHalfBody\Bigwitch.png,npc_meimo,223004,,0,0,0
冒险者拉尔夫,3173,Textures\Atlas\Dyn\CharacterCommonHead\TribalWarrior.png,Textures\Atlas\Dyn\CharacterHalfBody\TribaleliteWarrior.png,npc_qiangjiedezhenming,167001,,0,0,0
,3175,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png,,0,,0,0,0
,3176,Textures\Atlas\Dyn\CharacterCommonHead\bige.png,Textures\Atlas\Dyn\CharacterHalfBody\kitten.png,npc_xiaomaomi,194001,,3177;3178;3179,0;0;0,2001
,3177,Textures\Atlas\Dyn\CharacterCommonHead\bige.png,Textures\Atlas\Dyn\CharacterHalfBody\kitten.png,npc_xiaomaomi,194001,,3178;3179;3180,0;0;0,2001
,3178,Textures\Atlas\Dyn\CharacterCommonHead\bige.png,Textures\Atlas\Dyn\CharacterHalfBody\kitten.png,npc_xiaomaomi,194001,,3179;3180;3181,0;0;0,2001
,3179,Textures\Atlas\Dyn\CharacterCommonHead\bige.png,Textures\Atlas\Dyn\CharacterHalfBody\kitten.png,npc_xiaomaomi,194001,,3180;3181;3176,0;0;0,2001
,3180,Textures\Atlas\Dyn\CharacterCommonHead\bige.png,Textures\Atlas\Dyn\CharacterHalfBody\kitten.png,npc_xiaomaomi,194001,,3181;3176;3177,0;0;0,2001
,3181,Textures\Atlas\Dyn\CharacterCommonHead\bige.png,Textures\Atlas\Dyn\CharacterHalfBody\kitten.png,npc_xiaomaomi,194001,,3176;3177;3178,0;0;0,2001
