,required,required
X个英雄5个技能均达到Y级,1010230,100005
X个英雄5个技能均达到Y级,1010231,100005
X个英雄5个技能均达到Y级,1010232,100005
X个英雄5个技能均达到Y级,1010233,100005
X个英雄5个技能均达到Y级,1010234,100005
X个英雄5个技能均达到Y级,1010235,100005
X个英雄5个技能均达到Y级,1010236,100005
X个英雄5个技能均达到Y级,1010237,100005
X个英雄5个技能均达到Y级,1010238,100005
X个英雄5个技能均达到Y级,1010239,100005
X个英雄5个技能均达到Y级,1010240,100005
X个英雄5个技能均达到Y级,1010241,100005
X个英雄5个技能均达到Y级,1010242,100005
X个英雄5个技能均达到Y级,1010243,100005
X个英雄5个技能均达到Y级,1010244,100005
X个英雄5个技能均达到Y级,1010245,100005
X个英雄5个技能均达到Y级,1010246,100005
X个英雄5个技能均达到Y级,1010247,100005
X个英雄5个技能均达到Y级,1010248,100005
X个英雄5个技能均达到Y级,1010249,100005
X个英雄5个技能均达到Y级,1010250,100005
X个英雄5个技能均达到Y级,1010251,100005
X个英雄5个技能均达到Y级,1010252,100005
X个英雄5个技能均达到Y级,1010253,100005
X个英雄5个技能均达到Y级,1010254,100005
X个英雄5个技能均达到Y级,1010255,100005
X个英雄5个技能均达到Y级,1010256,100005
X个蓝色符文最高到达Y级,1010257,1003
X个蓝色符文最高到达Y级,1010258,1003
X个蓝色符文最高到达Y级,1010259,1003
X个蓝色符文最高到达Y级,1010260,1003
X个蓝色符文最高到达Y级,1010261,1003
X个蓝色符文最高到达Y级,1010262,1003
X个蓝色符文最高到达Y级,1010263,1003
X个蓝色符文最高到达Y级,1010264,1003
X个蓝色符文最高到达Y级,1010265,1003
X个蓝色符文最高到达Y级,1010266,1003
X个蓝色符文最高到达Y级,1010267,1003
X个蓝色符文最高到达Y级,1010268,1003
X个蓝色符文最高到达Y级,1010269,1003
X个蓝色符文最高到达Y级,1010270,1003
X个蓝色符文最高到达Y级,1010271,1003
X个蓝色符文最高到达Y级,1010272,1003
X个蓝色符文最高到达Y级,1010273,1003
X个蓝色符文最高到达Y级,1010274,1003
X个蓝色符文最高到达Y级,1010275,1003
X个蓝色符文最高到达Y级,1010276,1003
X个紫色符文最高到达Y级,1010277,1003
X个紫色符文最高到达Y级,1010278,1003
X个紫色符文最高到达Y级,1010279,1003
X个紫色符文最高到达Y级,1010280,1003
X个紫色符文最高到达Y级,1010281,1003
X个紫色符文最高到达Y级,1010282,1003
X个紫色符文最高到达Y级,1010283,1003
X个紫色符文最高到达Y级,1010284,1003
X个紫色符文最高到达Y级,1010285,1003
X个紫色符文最高到达Y级,1010286,1003
X个紫色符文最高到达Y级,1010287,1003
X个紫色符文最高到达Y级,1010288,1003
X个紫色符文最高到达Y级,1010289,1003
X个紫色符文最高到达Y级,1010290,1003
X个紫色符文最高到达Y级,1010291,1003
X个紫色符文最高到达Y级,1010292,1003
X个紫色符文最高到达Y级,1010293,1003
X个紫色符文最高到达Y级,1010294,1003
X个紫色符文最高到达Y级,1010295,1003
X个紫色符文最高到达Y级,1010296,1003
X个橙色符文最高到达Y级,1010297,1003
X个橙色符文最高到达Y级,1010298,1003
X个橙色符文最高到达Y级,1010299,1003
X个橙色符文最高到达Y级,1010300,1003
X个橙色符文最高到达Y级,1010301,1003
X个橙色符文最高到达Y级,1010302,1003
X个橙色符文最高到达Y级,1010303,1003
X个橙色符文最高到达Y级,1010304,1003
X个橙色符文最高到达Y级,1010305,1003
X个橙色符文最高到达Y级,1010306,1003
X个橙色符文最高到达Y级,1010307,1003
X个橙色符文最高到达Y级,1010308,1003
X个橙色符文最高到达Y级,1010309,1003
X个橙色符文最高到达Y级,1010310,1003
X个橙色符文最高到达Y级,1010311,1003
X个橙色符文最高到达Y级,1010312,1003
X个橙色符文最高到达Y级,1010313,1003
X个橙色符文最高到达Y级,1010314,1003
X个橙色符文最高到达Y级,1010315,1003
X个橙色符文最高到达Y级,1010316,1003
X个英雄的5个技能镶嵌紫色以上符文,1010317,100006
X个英雄的5个技能镶嵌紫色以上符文,1010318,100006
X个英雄的5个技能镶嵌紫色以上符文,1010319,100006
X个英雄的5个技能镶嵌紫色以上符文,1010320,100006
X个英雄的5个技能镶嵌紫色以上符文,1010321,100006
X个英雄的5个技能镶嵌紫色以上符文,1010322,100006
X个英雄的5个技能镶嵌橙色以上符文,1010323,100006
X个英雄的5个技能镶嵌橙色以上符文,1010324,100006
X个英雄的5个技能镶嵌橙色以上符文,1010325,100006
X个英雄的5个技能镶嵌橙色以上符文,1010326,100006
X个英雄的5个技能镶嵌橙色以上符文,1010327,100006
X个英雄的5个技能镶嵌橙色以上符文,1010328,100006
X个本命达到Y级,1010329,100009
X个本命达到Y级,1010330,100009
X个本命达到Y级,1010331,100009
X个本命达到Y级,1010332,100009
X个本命达到Y级,1010333,100009
X个本命达到Y级,1010334,100009
X个本命达到Y级,1010335,100009
X个本命达到Y级,1010336,100009
X个本命达到Y级,1010337,100009
X个本命达到Y级,1010338,100009
X个本命达到Y级,1010339,100009
X个本命达到Y级,1010340,100009
X个本命达到Y级,1010341,100009
X个本命达到Y级,1010342,100009
X个本命达到Y级,1010343,100009
X个本命达到Y级,1010344,100009
X个本命达到Y级,1010345,100009
X个本命达到Y级,1010346,100009
X个本命达到Y级,1010347,100009
X个本命达到Y级,1010348,100009
X个本命达到Y级,1010349,100009
X个本命达到Y级,1010350,100009
X个本命达到Y级,1010351,100009
X个本命达到Y级,1010352,100009
X个本命达到Y级,1010353,100009
X个本命达到Y级,1010354,100009
X个本命达到Y级,1010355,100009
X个本命达到Y级,1010356,100009
X个本命达到Y级,1010357,100009
X个本命达到Y级,1010358,100009
X个本命达到Y级,1010359,100009
X个本命达到Y级,1010360,100009
X个本命达到Y级,1010361,100009
X个本命达到Y级,1010362,100009
X个本命达到Y级,1010363,100009
X个本命达到Y级,1010364,100009
X个本命达到Y级,1010365,100009
X个本命达到Y级,1010366,100009
X个本命达到Y级,1010367,100009
X个本命达到Y级,1010368,100009
X个本命达到Y级,1010369,100009
X个本命达到Y级,1010370,100009
X个本命达到Y级,1010371,100009
X个本命达到Y级,1010372,100009
X个本命达到Y级,1010373,100009
X个本命达到Y级,1010374,100009
X个本命达到Y级,1010375,100009
X个本命达到Y级,1010376,100009
X个本命达到Y星级,1010377,100010
X个本命达到Y星级,1010378,100010
X个本命达到Y星级,1010379,100010
X个本命达到Y星级,1010380,100010
X个本命达到Y星级,1010381,100010
X个本命达到Y星级,1010382,100010
X个本命达到Y星级,1010383,100010
X个本命达到Y星级,1010384,100010
X个本命达到Y星级,1010385,100010
X个本命达到Y星级,1010386,100010
X个本命达到Y星级,1010387,100010
X个本命达到Y星级,1010388,100010
X个本命达到Y星级,1010389,100010
X个本命达到Y星级,1010390,100010
X个本命达到Y星级,1010391,100010
X个本命达到Y星级,1010392,100010
X个本命达到Y星级,1010393,100010
X个本命达到Y星级,1010394,100010
X个本命达到Y星级,1010395,100010
X个本命达到Y星级,1010396,100010
X个本命达到Y星级,1010397,100010
X个本命达到Y星级,1010398,100010
X个本命达到Y星级,1010399,100010
X个本命达到Y星级,1010400,100010
X个本命达到Y星级,1010401,100010
X个本命达到Y星级,1010402,100010
X个本命达到Y星级,1010403,100010
X个本命达到Y星级,1010404,100010
X个本命达到Y星级,1010405,100010
X个本命达到Y星级,1010406,100010
X个本命达到Y星级,1010407,100010
X个本命达到Y星级,1010408,100010
X个本命达到Y星级,1010409,100010
X个本命达到Y星级,1010410,100010
X个本命达到Y星级,1010411,100010
X个本命达到Y星级,1010412,100010
加入军团,1010413,500
累计军团捐献X次,1010414,501
累计军团捐献X次,1010415,501
累计军团捐献X次,1010416,501
累计军团捐献X次,1010417,501
累计军团捐献X次,1010418,501
累计军团捐献X次,1010419,501
累计军团捐献X次,1010420,501
累计军团捐献X次,1010421,501
累计军团悬赏战斗X次,1010422,502
累计军团悬赏战斗X次,1010423,502
累计军团悬赏战斗X次,1010424,502
累计军团悬赏战斗X次,1010425,502
累计军团悬赏战斗X次,1010426,502
累计军团悬赏战斗X次,1010427,502
累计军团悬赏战斗X次,1010428,502
累计军团悬赏战斗X次,1010429,502
累计军团悬赏战斗X次,1010430,502
在骑士考核内达到X段位,1010436,9003
在骑士考核内达到X段位,1010437,9003
在骑士考核内达到X段位,1010438,9003
在骑士考核内达到X段位,1010439,9003
在骑士考核内达到X段位,1010440,9003
多人副本通关X次,1010441,700
多人副本通关X次,1010442,700
多人副本通关X次,1010443,700
多人副本通关X次,1010444,700
多人副本通关X次,1010445,700
多人副本通关X次,1010446,700
多人副本通关X次,1010447,700
多人副本通关X次,1010448,700
多人副本通关X次,1010449,700
添加X个好友,1010450,100011
添加X个好友,1010451,100011
开启绿色好友宝箱X个,1010452,901
开启绿色好友宝箱X个,1010453,901
开启绿色好友宝箱X个,1010454,901
开启绿色好友宝箱X个,1010455,901
开启绿色好友宝箱X个,1010456,901
开启蓝色好友宝箱X个,1010457,901
开启蓝色好友宝箱X个,1010458,901
开启蓝色好友宝箱X个,1010459,901
开启蓝色好友宝箱X个,1010460,901
开启蓝色好友宝箱X个,1010461,901
开启紫色好友宝箱X个,1010462,901
开启紫色好友宝箱X个,1010463,901
开启紫色好友宝箱X个,1010464,901
开启紫色好友宝箱X个,1010465,901
开启紫色好友宝箱X个,1010466,901
帮助好友X次,1010467,901
帮助好友X次,1010468,901
帮助好友X次,1010469,901
帮助好友X次,1010470,901
帮助好友X次,1010471,901
帮助好友X次,1010472,901
开启青铜宝箱X个,1010473,0
开启青铜宝箱X个,1010474,0
开启青铜宝箱X个,1010475,0
开启青铜宝箱X个,1010476,0
开启青铜宝箱X个,1010477,0
开启青铜宝箱X个,1010478,0
开启白银宝箱X个,1010479,0
开启白银宝箱X个,1010480,0
开启白银宝箱X个,1010481,0
开启白银宝箱X个,1010482,0
开启白银宝箱X个,1010483,0
开启白银宝箱X个,1010484,0
开启黄金宝箱X个,1010485,0
开启黄金宝箱X个,1010486,0
开启黄金宝箱X个,1010487,0
开启黄金宝箱X个,1010488,0
开启黄金宝箱X个,1010489,0
开启黄金宝箱X个,1010490,0
温丽梦境,1010491,9000
温丽梦境,1010492,9000
温丽梦境,1010493,9000
温丽梦境,1010494,9000
温丽梦境,1010495,9000
讨伐领主,1010496,902
讨伐领主,1010497,902
讨伐领主,1010498,902
讨伐领主,1010499,902
讨伐领主,1010500,902
讨伐领主,1010501,902
讨伐领主,1010502,902
讨伐领主,1010503,902
讨伐领主,1010504,902
讨伐领主,1010505,902
讨伐领主,1010506,902
讨伐领主,1010507,902
讨伐领主,1010508,902
讨伐领主,1010509,902
讨伐领主,1010510,902
讨伐领主,1010511,902
讨伐领主,1010512,902
讨伐领主,1010513,902
讨伐领主,1010514,902
战斗称号成就,1010515,0
秘境称号成就,1010516,700
亲密度称号成就,1010517,100007
个人称号成就,1010518,0
个人称号成就,1010519,100004
个人称号成就,1010520,1003
个人称号成就,1010521,0
,2010000,0
,2010001,500
,2010002,100011
,2010003,0
,2010004,902
,2010005,100000
,2010006,0
,2010007,100006
,2010008,700
,2010009,0
,2010010,0
,2010011,901
,2010012,403
,2010013,9000
,2010014,0
,2010015,100002
,2010016,0
,2010017,100004
,2010018,100007
,2010019,0
,2010020,402
,2010021,403
,2010022,901
,2010023,100000
,2010024,0
,2010025,0
,2010026,100004
,2010027,0
,2010029,100002
,2010030,0
,2010031,902
,2010032,9000
,2010033,403
,2010034,100000
,2010035,0
