,required,optional,optional,optional,optional,optional,optional,repeated,optional,optional,optional,repeated,optional,optional,optional,optional,optional,repeated,optional,repeated,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,4044,,404,4,91,2,0,0,0,0,0,,0,0,0,0,0,,0,4044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4051,,405,1,91,105,0,0,0,0,0,,0,0,0,0,0,,0,4051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4052,,405,2,91,105,0,0,0,0,0,,0,0,0,0,0,,0,4052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4053,,405,3,91,105,0,0,0,0,0,,0,0,0,0,0,,0,4053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4054,,405,4,91,105,0,0,0,0,0,,0,0,0,0,0,,0,4054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4061,,406,1,91,106,0,0,0,0,0,,0,0,0,0,0,,0,4061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4062,,406,2,91,106,0,0,0,0,0,,0,0,0,0,0,,0,4062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4063,,406,3,91,106,0,0,0,0,0,,0,0,0,0,0,,0,4063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4064,,406,4,91,106,0,0,0,0,0,,0,0,0,0,0,,0,4064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4071,,407,1,91,107,0,0,0,0,0,,0,0,0,0,0,,0,4071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4072,,407,2,91,107,0,0,0,0,0,,0,0,0,0,0,,0,4072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4073,,407,3,91,107,0,0,0,0,0,,0,0,0,0,0,,0,4073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4074,,407,4,91,107,0,0,0,0,0,,0,0,0,0,0,,0,4074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4081,,408,1,91,108,0,0,0,0,0,,0,0,0,0,0,,0,4081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4082,,408,2,91,108,0,0,0,0,0,,0,0,0,0,0,,0,4082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4083,,408,3,91,108,0,0,0,0,0,,0,0,0,0,0,,0,4083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4084,,408,4,91,108,0,0,0,0,0,,0,0,0,0,0,,0,4084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4091,,409,1,91,3,0,0,0,0,0,,0,0,0,0,0,,0,4091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4092,,409,2,91,3,0,0,0,0,0,,0,0,0,0,0,,0,4092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4093,,409,3,91,3,0,0,0,0,0,,0,0,0,0,0,,0,4093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4094,,409,4,91,3,0,0,0,0,0,,0,0,0,0,0,,0,4094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4101,,410,1,91,110,0,0,0,0,0,,0,0,0,0,0,,0,4101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4102,,410,2,91,110,0,0,0,0,0,,0,0,0,0,0,,0,4102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4103,,410,3,91,110,0,0,0,0,0,,0,0,0,0,0,,0,4103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4104,,410,4,91,110,0,0,0,0,0,,0,0,0,0,0,,0,4104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4111,,411,1,91,111,0,0,0,0,0,,0,0,0,0,0,,0,4111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4112,,411,2,91,111,0,0,0,0,0,,0,0,0,0,0,,0,4112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4113,,411,3,91,111,0,0,0,0,0,,0,0,0,0,0,,0,4113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4114,,411,4,91,111,0,0,0,0,0,,0,0,0,0,0,,0,4114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4121,,412,1,91,4,1,0,0,0,0,,0,0,0,0,0,,0,4121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4122,,412,2,91,4,1,0,0,0,0,,0,0,0,0,0,,0,4122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4123,,412,3,91,4,1,0,0,0,0,,0,0,0,0,0,,0,4123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4124,,412,4,91,4,1,0,0,0,0,,0,0,0,0,0,,0,4124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4311,,431,1,91,6,0,0,0,0,0,,0,0,0,0,0,,0,4311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4312,,431,2,91,6,0,0,0,0,0,,0,0,0,0,0,,0,4312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4313,,431,3,91,6,0,0,0,0,0,,0,0,0,0,0,,0,4313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4314,,431,4,91,6,0,0,0,0,0,,0,0,0,0,0,,0,4314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4321,,432,1,91,202,0,0,0,0,0,,0,0,0,0,0,,0,4321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4322,,432,2,91,202,0,0,0,0,0,,0,0,0,0,0,,0,4322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4323,,432,3,91,202,0,0,0,0,0,,0,0,0,0,0,,0,4323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4324,,432,4,91,202,0,0,0,0,0,,0,0,0,0,0,,0,4324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4331,,433,1,91,203,0,0,0,0,0,,0,0,0,0,0,,0,4331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4332,,433,2,91,203,0,0,0,0,0,,0,0,0,0,0,,0,4332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4333,,433,3,91,203,0,0,0,0,0,,0,0,0,0,0,,0,4333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4334,,433,4,91,203,0,0,0,0,0,,0,0,0,0,0,,0,4334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4341,,434,1,91,204,0,0,0,0,0,,0,0,0,0,0,,0,4341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4342,,434,2,91,204,0,0,0,0,0,,0,0,0,0,0,,0,4342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4343,,434,3,91,204,0,0,0,0,0,,0,0,0,0,0,,0,4343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4344,,434,4,91,204,0,0,0,0,0,,0,0,0,0,0,,0,4344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4351,,435,1,91,5,0,0,0,0,0,,0,0,0,0,0,,0,4351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4352,,435,2,91,5,0,0,0,0,0,,0,0,0,0,0,,0,4352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4353,,435,3,91,5,0,0,0,0,0,,0,0,0,0,0,,0,4353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4354,,435,4,91,5,0,0,0,0,0,,0,0,0,0,0,,0,4354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4361,,436,1,91,206,0,0,0,0,0,,0,0,0,0,0,,0,4361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4362,,436,2,91,206,0,0,0,0,0,,0,0,0,0,0,,0,4362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4363,,436,3,91,206,0,0,0,0,0,,0,0,0,0,0,,0,4363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4364,,436,4,91,206,0,0,0,0,0,,0,0,0,0,0,,0,4364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4371,,437,1,91,207,0,0,0,0,0,,0,0,0,0,0,,0,4371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4372,,437,2,91,207,0,0,0,0,0,,0,0,0,0,0,,0,4372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4373,,437,3,91,207,0,0,0,0,0,,0,0,0,0,0,,0,4373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4374,,437,4,91,207,0,0,0,0,0,,0,0,0,0,0,,0,4374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4381,,438,1,91,208,0,0,0,0,0,,0,0,0,0,0,,0,4381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4382,,438,2,91,208,0,0,0,0,0,,0,0,0,0,0,,0,4382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4383,,438,3,91,208,0,0,0,0,0,,0,0,0,0,0,,0,4383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4384,,438,4,91,208,0,0,0,0,0,,0,0,0,0,0,,0,4384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4391,,439,1,91,209,0,0,0,0,0,,0,0,0,0,0,,0,4391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4392,,439,2,91,209,0,0,0,0,0,,0,0,0,0,0,,0,4392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4393,,439,3,91,209,0,0,0,0,0,,0,0,0,0,0,,0,4393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4394,,439,4,91,209,0,0,0,0,0,,0,0,0,0,0,,0,4394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4401,,440,1,91,210,0,0,0,0,0,,0,0,0,0,0,,0,4401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4402,,440,2,91,210,0,0,0,0,0,,0,0,0,0,0,,0,4402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4403,,440,3,91,210,0,0,0,0,0,,0,0,0,0,0,,0,4403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4404,,440,4,91,210,0,0,0,0,0,,0,0,0,0,0,,0,4404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4411,,441,1,91,211,0,0,0,0,0,,0,0,0,0,0,,0,4411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4412,,441,2,91,211,0,0,0,0,0,,0,0,0,0,0,,0,4412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4413,,441,3,91,211,0,0,0,0,0,,0,0,0,0,0,,0,4413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4414,,441,4,91,211,0,0,0,0,0,,0,0,0,0,0,,0,4414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4421,,442,1,91,212,0,0,0,0,0,,0,0,0,0,0,,0,4421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4422,,442,2,91,212,0,0,0,0,0,,0,0,0,0,0,,0,4422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4423,,442,3,91,212,0,0,0,0,0,,0,0,0,0,0,,0,4423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4424,,442,4,91,212,0,0,0,0,0,,0,0,0,0,0,,0,4424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4431,,443,1,91,213,0,0,0,0,0,,0,0,0,0,0,,0,4431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4432,,443,2,91,213,0,0,0,0,0,,0,0,0,0,0,,0,4432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4433,,443,3,91,213,0,0,0,0,0,,0,0,0,0,0,,0,4433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4434,,443,4,91,213,0,0,0,0,0,,0,0,0,0,0,,0,4434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4441,,444,1,91,214,0,0,0,0,0,,0,0,0,0,0,,0,4441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4442,,444,2,91,214,0,0,0,0,0,,0,0,0,0,0,,0,4442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4443,,444,3,91,214,0,0,0,0,0,,0,0,0,0,0,,0,4443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4444,,444,4,91,214,0,0,0,0,0,,0,0,0,0,0,,0,4444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4451,,445,1,91,215,0,0,0,0,0,,0,0,0,0,0,,0,4451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4452,,445,2,91,215,0,0,0,0,0,,0,0,0,0,0,,0,4452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4453,,445,3,91,215,0,0,0,0,0,,0,0,0,0,0,,0,4453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4454,,445,4,91,215,0,0,0,0,0,,0,0,0,0,0,,0,4454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4611,,461,1,91,4,1,0,0,0,0,,0,0,0,0,0,,0,4611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4612,,461,2,91,4,1,0,0,0,0,,0,0,0,0,0,,0,4612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4613,,461,3,91,4,1,0,0,0,0,,0,0,0,0,0,,0,4613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4614,,461,4,91,4,1,0,0,0,0,,0,0,0,0,0,,0,4614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4621,,462,1,91,3,0,0,0,0,0,,0,0,0,0,0,,0,4621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4622,,462,2,91,3,0,0,0,0,0,,0,0,0,0,0,,0,4622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4623,,462,3,91,3,0,0,0,0,0,,0,0,0,0,0,,0,4623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4624,,462,4,91,3,0,0,0,0,0,,0,0,0,0,0,,0,4624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4631,,463,1,91,6,0,0,0,0,0,,0,0,0,0,0,,0,4631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4632,,463,2,91,6,0,0,0,0,0,,0,0,0,0,0,,0,4632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4633,,463,3,91,6,0,0,0,0,0,,0,0,0,0,0,,0,4633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4634,,463,4,91,6,0,0,0,0,0,,0,0,0,0,0,,0,4634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4641,,464,1,91,304,0,0,0,0,0,,0,0,0,0,0,,0,4641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4642,,464,2,91,304,0,0,0,0,0,,0,0,0,0,0,,0,4642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4643,,464,3,91,304,0,0,0,0,0,,0,0,0,0,0,,0,4643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4644,,464,4,91,304,0,0,0,0,0,,0,0,0,0,0,,0,4644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4651,,465,1,91,5,0,0,0,0,0,,0,0,0,0,0,,0,4651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4652,,465,2,91,5,0,0,0,0,0,,0,0,0,0,0,,0,4652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4653,,465,3,91,5,0,0,0,0,0,,0,0,0,0,0,,0,4653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4654,,465,4,91,5,0,0,0,0,0,,0,0,0,0,0,,0,4654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4661,,466,1,91,306,0,0,0,0,0,,0,0,0,0,0,,0,4661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4662,,466,2,91,306,0,0,0,0,0,,0,0,0,0,0,,0,4662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4663,,466,3,91,306,0,0,0,0,0,,0,0,0,0,0,,0,4663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4664,,466,4,91,306,0,0,0,0,0,,0,0,0,0,0,,0,4664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4671,,467,1,91,1,0,0,0,0,0,,0,0,0,0,0,,0,4671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4672,,467,2,91,1,0,0,0,0,0,,0,0,0,0,0,,0,4672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4673,,467,3,91,1,0,0,0,0,0,,0,0,0,0,0,,0,4673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4674,,467,4,91,1,0,0,0,0,0,,0,0,0,0,0,,0,4674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4681,,468,1,91,2,0,0,0,0,0,,0,0,0,0,0,,0,4681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4682,,468,2,91,2,0,0,0,0,0,,0,0,0,0,0,,0,4682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4683,,468,3,91,2,0,0,0,0,0,,0,0,0,0,0,,0,4683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4684,,468,4,91,2,0,0,0,0,0,,0,0,0,0,0,,0,4684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4691,,469,1,91,307,0,0,0,0,0,,0,0,0,0,0,,0,4691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4692,,469,2,91,307,0,0,0,0,0,,0,0,0,0,0,,0,4692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4693,,469,3,91,307,0,0,0,0,0,,0,0,0,0,0,,0,4693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4694,,469,4,91,307,0,0,0,0,0,,0,0,0,0,0,,0,4694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4701,,470,1,91,308,0,0,0,0,0,,0,0,0,0,0,,0,4701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4702,,470,2,91,308,0,0,0,0,0,,0,0,0,0,0,,0,4702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4703,,470,3,91,308,0,0,0,0,0,,0,0,0,0,0,,0,4703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4704,,470,4,91,308,0,0,0,0,0,,0,0,0,0,0,,0,4704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4711,,471,1,91,309,0,0,0,0,0,,0,0,0,0,0,,0,4711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4712,,471,2,91,309,0,0,0,0,0,,0,0,0,0,0,,0,4712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4713,,471,3,91,309,0,0,0,0,0,,0,0,0,0,0,,0,4713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4714,,471,4,91,309,0,0,0,0,0,,0,0,0,0,0,,0,4714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4721,,472,1,91,310,0,0,0,0,0,,0,0,0,0,0,,0,4721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4722,,472,2,91,310,0,0,0,0,0,,0,0,0,0,0,,0,4722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4723,,472,3,91,310,0,0,0,0,0,,0,0,0,0,0,,0,4723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4724,,472,4,91,310,0,0,0,0,0,,0,0,0,0,0,,0,4724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4731,,473,1,91,311,0,0,0,0,0,,0,0,0,0,0,,0,4731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4732,,473,2,91,311,0,0,0,0,0,,0,0,0,0,0,,0,4732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4733,,473,3,91,311,0,0,0,0,0,,0,0,0,0,0,,0,4733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4734,,473,4,91,311,0,0,0,0,0,,0,0,0,0,0,,0,4734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4741,,474,1,91,312,0,0,0,0,0,,0,0,0,0,0,,0,4741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4742,,474,2,91,312,0,0,0,0,0,,0,0,0,0,0,,0,4742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4743,,474,3,91,312,0,0,0,0,0,,0,0,0,0,0,,0,4743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4744,,474,4,91,312,0,0,0,0,0,,0,0,0,0,0,,0,4744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4751,,475,1,91,313,0,0,0,0,0,,0,0,0,0,0,,0,4751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4752,,475,2,91,313,0,0,0,0,0,,0,0,0,0,0,,0,4752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4753,,475,3,91,313,0,0,0,0,0,,0,0,0,0,0,,0,4753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4754,,475,4,91,313,0,0,0,0,0,,0,0,0,0,0,,0,4754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4761,,476,1,91,314,0,0,0,0,0,,0,0,0,0,0,,0,4761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4762,,476,2,91,314,0,0,0,0,0,,0,0,0,0,0,,0,4762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4763,,476,3,91,314,0,0,0,0,0,,0,0,0,0,0,,0,4763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4764,,476,4,91,314,0,0,0,0,0,,0,0,0,0,0,,0,4764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4771,,477,1,91,315,0,0,0,0,0,,0,0,0,0,0,,0,4771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4772,,477,2,91,315,0,0,0,0,0,,0,0,0,0,0,,0,4772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4773,,477,3,91,315,0,0,0,0,0,,0,0,0,0,0,,0,4773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4774,,477,4,91,315,0,0,0,0,0,,0,0,0,0,0,,0,4774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4781,,478,1,91,316,0,0,0,0,0,,0,0,0,0,0,,0,4781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4782,,478,2,91,316,0,0,0,0,0,,0,0,0,0,0,,0,4782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4783,,478,3,91,316,0,0,0,0,0,,0,0,0,0,0,,0,4783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4784,,478,4,91,316,0,0,0,0,0,,0,0,0,0,0,,0,4784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4791,,479,1,91,317,0,0,0,0,0,,0,0,0,0,0,,0,4791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4792,,479,2,91,317,0,0,0,0,0,,0,0,0,0,0,,0,4792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4793,,479,3,91,317,0,0,0,0,0,,0,0,0,0,0,,0,4793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4801,,480,1,91,318,0,0,0,0,0,,0,0,0,0,0,,0,4801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4802,,480,2,91,318,0,0,0,0,0,,0,0,0,0,0,,0,4802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4803,,480,3,91,318,0,0,0,0,0,,0,0,0,0,0,,0,4803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4811,,481,1,91,319,0,0,0,0,0,,0,0,0,0,0,,0,4811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
