,required,optional,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
安慰由莉,10103,0,1,0,0,0,3,1 2001 20046,1,,2,0,0,0,0,1 1 2001 20046,0,102,0,0,
和大小姐讲道理,10104,0,1,0,0,0,3,1 2001 20046,1,,5,0,0,0,0,1 1 2001 20046,0,101,0,0,
击败温丽,10105,0,1,0,0,0,3,1 2001 20047,1,,2,0,0,0,0,1 1 2001 20047,0,101,0,0,
化解误会,10106,0,1,0,0,0,3,1 2001 10004,1,,5,0,0,0,0,"2 0 2001 8.73,0.05,-17.75",0,101,0,0,
罗兰颂歌,10108,0,1,0,0,0,3,1 2001 30087,1,,2,0,0,0,0,"2 0 2001 -5.91,0.05,-14.87",0,101,0,0,
罗兰颂歌,10109,0,1,0,0,0,3,1 2001 10005,1,,2,0,0,0,0,"2 0 2001 -7.74,0.13,-15.76",0,108,0,0,
,10110,0,1,0,0,0,3,1 2001 30083,1,,5,0,0,0,0,"2 0 2001 1.50,0.05,-11.93",0,101,0,0,
兽潮侵扰,10111,0,1,0,0,0,3,1 2001 10004,1,,2,0,0,0,0,"2 0 2001 8.73,0.05,-17.75",0,101,0,0,
由莉的执念,10112,0,1,0,0,0,3,1 2001 12001002,1,,2,0,0,0,0,"2 0 2001 -30.71,0.05,-10.79",0,105,0,0,
,10113,0,1,0,0,0,1,,1,,5,0,0,0,0,,0,101,0,0,
由莉的执念,10114,0,1,0,0,0,3,1 2001 10004,1,,5,0,0,0,0,"2 0 2001 8.73,0.05,-17.75",0,101,0,0,
雷克兽巢穴,10115,0,1,0,0,0,3,1 2001 20046,1,,5,0,0,0,0,1 1 2001 20046,0,101,0,0,
由莉升天,10116,0,1,0,0,0,3,1 2001 30084,1,,2,0,0,0,0,"2 0 2001 13.88,1.22,-27.59",0,101,0,0,
温丽的预言,10117,0,1,0,0,0,3,1 2001 30574,1,,5,0,0,0,0,"2 0 2001 1.52,0.15,-0.06",0,101,0,0,
目标，罗兰镇,10118,0,1,0,0,0,3,1 2001 10006,1,,2,0,0,0,0,"2 0 2001 -1.61,0.05,-1.41",0,101,0,0,
目标，罗兰镇,10119,0,1,0,0,0,3,1 2001 10004,1,,5,0,0,0,0,"2 0 2001 8.73,0.05,-17.75",0,101,0,0,
目标，罗兰镇,10126,0,1,0,0,0,3,1 2001 30089,1,,2,0,0,0,0,2 1 2001 30089,0,103,0,0,
传说中的罗兰镇,10127,0,1,0,0,0,3,1 2001 30090,1,,5,0,0,0,0,2 1 2001 30090,0,101,0,0,
传说中的罗兰镇,10128,0,1,0,0,0,3,1 2001 20049,1,,5,0,0,0,0,1 1 2001 20049,0,101,0,0,
传说中的罗兰镇,10129,0,1,1,0,0,3,1 2001 60041,1,,5,0,0,0,0,0,0,104,0,0,
传说中的罗兰镇,10130,0,1,1,0,0,3,1 2001 30584,1,,5,0,0,0,0,2 1 2001 30584,0,101,0,0,
传说中的罗兰镇,10131,0,1,0,0,0,1,,1,,2,0,0,0,0,0,0,101,0,0,
名侦探镇长大卫,10132,0,1,0,0,0,3,1 2001 30096,1,,5,0,0,0,0,2 1 2001 30096,0,101,0,0,
名侦探镇长大卫,10133,0,1,0,0,0,1,,1,,5,0,0,0,0,0,0,0,0,0,
名侦探镇长大卫,10134,0,1,0,0,0,3,1 2001 10010,1,,2,0,0,0,0,2 1 2001 10010,0,101,0,0,
赏金猎人出击,10139,0,1,0,0,0,3,1 2001 30580,1,,2,0,0,0,0,1 1 2001 21055,0,103,0,0,
勇闯玫瑰团驻地,10140,0,1,0,0,0,3,1 2001 50001,1,,2,0,0,0,0,2 1 2001 50001,0,105,0,0,
凯旋而归,10141,0,1,0,0,0,3,1 2001 30095,1,,2,0,0,0,0,2 1 2001 30095,0,101,0,0,
失之交臂,10144,0,1,0,0,0,3,1 2001 10010,1,,2,0,0,0,0,2 1 2001 10010,0,101,0,0,
失之交臂,10145,0,1,0,0,0,3,"0 2001 -85.19,2.58,26.72",1,,2,0,0,0,0,"-85.19,2.58,26.72",0,0,0,0,
右相的双重身份,10148,0,1,0,0,0,3,1 1000 20225,1,,2,0,0,0,0,1 1 1000 20225,0,101,0,0,
水晶球里的人,10149,0,1,0,0,0,3,1 1000 30097,1,,2,0,0,0,0,2 1 1000 30097,0,101,0,0,
,10151,0,1,2,0,0,3,1 2001 20132,1,,5,2001,2007,10,0,1 1 2001 20132,0,106,0,0,
,10153,0,1,0,0,0,3,1 2001 30109,1,,2,0,0,0,0,2 1 2001 30109,0,102,0,0,
,10154,0,1,0,0,0,3,1 2001 20057,1,,2,0,0,0,0,1 1 2001 20057,0,101,0,0,
,10155,0,1,0,0,0,3,1 2001 60043,1,,5,0,0,0,0,2 1 2001 60043,0,101,0,0,
,10156,0,1,0,0,0,3,1 2001 10028,1,,5,0,0,0,0,2 1 2001 10028,0,108,0,0,
,10157,0,1,0,0,0,3,1 2001 20059,1,,5,0,0,0,0,1 1 2001 20059,0,101,0,0,
,10158,0,1,0,0,0,3,1 2001 20060,1,,5,0,0,0,0,1 1 2001 20060,0,101,0,0,
,10159,0,1,0,0,0,3,1 2001 20061,1,,2,0,0,0,0,1 1 2001 20061,0,101,0,0,
,10160,0,1,0,0,0,3,1 2001 30115,1,,2,0,0,0,0,1 2 2001 900188,0,102,0,0,
,10161,0,1,0,0,0,3,1 2001 30115,1,,5,0,0,0,0,2 1 2001 30115,0,101,0,0,
,10162,0,1,0,0,0,3,1 2001 20058,1,,5,0,0,0,0,1 1 2001 20058,0,101,0,0,
,10163,0,1,0,0,0,3,1 2001 50002,1,,2,0,0,0,0,2 1 2001 50002,0,105,0,0,
,10164,0,1,0,0,0,3,1 2001 30188,1,,2,0,0,0,0,2 1 2001 30188,0,101,0,0,
,10165,0,1,0,0,0,3,1 2001 10014,1,,2,0,0,0,0,2 1 2001 10014,0,108,0,0,
,10166,0,1,0,0,0,3,1 2001 20058,1,,5,0,0,0,0,1 1 2001 20058,0,101,0,0,
,10167,0,1,0,0,0,3,1 2001 20058,1,,2,0,0,0,0,1 1 2001 20058,0,101,0,0,
,10168,0,1,0,0,0,3,1 2001 20058,1,,5,0,0,0,0,1 1 2001 20058,0,108,0,0,
,10169,0,1,0,0,0,3,1 2001 20058,1,,2,0,0,0,0,1 1 2001 20058,0,101,0,0,
,10170,0,1,2,0,0,3,1 2001 20132,1,,2,2001,2007,10,0,1 1 2001 20132,0,106,0,0,
不见踪影,10173,0,1,0,0,0,3,1 2001 30451,1,,5,0,0,0,0,0,0,101,0,0,
不见踪影,10174,0,1,2,0,0,3,1 2001 30015,1,,5,2001,52009,5,0,"2 0 2001 -91.19,0.9,-185.64",0,106,0,0,
不见踪影,10175,0,1,0,0,0,3,1 2001 20130,1,,2,0,0,0,0,1 1 2001 20130,0,101,0,0,
女人的直觉,10176,0,1,0,0,0,3,1 2001 20081,1,,2,0,0,0,0,1 1 2001 20081,0,102,0,0,
赫丽的踪迹,10177,0,1,0,0,0,3,1 2001 20081,1,,5,0,0,0,0,1 1 2001 20081,0,101,0,0,
赫丽的踪迹,10178,0,1,0,0,0,3,1 2001 30172,1,,5,0,0,0,0,2 1 2001 30172,0,101,0,0,
赫丽的踪迹,10179,0,1,1,0,0,3,1 2001 60049,1,,5,0,0,0,0,1 1 2001 60049,0,101,0,0,
幕后黑手是他！,10180,0,1,0,0,0,3,1 2001 20082,1,,5,0,0,0,0,1 1 2001 20082,0,101,0,0,
幕后黑手是他！,10181,0,1,2,0,0,3,1 2001 30015,1,,2,2001,2017,5,0,"2 0 2001 -91.19,0.9,-185.64",0,106,0,0,
哀嚎神殿,10182,0,1,0,0,0,3,1 2001 50003,1,,2,0,0,0,0,0,0,105,0,0,
你听说过圣界吗？,10184,0,1,0,0,0,3,1 1000 20227,1,,5,0,0,0,0,0,0,101,0,0,
你听说过圣界吗？,10185,0,1,0,0,0,3,1 1000 20228,1,,2,0,0,0,0,1 1 1000 20228,0,101,0,0,
帝国的新生,10187,0,1,0,0,0,3,1 1000 30020,1,,2,0,0,0,0,2 1 1000 30020,0,101,0,0,
等待是一门学问,10188,0,1,0,0,0,3,1 1000 20228,1,,2,0,0,0,0,1 1 1000 20228,0,101,0,0,
你听说过圣界吗？,10190,0,1,0,0,0,3,1 2001 20131,1,,5,0,0,0,0,1 1 2001 20131,0,101,0,0,
请教特罗德,10191,0,1,0,0,0,3,1 1000 20228,1,,5,0,0,0,0,1 1 1000 20228,0,101,0,0,
了解赫丽的担忧,10192,0,1,0,0,0,3,1 1000 20108,1,,2,0,0,0,0,1 1 1000 20108,0,101,0,0,
找到泰雷,10193,0,1,0,0,0,3,1 2002 30161,1,,5,0,0,0,0,1 1 2002 30161,0,101,0,0,
良药难寻,10194,0,1,0,0,0,3,2 2002 900183,1,,2,0,0,0,0,900183,0,0,0,0,
泰雷的回忆,10195,0,1,0,0,0,3,1 2002 20109,1,,2,0,0,0,0,20109,0,0,0,0,
泰雷进行回忆,10196,0,1,0,0,0,3,1 2002 20110,1,,2,0,0,0,0,1 1 2002 20110,0,101,0,0,
泰雷的回忆,10197,0,1,0,0,0,3,1 2002 20110,1,,2,0,0,0,0,20110,0,0,0,0,
特罗德的叮嘱,10198,0,1,0,0,0,3,1 2002 30163,1,,5,0,0,0,0,2 1 2002 30163,0,101,0,0,
击败铠甲幽灵,10199,0,1,0,0,0,3,1 2002 30164,1,,5,0,0,0,0,1 2 2002 900184,0,102,0,0,
往深处去,10200,0,1,0,0,0,3,1 2002 30164,1,,5,0,0,0,0,2 1 2002 30164,0,101,0,0,
击败驭魂法师,10201,0,1,0,0,0,3,1 2002 30165,1,,5,0,0,0,0,1 2 2002 900185,0,102,0,0,
前往大帝重刃的所在,10202,0,1,0,0,0,3,1 2002 30165,1,,5,0,0,0,0,2 1 2002 30165,0,101,0,0,
击败弑魂领主,10203,0,1,0,0,0,3,1 2002 30166,1,,5,0,0,0,0,1 2 2002 900186,0,103,0,0,
破坏封印,10204,0,1,0,0,0,3,1 2002 60063,1,,5,0,0,0,0,0,0,104,0,0,
准备前往魔族之心,10205,0,1,0,0,0,3,1 2002 30168,1,,2,0,0,0,0,2 1 2002 30168,0,101,0,0,
名誉守卫战,10206,0,1,0,0,0,3,1 1000 30171,1,,5,0,0,0,0,2 1 1000 30171,0,101,0,0,
名誉守卫战,10207,0,1,0,0,0,3,1 1000 20117,1,,2,0,0,0,0,1 1 1000 20117,0,102,0,0,
大帝之子,10210,0,1,0,0,0,3,1 1000 20225,1,,2,0,0,0,0,1 1 1000 20225,0,101,0,0,
出发，最强组合,10216,0,1,0,0,0,3,1 1000 30098,1,,2,0,0,0,0,2 1 1000 30098,0,101,0,0,
,10217,0,1,0,0,0,3,1 2001 30023,1,,5,0,0,0,0,2 1 2001 30023,0,101,0,0,
,10218,0,1,0,0,0,3,1 2001 20126,1,,5,0,0,0,0,1 1 2001 20126,0,101,0,0,
击败萨米尔,10221,0,1,0,0,0,3,"0 2002 9.43,3.91,7.96",1,,2,0,0,0,0,"2 0 2002 9.43,3.91,7.96",0,105,0,0,
前往参加神谕会议,10222,0,1,0,0,0,3,1 1000 20108,1,,2,0,0,0,0,1 1 1000 20108,0,101,0,0,
,10223,0,1,0,0,0,3,1 2001 10004,1,,5,0,0,0,0,"2 0 2001 8.73,0.05,-17.75",0,101,0,0,
,10224,0,1,0,0,0,3,1 2001 30088,1,,2,0,0,0,0,"2 0 2001 10.32,0.05,-11.34",0,101,0,0,
,10225,0,1,0,0,0,3,1 2001 30087,1,,5,0,0,0,0,"2 0 2001 -5.91,0.05,-14.87",0,108,0,0,
赫丽的踪迹,10226,0,1,0,0,0,3,1 2001 20417,1,,2,0,0,0,0,1 1 2001 20417,0,101,0,0,
传说中的罗兰镇,10227,0,1,0,0,0,3,1 2001 30089,1,,5,0,0,0,0,2 1 2001 30089,0,101,0,0,
传说中的罗兰镇,10228,0,1,0,0,0,3,1 2001 20049,1,,2,0,0,0,0,1 1 2001 20049,0,101,0,0,
帝国的新生,10229,0,1,0,0,0,1,,1,,2,0,0,0,0,0,0,101,0,0,
,10230,0,1,0,0,0,3,1 2003 30196,1,,5,0,0,0,0,"2 0 2003 -68.55,0.10,-23.21",0,101,0,0,
,10231,0,1,0,0,0,3,1 2003 20156,1,,2,0,0,0,0,1 1 2003 20156,0,102,0,0,
,10232,0,1,0,0,0,3,1 2003 20159,1,,5,0,0,0,0,1 1 2003 20159,0,101,0,0,
,10233,0,1,0,0,0,3,1 2003 20161,1,,5,0,0,0,0,1 1 2003 20161,0,101,0,0,
,10234,0,1,0,0,0,3,1 2003 20163,1,,2,0,0,0,0,1 1 2003 20163,0,101,0,0,
,10236,0,1,0,0,0,3,1 2003 10013,1,,5,0,0,0,0,"2 0 2003 -135.50,0.153,-41.2",0,101,0,0,
,10237,0,1,0,0,0,3,1 2003 10011,1,,5,0,0,0,0,"2 0 2003 -155.44,0.15,-50.08",0,101,0,0,
,10238,0,1,0,0,0,3,1 2003 30198,1,,5,0,0,0,0,1 2 2003 900190,0,102,0,0,
,10239,0,1,1,0,0,3,1 2003 60079,1,,5,0,0,0,0,0,0,104,0,0,
,10240,0,1,1,0,0,3,1 2003 60080,1,,2,0,0,0,0,0,0,104,0,0,
,10241,0,1,0,0,0,3,1 2003 20166,1,,5,0,0,0,0,1 1 2003 20166,0,102,0,0,
,10242,0,1,0,0,0,3,1 2003 30197,1,,5,0,0,0,0,"2 0 2003 -139.537,0.14,-40.143",0,101,0,0,
,10243,0,1,0,0,0,3,1 2003 20166,1,,2,0,0,0,0,1 1 2003 20166,0,101,0,0,
,10244,0,1,0,0,0,3,1 2003 10013,1,,2,0,0,0,0,"2 0 2003 -135.50,0.153,-41.2",0,101,0,0,
,10245,0,1,0,0,0,3,1 2003 20156,1,,2,0,0,0,0,1 1 2003 20156,0,101,0,0,
,10246,0,1,0,0,0,3,1 2003 50013,1,,2,0,0,0,0,"2 0 2003 -88.12,0.11,-79.51",0,105,0,0,
,10247,0,1,0,0,0,1,,1,,5,0,0,0,0,,0,101,0,0,
,10248,0,1,0,0,0,3,1 2003 10013,1,,2,0,0,0,0,"2 0 2003 -135.50,0.153,-41.2",0,101,0,0,
,10249,0,1,0,0,0,3,1 2003 20165,1,,2,0,0,0,0,1 1 2003 20165,0,101,0,0,
,10250,0,1,0,0,0,3,1 2003 10011,1,,5,0,0,0,0,"2 0 2003 -155.44,0.15,-50.08",0,101,0,0,
,10251,0,1,0,0,0,3,1 2003 10011,1,,5,0,0,0,0,"2 0 2003 -155.44,0.15,-50.08",0,101,0,0,
,10253,0,1,0,0,0,3,1 2003 50016,1,,2,0,0,0,0,"2 0 2003 -141.99,0.11,-38.63",0,105,0,0,
,10254,0,1,0,0,0,3,1 2003 30593,1,,2,0,0,0,0,"2 0 2003 -189.13,0.54,-71.87",0,101,0,0,
寻找高地入口,10256,0,1,0,0,0,3,1 2001 30203,1,,5,0,0,0,0,2 1 2001 30203,0,101,0,0,
获得泰雷的讯息,10257,0,1,0,0,0,3,1 2001 60081,1,,5,0,0,0,0,0,0,104,0,0,
获得泰雷的讯息,10258,0,1,0,0,0,3,1 2001 60110,1,,5,0,0,0,0,60110,0,0,0,0,
获得泰雷的讯息,10259,0,1,0,0,0,3,1 2001 60111,1,,5,0,0,0,0,60111,0,0,0,0,
破坏隐藏入口的魔法阵,10260,0,1,0,0,0,3,1 2001 30319,1,,5,0,0,0,0,2 1 2001 30319,0,101,0,0,
击退怒蝎统领强森,10261,0,1,0,0,0,3,1 2001 30319,1,,2,0,0,0,0,2 1 2001 30319,0,103,0,0,
,10262,0,1,0,0,0,3,2 2001 900193,1,,2,0,0,0,0,900193,0,0,0,0,
开启高地入口,10263,0,1,0,0,0,3,1 2001 30319,1,,5,0,0,0,0,2 1 2001 30319,0,101,0,0,
,10266,0,1,0,0,0,3,1 2001 30085,1,,5,0,0,0,0,"2 0 2001 10.44,0.13,-14.44",0,101,0,0,
,10267,0,1,0,0,0,1,,1,,5,0,0,0,0,0,0,101,0,0,
,10270,0,1,0,0,0,3,1 1000 21037,1,,2,0,0,0,0,1 1 1000 21037,0,101,0,0,
前往三月边陲,10271,0,1,0,0,0,3,1 2003 30213,1,,5,0,0,0,0,2 1 2003 30213,0,101,0,0,
救下冒险者,10272,0,1,0,0,0,3,1 2003 20181,1,,5,0,0,0,0,1 1 2003 20181,0,101,0,0,
护送冒险者回营地,10273,0,1,2,0,0,3,1 2003 30214,1,,2,2003,2005,0,0,2 1 2003 30214,0,106,0,0,
打听消息,10274,0,1,0,0,0,3,1 2003 10029,1,,5,0,0,0,0,2 1 2003 10029,0,101,0,0,
继续打听消息,10275,0,1,0,0,0,3,1 2003 10030,1,,5,0,0,0,0,2 1 2003 10030,0,101,0,0,
击败戈壁火狐,10276,0,1,0,0,0,3,2 2003 900194,1,,5,0,0,0,0,1 2 2003 900194,0,102,0,0,
把芜拉草给布雷登,10278,0,1,0,0,0,3,1 2003 10030,1,,2,0,0,0,0,2 1 2003 10030,0,101,0,0,
找首领了解情况,10279,0,1,0,0,0,3,1 2003 10031,1,,5,0,0,0,0,2 1 2003 10031,0,101,0,0,
找到女巫古堡,10280,0,1,0,0,0,3,1 2003 30216,1,,2,0,0,0,0,2 1 2003 30216,0,101,0,0,
和小女巫周旋,10281,0,1,0,0,0,3,1 2003 20202,1,,2,0,0,0,0,1 1 2003 20202,0,101,0,0,
通关女巫古堡,10282,0,1,0,0,0,3,"0 2003 -39.52,-0.01,-14.44",1,,2,0,0,0,0,"2 0 2003 -39.52,-0.01,-14.44",0,105,0,0,
找首领埃尼奥谈判,10284,0,1,0,0,0,3,1 2003 10031,1,,2,0,0,0,0,2 1 2003 10031,0,102,0,0,
找首领埃尼奥谈判,10285,0,1,0,0,0,3,1 2003 10031,1,,5,0,0,0,0,2 1 2003 10031,0,101,0,0,
击败假费米,10286,0,1,0,0,0,3,1 2003 20432,1,,2,0,0,0,0,1 1 2003 20432,0,102,0,0,
了解假费米的身份,10287,0,1,0,0,0,3,1 2003 30218,1,,5,0,0,0,0,2 1 2003 30218,0,101,0,0,
回到营地休息,10288,0,1,0,0,0,3,1 2003 30318,1,,2,0,0,0,0,2 1 2003 30318,0,101,0,0,
等待魔能结晶充能2:00:00,10289,0,1,0,0,0,1,0,1,,2,0,0,0,0,0,0,101,0,0,
温丽的梦,10290,0,1,0,0,0,1,,1,,5,0,0,0,0,0,0,101,0,0,
乘坐飞艇,10291,0,1,0,0,0,3,1 2003 30312,1,,2,0,0,0,0,2 1 2003 30312,0,101,0,0,
,10293,0,1,0,0,0,3,1 2003 30273,1,,5,0,0,0,0,2 1 2003 30273,0,101,0,0,
,10294,0,1,0,0,0,3,1 2003 30274,1,,2,0,0,0,0,2 1 2003 30274,0,102,0,0,
,10295,0,1,0,0,0,3,1 2003 20205,1,,5,0,0,0,0,1 1 2003 20205,0,101,0,0,
,10296,0,1,2,0,0,3,1 2003 20206,1,,2,2003,108,0,0,1 1 2003 20206,0,106,0,0,
,10297,0,1,1,0,0,3,1 2003 60089,1,,5,0,0,0,0,0,0,104,0,0,
,10298,0,1,0,0,0,3,1 2003 30275,1,,5,0,0,0,0,1 2 2003 900200,0,102,0,0,
,10299,0,1,0,0,0,3,1 2003 20206,1,,2,0,0,0,0,1 1 2003 20206,0,101,0,0,
,10300,0,1,0,0,0,3,1 2003 20207,1,,5,0,0,0,0,1 1 2003 20207,0,101,0,0,
,10301,0,1,0,0,0,3,1 2003 30276,1,,2,0,0,0,0,1 2 2003 900201,0,102,0,0,
,10302,0,1,0,0,0,3,1 2003 20208,1,,5,0,0,0,0,1 1 2003 20208,0,101,0,0,
,10303,0,1,2,0,0,3,1 2003 30277,1,,5,2003,3166,0,0,2 1 2003 30277,0,106,0,0,
,10307,0,1,0,0,0,3,1 2003 30277,1,,5,0,0,0,0,2 1 2003 30277,0,101,0,0,
,10308,0,1,0,0,0,3,1 2003 30278,1,,5,0,0,0,0,0,0,101,0,0,
,10310,0,1,0,0,0,3,1 2003 30279,1,,5,0,0,0,0,0,0,102,0,0,
,10311,0,1,0,0,0,3,1 2003 20208,1,,2,0,0,0,0,1 1 2003 20208,0,101,0,0,
,10312,0,1,0,0,0,3,1 2003 50027,1,,2,0,0,0,0,2 1 2003 50027,0,105,0,0,
,10313,0,1,0,0,0,3,1 2003 20208,1,,5,0,0,0,0,1 1 2003 20208,0,101,0,0,
,10314,0,1,0,0,0,3,1 2003 30280,1,,2,0,0,0,0,1 2 2003 900203,0,102,0,0,
,10315,0,1,0,0,0,3,1 2003 20208,1,,2,0,0,0,0,1 1 2003 20208,0,101,0,0,
,10317,0,1,0,0,0,3,1 2003 20206,1,,2,0,0,0,0,1 1 2003 20206,0,101,0,0,
,10318,0,1,0,0,0,3,1 2003 20209,1,,5,0,0,0,0,1 1 2003 20209,0,101,0,0,
,10319,0,1,1,0,0,3,1 2003 60090,1,,2,0,0,0,0,0,0,104,0,0,
,10320,0,1,0,0,0,3,1 2003 20209,1,,5,0,0,0,0,1 1 2003 20209,0,101,0,0,
,10321,0,1,0,0,0,3,2 2003 900204,1,,5,0,0,0,0,1 2 2003 900204,0,102,0,0,
,10322,0,1,0,0,0,1,,1,,2,0,0,0,0,0,0,101,0,0,
,10323,0,1,0,0,0,3,1 2003 30223,1,,5,0,0,0,0,2 1 2003 30223,0,101,0,0,
,10325,0,1,0,0,0,3,1 2003 20191,1,,5,0,0,0,0,1 1 2003 20191,0,101,0,0,
,10326,0,1,2,0,0,3,"0 2003 -199.28,0.11,-123.23",1,,2,0,2043,0,0,0,0,0,0,0,
,10327,0,1,0,0,0,3,1 2003 20192,1,,5,0,0,0,0,1 1 2003 20192,0,101,0,0,
,10328,0,1,0,0,0,3,1 2003 30230,1,,2,0,0,0,0,1 2 2003 300097,0,102,0,0,
,10329,0,1,0,0,0,3,1 2003 30230,1,,5,0,0,0,0,2 1 2003 30230,0,101,0,0,
,10330,0,1,2,0,0,3,"0 2003 -235.79,0.11,-108.34",1,,2,0,3152,0,0,0,0,0,0,0,
,10331,0,1,0,0,0,3,1 2003 20197,1,,2,0,0,0,0,1 1 2003 20197,0,102,0,0,
,10332,0,1,0,0,0,1,,1,,5,0,0,0,0,0,0,101,0,0,
,10333,0,1,0,0,0,3,1 2003 20198,1,,5,0,0,0,0,1 1 2003 20198,0,101,0,0,
,10334,0,1,0,0,0,3,"0 2003 -238.41,0.11,-136.72",1,,2,0,0,0,0,0,0,0,0,0,
,10335,0,1,0,0,0,3,"0 2003 -238.41,0.11,-136.72",1,,2,0,0,0,0,0,0,0,0,0,
,10336,0,1,0,0,0,3,"0 2003 -182.82,0.11,-161.71",1,,2,0,0,0,0,0,0,0,0,0,
,10337,0,1,0,0,0,3,1 2003 20199,1,,2,0,0,0,0,1 1 2003 20199,0,102,0,0,
,10338,0,1,0,0,0,3,1 2003 30226,1,,5,0,0,0,0,2 1 2003 30226,0,101,0,0,
,10339,0,1,0,0,0,3,1 2003 30235,1,,2,0,0,0,0,2 1 2003 30235,0,102,0,0,
,10340,0,1,0,0,0,3,1 2003 50012,1,,2,0,0,0,0,2 1 2003 50012,0,105,0,0,
,10341,0,1,0,0,0,1,,1,,5,0,0,0,0,0,0,101,0,0,
,10342,0,1,2,0,0,3,1 2003 30228,1,,2,0,106,0,0,2 1 2003 30228,0,106,0,0,
,10343,0,1,0,0,0,3,1 2003 30240,1,,2,0,0,0,0,2 1 2003 30240,0,101,0,0,
,10344,0,1,0,0,0,3,1 2003 30239,1,,5,0,0,0,0,2 1 2003 30239,0,101,0,0,
,10345,0,1,1,0,0,3,1 2003 60087,1,,5,0,0,0,0,0,0,104,0,0,
,10346,0,1,0,0,0,3,1 2003 30240,1,,5,0,0,0,0,1 2 2003 300100,0,102,0,0,
,10347,0,1,0,0,0,3,1 2003 20192,1,,2,0,0,0,0,1 1 2003 20192,0,101,0,0,
卡等级,10348,0,1,0,0,0,1,,1,,2,0,0,0,0,0,0,101,0,0,
,10349,0,1,0,0,0,3,1 2003 20194,1,,5,0,0,0,0,1 1 2003 20194,0,101,0,0,
,10350,0,1,0,0,0,3,1 2003 20198,1,,2,0,0,0,0,1 1 2003 20198,0,101,0,0,
,10351,0,1,0,0,0,3,1 2003 30224,1,,2,0,0,0,0,0,0,102,0,0,
,10367,0,1,0,0,0,3,1 2003 20209,1,,2,0,0,0,0,1 1 2003 20209,0,101,0,0,
,10368,0,1,0,0,0,3,1 2003 20209,1,,2,0,0,0,0,1 1 2003 20209,0,101,0,0,
,10369,0,1,0,0,0,3,1 2003 30401,1,,5,0,0,0,0,,0,101,0,0,
,10370,0,1,0,0,0,3,1 2003 20294,1,,5,0,0,0,0,1 1 2003 20294,0,101,0,0,
,10372,0,1,0,0,0,3,1 2003 30293,1,,2,0,0,0,0,1 2 2003 900230,0,102,0,0,
,10373,0,1,0,0,0,3,1 2003 20295,1,,5,0,0,0,0,1 1 2003 20295,0,101,0,0,
,10374,0,1,0,0,0,3,1 2003 30294,1,,5,0,0,0,0,2 1 2003 30294,0,101,0,0,
,10375,0,1,0,0,0,3,1 2003 30295,1,,2,0,0,0,0,1 2 2003 900231,0,102,0,0,
