,required,required,required,required,required,required
NPC图鉴-贝希摩斯1号,51,20,3440,10492,1,46
NPC图鉴-康奎斯特,52,20,3508,10490,1,47
NPC图鉴-希波,53,20,3441,10492,1,48
NPC图鉴-玛露茜,54,20,3399,10492,1,49
NPC图鉴-布鲁诺,55,20,3343,10442,1,50
NPC图鉴-斥候皮曼,56,20,3344,10444,1,51
NPC图鉴-亚兹莫,57,20,3660,10496,1,52
NPC图鉴-蕾茵,58,20,3436,10521,1,53
NPC图鉴-扬博士,59,20,3432,10525,1,54
NPC图鉴-长老罗希,60,20,3433,10510,1,55
NPC图鉴-首领拜恩,61,20,3531,10576,1,56
NPC图鉴-安德烈博士,62,20,3676,10639,1,57
NPC图鉴-浮士德72,63,20,3638,10679,1,58
本命图鉴-白翼希古纳斯,64,40,4083,0,1,1
本命图鉴-灾亡龙巴哈姆特,65,40,4012,0,1,2
本命图鉴-暗黑龙斐基德拉,66,40,401164,0,1,3
本命图鉴-幻梦兔斑尼,67,40,113164,0,1,4
本命图鉴-傲狮利奥,68,40,4032,0,1,5
本命图鉴-重甲列奥尼达,69,40,4072,0,1,6
本命图鉴-虫姬拉克涅,70,40,4214,0,1,7
本命图鉴-炽天巨像基路伯,71,40,4013,0,1,8
本命图鉴-守护灵罗慕,72,40,4033,0,1,9
本命图鉴-哀雨奥西妮,73,40,4154,0,1,10
本命图鉴-驭风者西尔芙,74,40,105164,0,1,11
本命图鉴-双子杰米尼,75,40,4014,0,1,12
本命图鉴-战神奥兹,76,40,101164,0,1,13
本命图鉴-凛焰·赫斐斯托,77,40,4034,0,1,14
本命图鉴-轰雷托娜,78,40,4084,0,1,15
本命图鉴-裂风者曼塔奇,79,40,4053,0,1,16
本命图鉴-圣迹之瑟涅雅,80,40,201164,0,1,17
本命图鉴-强御之席恩,81,40,301164,0,1,18
本命图鉴-暗渊者沃娜,82,40,106164,0,1,19
本命图鉴-屠魔者哈蕾尔,83,40,114164,0,1,20
本命图鉴-辉刃的安德娜,84,40,4113,0,1,21
本命图鉴-柯贝鲁斯,85,40,4093,0,1,22
本命图鉴-辉夜之月·胧梦,86,40,4054,0,1,23
本命图鉴-潮汐之特缇丝,87,40,4114,0,1,24
本命图鉴-誓约之乌诺莉娅,88,40,4094,0,1,25
本命图鉴-终焉之斯蒂芙洛,89,40,4104,0,1,26
本命图鉴-创世之科洛斯,90,40,4134,0,1,27
本命图鉴-幻蝶泰拉,91,40,4042,0,1,28
本命图鉴-狮鹫格里菲,92,40,4062,0,1,29
本命图鉴-风暴龙皮扎兰姆,93,40,4102,0,1,30
本命图鉴-阿噗米修,94,40,4122,0,1,31
本命图鉴-圣角尤尼科,95,40,4133,0,1,32
本命图鉴-血祖亚门,96,40,4194,0,1,33
本命图鉴-稻荷玉藻,97,40,4073,0,1,34
本命图鉴-暗裔亚卡莎,98,40,107164,0,1,35
本命图鉴-覆面的迪拉罕,99,40,4184,0,1,36
本命图鉴-萤月狄瓦娜,100,40,4123,0,1,37
本命图鉴-荆冠奥利安瑞,101,40,302164,0,1,38
本命图鉴-贝希摩斯,102,40,4023,0,1,39
本命图鉴-九头蛇凯迪勒,103,40,4103,0,1,40
本命图鉴-星灵阿斯莉雅,104,40,4204,0,1,41
本命图鉴-腐骨弥兹雅,105,40,4234,0,1,42
本命图鉴-神目姬伊邪,106,40,4174,0,1,43
本命图鉴-晨晖的奥罗拉,107,40,4064,0,1,44
本命图鉴-堕牙乌波洛斯,108,40,4044,0,1,45
本命图鉴-烬灭者戈迪亚 ,109,40,4144,0,1,46
本命图鉴-苍穹莱德尔 ,110,40,112164,0,1,47
本命图鉴-肃正王巴托斯,111,40,111164,0,1,48
本命图鉴-迷宫君主米诺陶,112,40,4143,0,1,49
本命图鉴-雪浪的莉特,113,40,4153,0,1,50
本命图鉴-狩林者艾妮丝,114,40,4052,0,1,51
本命图鉴-森羚莎缇雅,115,40,108164,0,1,52
本命图鉴-喵灵贝斯忒,116,40,4022,0,1,53
本命图鉴-巨树约顿海姆,117,40,4082,0,1,54
本命图鉴-暴雪苏里尔,118,40,4092,0,1,55
本命图鉴-梦魇维列斯,119,40,4124,0,1,56
本命图鉴-丰饶之灵·库尔坎,120,40,4043,0,1,57
本命图鉴-罪罚的绮莉莎,121,40,4063,0,1,58
本命图鉴-静谧的维达尔,122,40,104164,0,1,59
本命图鉴-匿影的菲林斯,123,40,103164,0,1,60
本命图鉴-神辉泰恩,124,40,102164,0,1,61
本命图鉴-镜月·柯莱迪娅,125,40,4024,0,1,62
本命图鉴-巨鲸伊维亚,126,40,4112,0,1,63
本命图鉴-圣盾加兰德,127,40,4074,0,2,1
本命图鉴-邪厄·盖西拉赫,128,40,4164,0,2,2
符文图鉴-初级狂暴,129,30,5001,0,1,1
符文图鉴-初级神力,130,30,5002,0,1,2
符文图鉴-初级魔能,131,30,5003,0,1,3
符文图鉴-生命护盾,132,30,5004,0,1,4
符文图鉴-初级护盾,133,30,5005,0,1,5
符文图鉴-初级生命流转,134,30,5006,0,1,6
符文图鉴-魔能增幅,135,30,5010,0,1,7
符文图鉴-神力增幅,136,30,5011,0,1,8
符文图鉴-强袭,137,30,5012,0,1,9
符文图鉴-中级狂暴,138,30,5021,0,1,10
符文图鉴-中级神力,139,30,5022,0,1,11
符文图鉴-中级魔能,140,30,5023,0,1,12
符文图鉴-初级狂怒,141,30,5024,0,1,13
符文图鉴-沉着暴怒,142,30,5025,0,1,14
符文图鉴-奥义流转,143,30,5026,0,1,15
符文图鉴-复兴护盾,144,30,5027,0,1,16
符文图鉴-撕裂,145,30,5028,0,1,17
符文图鉴-增幅重击,146,30,5029,0,1,18
符文图鉴-牧野猎手,147,30,5030,0,1,19
符文图鉴-都林猎手,148,30,5031,0,1,20
符文图鉴-魔灵猎手,149,30,5032,0,1,21
符文图鉴-创伤,150,30,5033,0,1,22
符文图鉴-炽炎,151,30,5034,0,1,23
符文图鉴-碎甲,152,30,5035,0,1,24
符文图鉴-高昂,153,30,5036,0,1,25
符文图鉴-高级狂暴,154,30,5041,0,1,26
符文图鉴-高级神力,155,30,5042,0,1,27
符文图鉴-高级魔能,156,30,5043,0,1,28
符文图鉴-高级狂怒,157,30,5044,0,1,29
符文图鉴-高级生命流转,158,30,5045,0,1,30
符文图鉴-高级护盾,159,30,5046,0,1,31
符文图鉴-高级绝境锋刃,160,30,5047,0,1,32
符文图鉴-猛攻护盾,161,30,5048,0,1,33
符文图鉴-爆发打击,162,30,5049,0,1,34
符文图鉴-穿透打击,163,30,5050,0,1,35
符文图鉴-高级沉着暴怒,164,30,5051,0,1,36
符文图鉴-以攻为守,165,30,5052,0,1,37
符文图鉴-绝境爆发,166,30,5053,0,1,38
符文图鉴-判决,167,30,5054,0,1,39
符文图鉴-高级创伤,168,30,5055,0,1,40
符文图鉴-高级炽炎,169,30,5056,0,1,41
符文图鉴-复生,170,30,5057,0,1,42
符文图鉴-逆时,171,30,5058,0,1,43
符文图鉴-禁锢,172,30,5059,0,1,44
符文图鉴-坚盾,173,30,5060,0,1,45
剧情图鉴-湖畔镇,174,10,200101,10119,1,1
剧情图鉴-罗兰镇,175,10,200102,10144,1,2
剧情图鉴-风车镇,176,10,200103,10167,1,3
剧情图鉴-阿克莱斯,177,10,200104,10092,1,4
剧情图鉴-哀嚎神殿,178,10,200105,10190,1,5
剧情图鉴-冒险者营地,179,10,200301,10291,1,6
剧情图鉴-三月边陲,180,10,200302,10254,1,7
剧情图鉴-月神森林,181,10,200303,10350,1,8
剧情图鉴-永夜森林,182,10,200304,10367,1,9
剧情图鉴-迷雾森林,183,10,200305,10437,1,10
剧情图鉴-不冬岛,184,10,200501,10508,1,11
剧情图鉴-天空城,185,10,200502,10673,1,12
剧情图鉴-鲸脊岛,186,10,200503,10535,1,13
剧情图鉴-阿诺特岛,187,10,200504,10596,1,14
剧情图鉴-口袋岛,188,10,200505,10658,1,15
