,required,required,required,required,required,required,required,required,required,required,required,required,required,required
材料副本（普通）,3068,材料副本,52000,Textures/Atlas/Dyn/InstanceLogo/SilverMothermine.png,1,0,0,0,0,0,0,0,0,0
,3069,【解谜】玛露茜的家,0,Textures/Atlas/Dyn/InstanceLogo/AreaBG.png,1,0,0,0,0,0,0,0,0,0
,3073,深海实验室,22000,Textures/Atlas/Dyn/InstanceLogo/yanjiusuo.png,1,0,0,0,0,0,1,2110102,2110202,0
,3074,森之幻界,25000,Textures/Atlas/Dyn/InstanceLogo/ForestCopyBG02.png,5,1,3,1000537,0,0,2011032,2011043,2000054,3
,3075,夜幕古堡大厅,0,Textures/Atlas/Dyn/InstanceLogo/Leftphase.png,1,0,0,0,0,0,0,0,0,0
夜幕古堡楼梯,3076,限时副本,0,Textures/Atlas/Dyn/InstanceLogo/Layercopy.png,1,0,0,0,0,0,0,0,0,0
,3078,夜幕古堡走廊,0,Textures/Atlas/Dyn/InstanceLogo/Leftphase.png,1,0,0,0,0,0,0,0,0,0
,3079,夜幕古堡密室,0,Textures/Atlas/Dyn/InstanceLogo/Leftphase.png,1,0,0,0,0,0,0,0,0,0
,3080,夜幕古堡城堡前,0,Textures/Atlas/Dyn/InstanceLogo/Leftphase.png,1,0,0,0,0,0,0,0,0,0
,3081,夜幕古堡前厅,0,Textures/Atlas/Dyn/InstanceLogo/Leftphase.png,1,0,0,0,0,0,0,0,0,0
,3082,夜幕古堡书房,0,Textures/Atlas/Dyn/InstanceLogo/Leftphase.png,1,0,0,0,0,0,0,0,0,0
,3083,夜幕古堡幻阵,0,Textures/Atlas/Dyn/InstanceLogo/Leftphase.png,1,0,0,0,0,0,0,0,0,0
(剧情),3084,诡异的左相府,5000,Textures/Atlas/Dyn/InstanceLogo/Leftphase.png,1,0,0,0,0,0,1,2041032,6003003,0
,3086,黑龙战舰,25000,Textures/Atlas/Dyn/InstanceLogo/yanjiusuo.png,1,0,0,0,0,0,1,2110103,2110203,0
(剧情),3087,失事飞船,17000,Textures/Atlas/Dyn/InstanceLogo/yanjiusuo.png,1,0,0,0,0,0,1,2110202,2110302,0
,3085,黄金立方,24000,Textures/Atlas/Dyn/InstanceLogo/huangjinlifang.png,1,0,0,0,0,0,1,2110203,2110303,0
(普通),3140,枭鹰矿洞,110000,Textures/Atlas/Dyn/InstanceLogo/SilverMothermine.png,1,0,0,0,0,0,0,0,0,0
(普通),3141,黑龙战舰,0,Textures/Atlas/Dyn/InstanceLogo/yanjiusuo.png,1,0,0,0,0,0,0,0,0,0
(普通),3142,枭鹰邦域,120000,Textures/Atlas/Dyn/InstanceLogo/Treeheartcity.png,1,0,0,0,0,0,0,0,0,0
(普通),3143,失事飞船,0,Textures/Atlas/Dyn/InstanceLogo/yanjiusuo.png,1,0,0,0,0,0,0,0,0,0
,3144,深海实验室,140000,Textures/Atlas/Dyn/InstanceLogo/yanjiusuo.png,1,0,0,0,0,0,0,0,0,0
(普通),3145,黄金立方,0,Textures/Atlas/Dyn/InstanceLogo/huangjinlifang.png,1,0,0,0,0,0,1,3,0,0
,3146,神迹实验室,40000,Textures/Atlas/Dyn/InstanceLogo/Laboratory.png,1,0,0,0,0,0,0,0,0,0
,3149,欧斯秘境,10800,Textures/Atlas/Dyn/InstanceLogo/yanjiusuo.png,1,0,0,0,0,0,0,0,0,0
,3158,战舰模拟战,28000,Textures/Atlas/Dyn/InstanceLogo/ForestCopyBG01.png,5,1,3,1001675,1001679,1001680,2011043,2021043,2000054,4
,3159,魔界裂缝,0,Textures/Atlas/Dyn/InstanceLogo/heartmagicrace.png,1,0,0,0,0,0,0,0,0,0
