,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,410042,联盟委托B级宝箱,3,0,0,0,9999,10,1000,0,0,0,0
,410043,联盟委托A级宝箱,3,0,0,0,9999,10,1000,0,0,0,0
,410044,联盟委托S级宝箱,3,0,0,0,9999,10,10000,0,0,0,0
答题小礼包,410052,答题小礼包,3,0,,,9999,10,10000,0,0,0,0
答题大礼包,410053,答题大礼包,3,0,,,9999,10,1000,0,0,0,0
,420013,星辉符文匣,3,0,,,9999,10,0,0,0,0,0
,420014,荣耀符文匣,3,0,,,9999,10,0,0,0,0,0
,421012,荧光本命匣,3,0,,,9999,10,0,0,0,0,0
,421013,流光本命匣,3,0,,,9999,10,0,0,0,0,0
,421014,极光本命匣,3,0,,,9999,10,0,0,0,0,0
,421024,本命之绊匣,3,0,,,9999,10,0,0,0,0,0
,421034,绯羽本命绊匣,3,0,,,9999,10,0,0,0,0,0
,430004,英雄进阶礼箱,3,0,,,9999,10,0,0,0,0,0
,431074,血芒礼箱,3,0,,,9999,10,0,0,0,0,0
,434014,暗龙礼箱,3,0,,,9999,10,0,0,0,0,0
,450013,限量镶金礼箱,3,0,,,9999,10,0,0,0,0,0
,450023,英雄经验礼箱,3,0,,,9999,10,0,0,0,0,0
,450033,本命经验礼箱,3,0,,,9999,10,0,0,0,0,0
,500014,悬赏礼箱,3,0,,,9999,10,0,0,0,0,0
,510014,神秘的武器箱,3,0,,,9999,10,0,0,0,0,0
,610012,R本命碎片,10,0,,,9999,64,100,0,0,0,0
,610013,SR本命碎片,10,0,,,9999,64,200,0,0,0,0
,610014,SSR本命碎片,10,0,,,9999,64,300,0,0,0,0
,610022,蓝色符文碎片,10,0,,,9999,64,100,0,0,0,0
,610023,紫色符文碎片,10,0,,,9999,64,200,0,0,0,0
,610024,橙色符文碎片,10,0,,,9999,64,300,0,0,0,0
,2000054,钰石,2,0,,,9999,2,1000,0,0,0,0
,2000064,粗钰石,2,0,,,9999,2,1000,0,0,0,0
,2000074,精态钰石,2,0,,,9999,2,1000,0,0,0,0
,2011021,奥兹·壹制兵刃,2,0,,,9999,34,100,0,0,0,0
,2011032,奥兹·贰制兵刃,2,0,,,9999,34,100,0,0,0,0
,2011043,奥兹·叁制兵刃,2,0,,,9999,34,100,0,0,0,0
,2011054,奥兹·肆制兵刃,2,0,,,9999,34,100,0,0,0,0
,2011064,奥兹·伍制兵刃,2,0,,,9999,34,100,0,0,0,0
,2011074,奥兹·陆制兵刃,2,0,,,9999,2,100,0,0,0,0
,2012021,奥兹·壹制上衣,2,0,,,9999,34,100,0,0,0,0
,2012032,奥兹·贰制上衣,2,0,,,9999,34,100,0,0,0,0
,2012043,奥兹·叁制上衣,2,0,,,9999,34,100,0,0,0,0
,2012054,奥兹·肆制上衣,2,0,,,9999,34,100,0,0,0,0
,2012064,奥兹·伍制上衣,2,0,,,9999,34,100,0,0,0,0
,2012074,奥兹·陆制上衣,2,0,,,9999,2,100,0,0,0,0
,2013021,奥兹·壹制下装,2,0,,,9999,34,100,0,0,0,0
,2013032,奥兹·贰制下装,2,0,,,9999,34,100,0,0,0,0
,2013043,奥兹·叁制下装,2,0,,,9999,34,100,0,0,0,0
,2013054,奥兹·肆制下装,2,0,,,9999,34,100,0,0,0,0
,2013064,奥兹·伍制下装,2,0,,,9999,34,100,0,0,0,0
,2013074,奥兹·陆制下装,2,0,,,9999,2,100,0,0,0,0
,2014021,奥兹·壹制足靴,2,0,,,9999,34,100,0,0,0,0
,2014032,奥兹·贰制足靴,2,0,,,9999,34,100,0,0,0,0
,2014043,奥兹·叁制足靴,2,0,,,9999,34,100,0,0,0,0
,2014054,奥兹·肆制足靴,2,0,,,9999,34,100,0,0,0,0
,2014064,奥兹·伍制足靴,2,0,,,9999,34,100,0,0,0,0
,2014074,奥兹·陆制足靴,2,0,,,9999,2,100,0,0,0,0
,2021021,学院·壹制兵刃,2,0,,,9999,34,100,0,0,0,0
,2021032,学院·贰制兵刃,2,0,,,9999,34,100,0,0,0,0
,2021043,学院·叁制兵刃,2,0,,,9999,34,100,0,0,0,0
,2021054,学院·肆制兵刃,2,0,,,9999,34,100,0,0,0,0
,2021064,学院·伍制兵刃,2,0,,,9999,34,100,0,0,0,0
,2021074,学院·陆制兵刃,2,0,,,9999,2,100,0,0,0,0
,2022021,学院·壹制上衣,2,0,,,9999,34,100,0,0,0,0
,2022032,学院·贰制上衣,2,0,,,9999,34,100,0,0,0,0
,2022043,学院·叁制上衣,2,0,,,9999,34,100,0,0,0,0
,2022054,学院·肆制上衣,2,0,,,9999,34,100,0,0,0,0
,2022064,学院·伍制上衣,2,0,,,9999,34,100,0,0,0,0
,2022074,学院·陆制上衣,2,0,,,9999,2,100,0,0,0,0
,2023021,学院·壹制下装,2,0,,,9999,34,100,0,0,0,0
,2023032,学院·贰制下装,2,0,,,9999,34,100,0,0,0,0
,2023043,学院·叁制下装,2,0,,,9999,34,100,0,0,0,0
,2023054,学院·肆制下装,2,0,,,9999,34,100,0,0,0,0
,2023064,学院·伍制下装,2,0,,,9999,34,100,0,0,0,0
,2023074,学院·陆制下装,2,0,,,9999,2,100,0,0,0,0
,2024021,学院·壹制足靴,2,0,,,9999,34,100,0,0,0,0
,2024032,学院·贰制足靴,2,0,,,9999,34,100,0,0,0,0
,2024043,学院·叁制足靴,2,0,,,9999,34,100,0,0,0,0
,2024054,学院·肆制足靴,2,0,,,9999,34,100,0,0,0,0
,2024064,学院·伍制足靴,2,0,,,9999,34,100,0,0,0,0
,2024074,学院·陆制足靴,2,0,,,9999,2,100,0,0,0,0
,2041021,圣界·壹制兵刃,2,0,,,9999,34,100,0,0,0,0
,2041032,圣界·贰制兵刃,2,0,,,9999,34,100,0,0,0,0
,2041043,圣界·叁制兵刃,2,0,,,9999,34,100,0,0,0,0
,2041054,圣界·肆制兵刃,2,0,,,9999,34,100,0,0,0,0
,2041064,圣界·伍制兵刃,2,0,,,9999,34,100,0,0,0,0
,2041074,圣界·陆制兵刃,2,0,,,9999,2,100,0,0,0,0
,2042021,圣界·壹制上衣,2,0,,,9999,34,100,0,0,0,0
,2042032,圣界·贰制上衣,2,0,,,9999,34,100,0,0,0,0
,2042043,圣界·叁制上衣,2,0,,,9999,34,100,0,0,0,0
,2042054,圣界·肆制上衣,2,0,,,9999,34,100,0,0,0,0
,2042064,圣界·伍制上衣,2,0,,,9999,34,100,0,0,0,0
,2042074,圣界·陆制上衣,2,0,,,9999,2,100,0,0,0,0
,2043021,圣界·壹制下装,2,0,,,9999,34,100,0,0,0,0
,2043032,圣界·贰制下装,2,0,,,9999,34,100,0,0,0,0
,2043043,圣界·叁制下装,2,0,,,9999,34,100,0,0,0,0
,2043054,圣界·肆制下装,2,0,,,9999,34,100,0,0,0,0
,2043064,圣界·伍制下装,2,0,,,9999,34,100,0,0,0,0
,2043074,圣界·陆制下装,2,0,,,9999,2,100,0,0,0,0
,2044021,圣界·壹制足靴,2,0,,,9999,34,100,0,0,0,0
,2044032,圣界·贰制足靴,2,0,,,9999,34,100,0,0,0,0
,2044043,圣界·叁制足靴,2,0,,,9999,34,100,0,0,0,0
,2044054,圣界·肆制足靴,2,0,,,9999,34,100,0,0,0,0
,2044064,圣界·伍制足靴,2,0,,,9999,34,100,0,0,0,0
,2044074,圣界·陆制足靴,2,0,,,9999,2,100,0,0,0,0
,2051021,密林·壹制兵刃,2,0,,,9999,34,100,0,0,0,0
,2051032,密林·贰制兵刃,2,0,,,9999,34,100,0,0,0,0
,2051043,密林·叁制兵刃,2,0,,,9999,34,100,0,0,0,0
,2051054,密林·肆制兵刃,2,0,,,9999,34,100,0,0,0,0
,2051064,密林·伍制兵刃,2,0,,,9999,34,100,0,0,0,0
,2051074,密林·陆制兵刃,2,0,,,9999,2,100,0,0,0,0
,2052021,密林·壹制上衣,2,0,,,9999,34,100,0,0,0,0
,2052032,密林·贰制上衣,2,0,,,9999,34,100,0,0,0,0
,2052043,密林·叁制上衣,2,0,,,9999,34,100,0,0,0,0
,2052054,密林·肆制上衣,2,0,,,9999,34,100,0,0,0,0
,2052064,密林·伍制上衣,2,0,,,9999,34,100,0,0,0,0
,2052074,密林·陆制上衣,2,0,,,9999,2,100,0,0,0,0
,2053021,密林·壹制下装,2,0,,,9999,34,100,0,0,0,0
,2053032,密林·贰制下装,2,0,,,9999,34,100,0,0,0,0
,2053043,密林·叁制下装,2,0,,,9999,34,100,0,0,0,0
,2053054,密林·肆制下装,2,0,,,9999,34,100,0,0,0,0
,2053064,密林·伍制下装,2,0,,,9999,34,100,0,0,0,0
,2053074,密林·陆制下装,2,0,,,9999,2,100,0,0,0,0
,2054021,密林·壹制足靴,2,0,,,9999,34,100,0,0,0,0
,2054032,密林·贰制足靴,2,0,,,9999,34,100,0,0,0,0
,2054043,密林·叁制足靴,2,0,,,9999,34,100,0,0,0,0
,2054054,密林·肆制足靴,2,0,,,9999,34,100,0,0,0,0
,2054064,密林·伍制足靴,2,0,,,9999,34,100,0,0,0,0
,2054074,密林·陆制足靴,2,0,,,9999,2,100,0,0,0,0
,2061021,英豪·壹制兵刃,2,0,,,9999,34,100,0,0,0,0
,2061032,英豪·贰制兵刃,2,0,,,9999,34,100,0,0,0,0
,2061043,英豪·叁制兵刃,2,0,,,9999,34,100,0,0,0,0
,2061054,英豪·肆制兵刃,2,0,,,9999,34,100,0,0,0,0
,2061064,英豪·伍制兵刃,2,0,,,9999,34,100,0,0,0,0
,2061074,英豪·陆制兵刃,2,0,,,9999,2,100,0,0,0,0
,2062021,英豪·壹制上衣,2,0,,,9999,34,100,0,0,0,0
,2062032,英豪·贰制上衣,2,0,,,9999,34,100,0,0,0,0
,2062043,英豪·叁制上衣,2,0,,,9999,34,100,0,0,0,0
,2062054,英豪·肆制上衣,2,0,,,9999,34,100,0,0,0,0
,2062064,英豪·伍制上衣,2,0,,,9999,34,100,0,0,0,0
,2062074,英豪·陆制上衣,2,0,,,9999,2,100,0,0,0,0
,2063021,英豪·壹制下装,2,0,,,9999,34,100,0,0,0,0
,2063032,英豪·贰制下装,2,0,,,9999,34,100,0,0,0,0
,2063043,英豪·叁制下装,2,0,,,9999,34,100,0,0,0,0
,2063054,英豪·肆制下装,2,0,,,9999,34,100,0,0,0,0
,2063064,英豪·伍制下装,2,0,,,9999,34,100,0,0,0,0
,2063074,英豪·陆制下装,2,0,,,9999,2,100,0,0,0,0
,2064021,英豪·壹制足靴,2,0,,,9999,34,100,0,0,0,0
,2064032,英豪·贰制足靴,2,0,,,9999,34,100,0,0,0,0
,2064043,英豪·叁制足靴,2,0,,,9999,34,100,0,0,0,0
,2064054,英豪·肆制足靴,2,0,,,9999,34,100,0,0,0,0
,2064064,英豪·伍制足靴,2,0,,,9999,34,100,0,0,0,0
,2064074,英豪·陆制足靴,2,0,,,9999,2,100,0,0,0,0
,2110001,绿铜矿石,2,0,,,9999,2,100,0,0,0,0
强化石,2110002,蓝铁矿石,2,0,,,9999,2,100,0,0,0,0
高级强化石,2110003,紫锡矿石,2,0,,,9999,2,100,0,0,0,0
,2110004,橙金矿石,2,0,,,9999,2,100,0,0,0,0
,2110102,浅苍原晶,2,0,,,9999,2,100,0,0,0,0
,2110103,浅苍结晶,2,0,,,9999,2,100,0,0,0,0
,2110104,浅苍辉晶,2,0,,,9999,2,100,0,0,0,0
,2110202,炙红粗岩,2,0,,,9999,2,100,0,0,0,0
,2110203,炙红精岩,2,0,,,9999,2,100,0,0,0,0
,2110204,炙红熔岩,2,0,,,9999,2,100,0,0,0,0
,2110302,绀青原石,2,0,,,9999,2,100,0,0,0,0
,2110303,绀青精石,2,0,,,9999,2,100,0,0,0,0
,2110304,绀青辉石,2,0,,,9999,2,100,0,0,0,0
,2110402,萤辉原矿,2,0,,,9999,2,100,0,0,0,0
,2110403,萤辉粗矿,2,0,,,9999,2,100,0,0,0,0
,2110404,萤辉细矿,2,0,,,9999,2,100,0,0,0,0
,2110502,紫陨精铁,2,0,,,9999,2,100,0,0,0,0
,2110503,紫陨淬钢,2,0,,,9999,2,100,0,0,0,0
,2110504,紫陨秘银,2,0,,,9999,2,100,0,0,0,0
高级升星石,2120013,琉晶,2,0,,,9999,2,100,0,0,0,0
,2120014,优质琉晶,2,0,,,9999,2,100,0,0,0,0
,2120102,星晶石·兵刃,2,0,,,9999,2,100,0,0,0,0
,2120103,优质星晶石·兵刃,2,0,,,9999,2,100,0,0,0,0
,2120104,稀有星晶石·兵刃,2,0,,,9999,2,100,0,0,0,0
,2120202,星晶石·上衣,2,0,,,9999,2,100,0,0,0,0
,2120203,优质星晶石·上衣,2,0,,,9999,2,100,0,0,0,0
,2120204,稀有星晶石·上衣,2,0,,,9999,2,100,0,0,0,0
,2120302,星晶石·下装,2,0,,,9999,2,100,0,0,0,0
,2120303,优质星晶石·下装,2,0,,,9999,2,100,0,0,0,0
,2120304,稀有星晶石·下装,2,0,,,9999,2,100,0,0,0,0
,2120402,星晶石·足靴,2,0,,,9999,2,100,0,0,0,0
,2120403,优质星晶石·足靴,2,0,,,9999,2,100,0,0,0,0
,2120404,稀有星晶石·足靴,2,0,,,9999,2,100,0,0,0,0
英雄通用进阶石,3010013,狮心纹章,2,0,,,9999,2,100,0,0,0,0
,3010014,冲锋晶源,2,0,0,0,9999,2,100,0,0,0,0
,3010024,燃血晶源,2,0,0,0,9999,2,100,0,0,0,0
,3011014,奥兹勋章,2,0,,,9999,128,100,0,0,31,300000
,3011024,帝国双刃,2,0,,,9999,128,100,0,0,31,300000
,3011034,炼狱锁链,2,0,,,9999,128,100,0,0,32,500000
专属勋章(木禅),3011044,世界树枝,2,0,,,9999,128,1000,0,0,31,300000
专属勋章(碧洛丝),3011054,精灵之矢,2,0,,,9999,128,1000,0,0,31,300000
专属勋章(檐鬼),3011064,合金飞镖,2,0,,,9999,128,1000,0,0,31,300000
专属勋章(该影),3011074,般若面具,2,0,,,9999,128,1000,0,0,32,500000
专属勋章(德鲁伊),3011084,萌态熊爪,2,0,,,9999,128,1000,0,0,31,300000
专属勋章(迪罗赞),3011114,黄金臂铠,2,0,,,9999,128,100,0,0,32,500000
,3011124,舰长勋章,2,0,,,9999,128,100,0,0,32,500000
专属勋章(纳塔娜),3011134,粉红兔布偶,2,0,,,9999,128,1000,0,0,32,500000
专属勋章(萨米尔),3011144,盖乌斯巨斧,2,0,,,9999,128,1000,0,0,31,300000
专属勋章(尼薇),3011154,霜天之织,2,0,0,0,9999,128,1000,0,0,32,500000
专属勋章(蜘蛛女王),3011164,蛛丝精魄,2,0,0,0,9999,128,1000,0,0,32,500000
,3012014,芙蕾雅魔法书,2,0,,,9999,128,100,0,0,31,300000
,3013014,异能手环,2,0,,,9999,128,100,0,0,31,300000
,3013024,荆棘玫瑰,2,0,,,9999,128,100,0,0,31,300000
专属勋章(乔伊),3014014,暗龙图腾,2,0,,,9999,128,1000,0,0,32,500000
高级技能石,3030013,武炼石,2,0,,,9999,2,100,0,0,31,300000
,3030014,优质武炼石,2,0,,,9999,2,100,0,0,31,300000
,3060010,魔法电话,6,0,,,9999,2,0,0,0,32,500000
,3060020,整蛊糖豆,6,0,,,9999,2,0,0,0,0,0
,3060030,迷迭香烤鸡,6,0,,,9999,2,0,0,0,0,0
,3060110,剑斗联赛门票,6,0,,,9999,2,0,0,0,0,0
,3060120,刀具护理套装,6,0,,,9999,2,0,0,0,0,0
,3060210,魔法议会期刊,6,0,,,9999,2,0,0,0,0,0
,3060220,露西蒂尼手稿,6,0,,,9999,2,0,0,0,0,0
,3060310,水晶护符,6,0,,,9999,2,0,0,0,0,0
,3060320,雕花护臂,6,0,,,9999,2,0,0,0,0,0
,3060410,圣界斗篷,6,0,,,9999,2,0,0,0,0,0
,3060420,秘密档案,6,0,,,9999,2,0,0,0,0,0
,3060510,园艺套装,6,0,,,9999,2,0,0,0,0,0
,3060520,多肉植物,6,0,,,9999,2,0,0,0,0,0
,3060610,卡城烧烤,6,0,,,9999,2,0,0,0,0,0
,3060620,蜂蜜奶茶,6,0,,,9999,2,0,0,0,0,0
,5000012,蓝萤符文,2,0,,,9999,2,100,0,0,0,0
,5000023,紫影符文,2,0,,,9999,2,100,0,0,0,0
,5000034,橙沙符文,2,0,,,9999,2,100,0,0,0,0
,5001012,初级狂暴,5,0,,,9999,8,1000,0,0,0,0
,5001022,初级狂暴,5,0,,,9999,8,3000,0,0,0,0
,5001032,初级狂暴,5,0,,,9999,8,9000,0,0,0,0
,5001042,初级狂暴,5,0,,,9999,8,27000,0,0,0,0
,5001052,初级狂暴,5,0,,,9999,8,81000,0,0,0,0
,5002012,初级神力,5,0,,,9999,8,1000,0,0,0,0
,5002022,初级神力,5,0,,,9999,8,3000,0,0,0,0
,5002032,初级神力,5,0,,,9999,8,9000,0,0,0,0
,5002042,初级神力,5,0,,,9999,8,27000,0,0,0,0
,5002052,初级神力,5,0,,,9999,8,81000,0,0,0,0
,5003012,初级魔能,5,0,,,9999,8,1000,0,0,0,0
,5003022,初级魔能,5,0,,,9999,8,3000,0,0,0,0
,5003032,初级魔能,5,0,,,9999,8,9000,0,0,0,0
,5003042,初级魔能,5,0,,,9999,8,27000,0,0,0,0
,5003052,初级魔能,5,0,,,9999,8,81000,0,0,0,0
,5004012,生命护盾,5,0,,,9999,8,1000,0,0,0,0
,5004022,生命护盾,5,0,,,9999,8,3000,0,0,0,0
,5004032,生命护盾,5,0,,,9999,8,9000,0,0,0,0
,5004042,生命护盾,5,0,,,9999,8,27000,0,0,0,0
,5004052,生命护盾,5,0,,,9999,8,81000,0,0,0,0
,5005012,初级护盾,5,0,,,9999,8,1000,0,0,0,0
,5005022,初级护盾,5,0,,,9999,8,3000,0,0,0,0
,5005032,初级护盾,5,0,,,9999,8,9000,0,0,0,0
,5005042,初级护盾,5,0,,,9999,8,27000,0,0,0,0
,5005052,初级护盾,5,0,,,9999,8,81000,0,0,0,0
,5006012,初级生命流转,5,0,,,9999,8,1000,0,0,0,0
,5006022,初级生命流转,5,0,,,9999,8,3000,0,0,0,0
,5006032,初级生命流转,5,0,,,9999,8,9000,0,0,0,0
,5006042,初级生命流转,5,0,,,9999,8,27000,0,0,0,0
,5006052,初级生命流转,5,0,,,9999,8,81000,0,0,0,0
,5007012,初级绝境爆发,5,0,,,9999,8,1000,0,0,0,0
,5007022,初级绝境爆发,5,0,,,9999,8,3000,0,0,0,0
,5007032,初级绝境爆发,5,0,,,9999,8,9000,0,0,0,0
,5007042,初级绝境爆发,5,0,,,9999,8,27000,0,0,0,0
,5007052,初级绝境爆发,5,0,,,9999,8,81000,0,0,0,0
,5008012,初级绝境回生,5,0,,,9999,8,1000,0,0,0,0
,5008022,初级绝境回生,5,0,,,9999,8,3000,0,0,0,0
,5008032,初级绝境回生,5,0,,,9999,8,9000,0,0,0,0
,5008042,初级绝境回生,5,0,,,9999,8,27000,0,0,0,0
,5008052,初级绝境回生,5,0,,,9999,8,81000,0,0,0,0
,5009012,初级绝境护盾,5,0,,,9999,8,1000,0,0,0,0
,5009022,初级绝境护盾,5,0,,,9999,8,3000,0,0,0,0
,5009032,初级绝境护盾,5,0,,,9999,8,9000,0,0,0,0
,5009042,初级绝境护盾,5,0,,,9999,8,27000,0,0,0,0
,5009052,初级绝境护盾,5,0,,,9999,8,81000,0,0,0,0
,5010012,神力增幅,5,0,,,9999,8,1000,0,0,0,0
,5010022,神力增幅,5,0,,,9999,8,3000,0,0,0,0
,5010032,神力增幅,5,0,,,9999,8,9000,0,0,0,0
,5010042,神力增幅,5,0,,,9999,8,27000,0,0,0,0
,5010052,神力增幅,5,0,,,9999,8,81000,0,0,0,0
,5011012,魔能增幅,5,0,,,9999,8,1000,0,0,0,0
,5011022,魔能增幅,5,0,,,9999,8,3000,0,0,0,0
,5011032,魔能增幅,5,0,,,9999,8,9000,0,0,0,0
,5011042,魔能增幅,5,0,,,9999,8,27000,0,0,0,0
,5011052,魔能增幅,5,0,,,9999,8,81000,0,0,0,0
,5012012,强袭,5,0,,,9999,8,1000,0,0,0,0
,5012022,强袭,5,0,,,9999,8,3000,0,0,0,0
,5012032,强袭,5,0,,,9999,8,9000,0,0,0,0
,5012042,强袭,5,0,,,9999,8,27000,0,0,0,0
,5012052,强袭,5,0,,,9999,8,81000,0,0,0,0
,5021013,中级狂暴,5,0,,,9999,8,2000,0,0,0,0
,5021023,中级狂暴,5,0,,,9999,8,6000,0,0,0,0
,5021033,中级狂暴,5,0,,,9999,8,18000,0,0,0,0
,5021043,中级狂暴,5,0,,,9999,8,54000,0,0,0,0
,5021053,中级狂暴,5,0,,,9999,8,162000,0,0,0,0
,5022013,中级神力,5,0,,,9999,8,2000,0,0,0,0
,5022023,中级神力,5,0,,,9999,8,6000,0,0,0,0
,5022033,中级神力,5,0,,,9999,8,18000,0,0,0,0
,5022043,中级神力,5,0,,,9999,8,54000,0,0,0,0
,5022053,中级神力,5,0,,,9999,8,162000,0,0,0,0
,5023013,中级魔能,5,0,,,9999,8,2000,0,0,0,0
,5023023,中级魔能,5,0,,,9999,8,6000,0,0,0,0
,5023033,中级魔能,5,0,,,9999,8,18000,0,0,0,0
,5023043,中级魔能,5,0,,,9999,8,54000,0,0,0,0
,5023053,中级魔能,5,0,,,9999,8,162000,0,0,0,0
,5024013,初级狂怒,5,0,,,9999,8,2000,0,0,0,0
,5024023,初级狂怒,5,0,,,9999,8,6000,0,0,0,0
,5024033,初级狂怒,5,0,,,9999,8,18000,0,0,0,0
,5024043,初级狂怒,5,0,,,9999,8,54000,0,0,0,0
,5024053,初级狂怒,5,0,,,9999,8,162000,0,0,0,0
,5025013,沉着暴怒,5,0,,,9999,8,2000,0,0,0,0
,5025023,沉着暴怒,5,0,,,9999,8,6000,0,0,0,0
,5025033,沉着暴怒,5,0,,,9999,8,18000,0,0,0,0
,5025043,沉着暴怒,5,0,,,9999,8,54000,0,0,0,0
,5025053,沉着暴怒,5,0,,,9999,8,162000,0,0,0,0
,5026013,奥义流转,5,0,,,9999,8,2000,0,0,0,0
,5026023,奥义流转,5,0,,,9999,8,6000,0,0,0,0
,5026033,奥义流转,5,0,,,9999,8,18000,0,0,0,0
,5026043,奥义流转,5,0,,,9999,8,54000,0,0,0,0
,5026053,奥义流转,5,0,,,9999,8,162000,0,0,0,0
