,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,53,4072,4,16,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,54,4072,5,17,1,900,0,0,0,10000,1,6003003,25,0,0,0,0,0
,55,4072,6,0,0,0,0,0,0,10000,1,6003003,25,0,0,0,0,0
,56,4072,7,15,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,57,4082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,58,4082,1,1,1,1400,0,0,0,10000,1,6003003,5,0,0,0,0,0
,59,4082,2,5,1,2000,0,0,0,10000,1,6003003,10,0,0,0,0,0
,60,4082,3,0,0,0,0,0,0,10000,1,6003003,15,0,0,0,0,0
,61,4082,4,15,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,62,4082,5,32,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,63,4082,6,0,0,0,0,0,0,10000,1,6003003,25,0,0,0,0,0
,64,4082,7,13,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,65,4092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,66,4092,1,1,1,1400,0,0,0,10000,1,6003003,5,0,0,0,0,0
,67,4092,2,4,1,2000,0,0,0,10000,1,6003003,10,0,0,0,0,0
,68,4092,3,0,0,0,0,0,0,10000,1,6003003,15,0,0,0,0,0
,69,4092,4,31,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,70,4092,5,13,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,71,4092,6,0,0,0,0,0,0,10000,1,6003003,25,0,0,0,0,0
,72,4092,7,18,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,73,4102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,74,4102,1,5,1,2000,0,0,0,10000,1,6003003,5,0,0,0,0,0
,75,4102,2,3,1,800,0,0,0,10000,1,6003003,10,0,0,0,0,0
,76,4102,3,0,0,0,0,0,0,10000,1,6003003,15,0,0,0,0,0
,77,4102,4,32,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,78,4102,5,18,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,79,4102,6,0,0,0,0,0,0,10000,1,6003003,25,0,0,0,0,0
,80,4102,7,16,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,81,4112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,82,4112,1,4,1,2000,0,0,0,10000,1,6003003,5,0,0,0,0,0
,83,4112,2,1,1,1400,0,0,0,10000,1,6003003,10,0,0,0,0,0
,84,4112,3,0,0,0,0,0,0,10000,1,6003003,15,0,0,0,0,0
,85,4112,4,16,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,86,4112,5,15,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,87,4112,6,0,0,0,0,0,0,10000,1,6003003,25,0,0,0,0,0
,88,4112,7,12,1,300,0,0,0,10000,1,6003003,25,0,0,0,0,0
,89,4013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4003
,90,4013,1,4,1,2500,0,0,0,20000,1,6003003,8,0,0,0,0,4003
,91,4013,2,5,1,2500,0,0,0,20000,1,6003003,16,0,0,0,0,4003
,92,4013,3,0,0,0,0,0,0,20000,1,6003003,24,0,0,0,0,4003
,93,4013,4,16,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,94,4013,5,15,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,95,4013,6,0,0,0,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,96,4013,7,32,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,97,4023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4003
,98,4023,1,5,1,2500,0,0,0,20000,1,6003003,8,0,0,0,0,4003
,99,4023,2,4,1,2500,0,0,0,20000,1,6003003,16,0,0,0,0,4003
,100,4023,3,0,0,0,0,0,0,20000,1,6003003,24,0,0,0,0,4003
,101,4023,4,16,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,102,4023,5,17,1,1200,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,103,4023,6,0,0,0,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,104,4023,7,12,1,400,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,105,4033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4003
,106,4033,1,4,1,2500,0,0,0,20000,1,6003003,8,0,0,0,0,4003
,107,4033,2,5,1,2500,0,0,0,20000,1,6003003,16,0,0,0,0,4003
,108,4033,3,0,0,0,0,0,0,20000,1,6003003,24,0,0,0,0,4003
,109,4033,4,32,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,110,4033,5,13,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,111,4033,6,0,0,0,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,112,4033,7,18,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,113,4043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4003
,114,4043,1,5,1,2500,0,0,0,20000,1,6003003,8,0,0,0,0,4003
,115,4043,2,4,1,2500,0,0,0,20000,1,6003003,16,0,0,0,0,4003
,116,4043,3,0,0,0,0,0,0,20000,1,6003003,24,0,0,0,0,4003
,117,4043,4,15,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,118,4043,5,32,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,119,4043,6,0,0,0,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,120,4043,7,13,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,121,4053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4003
,122,4053,1,1,1,1700,0,0,0,20000,1,6003003,8,0,0,0,0,4003
,123,4053,2,2,1,1000,0,0,0,20000,1,6003003,16,0,0,0,0,4003
,124,4053,3,0,0,0,0,0,0,20000,1,6003003,24,0,0,0,0,4003
,125,4053,4,16,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,126,4053,5,17,1,1200,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,127,4053,6,0,0,0,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,128,4053,7,15,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,129,4063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4003
,130,4063,1,4,1,2500,0,0,0,20000,1,6003003,8,0,0,0,0,4003
,131,4063,2,1,1,1700,0,0,0,20000,1,6003003,16,0,0,0,0,4003
,132,4063,3,0,0,0,0,0,0,20000,1,6003003,24,0,0,0,0,4003
,133,4063,4,32,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,134,4063,5,13,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,135,4063,6,0,0,0,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,136,4063,7,16,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,137,4073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4003
,138,4073,1,5,1,2500,0,0,0,20000,1,6003003,8,0,0,0,0,4003
,139,4073,2,1,1,1700,0,0,0,20000,1,6003003,16,0,0,0,0,4003
,140,4073,3,0,0,0,0,0,0,20000,1,6003003,24,0,0,0,0,4003
,141,4073,4,16,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,142,4073,5,15,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,143,4073,6,0,0,0,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,144,4073,7,12,1,400,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,145,4083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4003
,146,4083,1,1,1,1700,0,0,0,20000,1,6003003,8,0,0,0,0,4003
,147,4083,2,2,1,1000,0,0,0,20000,1,6003003,16,0,0,0,0,4003
,148,4083,3,0,0,0,0,0,0,20000,1,6003003,24,0,0,0,0,4003
,149,4083,4,12,1,400,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,150,4083,5,15,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,151,4083,6,0,0,0,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,152,4083,7,15,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,153,4093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4003
,154,4093,1,3,1,1000,0,0,0,20000,1,6003003,8,0,0,0,0,4003
,155,4093,2,5,1,2500,0,0,0,20000,1,6003003,16,0,0,0,0,4003
,156,4093,3,0,0,0,0,0,0,20000,1,6003003,24,0,0,0,0,4003
,157,4093,4,32,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,158,4093,5,11,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,159,4093,6,0,0,0,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,160,4093,7,13,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,161,4103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4003
,162,4103,1,2,1,1000,0,0,0,20000,1,6003003,8,0,0,0,0,4003
,163,4103,2,3,1,1000,0,0,0,20000,1,6003003,16,0,0,0,0,4003
,164,4103,3,0,0,0,0,0,0,20000,1,6003003,24,0,0,0,0,4003
,165,4103,4,13,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,166,4103,5,14,1,1600,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,167,4103,6,0,0,0,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,168,4103,7,31,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,169,4113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4003
,170,4113,1,2,1,1000,0,0,0,20000,1,6003003,8,0,0,0,0,4003
,171,4113,2,4,1,2500,0,0,0,20000,1,6003003,16,0,0,0,0,4003
,172,4113,3,0,0,0,0,0,0,20000,1,6003003,24,0,0,0,0,4003
,173,4113,4,31,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,174,4113,5,18,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,175,4113,6,0,0,0,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,176,4113,7,13,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,177,4123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4003
,178,4123,1,2,1,1000,0,0,0,20000,1,6003003,8,0,0,0,0,4003
,179,4123,2,3,1,1000,0,0,0,20000,1,6003003,16,0,0,0,0,4003
,180,4123,3,0,0,0,0,0,0,20000,1,6003003,24,0,0,0,0,4003
,181,4123,4,11,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,182,4123,5,18,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,183,4123,6,0,0,0,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,184,4123,7,31,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,185,4133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4003
,186,4133,1,1,1,1700,0,0,0,20000,1,6003003,8,0,0,0,0,4003
,187,4133,2,2,1,1000,0,0,0,20000,1,6003003,16,0,0,0,0,4003
,188,4133,3,0,0,0,0,0,0,20000,1,6003003,24,0,0,0,0,4003
,189,4133,4,13,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,190,4133,5,14,1,1600,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,191,4133,6,0,0,0,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,192,4133,7,31,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,193,4143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4003
,194,4143,1,3,1,1000,0,0,0,20000,1,6003003,8,0,0,0,0,4003
,195,4143,2,1,1,1700,0,0,0,20000,1,6003003,16,0,0,0,0,4003
,196,4143,3,0,0,0,0,0,0,20000,1,6003003,24,0,0,0,0,4003
,197,4143,4,13,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,198,4143,5,11,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,199,4143,6,0,0,0,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,200,4143,7,18,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,201,4153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4003
,202,4153,1,3,1,1000,0,0,0,20000,1,6003003,8,0,0,0,0,4003
,203,4153,2,5,1,2500,0,0,0,20000,1,6003003,16,0,0,0,0,4003
,204,4153,3,0,0,0,0,0,0,20000,1,6003003,24,0,0,0,0,4003
,205,4153,4,12,1,400,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,206,4153,5,31,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,207,4153,6,0,0,0,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,208,4153,7,16,1,800,0,0,0,20000,1,6003003,40,0,0,0,0,4003
,257,4014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4004
,258,4014,1,2,1,1200,0,0,0,30000,1,6003003,10,0,0,0,0,4004
,259,4014,2,3,1,1200,0,0,0,30000,1,6003003,20,0,0,0,0,4004
,260,4014,3,0,0,0,0,0,0,30000,1,6003003,30,0,0,0,0,4004
,261,4014,4,13,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,262,4014,5,14,1,2000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,263,4014,6,0,0,0,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,264,4014,7,31,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,265,4024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4004
,266,4024,1,1,1,2000,0,0,0,30000,1,6003003,10,0,0,0,0,4004
,267,4024,2,4,1,3000,0,0,0,30000,1,6003003,20,0,0,0,0,4004
,268,4024,3,0,0,0,0,0,0,30000,1,6003003,30,0,0,0,0,4004
,269,4024,4,16,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,270,4024,5,15,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,271,4024,6,0,0,0,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,272,4024,7,15,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,273,4034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4004
,274,4034,1,4,1,3000,0,0,0,30000,1,6003003,10,0,0,0,0,4004
,275,4034,2,5,1,3000,0,0,0,30000,1,6003003,20,0,0,0,0,4004
,276,4034,3,0,0,0,0,0,0,30000,1,6003003,30,0,0,0,0,4004
,277,4034,4,15,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,278,4034,5,32,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,279,4034,6,0,0,0,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,280,4034,7,16,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,281,4044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4004
,282,4044,1,5,1,3000,0,0,0,30000,1,6003003,10,0,0,0,0,4004
,283,4044,2,4,1,3000,0,0,0,30000,1,6003003,20,0,0,0,0,4004
,284,4044,3,0,0,0,0,0,0,30000,1,6003003,30,0,0,0,0,4004
,285,4044,4,16,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,286,4044,5,32,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,287,4044,6,0,0,0,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,288,4044,7,32,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,289,4054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4004
,290,4054,1,1,1,2000,0,0,0,30000,1,6003003,10,0,0,0,0,4004
,291,4054,2,1,1,2000,0,0,0,30000,1,6003003,20,0,0,0,0,4004
,292,4054,3,0,0,0,0,0,0,30000,1,6003003,30,0,0,0,0,4004
,293,4054,4,16,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,294,4054,5,15,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,295,4054,6,0,0,0,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,296,4054,7,12,1,500,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,297,4064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4004
,298,4064,1,3,1,1200,0,0,0,30000,1,6003003,10,0,0,0,0,4004
,299,4064,2,2,1,1200,0,0,0,30000,1,6003003,20,0,0,0,0,4004
,300,4064,3,0,0,0,0,0,0,30000,1,6003003,30,0,0,0,0,4004
,301,4064,4,31,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,302,4064,5,11,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,303,4064,6,0,0,0,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,304,4064,7,13,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,305,4074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4004
,306,4074,1,4,1,3000,0,0,0,30000,1,6003003,10,0,0,0,0,4004
,307,4074,2,1,1,2000,0,0,0,30000,1,6003003,20,0,0,0,0,4004
,308,4074,3,0,0,0,0,0,0,30000,1,6003003,30,0,0,0,0,4004
,309,4074,4,15,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,310,4074,5,16,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,311,4074,6,0,0,0,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,312,4074,7,16,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,313,4084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4004
,314,4084,1,5,1,3000,0,0,0,30000,1,6003003,10,0,0,0,0,4004
,315,4084,2,1,1,2000,0,0,0,30000,1,6003003,20,0,0,0,0,4004
,316,4084,3,0,0,0,0,0,0,30000,1,6003003,30,0,0,0,0,4004
,317,4084,4,15,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,318,4084,5,15,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,319,4084,6,0,0,0,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,320,4084,7,15,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,321,4094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4004
,322,4094,1,1,1,2000,0,0,0,30000,1,6003003,10,0,0,0,0,4004
,323,4094,2,1,1,2000,0,0,0,30000,1,6003003,20,0,0,0,0,4004
,324,4094,3,0,0,0,0,0,0,30000,1,6003003,30,0,0,0,0,4004
,325,4094,4,16,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,326,4094,5,16,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,327,4094,6,0,0,0,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,328,4094,7,12,1,500,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,329,4104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4004
,330,4104,1,3,1,1200,0,0,0,30000,1,6003003,10,0,0,0,0,4004
,331,4104,2,5,1,3000,0,0,0,30000,1,6003003,20,0,0,0,0,4004
,332,4104,3,0,0,0,0,0,0,30000,1,6003003,30,0,0,0,0,4004
,333,4104,4,13,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,334,4104,5,11,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,335,4104,6,0,0,0,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,336,4104,7,18,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,337,4114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4004
,338,4114,1,1,1,2000,0,0,0,30000,1,6003003,10,0,0,0,0,4004
,339,4114,2,3,1,1200,0,0,0,30000,1,6003003,20,0,0,0,0,4004
,340,4114,3,0,0,0,0,0,0,30000,1,6003003,30,0,0,0,0,4004
,341,4114,4,13,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,342,4114,5,14,1,2000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,343,4114,6,0,0,0,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,344,4114,7,31,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,345,4124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4004
,346,4124,1,1,1,2000,0,0,0,30000,1,6003003,10,0,0,0,0,4004
,347,4124,2,4,1,3000,0,0,0,30000,1,6003003,20,0,0,0,0,4004
,348,4124,3,0,0,0,0,0,0,30000,1,6003003,30,0,0,0,0,4004
,349,4124,4,16,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,350,4124,5,15,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,351,4124,6,0,0,0,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,352,4124,7,17,1,1500,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,353,4134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4004
,354,4134,1,4,1,3000,0,0,0,30000,1,6003003,10,0,0,0,0,4004
,355,4134,2,1,1,2000,0,0,0,30000,1,6003003,20,0,0,0,0,4004
,356,4134,3,0,0,0,0,0,0,30000,1,6003003,30,0,0,0,0,4004
,357,4134,4,31,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,358,4134,5,18,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,359,4134,6,0,0,0,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,360,4134,7,18,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,361,4144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4004
,362,4144,1,2,1,1200,0,0,0,30000,1,6003003,10,0,0,0,0,4004
,363,4144,2,3,1,1200,0,0,0,30000,1,6003003,20,0,0,0,0,4004
,364,4144,3,0,0,0,0,0,0,30000,1,6003003,30,0,0,0,0,4004
,365,4144,4,18,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,366,4144,5,11,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,367,4144,6,0,0,0,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,368,4144,7,31,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,369,4154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4004
,370,4154,1,3,1,1200,0,0,0,30000,1,6003003,10,0,0,0,0,4004
,371,4154,2,5,1,3000,0,0,0,30000,1,6003003,20,0,0,0,0,4004
,372,4154,3,0,0,0,0,0,0,30000,1,6003003,30,0,0,0,0,4004
,373,4154,4,32,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
,374,4154,5,15,1,1000,0,0,0,30000,1,6003003,50,0,0,0,0,4004
