,required,required,optional,optional,optional,optional,optional,optional,optional,repeated,repeated,optional,repeated,optional,repeated,optional
草原游侠黄,10004,草原游侠黄,0,0,1,4,1,0,10004,,1000401;1000402,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
金钱哥布林,10005,金钱哥布林,0,0,1,5,1,0,10005,,1000501;1000502;1000503,"0,2,1;1,0,1",0,"0,1,0;0,1,2;1,0,1,0,1;1,0,1;2,0,1;1,0,1",0,0
草原哥布林,10007,草原哥布林,0,0,1,5,1,0,10007,,1000701;1000702;1000703,"1,0,1;0,2,1",0,"1,0,1,0,1;0,1,0;0,1,2;1,0,1;2,0,1;1,0,1",0,0
阿噗,10008,阿噗,0,0,1,5,1,0,10008,,1000801;1000802;1000803,"0,0,1;0,0,2",0,"1,1,2;0,0,1;0,0,1",0,0
宝箱怪,10009,宝箱怪,0,0,1,6,1,0,10009,,1000901;1000902,"0,0,1",0,"0,0,1;0,1,1;0,0,1",0,0
草原蝎子,10010,草原蝎子,0,0,1,2,2,0,10010,,1001001;1001002,"1,0,1",0,"1,0,1;1,0,1,1;1,0,1",0,0
哈蒙,10012,哈蒙,0,1,1,1,1,0,9001029,,1001201;1001202;1001203,"0,2;2,1,0;0,0,1",0,"0,2;2,0,1,0;0,1",0,0
丧尸法师,10013,丧尸法师,0,1,1,3,2,0,10013,,1001301;1001302;1001303,"0,1,2;1,0,1",0,"2,1,0;0,1,1;0,1,1;1,0,1,2",0,0
山岭巨人,10014,山岭巨人,0,1,1,5,1,0,10014,1011,1001401;1001402;1001403,"0,1,2",0,"0,1,0;0,1,0,2;0,1,0;2,1,0;0,1,0",0,0
武装熊人战士,10015,武装熊人战士,0,1,1,1,1,0,10015,,1001501;1001502;1001503,"0,2,1;0,1,0;2,1",0,"0,1,2;1,0,1;1,0,1",0,0
先驱者一号,10016,先驱者一号,0,1,1,7,1,0,10016,1021,1001601;1001602;1001603,"0,1,0,2;1,0,1",0,"0,1,0;0,1,0,2;0,1,0;0,1,2;0,1,0",0,0
小石头人,10017,小石头人,0,0,1,5,1,0,10017,1011,1001701;1001702,"0,0,1;0,0,1",0,"0,0,1;0,0,1",0,0
A型感染者,10019,A型感染者,0,0,1,3,2,0,10019,,1001901;1001902,"0,1,0;1,0,1,0;0,1",0,"1,0,1,0,1;0,1,0;1,0,1",0,0
大鱼妖,10020,大鱼妖,0,1,1,5,2,0,10020,1021,1002001;1002002;1002003,"1,0,2;0,1,0,2",0,"0,0,1;0,0,1;1,2,1,0",0,0
黑色荆棘,10021,黑色荆棘,0,0,1,4,1,0,10021,,1002101;1002102;1002103,"0,1,2;0,1,0",0,"0,1;0,0,2;0,1;1,2,0;0,1,1",0,0
绝世舞姬,10022,绝世舞姬,0,1,1,4,1,0,10022,1031,1002201;1002202;1002203,"0,1,0;0,1,2",0,"0,1;0,1,2;1,0,1;0,1;1,0,2",0,0
狼人战士,10023,狼人战士,0,0,1,1,1,0,10023,,1002301;1002302;1002303,"0,1,0;0,1,2",0,"0,1,0;0,1;0,1,2",0,0
鹿角兽队长,10024,鹿角兽队长,0,1,1,1,1,0,10024,,1002401;1002402;1002403,"0,1,0;0,1,0,2",0,"0,1,0;0,1;0,1,1,2;0,1,0;0,1,2",0,0
杀人蜂,10025,杀人蜂,0,1,1,2,1,0,10025,1051,1002501;1002502;1002503,"0,1,0,2;1,0,1",0,"1,0,1,0,2;0,1,1;0,1,1;1,0,1,2",0,0
武装狼人,10026,武装狼人,0,1,1,1,1,0,10026,1151,1002601;1002602;1002603,"0,1,0;0,1,2",0,"0,1,0;0,1;0,1,2",0,0
蝎怪,10027,蝎怪,0,1,1,2,2,0,10027,1341,1002701;1002702;1002703,"0,1,2;0,0,1,2",0,"0,1,1;0,1,2;0,1;0,0,1,2;0,2",0,0
鱼妖,10028,鱼妖,0,0,1,5,2,0,10028,1021,1002801;1002802;1002803,"1,0;0,1,0,2",0,"0,0,1;0,0,1;1,2,1,0",0,0
兰奇,10030,兰奇,0,1,1,4,1,60,10030,1041,1003001;1003002;1003003;1003004;1003005;1003006,"0,3;0,1,2,3",0,"0,1,2;1,2,3;0,1,2;0,3",0,0
贪婪,10031,贪婪,0,2,1,6,2,0,10031,3005,1003101;1003102;1003103;1003110;1003111;1003112,"0,1,1;0,0,2",0,"0,1,1;0,0,1,2;0,1,0,1;0,1,2",0,0
卫队长莱克,10032,卫队长莱克,0,1,1,4,1,0,10032,,1003201;1003202;1003203,"1,1,2;0,0,2",0,"0,0,1;0,0,1;0,1,2;0,0,1;0,1,2,2",0,0
狂化阿噗,10033,狂化阿噗,0,1,1,6,2,0,10033,1021,1003301;1003302;1003303,"0,1,2;0,0,1",0,"0,0,2;0,0,1;0,1",0,0
鹿角怪,10034,鹿角怪,0,1,1,1,1,0,10034,,1003401;1003402;1003403,"0,1,0,2",0,"0,1,0;0,1;0,1,1,2;0,1,0;0,1,2",0,0
萨米尔,10035,萨米尔,0,2,1,6,1,0,10001,,1003501;1003502;1003503;1003504,"0,1,3;1,0,1,2",0,"3,1,0;1,0,2;1,0,2;2,0,1,3;1,0,2",0,0
四蹄神,10036,四蹄神,0,2,1,6,1,0,10001,,1003601;1003602;1003603;1003604,"1,0,1,2;0,1,3",0,"0,1,2;1,0,3;1,0,2;1,1,3;1,0,2",0,0
默希娅,10037,默希娅,0,1,1,6,2,0,10001,1211,1003701;1003702;1003703;1003704,"1,0,2;0,1,3",0,"0,1,2;3,0,2;1,0,2;1,1,3;1,1,2;1,0,2",0,0
感染的冒险者,10038,感染的冒险者,0,0,1,3,1,0,10001,,1003801;1003802;1003803,"0,2;1,0,1,0;1,0,1,2",0,"0,2;1,0,1,0;1,2",0,0
寄居熊,10039,寄居熊,0,0,1,1,1,0,10001,,1003901;1003902;1003903,"1,0,2;0,1,0",0,"0,1,0,2;0,0,1;0,1,1",0,0
僵尸老婆,10040,僵尸老婆,0,0,1,3,2,0,10001,,1004001;1004002,"0,1,0;1,0,1,0;0,1",0,"1,0,1,0,1;0,1,0;1,0,1",0,0
卡司族阿噗,10041,卡司族阿噗,0,0,1,5,1,0,10001,,1004101;1004102;1004103,"0,0,1;0,0,2",0,"1,1,2;0,0,1;0,0,1",0,0
枯叶蜂蜂王,10042,枯叶蜂蜂王,0,0,1,2,1,0,10001,1051,1004201;1004202;1004203,"0,1,0,2;1,0,1",0,"1,0,1,0,2;0,1,1;0,1,1;1,0,1,2",0,0
泪目狼人,10044,泪目狼人,0,0,1,1,1,0,10044,,1004401;1004402;1004403,"0,1,0;0,1,2",0,"0,1,0;0,1;0,1,2",0,0
受惊的僵尸,10045,受惊的僵尸,0,0,1,3,2,0,10001,,1004501;1004502,"0,1,1;1,0,1,0;0,1",0,"1,0,1,0,1;0,1,0;1,0,1",0,0
采矿工兵,10046,采矿工兵,0,0,1,4,1,0,10001,,1004601;1004602;1004603,"0,1,1;0,1,2",0,"0,1,1;0,1,2",0,0
小鱼龙,10047,小鱼龙,0,0,1,5,2,0,10001,,1004701;1004702;1004703,"1,0,1;0,1,2",0,"0,0,1;0,0,2;0,1,1",0,0
要塞守卫官,10048,要塞守卫官,0,0,1,4,1,0,10001,1101,1004801;1004802;1004803,"0,2;1,0,1,0;1,0,1,2",0,"0,2;1,0,1,0;1,2",0,0
萤火熊,10049,萤火熊,0,0,1,1,1,0,10001,,1004901;1004902;1004903,"0,1,1;0,1,2;2,1",0,"0,0,1;0,1,1;0,1,2",0,0
锤子团首领,10050,锤子团首领,0,0,1,4,1,0,10001,1101,1005001;1005002;1005003,"1,1,2;1,0,1,2;1,0,1,0",0,"0,2;1,0,1,0;0,1,2,2",0,0
森林猎手,10051,森林猎手,0,0,1,5,1,0,10001,,1005101;1005102;1005103,"0,1,2;1,0,1,2",0,"0,2;1,0,1,0,1;0,1,2;1,0,1",0,0
沙漠巨人,10052,沙漠巨人,0,0,1,5,1,0,10001,,1005201;1005202;1005203,"0,1,2",0,"0,1,0;0,1,0,2;0,1,0;2,1,0;0,1,0",0,0
神秘兽,10053,神秘兽,0,0,1,5,1,0,10001,,1005301;1005302;1005303,"0,0,1;0,0,2",0,"1,1,2;0,0,1;0,0,1",0,0
荒原女巫,10054,荒原女巫,0,0,1,6,2,0,10001,1031,1005401;1005402;1005403,"0,1,2;0,1,2",0,"1,0,1;1,0,1;0,1,2",0,0
,10057,大女巫,0,0,1,6,2,1,10057,,1005701;1005702;1005703;1005704,"2,3;0,1,2",0,"0,1,2;0,1;2,3;0,1;3,3",0,0
,10058,女巫仆从,0,0,1,6,2,1,10058,1031,1005801;1005802,"0,0,1",0,"0,0,1;0,1,1",0,0
,11031,贪婪,0,2,1,6,2,0,10031,,1003110;1003111;1003112,"1,2;0,1",0,"0,0,2;0,0,1;0,1",0,0
西蒙,20101,西蒙,0,0,1,4,1,1,20101,,10101;10102;10103;10104;10105;10106;10107,"0,2,3,4,6",0,"0,2,4;1,3,6",0,0
泰雷,20102,泰雷,0,0,1,4,1,1,20102,,10201;10202;10203;10204;10205;10206;10207,"0,2,3,4,6",0,"0,2,4;1,3,6",0,0
兰奇,20103,兰奇,0,0,1,4,1,1,20103,,10301;10302;10303;10304;10305;10306;10307,"0,2,3,4,6",0,"0,2,4;1,3,6",0,0
森慧,20104,森慧,0,0,1,5,1,1,20104,,10401;10402;10403;10404;10405;10406;10407,"0,2,3,4,6",0,"0,2,4;1,3,6",0,0
碧洛丝,20105,碧洛丝,0,0,1,5,2,1,20105,,10501;10502;10503;10504;10505;10506;10507,"0,2,3,4,6",0,"0,2,4;1,3,6",0,0
檐鬼,20106,檐鬼,0,0,1,6,2,1,20106,,10601;10602;10603;10604;10605;10606;10607,"0,2,3,4,6",0,"0,2,4;1,3,6",0,0
该影,20107,该影,0,0,1,6,1,1,20107,,10701;10702;10703;10704;10705;10706;10707,"0,2,3,4,6",0,"0,2,4;1,3,6",0,0
德鲁伊,20108,德鲁伊,0,0,1,1,2,1,20108,,10801;10802;10803;10804;10805;10806;10807,"0,2,3,4,6",0,"0,2,4;1,3,6",0,0
纳塔娜,20113,纳塔娜,0,0,2,4,2,1,20113,,11301;11302;11303;11304;11305;11306;11307,"0,2,3,4,6",0,"0,2,3,4;1,3,5,6;0,2,3,4,6",0,0
温丽,20201,温丽,0,0,2,4,2,1,20201,,20101;20102;20103;20104;20105;20106;20107,"0,2,3,4,6",0,"0,2,4;1,3,6",0,0
爱林娜,20301,爱林娜,0,0,2,4,2,1,20301,,30101;30102;30103;30104;30105;30106;30107,"0,2,3,4,6",0,"0,2,4;1,3,6",0,0
爱琪,20302,爱琪,0,0,2,4,2,1,20302,,30201;30202;30203;30204;30205;30206;30207,"0,2,3,4,6",0,"0,2,4;1,3,6",0,0
乔伊,20401,乔伊,0,0,1,6,1,1,20401,,40101;40102;40103;40104;40105;40106;40107,"0,2,3,4,6",0,"0,2,4;1,3,6",0,0
,52001,战魂之灵,0,0,1,3,1,0,52001,,5200101;5200102;5200103,"0,1,1;0,1,2",0,"0,1,1;0,1,2",0,0
战魂之殇,52002,战魂之殇,0,0,1,3,1,0,52002,,5200201;5200202,"0,0,1",0,"0,0,1",0,0
嗜血战魂,52003,嗜血战魂,0,1,1,3,1,0,52003,,5200301;5200302,"0,1;0,0,1,1",0,"0,0;1,0,0,1;0,0,1,1",0,0
战魂之灵火,52004,战魂之灵火,0,0,1,3,1,0,52004,,5200401;5200402;5200403,"0,1,1;0,1,2",0,"0,1,1;0,1,2",0,0
战魂之灵冰,52005,战魂之灵冰,0,0,1,3,1,0,52005,,5200501;5200502;5200503,"0,1,1;0,1,2",0,"0,1,1;0,1,2",0,0
战魂之灵暗,52006,战魂之灵暗,0,0,1,3,1,0,52006,,5200601;5200602;5200603,"0,1,1;0,1,2",0,"0,1,1;0,1,2",0,0
战魂之灵光,52007,战魂之灵光,0,0,1,3,1,0,52007,,5200701;5200702;5200703,"0,1,1;0,1,2",0,"0,1,1;0,1,2",0,0
暗黑战魂,52008,暗黑战魂,0,1,1,3,1,0,52008,1131,5200801;5200802;5200803,"0,1;0,0,2;0,0",0,"0,1;0,0,2;0,0;1,2,2;0,0",0,0
白袍法师,52009,白袍法师,0,0,1,0,1,0,52009,,5200901;5200902;5200903,"0,1,0;0,1,2",0,"0,1,2;0,0,1",0,0
黑暗法师,52010,黑暗法师,0,2,1,6,1,0,52010,1141,5201001;5201002;5201003,"0,1,0;0,1,2",0,"0,1,2;0,0,1",0,0
白银盾战,52011,白银盾战,0,0,1,4,1,0,52011,,5201101;5201102;5201103,"0,1,0;0,0,2",0,"0,0;0,0,2;0,1;0,0;0,1,2,2",0,0
,52012,枭鹰,0,1,1,1,1,0,52012,1051,5201201;5201202;5201203,"0,1,0,2;1,0,1",0,"1,0,1,0,2;0,1,1;0,1,1;1,0,1,2",0,0
,52013,摩尼耶,0,1,1,4,1,0,52013,,5201301;5201302;5201303,"1,1,2;0,0,1",0,"0,1,2;0,1,2,2;0,0,1;0,0,1",0,0
,52014,合成怪,0,0,1,5,1,0,52014,,5201401;5201402;5201403,"0,0,1;0,0,2",0,"1,1,2;0,0,1;0,0,1",0,0
,52015,黑龙舰兵,0,0,1,4,1,0,52015,,5201501;5201502,"0,0,1",0,"0,0,1",0,0
,52016,精灵战士,0,0,1,5,1,0,52016,,5201601;5201602;5201603,"0,1,2;1,0,1,2",0,"0,2;1,0,1,0,1;0,1,2;1,0,1",0,0
,52017,精灵弓箭手,0,0,1,5,1,0,52017,,5201701;5201702,"0,0,1",0,"0,0,1;1,1,0",0,0
海魔,52018,海魔,0,1,1,6,1,0,9001029,,5201801;5201802;5201803,"0,2;2,0,1,0",0,"0,2;2,1,1,1,0;0,0,1",0,0
黑龙战士,52020,黑龙战士,0,1,1,4,1,0,52003,,5202001;5202002,"0,0,1,1;0,0",0,"1,0,0,1;0,0,1,1;0,0",0,0
黄金首领,52021,黄金首领,0,1,1,4,1,0,52008,,5202101;5202102;5202103,"2,0;0,1,1",0,"0,0;0,1,2;0,0;0,0;0,1,2,2",0,0
机械石像,52022,机械石像,0,2,1,6,2,1,9002,,5202201;5202202;5202203;5202204,"0,1,2,3;1,0,2",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
锡波,52023,锡波,0,1,1,4,1,0,10016,,5202301;5202302;5202303,"0,1,0,2;1,0,1",0,"0,1,0,2;0,1,0;0,1,2;0,1,0",0,0
J博士,52024,J博士,0,1,1,4,1,0,10016,,5202401;5202402;5202403,"1,0;0,1,0,2",0,"0,1,0,2;0,1,0;0,1,2;0,1,0",0,0
A型感染者,101012,B型感染者,0,0,1,0,1,0,101012,,1001901;1001902,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
A型感染者,101013,B型感染者,0,0,1,0,1,0,101013,,1001901;1001902,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
A型感染者,101014,B型感染者,0,0,1,0,1,0,101014,,1001901;1001902,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
A型感染者,101015,B型感染者,0,0,1,0,1,0,101015,,1001901;1001902,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
A型感染者,101016,B型感染者,0,0,1,0,1,0,101016,,1001901;1001902,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,701102,泰雷,0,0,1,4,1,99,701102,,10201;10202;10203;10204;10205;10206;10207;10208,0;3;4;5,0,0;1,0,0
,701103,兰奇,0,0,1,4,1,99,701103,,10301;10302;10303;10304;10305;10306;10307;10308,"2,3;4,5;0,6",0,0;1,0,0
,702101,剧情用西蒙,0,0,1,4,1,0,702101,,10101;10102;10103;10104;10105;10106;10107;10108,"0,2,3,4,6",0,"0,2,4;1,3,6",0,0
,702201,剧情用温丽,0,0,2,4,2,0,702201,,20101;20102;20103;20104;20105;20106;20107;20108,"0,2,3,4,6",0,"0,2,4;1,3,6",0,0
,702301,剧情用爱琳娜,0,0,2,4,2,0,702301,,30101;30102;30103;30104;30105;30106;30107;30108,"0,2,3,4,6",0,"0,2,4;1,3,6",0,0
,802201,温丽,0,0,2,4,2,4,802201,,20101;20102;20103;20104;20105;20106;20107;20108,"2,4,6",0,"0,2,4;1,3,6",0,0
,805107,夜崎隐,0,2,1,6,1,80,805107,,10701;10702;10703;10704;10705;10706;10707;10708,"0,1,2,3;1,5,0,4",0,"0,1,3,4",0,0
,806201,温丽,0,0,2,4,2,0,806201,,20101;20102;20103;20104;20105;20106;20107;20108,"0,2,3,4,6",0,"0,2,4;1,3,6",0,0
,807301,爱琳娜,0,0,2,4,1,8,807301,,30101;30102;30103;30104;30105;30106;30107,"0,2,3,4,5,6;1,2,3;0,2,3,5",0,"0,2,3,5;1,2,3,5",0,0
,812107,夜崎隐,0,2,1,6,1,60,812107,,10701;10702;10703;10704;10705;10706;2010701,"6,6",0,"6,6",0,0
,814102,泰雷,0,0,1,4,1,8,814102,,10201;10202;10203;10204;10205;10206;10207,"0,1,2,3,4,5",0,"0,2,4;1,3,5",0,0
A型感染者,1000078,不死丧尸,0,0,1,3,2,24,1000078,,1001901;1001902,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
丧尸法师,1000079,熔岩丧尸,0,0,1,3,2,24,1000079,,1004501;1004502,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
丧尸法师,1000080,扭曲丧尸,0,1,1,3,2,25,1000080,,1001301;1001302;1001303,"0,1,0,2;1,0,1",0,"0,1,0;1,2,1,0;0,1,1;0,1,1;1,0,1,2",0,0
卫队长莱克,1000081,禁卫督军莱克,0,2,1,4,2,26,1000081,1301,1003201;1003202;1003203,"1,1,2;0,0,2",0,"0,0,1;0,0,1;0,1,2;0,0,1;0,1,2,2",0,0
丧尸法师,1000082,制杖丧尸,0,0,1,3,1,13,1000082,,1001301;1001302;1001303,"0,1,0,2;1,0,1,2",0,"0,1,2;1,0,1,0,2;0,1,1;1,0,1,2",0,0
丧尸法师,1000083,制杖丧尸,0,0,1,3,1,13,1000083,,1001301;1001302;1001303,"0,1,0,2;1,0,1,2",0,"0,1,2;1,0,1,0,2;0,1,1;1,0,1,2",0,0
A型感染者,1000084,尸体,0,0,1,3,1,15,1000084,1311,1001901;1001902,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
丧尸法师,1000085,左相·西莫斯,0,2,1,3,1,14,1000085,,1001301;1001302;1001303,"0,1,0,2;1,0,1,2",0,"0,1,2;1,0,1,0,2;0,1,1;1,0,1,2",0,0
丧尸法师,1000086,制杖丧尸,0,0,1,3,1,14,1000086,,1001301;1001302;1001303,"0,1,0,2;1,0,1,2",0,"0,1,2;1,0,1,0,2;0,1,1;1,0,1,2",0,0
丧尸法师,1000087,制杖丧尸,0,0,1,3,1,0,1000087,,1001301;1001302;1001303,"0,1,0,2;1,0,1,2",0,"0,1,2;1,0,1,0,2;0,1,1;1,0,1,2",0,0
部落战士,1000091,丛林偷猎者,103,0,1,4,1,1,1000091,1101,1000401;1000402,"0,1,0,1,0;1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
大哥布林,1000092,哥布林劫匪,201,1,1,5,1,1,1000092,,1000701;1000702;1000703,"1,0,1;0,2,1",0,"1,0,1,0,1;0,1,0;0,1,2;1,0,1;2,0,1;1,0,1",0,0
先驱者一号,1000093,先驱者1号,101,1,1,7,1,1,1000093,1021,1001601;1001602;1001603,"0,1,2",0,"0,1,0,2;0,1,2",0,0
A型感染者,1000094,失踪的居民,104,0,1,3,1,1,1000094,1311,1001901;1001902,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
部落精英战士,1000095,没落贵族莱德,203,1,1,4,1,1,1000095,1101,1000201;1000202,"0,1,0,1,0;1,0",0,"1,0,1,0,1;0,1,1;0,1,0,1;1,0,1",0,0
哈蒙,1000096,机械魔偶,101,1,1,1,1,1,1000096,1111,1001201;1001202;1001203,"2,0,1,0;0,1,2",0,"2,0,1,0;0,1,2",0,0
先驱者一号,1000097,先驱者1号,0,0,1,7,1,18,1000097,1021,1001601;1001602;1001603,"0,1,2",0,"0,1,0,2;0,1,2",0,0
哈蒙,1000098,食人酋长布鲁,0,0,1,1,1,22,1000098,1111,1001201;1001202;1001203,"2,0,1,0;0,1,2",0,"2,0,1,0;0,1,2",0,0
阿噗,1000099,狐克斯,1,0,1,5,1,0,10008,1021,1000801;1000802,"0,0,1;0,0,1",0,"0,0,1;0,0,1",0,0
邪灵法师艾德,1000100,邪灵法师艾德,301,1,1,6,1,0,1000100,1141,5201001;5201002;5201003,"0,1,0;0,1,2",0,"0,1,2;0,0,1",0,0
草原蝎子,1000101,毒尾蝎,1,0,1,2,1,0,10010,1061,1001001;1001002,"1,0,1",0,"1,0,1",0,0
赤角狂兽卡拉,1000102,赤角狂兽卡拉,201,1,1,6,2,0,1000102,1021,1003301;1003302;1003303,"0,1,2;0,0,1",0,"0,0,2;0,0,1;0,1",0,0
狼人战士,1000111,赤瞳战狼,0,0,1,1,1,5,1000111,1011,1002301;1002302,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
武装狼人,1000113,碎魂狼王,0,2,1,1,1,7,1000113,1011;1121,1002601;1002602;1002603,"0,1,0,2;1,0,1,2",0,"0,1,2;1,0,1,0,2;0,1,1;1,0,1,2",0,0
草原哥布林,1000114,黑袍哥布林,0,0,1,5,1,0,1000114,,1000701;1000702,"0,0,1",0,"0,0,1",0,0
,1000121,左相府卫兵,0,0,1,4,1,25,1000121,,5201101;5201102;5201103,"0,1,0;0,0,2",0,"0,0;0,0,2;0,1;0,0;0,1,2,2",0,0
金钱哥布林,1000124,哈扎克,0,2,1,5,1,14,1000124,,1000501;1000502,"0,1,1",0,"0,1;0,1,1",0,0
武装狼人,1000127,白眼独狼,0,1,1,1,1,6,1000127,1011;1141,1004401;1004402,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1000128,巨刃鹿角兽,0,0,1,1,1,30,1000128,,1003401;1003402;1003403,"0,1,0,2",0,"0,1,0;0,1;0,1,1,2;0,1,0;0,1,2",0,0
,1000129,巨刃鹿角兽,0,0,1,1,1,32,1000129,,1003401;1003402;1003403,"0,1,0,2",0,"0,1,0;0,1;0,1,1,2;0,1,0;0,1,2",0,0
,1000130,食魂鹿角兽,0,1,1,1,1,32,1000130,,500401;500402;500403,"0,1,2;0,1,0,1",0,"0,1,2;0,1,0,1;0,1,0,2;0,1;0,1,0,1",0,0
,1000131,鹿角男爵尤克,0,1,1,1,1,32,1000131,,1002401;1002402;1002403,"0,1,0;0,1,0,2",0,"0,1,0;0,1;0,1,1,2;0,1,0;0,1,2",0,0
,1000132,亡魂死徒,0,0,1,3,1,30,1000132,1011,5200101;5200102;5200103,"0,1,1;0,1,2",0,"0,1,1;0,1,2",0,0
,1000133,亡魂死士,0,0,1,3,1,30,1000133,1011,5200201;5200202,"0,0,1",0,"0,0,1",0,0
,1000134,黑骑士佩兰,0,1,1,3,1,32,1000134,1011,5200301;5200302,"0,1;0,0,1,1",0,"0,0;1,0,0,1;0,0,1,1",0,0
,1000135,狮心魔骑巴兹,0,1,1,3,1,32,1000135,1011,5200801;5200802;5200803,"0,1;0,0,2",0,"0,1;0,0,2;0,1;1,2,2;0",0,0
,1000136,野蛮孤狼,0,0,1,1,1,30,1000136,1021,1002301;1002302;1002303,"0,1,0;0,1,2",0,"0,1,0;0,1;0,1,2",0,0
,1000137,狼爵士普洛,0,1,1,1,1,32,1000137,1021,1002601;1002602;1002603,"0,1,0;0,1,2",0,"0,1,0;0,1;0,1,2",0,0
,1000138,魔尾蝎,0,0,1,2,1,30,1000138,1021,1001001;1001002,"1,0,1",0,"1,0,1;1,0,1,1;1,0,1",0,0
,1000139,魔蝎王艾德,0,1,1,2,1,32,1000139,1021,1002701;1002702;1002703,"0,1,2;0,0,1,2",0,"0,1,1;0,1,2;0,1;0,0,1,2;0,2",0,0
,1000140,贪婪,0,2,1,6,1,35,1000140,,1003101;1003102;1003103;1003110;1003111;1003112,"0,1,1;0,0,2",0,"0,1,1;0,0,1,2;0,1,0,1;0,1,2",0,0
,1000143,沙河虫,0,0,1,2,1,33,1000143,1041,1001001;1001002,"1,0,1",0,"1,0,1",0,0
,1000144,吞骨沙虫,0,0,1,2,1,33,1000144,1031,1001001;1001002,"1,0,1",0,"1,0,1",0,0
,1000145,毒尾蝎,0,0,1,2,1,34,1000145,1061,1001001;1001002,"1,0,1",0,"1,0,1",0,0
,1000146,沙原魔蝎斯科恩,0,2,1,2,1,35,1000146,1341,1002701;1002702;1002703,"0,1,2;0,2",0,"0,0,1,2;0,2;0,1,2",0,0
