,required,repeated,repeated,required
,3109001,,1362,10
,3109002,,1363,10
,3109003,,1364,10
,3109004,,1365,10
,3109005,,1361,10
,3110001,,1347,10
,3110002,,1348,10
,3110003,,1349,10
,3110004,,1350,10
,3110005,,1346,10
,3112001,,1372,10
,3112002,,1373,10
,3112003,,1374,10
,3112004,,1375,10
,3112005,,1371,10
,3113001,,1337,10
,3113002,,1338,10
,3113003,,1339,10
,3113004,,1340,10
,3113005,,1336,10
,3114001,,1377,10
,3114002,,1378,10
,3114003,,1379,10
,3114004,,1380,10
,3114005,,1376,10
,3115001,,1322,10
,3115002,,1323,10
,3115003,,1324,10
,3115004,,1325,10
,3115005,,1321,10
,3116001,,1367,10
,3116002,,1368,10
,3116003,,1369,10
,3116004,,1370,10
,3116005,,1366,10
,3163001,,1382,10
,3163002,,1383,10
,3163003,,1384,10
,3163004,,1385,10
,3163005,,1381,10
,3164001,,1387,10
,3164002,,1388,10
,3164003,,1389,10
,3164004,,1390,10
,3164005,,1386,10
,3165001,,1392,10
,3165002,,1393,10
,3165003,,1394,10
,3165004,,1395,10
,3165005,,1391,10
,3166001,,1397,10
,3166002,,1398,10
,3166003,,1399,10
,3166004,,1400,10
,3166005,,1396,10
,3167001,,1402,10
,3167002,,1403,10
,3167003,,1404,10
,3167004,,1405,10
,3167005,,1401,10
,3168001,,1407,10
,3168002,,1408,10
,3168003,,1409,10
,3168004,,1410,10
,3168005,,1406,10
,3169001,,1412,10
,3169002,,1413,10
,3169003,,1414,10
,3169004,,1415,10
,3169005,,1411,10
,3170001,,1417,10
,3170002,,1418,10
,3170003,,1419,10
,3170004,,1420,10
,3170005,,1416,10
,3171001,,1422,10
,3171002,,1423,10
,3171003,,1424,10
,3171004,,1425,10
,3171005,,1421,10
,3172001,,1427,10
,3172002,,1428,10
,3172003,,1429,10
,3172004,,1430,10
,3172005,,1426,10
,20010306,,1309,10
,20010308,,1310,10
,20010309,,1311,10
,3021001,,1081,0
,3021011,,1082,0
,3071006,,1072,8
,3071007,,1073,8
,3071008,,1074,8
,3071009,,1075,8
,3073002,,1071,10
,3074007,,1086,3
,3096001,,1273,10
,3096002,,1274,10
,3096003,,1275,10
,3096004,,1276,10
,3096005,,1277,10
,3097003,,1201,10
,3097004,,1202,10
,3097005,,1203,10
,3098001,,1268,10
,3098002,,1269,10
,3098003,,1270,10
,3098004,,1271,10
,3098005,,1272,10
,3099003,,1266,10
,3099004,,1265,10
,3099005,,1267,10
,3099011,,1264,10
,3099012,,1263,10
,3101001,,1278,10
,3101002,,1279,10
,3101003,,1280,10
,3101004,,1281,10
,3101005,,1282,10
,3102006,,1283,10
,3102007,,1284,10
,3102008,,1285,10
,3102009,,1286,10
,3102010,,1287,10
,3105001,,1288,10
,3105002,,1289,10
,3105003,,1290,10
,3105004,,1291,10
,3105005,,1292,10
,3111001,,1293,10
,3111002,,1294,10
,3111003,,1295,10
,3111004,,1296,10
,3111005,,1297,10
,3130013,,1143,10
,3130014,,1144,10
,3130015,,1145,10
,3130017,,1142,10
,3132002,,1150,3
,3132003,,1151,3
,3132004,,1152,3
,3132005,,1153,3
,3133013,,1171,10
,3133014,,1172,10
,3133015,,1173,10
,3133016,,1170,10
,3134001,,1166,3
,3134002,,1167,3
,3134003,,1168,3
,3134004,,1169,3
,3135014,,1146,3
,3135015,,1147,3
,3135016,,1148,3
,3135017,,1149,3
,3147012,,1174,3
,3147013,,1175,3
,3147014,,1176,3
,3147015,,1177,3
,3147016,,1178,3
,3147017,,1179,3
,3153003,,1188,10
,3153004,,1189,10
,3153005,,1190,10
,3154016,,1191,10
,3154017,,1192,10
,3154018,,1193,10
,3154019,,1194,10
,3154020,,1195,10
,3154021,,1196,10
,3154022,,1197,10
,3154023,,1198,10
,3154024,,1199,10
,3154025,,1200,10
,20010311,,1314,10
,20010312,,1315,10
,20010313,,1316,10
,20010295,,1298,10
,20010345,,1431,3
,20040063,,1118,10
,20040064,,1119,10
,20040065,,1120,10
,20040066,,1121,10
,20040067,,1122,10
,99990024,,1077,10
,99990025,,1077,10
,99990026,,1077,10
,99990056,,1078,10
,99990057,,1078,10
,99990058,,1078,10
,99990059,,1078,10
,99990060,,1078,10
,99990061,,1079,10
,99990066,,1080,10
,99990125,,1320,10
