,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,4033,,10000,0,1,10,1,0,0,0,0,10,11,4,5,900,
,4034,,10000,0,1,10,1,0,0,0,0,10,11,4,5,1200,
,4041,,10000,0,1,10,2,1,0,0,0,10,11,5,5,500,
,4042,,10000,0,1,10,2,1,0,0,0,10,11,5,5,700,
,4043,,10000,0,1,10,2,1,0,0,0,10,11,5,5,900,
,4044,,10000,0,1,10,2,1,0,0,0,10,11,5,5,1200,
,4051,,10000,0,1,10,41,0,1,4,0,10,11,31,0,600,
,4052,,10000,0,1,10,41,0,1,4,0,10,11,31,0,900,
,4053,,10000,0,1,10,41,0,1,4,0,10,11,31,0,1200,
,4054,,10000,0,1,10,41,0,1,4,0,10,11,31,0,1500,
,4061,,10000,0,1,10,31,3,1,0,0,10,11,72,0,30,
,4062,,10000,0,1,10,31,3,1,0,0,10,11,72,0,45,
,4063,,10000,0,1,10,31,3,1,0,0,10,11,72,0,60,
,4064,,10000,0,1,10,31,3,1,0,0,10,11,72,0,75,
,4071,,10000,0,1,10,31,1,1,0,0,10,21,102211,1,0,
,4072,,10000,0,1,10,31,1,1,0,0,10,21,102212,1,0,
,4073,,10000,0,1,10,31,1,1,0,0,10,21,102213,1,0,
,4074,,10000,0,1,10,31,1,1,0,0,10,21,102214,1,0,
,4081,,10000,0,1,10,11,72,1,1000,0,10,11,5,5,600,
,4082,,10000,0,1,10,11,72,1,1000,0,10,11,5,5,900,
,4083,,10000,0,1,10,11,72,1,1000,0,10,11,5,5,1200,
,4084,,10000,0,1,10,11,72,1,1000,0,10,11,5,5,1500,
,4091,,10000,0,1,10,1,0,0,0,0,10,11,22,5,1000,
,4092,,10000,0,1,10,1,0,0,0,0,10,11,22,5,1500,
,4093,,10000,0,1,10,1,0,0,0,0,10,11,22,5,2000,
,4094,,10000,0,1,10,1,0,0,0,0,10,11,22,5,2500,
,4101,,10000,0,1,10,44,30,0,0,0,10,21,104711,1,0,
,4102,,10000,0,1,10,44,30,0,0,0,10,21,104712,1,0,
,4103,,10000,0,1,10,44,30,0,0,0,10,21,104713,1,0,
,4104,,10000,0,1,10,44,30,0,0,0,10,21,104714,1,0,
,4111,,10000,3,1,10,51,0,0,0,0,10,99,411101,0,0,
,4112,,10000,3,1,10,51,0,0,0,0,10,99,411201,0,0,
,4113,,10000,3,1,10,51,0,0,0,0,10,99,411301,0,0,
,4114,,10000,3,1,10,51,0,0,0,0,10,99,411401,0,0,
,4121,,10000,0,1,20,67,0,0,0,0,10,11,72,0,800,
,4122,,10000,0,1,20,67,0,0,0,0,10,11,72,0,900,
,4123,,10000,0,1,20,67,0,0,0,0,10,11,72,0,1000,
,4124,,10000,0,1,20,67,0,0,0,0,10,11,72,0,1100,
,4311,,10000,0,1,10,1,0,0,0,0,10,99,431101,431102,0,
,4312,,10000,0,1,10,1,0,0,0,0,10,99,431201,431202,0,
,4313,,10000,0,1,10,1,0,0,0,0,10,99,431301,431302,0,
,4314,,10000,0,1,10,1,0,0,0,0,10,99,431401,431402,0,
,4321,,10000,0,1,10,1,0,0,0,0,10,99,432101,432102,0,
,4322,,10000,0,1,10,1,0,0,0,0,10,99,432201,432202,0,
,4323,,10000,0,1,10,1,0,0,0,0,10,99,432301,432302,0,
,4324,,10000,0,1,10,1,0,0,0,0,10,99,432401,432402,0,
,4331,,10000,0,1,10,1,0,0,0,0,10,99,433101,433102,0,
,4332,,10000,0,1,10,1,0,0,0,0,10,99,433201,433202,0,
,4333,,10000,0,1,10,1,0,0,0,0,10,99,433301,433302,0,
,4334,,10000,0,1,10,1,0,0,0,0,10,99,433401,433402,0,
,4341,,10000,0,1,10,1,0,0,0,0,10,99,434101,434102,0,
,4342,,10000,0,1,10,1,0,0,0,0,10,99,434201,434202,0,
,4343,,10000,0,1,10,1,0,0,0,0,10,99,434301,434302,0,
,4344,,10000,0,1,10,1,0,0,0,0,10,99,434401,434402,0,
,4351,,10000,0,1,10,1,0,0,0,0,10,62,0,1000,0,
,4352,,10000,0,1,10,1,0,0,0,0,10,62,0,1500,0,
,4353,,10000,0,1,10,1,0,0,0,0,10,62,0,2000,0,
,4354,,10000,0,1,10,1,0,0,0,0,10,62,0,2500,0,
,4361,,10000,0,1,10,71,0,0,0,0,10,11,4,5,1500,
,4362,,10000,0,1,10,71,0,0,0,0,10,11,4,5,2200,
,4363,,10000,0,1,10,71,0,0,0,0,10,11,4,5,2900,
,4364,,10000,0,1,10,71,0,0,0,0,10,11,4,5,3700,
,4371,,10000,0,1,10,71,0,0,0,0,10,11,5,5,1500,
,4372,,10000,0,1,10,71,0,0,0,0,10,11,5,5,2200,
,4373,,10000,0,1,10,71,0,0,0,0,10,11,5,5,2900,
,4374,,10000,0,1,10,71,0,0,0,0,10,11,5,5,3700,
,4381,,10000,3,1,10,40,1,0,0,0,10,144,1,400,0,
,4382,,10000,3,1,10,40,1,0,0,0,10,144,1,600,0,
,4383,,10000,3,1,10,40,1,0,0,0,10,144,1,800,0,
,4384,,10000,3,1,10,40,1,0,0,0,10,144,1,1000,0,
,4391,,10000,1,1,20,44,0,0,0,0,10,21,103121,1,0,
,4392,,10000,1,1,20,44,0,0,0,0,10,21,103122,1,0,
,4393,,10000,1,1,20,44,0,0,0,0,10,21,103123,1,0,
,4394,,10000,1,1,20,44,0,0,0,0,10,21,103124,1,0,
,4401,,10000,0,1,10,40,70,0,0,0,20,21,101411,1,0,
,4402,,10000,0,1,10,40,70,0,0,0,20,21,101412,1,0,
,4403,,10000,0,1,10,40,70,0,0,0,20,21,101413,1,0,
,4404,,10000,0,1,10,40,70,0,0,0,20,21,101414,1,0,
,4411,,10000,1,1,30,125,0,30,0,0,30,21,104421,1,0,
,4412,,10000,1,1,30,125,0,30,0,0,30,21,104422,1,0,
,4413,,10000,1,1,30,125,0,30,0,0,30,21,104423,1,0,
,4414,,10000,1,1,30,125,0,30,0,0,30,21,104424,1,0,
,4421,,10000,1,1,30,125,0,30,0,0,10,11,72,0,200,
,4422,,10000,1,1,30,125,0,30,0,0,10,11,72,0,300,
,4423,,10000,1,1,30,125,0,30,0,0,10,11,72,0,400,
,4424,,10000,1,1,30,125,0,30,0,0,10,11,72,0,500,
,4431,,10000,0,1,10,44,70,0,0,0,10,40,0,1,2000,
,4432,,10000,0,1,10,44,70,0,0,0,10,40,0,1,3000,
,4433,,10000,0,1,10,44,70,0,0,0,10,40,0,1,4000,
,4434,,10000,0,1,10,44,70,0,0,0,10,40,0,1,5000,
,4441,,10000,0,1,10,31,2,0,0,0,10,21,104411,1,0,
,4442,,10000,0,1,10,31,2,0,0,0,10,21,104412,1,0,
,4443,,10000,0,1,10,31,2,0,0,0,10,21,104413,1,0,
,4444,,10000,0,1,10,31,2,0,0,0,10,21,104414,1,0,
,4451,,10000,0,1,10,1,0,0,0,0,10,126,6,3000,0,
,4452,,10000,0,1,10,1,0,0,0,0,10,126,6,4500,0,
,4453,,10000,0,1,10,1,0,0,0,0,10,126,6,6000,0,
,4454,,10000,0,1,10,1,0,0,0,0,10,126,6,7500,0,
,4611,,10000,0,1,20,67,0,0,0,0,10,11,72,0,1000,
,4612,,10000,0,1,20,67,0,0,0,0,10,11,72,0,1100,
,4613,,10000,0,1,20,67,0,0,0,0,10,11,72,0,1200,
,4614,,10000,0,1,20,67,0,0,0,0,10,11,72,0,1300,
,4621,,10000,0,1,20,67,0,0,0,0,10,11,22,5,3000,
,4622,,10000,0,1,20,67,0,0,0,0,10,11,22,5,4500,
,4623,,10000,0,1,20,67,0,0,0,0,10,11,22,5,6000,
,4624,,10000,0,1,20,67,0,0,0,0,10,11,22,5,7500,
,4631,,10000,0,1,10,1,0,0,0,0,10,99,463101,463102,0,
,4632,,10000,0,1,10,1,0,0,0,0,10,99,463201,463202,0,
,4633,,10000,0,1,10,1,0,0,0,0,10,99,463301,463302,0,
,4634,,10000,0,1,10,1,0,0,0,0,10,99,463401,463402,0,
,4641,,10000,0,1,10,2,1,0,0,0,10,148,4000,0,0,
,4642,,10000,0,1,10,2,1,0,0,0,10,148,6000,0,0,
,4643,,10000,0,1,10,2,1,0,0,0,10,148,8000,0,0,
,4644,,10000,0,1,10,2,1,0,0,0,10,148,7500,0,0,
,4651,,10000,0,1,10,1,0,0,0,0,10,62,0,1500,0,
,4652,,10000,0,1,10,1,0,0,0,0,10,62,0,2200,0,
,4653,,10000,0,1,10,1,0,0,0,0,10,62,0,2900,0,
,4654,,10000,0,1,10,1,0,0,0,0,10,62,0,3700,0,
,4661,,10000,0,1,10,42,0,1,1,0,10,11,73,5,1800,
,4662,,10000,0,1,10,42,0,1,1,0,10,11,73,5,2700,
,4663,,10000,0,1,10,42,0,1,1,0,10,11,73,5,3600,
,4664,,10000,0,1,10,42,0,1,1,0,10,11,73,5,4500,
,4671,,10000,0,1,10,1,0,0,0,0,10,36,1,1500,0,
,4672,,10000,0,1,10,1,0,0,0,0,10,36,1,2200,0,
,4673,,10000,0,1,10,1,0,0,0,0,10,36,1,2900,0,
,4674,,10000,0,1,10,1,0,0,0,0,10,36,1,3700,0,
,4681,,10000,0,1,10,1,0,0,0,0,10,36,2,1500,0,
,4682,,10000,0,1,10,1,0,0,0,0,10,36,2,2200,0,
,4683,,10000,0,1,10,1,0,0,0,0,10,36,2,2900,0,
,4684,,10000,0,1,10,1,0,0,0,0,10,36,2,3700,0,
,4691,,5000,0,1,10,40,70,0,0,0,10,99,469101,469102,0,
,4692,,7500,0,1,10,40,70,0,0,0,10,99,469201,469202,0,
,4693,,10000,0,1,10,40,70,0,0,0,10,99,469301,469302,0,
,4694,,5000,0,1,10,40,70,0,0,0,10,99,469401,469402,0,
,4701,,10000,0,1,10,44,1,0,0,0,10,21,410401,1,0,
,4702,,10000,0,1,10,44,1,0,0,0,10,21,410402,1,0,
,4703,,10000,0,1,10,44,1,0,0,0,10,21,410403,1,0,
,4704,,7500,0,1,10,40,2,0,0,0,20,40,2,0,1000,
,4711,,3000,0,1,10,44,1,0,0,0,10,23,1,1,0,
,4712,,4500,0,1,10,44,1,0,0,0,10,23,1,1,0,
,4713,,6000,0,1,10,44,1,0,0,0,10,23,1,1,0,
,4714,,7500,0,1,10,44,1,0,0,0,10,23,1,1,0,
,4721,,10000,0,1,10,11,72,1,1000,0,10,11,32,0,1500,
,4722,,10000,0,1,10,11,72,1,1000,0,10,11,32,0,2200,
,4723,,10000,0,1,10,11,72,1,1000,0,10,11,32,0,3000,
,4724,,10000,0,1,10,11,72,2,1000,0,10,11,32,0,4500,
,4731,,10000,0,1,10,11,73,2,3000,0,10,11,32,0,2000,
,4732,,10000,0,1,10,11,73,2,3000,0,10,11,32,0,3000,
,4733,,10000,0,1,10,11,73,2,3000,0,10,11,32,0,4000,
,4734,,10000,0,1,10,11,73,2,3000,0,10,11,32,0,5000,
,4741,,10000,0,1,30,63,0,1,2,0,10,99,474101,0,0,
,4742,,10000,0,1,30,63,0,1,2,0,10,99,474201,0,0,
,4743,,10000,0,1,30,63,0,1,2,0,10,99,474301,0,0,
,4744,,10000,0,1,30,63,0,1,2,0,10,99,474401,0,0,
,4751,,2000,0,1,10,44,70,0,0,0,10,40,70,6,5000,
,4752,,3000,0,1,10,44,70,0,0,0,10,40,70,6,5000,
,4753,,4000,0,1,10,44,70,0,0,0,10,40,70,6,5000,
,4754,,5000,0,1,10,44,70,0,0,0,10,40,70,6,5000,
,4761,,2000,1,1,30,40,80,0,0,0,10,40,80,6,5000,
,4762,,3000,1,1,30,40,80,0,0,0,10,40,80,6,5000,
,4763,,4000,1,1,30,40,80,0,0,0,10,40,80,6,5000,
,4764,,5000,1,1,30,40,80,0,0,0,10,40,80,6,5000,
,4771,,4000,1,1,30,39,80,0,0,0,30,39,10000,0,0,
,4772,,6000,1,1,30,39,80,0,0,0,30,39,10000,0,0,
,4773,,8000,1,1,30,39,80,0,0,0,30,39,10000,0,0,
,4774,,5000,1,1,30,39,80,0,0,0,30,39,10000,0,0,
,4781,,10000,0,1,20,11,73,2,3000,0,10,99,478101,478102,0,
,4782,,10000,0,1,20,11,73,2,3000,0,10,99,478201,478202,0,
,4783,,10000,0,1,20,11,73,2,3000,0,10,99,478301,478302,0,
,4784,,10000,0,1,20,11,73,2,3000,0,10,99,478401,478402,0,
,4791,,10000,1,1,10,112,0,0,0,0,10,11,72,0,80,
,4792,,10000,1,1,10,112,0,0,0,0,10,11,72,0,120,
,4793,,10000,1,1,10,112,0,0,0,0,10,11,72,0,160,
,4801,,10000,0,1,10,40,0,0,0,0,10,99,480101,480102,0,
,4802,,10000,0,1,10,40,0,0,0,0,10,99,480201,480202,0,
,4803,,10000,0,1,10,40,0,0,0,0,10,99,480301,480302,0,
,4811,,5000,1,1,20,125,0,0,0,0,10,40,4,6,3000,
,4812,,7500,1,1,20,125,0,0,0,0,10,40,4,6,3000,
,4813,,10000,1,1,20,125,0,0,0,0,10,40,4,6,3000,
,4831,,10000,0,1,10,12,50,0,0,0,10,11,72,0,500,
,4832,,10000,0,1,10,12,50,0,0,0,10,11,72,0,750,
,4833,,10000,0,1,10,12,50,0,0,0,10,11,72,0,1000,
,5011,,10000,0,0,10,1,0,0,0,0,10,11,13,0,800,
,5012,,10000,0,0,10,1,0,0,0,0,10,11,13,0,1200,
,5013,,10000,0,0,10,1,0,0,0,0,10,11,13,0,1600,
,5014,,10000,0,0,10,1,0,0,0,0,10,11,13,0,2000,
,5015,,10000,0,0,10,1,0,0,0,0,10,11,13,0,2400,
,5021,,10000,0,0,10,1,0,0,0,0,10,31,1,500,0,
,5022,,10000,0,0,10,1,0,0,0,0,10,31,1,700,0,
,5023,,10000,0,0,10,1,0,0,0,0,10,31,1,900,0,
,5024,,10000,0,0,10,1,0,0,0,0,10,31,1,1200,0,
,5025,,10000,0,0,10,1,0,0,0,0,10,31,1,1500,0,
,5031,,10000,0,0,10,1,0,0,0,0,10,31,2,500,0,
,5032,,10000,0,0,10,1,0,0,0,0,10,31,2,700,0,
,5033,,10000,0,0,10,1,0,0,0,0,10,31,2,900,0,
,5034,,10000,0,0,10,1,0,0,0,0,10,31,2,1200,0,
,5035,,10000,0,0,10,1,0,0,0,0,10,31,2,1500,0,
,5041,,10000,0,0,10,1,0,0,0,0,10,156,1000,0,0,
,5042,,10000,0,0,10,1,0,0,0,0,10,156,1500,0,0,
,5043,,10000,0,0,10,1,0,0,0,0,10,156,2000,0,0,
,5044,,10000,0,0,10,1,0,0,0,0,10,156,2500,0,0,
,5045,,10000,0,0,10,1,0,0,0,0,10,156,3000,0,0,
,5051,,10000,0,0,10,40,0,0,0,0,10,151,500,0,0,
,5052,,10000,0,0,10,40,0,0,0,0,10,151,700,0,0,
,5053,,10000,0,0,10,40,0,0,0,0,10,151,900,0,0,
,5054,,10000,0,0,10,40,0,0,0,0,10,151,1200,0,0,
,5055,,10000,0,0,10,40,0,0,0,0,10,151,1500,0,0,
,5061,,10000,0,0,10,40,0,0,0,0,10,54,500,10,0,
,5062,,10000,0,0,10,40,0,0,0,0,10,54,700,10,0,
,5063,,10000,0,0,10,40,0,0,0,0,10,54,900,10,0,
,5064,,10000,0,0,10,40,0,0,0,0,10,54,1200,10,0,
,5065,,10000,0,0,10,40,0,0,0,0,10,56,1500,10,0,
,5071,,10000,0,0,10,32,1,73,0,0,10,34,10100,10800,10,
,5072,,10000,0,0,10,32,1,73,0,0,10,34,10100,11200,10,
,5073,,10000,0,0,10,32,1,73,0,0,10,34,10100,11600,10,
,5074,,10000,0,0,10,32,1,73,0,0,10,34,10100,12000,10,
,5075,,10000,0,0,10,32,1,73,0,0,10,34,10100,12400,10,
,5081,,10000,0,0,10,1,0,0,0,0,10,99,508101,508102,508103,
,5082,,10000,0,0,10,1,0,0,0,0,10,99,508201,508202,508203,
,5083,,10000,0,0,10,1,0,0,0,0,10,99,508301,508302,508303,
,5084,,10000,0,0,10,1,0,0,0,0,10,99,508401,508402,508403,
,5085,,10000,0,0,10,1,0,0,0,0,10,99,508501,508502,508503,
,5091,,10000,0,0,10,1,0,0,0,0,10,99,509101,509102,509103,
,5092,,10000,0,0,10,1,0,0,0,0,10,99,509201,509202,509203,
,5093,,10000,0,0,10,1,0,0,0,0,10,99,509301,509302,509303,
,5094,,10000,0,0,10,1,0,0,0,0,10,99,509401,509402,509403,
,5095,,10000,0,0,10,1,0,0,0,0,10,99,509501,509502,509503,
,5101,,10000,0,0,20,32,1,73,0,0,10,33,10100,10800,10,1
,5102,,10000,0,0,20,32,1,73,0,0,10,33,10100,11200,10,1
,5103,,10000,0,0,20,32,1,73,0,0,10,33,10100,11600,10,1
,5104,,10000,0,0,20,32,1,73,0,0,10,33,10100,12000,10,1
,5105,,10000,0,0,20,32,1,73,0,0,10,33,10100,12400,10,1
,5111,,10000,0,0,20,32,1,73,0,0,10,33,10100,10800,10,2
,5112,,10000,0,0,20,32,1,73,0,0,10,33,10100,11200,10,2
,5113,,10000,0,0,20,32,1,73,0,0,10,33,10100,11600,10,2
,5114,,10000,0,0,20,32,1,73,0,0,10,33,10100,12000,10,2
,5115,,10000,0,0,20,32,1,73,0,0,10,33,10100,12400,10,2
,5121,,10000,0,0,10,11,72,1,2000,0,10,31,0,1000,0,
,5122,,10000,0,0,10,11,72,1,2000,0,10,31,0,1500,0,
,5123,,10000,0,0,10,11,72,1,2000,0,10,31,0,2000,0,
,5124,,10000,0,0,10,11,72,1,2000,0,10,31,0,2500,0,
,5125,,10000,0,0,10,11,72,1,2000,0,10,31,0,3000,0,
,5211,,10000,0,0,10,1,0,0,0,0,10,11,13,0,1500,
,5212,,10000,0,0,10,1,0,0,0,0,10,11,13,0,2200,
,5213,,10000,0,0,10,1,0,0,0,0,10,11,13,0,2900,
,5214,,10000,0,0,10,1,0,0,0,0,10,11,13,0,3700,
,5215,,10000,0,0,10,1,0,0,0,0,10,11,13,0,4500,
,5221,,10000,0,0,10,1,0,0,0,0,10,31,1,1000,0,
,5222,,10000,0,0,10,1,0,0,0,0,10,31,1,1500,0,
,5223,,10000,0,0,10,1,0,0,0,0,10,31,1,2000,0,
,5224,,10000,0,0,10,1,0,0,0,0,10,31,1,2500,0,
,5225,,10000,0,0,10,1,0,0,0,0,10,31,1,3000,0,
,5231,,10000,0,0,10,1,0,0,0,0,10,31,2,1000,0,
,5232,,10000,0,0,10,1,0,0,0,0,10,31,2,1500,0,
,5233,,10000,0,0,10,1,0,0,0,0,10,31,2,2000,0,
,5234,,10000,0,0,10,1,0,0,0,0,10,31,2,2500,0,
,5235,,10000,0,0,10,1,0,0,0,0,10,31,2,3000,0,
,5241,,10000,0,0,10,1,0,0,0,0,10,11,14,0,1500,
,5242,,10000,0,0,10,1,0,0,0,0,10,11,14,0,2200,
,5243,,10000,0,0,10,1,0,0,0,0,10,11,14,0,2900,
,5244,,10000,0,0,10,1,0,0,0,0,10,11,14,0,3700,
,5245,,10000,0,0,10,1,0,0,0,0,10,11,14,0,4500,
,5251,,10000,0,0,10,44,0,0,0,0,10,21,103111,1,0,
,5252,,10000,0,0,10,44,0,0,0,0,10,21,103112,1,0,
,5253,,10000,0,0,10,44,0,0,0,0,10,21,103113,1,0,
,5254,,10000,0,0,10,44,0,0,0,0,10,21,103114,1,0,
,5255,,10000,0,0,10,44,0,0,0,0,10,21,103115,1,0,
,5261,,3000,0,0,10,1,0,0,0,0,10,11,73,0,150,
,5262,,4500,0,0,10,1,0,0,0,0,10,11,73,0,150,
,5263,,6000,0,0,10,1,0,0,0,0,10,11,73,0,150,
,5264,,7500,0,0,10,1,0,0,0,0,10,11,73,0,150,
,5265,,9000,0,0,10,1,0,0,0,0,10,11,73,0,150,
,5271,,10000,0,0,10,1,0,0,0,0,10,161,1200,0,0,
,5272,,10000,0,0,10,1,0,0,0,0,10,161,1800,0,0,
,5273,,10000,0,0,10,1,0,0,0,0,10,161,2400,0,0,
,5274,,10000,0,0,10,1,0,0,0,0,10,161,3000,0,0,
,5275,,10000,0,0,10,1,0,0,0,0,10,161,3600,0,0,
,5281,,10000,0,0,20,24,1008,1,1,0,10,11,13,0,1800,
,5282,,10000,0,0,20,24,1008,1,1,0,10,11,13,0,2700,
,5283,,10000,0,0,20,24,1008,1,1,0,10,11,13,0,3600,
,5284,,10000,0,0,20,24,1008,1,1,0,10,11,13,0,4500,
,5285,,10000,0,0,20,24,1008,1,1,0,10,11,13,0,5400,
,5291,,10000,0,0,10,11,72,1,200,0,10,99,529101,529102,0,
,5292,,10000,0,0,10,11,72,1,200,0,10,99,529201,529202,0,
,5293,,10000,0,0,10,11,72,1,200,0,10,99,529301,529302,0,
,5294,,10000,0,0,10,11,72,1,200,0,10,99,529401,529402,0,
,5295,,10000,0,0,10,11,72,1,200,0,10,99,529501,529502,0,
,5301,,10000,0,0,10,1,0,0,0,0,40,99,530101,530102,0,
,5302,,10000,0,0,10,1,0,0,0,0,40,99,530201,530202,0,
,5303,,10000,0,0,10,1,0,0,0,0,40,99,530301,530302,0,
,5304,,10000,0,0,10,1,0,0,0,0,40,99,530401,530402,0,
,5305,,10000,0,0,10,1,0,0,0,0,40,99,530501,530502,0,
,5311,,10000,0,0,10,1,0,0,0,0,40,99,531101,531102,0,
,5312,,10000,0,0,10,1,0,0,0,0,40,99,531201,531202,0,
,5313,,10000,0,0,10,1,0,0,0,0,40,99,531301,531302,0,
,5314,,10000,0,0,10,1,0,0,0,0,40,99,531401,531402,0,
,5315,,10000,0,0,10,1,0,0,0,0,40,99,531501,531502,0,
