,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,repeated,optional,optional,repeated,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
对敌方单体造成N%物理伤害，并有100%几率对其施加虚弱状态。,102105,虚弱,1021,0,0,0,23,1,0,10000,1,1021,1,0,,0,0,0,6,2,500,6,3,500,0,0,0
格挡率提升20%，持续5招。不可叠加。,102201,,1022,1,0,0,13,5,0,10000,0,0,1,0,,0,0,0,0,16,2000,0,0,0,0,0,0
"格挡提升5%,持续4招，叠加不限",102211,刃卫,1022,1,0,0,13,4,0,10000,0,,0,0,,0,0,0,0,16,500,0,0,0,0,0,0
"格挡提升7%,持续4招，叠加不限",102212,刃卫,1022,1,0,0,13,4,0,10000,0,,0,0,,0,0,0,0,16,700,0,0,0,0,0,0
"格挡提升9%,持续4招，叠加不限",102213,刃卫,1022,1,0,0,13,4,0,10000,0,,0,0,,0,0,0,0,16,900,0,0,0,0,0,0
"格挡提升12%,持续4招，叠加不限",102214,刃卫,1022,1,0,0,13,4,0,10000,0,,0,0,,0,0,0,0,16,1200,0,0,0,0,0,0
每次攻击恢复200点奥义值，持续到本轮攻击结束。不可叠加。,102301,,1023,1,0,0,23,0,0,10000,0,0,1,0,10233,0,0,0,0,16,2000,0,0,0,0,0,0
受治疗量降低100%，持续到对方攻击结束。不可叠加。,102401,诅咒,1024,0,0,0,23,2,0,10000,1,1024,1,0,10339,0,0,0,0,0,0,0,0,0,0,0,0
受治疗量降低100%，持续到对方攻击结束。不可叠加。,102402,,1024,0,0,0,23,1,0,3000,1,1024,1,0,10339,0,0,0,0,0,0,0,0,0,0,0,0
受治疗量降低100%,102403,诅咒,1024,0,0,0,23,1,0,10000,1,1024,1,0,10339,0,0,0,0,0,0,0,0,0,0,0,0
闪避率提升10%，永久持续。最多2层。,102501,,1025,1,0,0,0,0,0,10000,0,0,2,0,,0,0,0,0,12,1000,0,0,0,0,0,0
闪避率提升5%，持续1回合。不可叠加,102502,闪避,1025,1,0,0,23,1,0,10000,0,,2,0,,0,0,0,0,12,500,0,0,0,0,0,0
闪避率提升10%，持续1回合。不可叠加,102503,闪避,1025,1,0,0,23,1,0,10000,0,,2,0,,0,0,0,0,12,1000,0,0,0,0,0,0
伤害提升10%，持续4招。不可叠加。,102601,,1026,1,0,0,13,4,0,10000,0,0,1,0,,0,0,0,0,31,1500,0,0,0,0,0,0
攻击力降低5%，永久持续。最多5层。,102701,,1027,0,0,0,0,0,0,10000,1,0,5,0,,0,0,0,6,2,500,6,3,500,0,0,0
魔法防御降低1点，,102801,,1028,0,0,0,0,0,0,10000,1,0,1,0,,0,0,0,1,5,1,0,0,0,0,0,0
【技能2】获得护盾提升100%，【技能1】、【技能3】、【技能4】伤害提升50%，持续1招。不可叠加。,102901,沉蓄,1029,1,0,0,13,1,0,10000,0,,1,0,10401;10402;10403;10404;10410,0,0,0,0,0,0,0,0,0,0,0,0
使用【技能2】和【技能3】将会重置【技能1】的冷却时间并使伤害提升30%，持续到本轮攻击结束。不可叠加。,103001,,1030,1,0,0,23,0,0,10000,0,0,1,0,10715;10716,0,0,0,0,31,3000,0,0,0,0,0,0
暴击率提升30%，持续到本轮攻击结束。不可叠加。,103101,,1031,1,0,0,23,0,0,10000,0,0,1,0,,0,0,0,0,13,3000,0,0,0,0,0,0
暴击率提升10%，持续到下个技能，不可叠加,103102,暴击,1031,1,0,0,13,1,0,10000,0,,1,0,,0,0,0,0,13,1000,0,0,0,0,0,0
暴击率提升10%，持续3招，不可叠加,103103,暴击,1031,1,0,0,13,3,0,10000,0,,1,0,,0,0,0,0,13,1000,0,0,0,0,0,0
暴击率提升20%，持续3招，不可叠加,103104,暴击,1031,1,0,0,13,3,0,10000,0,,1,0,,0,0,0,0,13,2000,0,0,0,0,0,0
"暴击提升15%,持续到下一技能",103111,暴击,1031,1,0,0,13,1,0,10000,0,,1,0,,0,0,0,0,13,1500,0,0,0,0,0,0
"暴击提升22%,持续到下一技能",103112,暴击,1031,1,0,0,13,1,0,10000,0,,1,0,,0,0,0,0,13,2200,0,0,0,0,0,0
"暴击提升29%,持续到下一技能",103113,暴击,1031,1,0,0,13,1,0,10000,0,,1,0,,0,0,0,0,13,2900,0,0,0,0,0,0
"暴击提升37%,持续到下一技能",103114,暴击,1031,1,0,0,13,1,0,10000,0,,1,0,,0,0,0,0,13,2700,0,0,0,0,0,0
"暴击提升45%,持续到下一技能",103115,暴击,1031,1,0,0,13,1,0,10000,0,,1,0,,0,0,0,0,13,4500,0,0,0,0,0,0
"暴击提升2%,持续1回合，最高5层",103121,暴击,1031,1,0,0,23,1,0,10000,0,,5,0,,0,0,0,0,13,200,0,0,0,0,0,0
"暴击提升3%,持续1回合，最高5层",103122,暴击,1031,1,0,0,23,1,0,10000,0,,5,0,,0,0,0,0,13,300,0,0,0,0,0,0
"暴击提升4%,持续1回合，最高5层",103123,暴击,1031,1,0,0,23,1,0,10000,0,,5,0,,0,0,0,0,13,400,0,0,0,0,0,0
"暴击提升5%,持续1回合，最高5层",103124,暴击,1031,1,0,0,23,1,0,10000,0,,5,0,,0,0,0,0,13,500,0,0,0,0,0,0
暴击伤害提升30%，持续到本轮攻击结束。不可叠加。,103201,暴击,1032,1,0,0,23,1,0,10000,0,,1,0,,0,0,0,0,13,3000,0,0,0,0,0,0
暴击伤害提升30%，持续到下个技能,103202,暴击,1032,1,0,0,13,1,0,10000,0,,1,0,,0,0,0,0,13,3000,0,0,0,0,0,0
无法进行援护，持续到本轮攻击结束。不可叠加。,103301,,1033,0,0,0,23,0,0,10000,1,0,1,0,10213,0,0,0,0,0,0,0,0,0,0,0,0
【技能1】无法使用，持续20招。不可叠加。,103401,,1034,0,0,0,23,1,0,10000,1,0,1,0,10608,0,0,0,0,0,0,0,0,0,0,0,0
【技能2】无法使用，持续20招。不可叠加。,103501,,1035,0,0,0,23,1,0,10000,1,0,1,0,10609,0,0,0,0,0,0,0,0,0,0,0,0
【技能3】无法使用，持续20招。不可叠加。,103601,,1036,0,0,0,23,1,0,10000,1,0,1,0,10610,0,0,0,0,0,0,0,0,0,0,0,0
【技能4】无法使用，持续20招。不可叠加。,103701,,1037,0,0,0,23,1,0,10000,1,0,1,0,10611,0,0,0,0,0,0,0,0,0,0,0,0
命中率与闪避率降低10%，持续到本轮攻击结束。不可叠加。,103801,,1038,0,0,0,23,1,0,10000,1,0,1,0,,0,0,0,1,11,1000,1,12,1000,0,0,0
命中率与闪避率降低15%，持续到本轮攻击结束。不可叠加。,103802,黑暗,1038,0,0,0,23,1,0,10000,1,,1,0,,0,0,0,1,11,1500,1,12,1500,0,0,0
下个技能的暴击率额外提升30%，持续1招。不可叠加。,103901,暴击buff,1039,1,0,0,13,1,0,10000,0,1039,1,0,,0,0,0,0,13,4000,0,0,0,0,0,0
暴击率提升5%，持续到本轮攻击结束。可叠加，层数不限。,104001,暴击,1040,1,0,0,23,1,0,10000,0,,0,0,,0,0,0,0,13,500,0,0,0,0,0,0
每次单体技能暴击时，对所有场下的敌方造成等同技能伤害50%的伤害，并扣除1层刃翼之刻，永久持续。叠加型印记。,104101,伤害溅射,1041,1,0,0,0,0,0,10000,0,,10,0,,0,0,0,0,0,0,0,0,0,0,0,0
魔法防御降低50%，持续20招，不可叠加。,104201,布偶娃娃,1042,0,0,0,13,20,0,10000,1,,1,0,,0,0,0,6,5,5000,0,0,0,0,0,0
魔法攻击力提升1%，永久持续。可叠加，最多15层。,104301,神秘魔法,1043,1,0,0,0,0,0,10000,0,,15,0,,0,0,0,5,3,100,0,0,0,0,0,0
魔法攻击力提升1%，永久持续。可叠加，最多20层。,104302,神秘魔法,1043,1,0,0,0,0,0,10000,0,,20,0,,0,0,0,5,3,100,0,0,0,0,0,0
造成的伤害提升10%，持续3轮攻击。可叠加，层数不限。,104401,增伤buff,1044,1,0,0,23,3,0,10000,0,,0,0,,0,0,0,0,31,1500,0,0,0,0,0,0
"增伤2%,持续20招，最高5层",104411,全场欢呼,1044,1,0,0,13,20,0,10000,0,,5,0,,0,0,0,0,31,200,0,0,0,0,0,0
"增伤3%,持续20招，最高5层",104412,全场欢呼,1044,1,0,0,13,20,0,10000,0,,5,0,,0,0,0,0,31,300,0,0,0,0,0,0
"增伤4%,持续20招，最高5层",104413,全场欢呼,1044,1,0,0,13,20,0,10000,0,,5,0,,0,0,0,0,31,400,0,0,0,0,0,0
"增伤5%,持续20招，最高5层",104414,全场欢呼,1044,1,0,0,13,20,0,10000,0,,5,0,,0,0,0,0,31,500,0,0,0,0,0,0
"增伤10%,持续10招，不可叠加",104421,全场欢呼,1044,1,0,0,13,10,0,10000,0,,1,0,,0,0,0,0,31,1000,0,0,0,0,0,0
"增伤15%,持续10招，不可叠加",104422,全场欢呼,1044,1,0,0,13,10,0,10000,0,,1,0,,0,0,0,0,31,1500,0,0,0,0,0,0
"增伤20%,持续10招，不可叠加",104423,全场欢呼,1044,1,0,0,13,10,0,10000,0,,1,0,,0,0,0,0,31,2000,0,0,0,0,0,0
"增伤25%,持续10招，不可叠加",104424,全场欢呼,1044,1,0,0,13,10,0,10000,0,,1,0,,0,0,0,0,31,2500,0,0,0,0,0,0
重击增幅,104501,重击增幅,1045,1,0,0,11,1,0,10000,0,,1,0,,0,0,0,0,31,4000,0,0,0,0,0,0
增加3%暴击率和5%暴击伤害，持续20招。可叠加，最多10层。,104601,嗜血,1046,1,0,0,13,20,0,10000,2,,10,0,,0,0,0,0,13,300,0,14,500,0,0,0
增加3%暴击率和5%暴击伤害，持续20招。可叠加，最多10层。,104602,嗜血,1046,1,0,0,13,20,0,5000,2,,10,0,,0,0,0,0,13,300,0,14,500,0,0,0
,104603,嗜血,1046,1,0,0,13,20,0,5000,0,,20,0,,0,0,0,0,13,300,0,14,500,0,0,0
"闪避提升6%,持续3招，不可叠加",104711,闪避,1047,1,0,0,13,3,0,10000,0,,1,0,,0,0,0,0,12,600,0,0,0,0,0,0
"闪避提升9%,持续3招，不可叠加",104712,闪避,1047,1,0,0,13,3,0,10000,0,,1,0,,0,0,0,0,12,900,0,0,0,0,0,0
"闪避提升12%,持续3招，不可叠加",104713,闪避,1047,1,0,0,13,3,0,10000,0,,1,0,,0,0,0,0,12,1200,0,0,0,0,0,0
"闪避提升15%,持续3招，不可叠加",104714,闪避,1047,1,0,0,13,3,0,10000,0,,1,0,,0,0,0,0,12,1500,0,0,0,0,0,0
永久持续，上限6层,104811,思念之风,1048,1,0,0,0,0,0,10000,0,,6,0,,0,0,0,0,12,600,0,0,0,0,0,0
"被暴击率提高20%,持续5招",104901,冻结,1049,0,0,0,13,5,0,10000,1,1049,1,0,,0,0,0,1,15,2000,0,0,0,0,0,0
25%几率对其施加中毒状态。,105001,中毒,1050,0,0,0,13,5,0,10000,1,1014;1015,1,0,,5000,0,0,0,0,0,0,0,0,0,0,0
,106001,奥义伤害,1060,1,0,0,23,0,0,10000,0,,1,0,20145,0,0,0,0,0,0,0,0,0,0,0,0
,106101,,1061,1,0,0,23,0,0,10000,0,,1,0,,0,0,0,0,31,2500,0,0,0,0,0,0
,106201,禁锢,1062,0,0,0,23,0,0,10000,1,,1,0,10407;10408,0,0,0,0,0,0,0,0,0,0,0,0
倒计时1回合后消失并复活，复活时获得20%生命上限的生命值。,110001,复活,1100,1100,0,0,0,23,1,0,10000,0,0,1,0,0,1000,1,0,0,0,0,0,0,0,0,0
禁用敌人的援护技能，持续1回合。期间如果携带者死亡，则寄生之卵孵化，蜘蛛女王会以20%的生命复活；状态结束时携带者没有死亡，则寄生之卵爆裂，对携带者造成蜘蛛女王生命上限N%的伤害,110101,寄生之卵,1101,0,0,0,23,1,0,10000,1,,1,0,11610,0,0,0,0,0,0,0,0,0,0,0,0
可使【技能4】的火球数目增加，永久持续。叠加型印记，最多4层。,200101,,2001,1,0,0,0,0,0,10000,2,0,4,0,,0,0,0,0,0,0,0,0,0,0,0,0
命中率降低10%，持续4招。不可叠加。,101301,,1013,0,0,0,13,4,0,10000,1,0,4,0,,0,0,0,1,11,1000,0,0,0,0,0,0
所有技能额外造成30%无视防御的伤害，持续到本轮攻击结束。不可叠加。,100701,,1007,1,0,0,23,0,0,10000,0,0,1,0,30203,0,0,0,0,0,0,0,0,0,0,0,0
可使【技能4】的火球数目增加，永久持续。叠加型印记，最多4层。,200102,,2001,1,0,0,0,0,0,4000,2,0,4,0,,0,0,0,0,0,0,0,0,0,0,0,0
持有裂伤状态时，所受攻击伤害降低10%，永久持续。不可叠加型印记。,200201,,2002,1,0,0,0,0,0,10000,2,0,1,0,10301,0,0,0,0,0,0,0,0,0,0,0,0
持续损失生命值，持续10招。不可叠加。,100801,,1008,0,0,0,13,10,0,10000,1,1008;1016,1,0,,1000,0,0,0,0,0,0,0,0,0,0,0
每拥有一个负面状态，伤害提升10%，永久持续。不可叠加型印记。,200301,,2003,1,0,0,0,0,0,10000,2,0,1,0,10305,0,0,0,0,0,0,0,0,0,0,0,0
自身治疗量降低100%，所有攻击技能伤害提升20%，永久持续。不可叠加型印记。,200401,,2004,1,0,0,0,0,0,10000,2,0,1,0,10308;10309,0,0,0,0,0,0,0,0,0,0,0,0
反弹30%伤害，持续10招，不可叠加。,100901,,1009,1,0,0,13,10,0,10000,0,0,1,0,10432,0,0,0,0,0,0,0,0,0,0,0,0
无法使用辅助技和进行援护，持续到本轮攻击结束。不可叠加。,101001,,1010,0,0,0,13,10,0,10000,1,0,1,0,10407;10408,0,0,0,0,0,0,0,0,0,0,0,0
每层使治疗效果提升3%，永久持续。叠加型印记，最多10层。,200501,,2005,1,0,0,0,0,0,10000,2,0,10,0,,0,0,0,0,0,0,0,0,0,0,0,0
每层使治疗效果提升3%，永久持续。叠加型印记，最多10层。,200502,,2005,1,0,0,0,0,0,5000,2,0,10,0,,0,0,0,0,0,0,0,0,0,0,0,0
可使乔伊的所有技能触发额外效果，永久持续。叠加型印记，最多3层。,200902,,2009,1,0,0,0,0,0,3000,2,0,3,0,,0,0,0,0,0,0,0,0,0,0,0,0
,200903,暗龙印记,2009,1,0,0,0,0,0,10000,2,,5,0,,0,0,0,0,0,0,0,0,0,0,0,0
物理攻击与物理防御提升5%，永久持续。不可叠加型印记。,201001,,2010,1,0,0,0,0,0,10000,2,0,3,0,,0,0,0,5,4,500,5,2,500,0,0,0
每层使暴击率提升3%，永久持续。叠加型印记。,201101,寒霜祭典,2011,1,0,0,0,0,0,10000,2,,15,0,,0,0,0,0,13,300,0,0,0,0,0,0
每层使暴击率提升4%，永久持续。叠加型印记。,201102,寒霜祭典,2011,1,0,0,0,0,0,10000,2,,15,0,,0,0,0,0,13,400,0,0,0,0,0,0
每层使暴击率提升6%，永久持续。叠加型印记。,201103,寒霜祭典,2011,1,0,0,0,0,0,10000,2,,15,0,,0,0,0,0,13,600,0,0,0,0,0,0
每层使暴击率提升8%，永久持续。叠加型印记。,201104,寒霜祭典,2011,1,0,0,0,0,0,10000,2,,15,0,,0,0,0,0,13,800,0,0,0,0,0,0
每层使暴击率提升10%，永久持续。叠加型印记。,201105,寒霜祭典,2011,1,0,0,0,0,0,10000,2,,15,0,,0,0,0,0,13,1000,0,0,0,0,0,0
物理防御提升1%，永久持续。不可叠加型印记。,201201,,2012,1,0,0,0,0,0,10000,2,0,1,0,,0,0,0,5,4,100,0,0,0,0,0,0
物理防御提升2%，永久持续。不可叠加型印记。,201202,,2012,1,0,0,0,0,0,10000,2,0,1,0,,0,0,0,5,4,200,0,0,0,0,0,0
物理防御提升5%，永久持续。不可叠加型印记。,201203,,2012,1,0,0,0,0,0,10000,2,0,1,0,,0,0,0,5,4,500,0,0,0,0,0,0
每叠加5层额外造成1次50%无视防御的伤害，并扣除5层该印记，永久持续。叠加型印记。,201301,,2013,0,0,0,0,0,0,10000,2,0,10,0,,5000,5,0,0,0,0,0,0,0,0,0,0
每叠加5层额外造成1次50%无视防御的伤害，并扣除5层该印记，永久持续。叠加型印记。,201302,,2013,0,0,0,0,0,0,5000,2,0,10,0,,5000,5,0,0,0,0,0,0,0,0,0,0
每叠加5层额外造成1次75%无视防御的伤害且回复伤害30%生命值，并扣除5层该印记，永久持续。叠加型印记。,201303,飞镖印记,2013,0,0,0,0,0,0,10000,2,,10,0,,9000,5,5000,0,0,0,0,0,0,0,0,0
每叠加5层额外造成1次75%无视防御的伤害且回复伤害30%生命值，并扣除5层该印记，永久持续。叠加型印记。,201304,飞镖印记,2013,0,0,0,0,0,0,5000,2,,10,0,,9000,5,5000,0,0,0,0,0,0,0,0,0
可使该隐的【技能1】和【技能4】触发额外效果，永久持续。不可叠加型印记。,201401,,2014,1,0,0,0,0,0,10000,2,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
可使该隐的【技能2】和【技能4】触发额外效果，永久持续。不可叠加型印记。,201501,,2015,1,0,0,0,0,0,10000,2,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
可使该隐的【技能3】和【技能4】触发额外效果，永久持续。不可叠加型印记。,201601,,2016,1,0,0,0,0,0,10000,2,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
可使该隐的【技能3】和【技能4】触发额外效果，永久持续。不可叠加型印记。,201701,,2017,1,0,0,0,0,0,10000,2,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
每层使暴击率提升3%，永久持续。叠加型印记，最多10层。,201801,,2018,1,0,0,0,0,0,10000,2,0,10,0,,0,0,0,0,13,200,0,0,0,0,0,0
每层使暴击率提升3%，永久持续。叠加型印记，最多10层。,201802,,2018,1,0,0,0,0,0,5000,2,0,10,0,,0,0,0,0,13,200,0,0,0,0,0,0
获得红牌时恢复生命（技能1效果）,201901,红牌,2019,1,0,0,0,0,0,10000,2,,15,0,,0,0,0,0,0,0,0,0,0,0,0,0
获得黑牌时恢复奥义（技能1效果）,202001,黑牌,2020,1,0,0,0,0,0,10000,2,,15,0,,0,0,0,0,0,0,0,0,0,0,0,0
获得鬼牌时重置技能2cd（技能1效果）,202101,鬼牌,2021,1,0,0,0,0,0,10000,2,,15,0,,0,0,0,0,0,0,0,0,0,0,0,0
"每叠加10层造成1次冻结状态,并扣除10层寒霜印记,永久持续",202201,寒霜印记,2022,0,0,0,0,0,0,10000,2,,20,0,,10,1049,0,0,0,0,0,0,0,0,0,0
"每叠加10层造成1次冻结状态,并扣除10层寒霜印记,永久持续",202202,寒霜印记,2022,0,0,0,0,0,0,5000,2,,20,0,,10,1049,0,0,0,0,0,0,0,0,0,0
每次造成伤害时，消耗一层冰雪之心，恢复自身等同魔法攻击30%的生命值。,202301,冰雪之心,2023,1,0,0,0,0,0,10000,2,,10,0,,0,0,0,0,0,0,0,0,0,0,0,0
,203001,指令,2030,1,0,0,13,1,0,10000,2,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
葛莱蒂丝使用【技能1】、【技能3】与【奥义技】时所需，除葛莱蒂丝技能消耗外，不会因其它方式被消除，永久持续。叠加型印记，最多10枚。,300001,,3000,1,0,0,0,0,0,10000,2,0,10,0,,0,0,0,0,0,0,0,0,0,0,0,0
葛莱蒂丝使用【技能1】、【技能3】与【奥义技】时所需，除葛莱蒂丝技能消耗外，不会因其它方式被消除，永久持续。叠加型印记，最多10枚。,300002,,3000,1,0,0,0,0,0,5000,2,0,10,0,,0,0,0,0,0,0,0,0,0,0,0,0
无法进行援护，持续到敌方攻击结束。不可叠加。,101201,,1012,0,0,0,23,1,0,10000,1,0,1,0,10613,0,0,0,0,0,0,0,0,0,0,0,0
物理防御与魔法防御提升200点，持续到本轮攻击结束。不可叠加。,400101,,4001,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,0,4,200,0,5,200,0,0,0
物理防御与魔法防御提升350点，持续到本轮攻击结束。不可叠加。,400102,,4001,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,0,4,350,0,5,350,0,0,0
物理防御与魔法防御提升500点，持续到本轮攻击结束。不可叠加。,400103,,4001,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,0,4,500,0,5,500,0,0,0
物理防御与魔法防御提升700点，持续到本轮攻击结束。不可叠加。,400104,,4001,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,0,4,700,0,5,700,0,0,0
物理防御与魔法防御提升1000点，持续到本轮攻击结束。不可叠加。,400105,,4001,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,0,4,1000,0,5,1000,0,0,0
物理防御与魔法防御提升5%，持续到本轮攻击结束。不可叠加。,400201,,4002,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,5,4,500,5,5,500,0,0,0
物理防御与魔法防御提升7%，持续到本轮攻击结束。不可叠加。,400202,,4002,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,5,4,700,5,5,700,0,0,0
物理防御与魔法防御提升9%，持续到本轮攻击结束。不可叠加。,400203,,4002,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,5,4,900,5,5,900,0,0,0
物理防御与魔法防御提升12%，持续到本轮攻击结束。不可叠加。,400204,,4002,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,5,4,1200,5,5,1200,0,0,0
物理防御与魔法防御提升15%，持续到本轮攻击结束。不可叠加。,400205,,4002,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,5,4,1500,5,5,1500,0,0,0
伤害减免提升10%，持续到本轮攻击结束。不可叠加。,400301,,4003,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,0,32,1000,0,0,0,0,0,0
伤害减免提升14%，持续到本轮攻击结束。不可叠加。,400302,,4003,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,0,32,1400,0,0,0,0,0,0
伤害减免提升18%，持续到本轮攻击结束。不可叠加。,400303,,4003,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,0,32,1800,0,0,0,0,0,0
伤害减免提升23%，持续到本轮攻击结束。不可叠加。,400304,,4003,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,0,32,2300,0,0,0,0,0,0
伤害减免提升28%，持续到本轮攻击结束。不可叠加。,400305,,4003,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,0,32,2800,0,0,0,0,0,0
无法进行援护，持续3招。不可叠加。,400401,禁锢,4004,0,0,0,13,3,0,10000,1,0,1,0,559101,0,0,0,0,0,0,0,0,0,0,0,0
伤害加成提升10%，持续到本轮攻击结束。不可叠加。,400501,,4005,1,0,0,13,1,0,10000,0,0,1,0,,0,0,0,0,31,1000,0,0,0,0,0,0
伤害加成提升12%，持续到本轮攻击结束。不可叠加。,400502,,4005,1,0,0,13,1,0,10000,0,0,1,0,,0,0,0,0,31,1200,0,0,0,0,0,0
伤害加成提升15%，持续到本轮攻击结束。不可叠加。,400503,,4005,1,0,0,13,1,0,10000,0,0,1,0,,0,0,0,0,31,1500,0,0,0,0,0,0
伤害加成提升18%，持续到本轮攻击结束。不可叠加。,400504,,4005,1,0,0,13,1,0,10000,0,0,1,0,,0,0,0,0,31,1800,0,0,0,0,0,0
伤害加成提升22%，持续到本轮攻击结束。不可叠加。,400505,,4005,1,0,0,13,1,0,10000,0,0,1,0,,0,0,0,0,31,2200,0,0,0,0,0,0
,400601,重击增幅,4006,1,0,0,11,1,0,10000,0,,1,0,,0,0,0,0,31,2000,0,0,0,0,0,0
,400602,重击增幅,4006,1,0,0,11,1,0,10000,0,,1,0,,0,0,0,0,31,3000,0,0,0,0,0,0
,400603,重击增幅,4006,1,0,0,11,1,0,10000,0,,1,0,,0,0,0,0,31,4000,0,0,0,0,0,0
,400604,重击增幅,4006,1,0,0,11,1,0,10000,0,,1,0,,0,0,0,0,31,5000,0,0,0,0,0,0
,400605,重击增幅,4006,1,0,0,11,1,0,10000,0,,1,0,,0,0,0,0,31,6000,0,0,0,0,0,0
每层使暴击率提升1%，持续到本轮攻击结束。可叠加，最多5层。,410101,,4101,1,0,0,23,1,0,10000,0,0,5,0,,0,0,0,0,13,100,0,0,0,0,0,0
每层使暴击率提升1%，持续到本轮攻击结束。可叠加，最多8层。,410102,,4101,1,0,0,23,1,0,10000,0,0,8,0,,0,0,0,0,13,100,0,0,0,0,0,0
