,optional,optional,optional,optional,optional,optional,optional,optional,optional,repeated,optional,repeated
,73,战斗_口袋岛,73,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,74,战斗_黑龙战舰,74,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,75,战斗_不冬岛,75,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,76,战斗_监狱岛,76,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,99,Lua测试场景,99,1,0,0,0,0,1000,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,100,ATB战斗场景_LUA,100,1,0,0,0,0,1000,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,156,狂沙虫巢,156,2,0,0,0,0,1031,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,157,副本_女巫古堡,157,2,0,0,0,0,1036,2280,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,158,副本_银母矿洞,158,2,0,0,0,0,1009,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,159,副本_锤石军团,159,2,0,-17.18434,8.851018,36.48024,1043,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,160,副本_树心城一层,160,2,0,39.27336,14.16704,59.06499,1040,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,161,副本_树心城二层,161,2,0,820.4446,14.36252,97.0659,1040,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,162,副本_树心城三层,162,2,0,1050,0,150,1040,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,163,副本_永夜墓地,163,2,0,0,0,0,1030,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,164,副本_左相府,164,2,0,0,0,0,1044,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,165,副本_立方矿地,165,2,0,0,0,0,1057,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,166,副本_天空实验室,166,2,0,17.51,7.63,35.45,1056,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,168,深海实验室,168,2,0,6.953745,0.03062057,-2.924656,1058,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,170,黑龙战舰,170,2,0,58.33,-3.52,-0.49,10000006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,173,邪神降临,173,2,0,0.35,18.51,-0.11,1000,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,174,黑龙战舰,174,2,0,21.71,-6.94,-20.56,10000006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,701,首相府,51,5,0,0,0,0,10007,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,702,温丽梦境,24,5,0,0,0,0,10005,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,800,战斗教学1,52,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,801,战斗教学2,19,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,802,战斗教学3,19,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,803,战斗教学4,19,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,804,战斗教学5,53,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,805,战斗教学6,19,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,806,战斗教学7,19,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,807,战斗教学8,19,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,808,战斗教学9,54,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,809,战斗教学10,52,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,810,战斗教学,62,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,811,Annes_Mine,24,5,0,0,0,0,10025,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10026;10027;10028;10029;10030;10031
,812,战斗教学VS该隐,53,5,0,0,0,0,10025,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10026;10027;10028;10029;10030;10031
,813,战斗教学14,19,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,814,战斗教学15,52,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,815,战斗教学16,52,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,816,战斗教学17,19,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,817,战斗教学18,65,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,818,以此同时1,60,5,0,0,0,0,10002,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,819,战斗教学20,69,5,0,0,0,0,10020,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10021;10022;10023
,820,以此同时3,54,5,0,0,0,0,10001,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,821,战斗教学20,69,5,0,0,0,0,10020,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10021;10022;10023
,822,战斗教学22,69,5,0,0,0,0,10020,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10021;10022;10023
,823,凶猛的小狐狸,54,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,824,顽强的小狐狸,57,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,825,兄弟再会！,60,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,826,姐妹的羁绊,62,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,827,圣界的力量,72,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,828,试炼·Ⅰ,19,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,829,试炼·Ⅱ,24,5,0,0,0,0,10007,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,830,试炼·Ⅲ,61,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,831,试炼·Ⅰ,62,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,832,试炼·Ⅱ,63,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,833,试炼·Ⅲ,64,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,834,试炼·Ⅰ,65,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,835,试炼·Ⅱ,66,5,0,0,0,0,10020,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10021;10022;10023
,836,试炼·Ⅲ,67,5,0,0,0,0,10020,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10021;10022;10023
,837,试炼·Ⅰ,68,5,0,0,0,0,10020,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10021;10022;10023
,838,试炼·Ⅱ,69,5,0,0,0,0,10020,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10021;10022;10023
,839,试炼·Ⅲ,70,5,0,0,0,0,10020,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10021;10022;10023
,840,试炼·Ⅰ,71,5,0,0,0,0,10020,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10021;10022;10023
,841,试炼·Ⅱ,72,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,842,试炼·Ⅲ,73,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,843,试炼·Ⅰ,74,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,844,试炼·Ⅱ,75,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,845,试炼·Ⅲ,19,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,846,试炼·Ⅰ,24,5,0,0,0,0,10007,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,847,试炼·Ⅱ,51,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,848,试炼·Ⅲ,52,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,849,试炼·Ⅰ,53,5,0,0,0,0,10011,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10012;10013;10014
,850,试炼·Ⅱ,54,5,0,0,0,0,10066,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10067;10068;10069;10070
,851,试炼·Ⅲ,56,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,852,试炼·Ⅰ,57,5,0,0,0,0,10043,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10005
,853,试炼·Ⅱ,58,5,0,0,0,0,10038,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10039;10040;10041;10042
,854,试炼·Ⅲ,59,5,0,0,0,0,10049,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10050;10051;10052;10053;10054;10055
,855,试炼·Ⅰ,60,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,856,试炼·Ⅱ,61,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,857,试炼·Ⅲ,62,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,858,试炼·Ⅰ,63,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,859,试炼·Ⅱ,64,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,860,试炼·Ⅲ,65,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,861,试炼·Ⅰ,66,5,0,0,0,0,10020,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10021;10022;10023
,862,试炼·Ⅱ,67,5,0,0,0,0,10020,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10021;10022;10023
,863,试炼·Ⅲ,68,5,0,0,0,0,10020,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10021;10022;10023
,864,试炼·Ⅰ,69,5,0,0,0,0,10020,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10021;10022;10023
,865,试炼·Ⅱ,70,5,0,0,0,0,10020,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10021;10022;10023
,866,试炼·Ⅲ,71,5,0,0,0,0,10020,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10021;10022;10023
,867,温丽预言梦_蜘蛛女王,65,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,868,温丽预言梦_愤怒,51,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,869,战斗教学69,64,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,870,战斗_锤石军团,68,5,0,0,0,0,10020,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10021;10022;10023
,871,纳塔娜VS哈魔领主,19,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,872,试炼·Ⅰ,52,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,873,试炼·Ⅱ,53,5,0,0,0,0,10011,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10012;10013;10014
,874,试炼·Ⅲ,54,5,0,0,0,0,10066,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10067;10068;10069;10070
,875,试炼·Ⅰ,56,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,876,试炼·Ⅱ,57,5,0,0,0,0,10043,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10005
,877,试炼·Ⅲ,58,5,0,0,0,0,10038,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10039;10040;10041;10042
,878,试炼·Ⅰ,59,5,0,0,0,0,10049,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10050;10051;10052;10053;10054;10055
,879,试炼·Ⅱ,60,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,880,试炼·Ⅲ,61,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,882,纳塔娜陌生,52,5,0,0,0,0,10002,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,884,主城训练场,19,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,999,新手引导,999,6,0,0,0,20,0,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,1000,卡诺萨城,10,0,0,-68.5,20.56,23.79,0,2270;2271;2272;2273;2274,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,1001,自律联盟大厅,33,0,0,14.28356,-1.8,18.5262,0,2270;2271;2272;2273;2274,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,1002,王宫,11,0,0,0.2,0.01,21.29,1028,2270;2271;2272;2273;2274,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,1005,圣诞派对,175,1,0,59.57,25.66,68.64,10000005,2270;2271;2272;2273;2274,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10000004
,1006,卡诺萨狂欢夜,175,9,0,61.076,25.6,68.345,10000004,2270;2271;2272;2273;2274,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10000004
,2006,纳雅王宫,11,0,0,0.2,0.01,21.29,1028,2270;2271;2272;2273;2274,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,1004,酒馆,12,0,0,4.53,0,4.48,1028,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,2001,雷鸣大陆,21,1,0,52.49,6.22,21.11,0,2265;2266;2267;2268;2269,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
探索层,2002,魔族高地,32,1,0,2.96,3.72,-5.59,1044,2265;2266;2267;2268;2269,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
