,required,required,required
恶魔领主克拉斯,1000408,9002,1
灵魂鞭挞者埃莉,1000409,10021,1
致命利刃希尔琳,1000410,10022,1
诡禁魔手之奥顿,1000411,10031,1
焚心巨斧之卡尔,1000412,10036,1
暗渊蛛姬之达莉,1000413,9003,1
堕落法王之帕克,1000414,52010,1
荒芜魔斧之伊凡,1000415,10035,1
苍澜怒火之德里,1000416,9000,1
寂静梦魇之琼斯,1000417,10027,1
深渊巫医之加尔,1000418,10057,1
薄暮巫女之米格,1000419,10037,1
恶魔主宰之伊拉,1000420,9002,1
魅影流光之莎朗,1000421,10021,1
魔沼咒刃之苏菲,1000422,10022,1
,1000425,10052,1
,1000426,10047,1
,1000427,52023,1
,1000428,10005,1
,1000429,513,1
,1000430,10033,1
,1000431,10024,1
,1000432,10027,1
,1000433,52008,1
,1000434,52003,1
,1000435,504,1
,1000436,52012,1
,1000437,10057,1
,1000438,52011,1
,1000439,10037,1
,1000440,10052,1
,1000441,10013,1
,1000442,10057,1
,1000443,9000,1
,1000444,52010,1
,1000445,9002,1
,1000446,10035,1
,1000447,10022,1
,1000448,10012,1
,1000449,52013,1
,1000450,10020,1
,1000451,112,1
,1000452,10057,1
,1000453,10033,1
,1000454,10015,1
,1000455,52022,1
,1000456,8000,1
,1000457,52024,1
,1000458,10021,1
,1000459,9000,1
,1000460,10022,1
,1000461,10013,1
,1000462,52010,1
,1000463,10015,1
,1000464,10022,1
,1000465,10027,1
,1000466,10015,1
,1000467,10037,1
,1000468,510,1
,1000469,508,1
,1000470,514,1
,1000471,503,1
,1000472,505,1
,1000473,512,1
,1000474,107,1
,1000475,515,1
,1000476,52021,1
,1000477,52008,1
,1000478,10027,1
,1000479,10042,1
,1000480,10034,1
金钱哥布林,1000481,10005,1
金钱哥布林,1000482,10005,1
金钱哥布林,1000483,10005,1
,1000484,10038,1
,1000485,10044,1
,1000486,10053,1
,1000487,10034,1
,1000488,10003,1
,1000489,5007,1
,1000490,10012,1
,1000510,52014,1
,1000511,52018,1
,1000512,52014,1
,1000513,52024,1
,1000514,10037,1
,1000523,10019,1
,1000524,10045,1
,1000525,10040,1
绿野剑士,1000526,52016,1
锤子团佣兵,1000527,10048,1
锤子团统领,1000528,10050,1
巫傀,1000529,10058,1
荒原女巫,1000530,10054,1
矮巨人铁锤,1000531,10046,1
矮巨人酋长,1000532,8000,1
绿野射手,1000533,52017,1
藤蔓花妖,1000534,5000,1
黄金圣骑,1000535,52021,1
噬灵邪法师,1000536,52010,1
蜘蛛女王艾达,1000537,9003,1
,1000538,10034,1
,1000541,10007,1
,1000542,52001,1
,1000543,52002,1
,1000544,52008,1
,1000545,10038,1
,1000546,10004,1
,1000547,10002,1
,1000548,10023,1
,1000550,10015,1
,1000552,10058,1
冰霜战魂,1000553,52005,1
火焰战魂,1000554,52004,1
光耀战魂,1000555,52007,1
幽暗战魂,1000556,52006,1
,1000557,10009,1
,1000558,10013,1
,1000559,10051,1
,1000560,10044,1
,1000562,10039,1
,1000563,10033,1
,1000564,10005,1
,1000565,52003,1
,1000566,52012,1
,1000567,10014,1
,1000568,52011,1
,1000569,10025,1
,1000570,10015,1
,1000571,52018,1
,1000572,10020,1
,1000573,9001,1
,1000574,10049,1
,1000575,52020,1
,1000576,10002,1
,1000577,10042,1
,1000578,10052,1
,1000579,10022,1
,1000580,10033,1
,1000581,10017,1
,1000582,52014,1
,1000583,10032,1
,1000584,52015,1
,1000585,9002,1
,1000586,10008,1
,1000587,10013,1
,1000588,10010,1
,1000589,52012,1
,1000590,52017,1
,1000591,8000,1
,1000592,52015,1
,1000593,52020,1
,1000594,52013,1
,1000595,9001,1
,1000599,52015,1
,1000600,52020,1
,1000601,52013,1
,1000602,52015,1
,1000603,52020,1
,1000604,52013,1
,1000605,52022,1
,1000606,9004,1
,1000607,52012,1
,1000610,9000,1
,1000611,10014,1
,1000612,8000,1
,1000613,10027,1
,1000614,52023,1
,1000615,10021,1
,1000616,10057,1
,1000617,10033,1
,1000618,10012,1
,1000619,52018,1
,1000620,105,1
,1000621,10025,1
,1000622,10054,1
,1000623,10021,1
,1000624,10020,1
,1000625,10057,1
,1000626,52022,1
,1000627,52010,1
,1000628,52023,1
,1000629,9001,1
,1000630,10037,1
,1000631,10035,1
,1000632,10026,1
,1000633,10014,1
,1000634,10016,1
,1000635,52021,1
,1000636,104,1
,1000637,10022,1
,1000638,10032,1
,1000639,10057,1
,1000640,10052,1
,1000641,10005,1
,1000642,10021,1
,1000643,10027,1
,1000644,10033,1
,1000645,52013,1
,1000646,10027,1
,1000647,10042,1
,1000648,52008,1
,1000649,52003,1
,1000650,509,1
,1000651,10042,1
,1000652,10057,1
,1000653,52011,1
,1000654,10037,1
,1000655,10014,1
,1000656,10013,1
,1000657,10057,1
,1000658,9000,1
,1000659,52010,1
,1000660,10047,1
,1000661,9002,1
,1000662,10035,1
,1000663,10032,1
,1000664,10012,1
,1000665,10024,1
,1000666,10020,1
,1000667,506,1
,1000668,10057,1
,1000669,10033,1
,1000670,10015,1
,1000671,52022,1
,1000672,52018,1
,1000673,52024,1
,1000674,10021,1
,1000675,9000,1
,1000676,10022,1
,1000677,10013,1
,1000678,52010,1
,1000679,10015,1
,1000680,10022,1
,1000681,10027,1
,1000682,10015,1
,1000683,10037,1
,1000684,106,1
,1000685,52022,1
,1000686,10024,1
,1000687,52023,1
,1000688,10012,1
,1000689,10035,1
,1000690,10033,1
,1000691,52024,1
,1000692,10005,1
,1000693,10015,1
,1000694,52008,1
,1000695,10016,1
,1000696,8000,1
,1000697,502,1
,1000698,52021,1
,1000699,52008,1
,1000700,10027,1
,1000701,10042,1
,1000702,9000,1
,1000703,10014,1
,1000704,8000,1
,1000705,10027,1
,1000706,52023,1
,1000707,10021,1
,1000708,10057,1
,1000709,10033,1
,1000710,10012,1
,1000711,52018,1
,1000712,513,1
,1000713,10025,1
,1000714,10054,1
,1000715,10021,1
,1000716,10020,1
,1000717,10057,1
,1000718,52022,1
,1000719,52010,1
,1000720,52023,1
,1000721,9001,1
,1000722,10037,1
,1000723,10035,1
,1000724,10026,1
,1000725,10014,1
,1000726,10016,1
,1000727,52021,1
,1000728,511,1
,1000729,10008,1
,1000730,10010,1
,1000734,10009,1
,1000735,10009,1
,1000736,10058,1
,1000737,8000,1
,1000748,10020,1
利齿魔箱,1000751,10009,1
利齿魔箱,1000752,10009,1
,1000760,10016,1
,1000761,10054,1
,1000762,10058,1
,1000763,10013,1
,1000764,10040,1
,1000765,10057,1
,1000768,10026,1
,1000769,10050,1
,1000770,52018,1
,1000772,9002,1
,1000773,9000,1
,1000786,10038,1
,1000787,52015,1
熊人战士,1000788,8000,1
,1000789,10036,1
部落战士,1000790,10002,1
,1000791,52021,1
枯叶蜂蜂王,1000792,10042,1
黑龙战士,1000793,52020,1
,1000794,52022,1
J博士,1000795,52024,1
蝎怪,1000796,10027,1
哈蒙,1000797,10012,1
武装熊人战士,1000798,10015,1
,1000799,52013,1
部落精英战士,1000800,10002,1
寄居熊,1000801,10015,1
锡波,1000802,52023,1
丧尸法师,1000803,10013,1
先驱者一号,1000804,10016,1
,1000812,10048,1
,1000813,52001,1
,1000814,52010,1
,1000821,10021,1
,1000822,10022,1
,1000823,10035,1
,1000824,10032,1
,1000825,10037,1
,1000826,10010,1
,1000827,10053,1
,1000828,10042,1
,1000829,10034,1
,1000830,10027,1
,1000831,10008,1
,1000832,10010,1
,1000833,10008,1
,1000834,10058,1
,1000836,10040,1
,1000837,10044,1
,1000838,10010,1
,1000839,52023,1
,1000840,52011,1
,1000841,52023,1
,1000842,10052,1
,1000843,10015,1
,1000844,10012,1
,1000845,9000,1
,1000846,10024,1
,1000847,10033,1
,1000848,10050,1
,1000849,10049,1
,1000850,103,1
,1000851,10026,1
,1000852,52023,1
,1000853,10050,1
,1000854,52024,1
,1000855,52022,1
,1000856,10050,1
,1000857,10054,1
,1000858,10048,1
,1000859,52021,1
,1000860,106,1
,1000861,10007,1
,1000862,10041,1
,1000863,10044,1
,1000864,10051,1
,1000865,10022,1
,1000866,52020,1
,1000867,52008,1
,1000868,10048,1
,1000869,52001,1
,1000870,10021,1
,1000871,10023,1
,1000872,10008,1
,1000873,10012,1
,1000874,10014,1
,1000875,9004,1
,1000876,10007,1
,1000877,10041,1
,1000878,10044,1
,1000879,52016,1
,1000880,10031,1
贪婪,1000909,10031,1
黑色荆棘,1000910,10021,1
绝世舞姬,1000911,10022,1
萨米尔,1000912,10035,1
,1000922,52001,1
,1000923,52002,1
,1000924,52003,1
,1000925,52008,1
,1000926,10040,1
,1000927,10034,1
,1000928,10034,1
,1000929,10024,1
,1000930,10024,1
,1000931,10038,1
,1000932,10048,1
,1000933,10002,1
狂魔兽,1000934,52014,1
蓝鳞鱼妖,1000935,10028,1
深蓝海怪,1000936,52018,1
,1000937,10005,1
,1000938,10007,1
,1000939,10007,1
,1000940,5007,1
,1000945,10010,1
,1000946,10025,1
,1000947,10010,1
,1000949,10010,1
,1000950,10010,1
,1000951,10010,1
,1000952,10010,1
,1000953,10042,1
,1000954,52015,1
,1000955,52020,1
,1000956,52021,1
,1000957,10045,1
,1000959,10054,1
,1000960,10058,1
,1000961,10013,1
,1000962,10040,1
,1000963,10038,1
,1000964,52012,1
,1000965,5004,1
,1000966,10013,1
,1000967,10016,1
,1000968,9003,1
,1000969,10045,1
,1000970,10046,1
,1000971,10016,1
,1000972,8000,1
,1000973,52022,1
,1000974,10054,1
,1000975,10058,1
,1000976,10013,1
,1000977,10045,1
,1000978,10036,1
,1000979,10021,1
,1000980,10022,1
,1000981,10002,1
,1000982,10032,1
,1000983,111,1
,1000984,10003,1
,1000985,10003,1
,1000986,10038,1
,1000987,10038,1
,1000988,10022,1
,1000989,10003,1
,1000990,10021,1
,1000991,10038,1
,1000992,10023,1
,1000993,10049,1
,1000994,10044,1
,1000996,10049,1
,1000997,10023,1
,1000998,10049,1
,1000999,10038,1
鹿角狂兽,1001000,10024,1
,1001001,10025,1
,1001002,10012,1
荒原蝎人·卡斯,1001003,10027,1
诡地精首领,1001004,10029,1
,1001005,52012,1
,1001006,10049,1
,1001007,10020,1
,1001008,10013,1
,1001009,10015,1
腐尸巫王,1001010,10013,1
暗魔巫师,1001011,52010,1
,1001012,9002,1
草原哥布林,1001013,10007,1
发疯的哥布林,1001014,10007,1
哈蒙,1001017,10012,1
鱼妖,1001022,10028,1
,1001023,10014,1
普通盗贼,1001024,10001,1
,1001025,10028,1
,1001026,9003,1
,1001027,10038,1
,1001028,10044,1
,1001029,10053,1
,1001031,5000,1
战魂之灵,1001032,52001,1
盗贼探子,1001041,10003,1
盗贼,1001042,10038,1
宝箱怪,1001043,10009,1
笛卡尔,1001044,10021,1
强盗贝拉,1001045,10022,1
盗贼头目,1001046,10001,1
盗贼（高闪避）,1001047,10001,1
鹿角兽,1001051,10034,1
战魂之灵暗,1001052,52006,1
巨刃鹿角兽,1001053,10034,1
炽炎邪法师,1001054,52010,1
食魂鹿角兽,1001055,5004,1
嗜血死神萨米尔,1001056,10035,1
战魂之灵,1001061,52001,1
战魂之殇,1001062,52002,1
暗黑战魂,1001063,52008,1
战魂之灵·火,1001064,52004,1
战魂之灵·冰,1001065,52005,1
战魂之灵·光,1001066,52007,1
战魂之灵·暗,1001067,52006,1
诺尔,1001068,52010,1
贪婪,1001069,10031,1
嗜血战魂,1001070,52003,1
,1001078,10008,1
,1001079,10008,1
,1001080,103,1
,1001081,10014,1
,1001082,106,1
,1001083,103,1
,1001084,401,1
,1001085,502,1
,1001086,101,1
,1001087,10002,1
,1001088,201,1
,1001089,201,1
,1001090,10013,1
,1001091,301,1
,1001092,301,1
,1001093,10022,1
,1001094,10016,1
,1001095,105,1
,1001096,52011,1
,1001097,10022,1
,1001098,10025,1
,1001099,10032,1
,1001100,103,1
,1001101,9002,1
,1001102,10013,1
,1001103,104,1
,1001104,10012,1
,1001105,10020,1
,1001106,106,1
,1001107,10057,1
,1001108,106,1
,1001109,107,1
,1001110,107,1
,1001111,111,1
,1001112,401,1
,1001113,10024,1
,1001114,52008,1
,1001115,105,1
,1001116,105,1
,1001117,105,1
,1001118,10042,1
,1001119,108,1
,1001120,52010,1
,1001121,112,1
,1001122,112,1
,1001123,10050,1
,1001128,302,1
,1001129,302,1
,1001130,10016,1
,1001131,10019,1
,1001132,10019,1
,1001133,10013,1
,1001134,10033,1
,1001135,10045,1
,1001136,10045,1
,1001171,52011,1
,1001172,52021,1
,1001173,10037,1
,1001174,52014,1
,1001175,52018,1
,1001176,52012,1
,1001177,52015,1
,1001178,52020,1
,1001179,52013,1
,1001180,52022,1
,1001181,9004,1
,1001182,10010,1
,1001183,52014,1
,1001184,52018,1
,1001185,52012,1
,1001186,52015,1
,1001187,52020,1
,1001188,52013,1
,1001191,52014,1
,1001192,10037,1
,1001193,52018,1
,1001194,52024,1
黑龙战盾,1001195,52015,1
黑龙重剑,1001196,52020,1
黑翼骑士长,1001197,52013,1
黑龙舰长,1001198,9001,1
,1001199,10016,1
,1001200,10058,1
,1001201,52023,1
,1001203,52011,1
,1001204,10005,1
,1001205,10022,1
,1001206,52010,1
,1001207,9003,1
,1001208,9002,1
,1001209,10031,1
,1001210,10036,1
,1001211,52008,1
,1001212,302,1
,1001213,301,1
,1001214,10020,1
,1001215,10015,1
,1001216,10014,1
,1001217,10022,1
,1001218,52011,1
,1001219,52021,1
,1001220,52021,1
,1001221,52011,1
,1001222,52021,1
,1001223,52011,1
,1001224,52021,1
,1001225,10009,1
,1001226,10009,1
,1001227,10009,1
,1001228,10009,1
,1001229,10009,1
,1001230,10009,1
,1001231,10007,1
,1001232,10005,1
,1001233,10009,1
,1001234,52011,1
,1001235,52011,1
,1001236,52011,1
,1001237,52011,1
,1001239,52002,1
,1001240,10019,1
,1001241,52008,1
,1001242,52001,1
,1001243,10009,1
,1001244,10026,1
,1001245,52008,1
,1001246,52010,1
,1001249,10007,0
,1001250,10016,0
,1001251,10041,0
,1001252,10044,0
,1001253,10051,0
,1001254,52003,1
,1001255,52008,1
,1001256,52011,1
,1001257,52021,1
,1001258,10005,1
,1001259,10021,1
,1001260,10054,1
,1001261,10026,1
,1001262,5000,1
,1001263,10022,1
,1001281,10045,1
,1001282,10045,1
,1001283,10002,1
,1001284,10005,1
,1001285,10008,1
,1001286,10010,1
,1001287,10015,1
,1001288,10017,1
,1001289,10020,1
,1001290,10023,1
,1001291,10054,1
,1001292,10045,1
,1001293,10058,1
,1001294,10040,1
,1001295,5004,1
,1001296,52003,1
,1001297,10021,1
,1001298,10054,1
,1001299,9001,1
,1001300,52008,1
,1001301,10022,1
,1001302,5000,1
,1001303,9002,1
,1001304,52009,1
,1001305,10057,1
,1001306,10037,1
,1001307,9004,1
,1001308,9003,1
,1001309,9000,1
,1001310,10002,1
,1001311,10005,1
,1001312,10008,1
,1001313,10010,1
,1001314,10015,1
,1001315,10017,1
,1001316,10020,1
,1001317,10023,1
,1001318,10054,1
,1001319,10045,1
,1001320,10058,1
,1001321,10040,1
,1001322,5004,1
,1001323,52003,1
,1001324,10021,1
,1001325,10054,1
,1001326,9001,1
,1001327,52008,1
,1001328,10022,1
,1001329,5000,1
,1001330,9002,1
,1001331,52009,1
,1001332,10057,1
,1001333,10037,1
,1001334,9004,1
,1001335,9003,1
,1001336,9000,1
,1001337,10002,1
,1001338,10005,1
,1001339,10008,1
,1001340,10010,1
,1001341,10015,1
,1001342,10017,1
,1001343,10020,1
,1001344,10023,1
,1001345,10054,1
,1001346,10045,1
,1001347,10058,1
,1001348,10040,1
,1001349,5004,1
,1001350,52003,1
,1001351,10021,1
,1001352,10054,1
,1001353,9001,1
,1001354,52008,1
,1001355,10022,1
,1001356,5000,1
,1001357,9002,1
,1001358,52009,1
,1001359,10057,1
,1001360,10037,1
,1001361,9004,1
,1001362,9003,1
,1001363,9000,1
,1001364,10002,1
,1001365,10005,1
,1001366,10008,1
,1001367,10010,1
,1001368,10015,1
,1001369,10017,1
,1001370,10020,1
,1001371,10023,1
,1001372,10054,1
,1001373,10045,1
,1001374,10058,1
,1001375,10040,1
,1001376,5004,1
,1001377,52003,1
,1001378,10021,1
,1001379,10054,1
,1001380,9001,1
,1001381,52008,1
,1001382,10022,1
,1001383,5000,1
,1001384,9002,1
,1001385,52009,1
,1001386,10057,1
,1001387,10037,1
,1001388,9004,1
,1001389,9003,1
,1001390,9000,1
,1001391,10002,1
,1001392,10005,1
,1001393,10008,1
,1001394,10010,1
,1001395,10015,1
,1001396,10017,1
,1001397,10020,1
,1001398,10023,1
,1001399,10054,1
,1001400,10045,1
,1001401,10058,1
,1001402,10040,1
,1001403,5004,1
,1001404,52003,1
,1001405,10021,1
,1001406,10054,1
,1001407,9001,1
,1001408,52008,1
,1001409,10022,1
,1001410,5000,1
,1001411,9002,1
,1001412,52009,1
,1001413,10057,1
,1001414,10037,1
,1001415,9004,1
,1001416,9003,1
,1001417,9000,1
,1001418,10002,1
,1001419,10005,1
,1001420,10008,1
,1001421,10010,1
,1001422,10015,1
,1001423,10017,1
,1001424,10020,1
,1001425,10023,1
,1001426,10054,1
,1001427,10045,1
,1001428,10058,1
,1001429,10040,1
,1001430,5004,1
,1001431,52003,1
,1001432,10021,1
,1001433,10054,1
,1001434,9001,1
,1001435,52008,1
,1001436,10022,1
,1001437,5000,1
,1001438,9002,1
,1001439,52009,1
,1001440,10057,1
,1001441,10037,1
,1001442,9004,1
,1001443,9003,1
,1001444,9000,1
,1001445,10002,1
