,required,required,required,required,required,required,required,required,required,required,required,required,required
,10134,2,10,1,10,1,100,0,0,0,0,0,0
,10135,2,10,2,100,1,500,3,1000,0,0,0,0
,10136,2,10,3,500,1,1000,3,2000,3040013,1,0,0
,10137,2,10,4,1000,1,2000,3,5000,3040013,2,3010013,1
,10138,2,10,5,2000,1,3000,3,10000,3040013,10,3010013,10
,10149,2,11,1,10,1,100,0,0,0,0,0,0
,10150,2,11,2,100,1,500,3,1000,0,0,0,0
,10151,2,11,3,500,1,1000,3,2000,3040013,1,0,0
,10152,2,11,4,1000,1,2000,3,5000,3040013,2,3010013,1
,10153,2,11,5,2000,1,3000,3,10000,3040013,10,3010013,10
,10164,2,12,1,10,1,100,0,0,0,0,0,0
,10165,2,12,2,100,1,500,3,1000,0,0,0,0
,10166,2,12,3,500,1,1000,3,2000,3040013,1,0,0
,10167,2,12,4,1000,1,2000,3,5000,3040013,2,3010013,1
,10168,2,12,5,2000,1,3000,3,10000,3040013,10,3010013,10
,10179,2,13,1,10,1,100,0,0,0,0,0,0
,10180,2,13,2,100,1,500,3,1000,0,0,0,0
,10181,2,13,3,500,1,1000,3,2000,3040013,1,0,0
,10182,2,13,4,1000,1,2000,3,5000,3040013,2,3010013,1
,10183,2,13,5,2000,1,3000,3,10000,3040013,10,3010013,10
,10194,2,14,1,10,1,100,0,0,0,0,0,0
,10195,2,14,2,100,1,500,3,1000,0,0,0,0
,10196,2,14,3,500,1,1000,3,2000,3040013,1,0,0
,10197,2,14,4,1000,1,2000,3,5000,3040013,2,3010013,1
,10198,2,14,5,2000,1,3000,3,10000,3040013,10,3010013,10
,10209,2,15,1,10,1,100,0,0,0,0,0,0
,10210,2,15,2,100,1,500,3,1000,0,0,0,0
,10211,2,15,3,500,1,1000,3,2000,3040013,1,0,0
,10212,2,15,4,1000,1,2000,3,5000,3040013,2,3010013,1
,10213,2,15,5,2000,1,3000,3,10000,3040013,10,3010013,10
,10224,2,16,1,10,1,100,0,0,0,0,0,0
,10225,2,16,2,100,1,500,3,1000,0,0,0,0
,10226,2,16,3,500,1,1000,3,2000,3040013,1,0,0
,10227,2,16,4,1000,1,2000,3,5000,3040013,2,3010013,1
,10228,2,16,5,2000,1,3000,3,10000,3040013,10,3010013,10
,10239,2,17,1,10,1,100,0,0,0,0,0,0
,10240,2,17,2,100,1,500,3,1000,0,0,0,0
,10241,2,17,3,500,1,1000,3,2000,3040013,1,0,0
,10242,2,17,4,1000,1,2000,3,5000,3040013,2,3010013,1
,10243,2,17,5,2000,1,3000,3,10000,3040013,10,3010013,10
,10254,2,18,1,10,1,100,0,0,0,0,0,0
,10255,2,18,2,100,1,500,3,1000,0,0,0,0
,10256,2,18,3,500,1,1000,3,2000,3040013,1,0,0
,10257,2,18,4,1000,1,2000,3,5000,3040013,2,3010013,1
,10258,2,18,5,2000,1,3000,3,10000,3040013,10,3010013,10
,10269,2,19,1,10,1,100,0,0,0,0,0,0
,10270,2,19,2,100,1,500,3,1000,0,0,0,0
,10271,2,19,3,500,1,1000,3,2000,3040013,1,0,0
,10272,2,19,4,1000,1,2000,3,5000,3040013,2,3010013,1
,10273,2,19,5,2000,1,3000,3,10000,3040013,10,3010013,10
,10284,2,20,1,10,1,100,0,0,0,0,0,0
,10285,2,20,2,100,1,500,3,1000,0,0,0,0
,10286,2,20,3,500,1,1000,3,2000,3040013,1,0,0
,10287,2,20,4,1000,1,2000,3,5000,3040013,2,3010013,1
,10288,2,20,5,2000,1,3000,3,10000,3040013,10,3010013,10
